C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:18:34

Vmag< 11&dec< 0&rah >=9.5&rah< 9.75
-----------------------------------

Number of objects : 7080

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
46  |TYC 4894-13-1                                                         |Star                              |09 31 31.7960694960 -02 28 36.386332644|236.3540990803894 +33.5117005680216|  5.581 -38.249   |10.443   |~              |    ~     ~    
47  |TYC 4897-499-1                                                        |Star                              |09 32 19.3821428184 -02 48 28.597781268|236.8154534198877 +33.4819475466213|   2.668 -5.946   |10.779   |~              |    ~     ~    
48  |TYC 4897-393-1                                                        |Star                              |09 32 21.2148311496 -02 36 20.602125612|236.6229408661934 +33.6052622715022| -5.544 -23.267   |10.546   |~              |    ~     ~    
49  |BD-02 2920                                                            |Star                              |09 32 45.0292192968 -03 11 46.858671744|237.2683219042569 +33.3428545037113| -36.445 -2.854   |10.985   |~              |    ~     ~    
50  |BD-02 2923                                                            |Star                              |09 33 02.8844735664 -02 48 45.662281560|236.9461684042937 +33.6266271819324|   0.555 -6.360   |10.698   |~              |    ~     ~    
51  |BD-03 2710                                                            |Star                              |09 33 35.8090186560 -03 49 24.963059928|238.0238959384288 +33.1460612459430| -20.806 -3.945   |10.445   |~              |    ~     ~    
52  |TYC 4897-684-1                                                        |High Proper Motion Star           |09 31 04.2509265408 -03 30 03.925672992|237.2719442992071 +32.8246077036537|-21.382 165.508   |10.433   |~              |    ~     ~    
53  |TYC 4897-1055-1                                                       |Star                              |09 32 19.4854618800 -04 06 57.010641408|238.0823024281780 +32.7175207479193| -23.855 19.978   |10.829   |~              |    ~     ~    
54  |TYC 4897-1113-1                                                       |Star                              |09 32 20.8005114264 -02 56 01.263745608|236.9422871555100 +33.4137870339256|  -18.075 3.894   |10.78    |~              |    ~     ~    
55  |TYC 4897-1423-1                                                       |Star                              |09 30 01.2621523944 -03 34 49.445901192|237.1671999976928 +32.5654955183076|   -7.187 8.153   |10.82    |~              |    ~     ~    
56  |TYC 4897-1539-1                                                       |High Proper Motion Star           |09 30 59.8362517632 -03 48 47.507655492|237.5603006592691 +32.6273762941166|-84.925 -26.554   |10.95    |~              |    ~     ~    
57  |BD-02 2914                                                            |Chemically Peculiar Star          |09 31 01.0248493200 -03 04 05.315211300|236.8429087408889 +33.0654245199380|  0.516 -97.418   |10.505   |~              |    ~     ~    
58  |HD 82334                                                              |Star                              |09 31 10.2567493704 -04 30 08.156949804|238.2509416507431 +32.2572725879030| -36.144 -4.726   |8.29     |K1III          |    ~     ~    
59  |HD 82447                                                              |Star                              |09 31 51.7069437672 -05 04 48.053917524|238.9209304041303 +32.0531190270365| -0.366 -12.626   |7.67     |A5IV           |    ~     ~    
60  |HD 82476                                                              |Star                              |09 32 02.4935382408 -05 04 58.179162468|238.9550787474602 +32.0873925896001|  -21.734 8.886   |9.40     |A0V            |    ~     ~    
61  |BD-04 2656                                                            |High Proper Motion Star           |09 32 39.4868643744 -04 53 16.624581468|238.8782662721306 +32.3268336287677| -82.961 -1.197   |9.580    |G0             |    ~     ~    
62  |BD-04 2658                                                            |High Proper Motion Star           |09 33 37.3456563000 -05 05 34.275214752|239.2426382508440 +32.3970926530025|-49.101 -22.843   |9.735    |F5             |    ~     ~    
63  |HD 82142                                                              |Double or Multiple Star           |09 30 09.8993776368 -06 00 07.961063724|239.4928671245127 +31.1634774159443|  -23.369 0.676   |7.89     |A2IV           |0.0083  0.0    
64  |HD 82268                                                              |Star                              |09 30 55.1469940776 -05 39 41.411790072|239.3049022268826 +31.5177182402621|   2.273 35.882   |6.83     |K0III          |    ~     ~    
65  |HD 82357                                                              |Star                              |09 31 20.0864918616 -06 12 37.810058796|239.8918900122592 +31.2706785935366| -21.999 -1.623   |8.86     |K1/2III        |    ~     ~    
66  |HD 82491                                                              |Double or Multiple Star           |09 32 16.1063 -05 46 10.860            |239.6429684 +31.7214133            |       -2.2 3.6   |9.43     |A7IV           |    ~     ~    
67  |HD 82688                                                              |Star                              |09 33 22.6573726392 -06 30 36.390847104|240.5311582417679 +31.4932643911796|-43.276 -28.599   |8.46     |F3V            |    ~     ~    
68  |HD 82292                                                              |Star                              |09 30 58.2686141352 -06 41 10.176257724|240.2708522241036 +30.9113805165416| -17.432 -2.938   |8.90     |F1VnkA8mA7_lB? |    ~     ~    
69  |AKARI-IRC-V1 J0933397-051120                                          |Long-Period Variable Candidate    |09 33 39.7493647104 -05 11 20.289970356|239.3408316115386 +32.3474964356685|   4.474 -8.690   |9.42     |~              |    ~     ~    
70  |StKM 1-787                                                            |Star                              |09 33 14.0985722472 -06 27 39.998438208|240.4602710498546 +31.4949116802501|  -1.919 -4.333   |10.461   |K4             |    ~     ~    
71  |BD-04 2641                                                            |Star                              |09 30 19.4728453776 -05 00 08.049555900|238.5791905974644 +31.7914520509623|   3.430 -2.087   |9.946    |~              |    ~     ~    
72  |BD-04 2644                                                            |High Proper Motion Star           |09 30 44.5172185440 -04 57 34.048005192|238.6112053418037 +31.9005278921567| -59.495 -3.805   |9.95     |~              |    ~     ~    
73  |BD-04 2645                                                            |Star                              |09 30 46.4162362344 -04 47 10.030953552|238.4521437253554 +32.0095902781886| 38.229 -24.886   |10.088   |~              |    ~     ~    
74  |BD-04 2650                                                            |Star                              |09 31 28.8055163736 -05 22 09.924539232|239.1278371634247 +31.8042197568525| -22.512 -2.031   |9.51     |~              |    ~     ~    
75  |BD-05 2824                                                            |Star                              |09 31 46.6055153832 -05 55 01.105049856|239.6948180807702 +31.5351392060906|   -7.453 0.809   |9.84     |~              |    ~     ~    
76  |BD-05 2825                                                            |Star                              |09 32 09.7579212024 -05 49 35.715360972|239.6778031839827 +31.6661673052120| -2.562 -10.213   |9.69     |~              |    ~     ~    
77  |BD-05 2827                                                            |Star                              |09 32 15.3388734528 -05 58 24.340919808|239.8318619784230 +31.5962312847591|  6.232 -19.334   |9.873    |~              |    ~     ~    
78  |BD-04 2655                                                            |Star                              |09 32 30.7267152552 -04 47 13.648442496|238.7567457847760 +32.3576228382994|-32.892 -15.890   |10.357   |~              |    ~     ~    
