C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:18:34

Vmag< 11&dec< 0&rah >=9.5&rah< 9.75
-----------------------------------

Number of objects : 7080

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
4328|TYC 8585-842-1                                                        |Star                              |09 41 38.8649446608 -52 36 59.205493548|276.3637277364794 +00.1777882618002|  -5.455 -2.058   |10.74    |~              |    ~     ~    
4329|TYC 8585-1180-1                                                       |Star                              |09 38 21.9485112144 -52 32 58.567502688|275.9450461723197 -00.1009760094326| 10.410 -32.612   |10.80    |~              |    ~     ~    
4330|TYC 8585-1207-1                                                       |Star                              |09 40 32.5113434640 -53 24 34.794980604|276.7595484678960 -00.5294535336212| -17.312 10.937   |10.74    |~              |    ~     ~    
4331|TYC 8585-1234-1                                                       |Star                              |09 37 34.8951717696 -52 31 33.064990104|275.8402067459767 -00.1625639623625|   -7.648 4.602   |10.74    |~              |    ~     ~    
4332|TYC 8585-1240-1                                                       |Star                              |09 36 08.9447571912 -52 31 45.216298200|275.6803321400736 -00.3106258044321|  -11.175 7.345   |10.96    |~              |    ~     ~    
4333|TYC 8585-1266-1                                                       |Star                              |09 33 55.0704057240 -52 33 45.046193400|275.4517348018258 -00.5634559335424|   -8.460 7.648   |10.84    |~              |    ~     ~    
4334|TYC 8585-1464-1                                                       |Star                              |09 37 03.4970170848 -52 54 35.366811408|276.0372211797787 -00.5015353975109|   -7.318 2.451   |10.28    |~              |    ~     ~    
4335|TYC 8585-1468-1                                                       |Star                              |09 37 58.5062896800 -52 39 23.108246244|275.9717236006403 -00.2202121126223|  -31.611 9.021   |10.60    |~              |    ~     ~    
4336|TYC 8585-1470-1                                                       |Star                              |09 34 08.6444476752 -52 46 26.805739692|275.6199342719198 -00.6963591609753| -20.168 13.969   |10.59    |~              |    ~     ~    
4337|TYC 8585-1510-1                                                       |Star                              |09 36 54.8435738664 -52 32 13.294907556|275.7720285105205 -00.2386077502519|   -3.462 3.983   |9.81     |~              |    ~     ~    
4338|TYC 8585-1522-1                                                       |Star                              |09 37 05.8344900864 -52 31 04.254147516|275.7799650777946 -00.2057284375634|    0.167 3.060   |10.73    |~              |    ~     ~    
4339|TYC 8585-1524-1                                                       |High Proper Motion Star           |09 39 53.3833451328 -52 39 38.660879916|276.1920129299678 -00.0310423759958| -42.380 43.867   |10.89    |~              |    ~     ~    
4340|TYC 8585-1578-1                                                       |Star                              |09 40 57.0977382048 -52 39 43.224194124|276.3139805816319 +00.0740875595528|   4.036 -1.555   |10.90    |~              |    ~     ~    
4341|TYC 8585-1823-1                                                       |Star                              |09 41 16.0363585920 -53 43 49.687456728|277.0516603380515 -00.7003145206148| -12.808 11.238   |10.40    |~              |    ~     ~    
4342|TYC 8585-1972-1                                                       |Star                              |09 43 26.1198825408 -53 29 22.795002852|277.1375487087535 -00.3078699900790|   -5.888 3.847   |10.82    |~              |    ~     ~    
4343|TYC 8585-1974-1                                                       |Star                              |09 36 16.7124682680 -53 19 37.342869960|276.2291812661977 -00.8900102817932|   -2.191 4.369   |10.92    |~              |    ~     ~    
4344|TYC 8585-2018-1                                                       |Star                              |09 40 54.2902222968 -53 22 54.037153992|276.7818740570843 -00.4727714789338|   -4.902 1.655   |10.28    |~              |    ~     ~    
4345|TYC 8585-2047-1                                                       |Star                              |09 39 19.7348220648 -53 34 06.420691308|276.7288465459776 -00.7678242809824| 10.041 -14.214   |10.91    |~              |    ~     ~    
4346|TYC 8585-2121-1                                                       |Star                              |09 37 24.9518325696 -53 18 54.540855036|276.3476147046500 -00.7676863557063| -25.562 17.105   |10.84    |~              |    ~     ~    
4347|TYC 8585-3193-1                                                       |Spectroscopic Binary              |09 44 20.0758618224 -53 14 36.040539300|277.0794858879538 -00.0334655875964|   -4.972 0.748   |10.86    |~              |    ~     ~    
4348|HD 82667                                                              |Eclipsing Binary                  |09 31 35.3482159680 -53 07 14.174781204|275.5721464325056 -01.2120074450479|    2.007 6.443   |9.72     |ApSi           |    ~     ~    
4349|CD-52 3183                                                            |Star                              |09 34 12.8163735360 -53 21 20.037280284|276.0201539086232 -01.1183331759015|   -3.882 3.396   |10.22    |A0I            |    ~     ~    
4350|HD 83597                                                              |Be Star                           |09 37 50.8929740952 -53 40 49.247379012|276.6388756929483 -00.9972283974445|   -6.287 4.145   |9.09     |B2Ve           |    ~     ~    
4351|HD 298599                                                             |Star                              |09 37 32.2880283336 -53 36 56.749261176|276.5615755999292 -00.9796556993438|   -9.227 4.438   |9.18     |K7             |    ~     ~    
4352|HD 298598                                                             |Star                              |09 37 07.3943233728 -53 36 28.046235528|276.5104001817742 -01.0147545804241|   -8.254 5.904   |10.22    |B9             |    ~     ~    
4353|HD 298645                                                             |Star                              |09 40 39.7018465488 -53 52 17.839453836|277.0770967573884 -00.8654563223187|   -6.607 6.000   |10.87    |A              |    ~     ~    
4354|HD 82533                                                              |High Proper Motion Star           |09 30 42.5676185088 -53 31 18.133184784|275.7500411823206 -01.5947730081749|  43.945 52.090   |8.23     |G3V            |    ~     ~    
4355|HD 82564                                                              |Star                              |09 30 53.5320508080 -53 16 47.569008540|275.6045631004479 -01.3996549615696|   -8.032 7.473   |9.86     |B9.5V          |    ~     ~    
4356|HD 82737                                                              |Star                              |09 32 04.1900360640 -53 32 31.106529924|275.9117386108317 -01.4717062976986|  -15.995 3.071   |7.68     |B8V            |    ~     ~    
4357|HD 82812                                                              |Star                              |09 32 39.0550049304 -53 22 07.212237312|275.8573863742929 -01.2857916427329|   -8.574 5.485   |8.44     |B8IV/V         |    ~     ~    
4358|HD 298489                                                             |Star                              |09 32 41.4471058248 -53 17 10.353779124|275.8057669533355 -01.2212013163936|   -5.940 3.891   |10.12    |B1/2           |    ~     ~    
4359|HD 82933                                                              |Star                              |09 33 16.9206041184 -53 27 16.381921068|275.9847724548018 -01.2851389998522|   -8.435 5.443   |9.44     |B9V            |    ~     ~    
4360|NGC 2925 95                        HD 298542                          |Star                              |09 33 18.1343790816 -53 27 24.976275408|275.9886058580165 -01.2848558030012|  -8.812 12.549   |9.894    |F0             |    ~     ~    
4361|HD 83002                                                              |alpha2 CVn Variable               |09 33 36.4356963254 -53 20 39.393675800|275.9458060664169 -01.1711511446731|   -7.990 5.801   |9.07     |ApSi           |    ~     ~    
4362|HD 82644                                                              |Star                              |09 31 22.1688955248 -53 47 47.888306700|276.0093583882352 -01.7287863602573| -11.987 10.899   |7.90     |A0IV/V         |    ~     ~    
4363|HD 82855                                                              |Star                              |09 32 45.4583934600 -54 02 41.858588688|276.3282466337474 -01.7716601277749| -24.353 10.938   |8.04     |M1III          |    ~     ~    
4364|HD 83030                                                              |Star                              |09 33 46.7093426472 -54 02 23.007192324|276.4349725422871 -01.6662823888859| -15.759 10.327   |7.71     |M2III          |    ~     ~    
4365|HD 83043                                                              |Be Star                           |09 33 55.1545895664 -53 38 06.263170368|276.1766603852409 -01.3540404996852|   -2.917 2.697   |9.14     |B2/3Vne        |    ~     ~    
4366|HD 83154                                                              |Star                              |09 34 36.4709735184 -54 04 27.710228280|276.5481870636274 -01.6096713883788|  -3.548 -2.854   |9.24     |A0mA5-A6       |    ~     ~    
4367|HD 83335                                                              |Star                              |09 35 47.3258220456 -54 10 07.626412380|276.7398097657804 -01.5631807001272|  -14.865 4.134   |7.95     |B6V            |    ~     ~    
4368|HD 298606                                                             |Star                              |09 36 16.2567022128 -53 54 56.712177180|276.6226651985375 -01.3279762993751| -13.713 19.083   |9.99     |A7             |    ~     ~    
4369|HD 298604                                                             |Spectroscopic Binary              |09 37 11.8474908552 -53 50 38.534038404|276.6762766575599 -01.1833609677392|  -14.667 9.085   |9.11     |K5             |    ~     ~    
4370|HD 83520                                                              |Double or Multiple Star           |09 37 12.65194 -53 40 06.6340          |276.56060270 -01.05130582          |   -24.62 -9.39   |5.467    |A2/3V          |    ~     ~    
4371|HD 83558                                                              |Star                              |09 37 33.7289829984 -53 45 13.771906524|276.6562438182905 -01.0802267823909|  -13.928 4.422   |9.59     |A0V            |    ~     ~    
4372|V* IO Vel                                                             |alpha2 CVn Variable               |09 38 03.2159284704 -54 13 08.778650664|277.0199965577791 -01.3793066814641|  -11.503 8.597   |6.871    |ApSi           |    ~     ~    
4373|HD 298608                                                             |Star                              |09 38 22.9103105520 -53 51 19.731664908|276.8142497892901 -01.0756085008002|   -6.137 3.017   |10.99    |A0             |    ~     ~    
4374|HD 298611                                                             |Eclipsing Binary                  |09 38 54.7995570264 -54 06 50.566528404|277.0443215891037 -01.2172001279940|   -8.125 5.777   |9.89     |B8             |    ~     ~    
4375|CD-53 3085                                                            |beta Cep Variable Candidate       |09 39 00.7973123040 -54 03 45.335050884|277.0211914430763 -01.1689558088524|   -8.216 5.779   |9.83     |B9             |    ~     ~    
4376|HD 298609                                                             |Star                              |09 39 12.3405127536 -54 03 12.001465296|277.0362112511754 -01.1433193260436|   -9.405 1.379   |8.84     |K0             |    ~     ~    
4377|HD 300166                                                             |Star                              |09 39 37.6556766960 -54 12 42.866525880|277.1874968150750 -01.2213415579928|   -6.831 4.621   |9.91     |B9             |    ~     ~    
4378|HD 298647                                                             |Star                              |09 39 47.7146456688 -54 05 24.449465256|277.1254310245884 -01.1137175603384|  -5.472 -3.202   |10.02    |A7             |    ~     ~    
4379|HD 300167                                                             |Star                              |09 39 54.2142405768 -54 10 24.523364100|277.1924099800375 -01.1658255843684|   -5.493 3.921   |9.01     |B8Iab          |    ~     ~    
4380|CD-53 3096                                                            |Star                              |09 40 00.9100297392 -54 01 38.247480768|277.1081753127826 -01.0452202712987|  -19.243 9.257   |9.99     |~              |    ~     ~    
4381|HD 82800                                                              |Star                              |09 32 27.8427901848 -54 15 22.677809076|276.4402956465394 -01.9559700417810|-24.357 -37.701   |8.08     |K2III          |    ~     ~    
4382|HD 82874                                                              |Star                              |09 32 50.6740174344 -54 27 14.263925544|276.6153363053761 -02.0634055659757|   -9.037 1.405   |9.74     |A0             |    ~     ~    
4383|HD 83267                                                              |Star                              |09 35 18.3537015336 -54 16 18.981261048|276.7568138323358 -01.6870085735673|  -10.121 3.293   |9.55     |B9III/IV       |    ~     ~    
4384|HD 83762                                                              |Star                              |09 38 49.8779041992 -54 19 30.473542416|277.1753353321923 -01.3831670012464| -16.301 17.125   |8.62     |G6III/IV       |    ~     ~    
4385|HD 82466                                                              |Star                              |09 30 12.4387844376 -54 56 17.940996564|276.6671603512875 -02.6774835623676| -20.109 15.897   |8.47     |B9IV           |    ~     ~    
4386|HD 82518                                                              |Star                              |09 30 27.6540081384 -55 13 55.555832424|276.8951865271706 -02.8665606706620|  -6.276 -5.748   |7.31     |M2III          |    ~     ~    
4387|HD 82534                                                              |Double or Multiple Star           |09 30 38.1978 -54 35 48.358            |276.4781354 -02.3862276            |      -8.6 -0.1   |9.62     |B5/7III/V      |    ~     ~    
4388|HD 300068                                                             |Star                              |09 30 39.5289755328 -55 29 41.505468864|277.0959030155852 -03.0387683393443|   0.231 -6.515   |9.39     |F2             |    ~     ~    
4389|HD 82856                                                              |Star                              |09 32 41.1795020832 -54 49 50.927928996|276.8545703217814 -02.3556265566826| -25.747 10.364   |7.15     |A1V            |    ~     ~    
4390|HD 82857                                                              |Star                              |09 32 43.2578775696 -55 12 10.452226140|277.1111963524646 -02.6253360930659|  -11.269 7.641   |9.88     |A1V            |    ~     ~    
4391|HD 82875                                                              |Star                              |09 32 51.8090180712 -54 35 45.829172328|276.7138612131959 -02.1659063894827| -18.232 20.768   |7.97     |A0V            |    ~     ~    
4392|HD 82950                                                              |Star                              |09 33 13.0915756560 -55 15 45.910971108|277.2039730572408 -02.6211879766161|  -11.086 5.507   |9.73     |A0V            |    ~     ~    
4393|HD 83092                                                              |Star                              |09 34 12.3304690464 -54 35 04.442469540|276.8492501049536 -02.0258447406786|   -3.392 4.777   |9.40     |G5/6(III)      |    ~     ~    
4394|HD 83234                                                              |Star                              |09 35 04.8396090576 -54 36 14.836311396|276.9561229303992 -01.9548393837732|  -7.683 15.371   |8.55     |K2III          |    ~     ~    
4395|HD 83347                                                              |Star                              |09 35 50.0748593208 -54 40 57.272509560|277.0896905119557 -01.9396424111702|  -14.234 4.964   |10.11    |A1/2IV/V       |    ~     ~    
4396|HD 82645                                                              |Star                              |09 31 13.1185392936 -55 34 00.095303316|277.2029680303238 -03.0369910923681|  13.802 32.618   |8.25     |G8/K0III       |    ~     ~    
4397|NGC 2925                           NGC 2925                           |Open Cluster                      |09 33 17.0 -53 24 47                   |275.9568 -01.2544                  |   -8.533 5.336   |8.3      |~              |16.9  16.9     
4398|IRAS 09287-5316                                                       |Star                              |09 30 24.5197264272 -53 30 06.039420696|275.7037091865321 -01.6107659317831|  -14.481 7.161   |10.46    |~              |    ~     ~    
4399|IRAS 09303-5314                                                       |Star                              |09 31 59.5478585688 -53 28 08.352713496|275.8536225539992 -01.4260538246626|   -4.850 4.215   |10.64    |~              |    ~     ~    
4400|IRAS 09307-5430                                                       |Star                              |09 32 20.6420210328 -54 44 05.616286080|276.7530960351401 -02.3188036036042| -13.771 12.383   |10.16    |M3             |    ~     ~    
4401|CD-53 2999                                                            |Star                              |09 30 54.3145832520 -54 00 27.367903188|276.1035155014373 -01.9295995645305|   -1.419 1.956   |10.33    |~              |    ~     ~    
4402|HD 298494                                                             |High Proper Motion Star           |09 31 06.8364211536 -53 26 39.688339668|275.7411176845722 -01.4971844172567| -54.246 23.871   |9.91     |F8             |    ~     ~    
4403|HD 298493                                                             |Star                              |09 31 29.0252280120 -53 14 23.807355648|275.6419659174428 -01.3100864846493| -13.792 10.224   |9.11     |M0             |    ~     ~    
4404|HD 298506                                                             |Star                              |09 31 46.5772991880 -53 48 37.588381344|276.0627340870692 -01.6979409203838|  -10.665 8.571   |9.56     |M0             |    ~     ~    
4405|HD 298503                                                             |Star                              |09 32 21.7705777344 -53 38 43.073389104|276.0139142295257 -01.5178935968778| -22.532 22.987   |9.45     |K5             |    ~     ~    
4406|CD-53 3015                                                            |Star                              |09 32 24.4867706664 -54 05 13.420977684|276.3192032795592 -01.8373900723260|  -10.845 9.113   |9.51     |~              |    ~     ~    
4407|NGC 2925 108                       HD 298541                          |Star                              |09 32 54.8464151088 -53 27 34.958949444|275.9479942205143 -01.3260517497271|  -11.199 8.166   |9.94     |F5             |    ~     ~    
4408|NGC 2925 92                        HD 298543                          |Spectroscopic Binary              |09 33 20.9422026648 -53 26 13.539158160|275.9802924182737 -01.2655363891938| -12.477 12.418   |9.268    |G5             |    ~     ~    
4409|CD-53 3029                                                            |Star                              |09 33 46.3040323680 -53 49 20.201844612|276.2871549316756 -01.5067504546301|   -6.477 4.849   |9.58     |~              |    ~     ~    
4410|HD 300044                                                             |Star                              |09 34 06.7516742064 -54 09 18.040060800|276.5490264181585 -01.7181695004759|   -5.399 4.958   |8.72     |M0             |    ~     ~    
4411|HD 298551                                                             |Star                              |09 34 36.1693031136 -53 42 12.523783104|276.2975718415506 -01.3361938703949|  -2.341 -3.826   |9.59     |G0             |    ~     ~    
4412|HD 298564                                                             |Star                              |09 35 17.5012206984 -54 05 19.967534952|276.6321532791126 -01.5528921072866|  -12.078 6.743   |9.85     |K0             |    ~     ~    
4413|HD 300111                                                             |High Proper Motion Star           |09 35 23.6906061840 -54 14 24.664666128|276.7450812558091 -01.6547663363697| -86.646 77.306   |9.77     |G0             |    ~     ~    
4414|CPD-53 2614                                                           |Spectroscopic Binary              |09 35 38.3063124672 -53 35 12.348942972|276.3326371909047 -01.1465948611853|   -7.666 5.617   |10.45    |~              |    ~     ~    
4415|HD 298488                                                             |Pulsating Variable                |09 32 57.0386345784 -53 16 24.009299544|275.8255728498390 -01.1853907258835|   -6.779 6.406   |10.44    |B8             |    ~     ~    
4416|HD 298491                                                             |Star                              |09 32 56.9990037168 -53 20 04.011196632|275.8669512286683 -01.2303710852159|   -9.088 4.717   |10.68    |A0             |    ~     ~    
4417|HD 298492                                                             |Star                              |09 32 08.1907485864 -53 18 20.654848008|275.7582613637274 -01.2918039883590|   -8.621 5.472   |10.87    |A0             |    ~     ~    
4418|HD 298497                                                             |Star                              |09 30 06.4446528744 -53 44 44.429308836|275.8383697549280 -01.8191226964361|  -22.204 4.839   |10.12    |A0             |    ~     ~    
4419|HD 298500                                                             |Star                              |09 30 31.8635926248 -53 49 36.487478640|275.9395782617908 -01.8353784454255|  -15.569 4.255   |10.19    |A0             |    ~     ~    
4420|HD 298501                                                             |Star                              |09 31 55.9417049160 -53 43 42.615258384|276.0238043950864 -01.6222359690683|   -8.254 5.606   |10.66    |A2             |    ~     ~    
4421|HD 298502                                                             |Star                              |09 32 03.9331772712 -53 40 14.748688380|275.9989368098359 -01.5665163982355| -11.954 10.192   |10.60    |A3             |    ~     ~    
4422|HD 298504                                                             |Star                              |09 32 09.5525531424 -53 43 55.938665964|276.0509167344791 -01.6021163457086|   -4.906 4.491   |10.95    |A0             |    ~     ~    
4423|HD 298505                                                             |Star                              |09 31 58.0968316392 -53 46 43.404383856|276.0618966822631 -01.6554070647924|   -5.129 4.432   |10.24    |B9             |    ~     ~    
4424|HD 298508                                                             |High Proper Motion Star           |09 31 33.8639092944 -53 55 05.687485608|276.1133675514773 -01.7981228620795| -80.184 39.277   |10.59    |G              |    ~     ~    
4425|HD 298537                                                             |Star                              |09 33 23.9948140608 -53 19 58.050165900|275.9152406300426 -01.1836415805433|  -3.695 -0.292   |10.90    |A              |    ~     ~    
4426|HD 298538                                                             |Star                              |09 33 02.2251022272 -53 21 47.294595612|275.8959650052343 -01.2426456296612|   -8.434 5.371   |10.82    |A3             |    ~     ~    
4427|HD 298539                                                             |Star                              |09 33 17.0141761344 -53 21 43.054920252|275.9222163135136 -01.2168622732789|   -8.783 5.111   |10.68    |A0             |    ~     ~    
4428|HD 298540                                                             |Star                              |09 32 59.0991158304 -53 25 28.496214876|275.9319238492545 -01.2930777091638|   -8.402 5.304   |10.17    |A3             |    ~     ~    
4429|HD 298544                                                             |Star                              |09 33 51.9482397912 -53 33 41.942464344|276.1211836765932 -01.3052788245880|   -8.826 1.738   |9.88     |B9             |    ~     ~    
4430|HD 298545                                                             |Pulsating Variable                |09 34 23.1854676648 -53 33 30.329731728|276.1760468674200 -01.2507013690549|   -5.108 6.547   |10.91    |A0             |    ~     ~    
4431|HD 298547                                                             |Star                              |09 36 00.3953007864 -53 34 30.702887076|276.3654056870691 -01.1013605557505|    4.399 3.474   |10.50    |A7             |    ~     ~    
4432|HD 298550                                                             |Star                              |09 36 14.3024267208 -53 39 23.430363480|276.4454215893715 -01.1386871755563|   -9.159 9.519   |10.88    |F2             |    ~     ~    
4433|HD 298552                                                             |Star                              |09 34 21.9821527584 -53 38 34.187246376|276.2307993788458 -01.3150185423010|   -9.093 4.120   |10.49    |A2             |    ~     ~    
4434|HD 298555                                                             |Star                              |09 33 53.0923046640 -53 42 46.402378560|276.2255092218143 -01.4148392996449|    0.207 0.653   |10.61    |A              |    ~     ~    
4435|HD 298557                                                             |Star                              |09 34 15.1501725000 -53 49 52.462012584|276.3455351849470 -01.4654351593921|  -15.492 9.437   |10.51    |A5             |    ~     ~    
4436|HD 298558                                                             |Star                              |09 32 36.8723463960 -53 51 04.337568684|276.1811736269874 -01.6437017100778|   -8.398 5.548   |10.48    |A0             |    ~     ~    
4437|HD 298559                                                             |Star                              |09 32 31.1510123400 -53 52 54.316615368|276.1916114323000 -01.6756709247470|  -6.148 -0.242   |10.48    |K2             |    ~     ~    
4438|HD 298560                                                             |Star                              |09 32 51.2485669608 -53 57 46.848794868|276.2830261164025 -01.7018505583573|   -5.901 3.879   |10.37    |A3             |    ~     ~    
4439|HD 298561                                                             |Star                              |09 33 27.4743196080 -53 58 53.580386856|276.3609015216115 -01.6553095143698|   -5.561 4.107   |10.73    |B9             |    ~     ~    
4440|HD 298562                                                             |Star                              |09 35 18.4894742664 -53 59 55.177880352|276.5732707236070 -01.4844767802699|   -7.815 6.858   |10.50    |B9             |    ~     ~    
4441|HD 298602                                                             |Star                              |09 37 40.8205142736 -53 42 30.921366816|276.6391403235475 -01.0348457859283|   -5.688 5.115   |10.28    |B8             |    ~     ~    
4442|HD 298603                                                             |Star                              |09 37 17.6262025848 -53 45 05.195936484|276.6250820906893 -01.1049005212221|   -6.944 6.149   |10.95    |A              |    ~     ~    
4443|HD 298605                                                             |Star                              |09 36 26.2583096472 -53 46 53.946024816|276.5511266536094 -01.2119056815396|   -5.619 1.990   |10.61    |F0             |    ~     ~    
4444|HD 298613                                                             |Star                              |09 37 56.9101891200 -54 09 34.993074996|276.9689962808294 -01.3451989537319| -18.613 12.740   |10.40    |A0             |    ~     ~    
4445|HD 300043                                                             |Pulsating Variable                |09 30 56.5694828640 -54 01 11.795633940|276.1159870685338 -01.9348355642563|   -7.378 4.881   |10.61    |B9             |    ~     ~    
4446|HD 300045                                                             |Star                              |09 31 47.0359845792 -54 19 14.501576028|276.4113724687357 -02.0706917594663|   -5.783 3.822   |10.50    |A2             |    ~     ~    
4447|HD 300048                                                             |Star                              |09 32 15.1228233528 -54 46 24.604388292|276.7696420266026 -02.3561314560817| -18.957 11.632   |10.10    |A2             |    ~     ~    
4448|HD 300049                                                             |Star                              |09 32 34.9374972624 -54 45 30.725705448|276.7944159206656 -02.3127728777700|   -6.957 6.304   |10.43    |A0             |    ~     ~    
4449|HD 300050                                                             |Star                              |09 32 59.3879618760 -54 50 36.998827944|276.8953752192376 -02.3353635993404|  -10.341 2.867   |9.93     |G0             |    ~     ~    
4450|HD 300052                                                             |Star                              |09 30 44.3822611440 -54 55 13.520232984|276.7106738769775 -02.6120663025187|   -6.241 4.763   |9.88     |B8             |    ~     ~    
4451|HD 300053                                                             |Star                              |09 30 01.1653785312 -54 52 01.451877060|276.5985691203254 -02.6441530003952|   -6.640 5.305   |9.92     |B9             |    ~     ~    
4452|HD 300064                                                             |Star                              |09 32 01.6310786256 -55 11 24.111717216|277.0297830572743 -02.6832328040976|   -8.862 5.803   |10.89    |A0             |    ~     ~    
4453|HD 300065                                                             |Spectroscopic Binary              |09 30 59.7173883456 -55 20 26.554466976|277.0251546416652 -02.8936794874141|  -13.463 3.070   |10.38    |F0             |    ~     ~    
4454|HD 300066                                                             |Spectroscopic Binary              |09 30 53.4359705088 -55 23 45.823656804|277.0521931794932 -02.9442358793855|  -8.307 -5.545   |10.00    |K2             |    ~     ~    
4455|HD 300067                                                             |Star                              |09 31 08.8161674448 -55 29 46.755792924|277.1473949965930 -02.9925462504749|  -10.459 7.092   |10.52    |A2             |    ~     ~    
4456|HD 300070                                                             |Pulsating Variable                |09 30 05.7631432032 -55 34 29.589240504|277.0927730316701 -03.1516085647428|  -4.933 -9.369   |10.08    |F0             |    ~     ~    
4457|HD 300110                                                             |Star                              |09 35 54.8909332632 -54 12 27.565356888|276.7795804578013 -01.5796332076744|   -6.171 4.423   |10.18    |B8             |    ~     ~    
4458|HD 300112                                                             |Eclipsing Binary                  |09 34 51.4752917904 -54 24 15.748210764|276.7976510076316 -01.8289101157944|   -5.543 5.063   |10.79    |A0             |    ~     ~    
4459|HD 300115                                                             |Star                              |09 34 25.5250747968 -54 43 24.670973100|276.9665826932167 -02.1069020561438| -14.404 11.102   |9.90     |A0             |    ~     ~    
4460|HD 300116                                                             |Star                              |09 34 55.9008248304 -54 50 01.401082584|277.0948744863790 -02.1391004076097|   12.274 5.915   |9.91     |K0             |    ~     ~    
4461|HD 300118                                                             |Star                              |09 34 32.9404448472 -55 02 51.699408396|277.1985663415391 -02.3342112198571|  -15.264 6.002   |10.93    |A3             |    ~     ~    
4462|HD 300123                                                             |Star                              |09 32 16.2380831520 -55 24 51.884629668|277.2081207216259 -02.8240035993213|   -7.969 5.799   |10.42    |A0             |    ~     ~    
4463|CD-53 3003                                                            |Star                              |09 31 08.5417023600 -53 40 45.044155164|275.9045999513884 -01.6658635992826|   -4.434 3.658   |10.21    |~              |    ~     ~    
4464|TYC 8584-45-1                                                         |Star                              |09 31 22.0779059256 -54 16 43.691106720|276.3383711337327 -02.0814279422408|   6.455 -2.456   |10.14    |~              |    ~     ~    
4465|TYC 8584-178-1                                                        |Star                              |09 32 20.9670619584 -53 09 42.218364708|275.6836952823977 -01.1645378612384|  -0.932 12.248   |10.62    |~              |    ~     ~    
4466|TYC 8584-220-1                                                        |Spectroscopic Binary              |09 30 45.3874273824 -53 30 35.760591864|275.7470893362852 -01.5814075499265|   -5.202 4.030   |10.47    |~              |    ~     ~    
4467|TYC 8584-407-1                                                        |High Proper Motion Star           |09 31 11.0716764864 -53 56 00.496273488|276.0828566217417 -01.8474062823287| -51.357 37.633   |10.92    |~              |    ~     ~    
4468|TYC 8584-924-1                                                        |Star                              |09 30 33.1916780400 -53 02 02.641257888|275.3993524561993 -01.2550246413505| -15.356 10.127   |10.87    |~              |    ~     ~    
4469|TYC 8584-1515-1                                                       |Star                              |09 30 06.9053108448 -53 50 23.075508768|275.9037066949410 -01.8868404596096|  -6.038 -5.650   |10.55    |~              |    ~     ~    
4470|TYC 8584-1666-1                                                       |Star                              |09 30 18.6903534744 -53 25 17.643857880|275.6382924640869 -01.5622825437171|   -7.186 6.993   |10.99    |~              |    ~     ~    
4471|TYC 8584-2457-1                                                       |High Proper Motion Star           |09 30 18.9473485992 -53 56 24.680018040|275.9941196073091 -01.9397398583307| -78.458 65.711   |10.39    |~              |    ~     ~    
4472|TYC 8584-2749-1                                                       |Star                              |09 31 23.6459156352 -53 34 27.864528888|275.8603589041501 -01.5638123374595|   -9.284 9.741   |10.93    |~              |    ~     ~    
4473|TYC 8585-261-1                                                        |Star                              |09 34 44.4720374856 -54 13 11.699772528|276.6607490986559 -01.7040494877848|  -10.796 7.286   |10.54    |~              |    ~     ~    
4474|TYC 8585-283-1                                                        |Star                              |09 33 53.0839366800 -54 15 56.451912372|276.5992730552979 -01.8222593803675|  -14.019 6.496   |10.71    |~              |    ~     ~    
4475|TYC 8585-401-1                                                        |Star                              |09 34 28.9563163416 -54 07 42.587068584|276.5711351472256 -01.6620278744412|  -2.336 14.423   |10.72    |~              |    ~     ~    
4476|TYC 8585-705-1                                                        |Star                              |09 34 05.0318157504 -54 03 43.065600480|276.4830569282286 -01.6523860941216|   -6.748 5.143   |9.99     |~              |    ~     ~    
4477|TYC 8585-957-1                                                        |Star                              |09 34 47.3899959600 -53 45 37.364024124|276.3563623149685 -01.3596062071826|   -8.666 7.822   |10.57    |~              |    ~     ~    
4478|TYC 8585-1093-1                                                       |Star                              |09 34 10.0289780064 -54 19 17.649250716|276.6674465730673 -01.8356235154945|   -5.618 5.077   |10.86    |~              |    ~     ~    
4479|TYC 8585-1183-1                                                       |Star                              |09 34 02.3238905280 -53 53 15.785434932|276.3604248404569 -01.5283774671966|  -1.227 -1.864   |10.65    |~              |    ~     ~    
4480|TYC 8585-1313-1                                                       |Star                              |09 35 11.5898448408 -53 26 24.327845412|276.1850370315618 -01.0824319394590|  -11.593 1.042   |10.70    |~              |    ~     ~    
4481|HD 298553                                                             |Star                              |09 33 33.8872582560 -53 37 37.113490236|276.1324596220674 -01.3836058099305| -24.591 10.132   |10.57    |F5             |    ~     ~    
4482|TYC 8585-1858-1                                                       |Star                              |09 38 16.0141035000 -54 03 20.380647240|276.9346401839457 -01.2364502464320| -17.792 12.938   |10.45    |~              |    ~     ~    
4483|TYC 8585-1904-1                                                       |Star                              |09 34 51.3190687224 -53 44 28.504492728|276.3506355841071 -01.3389471569775|   -8.901 6.225   |10.15    |~              |    ~     ~    
