C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:01:25

Vmag< 11&dec >=0&rah >=3.75&rah< 4.0
------------------------------------

Number of objects : 4192

 #  |                                               identifier                                                |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------
1883|HD 279097                                                                                                |Star                          |03 53 23.7888647280 +35 05 48.793765200|159.9687157623393 -14.3771189102571| 10.807 -12.035   |10.62    |A5               |    ~     ~    
1884|HD 279037                                                                                                |Star                          |03 48 52.8390139080 +34 41 46.116466008|159.5104367870014 -15.2836051002386|   0.944 -5.300   |9.90     |F5               |    ~     ~    
1885|HD 279035                                                                                                |Star                          |03 49 44.4266097768 +34 44 28.823512704|159.6199250796408 -15.1349600639129|   0.004 -4.755   |10.90    |K                |    ~     ~    
1886|HD 279102                                                                                                |Star                          |03 50 56.4811703400 +34 46 35.604524424|159.7906904672424 -14.9481937391573|   -8.211 0.466   |10.56    |K5               |    ~     ~    
1887|HD 279033                                                                                                |Star                          |03 50 33.6483561600 +34 52 28.138621692|159.6634089456413 -14.9244373081877|    4.056 1.092   |10.56    |K5               |    ~     ~    
1888|HD 279028                                                                                                |Spectroscopic Binary          |03 50 50.1935774784 +35 00 10.375645932|159.6216809416438 -14.7900745297404|  -2.124 -1.043   |9.65     |K7               |    ~     ~    
1889|IRAS 03496+3519                                                                                          |Long-Period Variable          |03 52 55.5530212200 +35 28 52.441292316|159.6343390005907 -14.1492518978154|  -1.744 -0.460   |10.29    |~                |    ~     ~    
1890|BD+35 765                                                                                                |Long-Period Variable Candidate|03 53 47.9581076016 +35 39 36.958049496|159.6521177787024 -13.8976569819149|   4.208 -4.486   |10.40    |~                |    ~     ~    
1891|HD 275909                                                                                                |Star                          |03 51 32.3754147984 +37 04 39.212132880|158.3484070684905 -13.1174560593042| 34.401 -20.996   |10.09    |K0               |    ~     ~    
1892|HD 275911                                                                                                |Star                          |03 49 06.8561643600 +37 07 30.116027388|157.9366906156415 -13.3922547696161|  9.930 -46.511   |9.75     |F8               |    ~     ~    
1893|HD 275954                                                                                                |Star                          |03 53 55.9149069753 +37 27 22.260615251|158.4677287223966 -12.5204956555130|       0.2 -1.5   |10.61    |F8               |    ~     ~    
1894|HD 275957                                                                                                |Star                          |03 55 05.8493395104 +37 14 57.075939636|158.7858975405824 -12.5259061923058|  14.910 24.608   |10.28    |K2               |    ~     ~    
1895|HD 275958                                                                                                |Star                          |03 55 54.1306854192 +37 23 55.634622432|158.8091314880195 -12.3080587341917| 16.795 -19.930   |10.66    |G0               |    ~     ~    
1896|HD 275963                                                                                                |Star                          |03 55 40.3294391640 +37 00 04.393123056|159.0411216864310 -12.6379812557096|   0.001 -3.174   |10.94    |G0               |    ~     ~    
1897|HD 279016                                                                                                |Star                          |03 49 41.1156565656 +35 47 43.280645820|158.9071785251129 -14.3374963545222| 22.191 -35.602   |9.79     |F5               |    ~     ~    
1898|HD 279085                                                                                                |Star                          |03 53 05.0031597168 +35 35 47.145348528|159.5817607018666 -14.0411033436739|  -3.114 -3.418   |10.70    |K0               |    ~     ~    
1899|HD 279090                                                                                                |Star                          |03 52 51.0004656120 +35 27 00.556613316|159.6432090979804 -14.1828767539933|   2.039 -7.888   |10.35    |K0               |    ~     ~    
1900|HD 279149                                                                                                |Star                          |03 54 57.0546966576 +36 23 40.350291612|159.3378351790865 -13.1905381382170| 40.679 -18.108   |10.92    |G5               |    ~     ~    
1901|HD 279151                                                                                                |Star                          |03 54 38.8845285912 +36 16 06.503832480|159.3754993839761 -13.3257018305534|  -0.790 -5.839   |10.53    |A2               |    ~     ~    
1902|HD 279163                                                                                                |High Proper Motion Star       |03 55 12.5345962128 +35 29 22.898010480|159.9901361513784 -13.8380112277916| 41.651 -37.842   |10.68    |F8               |    ~     ~    
1903|HD 275841                                                                                                |Star                          |03 47 03.1929164904 +37 04 37.088078088|157.6426356280969 -13.6913717788542|  1.634 -21.809   |10.48    |F5               |    ~     ~    
1904|HD 24051                                                                                                 |High Proper Motion Star       |03 51 25.7441593080 +37 26 38.201602236|158.0882974432454 -12.8519732620482|  49.561 -1.548   |8.89     |G                |    ~     ~    
1905|HD 275904                                                                                                |High Proper Motion Star       |03 49 15.9544217088 +37 17 56.543593812|157.8460206420206 -13.2392671070246|-16.258 -67.475   |10.13    |G0               |    ~     ~    
1906|HD 275905                                                                                                |Star                          |03 49 41.6693856504 +37 16 31.698528996|157.9287549337098 -13.2027238492037|   4.915 14.245   |10.41    |G5               |    ~     ~    
1907|HD 279086B                                                                                               |Star                          |03 53 31.5659402664 +35 37 54.302662668|159.6281223871868 -13.9555476438430|  -4.099 -2.434   |10.63    |~                |    ~     ~    
1908|HD 279038                                                                                                |Spectroscopic Binary          |03 49 05.2166217120 +34 37 33.105993528|159.5910551419761 -15.3099095804693|   2.875 -6.141   |9.88     |M0               |    ~     ~    
1909|TYC 2368-1665-1                                                                                          |Star                          |03 50 46.2393754152 +36 51 44.011872828|158.3707763981718 -13.3810518201321|  5.800 -10.020   |10.79    |~                |    ~     ~    
1910|TYC 2368-2105-1                                                                                          |Star                          |03 53 47.5017227376 +35 46 26.227022700|159.5742424816270 -13.8127448815811|   0.721 -4.247   |10.89    |~                |    ~     ~    
1911|TYC 2368-2473-1                                                                                          |Star                          |03 53 28.2758537952 +36 17 18.586511592|159.1776533698739 -13.4657348042659|  -0.411 -2.932   |10.64    |~                |    ~     ~    
1912|HD 279043                                                                                                |Star                          |03 47 41.8847463288 +34 19 24.763793772|159.5660689979077 -15.7255380655567| -2.211 -13.988   |10.87    |K0               |    ~     ~    
1913|HD 278989                                                                                                |Star                          |03 45 21.1633380816 +33 52 34.931255484|159.4762592935492 -16.3799444416955| 16.189 -30.455   |10.78    |F8               |    ~     ~    
1914|HD 278990                                                                                                |Star                          |03 45 48.3329259048 +33 37 56.000751348|159.7144396443802 -16.5075494292406|   -7.867 0.425   |10.27    |A2               |    ~     ~    
1915|HD 278987                                                                                                |Star                          |03 46 31.6624213968 +33 51 55.942299144|159.6787838794327 -16.2322296286891|   3.898 -5.803   |10.51    |A2               |    ~     ~    
1916|HD 279053                                                                                                |High Proper Motion Star       |03 47 43.3784191680 +33 52 32.499490476|159.8698711666156 -16.0649860474799| -3.158 -97.429   |9.79     |G0               |    ~     ~    
1917|HD 23625                                                                                                 |Spectroscopic Binary          |03 47 52.6647098784 +33 35 59.538731964|160.0806241673376 -16.2550839428407|   3.622 -5.118   |6.653    |B3V+B8.5V        |    ~     ~    
1918|AG+33 356                                                                                                |Long-Period Variable Candidate|03 48 03.5519697168 +33 46 35.939357544|159.9918791034147 -16.0956766352151|  1.678 -10.152   |9.37     |M2               |    ~     ~    
1919|HD 278997                                                                                                |High Proper Motion Star       |03 45 08.7354211248 +32 58 37.337865240|160.0418355529230 -17.0992005126231| 50.702 -36.177   |9.81     |G5               |    ~     ~    
1920|HD 281155                                                                                                |Eclipsing Binary              |03 46 47.1034751064 +32 36 18.904647132|160.5680932465744 -17.1626381003726| -27.538 -9.312   |9.20     |A7               |    ~     ~    
1921|HD 278994                                                                                                |Star                          |03 47 27.7677480888 +33 19 29.562079944|160.1966058557040 -16.5210352950552|  -1.122 -6.613   |9.71     |B9               |    ~     ~    
1922|HD 23322                                                                                                 |Star                          |03 45 27.0656793432 +32 17 15.426065868|160.5567875632094 -17.5868750480506|  -8.061 28.750   |7.86     |K2               |    ~     ~    
1923|HD 281157                                                                                                |Star                          |03 45 39.1600557240 +32 26 24.160284672|160.4882470149482 -17.4427457984704|   4.633 -5.621   |9.14     |B5               |    ~     ~    
1924|HD 23478                                                                                                 |Be Star                       |03 46 40.8712236312 +32 17 24.675566784|160.7635393062979 -17.4174330454689|  6.177 -10.445   |6.671    |B3IV             |    ~     ~    
1925|HD 23626                                                                                                 |Spectroscopic Binary          |03 47 49.0193230176 +32 11 43.491193404|161.0196400866830 -17.3342319344847|-22.008 -35.889   |6.252    |G0               |    ~     ~    
1926|EM* LkHA 330                                                                                             |T Tauri Star                  |03 45 48.2805122064 +32 24 11.850978276|160.5387711726652 -17.4502652799950|   4.527 -5.658   |10.97    |F7               |    ~     ~    
1927|HD 281225                                                                                                |Star                          |03 47 45.0017578392 +32 15 37.742739696|160.9641433353486 -17.2938894387880|  8.322 -12.005   |10.47    |A0               |    ~     ~    
1928|HD 279052                                                                                                |Star                          |03 47 47.9256141216 +34 02 02.230883556|159.7763373105519 -15.9338034850242|    1.690 0.193   |10.10    |K7               |    ~     ~    
1929|V* V928 Per                                                                                              |RS CVn Variable               |03 46 30.4351670184 +33 02 34.663984764|160.2265234654034 -16.8654571516886|  13.151 -6.572   |10.39    |F                |    ~     ~    
1930|HD 278998                                                                                                |Star                          |03 45 02.4488230176 +32 55 11.133609708|160.0625252258162 -17.1572790340243|-18.003 -45.523   |10.36    |G0               |    ~     ~    
1931|HD 281161                                                                                                |Star                          |03 45 47.8900378032 +32 00 58.550918508|160.7990622771118 -17.7473084785762|   3.913 -5.655   |9.88     |~                |    ~     ~    
1932|HD 24075                                                                                                 |High Proper Motion Star       |03 51 26.2984714584 +34 36 17.215584660|159.9866986281729 -15.0121442064680| 89.315 -57.115   |7.56     |K2               |    ~     ~    
1933|HD 279111                                                                                                |Star                          |03 51 51.1531805736 +34 28 51.817382724|160.1372037166693 -15.0502957598693| -0.231 -10.322   |9.26     |B8               |    ~     ~    
1934|V* V499 Per                                                                                              |alpha2 CVn Variable           |03 52 24.7315991880 +34 27 48.749295564|160.2394465480037 -14.9881743269506|   3.520 -4.511   |9.53     |~                |    ~     ~    
1935|HD 24242                                                                                                 |Star                          |03 52 49.6391213112 +34 28 30.935905464|160.2984442829831 -14.9232976908002|   4.702 -7.132   |9.52     |A0               |    ~     ~    
1936|HD 279107                                                                                                |Star                          |03 53 25.8065603016 +34 39 02.918051568|160.2762841572448 -14.7093822650432|   -8.635 1.436   |10.42    |A3               |    ~     ~    
1937|HD 24583                                                                                                 |Star                          |03 55 52.8874763928 +34 32 42.180063252|160.7402423102870 -14.4562925009815|   3.958 -5.459   |9.00     |A0               |    ~     ~    
1938|HD 23730                                                                                                 |Star                          |03 48 43.6222750104 +34 18 37.208154528|159.7436558267950 -15.5987463763087|  -4.489 -2.574   |7.13     |F8               |    ~     ~    
1939|HD 279046                                                                                                |Star                          |03 50 02.5649423088 +34 20 35.484005508|159.9364843942197 -15.3978987686773|   9.274 -7.160   |9.96     |K5               |    ~     ~    
1940|HD 279047                                                                                                |Star                          |03 50 15.8890351440 +34 21 45.536088276|159.9595502468619 -15.3533483445709| 20.871 -22.757   |9.09     |K7               |    ~     ~    
1941|HD 279112                                                                                                |Star                          |03 51 31.6327328616 +34 14 43.949961492|160.2437781341187 -15.2725471883361|  -0.165 -7.251   |10.06    |A2               |    ~     ~    
1942|HD 24131                                                                                                 |Star                          |03 51 53.7187356648 +34 21 32.823349956|160.2265996534578 -15.1368870728198|   3.373 -4.247   |5.772    |B1V              |    ~     ~    
1943|HD 24190                                                                                                 |Spectroscopic Binary          |03 52 18.9579628248 +34 13 19.612811028|160.3875221648486 -15.1837257494671|   4.110 -4.583   |7.45     |B2V              |    ~     ~    
1944|HD 279109                                                                                                |Star                          |03 53 18.0206236776 +34 22 58.417670100|160.4373423828802 -14.9290436565534| -1.390 -18.577   |10.48    |K0               |    ~     ~    
1945|HD 279108                                                                                                |Star                          |03 53 27.1871244360 +34 24 47.208599964|160.4413994956756 -14.8855574454525|  -13.765 6.359   |9.19     |F5               |    ~     ~    
1946|HD 279183                                                                                                |Star                          |03 55 03.4427493360 +34 25 36.898772268|160.6894106832599 -14.6572202599207|   3.168 -4.580   |10.20    |A3               |    ~     ~    
1947|HD 279189                                                                                                |Star                          |03 55 54.0824165040 +34 10 34.819564656|160.9959545782303 -14.7296550508228| 12.539 -16.506   |9.57     |G0               |    ~     ~    
1948|HD 279187                                                                                                |Star                          |03 55 57.0596654760 +34 18 03.659344380|160.9184173667862 -14.6295362674133|   4.291 -4.195   |10.06    |A2               |    ~     ~    
1949|HD 279184                                                                                                |Double or Multiple Star       |03 56 09.1883198496 +34 24 21.247688700|160.8788074150102 -14.5233662090315|      17.6 -6.7   |9.54     |A7               |    ~     ~    
1950|HD 279040                                                                                                |Star                          |03 50 55.0478319720 +34 33 52.111121220|159.9295981361289 -15.1125257910817|   4.034 -4.153   |10.90    |A0               |    ~     ~    
1951|HD 279105                                                                                                |Star                          |03 52 10.1134424760 +34 41 10.380831432|160.0495294305077 -14.8524461564548|   1.275 -5.896   |10.05    |A2               |    ~     ~    
1952|HD 279180                                                                                                |Spectroscopic Binary          |03 55 28.0469095248 +34 44 45.002641020|160.5371580124665 -14.3620829026259| 38.729 -32.241   |10.95    |F8               |    ~     ~    
1953|HD 279181                                                                                                |Spectroscopic Binary          |03 56 01.1901709560 +34 41 26.625807492|160.6626417548293 -14.3282955792575|   0.151 -3.259   |10.81    |G                |    ~     ~    
1954|HD 279044                                                                                                |Star                          |03 48 31.9142316192 +34 15 48.062015640|159.7431764073546 -15.6606493440561| -3.043 -13.687   |10.49    |K2               |    ~     ~    
1955|HD 279049                                                                                                |Star                          |03 50 08.6875969464 +34 16 53.074111548|159.9947034358327 -15.4312282323786|  -0.010 -4.745   |10.93    |K5               |    ~     ~    
1956|HD 279042                                                                                                |Star                          |03 49 17.9265479184 +34 25 36.715203948|159.7589576266759 -15.4335755957857| -12.008 -7.178   |9.23     |K0               |    ~     ~    
1957|HD 279188                                                                                                |Star                          |03 55 00.0365523624 +34 16 25.453658208|160.7849699039109 -14.7799356485342| 35.084 -16.305   |10.06    |F8               |    ~     ~    
1958|HD 279106                                                                                                |Star                          |03 52 07.6324177944 +34 38 59.493351192|160.0674371535186 -14.8855308428697|   0.664 -6.497   |10.35    |B9               |    ~     ~    
1959|HD 279175                                                                                                |Star                          |03 55 09.8657421816 +34 58 07.844822796|160.3370133079975 -14.2356549254729| 14.296 -26.346   |10.29    |G0               |    ~     ~    
1960|HD 23962                                                                                                 |Star                          |03 50 30.0873365400 +34 03 08.209180548|160.2074106843151 -15.5574328137869| 15.913 -21.351   |7.16     |K5III            |    ~     ~    
1961|HD 279118                                                                                                |Star                          |03 51 51.5864168208 +33 59 33.342845640|160.4691775889490 -15.4190829390102|-14.184 -17.673   |9.64     |G5               |    ~     ~    
1962|HD 279119                                                                                                |Star                          |03 51 52.3997323368 +33 55 41.221391880|160.5151385855813 -15.4660158164044|   3.507 -6.958   |10.44    |A2               |    ~     ~    
1963|HD 24252                                                                                                 |Star                          |03 52 58.7089196232 +33 29 11.292873972|160.9959634823816 -15.6485409625699| 23.401 -30.591   |8.75     |F2               |    ~     ~    
1964|HD 279125                                                                                                |Spectroscopic Binary          |03 54 05.5100518944 +33 31 58.161348372|161.1453970327319 -15.4607025252978|-15.668 -15.238   |9.44     |F5               |    ~     ~    
1965|HD 279121                                                                                                |Star                          |03 54 22.2450063408 +33 55 24.743319168|160.9230710142994 -15.1289891917561|   3.056 -9.752   |9.39     |K2               |    ~     ~    
1966|HD 279195                                                                                                |Star                          |03 56 01.7967027720 +33 44 22.122001248|161.3166868570329 -15.0386473342643|    1.967 5.313   |10.56    |F2               |    ~     ~    
1967|* n Per                                                                                                  |Spectroscopic Binary          |03 49 32.6836351824 +33 05 28.912464672|160.7002959408335 -16.4168333279894|  -19.334 7.638   |5.11     |A3V              |    ~     ~    
1968|HD 281290                                                                                                |Double or Multiple Star       |03 52 15.4406756520 +32 40 25.870028988|161.4339471605979 -16.3598221623273| 48.169 -25.524   |10.52    |F8               |    ~     ~    
1969|HD 279128                                                                                                |Spectroscopic Binary          |03 52 16.2817535040 +33 24 22.253119920|160.9352736176842 -15.8059942345342|  1.691 -12.230   |9.00     |B9               |    ~     ~    
1970|HD 279133                                                                                                |Pulsating Variable            |03 52 36.9641643072 +33 07 35.951907432|161.1827364767342 -15.9693319572221|   0.516 -2.197   |9.69     |A0               |    ~     ~    
1971|HD 24322                                                                                                 |Star                          |03 53 29.9061370296 +33 06 37.879251912|161.3382900961694 -15.8597105956433| 19.147 -30.514   |8.30     |A0               |    ~     ~    
1972|HD 24411                                                                                                 |Star                          |03 54 19.1815249680 +32 56 37.647135348|161.5871529178450 -15.8709587965132| 16.036 -27.043   |9.01     |A2V              |    ~     ~    
1973|HD 24612                                                                                                 |High Proper Motion Star       |03 56 09.6490603440 +33 03 32.714703360|161.8072352273926 -15.5283023037288| 24.455 -49.283   |8.87     |F8               |    ~     ~    
1974|HD 23802                                                                                                 |Double or Multiple Star       |03 49 07.3006279 +32 15 51.373504      |161.1922169577 -17.1025066065      |    10.23 -8.82   |7.44     |B9               |    ~     ~    
1975|HD 23963                                                                                                 |Star                          |03 50 29.2356553824 +32 25 52.627246752|161.3064801153272 -16.7876557943043|  -3.032 -2.169   |9.55     |A                |    ~     ~    
1976|HD 24039                                                                                                 |Star                          |03 50 58.8653418000 +32 10 10.451366184|161.5680816241770 -16.9168876134284| 15.563 -29.925   |9.30     |A2               |    ~     ~    
1977|HD 24228                                                                                                 |Star                          |03 52 39.7158349320 +32 24 30.778190712|161.6830967734022 -16.5031669776670| 42.766 -16.363   |6.74     |K0               |    ~     ~    
1978|HD 281217                                                                                                |Star                          |03 48 21.6920731320 +32 49 04.474441632|160.6887122327360 -16.7859670147881|  21.487 -9.680   |10.99    |F                |    ~     ~    
1979|HD 281220                                                                                                |Double or Multiple Star       |03 50 51.2242418304 +32 40 48.093951900|161.1974132399647 -16.5490799471607| 24.936 -31.123   |10.861   |F5               |    ~     ~    
1980|HD 281289                                                                                                |Star                          |03 52 38.8020779064 +32 40 46.820053632|161.4941940191027 -16.3014764988415| -5.737 -13.710   |10.75    |F0               |    ~     ~    
1981|HD 281291                                                                                                |Star                          |03 53 22.9548789624 +32 30 10.809126900|161.7370324814570 -16.3318325838406|  -1.318 -4.573   |10.99    |A0               |    ~     ~    
1982|HD 281223                                                                                                |Star                          |03 50 25.6210435920 +32 26 17.054335716|161.2918029401290 -16.7908456434383|  -2.200 -0.250   |10.74    |A0               |    ~     ~    
1983|HD 279050                                                                                                |Star                          |03 50 00.7599851160 +34 08 47.953807440|160.0639179584562 -15.5514626687758| 10.922 -12.332   |10.60    |F0               |    ~     ~    
1984|HD 279117                                                                                                |Star                          |03 51 45.2464010472 +34 05 46.256372016|160.3817593005231 -15.3550088832368|  -1.774 -4.251   |10.77    |K                |    ~     ~    
1985|HD 279190                                                                                                |Star                          |03 55 48.9459657528 +34 05 21.075801648|161.0420210720557 -14.8066284378634|  2.982 -14.969   |10.88    |G0               |    ~     ~    
1986|HD 279060                                                                                                |Star                          |03 48 19.6369181136 +33 29 31.886715228|160.2275649612063 -16.2767825732132|  3.434 -36.889   |10.91    |G0               |    ~     ~    
1987|HD 279057                                                                                                |High Proper Motion Star       |03 49 10.0102333800 +33 43 50.896089300|160.2054508956355 -15.9817583666905| 76.340 -91.441   |10.68    |F5               |    ~     ~    
1988|HD 279056                                                                                                |Star                          |03 50 05.5578897672 +33 43 30.347559552|160.3615515495563 -15.8611268045167|-10.518 -21.049   |10.71    |K0               |    ~     ~    
1989|HD 279055                                                                                                |Star                          |03 50 39.2705005488 +33 54 11.814704748|160.3331199762271 -15.6498874332935| -5.308 -10.044   |10.51    |K0               |    ~     ~    
1990|HD 279120                                                                                                |High Proper Motion Star       |03 52 38.8094406360 +33 52 23.276596764|160.6783004666929 -15.4023940026093| 44.298 -43.850   |10.59    |G0               |    ~     ~    
1991|HD 279061                                                                                                |Star                          |03 49 07.5050423112 +33 24 56.837629656|160.4111721514537 -16.2272092233155| -11.235 13.598   |10.63    |G0               |    ~     ~    
1992|HD 279065                                                                                                |Star                          |03 49 24.0911283120 +32 58 18.389047188|160.7576611505924 -16.5271803367721|  -0.095 -4.456   |10.44    |K5               |    ~     ~    
1993|HD 279062                                                                                                |Star                          |03 50 54.1091885472 +33 10 52.604086944|160.8635844887582 -16.1633951587911|-11.624 -19.995   |10.79    |F8               |    ~     ~    
1994|HD 279131                                                                                                |Star                          |03 52 16.6284064584 +33 12 20.913258312|161.0730207951156 -15.9563172206298|   3.233 -4.752   |10.59    |A3               |    ~     ~    
1995|HD 279130                                                                                                |Star                          |03 51 21.5653193184 +33 17 40.450101756|160.8617890908138 -16.0151138378783|  6.298 -10.363   |10.70    |G0               |    ~     ~    
1996|HD 279136                                                                                                |Star                          |03 52 01.7434019448 +32 56 26.003237892|161.2135936714238 -16.1904415079335| 11.171 -18.861   |10.93    |F5               |    ~     ~    
1997|HD 279137                                                                                                |Star                          |03 52 22.9277345328 +32 53 44.122482816|161.3025115137631 -16.1756066776941|   2.729 -3.857   |10.91    |B9               |    ~     ~    
1998|HD 281285                                                                                                |Star                          |03 53 10.3481875488 +32 49 38.769791916|161.4792293071248 -16.1174995661440| -1.552 -10.358   |10.44    |A5               |    ~     ~    
1999|HD 279129                                                                                                |Star                          |03 53 53.5050707472 +33 17 22.554326256|161.2796240665138 -15.6708974860140| 20.743 -26.158   |9.886    |F2               |    ~     ~    
2000|HD 281288                                                                                                |Star                          |03 54 06.6220660296 +32 34 51.797390520|161.8029376493617 -16.1717875469242|   7.572 -2.534   |10.67    |A5               |    ~     ~    
2001|HD 279132                                                                                                |Star                          |03 54 14.0113113120 +33 08 26.444457924|161.4376098085677 -15.7353619961093|  -1.406 -1.112   |9.93     |K7               |    ~     ~    
2002|HD 281286                                                                                                |Star                          |03 55 02.1412846128 +32 45 42.276577356|161.8297129311238 -15.9073909648416|   0.502 -7.648   |10.95    |G5               |    ~     ~    
2003|HD 279122                                                                                                |High Proper Motion Star       |03 53 28.1689104144 +33 45 10.836914292|160.8937620342117 -15.3805965906170| 39.116 -42.343   |10.98    |F8               |    ~     ~    
2004|HD 279126                                                                                                |Long-Period Variable          |03 53 48.8740684752 +33 27 22.212474228|161.1528604058660 -15.5564385704342|   -3.716 0.678   |10.16    |K2               |    ~     ~    
2005|HD 279196                                                                                                |Star                          |03 56 20.0871085176 +33 42 23.554421172|161.3883821955515 -15.0210971358621| -6.119 -20.785   |10.602   |F8               |    ~     ~    
2006|HD 23699                                                                                                 |Star                          |03 48 23.6300178240 +31 57 45.696468924|161.2754197589376 -17.4317312220180|-15.341 -29.131   |8.20     |A3               |    ~     ~    
2007|HD 279059                                                                                                |Star                          |03 49 19.0833093480 +33 35 51.807527700|160.3201549898697 -16.0626635478766|   1.545 -9.424   |8.95     |K0               |    ~     ~    
2008|HD 24038                                                                                                 |Double or Multiple Star       |03 51 01.44830 +32 33 30.2113          |161.30884922 -16.61746022          |    8.14 -18.14   |9.15     |A2               |    ~     ~    
2009|HD 279039A                                                                                               |Star                          |03 50 24.1070360040 +34 40 09.531672600|159.7755058135412 -15.1017451436139|  -7.491 -4.927   |10.69    |~                |    ~     ~    
2010|HD 279098                                                                                                |Star                          |03 53 18.0909105456 +34 54 35.005002732|160.0801998015509 -14.5312423791319|  -0.747 -5.276   |10.16    |F0               |    ~     ~    
2011|HD 279174                                                                                                |Star                          |03 54 44.8670032776 +34 57 36.347028228|160.2767359765030 -14.2985069232937|  5.267 -15.021   |9.70     |K2               |    ~     ~    
2012|HD 279172                                                                                                |Star                          |03 55 36.0216821808 +35 01 39.277807032|160.3661848838327 -14.1326033198135|  -1.090 -1.469   |10.16    |K7               |    ~     ~    
2013|HD 279103                                                                                                |Spectroscopic Binary          |03 51 35.9719911168 +34 46 23.669389776|159.8991197998407 -14.8627570309879|   -2.771 1.611   |10.47    |G0               |    ~     ~    
2014|2MASS J03494195+3230255                                                                                  |Red Giant Branch star         |03 49 41.9558158680 +32 30 25.401183300|161.1233339402289 -16.8389295672409|   1.684 -4.312   |10.69    |~                |    ~     ~    
2015|TYC 2360-801-1                                                                                           |Star                          |03 48 28.1728611744 +31 55 25.147971804|161.3148387639324 -17.4509132720741|  -1.351 -0.434   |10.95    |A1/2             |    ~     ~    
2016|TYC 2360-1269-1                                                                                          |Star                          |03 52 39.9082793160 +32 58 42.116075616|161.2923339717825 -16.0742051019090|   2.764 -5.667   |10.78    |~                |    ~     ~    
2017|HD 279207                                                                                                |Star                          |03 56 14.7036732600 +32 56 40.728085728|161.9001047272698 -15.6018204115537|  2.217 -22.608   |9.94     |K5               |    ~     ~    
2018|HD 279041                                                                                                |Star                          |03 50 45.5212947864 +34 28 29.292978360|159.9642713352699 -15.2019159334278|  -4.426 -6.810   |10.65    |A0               |    ~     ~    
2019|TYC 2364-2252-1                                                                                          |Star                          |03 52 30.9650718072 +34 37 44.391719604|160.1441775960892 -14.8490383793453|  -2.889 17.531   |10.74    |~                |    ~     ~    
2020|HD 281163                                                                                                |Star                          |03 46 32.1039868560 +31 29 51.174453048|161.2768094311658 -18.0421146669578|  -1.242 -4.805   |10.85    |K0               |    ~     ~    
2021|HD 281164                                                                                                |Star                          |03 45 06.4977432552 +31 05 40.879557636|161.3061293714303 -18.5465134334283|    2.622 0.970   |9.50     |A3               |    ~     ~    
2022|HD 281174                                                                                                |Chemically Peculiar Star      |03 46 14.4598653216 +30 31 29.450876376|161.8912548892303 -18.8233488528678|  12.508 -7.360   |10.20    |A7mF3            |    ~     ~    
2023|HD 281172                                                                                                |Double or Multiple Star       |03 46 50.04008 +30 48 33.4365          |161.79841223 -18.52429885          |   -10.53 -5.23   |9.94     |A0               |    ~     ~    
2024|HD 281168                                                                                                |Star                          |03 45 44.4748795608 +30 56 40.896001068|161.5175437967879 -18.5733553267502|    4.202 2.246   |10.27    |K5               |    ~     ~    
2025|HD 281170                                                                                                |Star                          |03 46 37.7741028240 +30 52 21.750920328|161.7197745950132 -18.5046161602764| 12.857 -25.456   |10.38    |G0               |    ~     ~    
2026|HD 281173                                                                                                |Star                          |03 46 25.6785358416 +30 46 33.641284260|161.7513045945521 -18.6062524732606|  -0.516 -5.103   |10.19    |K2               |    ~     ~    
2027|HD 281240                                                                                                |Star                          |03 47 51.7579377312 +30 52 59.618896716|161.9242179179322 -18.3243850668142|  4.262 -12.612   |10.50    |G0               |    ~     ~    
2028|HD 281176                                                                                                |Star                          |03 45 13.5920016120 +30 15 41.257897524|161.8959189104579 -19.1657085348985|  -4.411 -3.613   |10.67    |K7               |    ~     ~    
2029|HD 281167                                                                                                |Star                          |03 45 04.2640812024 +30 54 32.023132812|161.4262396953919 -18.6935749798610|  -5.959 -1.403   |9.90     |A2               |    ~     ~    
2030|HD 281169                                                                                                |Star                          |03 45 50.7195167520 +30 59 58.719167124|161.4979672484590 -18.5170273966148|  -7.779 -2.669   |10.08    |K7               |    ~     ~    
2031|HD 281186                                                                                                |Star                          |03 45 07.0944413784 +29 49 05.458480356|162.1816643126391 -19.5183430250021| 28.529 -12.514   |9.09     |F2               |    ~     ~    
2032|HD 281195                                                                                                |Star                          |03 45 05.9667695256 +29 37 37.841383740|162.3100098405977 -19.6662589630165|   1.853 -6.311   |9.18     |A0               |    ~     ~    
2033|HD 281199                                                                                                |Star                          |03 45 46.0830424728 +29 29 21.557489496|162.5225189312874 -19.6763588092555|  -4.989 -5.053   |9.78     |A7               |    ~     ~    
2034|HD 23459                                                                                                 |Star                          |03 46 25.8266481576 +29 40 19.432959744|162.5119158383202 -19.4439036900208|-12.763 -34.708   |8.36     |B9               |    ~     ~    
2035|HD 281180                                                                                                |Star                          |03 47 15.4379751816 +30 08 58.248550140|162.3255278306978 -18.9652793351536|   3.812 -3.611   |9.49     |G5               |    ~     ~    
2036|HD 281259                                                                                                |Star                          |03 47 21.6525695400 +29 43 36.036710400|162.6361485385224 -19.2704986771523|    0.315 3.046   |9.45     |K7               |    ~     ~    
