C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:01:25

Vmag< 11&dec >=0&rah >=3.75&rah< 4.0
------------------------------------

Number of objects : 4192

 #  |                                               identifier                                                |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------
47  |HD 275778                                                                                                |Star                          |03 48 41.9673295464 +41 17 01.522851288|155.1711940486371 -10.2337509898833|  11.956 -5.792   |10.03    |B9               |    ~     ~    
48  |HD 275790                                                                                                |Star                          |03 47 58.1988896512 +40 20 01.014632698|155.6729419404082 -11.0575625066691|      -10.1 4.4   |10.53    |G5               |    ~     ~    
49  |HD 275792                                                                                                |Star                          |03 48 45.2731926576 +40 11 53.953423224|155.8782582480754 -11.0676738672398|  17.029 -6.129   |10.07    |F5               |    ~     ~    
50  |HD 275846                                                                                                |Star                          |03 50 43.3437108528 +41 36 48.667944528|155.2564619283557 -09.7383862368487| -15.825 -2.718   |10.30    |F5               |    ~     ~    
51  |HD 275847                                                                                                |Star                          |03 50 24.8444906400 +41 38 01.555242036|155.1982839180488 -09.7594162440569|  1.731 -12.185   |10.20    |A7               |    ~     ~    
52  |HD 275848                                                                                                |Star                          |03 49 46.9780729824 +41 42 16.429845600|155.0602740188388 -09.7795345629043|   9.260 -4.287   |9.50     |K5               |    ~     ~    
53  |HD 275849                                                                                                |High Proper Motion Star       |03 49 54.8013524664 +41 31 48.275262408|155.1917192015461 -09.8989767041750| 14.409 -48.099   |9.67     |G0               |    ~     ~    
54  |HD 275855                                                                                                |Star                          |03 49 47.4906857208 +40 58 22.021151376|155.5331244808410 -10.3441087089311| 14.116 -14.772   |10.70    |F8               |    ~     ~    
55  |HD 275856                                                                                                |Star                          |03 51 42.7289335056 +40 36 12.446226180|156.0572461309436 -10.3966627457227|  7.307 -19.033   |10.41    |G0               |    ~     ~    
56  |HD 275857                                                                                                |Star                          |03 49 27.2549272584 +40 24 50.163481656|155.8439623088247 -10.8163769046275| 28.437 -22.441   |9.85     |F2               |    ~     ~    
57  |HD 275858                                                                                                |Star                          |03 49 54.0095 +40 23 45.063            |155.9223733 -10.7763712            | 11.154 -15.702   |10.34    |A0               |    ~     ~    
58  |HD 275859                                                                                                |Star                          |03 49 49.6449382608 +40 19 24.204288180|155.9584268305562 -10.8410893936306|  -0.917 -3.173   |10.80    |A                |    ~     ~    
59  |HD 275860                                                                                                |Star                          |03 49 24.8461269672 +40 15 57.974756256|155.9335649512612 -10.9354125702120|-13.322 -13.634   |9.80     |G5               |    ~     ~    
60  |HD 275924                                                                                                |Star                          |03 53 50.1774994440 +40 49 27.853107456|156.2260493029407 -09.9686108865115| 19.231 -19.591   |10.50    |F2               |    ~     ~    
61  |TYC 2867-941-1                                                                                           |Star                          |03 47 01.0213667112 +41 10 26.744236500|154.9915739849813 -10.5181351570460|   7.477 -6.352   |10.44    |~                |    ~     ~    
62  |TYC 2867-1031-1                                                                                          |Star                          |03 48 43.4906372952 +41 11 30.151448196|155.2340657414600 -10.3020758762949|  -0.454 -1.877   |10.76    |~                |    ~     ~    
63  |TYC 2867-1249-1                                                                                          |Star                          |03 45 58.2901744320 +40 31 04.936605852|155.2533745673645 -11.1532645255050|   -3.383 1.248   |10.94    |~                |    ~     ~    
64  |TYC 2867-1380-1                                                                                          |Star                          |03 47 58.4353622736 +40 32 52.432781388|155.5357437347991 -10.8908996440067|  -13.183 1.478   |10.45    |~                |    ~     ~    
65  |TYC 2867-1559-1                                                                                          |Star                          |03 45 33.3942596064 +40 47 52.915243596|155.0124283863324 -10.9839305132338|  -4.444 -2.064   |10.84    |~                |    ~     ~    
66  |TYC 2867-2034-1                                                                                          |Star                          |03 47 30.9836790936 +40 22 56.706604536|155.5732544695484 -11.0742034185521| 20.603 -23.528   |10.55    |~                |    ~     ~    
67  |TYC 2868-147-1                                                                                           |Star                          |03 53 09.6035006760 +40 23 40.802693856|156.4080645307135 -10.3797667871764|  -4.283 -4.000   |10.67    |~                |    ~     ~    
68  |TYC 2868-330-1                                                                                           |Star                          |03 53 10.1658770160 +40 55 01.042678668|156.0676153851842 -09.9791373570952| -16.134 -4.582   |10.65    |~                |    ~     ~    
69  |TYC 2868-480-1                                                                                           |Star                          |03 53 15.2559493584 +41 13 11.455846572|155.8821499313894 -09.7370413961394|  5.095 -12.692   |10.78    |~                |    ~     ~    
70  |TYC 2871-503-1                                                                                           |Star                          |03 49 00.5932644120 +41 57 46.669981068|154.7812487012245 -09.6705688768063| 10.465 -15.118   |9.48     |~                |    ~     ~    
71  |TYC 2871-709-1                                                                                           |Star                          |03 49 35.9078586408 +41 48 26.799892272|154.9671179469412 -09.7217481210881|   5.612 -7.255   |10.66    |~                |    ~     ~    
72  |TYC 2871-2035-1                                                                                          |Star                          |03 46 41.6406755568 +42 20 56.029396668|154.1965809464976 -09.6399878172266|   -1.577 4.289   |10.44    |~                |    ~     ~    
73  |TYC 2871-2187-1                                                                                          |Star                          |03 47 13.4220613608 +42 10 48.863844840|154.3811896969848 -09.7102100556256|   28.236 3.802   |10.17    |~                |    ~     ~    
74  |TYC 2871-2332-1                                                                                          |Star                          |03 45 24.8811134400 +42 02 53.623304592|154.1988460928145 -10.0227875082007|  -4.173 -4.511   |10.05    |~                |    ~     ~    
75  |TYC 2871-2334-1                                                                                          |Star                          |03 49 07.7018916120 +42 01 56.034279588|154.7541749746488 -09.6029661449329|   9.683 -9.348   |10.89    |~                |    ~     ~    
76  |TYC 2871-2390-1                                                                                          |Star                          |03 47 53.4065399256 +42 02 51.960368796|154.5631603679503 -09.7357852428176|   7.836 -7.809   |10.39    |~                |    ~     ~    
77  |HD 23179                                                                                                 |Star                          |03 45 01.3893071808 +45 55 13.795619952|151.7191914374809 -07.0249032390409|   0.430 -1.501   |9.12     |A2               |    ~     ~    
78  |HD 23287                                                                                                 |Star                          |03 45 53.2311831528 +45 35 59.779675356|152.0381053758935 -07.1840221410373| 23.209 -27.745   |7.57     |A0               |    ~     ~    
79  |HD 23300                                                                                                 |Star                          |03 45 59.2599323352 +45 40 54.837597144|152.0008914791346 -07.1087723430297| 22.002 -18.691   |5.655    |B6V              |    ~     ~    
80  |TYC 3326-1474-1                                                                                          |Star                          |03 46 10.6647828240 +45 44 26.930739732|151.9903909199984 -07.0419635740068|   7.370 -1.386   |10.9     |~                |    ~     ~    
81  |TYC 3326-1720-1                                                                                          |Star                          |03 46 01.3289116008 +45 47 49.864947252|151.9337558515574 -07.0144969741878| 21.034 -16.737   |9.74     |~                |    ~     ~    
82  |TYC 3326-1892-1                                                                                          |Star                          |03 46 08.3504231160 +45 36 57.087822996|152.0630548072202 -07.1442375086461|   1.970 -6.883   |10.5     |~                |    ~     ~    
83  |BD+42 822                                                                                                |Star                          |03 47 36.1021893624 +43 00 08.867178972|153.9140352598198 -09.0257814652449|  -0.418 -5.990   |10.46    |A0               |    ~     ~    
