C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:08:27

dec >=0&rah >=6.75&rah< 7.0&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 8283

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
42  |HD 46550                                                                                                 |Spectroscopic Binary              |06 47 01.2474567504 +80 14 32.128844604|133.8482163030393 +26.5180811787100|   27.151 5.331   |7.30     |K0                   |    ~     ~    |    1|  223.864   pc  |  -5.5778     +5.5778  |paral   |2020yCat.1350....0G
43  |BD+80 219                                                                                                |Star                              |06 54 02.9977689840 +80 15 19.876146516|133.8635031933937 +26.8156820488177|   1.547 -1.642   |9.86     |F2                   |    ~     ~    |    1|  190.716   pc  | -13.7088    +13.7088  |paral   |2020yCat.1350....0G
44  |BD+80 221                                                                                                |Star                              |06 59 56.2906399656 +80 44 58.203602988|133.3268847476168 +27.0880203865814|    2.757 3.317   |9.84     |M0                   |    ~     ~    |    1| 1391.982   pc  | -23.6389    +23.6389  |paral   |2020yCat.1350....0G
45  |BD+80 223                                                                                                |Star                              |06 58 55.1604417000 +79 55 34.952791152|134.2473670508477 +27.0028667936553|  4.181 -20.628   |9.76     |K2                   |    ~     ~    |    1|  570.353   pc  |  -4.4892     +4.4892  |paral   |2020yCat.1350....0G
46  |BD+79 213                                                                                                |Star                              |06 48 15.9157229760 +79 07 00.891658344|135.1049265656084 +26.4525577868998|  5.770 -31.670   |10.18    |F5                   |    ~     ~    |    1|  200.965   pc  |  -0.5008     +0.5008  |paral   |2020yCat.1350....0G
47  |AG+79 202                                                                                                |Spectroscopic Binary              |06 48 44.9486053656 +79 29 23.593678620|134.6933057382169 +26.5148086842784|  -2.612 -7.608   |10.61    |G5                   |    ~     ~    |    1|  269.957   pc  |  -0.8454     +0.8454  |paral   |2020yCat.1350....0G
48  |BD+79 215                                                                                                |Star                              |06 53 25.4774461896 +79 28 33.244674024|134.7314535949753 +26.7258783128374| -2.052 -12.753   |10.10    |F5                   |    ~     ~    |    1|  468.999   pc  |  -2.9255     +2.9255  |paral   |2020yCat.1350....0G
49  |BD+79 217                                                                                                |Star                              |06 57 05.5917028176 +78 55 21.211441680|135.3646397302378 +26.8532689402111| 11.599 -42.397   |9.52     |F5                   |    ~     ~    |    1|  185.099   pc  |  -0.3666     +0.3666  |paral   |2020yCat.1350....0G
50  |BD+78 231                                                                                                |Star                              |06 47 07.8846857208 +78 34 33.193183872|135.6979508064075 +26.3362057422692|   -4.500 2.570   |9.49     |K0                   |    ~     ~    |    1|  547.196   pc  |  -3.4134     +3.4134  |paral   |2020yCat.1350....0G
51  |BD+78 232                                                                                                |Star                              |06 48 18.7323642628 +78 39 13.149648820|135.6193038540926 +26.4031248109326| -5.758 -26.368   |9.65     |F8                   |    ~     ~    |    0|                |                       |        |                   
52  |PM J06521+7908                                                                                           |High Proper Motion Star           |06 52 09.6240616416 +79 08 54.160120248|135.0907309369971 +26.6383920239044| 5.320 -126.176   |10.919   |K7e                  |    ~     ~    |    1|   39.982   pc  |  -0.0209     +0.0209  |paral   |2020yCat.1350....0G
53  |TYC 4530-211-1                                                                                           |Star                              |06 55 19.0111197624 +78 44 21.109576596|135.5618595327251 +26.7530992880450|   20.228 1.333   |10.43    |~                    |    ~     ~    |    1|  219.414   pc  |  -1.1265     +1.1265  |paral   |2020yCat.1350....0G
54  |TYC 4530-297-1                                                                                           |Star                              |06 48 47.5110519624 +78 44 16.310463432|135.5288058350883 +26.4359195786153|  9.370 -20.230   |10.50    |~                    |    ~     ~    |    1|  839.631   pc  |  -8.6712     +8.6712  |paral   |2020yCat.1350....0G
55  |TYC 4530-570-1                                                                                           |Star                              |06 54 48.4254083784 +78 30 10.665512712|135.8229961233828 +26.7079009073176|  5.687 -24.500   |10.81    |~                    |    ~     ~    |    1|  279.486   pc  |  -1.7810     +1.7810  |paral   |2020yCat.1350....0G
56  |TYC 4534-55-1                                                                                            |Star                              |06 57 27.9549814752 +80 37 10.989663564|133.4665934742159 +26.9814099972227|  -1.204 -1.568   |10.31    |~                    |    ~     ~    |    1| 1399.776   pc  | -21.3572    +21.3572  |paral   |2020yCat.1350....0G
57  |TYC 4534-135-1                                                                                           |Star                              |06 54 10.7785064112 +80 28 50.998338048|133.6121601338884 +26.8377669296873|   1.347 -1.832   |10.59    |~                    |    ~     ~    |    1| 1336.362   pc  | -49.2899    +49.2899  |paral   |2020yCat.1350....0G
58  |TYC 4534-519-1                                                                                           |High Proper Motion Star           |06 48 59.2161874848 +79 57 08.346372984|134.1802888851442 +26.5724961898605|-41.487 -71.321   |10.68    |~                    |    ~     ~    |    1|  200.678   pc  |  -0.4994     +0.4994  |paral   |2020yCat.1350....0G
59  |TYC 4534-699-1                                                                                           |Star                              |06 49 34.7371504464 +80 17 48.300840024|133.7996283934788 +26.6310617311784|  0.568 -26.983   |9.85     |~                    |    ~     ~    |    1|  243.700   pc  |  -1.1937     +1.1937  |paral   |2020yCat.1350....0G
60  |TYC 4534-1005-1                                                                                          |Star                              |06 58 42.6582231984 +79 51 41.495246748|134.3194271408816 +26.9899706033427|   16.368 5.981   |10.73    |~                    |    ~     ~    |    1|  357.679   pc  |  -1.2793     +1.2793  |paral   |2020yCat.1350....0G
61  |TYC 4534-1138-1                                                                                          |Star                              |06 57 34.7589791760 +79 18 43.919996760|134.9307516193335 +26.9039366730501|  -0.070 -3.052   |10.12    |~                    |    ~     ~    |    1|  940.380   pc  | -27.0600    +27.0600  |paral   |2020yCat.1350....0G
62  |TYC 4534-1185-1                                                                                          |Star                              |06 57 26.9292726048 +79 46 11.640038844|134.4181474015668 +26.9286076072153|    2.540 1.458   |10.66    |~                    |    ~     ~    |    1| 1933.114   pc  | -42.9747    +42.9747  |paral   |2020yCat.1350....0G
63  |TYC 4534-1346-1                                                                                          |Star                              |06 51 21.2505887328 +78 52 25.264568928|135.3924236514453 +26.5738185886380|  -1.049 -1.629   |9.81     |~                    |    ~     ~    |    1| 1499.700   pc  | -25.1899    +25.1899  |paral   |2020yCat.1350....0G
64  |TYC 4534-1481-1                                                                                          |High Proper Motion Star           |06 56 51.6941852256 +79 59 12.655141944|134.1734560895116 +26.9170427970863| 27.311 -46.079   |10.92    |~                    |    ~     ~    |    1|  172.965   pc  |  -0.4248     +0.4248  |paral   |2020yCat.1350....0G
65  |TYC 4534-1530-1                                                                                          |Star                              |06 50 45.8361864984 +79 00 01.646659440|135.2482407524891 +26.5582503977924|  -0.231 -6.633   |10.56    |~                    |    ~     ~    |    1|  526.343   pc  |  -3.2136     +3.2136  |paral   |2020yCat.1350....0G
66  |TYC 4534-1562-1                                                                                          |Star                              |06 48 33.0871691088 +79 25 23.644370568|134.7663126244376 +26.4988082426599|  1.322 -14.392   |10.86    |~                    |    ~     ~    |    0|                |                       |        |                   
67  |TYC 4538-203-1                                                                                           |Star                              |06 53 46.4369115216 +80 39 46.610430084|133.4072509841620 +26.8344567138792|    0.353 2.826   |10.61    |~                    |    ~     ~    |    1|  904.895   pc  | -23.9919    +23.9919  |paral   |2020yCat.1350....0G
68  |TYC 4538-631-1                                                                                           |Star                              |06 49 18.6297687264 +81 19 56.711018496|132.6442487289324 +26.7136088620053|   12.911 7.084   |10.88    |~                    |    ~     ~    |    1|  454.256   pc  |  -2.5381     +2.5381  |paral   |2020yCat.1350....0G
69  |HD 48192                                                                                                 |Star                              |06 52 41.0680290624 +78 05 18.250386288|136.2734483579494 +26.5618970084248|  1.348 -34.923   |8.30     |A5                   |    ~     ~    |    1|  187.245   pc  |  -0.7889     +0.7889  |paral   |2020yCat.1350....0G
70  |TYC 4530-1819-1                                                                                          |Star                              |06 46 21.9773451624 +77 25 00.990619716|136.9742923914598 +26.1511959989364|  -4.657 -0.546   |10.07    |K2                   |    ~     ~    |    1| 1431.434   pc  | -23.9733    +23.9733  |paral   |2020yCat.1350....0G
