C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:18:42

dec< 0&rah >=14.0&rah< 14.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5673

 #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
32  |NGC 5400                           NGC 5400                                                                                                 |Active Galaxy Nucleus                 |14 00 37.2019047360 -02 51 28.136336400|334.7160092594372 +55.6854640006759|            ~ ~   |     ~   |~              |0.860 0.740    |    1|  107.63    Mpc |                         |redshift|2007ApJ...655..790C
33  |BD-03 3565                                                                                                                                  |Star                                  |14 00 18.7037816352 -04 31 17.804578836|333.2635269013972 +54.2435483597094| -23.027 -7.845   |10.841   |~              |    ~     ~    |    1| 3063.140   pc  |-549.9000   +549.9000    |ST-L    |2020AJ....160...83S
34  |BD-02 3769                                                                                                                                  |Star                                  |14 00 39.6731602128 -03 02 17.333192472|334.5825327648860 +55.5213301625280|  22.992 -6.125   |10.561   |~              |    ~     ~    |    1|  222.691   pc  |  -3.0610     +3.0610    |ST-L    |2020AJ....160...83S
35  |BD-04 3608                                                                                                                                  |Star                                  |14 02 48.9995629008 -04 45 20.946499020|334.0268232184778 +53.7504514227979| -11.319 -6.852   |10.546   |~              |    ~     ~    |    1| 1209.140   pc  | -78.2300    +78.2300    |ST-L    |2020AJ....160...83S
36  |BD-02 3774                                                                                                                                  |Double or Multiple Star               |14 02 53.5488415416 -03 15 29.728230948|335.2622669941771 +55.0642930030307| -38.904 -1.458   |10.474   |~              |    ~     ~    |    1|  326.307   pc  |  -2.7364     +2.7364    |paral   |2020yCat.1350....0G
37  |TYC 4978-275-1                                                                                                                              |Star                                  |14 00 24.5510799552 -02 55 01.509830400|334.5842956027440 +55.6577647778610|    6.200 1.597   |10.754   |~              |    ~     ~    |    1|  869.889   pc  | -49.7600    +49.7600    |ST-L    |2020AJ....160...83S
38  |TYC 4978-925-1                                                                                                                              |Star                                  |14 01 40.7393902224 -04 50 38.011960356|333.5322087366499 +53.8019491153922|   -8.767 7.308   |10.921   |~              |    ~     ~    |    1|  494.840   pc  | -16.3900    +16.3900    |ST-L    |2020AJ....160...83S
39  |HD 122240                                                                                                                                   |Star                                  |14 00 50.3388421104 -04 55 04.545965244|333.1593867362074 +53.8305302438332| -14.219 -2.757   |9.08     |K0III          |    ~     ~    |    1|  439.097   pc  |  -3.9911     +3.9911    |paral   |2020yCat.1350....0G
40  |HD 122507                                                                                                                                   |Star                                  |14 02 27.3333646848 -04 53 51.362489184|333.7817491514521 +53.6658809028990|-33.317 -12.666   |9.59     |A8V            |    ~     ~    |    1|  151.454   pc  |  -4.8460     +4.8460    |ST-L    |2020AJ....160...83S
41  |HD 122605                                                                                                                                   |Star                                  |14 03 01.6031552016 -04 56 42.106480044|333.9580554860510 +53.5584151059735| -9.707 -11.092   |8.36     |M1III          |    ~     ~    |    1|  496.968   pc  |  -5.3347     +5.3347    |paral   |2020yCat.1350....0G
42  |HD 122241                                                                                                                                   |Star                                  |14 00 51.0356536464 -05 12 40.352542812|332.9416549714732 +53.5670813426215| 28.319 -20.348   |8.89     |F5V            |    ~     ~    |    1|  105.677   pc  |  -0.2770     +0.2770    |paral   |2020yCat.1350....0G
43  |HD 122388                                                                                                                                   |Star                                  |14 01 43.7003100192 -05 39 58.862205324|332.9281526767417 +53.0622961086782|    2.500 8.705   |8.58     |K1III          |    ~     ~    |    1|  645.120   pc  | -18.1454    +18.1454    |paral   |2020yCat.1350....0G
44  |HD 122215                                                                                                                                   |Star                                  |14 00 31.7077817472 -06 23 28.752894600|331.9566191760526 +52.5430602650166|  0.125 -22.097   |9.797    |F6V            |    ~     ~    |    1|  224.263   pc  |  -3.2690     +3.2690    |ST-L    |2020AJ....160...83S
45  |HD 122286                                                                                                                                   |Long-Period Variable                  |14 01 05.8292131392 -06 28 18.621998292|332.1078259606692 +52.4090432183918|-31.685 -28.598   |8.87     |G5/6V          |    ~     ~    |    1| 1906.578   pc  | -91.2395    +91.2395    |paral   |2020yCat.1350....0G
46  |HD 122426                                                                                                                                   |Star                                  |14 01 50.7857976000 -06 23 36.290192352|332.4383875122196 +52.3978224077088|    7.805 0.055   |10.07    |A8/9V          |    ~     ~    |    1|  481.937   pc  | -14.1900    +14.1900    |ST-L    |2020AJ....160...83S
47  |HD 122205                                                                                                                                   |Star                                  |14 00 29.2020254328 -07 17 06.570119040|331.3143562099134 +51.7407469768018|-39.327 -27.475   |9.04     |F5V            |    ~     ~    |    1|  118.104   pc  |  -0.2748     +0.2748    |paral   |2020yCat.1350....0G
48  |HD 122255                                                                                                                                   |High Proper Motion Star               |14 00 54.0628758672 -06 44 46.263473484|331.8410137899052 +52.1831886340199| 38.605 -93.248   |8.64     |F6V            |    ~     ~    |    1|   90.984   pc  |  -1.0554     +1.0554    |paral   |2020yCat.1350....0G
49  |HD 122287                                                                                                                                   |Star                                  |14 01 05.7339892464 -07 06 55.411436376|331.6525625075099 +51.8293699501195|   12.649 4.806   |8.73     |F2V            |    ~     ~    |    1|  228.566   pc  |  -1.0919     +1.0919    |paral   |2020yCat.1350....0G
50  |HD 122657                                                                                                                                   |High Proper Motion Star               |14 03 16.2697105176 -07 08 23.209808640|332.4189652456557 +51.5719754583166|-166.749 -20.690  |8.01     |F3V            |    ~     ~    |    1|   99.309   pc  |  -0.2406     +0.2406    |paral   |2020yCat.1350....0G
51  |NGC 5426                           NGC 5426                                                                                                 |Galaxy in Pair of Galaxies            |14 03 24.8484884640 -06 04 08.186632788|333.2482239214648 +52.5142303415454|            ~ ~   |     ~   |~              | 3.16  1.48    |    1|   39.51    Mpc |                         |redshift|2007ApJ...655..790C
52  |IRAS 13576-0527                                                                                                                             |Long-Period Variable Candidate        |14 00 19.4034575760 -05 42 27.408194604|332.3756514070054 +53.1802855601651|-12.565 -11.448   |10.060   |~              |    ~     ~    |    1| 1213.3     pc  | -52.9953    +52.9953    |paral   |2020yCat.1350....0G
