C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:03:52

dec< 0&rah >=18.5&rah< 18.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 8057

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type     |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-------------------|---------------------|-----|----------------|-------------------------|--------|-------------------
32  |CD-44 12681                                                                                              |Star                                  |18 32 27.5660 -44 25 04.520            |350.5379983 -15.4595046            |     -3.9 -27.2   |10.36    |~                  |    ~     ~          |    0|                |                         |        |                   
33  |CD-42 13321                                                                                              |Star                                  |18 30 06.8742933288 -42 19 33.891881736|352.3473555701513 -14.2353095684640|   -2.029 0.553   |10.40    |~                  |    ~     ~          |    1| 2453.988   pc  |-132.4852   +132.4852    |paral   |2020yCat.1350....0G
34  |CD-42 13325                                                                                              |Star                                  |18 30 22.2364306176 -42 30 06.311352060|352.2013053013095 -14.3496041637238|   -1.321 0.711   |10.58    |~                  |    ~     ~          |    1|  750.356   pc  |  -8.8396     +8.8396    |paral   |2020yCat.1350....0G
35  |CD-42 13343                                                                                              |Star                                  |18 31 24.1415450688 -42 07 57.266190156|352.6294334082355 -14.3751810389126|  -9.358 -7.753   |10.37    |~                  |    ~     ~          |    1|  979.624   pc  | -13.1474    +13.1474    |paral   |2020yCat.1350....0G
36  |CD-44 12674                                                                                              |Star                                  |18 32 06.3700428096 -44 00 39.277028952|350.9003997581133 -15.2414804048827|   3.787 -4.992   |9.41     |~                  |    ~     ~          |    1|  559.065   pc  |  -4.4695     +4.4695    |paral   |2020yCat.1350....0G
37  |CD-43 12603                                                                                              |Star                                  |18 32 18.2446834488 -43 36 05.337178668|351.3048171117215 -15.1127832565135| -0.681 -20.916   |9.68     |~                  |    ~     ~          |    1|  556.793   pc  |  -5.6423     +5.6423    |paral   |2020yCat.1350....0G
38  |CD-43 12608                                                                                              |Star                                  |18 32 35.0186398848 -42 56 06.305390088|351.9591947667202 -14.8956039731685|    0.798 0.542   |10.15    |~                  |    ~     ~          |    1| 1727.713   pc  | -57.3118    +57.3118    |paral   |2020yCat.1350....0G
39  |CD-44 12690                                                                                              |Star                                  |18 33 26.4527769336 -44 40 14.780820036|350.3669712176813 -15.7190719909871|  -3.099 -3.201   |10.44    |~                  |    ~     ~          |    1| 1106.072   pc  | -29.6062    +29.6062    |paral   |2020yCat.1350....0G
40  |CD-42 13379                                                                                              |Star                                  |18 33 34.6391915856 -42 03 41.206729464|352.8636840066787 -14.7163958368744|   24.563 8.322   |9.95     |~                  |    ~     ~          |    1|  135.080   pc  |  -0.4507     +0.4507    |paral   |2020yCat.1350....0G
41  |CD-44 12692                                                                                              |Star                                  |18 33 43.3125399816 -44 05 53.058576048|350.9351645807097 -15.5427177984779|   0.408 -6.573   |10.219   |~                  |    ~     ~          |    1|  898.941   pc  | -49.1700    +49.1700    |ST-L    |2020AJ....160...83S
42  |AKARI-IRC-V1 J1831225-424909                                                                             |Long-Period Variable Candidate        |18 31 22.5577753104 -42 49 10.031822256|351.9776409203861 -14.6465970731718| -12.324 -4.866   |10.52    |~                  |    ~     ~          |    1| 1697.5     pc  | -71.7499    +71.7499    |paral   |2020yCat.1350....0G
43  |CD-42 13361                                                                                              |Star                                  |18 32 37.0461185160 -42 18 34.261152948|352.5552159555606 -14.6522238680078|   4.140 -3.573   |9.86     |~                  |    ~     ~          |    1| 1450.537   pc  | -48.6037    +48.6037    |paral   |2020yCat.1350....0G
44  |TYC 7910-50-1                                                                                            |Star                                  |18 32 31.6353959520 -42 25 03.390048012|352.4459004044412 -14.6801051874019|   5.854 -4.722   |10.29    |~                  |    ~     ~          |    1|  251.433   pc  |  -1.1759     +1.1759    |paral   |2020yCat.1350....0G
45  |TYC 7910-2038-1                                                                                          |Star                                  |18 33 40.4438765832 -42 59 53.371836816|351.9809090259219 -15.1037631739976|   7.272 -4.686   |10.42    |~                  |    ~     ~          |    1|  401.413   pc  |  -2.4653     +2.4653    |paral   |2020yCat.1350....0G
46  |TYC 7914-6-1                                                                                             |Star                                  |18 31 47.2537901928 -43 38 13.174894824|351.2327402691652 -15.0409765332966|   4.391 -2.313   |10.84    |~                  |    ~     ~          |    1| 1519.988   pc  | -61.4557    +61.4557    |paral   |2020yCat.1350....0G
47  |TYC 7914-21-1                                                                                            |Star                                  |18 32 27.6547355760 -43 39 04.233180708|351.2691251357639 -15.1584763483263| -4.954 -18.924   |10.89    |~                  |    ~     ~          |    1| 1350.621   pc  | -36.3011    +36.3011    |paral   |2020yCat.1350....0G
48  |TYC 7914-37-1                                                                                            |Star                                  |18 32 57.8117577672 -43 08 03.099372936|351.7984202286672 -15.0382191865260|   4.268 -9.269   |10.91    |~                  |    ~     ~          |    1|  304.025   pc  |  -1.2756     +1.2756    |paral   |2020yCat.1350....0G
