C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:19:15

Vmag< 11&dec >=0&rah >=9.75&rah< 10.0
-------------------------------------

Number of objects : 2696

 #  |                                                                                  identifier                                                                                   |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
1485|HD 85198                                                                                                                                                                       |Star                           |09 50 42.3133646736 +17 44 00.186229788|215.9011306680008 +47.4241209011751|-14.736 -40.194   |8.82     |F6V            |    ~     ~    
1486|BD+18 2279                                                                                                                                                                     |Star                           |09 51 47.6058306336 +17 21 05.787110016|216.5667346166353 +47.5273118267823|-23.132 -39.202   |9.25     |F8             |    ~     ~    
1487|BD+18 2283                                                                                                                                                                     |Spectroscopic Binary           |09 53 22.7706292920 +17 24 20.884634460|216.6976265772572 +47.8993092127608|  -8.505 -3.542   |9.42     |G5             |    ~     ~    
1488|BD+18 2284                                                                                                                                                                     |Star                           |09 53 26.9283304800 +17 39 25.068741984|216.3572724591327 +48.0060529814399|   14.364 4.517   |9.52     |K0             |    ~     ~    
1489|BD+18 2289                                                                                                                                                                     |High Proper Motion Star        |09 55 29.4583020840 +17 28 56.111632428|216.8668906209474 +48.3959907030907| -2.825 -53.620   |10.97    |K0             |    ~     ~    
1490|HD 85988                                                                                                                                                                       |Star                           |09 55 55.9823006328 +17 32 29.462977680|216.8416770698391 +48.5157433143723|-17.379 -36.748   |8.41     |F2             |    ~     ~    
1491|BD+17 2137                                                                                                                                                                     |Star                           |09 48 15.0035313240 +16 53 53.121023484|216.7265145473226 +46.5731096435139| 11.614 -36.718   |9.35     |K0             |    ~     ~    
1492|BD+17 2139                                                                                                                                                                     |Star                           |09 48 31.6465240536 +17 02 30.473433780|216.5680466386178 +46.6880431816287| -22.051 14.203   |9.54     |K0             |    ~     ~    
1493|HD 85070                                                                                                                                                                       |Star                           |09 49 52.8388567896 +16 50 18.341974032|217.0196731474621 +46.9127946610476| 16.382 -34.492   |7.75     |K2             |    ~     ~    
1494|BD+17 2142                                                                                                                                                                     |Star                           |09 49 57.6810 +16 57 48.130            |216.8604030 +46.9772923            |    -26.7 -12.9   |10.63    |G0             |    ~     ~    
1495|BD+17 2146                                                                                                                                                                     |Star                           |09 50 52.5354612816 +16 58 44.840629812|216.9583227638434 +47.1860768790500|  1.165 -11.999   |9.50     |K0             |    ~     ~    
1496|BD+17 2150                                                                                                                                                                     |Double or Multiple Star        |09 53 30.9789198 +16 57 01.431279      |217.3459356374 +47.7613307427      |   -4.76 -50.12   |8.89     |K0             |0.0050  0.0    
1497|HD 85747                                                                                                                                                                       |Star                           |09 54 16.5980978976 +17 10 09.369005808|217.1436974113846 +48.0113955739057| -21.204 29.063   |9.00     |G5             |    ~     ~    
1498|TYC 1411-123-1                                                                                                                                                                 |Star                           |09 52 57.5818815672 +17 07 13.437347088|217.0377458664235 +47.7010574576943|    6.118 0.677   |10.82    |~              |    ~     ~    
1499|TYC 1411-247-1                                                                                                                                                                 |Star                           |09 51 56.7562150704 +16 56 17.049461604|217.1550763736524 +47.4083169703877|  11.244 -3.175   |10.98    |~              |    ~     ~    
1500|TYC 1411-281-1                                                                                                                                                                 |Star                           |09 53 18.7533754224 +17 02 02.812826688|217.2033792237917 +47.7473283714737| 16.241 -14.277   |10.36    |~              |    ~     ~    
1501|TYC 1411-327-1                                                                                                                                                                 |Star                           |09 47 12.6474384024 +16 51 56.313727776|216.6358426911977 +46.3302878905877|-30.551 -19.142   |9.99     |~              |    ~     ~    
1502|TYC 1411-433-1                                                                                                                                                                 |Star                           |09 53 31.9120594608 +17 05 51.000209628|217.1447769973442 +47.8195389256937|   7.446 -8.459   |10.51    |~              |    ~     ~    
1503|TYC 1413-436-1                                                                                                                                                                 |Star                           |09 46 20.5000066008 +18 47 30.411181032|213.9107018748267 +46.8246524213364|   -4.945 2.822   |10.36    |~              |    ~     ~    
1504|TYC 1414-107-1                                                                                                                                                                 |Star                           |09 55 26.0670526104 +18 38 08.579667660|215.2294458339738 +48.7933430714458|-16.007 -14.701   |10.00    |~              |    ~     ~    
1505|TYC 1414-115-1                                                                                                                                                                 |Star                           |09 51 59.1453317016 +17 49 21.766148148|215.9397604281541 +47.7407142452537|    6.062 0.662   |10.41    |~              |    ~     ~    
1506|TYC 1414-184-1                                                                                                                                                                 |Star                           |09 51 29.8901307552 +17 38 46.552736472|216.1221483911824 +47.5688986764250| 19.027 -16.048   |9.90     |~              |    ~     ~    
1507|TYC 1414-201-1                                                                                                                                                                 |Star                           |09 55 28.1596226904 +17 56 02.030367120|216.2288641171209 +48.5544266626059|   -7.515 1.318   |10.67    |~              |    ~     ~    
1508|TYC 1414-202-1                                                                                                                                                                 |Star                           |09 48 17.3235616800 +18 08 48.452452800|215.0310140201126 +47.0340875629095|    2.000 5.629   |10.27    |~              |    ~     ~    
1509|TYC 1414-213-1                                                                                                                                                                 |Star                           |09 52 10.5351328440 +18 06 12.033247464|215.5732123003821 +47.8828251565350|  -10.100 1.619   |10.35    |~              |    ~     ~    
1510|TYC 1414-241-1                                                                                                                                                                 |Star                           |09 51 21.5064954264 +18 23 03.577223364|215.0797103922265 +47.7998735706279|  -7.210 -3.288   |10.86    |~              |    ~     ~    
1511|TYC 1414-254-1                                                                                                                                                                 |Star                           |09 50 14.3925304032 +18 12 56.790747144|215.1760889260944 +47.4921672308454| -9.939 -19.351   |10.51    |~              |    ~     ~    
1512|TYC 1414-279-1                                                                                                                                                                 |Star                           |09 52 12.1246682448 +19 04 30.403346484|214.2121392272030 +48.2244290379568|   -2.660 2.199   |10.96    |~              |    ~     ~    
1513|TYC 1414-397-1                                                                                                                                                                 |High Proper Motion Star        |09 52 50.4743760264 +17 59 37.518390276|215.8099348471828 +47.9918831703102| -57.300 19.484   |10.23    |~              |    ~     ~    
1514|TYC 1414-418-1                                                                                                                                                                 |Star                           |09 55 27.9206390160 +18 11 11.994509796|215.8710908431948 +48.6433690970534|   -3.770 2.546   |10.87    |~              |    ~     ~    
1515|TYC 1414-519-1                                                                                                                                                                 |Star                           |09 54 44.7311412816 +17 47 25.395291096|216.3376939962048 +48.3421833459432| -6.688 -16.687   |10.36    |~              |    ~     ~    
1516|TYC 1414-535-1                                                                                                                                                                 |Star                           |09 49 44.6040187320 +18 31 09.918531660|214.6941371438042 +47.4876886921802|   -6.364 0.855   |10.22    |~              |    ~     ~    
1517|TYC 1414-553-1                                                                                                                                                                 |Star                           |09 48 00.5687329200 +18 00 22.556665044|215.1893370965055 +46.9223563525607|   -0.132 1.672   |10.20    |~              |    ~     ~    
1518|TYC 1414-648-1                                                                                                                                                                 |Star                           |09 49 49.2424515360 +17 42 23.950683684|215.8261792655699 +47.2179627345465| -10.255 -2.245   |10.69    |~              |    ~     ~    
1519|TYC 1414-697-1                                                                                                                                                                 |Star                           |09 52 42.6700394976 +17 36 21.296852064|216.3333645471739 +47.8237454024524| -9.049 -25.719   |10.43    |~              |    ~     ~    
1520|TYC 1414-703-1                                                                                                                                                                 |High Proper Motion Star        |09 47 40.1199044376 +17 33 58.042283004|215.7473495433493 +46.6890598527105|-54.058 -24.844   |9.70     |~              |    ~     ~    
1521|TYC 1414-713-1                                                                                                                                                                 |Star                           |09 56 09.1847862024 +17 53 53.092796460|216.3675442534543 +48.6934757600729|-11.778 -10.309   |10.07    |~              |    ~     ~    
1522|TYC 1414-726-1                                                                                                                                                                 |Star                           |09 51 35.5905226656 +18 32 36.075215400|214.8863112439186 +47.9073267161693| -3.573 -10.410   |10.78    |~              |    ~     ~    
1523|TYC 1414-729-1                                                                                                                                                                 |Star                           |09 51 10.4882066640 +18 25 44.537754252|214.9947453994917 +47.7746200315314|-18.545 -26.587   |10.87    |~              |    ~     ~    
1524|TYC 1414-836-1                                                                                                                                                                 |Star                           |09 47 09.7257617592 +18 34 09.155288388|214.3140795726149 +46.9307811304055| -16.486 -0.378   |10.38    |~              |    ~     ~    
1525|BD+17 2128                                                                                                                                                                     |High Proper Motion Star        |09 45 49.6964955576 +16 29 15.601042896|216.9620228784235 +45.8815738201255| 51.380 -33.212   |9.16     |G0             |    ~     ~    
1526|BD+17 2133                                                                                                                                                                     |Star                           |09 47 29.3445970176 +16 34 49.726253784|217.0547163890953 +46.2851950875961| 12.928 -29.025   |10.29    |F8             |    ~     ~    
1527|BD+17 2130                                                                                                                                                                     |High Proper Motion Star        |09 46 39.6099277656 +16 31 54.710836716|217.0115067354260 +46.0828961300686|-201.388 37.659   |10.384   |~              |    ~     ~    
1528|BD+16 2019                                                                                                                                                                     |Star                           |09 46 10.0085867232 +16 14 08.308795848|217.3411582104726 +45.8609538190168| -7.220 -35.392   |9.51     |F8             |    ~     ~    
1529|BD+16 2022                                                                                                                                                                     |Star                           |09 46 31.6143472776 +15 33 34.584426468|218.2828170573191 +45.6790744438862| -6.038 -12.368   |9.62     |F5             |    ~     ~    
1530|BD+16 2024                                                                                                                                                                     |Star                           |09 47 03.3974081280 +15 29 39.770325456|218.4405581981280 +45.7707746997873|   3.178 -1.088   |10.30    |F8             |    ~     ~    
1531|HD 84661                                                                                                                                                                       |Star                           |09 47 08.5909820832 +15 31 42.234714984|218.4074694604589 +45.8033264421860|  -7.727 -6.376   |8.74     |F5             |    ~     ~    
1532|BD+15 2107                                                                                                                                                                     |Star                           |09 45 36.0266361600 +14 53 12.598425384|219.0363441541680 +45.2067746011398|-13.642 -37.570   |8.82     |K0             |    ~     ~    
1533|BD+15 2108                                                                                                                                                                     |Star                           |09 45 52.5777749160 +15 12 58.780852200|218.6447308603281 +45.3994751308744|  -23.390 0.545   |9.93     |F5             |    ~     ~    
1534|BD+14 2146                                                                                                                                                                     |Double or Multiple Star        |09 47 36.7491 +14 18 46.881            |220.0632887 +45.4180832            |     54.5 -70.1   |9.39     |F8             |    ~     ~    
1535|HD 85088                                                                                                                                                                       |Double or Multiple Star        |09 49 57.93947 +16 33 35.4309          |217.40844802 +46.82688114          |   -47.62 16.82   |9.20     |G0             |    ~     ~    
1536|BD+17 2153                                                                                                                                                                     |Star                           |09 54 53.7668453472 +16 49 41.982186144|217.6991926781365 +48.0215998326973| -20.817 -7.658   |9.79     |F2             |    ~     ~    
1537|BD+17 2140                                                                                                                                                                     |High Proper Motion Star        |09 49 40.6466287032 +16 22 13.901238444|217.6257797298655 +46.6910613892158|-64.084 -38.674   |9.08     |G0             |    ~     ~    
1538|BD+17 2143B                                                                                                                                                                    |Star                           |09 49 56.8719915216 +16 19 43.931032860|217.7180447201129 +46.7351264986922|  6.203 -16.761   |9.93     |G0             |    ~     ~    
1539|BD+17 2143                                                                                                                                                                     |Star                           |09 49 56.9030713056 +16 19 55.765926840|217.7136810188933 +46.7364970809468|  7.251 -17.628   |9.69     |G0             |    ~     ~    
1540|BD+17 2149                                                                                                                                                                     |Star                           |09 52 26.4470769864 +16 25 47.878168080|217.9158465342491 +47.3263718212508|  -46.687 7.341   |9.30     |A5             |    ~     ~    
1541|BD+17 2151                                                                                                                                                                     |High Proper Motion Star        |09 53 55.5988805328 +16 22 37.751332944|218.1896199956835 +47.6354630332843|-63.294 -28.481   |9.73     |G0             |    ~     ~    
1542|BD+17 2153a                                                                                                                                                                    |High Proper Motion Star        |09 55 21.2121283032 +16 29 12.935539932|218.2334780407059 +47.9935840016397|-35.909 -61.944   |10.98    |F8             |    ~     ~    
1543|BD+16 2029                                                                                                                                                                     |Star                           |09 48 11.0101788408 +15 48 08.254971972|218.1857791554977 +46.1409484703267| 10.486 -14.728   |10.12    |F8             |    ~     ~    
1544|BD+16 2030                                                                                                                                                                     |Star                           |09 48 48.0789954312 +16 06 53.371434888|217.8520859298045 +46.3988650849317|  -11.041 6.990   |9.70     |G5             |    ~     ~    
1545|BD+16 2037                                                                                                                                                                     |Variable Star                  |09 50 31.5355284312 +16 18 47.223501372|217.8167020493044 +46.8571899373631|   0.535 -7.377   |9.437    |K0             |    ~     ~    
1546|HD 85302                                                                                                                                                                       |Star                           |09 51 13.7454533544 +16 19 12.009161712|217.9019676959106 +47.0157720601164|   2.750 -9.137   |8.02     |K0             |    ~     ~    
1547|BD+16 2040                                                                                                                                                                     |Star                           |09 51 47.9157590664 +16 01 14.230774920|218.3844990066636 +47.0266277442702| 10.466 -29.959   |9.57     |K5             |    ~     ~    
1548|BD+16 2046                                                                                                                                                                     |Star                           |09 53 33.5376270600 +15 49 01.822788084|218.9028920033575 +47.3370467926902| -2.576 -10.409   |9.63     |A5             |    ~     ~    
1549|BD+16 2048                                                                                                                                                                     |Star                           |09 54 27.9926147976 +16 02 09.169979208|218.7310078324941 +47.6233045302946|   1.643 -5.567   |8.54     |K2             |    ~     ~    
1550|BD+16 2049                                                                                                                                                                     |Star                           |09 54 45.6934782912 +16 11 59.878786596|218.5471164641281 +47.7522251127631|   4.827 -9.116   |9.24     |K2             |    ~     ~    
1551|V* AG Leo                                                                                                                                                                      |Eclipsing Binary               |09 53 32.1652848984 +16 02 05.583332616|218.6037049072375 +47.4169301324925|  10.375 -6.985   |10.49    |F5             |    ~     ~    
1552|BD+16 2031                                                                                                                                                                     |Star                           |09 48 50.3800979544 +15 44 01.397899896|218.3659804984021 +46.2595583000946|-22.503 -16.563   |10.64    |F8             |    ~     ~    
1553|BD+16 2032                                                                                                                                                                     |Star                           |09 48 55.5076836288 +15 33 57.792717864|218.6006351486819 +46.2127388115767| 13.825 -12.214   |8.68     |G0             |    ~     ~    
1554|BD+16 2036                                                                                                                                                                     |Star                           |09 50 05.2106298768 +15 30 21.122719776|218.8404791634548 +46.4461741032034|   -8.257 2.107   |9.98     |K2             |    ~     ~    
1555|BD+16 2038                                                                                                                                                                     |High Proper Motion Star        |09 50 42.7429141320 +15 26 49.572606516|219.0055085435210 +46.5613480983145|-130.719 -33.760  |10.80    |F5             |    ~     ~    
1556|BD+16 2042                                                                                                                                                                     |Star                           |09 52 22.7228944224 +15 31 20.598434472|219.1367196735358 +46.9597951834698| -23.850 -8.053   |10.66    |F8             |    ~     ~    
1557|BD+16 2043                                                                                                                                                                     |Star                           |09 52 56.9590799304 +15 33 34.209445428|219.1665286043372 +47.1006962488201| 21.099 -11.029   |9.92     |K5             |    ~     ~    
1558|BD+16 2047                                                                                                                                                                     |High Proper Motion Star        |09 53 54.8734499208 +15 27 31.429798884|219.4383940202829 +47.2741489193037|-141.541 -6.928   |9.59     |G5             |    ~     ~    
1559|BD+16 2050                                                                                                                                                                     |Star                           |09 54 56.7278303976 +15 32 47.390981388|219.4652471726233 +47.5369234676291| -15.528 12.531   |9.51     |K0             |    ~     ~    
1560|BD+15 2110                                                                                                                                                                     |High Proper Motion Star        |09 47 46.9803426600 +14 48 38.406176712|219.4386248572392 +45.6587492263391|-67.707 -14.000   |10.52    |G5             |    ~     ~    
1561|BD+15 2113                                                                                                                                                                     |Spectroscopic Binary           |09 49 04.7566306488 +14 55 08.561545572|219.4778569776159 +45.9890616483326|-16.714 -10.387   |9.69     |F5             |    ~     ~    
1562|HD 84968                                                                                                                                                                       |Star                           |09 49 06.5135080848 +14 36 20.566103616|219.8937171534555 +45.8683954924606|-31.330 -10.240   |8.07     |A0             |    ~     ~    
1563|HD 84983                                                                                                                                                                       |Star                           |09 49 12.7259042424 +14 57 26.944473168|219.4458286572379 +46.0339184815997|   1.936 -9.626   |8.27     |A2             |    ~     ~    
1564|BD+15 2116                                                                                                                                                                     |Star                           |09 49 29.7166311648 +14 31 26.008250916|220.0559738825740 +45.9203369591472|  4.823 -23.091   |9.93     |G5             |    ~     ~    
1565|HD 85089                                                                                                                                                                       |High Proper Motion Star        |09 49 51.4263799440 +14 53 49.839562572|219.6160581501383 +46.1521446433505|-50.724 -10.895   |8.90     |F0             |    ~     ~    
1566|HD 85090                                                                                                                                                                       |Star                           |09 49 55.9057595568 +14 33 45.487449720|220.0673396199536 +46.0325659751879|-23.163 -17.161   |8.42     |K2             |    ~     ~    
1567|BD+15 2122                                                                                                                                                                     |Star                           |09 51 37.3951650528 +14 56 50.123508108|219.7996413586157 +46.5626102118904|   -2.994 1.572   |10.38    |F8             |    ~     ~    
1568|BD+15 2123                                                                                                                                                                     |Star                           |09 52 11.0294000760 +14 28 58.010818620|220.4963864512446 +46.4967353814900|-41.175 -21.082   |9.20     |F8             |    ~     ~    
1569|BD+15 2125                                                                                                                                                                     |Star                           |09 53 30.8269953240 +14 43 01.819309080|220.3774186359896 +46.8863576575149|   -5.515 6.059   |9.11     |K0             |    ~     ~    
1570|HD 85689                                                                                                                                                                       |Star                           |09 53 48.4121951256 +14 44 20.365400148|220.3907257264789 +46.9599455316488|   1.376 46.917   |7.69     |G0             |    ~     ~    
1571|BD+15 2130                                                                                                                                                                     |Star                           |09 54 10.7797498200 +15 04 04.719485856|220.0032371613278 +47.1760133771491|   2.228 -1.829   |10.78    |F0             |    ~     ~    
1572|BD+14 2148                                                                                                                                                                     |Star                           |09 48 22.0307003376 +14 19 05.794440744|220.1638533469865 +45.5868460228931|-43.932 -10.939   |10.92    |F2             |    ~     ~    
1573|TYC 834-299-1                                                                                                                                                                  |Star                           |09 46 13.3609597632 +14 14 09.528653472|219.9661231495543 +45.0795001342385| -28.030 -9.361   |10.10    |~              |    ~     ~    
1574|TYC 834-1369-1                                                                                                                                                                 |Star                           |09 48 01.8256275024 +14 40 32.090183976|219.6500043787968 +45.6586768277481|  8.112 -12.153   |10.76    |~              |    ~     ~    
1575|TYC 834-1376-1                                                                                                                                                                 |Star                           |09 45 54.4635333336 +14 56 25.061118396|219.0091439082089 +45.2962284342161|-29.149 -19.349   |9.96     |~              |    ~     ~    
1576|TYC 834-1426-1                                                                                                                                                                 |Star                           |09 48 32.9402841552 +14 50 45.033314856|219.4997577392105 +45.8422916644769|   -2.902 3.810   |10.58    |~              |    ~     ~    
1577|TYC 835-1218-1                                                                                                                                                                 |High Proper Motion Star        |09 54 05.3796435864 +14 57 44.548828056|220.1322563178630 +47.1133730031207|-26.720 -66.052   |10.25    |~              |    ~     ~    
1578|TYC 835-1264-1                                                                                                                                                                 |Star                           |09 53 41.6114 +14 44 47.749            |220.3641384 +46.9380501            |-21.791 -17.644   |10.66    |~              |    ~     ~    
1579|TYC 835-1276-1                                                                                                                                                                 |Star                           |09 55 47.8292060016 +14 38 15.165204900|220.8173966934736 +47.3571606789509|  -8.907 -4.986   |10.76    |~              |    ~     ~    
1580|TYC 835-1280-1                                                                                                                                                                 |Star                           |09 55 40.9975827648 +14 47 20.036410980|220.5969256016120 +47.3942439631121| 14.109 -22.621   |10.84    |~              |    ~     ~    
1581|TYC 1410-345-1                                                                                                                                                                 |Star                           |09 45 39.6566232960 +15 20 23.137253376|218.4540200362453 +45.4006941161049| -3.578 -20.713   |9.83     |~              |    ~     ~    
1582|TYC 1410-514-1                                                                                                                                                                 |Star                           |09 45 17.1698148816 +16 15 54.113606784|217.1866179575121 +45.6767843577416|  -9.509 -6.204   |9.91     |~              |    ~     ~    
1583|TYC 1410-645-1                                                                                                                                                                 |High Proper Motion Star        |09 45 26.0487833736 +15 40 39.815998176|217.9804425747851 +45.4831474174157| -97.752 64.537   |10.05    |~              |    ~     ~    
1584|TYC 1410-662-1                                                                                                                                                                 |Star                           |09 46 21.1817328864 +15 40 05.789688852|218.1162328352103 +45.6830920460015|   1.496 -6.002   |10.21    |~              |    ~     ~    
1585|TYC 1411-20-1                                                                                                                                                                  |Spectroscopic Binary           |09 47 35.1972101760 +15 34 03.617473152|218.4158707722820 +45.9169702310959| -73.982 10.944   |10.13    |~              |    ~     ~    
1586|TYC 1411-122-1                                                                                                                                                                 |Star                           |09 49 54.0705938352 +15 43 26.996921940|218.5235413021414 +46.4909106486240|  38.818 -5.923   |10.38    |~              |    ~     ~    
1587|TYC 1411-204-1                                                                                                                                                                 |Star                           |09 54 26.2960278096 +16 29 43.691976168|218.0968115226521 +47.7940491440779|  -5.225 -3.072   |10.43    |~              |    ~     ~    
1588|TYC 1411-422-1                                                                                                                                                                 |Star                           |09 53 56.4542814744 +15 20 37.750370532|219.5973796099008 +47.2341482062094|  -8.965 -3.154   |10.93    |~              |    ~     ~    
1589|TYC 1411-476-1                                                                                                                                                                 |Star                           |09 47 20.3784385632 +15 36 29.763192636|218.3286855023086 +45.8781939323066| -41.594 -2.470   |10.64    |~              |    ~     ~    
1590|TYC 1411-570-1                                                                                                                                                                 |Star                           |09 53 06.4283726304 +16 45 11.637746532|217.5628793052854 +47.5966376307825|   6.518 -8.489   |10.39    |~              |    ~     ~    
1591|TYC 1411-603-1                                                                                                                                                                 |Star                           |09 52 51.7238429640 +16 19 23.251161036|218.1186033722451 +47.3788735899455|  -8.427 -7.942   |10.77    |~              |    ~     ~    
1592|TYC 1411-692-1                                                                                                                                                                 |High Proper Motion Star        |09 50 14.5866918960 +16 45 36.083685564|217.1737323652377 +46.9638624245560| 13.111 -46.134   |10.22    |~              |    ~     ~    
1593|TYC 1411-701-1                                                                                                                                                                 |Star                           |09 48 14.3597308176 +16 28 26.718983472|217.2958814926587 +46.4114485574744|  -4.594 -9.730   |10.36    |~              |    ~     ~    
1594|TYC 1411-710-1                                                                                                                                                                 |Star                           |09 54 02.1974086824 +15 43 54.318364464|219.0855330900291 +47.4091831622640|   0.784 -3.081   |10.75    |~              |    ~     ~    
1595|TYC 1411-765-1                                                                                                                                                                 |Star                           |09 47 10.7682496008 +15 42 49.670357472|218.1675089206678 +45.8839880140516|   6.226 -1.917   |10.08    |~              |    ~     ~    
1596|TYC 1411-872-1                                                                                                                                                                 |Star                           |09 53 57.5068312224 +15 05 37.304017188|219.9369185938094 +47.1375529042335|-19.258 -18.708   |10.14    |~              |    ~     ~    
1597|BD+14 2143                                                                                                                                                                     |High Proper Motion Star        |09 47 00.2952952608 +14 07 54.368229576|220.2116622933565 +45.2091711433760|-46.909 -95.362   |8.93     |G0             |    ~     ~    
1598|BD+14 2144                                                                                                                                                                     |Star                           |09 47 06.6263981832 +13 59 27.135953844|220.4086383722489 +45.1740005354810| -0.704 -15.050   |9.60     |F0             |    ~     ~    
1599|2MASS J09473554+1351262                                                                                                                                                        |Double or Multiple Star        |09 47 35.560 +13 51 26.79              |220.649999 +45.224706              |      -11.7 3.0   |10.2     |G5             |    ~     ~    
1600|HD 84498                                                                                                                                                                       |Star                           |09 46 02.7814744752 +13 27 00.202825368|220.9490957225274 +44.7125536204675| -26.249 -3.278   |8.930    |F0             |    ~     ~    
1601|BD+14 2141                                                                                                                                                                     |Star                           |09 46 26.9626531608 +13 39 26.152148196|220.7425030104302 +44.8887367845539|  -5.013 -6.612   |9.20     |K2             |    ~     ~    
1602|BD+13 2150                                                                                                                                                                     |Star                           |09 45 20.8732911696 +13 16 22.156331592|221.0733649242606 +44.4835439083886| -8.812 -11.861   |9.50     |G5             |    ~     ~    
1603|BD+13 2153                                                                                                                                                                     |Star                           |09 46 33.6239359560 +12 22 43.796359524|222.3811576765077 +44.3642331592728|-19.335 -40.368   |9.15     |K0             |    ~     ~    
1604|BD+13 2156                                                                                                                                                                     |Star                           |09 47 25.4351575416 +12 58 59.024501760|221.7454480011618 +44.8164546638531|  -23.863 0.725   |8.61     |K5             |    ~     ~    
1605|BD+12 2086                                                                                                                                                                     |Star                           |09 45 18.5815794552 +11 56 40.209669564|222.7366052624390 +43.8984177897766|   1.276 -1.573   |10.62    |F2             |    ~     ~    
1606|BD+15 2126                                                                                                                                                                     |Star                           |09 53 37.3736263920 +14 18 51.128064648|220.9297603846510 +46.7442254976117|-13.476 -23.993   |10.08    |G5             |    ~     ~    
1607|HD 85258                                                                                                                                                                       |Star                           |09 50 50.4637637280 +14 07 14.704437288|220.7781466771000 +46.0507006560613| -31.402 26.381   |8.19     |G5             |    ~     ~    
1608|BD+14 2160                                                                                                                                                                     |Star                           |09 53 43.8989126520 +14 01 32.346468192|221.3280480129160 +46.6476195587026| -35.253 -3.124   |10.00    |F5             |    ~     ~    
1609|BD+14 2162                                                                                                                                                                     |Star                           |09 54 28.8308881200 +13 48 06.517852416|221.7356404122341 +46.7178985164179|   -7.680 3.278   |10.02    |K0             |    ~     ~    
1610|HD 84780                                                                                                                                                                       |High Proper Motion Star        |09 47 50.8318010544 +13 28 39.861113484|221.1754714705800 +45.1209285425298| 58.277 -18.188   |7.51     |K0             |    ~     ~    
1611|BD+14 2154                                                                                                                                                                     |Star                           |09 50 09.7938965568 +13 35 09.587915916|221.3756772473971 +45.6766750094202|   -2.163 0.759   |9.13     |F0             |    ~     ~    
1612|BD+14 2155                                                                                                                                                                     |Star                           |09 50 19.6197684528 +13 25 11.560501668|221.6150167504558 +45.6420669633703|  6.391 -28.514   |10.15    |F5             |    ~     ~    
1613|BD+14 2161                                                                                                                                                                     |Star                           |09 54 08.4848353704 +13 38 47.382961596|221.8894378871174 +46.5773348247511| -22.686 13.646   |10.58    |G5             |    ~     ~    
