C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:40:45

dec< 0&rah >=21.5&rah< 21.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3883

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
1855|NGC 7089 3047                      NGC 7089 3047                                                         |Star                                  |21 33 20.1694977792 -00 51 47.323693440|053.3104657848690 -35.7679542276346|   3.720 -2.340   |15.06    |~              |    ~     ~    |    0|                |                       |        |                   
1856|NGC 7089 2009                      NGC 7089 2009                                                         |Star                                  |21 33 20.2104424560 -00 49 10.913566152|053.3552465431455 -35.7441406216544|   4.018 -1.655   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1857|NGC 7089 2028                      NGC 7089 2028                                                         |Star                                  |21 33 20.30 -00 48 41.8                |053.36381 -35.73999                |            ~ ~   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1858|NGC 7089 2025                      NGC 7089 2025                                                         |Star                                  |21 33 20.37 -00 48 11.7                |053.37260 -35.73562                |            ~ ~   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1859|NGC 7089 3033                      NGC 7089 3033                                                         |Star                                  |21 33 20.3767374192 -00 50 54.333562488|053.3261873840045 -35.7605604001431|   3.510 -2.515   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1860|NGC 7089 3049                      NGC 7089 3049                                                         |Star                                  |21 33 20.40 -00 51 06.8                |053.32269 -35.76255                |            ~ ~   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1861|NGC 7089 2052                      NGC 7089 2052                                                         |Star                                  |21 33 20.4971809824 -00 48 03.759342228|053.3752270150398 -35.7348464885885|  10.432 -2.516   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1862|NGC 7089 2017                      NGC 7089 2017                                                         |Star                                  |21 33 20.56 -00 48 35.8                |053.36626 -35.73998                |            ~ ~   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1863|NGC 7089 2066                      NGC 7089 2066                                                         |Star                                  |21 33 20.5625251056 -00 47 47.525561160|053.3800451234171 -35.7325854415833|   3.323 -2.435   |15.66    |~              |    ~     ~    |    0|                |                       |        |                   
1864|NGC 7089 3027                      NGC 7089 3027                                                         |Star                                  |21 33 20.61 -00 50 02.7                |053.34159 -35.75346                |            ~ ~   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1865|NGC 7089 3075                      NGC 7089 3075                                                         |Star                                  |21 33 20.6243802576 -00 52 06.139172964|053.3063783306523 -35.7724162151837|   3.375 -2.346   |15.2     |~              |    ~     ~    |    0|                |                       |        |                   
1866|NGC 7089 2007                      NGC 7089 2007                                                         |Star                                  |21 33 20.6679508224 -00 49 14.191337964|053.3556061643184 -35.7462327452946|   2.974 -1.911   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1867|NGC 7089 3032                      2MASS J21332068-0050432                                               |Red Giant Branch star                 |21 33 20.6769780288 -00 50 43.192935564|053.3302188758365 -35.7598977888284|   3.262 -2.211   |14.07    |~              |    ~     ~    |    0|                |                       |        |                   
1868|NGC 7089 2016                      NGC 7089 2016                                                         |Star                                  |21 33 20.7376041096 -00 48 48.079172592|053.3632576109236 -35.7424737971865|   4.061 -2.299   |15.48    |~              |    ~     ~    |    0|                |                       |        |                   
1869|NGC 7089 2015                      NGC 7089 2015                                                         |Star                                  |21 33 20.7755642232 -00 48 58.291070976|053.3604499975572 -35.7441704716480|   3.328 -1.974   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1870|NGC 7089 2065                      NGC 7089 2065                                                         |Star                                  |21 33 20.8324655400 -00 47 46.596307488|053.3810747962922 -35.7333809491023|   3.489 -2.480   |15.090   |~              |    ~     ~    |    0|                |                       |        |                   
1871|NGC 7089 3030                      NGC 7089 3030                                                         |Star                                  |21 33 20.8603233360 -00 50 27.282634656|053.3352814507344 -35.7580982102500|   3.177 -2.414   |14.30    |~              |    ~     ~    |    0|                |                       |        |                   
1872|NGC 7089 2023                      NGC 7089 2023                                                         |Star                                  |21 33 21.0815300736 -00 48 14.906280636|053.3737003366833 -35.7385853230100|   3.765 -2.727   |15.89    |~              |    ~     ~    |    0|                |                       |        |                   
1873|NGC 7089 2021                      NGC 7089 2021                                                         |Star                                  |21 33 21.13 -00 48 22.2                |053.37176 -35.73987                |            ~ ~   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1874|NGC 7089 3072                      NGC 7089 3072                                                         |Star                                  |21 33 21.1330705584 -00 51 36.723829644|053.3162207993970 -35.7696807339164|   3.565 -2.029   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1875|NGC 7089 3050                      NGC 7089 3050                                                         |Star                                  |21 33 21.2389463928 -00 50 57.735119832|053.3276565469354 -35.7640782209711|   3.703 -2.368   |16.516   |~              |    ~     ~    |    0|                |                       |        |                   
1876|NGC 7089 2022                      NGC 7089 2022                                                         |Star                                  |21 33 21.3014484816 -00 48 18.385054863|053.3733302023957 -35.7398826340506|   3.448 -2.317   |15.706   |~              |    ~     ~    |    0|                |                       |        |                   
1877|NGC 7089 2064                      NGC 7089 2064                                                         |Star                                  |21 33 21.4131384591 -00 47 46.907251154|053.3826305908382 -35.7354462038057|   2.024 -1.680   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1878|NGC 7089 2020                      NGC 7089 2020                                                         |Star                                  |21 33 21.4337864424 -00 48 27.685735956|053.3710502574641 -35.7417678441705|   2.471 -1.861   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1879|NGC 7089 3031                      NGC 7089 3031                                                         |Star                                  |21 33 21.46 -00 50 37.6                |053.33403 -35.76176                |            ~ ~   |16.04    |~              |    ~     ~    |    0|                |                       |        |                   
1880|NGC 7089 3029                      NGC 7089 3029                                                         |Star                                  |21 33 21.55 -00 50 27.0                |053.33731 -35.76045                |            ~ ~   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1881|NGC 7089 2018                      NGC 7089 2018                                                         |Star                                  |21 33 21.57 -00 48 37.3                |053.36869 -35.74371                |            ~ ~   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1882|NGC 7089 3051                      NGC 7089 3051                                                         |Star                                  |21 33 21.86 -00 50 58.4                |053.32922 -35.76634                |            ~ ~   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1883|NGC 7089 3078                      NGC 7089 3078                                                         |Star                                  |21 33 21.8741391230 -00 52 39.120101412|053.3004928616276 -35.7818099000743|   3.556 -2.152   |16.283   |~              |    ~     ~    |    0|                |                       |        |                   
1884|NGC 7089 2019                      2MASS J21332216-0048247                                               |Red Giant Branch star                 |21 33 22.1542941888 -00 48 24.756072192|053.3739269741773 -35.7438224751878|   3.306 -2.346   |13.984   |~              |    ~     ~    |    0|                |                       |        |                   
1885|NGC 7089 2053                      NGC 7089 2053                                                         |Star                                  |21 33 22.2072503136 -00 48 13.926971484|053.3771679483848 -35.7423468010865|   3.651 -2.500   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1886|NGC 7089 3077                      NGC 7089 3077                                                         |Star                                  |21 33 22.2018274104 -00 52 23.802797640|053.3057966252857 -35.7806041323731|   3.511 -1.923   |15.3     |~              |    ~     ~    |    0|                |                       |        |                   
1887|NGC 7089 2063                      NGC 7089 2063                                                         |Star                                  |21 33 22.2202751904 -00 47 45.216362544|053.3853992094153 -35.7379914435591|   3.446 -2.143   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1888|NGC 7089 2076                      NGC 7089 2076                                                         |Star                                  |21 33 22.2827608752 -00 46 54.287469372|053.4001097410694 -35.7304010431504|   3.386 -2.291   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1889|NGC 7089 2085                      NGC 7089 2085                                                         |Star                                  |21 33 22.4443182240 -00 46 24.707104068|053.4090074571416 -35.7264267540067|   3.398 -2.039   |17.0     |~              |    ~     ~    |    0|                |                       |        |                   
1890|NGC 7089 3052                      Cl* NGC 7089 SAW V29                                                  |RR Lyrae Variable                     |21 33 22.4618608416 -00 50 51.706462452|053.3328403448272 -35.7674054451160|   3.562 -2.065   |16.217   |~              |    ~     ~    |    0|                |                       |        |                   
1891|NGC 7089 3056                      NGC 7089 3056                                                         |Star                                  |21 33 22.4910634104 -00 51 05.919856704|053.3288635087977 -35.7696838063136|   3.492 -2.253   |15.520   |~              |    ~     ~    |    0|                |                       |        |                   
1892|NGC 7089 3053                      NGC 7089 3053                                                         |Star                                  |21 33 22.6847961336 -00 50 47.522398380|053.3346664865463 -35.7675394523392|   3.572 -2.332   |15.24    |~              |    ~     ~    |    0|                |                       |        |                   
1893|NGC 7089 2062                      NGC 7089 2062                                                         |Star                                  |21 33 22.8589864104 -00 47 38.740463988|053.3890565507754 -35.7392179363313|   2.773 -2.216   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1894|NGC 7089 2078                      NGC 7089 2078                                                         |Star                                  |21 33 23.1010951320 -00 47 03.315887952|053.3998517021856 -35.7346283021045|   3.326 -2.179   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1895|NGC 7089 2093                      NGC 7089 2093                                                         |Star                                  |21 33 23.1167195832 -00 45 49.470946992|053.4209651636084 -35.7233589467976|   9.401 -5.799   |15.90    |~              |    ~     ~    |    0|                |                       |        |                   
1896|NGC 7089 2079                      Cl* NGC 7089 SAW V27                                                  |RR Lyrae Variable                     |21 33 23.2214929176 -00 47 14.084381400|053.3971198400581 -35.7366975625595|   3.406 -2.137   |16.151   |~              |    ~     ~    |    0|                |                       |        |                   
1897|NGC 7089 2084                      NGC 7089 2084                                                         |Star                                  |21 33 23.4515031624 -00 46 24.253779108|053.4119903064132 -35.7298561310339|   2.803 -2.033   |15.845   |~              |    ~     ~    |    0|                |                       |        |                   
1898|NGC 7089 2054                      NGC 7089 2054                                                         |Star                                  |21 33 23.46 -00 47 56.7                |053.38563 -35.74406                |            ~ ~   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1899|NGC 7089 2061                      NGC 7089 2061                                                         |Star                                  |21 33 23.4696525480 -00 47 29.479229412|053.3934294660252 -35.7399198849204|   3.653 -2.300   |15.83    |~              |    ~     ~    |    0|                |                       |        |                   
1900|NGC 7089 3086                      NGC 7089 3086                                                         |Star                                  |21 33 23.5819169688 -00 50 41.042075064|053.3390573120322 -35.7696648931725|   3.692 -2.206   |13.69    |~              |    ~     ~    |    0|                |                       |        |                   
1901|NGC 7089 2060                      NGC 7089 2060                                                         |Star                                  |21 33 23.67 -00 47 35.1                |053.39239 -35.74148                |            ~ ~   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1902|NGC 7089 2091                      NGC 7089 2091                                                         |Star                                  |21 33 23.7717686136 -00 46 06.815798580|053.4178729416328 -35.7282944958856|   0.913 -2.882   |15.82    |~              |    ~     ~    |    0|                |                       |        |                   
1903|NGC 7089 2055                      NGC 7089 2055                                                         |Star                                  |21 33 23.8766049432 -00 47 57.481234152|053.3865903404716 -35.7456263683854|   3.733 -2.503   |15.28    |~              |    ~     ~    |    0|                |                       |        |                   
1904|NGC 7089 2083                      NGC 7089 2083                                                         |Star                                  |21 33 24.02 -00 46 30.8                |053.41173 -35.73283                |            ~ ~   |16.773   |~              |    ~     ~    |    0|                |                       |        |                   
1905|NGC 7089 3054                      NGC 7089 3054                                                         |Star                                  |21 33 24.0810030960 -00 50 48.887445624|053.3382297841512 -35.7726011991750|   3.954 -1.951   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1906|NGC 7089 3057                      NGC 7089 3057                                                         |Star                                  |21 33 24.20 -00 51 06.9                |053.33342 -35.77577                |            ~ ~   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1907|NGC 7089 3055                      NGC 7089 3055                                                         |Star                                  |21 33 24.3834518568 -00 50 51.254151864|053.3384102175995 -35.7740148940063|   3.223 -2.231   |13.32    |~              |    ~     ~    |    0|                |                       |        |                   
1908|NGC 7089 2086                      NGC 7089 2086                                                         |Star                                  |21 33 24.5744368632 -00 46 15.482232912|053.4176747403000 -35.7324118671992|   3.628 -2.264   |16.04    |~              |    ~     ~    |    0|                |                       |        |                   
1909|NGC 7089 3079                      NGC 7089 3079                                                         |Star                                  |21 33 24.7221473304 -00 52 38.391095568|053.3087625548609 -35.7915988902364|   3.429 -1.927   |16.566   |~              |    ~     ~    |    0|                |                       |        |                   
1910|NGC 7089 3066                      NGC 7089 3066                                                         |Star                                  |21 33 24.7952774592 -00 51 38.211401268|053.3261632098790 -35.7826381760410| -3.731 -11.058   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1911|NGC 7089 2090                      NGC 7089 2090                                                         |Star                                  |21 33 24.8605796304 -00 45 54.171106200|053.4245657512162 -35.7301373872216|   3.398 -2.074   |16.04    |~              |    ~     ~    |    0|                |                       |        |                   
1912|NGC 7089 2080                      NGC 7089 2080                                                         |Star                                  |21 33 24.8687853232 -00 47 07.184291175|053.4037558583550 -35.7413625994825|            ~ ~   |16.05    |~              |    ~     ~    |    0|                |                       |        |                   
1913|NGC 7089 3080                      NGC 7089 3080                                                         |Star                                  |21 33 24.9474750600 -00 52 45.297054588|053.3074271095848 -35.7934394950408|   3.411 -2.234   |16.740   |~              |    ~     ~    |    0|                |                       |        |                   
1914|NGC 7089 3067                      NGC 7089 3067                                                         |Star                                  |21 33 25.1247397872 -00 51 44.486935056|053.3253032638735 -35.7847443899790|   3.281 -1.843   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1915|NGC 7089 2082                      NGC 7089 2082                                                         |Star                                  |21 33 25.15 -00 46 51.1                |053.40914 -35.73987                |            ~ ~   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1916|NGC 7089 3065                      NGC 7089 3065                                                         |Star                                  |21 33 25.3489733616 -00 51 40.293627768|053.3271361048799 -35.7848816095002|   3.030 -3.137   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1917|NGC 7089 3062                      NGC 7089 3062                                                         |Star                                  |21 33 25.4434361592 -00 51 12.144866544|053.3354446397376 -35.7808987869745|   3.287 -2.177   |16.316   |~              |    ~     ~    |    0|                |                       |        |                   
1918|NGC 7089 2081                      2MASS J21332545-0047056                                               |Red Giant Branch star                 |21 33 25.4521728336 -00 47 05.673279624|053.4058400282253 -35.7431576401476|   3.450 -2.231   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1919|NGC 7089 2059                      NGC 7089 2059                                                         |Star                                  |21 33 25.5765748416 -00 47 33.291211560|053.3983105611758 -35.7478242965768|   3.289 -2.175   |13.34    |~              |    ~     ~    |    0|                |                       |        |                   
1920|NGC 7089 3059                      NGC 7089 3059                                                         |Star                                  |21 33 25.5891630984 -00 51 00.228672540|053.3392610636964 -35.7795800674102|   3.682 -2.675   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1921|NGC 7089 2087                      NGC 7089 2087                                                         |Star                                  |21 33 25.7707603032 -00 46 11.256047292|053.4222706537247 -35.7359194051714|   3.359 -2.178   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1922|NGC 7089 3058                      NGC 7089 3058                                                         |Star                                  |21 33 25.7766794064 -00 50 55.916949948|053.3410236556808 -35.7795713287579|   3.389 -2.454   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1923|NGC 7089 2088                      NGC 7089 2088                                                         |Star                                  |21 33 25.8724209552 -00 46 08.626060488|053.4233091383282 -35.7358691726697|   3.417 -2.226   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1924|NGC 7089 3064                      NGC 7089 3064                                                         |Star                                  |21 33 25.93 -00 51 45.4                |053.32732 -35.78768                |            ~ ~   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1925|NGC 7089 3061                      NGC 7089 3061                                                         |Star                                  |21 33 26.1102720336 -00 51 08.589267324|053.3383486232648 -35.7826718307838|   3.516 -2.271   |15.058   |~              |    ~     ~    |    0|                |                       |        |                   
1926|NGC 7089 3060                      NGC 7089 3060                                                         |Star                                  |21 33 26.16 -00 50 57.2                |053.34174 -35.78110                |            ~ ~   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1927|NGC 7089 2057                      NGC 7089 2057                                                         |Star                                  |21 33 26.34 -00 47 38.8                |053.39890 -35.75132                |            ~ ~   |16.01    |~              |    ~     ~    |    0|                |                       |        |                   
1928|NGC 7089 2056                      NGC 7089 2056                                                         |Star                                  |21 33 26.4984769104 -00 47 49.853874120|053.3961953116907 -35.7535664468027|   2.946 -1.950   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1929|NGC 7089 3069                      NGC 7089 3069                                                         |Star                                  |21 33 26.73 -00 51 52.1                |053.32767 -35.79149                |            ~ ~   |16.04    |~              |    ~     ~    |    0|                |                       |        |                   
1930|NGC 7089 3063                      NGC 7089 3063                                                         |Star                                  |21 33 26.7421693464 -00 51 30.413850300|053.3339036010535 -35.7882108687209|   3.881 -2.123   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1931|NGC 7089 4005                      NGC 7089 4005                                                         |Star                                  |21 33 26.7981743040 -00 53 05.127903708|053.3069995715239 -35.8029090950385|   3.571 -2.130   |15.1     |~              |    ~     ~    |    0|                |                       |        |                   
1932|NGC 7089 2058                      NGC 7089 2058                                                         |Star                                  |21 33 26.96 -00 47 25.6                |053.40443 -35.75145                |            ~ ~   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1933|NGC 7089 1005                      NGC 7089 1005                                                         |Star                                  |21 33 27.19 -00 47 12.5                |053.40882 -35.75024                |            ~ ~   |15.69    |~              |    ~     ~    |    0|                |                       |        |                   
1934|NGC 7089 1004                      NGC 7089 1004                                                         |Star                                  |21 33 27.2691320088 -00 47 30.927113160|053.4037811863451 -35.7533420217221|   4.351 -2.442   |16.54    |~              |    ~     ~    |    0|                |                       |        |                   
1935|NGC 7089 1001                      NGC 7089 1001                                                         |Star                                  |21 33 27.2663814912 -00 47 44.177370324|053.3999914404043 -35.7553640260798|   3.657 -1.994   |15.85    |~              |    ~     ~    |    0|                |                       |        |                   
1936|NGC 7089 1003                      NGC 7089 1003                                                         |RR Lyrae Variable                     |21 33 27.3568141416 -00 47 36.080268540|053.4025588358148 -35.7544367472430|   3.247 -1.836   |15.81    |~              |    ~     ~    |    0|                |                       |        |                   
1937|NGC 7089 4002                      NGC 7089 4002                                                         |Star                                  |21 33 27.3144438792 -00 51 35.011940184|053.3342106476779 -35.7909041528509|   3.642 -2.144   |15.34    |~              |    ~     ~    |    0|                |                       |        |                   
1938|NGC 7089 1054                      NGC 7089 1054                                                         |Star                                  |21 33 27.3925372680 -00 46 41.170908396|053.4183308599344 -35.7461409085162|   3.570 -2.206   |14.3     |~              |    ~     ~    |    0|                |                       |        |                   
1939|NGC 7089 4004                      NGC 7089 4004                                                         |Star                                  |21 33 27.85 -00 52 22.9                |053.32204 -35.80010                |            ~ ~   |15.7     |~              |    ~     ~    |    0|                |                       |        |                   
1940|NGC 7089 1090                      NGC 7089 1090                                                         |Star                                  |21 33 27.9419540832 -00 47 35.911485312|053.4042651701902 -35.7564436983981|   3.646 -2.314   |14.19    |~              |    ~     ~    |    0|                |                       |        |                   
1941|NGC 7089 4003                      NGC 7089 4003                                                         |Star                                  |21 33 28.4462883840 -00 52 11.894146392|053.3268783613085 -35.8004867877749|   3.674 -2.145   |16.02    |~              |    ~     ~    |    0|                |                       |        |                   
1942|NGC 7089 1006                      NGC 7089 1006                                                         |Star                                  |21 33 28.4600480112 -00 47 19.497756552|053.4104182534599 -35.7557267595499|   3.603 -2.167   |15.14    |~              |    ~     ~    |    0|                |                       |        |                   
1943|NGC 7089 4013                      NGC 7089 4013                                                         |Star                                  |21 33 28.4884079688 -00 51 24.579958860|053.3405157579235 -35.7933865017789|   3.383 -2.262   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1944|NGC 7089 4015                      NGC 7089 4015                                                         |Star                                  |21 33 28.79 -00 51 10.2                |053.34548 -35.79223                |            ~ ~   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1945|NGC 7089 4014                      NGC 7089 4014                                                         |Star                                  |21 33 28.81 -00 51 17.4                |053.34348 -35.79340                |            ~ ~   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1946|NGC 7089 1008                      NGC 7089 1008                                                         |Star                                  |21 33 29.07 -00 47 25.6                |053.41041 -35.75878                |            ~ ~   |15.88    |~              |    ~     ~    |    0|                |                       |        |                   
1947|NGC 7089 4016                      NGC 7089 4016                                                         |Star                                  |21 33 29.08 -00 51 01.1                |053.34890 -35.79185                |            ~ ~   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1948|NGC 7089 1056                      NGC 7089 1056                                                         |Star                                  |21 33 29.35 -00 46 29.9                |053.42710 -35.75121                |            ~ ~   |13.9     |~              |    ~     ~    |    0|                |                       |        |                   
1949|NGC 7089 1007                      NGC 7089 1007                                                         |Star                                  |21 33 29.37 -00 47 22.6                |053.41211 -35.75936                |            ~ ~   |16.81    |~              |    ~     ~    |    0|                |                       |        |                   
1950|NGC 7089 4017                      2MASS J21332953-0050513                                               |Red Giant Branch star                 |21 33 29.5355260512 -00 50 51.327297276|053.3529810614141 -35.7919316007056|   3.615 -2.274   |13.42    |~              |    ~     ~    |    0|                |                       |        |                   
1951|NGC 7089 1051                      NGC 7089 1051                                                         |Star                                  |21 33 29.7602969184 -00 47 20.836620276|053.4137213487886 -35.7604489982986|   3.061 -2.149   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1952|NGC 7089 1052                      NGC 7089 1052                                                         |Star                                  |21 33 29.9467261224 -00 47 14.700928812|053.4160010319279 -35.7601556994295|   1.501 -2.051   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1953|NGC 7089 1070                      NGC 7089 1070                                                         |Star                                  |21 33 30.2072971848 -00 47 03.018767172|053.4200738840041 -35.7592692869082|   3.655 -2.176   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1954|NGC 7089 1010                      NGC 7089 1010                                                         |Star                                  |21 33 30.21 -00 47 53.0                |053.40582 -35.76694                |            ~ ~   |15.94    |~              |    ~     ~    |    0|                |                       |        |                   
1955|NGC 7089 1050                      NGC 7089 1050                                                         |Star                                  |21 33 30.3212553456 -00 47 24.568712664|053.4142461176439 -35.7629700024687|   3.401 -2.220   |15.278   |~              |    ~     ~    |    0|                |                       |        |                   
1956|NGC 7089 4018                      NGC 7089 4018                                                         |Star                                  |21 33 30.3988449672 -00 50 52.592661960|053.3550653238298 -35.7951256787266|   3.452 -2.058   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1957|NGC 7089 4021                      NGC 7089 4021                                                         |Star                                  |21 33 30.4695046560 -00 51 11.912300496|053.3497464023138 -35.7983310955643|   3.398 -2.356   |15.195   |~              |    ~     ~    |    0|                |                       |        |                   
1958|NGC 7089 1048                      NGC 7089 1048                                                         |Star                                  |21 33 30.6297961656 -00 47 37.391080344|053.4114606537250 -35.7660081133301|   5.292 -2.581   |     ~   |~              |    ~     ~    |    1|  616.1429  pc  | -44.4929    +44.4929  |paral   |2018yCat.1345....0G
1959|NGC 7089 4009                      NGC 7089 4009                                                         |Star                                  |21 33 30.63 -00 52 38.0                |053.32560 -35.81207                |            ~ ~   |14.5     |~              |    ~     ~    |    0|                |                       |        |                   
1960|NGC 7089 4019                      NGC 7089 4019                                                         |Star                                  |21 33 30.6721611408 -00 50 46.533600240|053.3575704824949 -35.7951471633784|   2.971 -2.310   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1961|NGC 7089 4026                      NGC 7089 4026                                                         |Star                                  |21 33 30.7894860696 -00 51 27.834259032|053.3461040702606 -35.8018822892210|   3.470 -2.137   |15.803   |~              |    ~     ~    |    0|                |                       |        |                   
1962|NGC 7089 1049                      NGC 7089 1049                                                         |Star                                  |21 33 30.82 -00 47 23.5                |053.41596 -35.76454                |            ~ ~   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1963|NGC 7089 4020                      NGC 7089 4020                                                         |Star                                  |21 33 30.8559182712 -00 51 01.638409644|053.3537761510073 -35.7980999923685|   3.270 -2.098   |14.042   |~              |    ~     ~    |    0|                |                       |        |                   
1964|NGC 7089 1071                      NGC 7089 1071                                                         |Star                                  |21 33 30.8730808608 -00 47 11.185891764|053.4196301581032 -35.7628345755806|   3.485 -2.034   |13.6     |~              |    ~     ~    |    0|                |                       |        |                   
1965|NGC 7089 1011                      NGC 7089 1011                                                         |Star                                  |21 33 30.9470826744 -00 48 11.524262976|053.4026160188391 -35.7723441354735|   3.630 -2.008   |15.20    |~              |    ~     ~    |    0|                |                       |        |                   
1966|NGC 7089 4022                      NGC 7089 4022                                                         |Star                                  |21 33 31.0261951512 -00 51 08.200542960|053.3523838908581 -35.7996971021887|   3.591 -1.951   |14.348   |~              |    ~     ~    |    0|                |                       |        |                   
1967|NGC 7089 4008                      NGC 7089 4008                                                         |Star                                  |21 33 31.2441317688 -00 53 11.938763256|053.3176426888846 -35.8194067192797|   3.509 -1.921   |15.8     |~              |    ~     ~    |    0|                |                       |        |                   
1968|NGC 7089 4007                      NGC 7089 4007                                                         |Star                                  |21 33 31.3993831488 -00 53 24.081804024|053.3146115587593 -35.8218057071858|   3.462 -2.350   |16.3     |~              |    ~     ~    |    0|                |                       |        |                   
1969|NGC 7089 1076                      NGC 7089 1076                                                         |Star                                  |21 33 31.4108483040 -00 47 29.541987564|053.4159151423003 -35.7675177255972|   3.664 -2.156   |14.96    |~              |    ~     ~    |    0|                |                       |        |                   
1970|NGC 7089 1012                      NGC 7089 1012                                                         |Star                                  |21 33 31.4422161672 -00 48 07.297153668|053.4052262167245 -35.7734161424864|   3.533 -1.963   |16.14    |~              |    ~     ~    |    0|                |                       |        |                   
1971|NGC 7089 4024                      NGC 7089 4024                                                         |Star                                  |21 33 31.5563525304 -00 50 58.485867684|053.3566612100410 -35.8000511244247|   2.869 -1.793   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1972|NGC 7089 1094                      NGC 7089 1094                                                         |Star                                  |21 33 31.6905610272 -00 47 26.974867776|053.4174408407232 -35.7680957054312|   3.484 -2.139   |14.81    |~              |    ~     ~    |    0|                |                       |        |                   
1973|NGC 7089 1044                      NGC 7089 1044                                                         |Star                                  |21 33 31.7771019360 -00 48 00.439487244|053.4081332263619 -35.7735280377529|   3.278 -2.194   |14.29    |~              |    ~     ~    |    0|                |                       |        |                   
1974|NGC 7089 1013                      NGC 7089 1013                                                         |Star                                  |21 33 31.79 -00 48 13.0                |053.40458 -35.77550                |            ~ ~   |16.60    |~              |    ~     ~    |    0|                |                       |        |                   
1975|NGC 7089 4023                      NGC 7089 4023                                                         |Star                                  |21 33 31.82 -00 50 52.0                |053.35926 -35.79997                |            ~ ~   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1976|NGC 7089 1073                      NGC 7089 1073                                                         |Star                                  |21 33 32.0351619840 -00 47 11.656125960|053.4227903067586 -35.7669434023279|   3.325 -2.272   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1977|NGC 7089 4033                      NGC 7089 4033                                                         |Star                                  |21 33 32.0730008568 -00 50 19.497861564|053.3692623299850 -35.7958723796916|   3.350 -2.113   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
1978|NGC 7089 4027                      NGC 7089 4027                                                         |Star                                  |21 33 32.13 -00 51 30.5                |053.34914 -35.80695                |            ~ ~   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
