C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:40:45

dec< 0&rah >=21.5&rah< 21.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3883

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
33  |CD-37 14375                                                                                              |Star                                  |21 36 33.7308163488 -37 14 37.819313988|006.3648207331707 -48.0213441128689|  -17.582 0.087   |10.61    |~              |    ~     ~    |    1|  240.332   pc  | -10.3300    +10.3300  |ST-L    |2020AJ....160...83S
34  |CD-38 14618                                                                                              |High Proper Motion Star               |21 35 31.2422704800 -37 55 20.401126176|005.3504871656130 -47.8192303787599|  4.266 -77.820   |10.35    |~              |    ~     ~    |    1|  167.232   pc  |  -0.4027     +0.4027  |paral   |2020yCat.1350....0G
35  |HD 205696                                                                                                |Star                                  |21 38 04.7650343256 -37 09 50.965899660|006.4889228692299 -48.3226294526313|   15.780 1.769   |8.03     |K0III          |    ~     ~    |    1|  279.234   pc  |  -4.3990     +4.3990  |ST-L    |2020AJ....160...83S
36  |HD 205873                                                                                                |Spectroscopic Binary                  |21 39 17.3522152176 -36 49 34.161198852|007.0023312076155 -48.5605320396752| 46.800 -36.039   |9.68     |G0V            |    ~     ~    |    1|  181.327   pc  |  -0.5853     +0.5853  |paral   |2020yCat.1350....0G
37  |HD 206093                                                                                                |Star                                  |21 40 42.4937068272 -37 04 41.534292396|006.6239564383067 -48.8460918032315| -1.793 -36.144   |9.26     |K0IV           |    ~     ~    |    1|  371.388   pc  |  -2.6344     +2.6344  |paral   |2020yCat.1350....0G
38  |CD-37 14419                                                                                              |High Proper Motion Star               |21 41 54.3410615472 -37 09 46.790917020|006.4953244645802 -49.0849169503440| 60.210 -22.863   |10.24    |G0V            |    ~     ~    |    1|  118.047   pc  |  -0.2940     +0.2940  |paral   |2020yCat.1350....0G
39  |HD 206292                                                                                                |Star                                  |21 42 05.6481005328 -37 02 52.545086628|006.6710799969538 -49.1224984835027|    7.356 9.710   |8.47     |K0III          |    ~     ~    |    1|  366.153   pc  |  -3.0970     +3.0970  |paral   |2020yCat.1350....0G
40  |CD-37 14447                                                                                              |High Proper Motion Star               |21 44 59.0109634656 -37 24 08.178986736|006.1206580334334 -49.6953242194431|179.208 -64.709   |9.994    |G5             |    ~     ~    |    1|  107.094   pc  |  -0.8796     +0.8796  |ST-L    |2020AJ....160...83S
41  |HD 205651                                                                                                |delta Sct Variable                    |21 37 48.5610011304 -37 42 03.564875736|005.6816544429322 -48.2712274567709| -8.200 -19.194   |9.55     |A(5)mF0-F3     |    ~     ~    |    1|  343.962   pc  |  -1.9521     +1.9521  |paral   |2020yCat.1350....0G
42  |HD 205892                                                                                                |Star                                  |21 39 23.7979478520 -37 37 39.401834556|005.7912044749304 -48.5855116790022|  -7.320 -5.639   |8.81     |K0III          |    ~     ~    |    1|  405.170   pc  |  -3.0206     +3.0206  |paral   |2020yCat.1350....0G
43  |HD 205931                                                                                                |Star                                  |21 39 42.9362888184 -37 38 07.147215132|005.7791560615777 -48.6486325472790| 18.320 -19.427   |9.73     |F8V            |    ~     ~    |    1|  187.101   pc  |  -0.5461     +0.5461  |paral   |2020yCat.1350....0G
44  |HD 206036                                                                                                |High Proper Motion Star               |21 40 27.4742369736 -37 43 40.779033816|005.6372318727542 -48.7948935681770|268.820 -53.154   |9.49     |G5V            |    ~     ~    |    1|   72.075   pc  |  -0.0800     +0.0800  |paral   |2020yCat.1350....0G
45  |HD 206275                                                                                                |Star                                  |21 42 04.2185816760 -37 41 36.499018884|005.6848138287517 -49.1141282386343| 10.474 -10.640   |8.53     |K2III          |    ~     ~    |    1|  384.571   pc  |  -3.4016     +3.4016  |paral   |2020yCat.1350....0G
46  |CD-38 14656                                                                                              |Spectroscopic Binary                  |21 38 52.2491286288 -38 25 05.977248744|004.5989182510711 -48.4735185805173| 41.247 -11.709   |10.463   |G0             |    ~     ~    |    1|  242.111   pc  |  -4.1990     +4.1990  |ST-L    |2020AJ....160...83S
47  |CD-38 14674                                                                                              |Star                                  |21 41 17.1359312232 -38 15 44.879187348|004.8210316631382 -48.9499801608735|  -25.302 2.663   |10.61    |F8             |    ~     ~    |    1|  243.653   pc  |  -0.9914     +0.9914  |paral   |2020yCat.1350....0G
48  |HD 206343                                                                                                |Spectroscopic Binary                  |21 42 29.0794855200 -37 55 59.692995696|005.3163580072420 -49.1923349924185|  5.309 -12.250   |7.56     |A5V            |    ~     ~    |    1|  233.470   pc  |  -2.4256     +2.4256  |paral   |2020yCat.1350....0G
49  |CD-38 14687                                                                                              |Star                                  |21 42 30.5134560024 -37 55 49.771760088|005.3204440886897 -49.1970967029580|  5.367 -12.553   |9.040    |(G)            |    ~     ~    |    1|  231.230   pc  |  -0.8180     +0.8180  |paral   |2020yCat.1350....0G
50  |HD 206532                                                                                                |Star                                  |21 43 37.3955795256 -38 08 35.486252700|004.9869803991695 -49.4118985391974|  7.765 -14.725   |8.40     |K3III          |    ~     ~    |    1|  872.829   pc  | -15.9984    +15.9984  |paral   |2020yCat.1350....0G
51  |CD-38 14697                                                                                              |Spectroscopic Binary                  |21 43 44.7231739368 -38 09 35.296322112|004.9604934008550 -49.4354707141721|  -19.355 3.096   |10.05    |F5             |    ~     ~    |    1|  226.865   pc  |  -1.1117     +1.1117  |paral   |2020yCat.1350....0G
52  |HD 206597                                                                                                |Star                                  |21 44 07.8470883624 -38 02 05.950637052|005.1495550989548 -49.5144457472576|  4.741 -37.845   |8.94     |G3V            |    ~     ~    |    1|  198.693   pc  |  -1.2989     +1.2989  |paral   |2020yCat.1350....0G
53  |HD 206642                                                                                                |High Proper Motion Star               |21 44 29.4723514080 -38 33 09.101246328|004.3490198749223 -49.5693428765048|82.010 -161.446   |6.283    |K1IIICNIV/V    |    ~     ~    |    1|  266.439   pc  |  -1.7605     +1.7605  |paral   |2020yCat.1350....0G
54  |CD-37 14393                                                                                              |Star                                  |21 39 11.0402292096 -37 12 17.951912352|006.4297684194849 -48.5429208613928|-22.245 -28.870   |10.11    |~              |    ~     ~    |    1|  188.558   pc  |  -0.6080     +0.6080  |paral   |2020yCat.1350....0G
55  |CD-37 14399                                                                                              |Star                                  |21 40 05.6426423880 -37 24 33.665330340|006.1211123850077 -48.7243135518086|  18.076 -0.970   |10.07    |~              |    ~     ~    |    1|  343.985   pc  |  -3.3960     +3.3960  |paral   |2020yCat.1350....0G
56  |CPD-39 9005                                                                                              |Star                                  |21 41 39.2202705456 -38 50 00.582655524|003.9483207087363 -49.0061439843455|  13.474 23.821   |10.41    |~              |    ~     ~    |    1|  137.883   pc  |  -0.3137     +0.3137  |paral   |2020yCat.1350....0G
57  |CD-39 14399                                                                                              |Star                                  |21 43 51.9309336624 -38 44 14.386932240|004.0716547455305 -49.4403641777485| 12.337 -10.850   |10.34    |~              |    ~     ~    |    1|  152.604   pc  |  -0.9851     +0.9851  |paral   |2020yCat.1350....0G
58  |CD-38 14700                                                                                              |Star                                  |21 44 09.2315438064 -38 14 04.537553928|004.8420403626902 -49.5136359017036|    7.173 1.015   |9.67     |~              |    ~     ~    |    1|  698.129   pc  |  -6.5797     +6.5797  |paral   |2020yCat.1350....0G
59  |CD-39 14409                                                                                              |Star                                  |21 44 53.2537990992 -39 05 17.646888588|003.5182144020655 -49.6237805615069| -6.951 -17.232   |10.12    |~              |    ~     ~    |    1|  893.575   pc  | -12.2965    +12.2965  |paral   |2020yCat.1350....0G
60  |CD-37 14394                                                                                              |Star                                  |21 39 13.1824240920 -37 08 55.286149056|006.5148672579612 -48.5497035023511|   0.001 -4.771   |10.12    |~              |    ~     ~    |    1|  736.703   pc  |  -9.8777     +9.8777  |paral   |2020yCat.1350....0G
61  |CD-39 14362                                                                                              |Star                                  |21 39 14.6622547752 -38 29 34.946253276|004.4840635878598 -48.5452156080241|  1.416 -15.227   |9.79     |~              |    ~     ~    |    1|  577.501   pc  | -11.5060    +11.5060  |paral   |2020yCat.1350....0G
62  |CD-39 14363                                                                                              |Star                                  |21 39 20.9705038296 -38 37 30.064080684|004.2840484918829 -48.5628968036509|   0.265 -0.008   |10.35    |~              |    ~     ~    |    1| 1071.582   pc  | -16.7650    +16.7650  |paral   |2020yCat.1350....0G
63  |CD-38 14670                                                                                              |Spectroscopic Binary                  |21 40 42.9269672928 -37 36 10.361082240|005.8266695562562 -48.8468021772235|   6.846 -0.428   |9.61     |~              |    ~     ~    |    1| 1305.653   pc  | -50.1191    +50.1191  |paral   |2020yCat.1350....0G
64  |CD-38 14675                                                                                              |Variable Star                         |21 41 21.4111003704 -38 24 54.487840212|004.5881062077898 -48.9604350354918|  -0.504 -6.753   |9.57     |~              |    ~     ~    |    1|  492.999   pc  |  -3.6214     +3.6214  |paral   |2020yCat.1350....0G
65  |CD-38 14677                                                                                              |Star                                  |21 41 35.3754456312 -37 45 03.279806892|005.5988977139970 -49.0183833549427|  -4.095 -3.527   |9.94     |~              |    ~     ~    |    1|  438.635   pc  |  -2.6166     +2.6166  |paral   |2020yCat.1350....0G
66  |CD-38 14679                                                                                              |Star                                  |21 41 50.2130295720 -37 57 49.456367604|005.2731854957377 -49.0641182220080|  3.114 -44.320   |9.40     |~              |    ~     ~    |    1| 1837.897   pc  | -55.0592    +55.0592  |paral   |2020yCat.1350....0G
67  |CD-39 14400                                                                                              |Star                                  |21 44 01.9546369296 -38 26 25.238504040|004.5265186610570 -49.4835315317462| -20.664 -1.214   |10.47    |~              |    ~     ~    |    1|  589.588   pc  |  -5.5966     +5.5966  |paral   |2020yCat.1350....0G
68  |HD 205252                                                                                                |High Proper Motion Star               |21 35 03.5398675032 -38 47 41.339492628|004.0532519370841 -47.7228566229858|-36.461 -40.025   |8.95     |G1V            |    ~     ~    |    1|  123.614   pc  |  -0.2521     +0.2521  |paral   |2020yCat.1350....0G
69  |HD 205368                                                                                                |Star                                  |21 35 43.8972630312 -38 36 44.105916240|004.3222933075854 -47.8565643088990|  -2.045 -1.686   |9.41     |K2III          |    ~     ~    |    1|  452.468   pc  |  -4.6473     +4.6473  |paral   |2020yCat.1350....0G
70  |HD 205463                                                                                                |Star                                  |21 36 27.7621362648 -38 37 16.117357800|004.3060554046089 -47.9992320641041| -44.137 -2.234   |8.89     |F5V            |    ~     ~    |    1|  155.637   pc  |  -0.4094     +0.4094  |paral   |2020yCat.1350....0G
71  |HD 205708                                                                                                |Star                                  |21 38 09.5467482528 -39 05 29.011945452|003.5903814547551 -48.3190688462111| 37.232 -14.294   |9.68     |F6V            |    ~     ~    |    1|  143.266   pc  |  -1.2550     +1.2550  |ST-L    |2020AJ....160...83S
72  |HD 205893                                                                                                |Star                                  |21 39 22.0201605384 -38 54 27.087855480|003.8571971088195 -48.5589623852213|   1.796 -2.646   |9.53     |K1III          |    ~     ~    |    1|  535.418   pc  |  -4.5581     +4.5581  |paral   |2020yCat.1350....0G
73  |HD 205932                                                                                                |Star                                  |21 39 39.5862709464 -39 12 23.290239564|003.4027730541333 -48.6061473144456|-34.441 -23.145   |8.15     |K0III          |    ~     ~    |    1|  262.847   pc  |  -1.7272     +1.7272  |paral   |2020yCat.1350....0G
74  |HD 206010                                                                                                |Star                                  |21 40 10.5998485392 -38 53 29.095352340|003.8744587368666 -48.7169020423915|   2.695 -6.843   |8.77     |K0III          |    ~     ~    |    1|  408.714   pc  |  -3.2407     +3.2407  |paral   |2020yCat.1350....0G
75  |HD 206564                                                                                                |Star                                  |21 43 49.6706030952 -39 22 32.739959100|003.0916506202859 -49.4045048344086|  16.169 -0.937   |9.13     |G8IVCNIII      |    ~     ~    |    1|  465.354   pc  |  -3.1184     +3.1184  |paral   |2020yCat.1350....0G
76  |HD 206598                                                                                                |Star                                  |21 44 07.6620911688 -39 13 53.506762788|003.3086975398288 -49.4696706724311| 10.476 -13.945   |9.10     |K0III          |    ~     ~    |    1|  469.506   pc  |  -3.5490     +3.5490  |paral   |2020yCat.1350....0G
77  |IRAS 21360-3924                                                                                          |Long-Period Variable Candidate        |21 39 06.3161559672 -39 10 44.747539932|003.4496994765337 -48.4997171568763|  -2.833 -5.119   |10.43    |~              |    ~     ~    |    1|  859.107   pc  | -37.2722    +37.2722  |paral   |2020yCat.1350....0G
78  |CD-39 14330                                                                                              |Star                                  |21 36 21.0991037976 -38 48 02.113971840|004.0385239154388 -47.9745903280740| 20.922 -20.531   |10.25    |~              |    ~     ~    |    1|  174.685   pc  |  -0.4455     +0.4455  |paral   |2020yCat.1350....0G
79  |CD-40 14469                                                                                              |Spectroscopic Binary                  |21 43 01.3776331920 -39 25 59.812282164|003.0155688660642 -49.2463161284527| 17.879 -20.261   |9.78     |~              |    ~     ~    |    1|  574.713   pc  |  -4.8553     +4.8553  |paral   |2020yCat.1350....0G
80  |CD-39 14396                                                                                              |Star                                  |21 43 26.3870002392 -39 16 49.874094984|003.2434470846281 -49.3342790114565| -5.620 -29.664   |10.18    |~              |    ~     ~    |    1|  261.335   pc  |  -1.2498     +1.2498  |paral   |2020yCat.1350....0G
