C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:40:01

Vmag< 11&dec >=0&rah >=19.25&rah< 19.5
--------------------------------------

Number of objects : 7704

 #  |                                                                 identifier                                                                 |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type     |      ang. size      
----|--------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-------------------|---------------------
3917|V* V389 Vul                                                                                                                                 |Long-Period Variable           |19 19 31.8952068672 +22 34 14.683596636|056.1467607310470 +04.2741803777274|   6.960 -5.973    |7.07     |M3                 |    ~     ~          
3918|HD 344225                                                                                                                                   |Star                           |19 20 10.6875080136 +22 37 06.151132848|056.2585643857020 +04.1641559136904|   18.341 2.384    |9.42     |K5                 |    ~     ~          
3919|HD 344224                                                                                                                                   |Star                           |19 20 13.2851777520 +22 48 20.557902780|056.4295268450626 +04.2424057110585|  6.552 -29.521    |8.66     |M0                 |    ~     ~          
3920|HD 344221                                                                                                                                   |Star                           |19 20 41.8759959696 +22 56 49.652282436|056.6062442057769 +04.2110090703766|  -3.123 -3.929    |9.58     |A1                 |    ~     ~          
3921|HD 344253                                                                                                                                   |Star                           |19 20 20.5141477752 +22 05 38.256050436|055.8108965214053 +03.8866189916953|  -0.107 -6.831    |10.76    |B8II               |    ~     ~          
3922|HD 344141                                                                                                                                   |Star                           |19 19 13.8673000008 +22 29 53.285047332|056.0499773848565 +04.3019545274950|  -0.396 -4.023    |10.79    |A0                 |    ~     ~          
3923|HD 344122                                                                                                                                   |Star                           |19 19 25.2734754504 +23 09 03.186243900|056.6504569980312 +04.5657379116403|    8.058 1.864    |10.86    |G8                 |    ~     ~          
3924|HD 344143                                                                                                                                   |Star                           |19 18 50.2306682928 +22 24 30.265318908|055.9279323982931 +04.3410092486285|   0.940 -5.880    |10.75    |A0                 |    ~     ~          
3925|HD 344144                                                                                                                                   |Star                           |19 19 06.9856924800 +22 20 23.565084468|055.8970523794297 +04.2520404752935|  -2.562 -3.645    |10.13    |A0                 |    ~     ~          
3926|BD+22 3659                                                                                                                                  |Long-Period Variable Candidate |19 19 28.6277506536 +23 02 33.665503596|056.5602539315387 +04.5042006652839|    7.827 2.818    |9.82     |M4                 |    ~     ~          
3927|HD 344235                                                                                                                                   |Star                           |19 20 27.8397223608 +22 17 51.996207228|056.0048810216822 +03.9565187907527|  -0.758 -5.350    |9.50     |K5                 |    ~     ~          
3928|HD 344234                                                                                                                                   |Star                           |19 20 39.7117121976 +22 25 39.180075708|056.1413534526459 +03.9764746961755|   5.617 -3.891    |10.33    |K5                 |    ~     ~          
3929|HD 344227                                                                                                                                   |Star                           |19 20 54.4294961448 +22 39 06.839353512|056.3668079867367 +04.0308708305479| -2.588 -10.713    |10.17    |F0                 |    ~     ~          
3930|HD 181471                                                                                                                                   |Star                           |19 19 48.0969943296 +21 42 24.816763728|055.4090779694593 +03.8173588449574|   24.280 9.461    |8.77     |A3                 |    ~     ~          
3931|HD 344175                                                                                                                                   |Star                           |19 20 00.8262432480 +21 32 39.287981004|055.2878224235648 +03.6980053196276|   0.038 -6.188    |9.63     |A0                 |    ~     ~          
3932|HD 181632                                                                                                                                   |Star                           |19 20 28.4111280024 +21 47 18.098289132|055.5541461018654 +03.7172330482021|  12.160 10.669    |8.74     |A0                 |    ~     ~          
3933|HD 344267                                                                                                                                   |Variable Star                  |19 20 33.0362883336 +21 38 25.984748832|055.4314812351783 +03.6324787402551|    5.346 1.332    |9.68     |A2                 |    ~     ~          
3934|HD 181725                                                                                                                                   |Star                           |19 20 47.2617959256 +21 48 41.684788404|055.6088068576383 +03.6635479820661|  15.429 -2.231    |7.83     |K0                 |    ~     ~          
3935|HD 344163                                                                                                                                   |Star                           |19 19 04.7323834920 +21 49 54.347454480|055.4417267742960 +04.0239704246881|  -4.445 -2.605    |10.50    |A2                 |    ~     ~          
3936|HD 344152                                                                                                                                   |Star                           |19 19 14.6557988520 +22 02 27.443565888|055.6453255996801 +04.0871190510156|    1.089 2.918    |10.45    |A0                 |    ~     ~          
3937|HD 344268                                                                                                                                   |Star                           |19 20 12.3763921560 +21 30 24.534885744|055.2755333084246 +03.6409529259807|  30.299 31.363    |10.62    |G5                 |    ~     ~          
3938|HD 344266                                                                                                                                   |High Proper Motion Star        |19 20 22.9575936456 +21 34 16.575198240|055.3518276469906 +03.6347143360582|46.707 -136.087    |10.24    |G0                 |    ~     ~          
3939|IRAS 19181+2319                                                                                                                             |Star                           |19 20 13.1156977536 +23 25 08.834301552|056.9740388018810 +04.5279107391923|  -0.707 -1.476    |10.88    |~                  |    ~     ~          
3940|TYC 2124-1898-1                                                                                                                             |High Proper Motion Star        |19 19 37.9524934512 +23 20 55.490131716|056.8489224861262 +04.6144122692211|-49.279 -63.127    |10.89    |~                  |    ~     ~          
3941|HD 344173                                                                                                                                   |Star                           |19 18 45.3299160864 +21 26 37.456845144|055.0622509924189 +03.9104010197554|   2.486 -3.020    |9.59     |A2                 |    ~     ~          
3942|HD 344276                                                                                                                                   |Star                           |19 20 52.2631390416 +21 15 32.436564696|055.1282787626402 +03.3884574832183|    4.440 0.736    |10.30    |A0                 |    ~     ~          
3943|HD 182009                                                                                                                                   |Star                           |19 21 46.4073403824 +23 27 40.433605596|057.1778340274338 +04.2318146657742|-22.941 -26.277    |8.59     |F8                 |    ~     ~          
3944|HD 344199                                                                                                                                   |Spectroscopic Binary           |19 21 54.5665868376 +23 50 06.725918868|057.5241687385160 +04.3786197678032|    2.567 4.368    |9.29     |A4                 |    ~     ~          
3945|HD 344208                                                                                                                                   |Star                           |19 22 06.9616760424 +23 28 11.434890216|057.2222230967508 +04.1663466377583|    2.677 6.599    |8.62     |K2                 |    ~     ~          
3946|HD 344293                                                                                                                                   |Star                           |19 24 27.7865299488 +23 47 10.625285508|057.7548756129840 +03.8395593098368|    5.045 2.174    |9.44     |A4                 |    ~     ~          
3947|HD 182636                                                                                                                                   |Star                           |19 24 44.82036 +23 36 56.0968          |057.63450692 +03.70194832          |    -0.24 -8.12    |8.29     |G5                 |    ~     ~          
3948|HD 344292                                                                                                                                   |Spectroscopic Binary           |19 25 36.6090246336 +23 37 54.312685392|057.7421094476345 +03.5351680656805|   16.286 3.611    |9.74     |G2                 |    ~     ~          
3949|HD 344377                                                                                                                                   |High Proper Motion Star        |19 27 26.5280987304 +23 40 00.393255084|057.9717790989262 +03.1820855987066|-61.236 -32.394    |9.54     |K0                 |    ~     ~          
3950|HD 344219                                                                                                                                   |Star                           |19 20 52.8487509600 +23 03 48.811497552|056.7292181739913 +04.2279493655192| -0.091 -10.302    |10.13    |A0                 |    ~     ~          
3951|HD 344218                                                                                                                                   |Star                           |19 20 54.5616752304 +23 04 09.775916256|056.7374512967169 +04.2248483495015|   3.007 -9.381    |9.55     |G0                 |    ~     ~          
3952|HD 344220                                                                                                                                   |Star                           |19 20 59.9979058752 +23 03 10.907201556|056.7326694023231 +04.1987907277681|-13.858 -17.472    |9.23     |A6                 |    ~     ~          
3953|HD 182032                                                                                                                                   |Double or Multiple Star        |19 21 57.26068 +22 30 23.1228          |056.35092477 +03.74918722          |    -0.39 -5.53    |7.50     |B2.5V              |    ~     ~          
3954|HD 344231                                                                                                                                   |Star                           |19 22 00.8921732448 +22 30 23.062369464|056.3574592803987 +03.7368224086751|   4.227 -5.530    |10.9     |A0                 |    ~     ~          
3955|HD 182078                                                                                                                                   |Star                           |19 22 12.3818635416 +22 32 10.549629600|056.4046321276144 +03.7116980309221|   0.632 -5.829    |7.80     |B2V                |    ~     ~          
3956|HD 344239                                                                                                                                   |Star                           |19 22 21.1029202032 +22 16 40.314046584|056.1915731273280 +03.5610760308070|    3.928 3.547    |9.64     |A1                 |    ~     ~          
3957|HD 344216                                                                                                                                   |High Proper Motion Star        |19 22 19.0965930096 +22 57 53.109404424|056.7962994543272 +03.8892907246510|   53.272 0.067    |8.77     |K8                 |    ~     ~          
3958|HD 344217                                                                                                                                   |Star                           |19 22 12.1388497560 +22 57 00.940149936|056.7709509657181 +03.9061137848560|  -15.486 4.257    |10.41    |A7                 |    ~     ~          
3959|HD 344215                                                                                                                                   |Star                           |19 22 26.3661836904 +22 59 51.880000596|056.8385992934743 +03.8800699819656|   0.005 -3.202    |9.63     |B9                 |    ~     ~          
3960|HD 344212                                                                                                                                   |Star                           |19 23 04.8118574760 +23 13 18.616209780|057.1062009012980 +03.8547563805275|  3.106 -17.393    |9.59     |F0                 |    ~     ~          
3961|HD 344240                                                                                                                                   |Star                           |19 23 14.2549067592 +22 21 36.389623536|056.3605764982826 +03.4186629482911|   7.638 20.409    |9.38     |F5                 |    ~     ~          
3962|HD 182421                                                                                                                                   |Star                           |19 23 43.7985390984 +22 33 52.360625412|056.5949069248171 +03.4142349705269|   0.432 -9.156    |8.24     |B9                 |    ~     ~          
3963|HD 182551                                                                                                                                   |Star                           |19 24 20.9873159880 +22 57 53.226556704|057.0160920726835 +03.4762959406628|   10.305 3.903    |8.69     |A0                 |    ~     ~          
3964|HD 344312                                                                                                                                   |Star                           |19 24 43.5908822664 +22 43 58.647095724|056.8521319685261 +03.2905878096900|  -1.725 -0.432    |8.99     |F2II               |    ~     ~          
3965|HD 344313                                                                                                                                   |Be Star                        |19 24 45.7712945880 +22 46 28.638379848|056.8928971393533 +03.3028269628410|   0.849 -5.602    |9.45     |B2V:pe             |    ~     ~          
3966|HD 182829                                                                                                                                   |Star                           |19 25 40.8854832888 +22 24 59.472701928|056.6769077363998 +02.9469136868340|   0.320 -3.749    |9.36     |F5                 |    ~     ~          
3967|HD 344385                                                                                                                                   |Star                           |19 26 16.7400284544 +23 16 47.372580984|057.5039272147563 +03.2337542920318|   16.690 2.962    |9.10     |F2                 |    ~     ~          
3968|HD 182954                                                                                                                                   |Star                           |19 26 23.2192925184 +22 21 16.521712668|056.6995523039154 +02.7739251985558|   1.704 -5.624    |8.79     |A                  |    ~     ~          
3969|HD 344393                                                                                                                                   |Star                           |19 26 34.3686229296 +22 45 44.869507200|057.0795577467197 +02.9293451889998|  1.343 -11.988    |9.24     |K2                 |    ~     ~          
3970|HD 344394                                                                                                                                   |Spectroscopic Binary           |19 26 41.3505601296 +22 42 28.011374460|057.0440677231919 +02.8798092684237|-28.373 -18.890    |9.72     |G0                 |    ~     ~          
3971|HD 344388                                                                                                                                   |Star                           |19 28 07.1912298600 +23 03 04.212090972|057.5032921355342 +02.7528151985154|   1.854 -2.351    |9.73     |A0                 |    ~     ~          
3972|HD 183385                                                                                                                                   |Star                           |19 28 27.9637823256 +22 43 03.972785484|057.2477737841814 +02.5239863237487|    4.750 7.207    |7.74     |K0                 |    ~     ~          
3973|HD 344396                                                                                                                                   |Star                           |19 28 28.9678720848 +22 40 24.550426992|057.2106407190660 +02.4994964686558|    6.469 7.532    |9.76     |M0                 |    ~     ~          
3974|HD 183440                                                                                                                                   |Star                           |19 28 46.9760858592 +22 33 36.683286984|057.1439971093100 +02.3846040927889|    0.537 0.478    |8.08     |A0                 |    ~     ~          
3975|HD 344397                                                                                                                                   |Spectroscopic Binary           |19 28 51.4533219264 +22 39 40.690935324|057.2411687547768 +02.4176904041829|  5.300 -20.768    |9.92     |G0                 |    ~     ~          
3976|HD 183458                                                                                                                                   |Double or Multiple Star        |19 28 50.2292108568 +23 04 47.968749516|057.6073126290710 +02.6214545993274| -6.123 -10.905    |8.44     |A3                 |    ~     ~          
3977|HD 183681                                                                                                                                   |Star                           |19 29 52.7575890384 +22 42 23.874569136|057.3936885270204 +02.2322889946264|    1.437 0.419    |7.36     |M0III              |    ~     ~          
3978|HD 181751                                                                                                                                   |Be Star                        |19 20 54.3009109176 +22 11 55.620859884|055.9647538109787 +03.8200989380101|  -0.040 -9.918    |6.55     |B8Ve               |    ~     ~          
3979|HD 344237                                                                                                                                   |Star                           |19 21 22.6842998304 +22 11 45.067591212|056.0133649924148 +03.7218855061130|  19.080 28.358    |9.60     |G2                 |    ~     ~          
3980|HD 182146                                                                                                                                   |Star                           |19 22 30.7810650528 +22 11 16.950945444|056.1295774792041 +03.4860254655438|  -0.155 -5.634    |8.06     |B8V                |    ~     ~          
3981|HD 344243                                                                                                                                   |Star                           |19 22 44.7681895536 +22 10 14.313415296|056.1395191839445 +03.4301977257789|    3.583 4.038    |9.60     |A0                 |    ~     ~          
3982|HD 344242                                                                                                                                   |Star                           |19 22 48.1588810128 +22 12 58.995206856|056.1861413685596 +03.4400918205319|   1.587 -6.320    |9.27     |A0                 |    ~     ~          
3983|HD 344322                                                                                                                                   |Star                           |19 23 58.9767438864 +22 16 11.981930016|056.3620397776341 +03.2241503441224| 26.624 -17.830    |9.26     |F8                 |    ~     ~          
3984|HD 182695                                                                                                                                   |Double or Multiple Star        |19 25 08.8385263832 +22 12 56.833241369|056.4413174117152 +02.9609691546605|   3.304 -6.897    |8.74     |B9                 |0.0050  0.0          
3985|[NB54] 290                                                                                                                                  |Long-Period Variable Candidate |19 29 01.9248087216 +23 16 04.459341000|057.7940539997945 +02.6716613432289|  -0.983 -5.036    |10.98    |M5                 |    ~     ~          
3986|HD 344241                                                                                                                                   |Star                           |19 23 10.0003099968 +22 19 46.904764548|056.3259646982999 +03.4188680069344|    3.593 3.484    |10.85    |A0                 |    ~     ~          
3987|HD 344238                                                                                                                                   |Star                           |19 22 03.4439539176 +22 25 17.731540452|056.2869369145333 +03.6884754648267|  15.966 33.377    |10.34    |K0                 |    ~     ~          
3988|HD 344202                                                                                                                                   |Star                           |19 22 06.0024212952 +23 36 37.470870612|057.3451603078817 +04.2351916885666|    1.484 1.973    |10.56    |F0                 |    ~     ~          
3989|HD 344201                                                                                                                                   |Double or Multiple Star        |19 22 44.026536 +23 36 21.79224        |057.409288177 +04.104793303        |        2.0 4.9    |10.834   |G0                 |    ~     ~          
3990|HD 344198                                                                                                                                   |Star                           |19 21 07.0903275384 +23 46 41.882711988|057.3891392067212 +04.5122990666383|  -1.106 -4.687    |10.97    |A3                 |    ~     ~          
3991|HD 344196                                                                                                                                   |Star                           |19 20 55.2647598552 +23 42 29.612211408|057.3058700444851 +04.5196480099186|   3.743 -9.050    |10.25    |A0                 |    ~     ~          
3992|HD 344484                                                                                                                                   |Star                           |19 29 14.3278843992 +22 46 07.424660532|057.3776483265029 +02.3916893076055|   12.841 7.691    |10.74    |G5                 |    ~     ~          
3993|HD 344467                                                                                                                                   |Star                           |19 29 12.7835395752 +23 19 01.146045108|057.8570803575315 +02.6585434720601|   39.590 6.235    |10.76    |K0                 |    ~     ~          
3994|HD 344398                                                                                                                                   |Star                           |19 27 37.8122373528 +22 33 49.335330384|057.0202698068928 +02.6203083881152| 13.074 -26.356    |10.71    |G5                 |    ~     ~          
3995|HD 344389                                                                                                                                   |Star                           |19 28 58.2434063952 +23 10 10.997531328|057.7009285542482 +02.6372369688179|  -0.369 -9.430    |10.85    |A3                 |    ~     ~          
3996|HD 344387                                                                                                                                   |Star                           |19 27 20.4436079472 +23 06 44.010179892|057.4718473969299 +02.9394967936178|   1.211 -5.386    |10.58    |A3                 |    ~     ~          
3997|HD 344382                                                                                                                                   |Star                           |19 26 59.2100614272 +23 32 03.543868464|057.8054478768185 +03.2111472224632| -18.693 -3.854    |10.70    |G                  |    ~     ~          
3998|HD 344380                                                                                                                                   |Star                           |19 28 43.5901843464 +23 37 43.319172900|058.0781985361822 +02.9051942840413| -10.061 -8.592    |10.94    |F8                 |    ~     ~          
3999|HD 344376                                                                                                                                   |Star                           |19 27 22.2738665040 +23 38 52.919992608|057.9475410427051 +03.1874921976381|   2.369 -8.463    |10.73    |A5                 |    ~     ~          
4000|HD 344375                                                                                                                                   |Star                           |19 26 18.9826253880 +23 40 21.661626108|057.8547533464425 +03.4119270730028|   4.338 -2.329    |10.62    |A4                 |    ~     ~          
4001|HD 344325                                                                                                                                   |Double or Multiple Star        |19 23 24.52632 +22 12 21.8376          |056.24296261 +03.31136932          |            ~ ~    |10.91    |A5                 |    ~     ~          
4002|HD 344316                                                                                                                                   |Star                           |19 24 28.0874528400 +22 28 58.301060484|056.6030263508141 +03.2253875820871|  -0.649 -4.646    |10.89    |B8                 |    ~     ~          
4003|HD 344314                                                                                                                                   |Double or Multiple Star        |19 23 27.216288 +22 38 54.01032        |056.639007234 +03.509899470        |     -5.9 -10.7    |10.80    |G0                 |    ~     ~          
4004|HD 344303                                                                                                                                   |Star                           |19 25 49.2311621496 +23 31 01.470388188|057.6635979243499 +03.4385585061633|   1.751 -8.035    |10.37    |A                  |    ~     ~          
4005|HD 344302                                                                                                                                   |Star                           |19 23 17.0702082528 +23 31 54.487469820|057.4027089946480 +03.9585204789383|  21.630 -8.051    |10.20    |B                  |    ~     ~          
4006|HD 344301                                                                                                                                   |Star                           |19 23 38.1198931224 +23 42 31.754451276|057.5972111782877 +03.9704738782142|-19.983 -32.760    |10.77    |F                  |    ~     ~          
4007|HD 344300                                                                                                                                   |Star                           |19 23 21.0948094992 +23 48 00.467997516|057.6475864580212 +04.0706129899350|   1.197 -0.440    |10.94    |A5                 |    ~     ~          
4008|HD 344291                                                                                                                                   |Star                           |19 25 51.4433083992 +23 42 56.640768876|057.8430541017071 +03.5248762907450|   13.070 9.286    |10.19    |F0                 |    ~     ~          
4009|HD 344311                                                                                                                                   |Star                           |19 25 20.2129019640 +22 44 48.596902476|056.9308524032888 +03.1730275165253|   2.044 -5.871    |10.86    |A0                 |    ~     ~          
4010|HD 344326                                                                                                                                   |Star                           |19 23 12.3803842848 +22 09 23.104531296|056.1770118734502 +03.3294287444472|    3.910 3.591    |10.86    |A0                 |    ~     ~          
4011|HD 344401                                                                                                                                   |Star                           |19 27 09.6839831712 +22 13 00.321557376|056.6631281176337 +02.5508425276147|    1.985 0.168    |9.61     |B9                 |    ~     ~          
4012|HD 344410                                                                                                                                   |Star                           |19 27 09.1239655392 +22 05 58.981292376|056.5590001605601 +02.4971658484137|   1.730 -9.268    |10.43    |A2                 |    ~     ~          
4013|HD 344491                                                                                                                                   |Star                           |19 29 44.2235356080 +22 15 55.309041756|056.9901867487624 +02.0500506778175|  29.442 30.614    |10.11    |K2                 |    ~     ~          
4014|BD+22 3670                                                                                                                                  |Star                           |19 21 18.3557263848 +22 38 15.862011324|056.3972475354906 +03.9428721732165|  -0.846 -2.686    |10.0     |M2                 |    ~     ~          
4015|HD 344233                                                                                                                                   |Star                           |19 21 20.6207480664 +22 31 54.718464396|056.3074592352251 +03.8857696511573|   5.774 -7.756    |10.09    |F5                 |    ~     ~          
4016|HD 344228                                                                                                                                   |Star                           |19 21 33.8598325512 +22 45 48.039880788|056.5364787941544 +03.9487674923492|   7.459 -7.933    |10.05    |A0                 |    ~     ~          
4017|HD 344232                                                                                                                                   |Star                           |19 21 44.1090794064 +22 33 27.435896316|056.3725827902088 +03.8178612848778|   -2.035 4.767    |9.76     |K2                 |    ~     ~          
4018|HD 344214                                                                                                                                   |Star                           |19 22 35.5220461488 +23 05 59.365861332|056.9454889554442 +03.8967924161969|    3.868 0.618    |9.99     |K0                 |    ~     ~          
4019|HD 344309                                                                                                                                   |Spectroscopic Binary           |19 24 26.7845094048 +23 02 13.217631468|057.0904184212849 +03.4906506900637| -7.685 -14.226    |10.43    |G5                 |    ~     ~          
4020|HD 344310                                                                                                                                   |Star                           |19 25 03.7951901568 +22 56 29.568278076|057.0730365598213 +03.3204602205070|   0.648 -5.485    |10.48    |F8                 |    ~     ~          
4021|HD 344317                                                                                                                                   |Star                           |19 25 24.0178834224 +22 28 10.938383400|056.6931140187186 +03.0292927289623|    6.772 3.048    |9.92     |A5                 |    ~     ~          
4022|HD 344399                                                                                                                                   |Star                           |19 26 18.2288760912 +22 31 43.757436324|056.8440819827495 +02.8733639580383|  -0.789 -0.643    |9.56     |K0                 |    ~     ~          
4023|HD 344386                                                                                                                                   |Star                           |19 26 40.4180504856 +23 08 32.603518248|057.4256418251402 +03.0888397574333|   1.474 -5.622    |10.44    |A0                 |    ~     ~          
4024|HD 344392                                                                                                                                   |Star                           |19 27 02.3883097416 +22 45 13.066570440|057.1228646650335 +02.8303611631256|   8.740 -1.726    |10.13    |A0                 |    ~     ~          
4025|HD 344395                                                                                                                                   |Star                           |19 28 03.5757966144 +22 41 43.899378972|057.1835213590778 +02.5958327068522|  43.690 12.764    |10.11    |F8                 |    ~     ~          
4026|HD 344403                                                                                                                                   |Star                           |19 28 19.3514451528 +22 21 59.556985632|056.9228716985503 +02.3858163337153|    9.332 2.945    |10.50    |F5                 |    ~     ~          
4027|HD 344390                                                                                                                                   |Star                           |19 28 45.0220866504 +22 47 57.673154940|057.3508308578024 +02.5052417619484|  40.515 18.296    |10.48    |K0                 |    ~     ~          
4028|HD 344486                                                                                                                                   |Star                           |19 29 21.6811510848 +22 24 51.591777768|057.0795539743969 +02.1975748182464|  3.940 -13.236    |10.42    |G5                 |    ~     ~          
4029|HD 344203                                                                                                                                   |Star                           |19 21 43.1453372880 +23 37 22.324538208|057.3154039544822 +04.3181932565996|   1.294 -0.347    |9.76     |M0                 |    ~     ~          
4030|HD 344210                                                                                                                                   |Star                           |19 23 09.8371735992 +23 16 31.001956536|057.1625552834812 +03.8627923126061|  22.129 -2.988    |10.45    |F2                 |    ~     ~          
4031|HD 344307                                                                                                                                   |Spectroscopic Binary           |19 24 49.5581721192 +23 20 07.230082056|057.3952775996723 +03.5540927643614|  1.315 -11.256    |10.47    |K0                 |    ~     ~          
4032|HD 344304                                                                                                                                   |Star                           |19 25 49.3659 +23 28 02.953            |057.6200478 +03.4146961            |     -1.4 -26.7    |9.91     |G                  |    ~     ~          
4033|HD 344305                                                                                                                                   |Star                           |19 25 59.0013093072 +23 23 43.256155308|057.5737744442793 +03.3481598476649|   2.794 -3.296    |10.48    |G5                 |    ~     ~          
4034|HD 344381                                                                                                                                   |Star                           |19 27 13.7932000536 +23 35 17.736909216|057.8794576853108 +03.1876608607870|  4.278 -12.217    |10.41    |G5                 |    ~     ~          
4035|HD 344384                                                                                                                                   |Star                           |19 27 15.4641393960 +23 22 03.966736656|057.6880642217570 +03.0775004336022| 10.020 -11.177    |10.21    |G0                 |    ~     ~          
4036|HD 344383                                                                                                                                   |Star                           |19 27 15.3189812208 +23 29 09.908219400|057.7921242970378 +03.1340913095678|    2.351 1.092    |10.45    |F5                 |    ~     ~          
4037|HD 344466                                                                                                                                   |Star                           |19 29 25.4920560096 +23 22 41.258863920|057.9340940522301 +02.6449961149568|   3.691 -8.723    |10.44    |K0                 |    ~     ~          
4038|HD 344254                                                                                                                                   |Star                           |19 21 27.8172025536 +21 47 31.384475556|055.6649160862299 +03.5156924179487|  39.716 -0.807    |10.59    |K0                 |    ~     ~          
4039|HD 344255                                                                                                                                   |Star                           |19 21 32.2121156184 +21 47 27.195279504|055.6718493851571 +03.5001172796545|    5.751 3.764    |9.27     |A2                 |    ~     ~          
4040|HD 344270                                                                                                                                   |Star                           |19 22 11.8895029656 +21 24 15.971334444|055.4018582876707 +03.1833753872062|    5.555 4.670    |9.50     |A2                 |    ~     ~          
4041|HD 344332                                                                                                                                   |Star                           |19 24 02.0053080600 +22 02 13.003002420|056.1615999484365 +03.1041709531117|    3.980 2.206    |9.42     |A2                 |    ~     ~          
4042|HD 344340                                                                                                                                   |Star                           |19 24 12.7977367104 +21 37 59.497757796|055.8246285876815 +02.8771969564099|  26.556 26.351    |8.38     |K5                 |    ~     ~          
4043|HD 344350                                                                                                                                   |Star                           |19 24 21.9262362576 +21 24 49.032790632|055.6474484472433 +02.7424854802765|  -1.087 -3.116    |10.92    |B8                 |    ~     ~          
4044|HD 344341                                                                                                                                   |Star                           |19 24 17.5761514176 +21 37 01.144072920|055.8190480248855 +02.8532334384248|   2.249 -1.063    |9.329    |K1                 |    ~     ~          
4045|HD 344338                                                                                                                                   |Double or Multiple Star        |19 25 06.476 +21 50 02.76              |056.100122 +02.788786              |      5.6 -14.0    |9.24     |A2                 |    ~     ~          
4046|HD 182760                                                                                                                                   |Star                           |19 25 27.1336282896 +21 17 25.106055936|055.6582908689033 +02.4611986449355|   1.503 -6.550    |8.63     |A                  |    ~     ~          
4047|HD 183013                                                                                                                                   |Star                           |19 26 44.6688339408 +21 39 11.225457972|056.1206527662223 +02.3683649475148|   1.566 -7.124    |7.36     |B2IV               |    ~     ~          
4048|HD 344417                                                                                                                                   |Star                           |19 27 21.9407294616 +21 41 30.467585724|056.2233270157464 +02.2597376569383|    8.965 5.282    |9.04     |A3                 |    ~     ~          
4049|BD+21 3789                                                                                                                                  |Star                           |19 27 58.4893745088 +21 55 36.612976080|056.4975407448883 +02.2472041723397| -7.693 -12.982    |10.39    |K0                 |    ~     ~          
4050|HD 183282                                                                                                                                   |Star                           |19 28 00.9777438696 +21 45 14.739735744|056.3501155609043 +02.1564819743256|   0.615 -9.820    |8.64     |B8V                |    ~     ~          
4051|HD 344418                                                                                                                                   |Star                           |19 28 37.8041875584 +21 39 28.521834912|056.3335253805295 +01.9853141356530|   15.038 0.077    |10.39    |G5                 |    ~     ~          
4052|HD 344406                                                                                                                                   |Star                           |19 28 37.6571145312 +21 54 58.538227608|056.5604407379080 +02.1090636229527|    2.046 5.724    |9.42     |F0                 |    ~     ~          
4053|HD 183418                                                                                                                                   |Star                           |19 28 40.5572593824 +21 58 52.834869768|056.6230300253650 +02.1302598474527|   2.545 10.909    |7.75     |G8III              |    ~     ~          
4054|HD 183459                                                                                                                                   |Star                           |19 28 55.6607935512 +21 37 27.118473168|056.3369077310109 +01.9084463090903|   2.232 -5.107    |8.36     |B8V                |    ~     ~          
