C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:40:01

Vmag< 11&dec >=0&rah >=19.25&rah< 19.5
--------------------------------------

Number of objects : 7704

 #  |                                                                 identifier                                                                 |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type     |      ang. size      
----|--------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-------------------|---------------------
42  |IRAS 19246+4458                                                                                                                             |Long-Period Variable           |19 26 09.3484670880 +45 04 18.655202064|077.1233753468398 +13.1784338936768| -5.719 -22.970    |10.70    |M6III              |    ~     ~          
43  |TYC 3142-242-2                                                                                                                              |Star                           |19 27 23.0948 +43 05 03.282            |075.3852829 +12.1185915            |    1.360 4.572    |10.28    |~                  |    ~     ~          
44  |TYC 3146-848-1                                                                                                                              |Star                           |19 22 20.5332224256 +43 50 20.940481248|075.6799988227532 +13.2694429493548|   7.165 20.325    |10.05    |~                  |    ~     ~          
45  |TYC 3146-1021-1                                                                                                                             |Red Giant Branch star          |19 23 23.8247191488 +43 56 38.407795260|075.8603332501332 +13.1418172612792|  -2.874 -6.199    |10.65    |~                  |    ~     ~          
46  |RX J1925.0+4429                                                                                                                             |Rotating Variable              |19 25 02.0048126 +44 29 50.757778      |076.5027242683 +13.1126136536      |       31.7 7.1    |9.93     |K1V                |    ~     ~          
47  |BD+45 2897                                                                                                                                  |Eruptive Variable              |19 26 13.9565748672 +45 28 54.417891108|077.5099909536499 +13.3415928129189|   6.382 -5.515    |9.56     |K3III              |    ~     ~          
48  |HD 182693                                                                                                                                   |High Proper Motion Star        |19 23 52.2996286080 +44 40 02.231549004|076.5701290613851 +13.3721077997393|-72.275 -130.721   |8.71     |G0                 |    ~     ~          
49  |HD 182736                                                                                                                                   |Eruptive Variable              |19 24 03.3792608280 +44 56 00.738992328|076.8323220161632 +13.4552797710813|  91.837 37.360    |7.01     |G8IV               |    ~     ~          
50  |HD 182780                                                                                                                                   |Star                           |19 24 11.6736889248 +44 54 15.027474168|076.8156403366561 +13.4206690006736|  21.836 21.864    |8.49     |A1V                |    ~     ~          
51  |HD 182805                                                                                                                                   |gamma Dor Variable             |19 24 18.8977364184 +45 05 28.200065604|076.9990567190314 +13.4806511659682|  11.501 -7.163    |8.54     |F0V                |    ~     ~          
52  |BD+43 3213                                                                                                                                  |Star                           |19 19 34.2114432000 +43 28 48.613253412|075.1284917843006 +13.5734992632017| -9.779 -14.673    |8.75     |K5                 |    ~     ~          
53  |HD 181778                                                                                                                                   |Star                           |19 19 50.2161654672 +43 33 22.583557584|075.2204016866471 +13.5613506981382|   -1.649 4.331    |7.85     |K0                 |    ~     ~          
54  |HD 181985                                                                                                                                   |delta Sct Variable             |19 20 38.2162608984 +43 29 03.703881444|075.2157451778084 +13.3995381295609|   -7.202 1.262    |9.54     |F1VmF0             |    ~     ~          
55  |BD+43 3220                                                                                                                                  |Eruptive Variable              |19 20 47.4759257088 +43 34 56.105438772|075.3191458950101 +13.4152806218654|-34.389 -34.246    |9.16     |K0                 |    ~     ~          
56  |BD+42 3350                                                                                                                                  |Spectroscopic Binary           |19 27 53.8311585648 +42 58 19.939095048|075.3243022017339 +11.9853208047201|  0.939 -18.814    |9.24     |A9V                |    ~     ~          
57  |BD+42 3353                                                                                                                                  |Star                           |19 28 13.1663213520 +42 51 49.134229956|075.2511819289064 +11.8845857978793|   1.545 -1.049    |9.10     |F6IV               |    ~     ~          
