C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:40:16

dec >=0&rah >=16.75&rah< 17.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 3749

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |      spec. type       |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------------|---------------|-----|----------------|-----------------------|--------|-------------------
61  |TYC 4423-583-1                                                                                           |Red Giant Branch star Candidate     |16 54 24.4374228192 +71 57 43.931214288|103.7661697009709 +34.6289494909851|   0.955 -0.845   |9.68     |~                      |    ~     ~    |    1| 1047.120   pc  | -13.8154    +13.8154  |paral   |2020yCat.1350....0G
62  |TYC 4423-843-1                                                                                           |Star                                |16 56 07.7865286056 +71 36 28.665768132|103.3058984329465 +34.6169867697325|   -6.368 6.014   |10.79    |~                      |    ~     ~    |    1|  568.085   pc  | -10.8111    +10.8111  |paral   |2020yCat.1350....0G
63  |TYC 4423-869-1                                                                                           |Star                                |16 55 10.3513388064 +71 36 11.135470752|103.3298514633991 +34.6900503981553|   -9.431 3.433   |10.55    |~                      |    ~     ~    |    1| 2482.005   pc  | -66.5318    +66.5318  |paral   |2020yCat.1350....0G
64  |TYC 4423-953-1                                                                                           |Star                                |16 54 39.1749378264 +71 31 09.216014556|103.2495649337217 +34.7561352899141|   9.811 10.949   |10.07    |~                      |    ~     ~    |    1|  728.279   pc  |  -5.7282     +5.7282  |paral   |2020yCat.1350....0G
65  |TYC 4423-975-1                                                                                           |Star                                |16 56 53.4983482368 +72 13 51.308536692|103.9984395763605 +34.3605941926325|   -7.920 2.422   |10.55    |~                      |    ~     ~    |    1|  670.107   pc  |  -4.8048     +4.8048  |paral   |2020yCat.1350....0G
66  |TYC 4423-1086-1                                                                                          |Star                                |16 55 44.1849874368 +70 41 58.094976984|102.2686934490250 +34.9340887034849| 21.219 -39.076   |10.90    |~                      |    ~     ~    |    1|  127.631   pc  |  -0.1368     +0.1368  |paral   |2020yCat.1350....0G
67  |TYC 4423-1318-1                                                                                          |Star                                |16 59 22.9208056896 +70 34 36.883787664|102.0148189329905 +34.6833541685960|   7.396 -6.720   |10.70    |~                      |    ~     ~    |    1|  508.518   pc  |  -2.7669     +2.7669  |paral   |2020yCat.1350....0G
68  |TYC 4423-1437-1                                                                                          |Star                                |16 58 48.9994716840 +71 27 43.990202160|103.0569169351203 +34.4606603921773|  -1.788 -6.622   |10.46    |~                      |    ~     ~    |    1|  993.838   pc  | -13.0378    +13.0378  |paral   |2020yCat.1350....0G
69  |TYC 4423-1503-1                                                                                          |High Proper Motion Star             |16 49 24.4312847472 +72 06 01.530672660|104.0850199141892 +34.9439641348824|  -8.560 55.626   |10.18    |~                      |    ~     ~    |    1|  181.307   pc  |  -0.4536     +0.4536  |paral   |2020yCat.1350....0G
70  |TYC 4423-1894-1                                                                                          |Star                                |16 55 01.1496438648 +70 38 33.233496108|102.2254007921503 +35.0082664833555|  -7.487 -1.961   |10.74    |~                      |    ~     ~    |    1| 1048.328   pc  | -10.5503    +10.5503  |paral   |2020yCat.1350....0G
71  |GSC 04423-01979                                                                                          |Double or Multiple Star             |16 54 32.367480 +71 45 13.18824        |103.522691149 +34.687980552        |      -1.4 24.2   |9.880    |~                      |    ~     ~    |    0|                |                       |        |                   
72  |BD+75 603                                                                                                |Star                                |16 46 02.8148820912 +75 01 22.789362072|107.4801111863867 +34.0659937903675|   8.777 -0.413   |8.72     |K2                     |    ~     ~    |    1|  672.269   pc  |  -7.7283     +7.7283  |paral   |2020yCat.1350....0G
73  |BD+75 607                                                                                                |High Proper Motion Star             |16 53 00.9729632520 +74 55 58.410911820|107.1716713161364 +33.6832909920275| 20.261 -64.457   |8.65     |F8                     |    ~     ~    |    1|  115.989   pc  |  -2.1929     +2.1929  |paral   |2020yCat.1350....0G
74  |BD+75 611                                                                                                |High Proper Motion Star             |16 59 42.2153830872 +75 15 18.108405432|107.3492716033816 +33.1668443541934| -45.448 42.478   |9.14     |F8                     |    ~     ~    |    1|  184.064   pc  |  -4.0554     +4.0554  |paral   |2020yCat.1350....0G
75  |BD+74 689                                                                                                |Star                                |16 52 22.3467126984 +74 38 44.859508404|106.8692190167620 +33.8281162125296| 16.592 -10.346   |9.03     |K2                     |    ~     ~    |    1|  456.600   pc  |  -2.5435     +2.5435  |paral   |2020yCat.1350....0G
76  |HD 153752                                                                                                |Star                                |16 53 38.1792739128 +74 17 30.123079008|106.4349533184290 +33.8778661349333|   14.414 2.964   |7.70     |F0                     |    ~     ~    |    1|  238.260   pc  |  -1.7598     +1.7598  |paral   |2020yCat.1350....0G
77  |BD+74 691                                                                                                |Star                                |16 53 36.5856164712 +74 29 16.110230136|106.6560347432299 +33.8089868322774|  -5.558 34.150   |9.55     |F5                     |    ~     ~    |    1|  304.035   pc  |  -1.1370     +1.1370  |paral   |2020yCat.1350....0G
78  |BD+74 692                                                                                                |Star                                |16 54 43.5515722536 +74 34 59.763105048|106.7310802978088 +33.7052815972806| -10.903 25.110   |8.76     |F2                     |    ~     ~    |    1|  302.663   pc  |  -3.5634     +3.5634  |paral   |2020yCat.1350....0G
