C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:27:36

dec< 0&rah >=20.25&rah< 20.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 4937

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-------------------------|--------|-------------------
2849|TYC 9311-493-1                                                                                           |High Proper Motion Star           |20 20 07.0072845144 -70 34 47.760468132|324.4202663352418 -32.7997499469429| 44.880 -53.968   |10.46    |~               |    ~     ~    |    1|  202.823   pc  |  -0.4731     +0.4731    |paral   |2020yCat.1350....0G
2850|TYC 9312-199-1                                                                                           |Star                              |20 25 57.3587288568 -69 52 32.858886720|325.1222315521367 -33.4273636349078| 13.447 -28.328   |10.746   |~               |    ~     ~    |    1|  331.924   pc  |  -7.7560     +7.7560    |ST-L    |2020AJ....160...83S
2851|TYC 9312-370-1                                                                                           |Star                              |20 24 09.4241266056 -70 24 04.151218284|324.5468760868698 -33.1664470183363|  0.486 -16.669   |10.851   |~               |    ~     ~    |    1|  912.589   pc  | -38.2200    +38.2200    |ST-L    |2020AJ....160...83S
2852|TYC 9312-775-1                                                                                           |Star                              |20 26 53.5256387400 -69 35 56.129557920|325.4257843985409 -33.5657340341608|  3.163 -18.461   |10.591   |~               |    ~     ~    |    1|  301.350   pc  |  -4.5700     +4.5700    |ST-L    |2020AJ....160...83S
2853|TYC 9312-782-1                                                                                           |Star                              |20 24 56.9302559352 -70 44 41.309685384|324.1290531501649 -33.1568337555066| 18.293 -34.244   |10.637   |~               |    ~     ~    |    1|  333.539   pc  |  -5.9170     +5.9170    |ST-L    |2020AJ....160...83S
2854|GSC 09316-00716                                                                                          |Double or Multiple Star           |20 29 55.3218571872 -71 30 55.713014136|323.1206736584445 -33.3680526110601|   14.377 1.282   |10.783   |~               |    ~     ~    |    1|  898.971   pc  | -29.7800    +29.7800    |ST-L    |2020AJ....160...83S
2855|HD 191993                                                                                                |High Proper Motion Star           |20 17 09.5651694480 -67 27 19.096717788|328.1419321527967 -33.0801267939387| 39.645 -79.994   |6.72     |A5/3III/IV      |    ~     ~    |    1|   73.181   pc  |  -0.1119     +0.1119    |paral   |2020yCat.1350....0G
2856|HD 192073                                                                                                |Star                              |20 17 28.8992676840 -67 12 07.529340492|328.4353453033685 -33.1485688331226|   8.142 -9.555   |9.76     |K0/1III         |    ~     ~    |    1|  563.720   pc  | -13.4000    +13.4000    |ST-L    |2020AJ....160...83S
2857|HD 192096                                                                                                |Star                              |20 17 39.5646597336 -67 11 05.865850464|328.4525218285251 -33.1681479096428|  17.151 -5.928   |9.32     |K1/2III         |    ~     ~    |    1|  463.671   pc  |  -3.2034     +3.2034    |paral   |2020yCat.1350....0G
2858|HD 192219                                                                                                |Star                              |20 18 13.2418966512 -67 24 21.728906352|328.1816393358232 -33.1882523749752|   1.073 -9.329   |8.77     |K1III           |    ~     ~    |    1|  597.193   pc  |  -6.2769     +6.2769    |paral   |2020yCat.1350....0G
2859|HD 192335                                                                                                |Spectroscopic Binary              |20 18 42.1918660392 -66 57 55.270692144|328.6939149936999 -33.3015375218424|   -4.631 4.070   |9.26     |A3mA8-F0        |    ~     ~    |    1|  302.231   pc  |  -5.0070     +5.0070    |ST-L    |2020AJ....160...83S
2860|L 116-48                                                                                                 |High Proper Motion Star           |20 19 33.2542223880 -66 53 00.228983136|328.7757117860799 -33.3964163992774|36.260 -247.067   |10.76    |~               |    ~     ~    |    1|  212.208   pc  |  -2.3770     +2.3770    |ST-L    |2020AJ....160...83S
2861|HD 192617                                                                                                |Spectroscopic Binary              |20 20 04.7199911736 -66 59 49.893548712|328.6314949971517 -33.4295074336384|  7.581 -20.130   |8.17     |K2III           |    ~     ~    |    1|  368.039   pc  | -13.9788    +13.9788    |paral   |2020yCat.1350....0G
2862|HD 192828                                                                                                |Star                              |20 21 15.0763004592 -66 46 35.861478708|328.8708914541286 -33.5779744276660|   7.363 -7.837   |9.45     |F2V             |    ~     ~    |    1|  419.727   pc  | -19.2202    +19.2202    |paral   |2020yCat.1350....0G
2863|CD-67 2412                                                                                               |Star                              |20 21 34.6539716112 -67 32 55.356716616|327.9510093807177 -33.4824689705444|  7.884 -26.037   |10.34    |~               |    ~     ~    |    1|  211.987   pc  |  -2.4280     +2.4280    |ST-L    |2020AJ....160...83S
2864|HD 192887                                                                                                |High Proper Motion Star           |20 21 28.2556801248 -66 44 58.881383772|328.8986706742314 -33.6036574641974| -139.145 3.279   |6.50     |F6V             |    ~     ~    |    1|   46.202   pc  |  -0.0391     +0.0391    |paral   |2020yCat.1350....0G
2865|HD 192888                                                                                                |High Proper Motion Star           |20 21 44.5911563736 -67 32 37.941073080|327.9535124402964 -33.4988741641248|-23.338 -72.731   |9.32     |G8III/IV        |    ~     ~    |    1|  274.243   pc  |  -0.9476     +0.9476    |paral   |2020yCat.1350....0G
2866|HD 193201                                                                                                |Star                              |20 23 12.9320571072 -66 51 22.994372772|328.7383406221933 -33.7556373950213| -0.764 -15.770   |10.41    |A0/1Ib/II       |    ~     ~    |    1|  679.209   pc  |  -7.4273     +7.4273    |paral   |2020yCat.1350....0G
2867|HD 193366                                                                                                |Star                              |20 24 14.4066388800 -67 35 50.692382412|327.8400854950505 -33.7239711977293|  6.230 -15.879   |8.58     |A1V             |    ~     ~    |    1|  350.870   pc  |  -8.7550     +8.7550    |ST-L    |2020AJ....160...83S
2868|HD 193574                                                                                                |Star                              |20 25 15.3284786448 -67 35 23.858463480|327.8276158565166 -33.8204597916350|   -4.712 5.888   |9.76     |G2/3V           |    ~     ~    |    1|  168.654   pc  |  -0.4181     +0.4181    |paral   |2020yCat.1350....0G
2869|HD 193629                                                                                                |Star                              |20 25 40.3830919080 -67 34 54.420821040|327.8283869370296 -33.8610913075991|  9.324 -11.389   |9.94     |A5/7V           |    ~     ~    |    1|  415.524   pc  |  -2.9180     +2.9180    |paral   |2020yCat.1350....0G
2870|CD-68 2167                                                                                               |High Proper Motion Star           |20 29 39.4510023600 -67 39 49.087127052|327.6421097975526 -34.2170144631186|181.676 -135.351  |9.62     |~               |    ~     ~    |    1|   61.171   pc  |  -0.0494     +0.0494    |paral   |2020yCat.1350....0G
2871|HD 191604                                                                                                |Variable Star                     |20 15 29.1984643920 -68 25 57.164439648|327.0195094437049 -32.7766498321208| -1.140 -21.566   |8.27     |M0III           |    ~     ~    |    1|  619.425   pc  |  -7.9423     +7.9423    |paral   |2020yCat.1350....0G
2872|CD-68 2154                                                                                               |Star                              |20 17 06.9442944360 -67 56 28.877101080|327.5696378986231 -33.0019651168139|  -4.901 13.548   |10.19    |~               |    ~     ~    |    1|  201.859   pc  |  -3.3770     +3.3770    |ST-L    |2020AJ....160...83S
2873|HD 192137                                                                                                |High Proper Motion Star           |20 18 03.0292526616 -68 29 22.097246496|326.9079510985922 -32.9998969093592| -72.246 11.901   |8.69     |F6/7V           |    ~     ~    |    1|   74.910   pc  |  -0.0960     +0.0960    |paral   |2020yCat.1350....0G
2874|HD 191664                                                                                                |Star                              |20 15 48.0590652288 -68 42 56.782021500|326.6814744143705 -32.7608725265137|    1.384 2.559   |8.98     |K5/M0(III)      |    ~     ~    |    1| 1045.041   pc  | -18.5659    +18.5659    |paral   |2020yCat.1350....0G
2875|HD 191734                                                                                                |Star                              |20 16 11.3003364168 -68 47 38.790153744|326.5828524960777 -32.7830383524448| -5.516 -20.683   |8.77     |G8/K0III        |    ~     ~    |    1|  363.583   pc  |  -2.1019     +2.1019    |paral   |2020yCat.1350....0G
2876|HD 192097                                                                                                |High Proper Motion Star           |20 18 01.0731631752 -68 51 17.325091548|326.4791853329557 -32.9360072692956| 50.428 -66.269   |9.36     |K2III           |    ~     ~    |    1|  296.323   pc  |  -1.2205     +1.2205    |paral   |2020yCat.1350....0G
2877|HD 192138                                                                                                |High Proper Motion Star           |20 18 20.5975681560 -69 08 10.310884332|326.1429499985429 -32.9166085676533| 29.574 -72.245   |9.28     |G1V             |    ~     ~    |    1|  173.084   pc  |  -1.6040     +1.6040    |ST-L    |2020AJ....160...83S
2878|HD 192235                                                                                                |Star                              |20 18 47.4607534152 -69 16 18.907299120|325.9754706182916 -32.9319912712917|   6.608 -5.745   |9.24     |K0/1III         |    ~     ~    |    1|  842.460   pc  | -10.4332    +10.4332    |paral   |2020yCat.1350....0G
2879|HD 192417                                                                                                |High Proper Motion Star           |20 19 37.9909626168 -69 00 54.606144960|326.2609313542927 -33.0512078038716| 22.622 -47.111   |8.19     |G3V             |    ~     ~    |    1|   44.614   pc  |  -0.0364     +0.0364    |paral   |2020yCat.1350....0G
2880|CD-68 2161                                                                                               |Star                              |20 22 13.9158014160 -68 16 24.387655440|327.0828808409521 -33.4165160819618|  12.427 -6.440   |10.01    |~               |    ~     ~    |    1|  572.861   pc  | -20.4700    +20.4700    |ST-L    |2020AJ....160...83S
2881|CD-68 2165                                                                                               |Star                              |20 26 54.1163122368 -67 52 55.677034200|327.4464563671490 -33.9180495875112|   -0.379 7.708   |10.41    |~               |    ~     ~    |    1|  382.219   pc  |  -2.1329     +2.1329    |paral   |2020yCat.1350....0G
2882|HD 193027                                                                                                |Star                              |20 23 01.2311518824 -69 25 42.195901656|325.7090126285818 -33.2691848085941|    5.658 4.835   |9.03     |K0III           |    ~     ~    |    1|  448.032   pc  |  -8.0210     +8.0210    |ST-L    |2020AJ....160...83S
2883|CD-69 1923                                                                                               |Star                              |20 26 23.2977669264 -68 39 23.865257448|326.5441166943843 -33.7177999558131|  -7.067 -2.829   |9.61     |~               |    ~     ~    |    1|  757.261   pc  | -32.2400    +32.2400    |ST-L    |2020AJ....160...83S
2884|HD 193872                                                                                                |Star                              |20 27 14.9343068520 -68 54 29.431589292|326.2288893046489 -33.7424813680903|  9.113 -25.964   |8.44     |K0III           |    ~     ~    |    1|  335.233   pc  |  -2.0791     +2.0791    |paral   |2020yCat.1350....0G
2885|HD 194190                                                                                                |Star                              |20 28 53.3835140544 -68 39 00.678913200|326.4950150645498 -33.9418429559445|   13.986 2.372   |8.90     |A7V             |    ~     ~    |    1|  323.408   pc  |  -6.8690     +6.8690    |ST-L    |2020AJ....160...83S
2886|CD-68 2160                                                                                               |High Proper Motion Star           |20 21 35.5720342224 -67 44 15.096836256|327.7276730082016 -33.4517558233074| 43.895 -37.439   |10.43    |~               |    ~     ~    |    1|  235.143   pc  |  -3.5060     +3.5060    |ST-L    |2020AJ....160...83S
2887|CD-69 1918                                                                                               |Star                              |20 22 17.9866434192 -69 21 38.712454560|325.8030675065913 -33.2201143392637|   5.324 -3.864   |9.66     |~               |    ~     ~    |    1|  689.180   pc  | -13.3941    +13.3941    |paral   |2020yCat.1350....0G
2888|HD 192273                                                                                                |Star                              |20 19 06.3409755648 -69 26 06.443245572|325.7782463934804 -32.9302056060454|    9.135 1.315   |8.83     |B2V             |    ~     ~    |    1| 1455.816   pc  | -79.2656    +79.2656    |paral   |2020yCat.1350....0G
2889|EC 20153-6731                                                                                            |Star                              |20 20 06.00 -67 22 00.0                |328.19415 -33.37285                |            ~ ~   |10.806   |B6              |    ~     ~    |    0|                |                         |        |                   
2890|CD-68 2152                                                                                               |Star                              |20 15 26.4305464104 -68 06 28.459295928|327.4020208680266 -32.8216895947786| -4.734 -25.010   |10.67    |~               |    ~     ~    |    1|  864.198   pc  | -26.5700    +26.5700    |ST-L    |2020AJ....160...83S
2891|TYC 9307-2112-1                                                                                          |Star                              |20 16 16.3173174480 -69 04 19.963431120|326.2550630339461 -32.7453436581763|  -0.665 -7.167   |10.62    |~               |    ~     ~    |    1|  792.357   pc  | -21.3700    +21.3700    |ST-L    |2020AJ....160...83S
2892|TYC 9098-1380-1                                                                                          |Star                              |20 16 25.6408352256 -67 17 38.029068384|328.3447904767529 -33.0342732868705| 14.002 -19.899   |10.64    |~               |    ~     ~    |    1|  542.080   pc  | -16.2100    +16.2100    |ST-L    |2020AJ....160...83S
2893|CD-68 2153                                                                                               |Star                              |20 16 25.6171782648 -67 43 47.231941152|327.8307198964212 -32.9699996346566|  19.200 -7.579   |10.64    |~               |    ~     ~    |    1|  751.479   pc  | -31.0300    +31.0300    |ST-L    |2020AJ....160...83S
2894|TYC 9307-1740-1                                                                                          |Star                              |20 16 36.5495626848 -68 03 05.956938396|327.4484849800116 -32.9380401026567|  -6.734 -2.482   |10.64    |~               |    ~     ~    |    1|  922.497   pc  | -36.3500    +36.3500    |ST-L    |2020AJ....160...83S
2895|TYC 9098-1337-1                                                                                          |Star                              |20 17 03.1424030928 -67 16 57.432306540|328.3475785824509 -33.0956035455816|  -27.568 2.228   |10.15    |~               |    ~     ~    |    1|  343.267   pc  |  -6.4910     +6.4910    |ST-L    |2020AJ....160...83S
2896|TYC 9311-44-1                                                                                            |High Proper Motion Star           |20 17 49.7644126920 -69 29 16.400875200|325.7400549312785 -32.8106812280660|107.985 -101.812  |10.79    |~               |    ~     ~    |    1|  183.114   pc  |  -1.8280     +1.8280    |ST-L    |2020AJ....160...83S
2897|CD-68 2157                                                                                               |Star                              |20 18 41.4722833512 -68 31 35.230228608|326.8528062200149 -33.0516067408731|   2.875 -2.824   |10.10    |~               |    ~     ~    |    1| 1227.280   pc  | -75.5300    +75.5300    |ST-L    |2020AJ....160...83S
2898|TYC 9099-323-1                                                                                           |Star                              |20 21 01.1871028224 -67 28 11.538051060|328.0548903094272 -33.4430911315911| 15.659 -17.993   |10.70    |~               |    ~     ~    |    1|  569.835   pc  | -18.1100    +18.1100    |ST-L    |2020AJ....160...83S
2899|CD-69 1917                                                                                               |Star                              |20 21 31.0460270280 -68 56 42.058263156|326.3068254583777 -33.2300766679619|    1.639 1.985   |9.72     |~               |    ~     ~    |    1|  385.609   pc  |  -1.7546     +1.7546    |paral   |2020yCat.1350....0G
2900|CD-67 2415                                                                                               |Star                              |20 22 02.2152520368 -67 20 33.066033000|328.1858542603034 -33.5607218535876|  -2.497 -5.802   |10.05    |~               |    ~     ~    |    1|  556.514   pc  |  -4.1501     +4.1501    |paral   |2020yCat.1350....0G
2901|TYC 9099-377-1                                                                                           |Star                              |20 22 10.9272777432 -67 22 37.695413352|328.1420686828726 -33.5686342330922|-12.368 -15.921   |10.51    |~               |    ~     ~    |    1|  544.878   pc  | -71.6300    +71.6300    |ST-L    |2020AJ....160...83S
2902|TYC 9307-726-1                                                                                           |Star                              |20 22 33.7704694224 -68 44 40.090349400|326.5216526810270 -33.3599683659760| 10.225 -26.157   |10.630   |~               |    ~     ~    |    1|  359.470   pc  |  -8.1640     +8.1640    |ST-L    |2020AJ....160...83S
2903|TYC 9307-643-1                                                                                           |Star                              |20 23 05.3751026064 -69 13 35.016401316|325.9445981461097 -33.3145767613928|   6.966 -5.488   |10.959   |~               |    ~     ~    |    1| 1929.490   pc  |-179.1000   +179.1000    |ST-L    |2020AJ....160...83S
2904|TYC 9099-80-1                                                                                            |Star                              |20 23 59.6359873272 -67 16 36.159526056|328.2246283456200 -33.7579723995439|   3.391 -2.518   |10.180   |~               |    ~     ~    |    1|  755.205   pc  | -31.5000    +31.5000    |ST-L    |2020AJ....160...83S
2905|TYC 9308-747-1                                                                                           |Star                              |20 24 19.5087379968 -68 30 07.284058380|326.7706573427890 -33.5634758365698|  -6.132 18.995   |10.724   |~               |    ~     ~    |    1|  597.522   pc  | -18.1300    +18.1300    |ST-L    |2020AJ....160...83S
2906|TYC 9308-1702-1                                                                                          |Star                              |20 25 36.4666283256 -69 01 19.023183228|326.1314261970773 -33.5749979994286|  9.304 -38.786   |10.64    |~               |    ~     ~    |    1|  180.119   pc  |  -0.4185     +0.4185    |paral   |2020yCat.1350....0G
2907|CD-69 1922                                                                                               |Star                              |20 25 48.7574422080 -68 49 17.596106616|326.3626223421516 -33.6334710214824| -10.573 -5.251   |9.89     |~               |    ~     ~    |    1|  660.320   pc  | -18.6200    +18.6200    |ST-L    |2020AJ....160...83S
2908|TYC 9308-1414-1                                                                                          |Star                              |20 25 55.0931851440 -67 58 11.223603552|327.3644360507806 -33.8104110834878| -20.357 -2.894   |10.72    |~               |    ~     ~    |    1|  559.628   pc  |  -5.1989     +5.1989    |paral   |2020yCat.1350....0G
2909|CD-69 1927                                                                                               |Star                              |20 27 41.3804245848 -68 36 12.943055592|326.5774707442718 -33.8446795460181|   2.434 -9.298   |10.06    |~               |    ~     ~    |    1|  624.846   pc  | -18.7700    +18.7700    |ST-L    |2020AJ....160...83S
2910|TYC 9308-1029-1                                                                                          |Star                              |20 27 57.7638622392 -68 22 43.809701916|326.8361958644077 -33.9154339662160|  6.524 -11.040   |10.77    |~               |    ~     ~    |    1| 2024.420   pc  |-197.9000   +197.9000    |ST-L    |2020AJ....160...83S
2911|TYC 9308-1827-1                                                                                          |Star                              |20 28 07.2268975776 -69 00 21.654331668|326.0940201439839 -33.7983747564559|   -5.541 0.789   |10.67    |~               |    ~     ~    |    1| 1438.820   pc  |-100.8000   +100.8000    |ST-L    |2020AJ....160...83S
2912|TYC 9308-1288-1                                                                                          |Star                              |20 28 43.6806314016 -69 06 11.910006396|325.9656206404102 -33.8305236410981|   3.645 -5.137   |10.30    |~               |    ~     ~    |    1|  739.135   pc  | -22.1500    +22.1500    |ST-L    |2020AJ....160...83S
2913|CD-68 2159                                                                                               |Star                              |20 20 45.5584414440 -67 59 25.618746732|327.4452934131934 -33.3311347582112| 11.764 -12.978   |9.63     |~               |    ~     ~    |    1| 1042.753   pc  | -16.6362    +16.6362    |paral   |2020yCat.1350....0G
2914|IRAS 20226-6912                                                                                          |Long-Period Variable Candidate    |20 27 35.7431737344 -69 02 36.037300020|326.0621062648095 -33.7445716991347|  1.746 -12.252   |10.87    |~               |    ~     ~    |    1| 1696.35    pc  | -80.2854    +80.2854    |paral   |2020yCat.1350....0G
2915|TYC 9098-478-1                                                                                           |Star                              |20 15 01.7792409288 -66 51 45.888045012|328.8764836369510 -32.9597340876554|  0.033 -10.552   |10.48    |~               |    ~     ~    |    1|  772.345   pc  | -29.9600    +29.9600    |ST-L    |2020AJ....160...83S
2916|TYC 9099-40-1                                                                                            |Star                              |20 20 07.0536123456 -67 10 48.616701420|328.4143089765580 -33.4043601251401|  -3.011 -4.461   |10.96    |~               |    ~     ~    |    1|  342.947   pc  |  -2.3405     +2.3405    |paral   |2020yCat.1350....0G
2917|TYC 9099-107-1                                                                                           |Star                              |20 22 55.4227195464 -67 08 26.897512848|328.4071296588752 -33.6794271951599|   -2.340 3.250   |10.88    |~               |    ~     ~    |    1|  905.186   pc  | -35.8400    +35.8400    |ST-L    |2020AJ....160...83S
2918|TYC 9307-36-1                                                                                            |Star                              |20 17 39.4279418472 -67 34 17.757864372|327.9961150761597 -33.1095539167017|-19.249 -14.949   |10.60    |~               |    ~     ~    |    1|  928.051   pc  | -41.7400    +41.7400    |ST-L    |2020AJ....160...83S
2919|TYC 9307-192-1                                                                                           |Star                              |20 23 13.4031164760 -67 33 26.162474184|327.9083475209757 -33.6357378498836|  19.714 -1.310   |10.685   |~               |    ~     ~    |    1|  394.012   pc  |  -8.1230     +8.1230    |ST-L    |2020AJ....160...83S
2920|TYC 9307-540-1                                                                                           |Star                              |20 20 57.4368629688 -67 53 43.690004592|327.5535336020699 -33.3656503062749|   0.461 -0.325   |10.74    |~               |    ~     ~    |    1|  959.785   pc  | -10.9621    +10.9621    |paral   |2020yCat.1350....0G
2921|TYC 9307-551-1                                                                                           |Star                              |20 20 36.3098897376 -67 53 28.637505744|327.5651968052710 -33.3337123324702|  -1.875 -7.308   |10.68    |~               |    ~     ~    |    1|  416.823   pc  |  -2.1370     +2.1370    |paral   |2020yCat.1350....0G
2922|TYC 9307-660-1                                                                                           |Star                              |20 18 08.0441729280 -68 36 27.513329220|326.7674967775631 -32.9878450395763|  -19.822 3.343   |10.79    |~               |    ~     ~    |    1|  299.280   pc  |  -4.8870     +4.8870    |ST-L    |2020AJ....160...83S
2923|TYC 9307-692-1                                                                                           |Spectroscopic Binary              |20 23 49.3137981936 -68 06 38.768181840|327.2423907585547 -33.5913771711811| 23.463 -30.057   |10.529   |~               |    ~     ~    |    1|  286.164   pc  |  -6.0900     +6.0900    |ST-L    |2020AJ....160...83S
2924|TYC 9307-889-1                                                                                           |Star                              |20 18 15.2619040176 -68 37 22.133290440|326.7474791052704 -32.9961244831330| 19.667 -14.492   |10.43    |~               |    ~     ~    |    1|  534.960   pc  | -14.2100    +14.2100    |ST-L    |2020AJ....160...83S
2925|TYC 9307-1126-1                                                                                          |High Proper Motion Star           |20 15 11.8498028760 -68 56 19.542102180|326.4300008959557 -32.6718344938611| 60.908 -74.889   |10.45    |~               |    ~     ~    |    1|  239.331   pc  |  -2.9160     +2.9160    |ST-L    |2020AJ....160...83S
2926|TYC 9307-1349-1                                                                                          |Star                              |20 16 10.9702287312 -68 52 59.997822276|326.4782128971486 -32.7681846122437|  -12.456 3.034   |10.89    |~               |    ~     ~    |    1|  349.342   pc  |  -6.4570     +6.4570    |ST-L    |2020AJ....160...83S
2927|TYC 9307-1620-1                                                                                          |Star                              |20 15 22.6067991504 -68 20 14.268212664|327.1333058147249 -32.7812116156175|  18.411 10.306   |10.88    |~               |    ~     ~    |    1|  358.027   pc  |  -6.7650     +6.7650    |ST-L    |2020AJ....160...83S
2928|TYC 9308-783-1                                                                                           |Star                              |20 29 13.7580979080 -69 00 27.557222220|326.0663637511525 -33.8950093577610|  -1.928 -6.435   |10.97    |~               |    ~     ~    |    1|  490.485   pc  |  -4.9318     +4.9318    |paral   |2020yCat.1350....0G
2929|TYC 9308-976-1                                                                                           |Star                              |20 24 01.7653962912 -68 19 38.160467508|326.9827718006325 -33.5699225509063|  -1.783 -8.554   |10.672   |~               |    ~     ~    |    1|  309.912   pc  |  -5.4470     +5.4470    |ST-L    |2020AJ....160...83S
2930|TYC 9308-1309-1                                                                                          |Star                              |20 27 40.9683943968 -68 33 26.464990788|326.6321108727888 -33.8536035245327| 24.005 -12.040   |10.95    |~               |    ~     ~    |    1|   94.826   pc  |  -0.4558     +0.4558    |ST-L    |2020AJ....160...83S
2931|HD 192741                                                                                                |Star                              |20 20 42.6853021252 -66 28 15.312367460|329.2433539716951 -33.5728595800619|   0.637 15.297   |8.35     |A9III/IV        |    ~     ~    |    1|  167.5800  pc  |  -1.0896     +1.0896    |paral   |2018yCat.1345....0G
2932|HD 193365                                                                                                |High Proper Motion Star           |20 23 54.2187103224 -66 10 44.061348972|329.5290934648014 -33.9355180214040|-66.033 -10.868   |8.01     |G0V             |    ~     ~    |    1|   87.584   pc  |  -0.4309     +0.4309    |ST-L    |2020AJ....160...83S
2933|HD 193004                                                                                                |Spectroscopic Binary              |20 22 09.1756197984 -66 26 39.931239264|329.2477698252623 -33.7191750664053| 17.901 -16.541   |10.10    |F0V             |    ~     ~    |    1|  243.051   pc  |  -4.8870     +4.8870    |ST-L    |2020AJ....160...83S
2934|HD 193384                                                                                                |Star                              |20 24 16.3524764640 -66 53 45.826958832|328.6699900243755 -33.8511252852928|  9.520 -12.133   |9.99     |A7V             |    ~     ~    |    1|  315.605   pc  |  -5.6800     +5.6800    |ST-L    |2020AJ....160...83S
2935|HD 193961                                                                                                |Star                              |20 27 15.3763439160 -67 01 47.947184076|328.4477746040798 -34.1141611025080|  3.896 -22.032   |9.79     |K0/1(III)       |    ~     ~    |    1|  602.941   pc  | -20.1600    +20.1600    |ST-L    |2020AJ....160...83S
2936|HD 193982                                                                                                |Star                              |20 27 22.4611442496 -66 55 17.415334380|328.5739251451434 -34.1457400665667|    8.336 1.773   |9.32     |K2/3(III)       |    ~     ~    |    1|  728.969   pc  |  -7.2270     +7.2270    |paral   |2020yCat.1350....0G
2937|TYC 9099-1713-1                                                                                          |Star                              |20 26 21.0472870728 -67 01 57.796772196|328.4642620610019 -34.0268442382700|  8.468 -17.695   |10.01    |~               |    ~     ~    |    1| 1644.840   pc  |-126.1000   +126.1000    |ST-L    |2020AJ....160...83S
2938|HD 193761                                                                                                |Star                              |20 26 03.8642329824 -66 16 16.116440772|329.3751520814345 -34.1346640006825|  17.790 -3.293   |9.50     |F2IV/V          |    ~     ~    |    1|  275.872   pc  |  -4.2170     +4.2170    |ST-L    |2020AJ....160...83S
2939|HD 194374                                                                                                |Spectroscopic Binary              |20 29 20.1718098072 -66 04 20.662617180|329.5403019196383 -34.4953335444469| -14.242 -7.944   |9.94     |K2/3III         |    ~     ~    |    1|  594.317   pc  | -23.1900    +23.1900    |ST-L    |2020AJ....160...83S
2940|HD 194421                                                                                                |Star                              |20 29 39.4940983272 -66 23 49.169253552|329.1461267261298 -34.4664827623037| -18.492 -6.643   |9.42     |K2III           |    ~     ~    |    1|  457.153   pc  |  -9.9110     +9.9110    |ST-L    |2020AJ....160...83S
2941|TYC 9099-1402-1                                                                                          |Star                              |20 25 50.2369134240 -66 11 27.333189024|329.4753757149971 -34.1259468021505| 14.448 -39.215   |10.24    |~               |    ~     ~    |    1|  675.904   pc  |  -5.8019     +5.8019    |paral   |2020yCat.1350....0G
2942|TYC 9099-904-1                                                                                           |Spectroscopic Binary              |20 26 51.1748364792 -66 10 57.008356536|329.4639068081101 -34.2283709262174|   -0.468 5.114   |10.88    |~               |    ~     ~    |    1|  455.700   pc  |  -9.8170     +9.8170    |ST-L    |2020AJ....160...83S
2943|TYC 9099-1274-1                                                                                          |Star                              |20 28 11.1498119040 -67 04 06.151899432|328.3815160984020 -34.1958867107317|  3.364 -16.309   |10.76    |~               |    ~     ~    |    1|  851.869   pc  | -25.0300    +25.0300    |ST-L    |2020AJ....160...83S
2944|TYC 9099-1559-1                                                                                          |Star                              |20 24 57.5988517728 -66 37 51.850299324|328.9703466112220 -33.9637276800598|   0.961 -4.197   |10.52    |~               |    ~     ~    |    1|  327.424   pc  |  -5.4000     +5.4000    |ST-L    |2020AJ....160...83S
2945|HD 191685                                                                                                |Star                              |20 15 28.0354495416 -66 39 15.078722436|329.1159962749615 -33.0304876704351| 12.174 -20.250   |9.30     |A8III           |    ~     ~    |    1|  218.625   pc  |  -2.5670     +2.5670    |ST-L    |2020AJ....160...83S
2946|CD-66 2376                                                                                               |Star                              |20 16 05.0433479088 -66 02 21.077987100|329.8340270479648 -33.1728101399287|  -3.802 14.450   |10.437   |~               |    ~     ~    |    1|  742.728   pc  | -24.0800    +24.0800    |ST-L    |2020AJ....160...83S
2947|TYC 9099-101-1                                                                                           |Star                              |20 19 09.0641417928 -66 18 29.085926040|329.4644361834172 -33.4426857003874|   7.843 24.015   |10.72    |~               |    ~     ~    |    1|  124.913   pc  |  -0.9448     +0.9448    |ST-L    |2020AJ....160...83S
2948|HD 192158                                                                                                |Spectroscopic Binary              |20 17 33.1524052560 -65 49 11.493154308|330.0705420766516 -33.3500466858449|  -3.586 24.364   |10.060   |F2V             |    ~     ~    |    1|  240.740   pc  |  -3.3210     +3.3210    |ST-L    |2020AJ....160...83S
2949|HD 192476                                                                                                |Star                              |20 19 03.4127765016 -65 41 20.147321184|330.2009273927572 -33.5207938029329|  15.276 -4.628   |9.66     |G8/K1III        |    ~     ~    |    1|  559.128   pc  |  -3.9703     +3.9703    |paral   |2020yCat.1350....0G
2950|HD 192356                                                                                                |High Proper Motion Star           |20 18 35.0877634848 -65 51 27.048048660|330.0087220008070 -33.4496023242837|-10.347 -102.779  |9.21     |G9IV            |    ~     ~    |    1|  128.996   pc  |  -0.3178     +0.3178    |paral   |2020yCat.1350....0G
