C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:44:19

dec< 0&rah >=17.0&rah< 17.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6815

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
37  |HD 326695                                                                                                |Star                                  |17 03 00.6936491568 -43 30 21.104151552|343.1548532534024 -01.1337672504166|   2.090 -6.346    |10.22    |B8             |    ~     ~    |    1|  912.409   pc  | -16.0671    +16.0671  |paral   |2020yCat.1350....0G
38  |HD 326648                                                                                                |Star                                  |17 02 04.0596931944 -42 17 39.678117684|344.0081302779911 -00.2564608513345|  -7.892 -5.928    |9.43     |K0             |    ~     ~    |    1|  469.748   pc  |  -3.4865     +3.4865  |paral   |2020yCat.1350....0G
39  |HD 326650                                                                                                |Star                                  |17 01 25.2334376760 -42 16 23.204331984|343.9515285568135 -00.1488868930314|  -1.619 -1.727    |10.59    |B3             |    ~     ~    |    1| 1343.003   pc  | -32.2855    +32.2855  |paral   |2020yCat.1350....0G
40  |HD 326657                                                                                                |Star                                  |17 00 28.1023287768 -42 36 41.492644128|343.5766409584143 -00.2184806110432|  -0.782 -6.963    |10.03    |G0             |    ~     ~    |    1|  897.344   pc  | -30.5986    +30.5986  |paral   |2020yCat.1350....0G
41  |HD 326668                                                                                                |Spectroscopic Binary                  |17 00 49.0493963808 -42 52 17.240566620|343.4112741755445 -00.4290206717154|  -8.559 -8.749    |10.29    |F8             |    ~     ~    |    1|  233.956   pc  | -12.8957    +12.8957  |paral   |2020yCat.1350....0G
42  |HD 326669                                                                                                |Star                                  |17 00 05.2341595440 -42 46 59.358355104|343.3983342497733 -00.2691553538426|   11.260 1.744    |10.83    |F2             |    ~     ~    |    1|  406.620   pc  |  -2.2156     +2.2156  |paral   |2020yCat.1350....0G
43  |HD 326647B                                                                                               |Star                                  |17 02 46.2882012504 -42 15 02.788613676|344.1222360887733 -00.3328188388437|  -7.253 -2.111    |10.78    |~              |    ~     ~    |    1|  189.065   pc  |  -0.5505     +0.5505  |paral   |2020yCat.1350....0G
44  |HD 326694                                                                                                |Star                                  |17 02 27.9101222064 -43 29 33.618350904|343.1047816591650 -01.0472470274704|-13.021 -16.404    |9.37     |M0             |    ~     ~    |    1|  574.515   pc  |  -6.3373     +6.3373  |paral   |2020yCat.1350....0G
45  |HD 326632                                                                                                |Star                                  |17 02 35.5689978072 -41 40 53.093393040|344.5526835952522 +00.0413337665238|-13.892 -11.521    |10.26    |M0             |    ~     ~    |    1|  578.436   pc  |  -4.8515     +4.8515  |paral   |2020yCat.1350....0G
46  |HD 326677                                                                                                |Star                                  |17 02 53.9512899096 -43 07 20.582584572|343.4462389388987 -00.8835789515841|   -4.833 2.068    |10.17    |K0             |    ~     ~    |    1|  423.209   pc  |  -8.8478     +8.8478  |paral   |2020yCat.1350....0G
