C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:44:19

dec< 0&rah >=17.0&rah< 17.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6815

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
3333|CD-73 1256                                                                                               |Double or Multiple Star               |17 05 44.1904174992 -73 19 26.004968616|318.6882653466349 -18.8534517021269| -5.338 -14.070    |10.630   |~              |    ~     ~    |    1|  434.745   pc  |  -2.5704     +2.5704  |paral   |2020yCat.1350....0G
3334|CD-74 1170                                                                                               |High Proper Motion Star               |17 06 27.2083736256 -74 30 50.472217152|317.6520918466852 -19.5326214826786|-34.723 -48.514    |9.81     |~              |    ~     ~    |    1|  225.520   pc  |  -2.6960     +2.6960  |ST-L    |2020AJ....160...83S
3335|CD-74 1171                                                                                               |Star                                  |17 07 00.9736894944 -74 58 41.670898140|317.2547438371047 -19.8098893949371| -2.613 -23.390    |10.29    |~              |    ~     ~    |    1|  361.952   pc  |  -1.8472     +1.8472  |paral   |2020yCat.1350....0G
3336|V* MR Aps                                                                                                |Eclipsing Binary                      |17 07 57.5281934280 -73 43 35.400716904|318.4174641994314 -19.2018437651663|-18.743 -46.952    |10.649   |~              |    ~     ~    |    0|                |                       |        |                   
3337|CD-74 1173                                                                                               |Star                                  |17 08 42.1060780296 -74 39 01.624632804|317.6127288638520 -19.7315378282035|  4.596 -24.098    |10.58    |~              |    ~     ~    |    1|  288.118   pc  |  -1.0460     +1.0460  |paral   |2020yCat.1350....0G
3338|CPD-73 1791                                                                                              |Double or Multiple Star               |17 09 01.8825151512 -74 07 50.943238500|318.0948743643365 -19.4781249620160| -9.279 -40.408    |10.885   |~              |    ~     ~    |    1|  280.986   pc  |  -1.1685     +1.1685  |paral   |2020yCat.1350....0G
3339|CD-74 1177                                                                                               |Star                                  |17 10 28.5636187320 -74 43 24.170910636|317.6113005960673 -19.8695220533068|  -1.362 -1.131    |10.82    |~              |    ~     ~    |    1|  292.252   pc  |  -1.3580     +1.3580  |paral   |2020yCat.1350....0G
3340|CD-74 1180                                                                                               |Star                                  |17 12 45.6461143512 -75 02 44.551685148|317.3979166448767 -20.1625726185562| -8.035 -15.536    |10.03    |~              |    ~     ~    |    1|  373.399   pc  |  -2.3284     +2.3284  |paral   |2020yCat.1350....0G
3341|CD-75 958                                                                                                |Star                                  |17 14 26.6524894248 -75 31 32.742404256|317.0130388638738 -20.4966747322128| -3.796 -11.288    |10.43    |~              |    ~     ~    |    1|  486.334   pc  |  -3.3349     +3.3349  |paral   |2020yCat.1350....0G
3342|TYC 9287-479-1                                                                                           |Star                                  |17 04 25.5013692120 -74 58 45.871033296|317.1587928116896 -19.6683505662818|    3.511 0.779    |10.141   |~              |    ~     ~    |    1| 1495.930   pc  |-109.9000   +109.9000  |ST-L    |2020AJ....160...83S
3343|TYC 9283-567-1                                                                                           |High Proper Motion Star               |17 04 42.2774729400 -72 53 31.170223356|319.0286408860653 -18.5564429078910| -13.088 55.949    |10.32    |~              |    ~     ~    |    1|   82.573   pc  |  -0.0743     +0.0743  |paral   |2020yCat.1350....0G
3344|TYC 9283-1690-1                                                                                          |Star                                  |17 05 23.1283541688 -72 41 22.226172324|319.2367412738911 -18.4886155990440|   0.710 -5.291    |10.368   |~              |    ~     ~    |    1| 1778.940   pc  |-168.1000   +168.1000  |ST-L    |2020AJ....160...83S
3345|CD-73 1258                                                                                               |Star                                  |17 07 28.7541519720 -73 53 33.040714920|318.2496372941897 -19.2615702757826|  -0.641 -2.840    |10.159   |~              |    ~     ~    |    1|  735.880   pc  | -27.1500    +27.1500  |ST-L    |2020AJ....160...83S
3346|TYC 9283-449-1                                                                                           |Star                                  |17 07 30.0429866712 -72 47 40.287337260|319.2326999732120 -18.6773650587459|   8.516 -5.585    |10.315   |~              |    ~     ~    |    1|  675.274   pc  | -21.3500    +21.3500  |ST-L    |2020AJ....160...83S
3347|TYC 9283-2158-1                                                                                          |Star                                  |17 07 34.3341505656 -73 05 39.238026360|318.9682078087223 -18.8420829705893|-11.525 -10.275    |9.93     |~              |    ~     ~    |    1|  911.743   pc  |  -9.9753     +9.9753  |paral   |2020yCat.1350....0G
3348|TYC 9287-134-1                                                                                           |Star                                  |17 11 58.1683655424 -74 51 30.048625980|317.5417258385724 -20.0229229559014| -5.401 -11.039    |10.13    |~              |    ~     ~    |    1|  542.123   pc  |  -3.7031     +3.7031  |paral   |2020yCat.1350....0G
3349|CPD-75 1352                                                                                              |Star                                  |17 12 11.9923047144 -75 34 10.550410608|316.8973962693949 -20.3977341092088| -12.668 -6.536    |9.96     |~              |    ~     ~    |    1|  377.915   pc  |  -1.5996     +1.5996  |paral   |2020yCat.1350....0G
3350|CD-73 1272                                                                                               |Star                                  |17 13 18.5933752392 -73 39 30.095298648|318.6865717179722 -19.4869184859390|   0.339 -9.973    |10.03    |~              |    ~     ~    |    1|  691.218   pc  | -25.1500    +25.1500  |ST-L    |2020AJ....160...83S
3351|CD-73 1273                                                                                               |Star                                  |17 13 53.2418254872 -73 24 45.421039368|318.9326623264473 -19.3962961998759|  0.670 -20.196    |10.29    |~              |    ~     ~    |    1|  578.737   pc  |  -3.8518     +3.8518  |paral   |2020yCat.1350....0G
3352|CD-74 1182                                                                                               |Double or Multiple Star               |17 14 04.1437257624 -74 26 59.104153680|317.9912240086698 -19.9347054212336| -7.079 -14.497    |10.144   |~              |    ~     ~    |    1|  700.624   pc  |  -5.9887     +5.9887  |paral   |2020yCat.1350....0G
3353|IRAS 16541-7255                                                                                          |Star                                  |17 00 15.2463532680 -72 59 51.572760792|318.7459999483446 -18.3425150860105|  -0.932 -9.088    |10.06    |~              |    ~     ~    |    1| 1636.661   pc  | -40.7156    +40.7156  |paral   |2020yCat.1350....0G
3354|AKARI-IRC-V1 J1702135-734253                                                                             |Long-Period Variable Candidate        |17 02 13.6007283984 -73 42 53.603751492|318.1984959394876 -18.8573930933921| -9.105 -13.982    |10.04    |~              |    ~     ~    |    1| 1128.8     pc  | -29.561     +29.561   |paral   |2020yCat.1350....0G
3355|IRAS 17043-7405                                                                                          |Star                                  |17 10 37.3662302256 -74 09 28.797117372|318.1304616397293 -19.5850318998747| -5.790 -16.697    |10.221   |~              |    ~     ~    |    1| 1476.540   pc  |-120.2000   +120.2000  |ST-L    |2020AJ....160...83S
3356|CD-73 1265                                                                                               |Star                                  |17 10 58.1621064744 -73 59 29.740947504|318.2945064167513 -19.5190093128216|   4.245 -1.547    |9.01     |~              |    ~     ~    |    1|  870.474   pc  | -11.7447    +11.7447  |paral   |2020yCat.1350....0G
3357|IRAS 17052-7502                                                                                          |Star                                  |17 11 52.1816857992 -75 05 52.338332544|317.3189722833760 -20.1397328533345|    2.077 1.863    |10.31    |~              |    ~     ~    |    1| 1299.714   pc  | -36.4879    +36.4879  |paral   |2020yCat.1350....0G
3358|TYC 9283-325-1                                                                                           |Star                                  |17 11 23.5783752840 -73 00 05.623657704|319.2068398530781 -19.0297057209788| -20.816 -4.445    |10.88    |~              |    ~     ~    |    1|  163.359   pc  |  -0.2775     +0.2775  |paral   |2020yCat.1350....0G
3359|TYC 9283-451-1                                                                                           |High Proper Motion Star               |17 01 34.1712347640 -72 58 09.603934572|318.8272318264477 -18.4067109466985|  7.820 -56.354    |10.63    |~              |    ~     ~    |    1|  183.264   pc  |  -0.4131     +0.4131  |paral   |2020yCat.1350....0G
3360|TYC 9283-1499-1                                                                                          |Star                                  |17 00 43.9443576984 -72 35 30.145906212|319.1213301816773 -18.1450770478208|  -7.343 -1.326    |10.708   |~              |    ~     ~    |    1|  943.080   pc  | -32.8300    +32.8300  |ST-L    |2020AJ....160...83S
3361|TYC 9283-1838-1                                                                                          |Star                                  |17 03 10.4818545984 -72 42 53.323317144|319.1197265340846 -18.3648314652967|  -5.125 -6.250    |10.922   |~              |    ~     ~    |    1| 1080.350   pc  | -41.2600    +41.2600  |ST-L    |2020AJ....160...83S
3362|TYC 9284-3-1                                                                                             |Star                                  |17 14 00.4726622424 -72 52 49.589702112|319.4215188119434 -19.1311194078288|  9.013 -26.878    |10.70    |~              |    ~     ~    |    0|                |                       |        |                   
3363|GSC 09287-00439                                                                                          |Double or Multiple Star               |17 07 16.2217755504 -73 26 07.655487720|318.6509185553491 -19.0058644593206| -3.769 -16.351    |10.557   |~              |    ~     ~    |    1|  480.962   pc  | -12.6700    +12.6700  |ST-L    |2020AJ....160...83S
3364|TYC 9287-529-1                                                                                           |Star                                  |17 07 38.9206497888 -73 30 29.674345500|318.6009292851546 -19.0674131824589|   6.382 -3.241    |10.329   |~              |    ~     ~    |    1|  778.331   pc  |  -7.6937     +7.6937  |paral   |2020yCat.1350....0G
3365|TYC 9287-680-1                                                                                           |Star                                  |17 04 02.8421297256 -74 52 18.742364868|317.2410776543749 -19.5898640847524| -5.290 -10.434    |10.422   |~              |    ~     ~    |    1|  825.287   pc  |  -8.1051     +8.1051  |paral   |2020yCat.1350....0G
3366|TYC 9287-700-1                                                                                           |Star                                  |17 05 04.2840511848 -73 07 43.454523216|318.8342560957164 -18.7075646450531|  -1.961 -3.151    |10.807   |~              |    ~     ~    |    1| 3280.530   pc  |-496.3000   +496.3000  |ST-L    |2020AJ....160...83S
3367|TYC 9287-765-1                                                                                           |Star                                  |17 09 36.0018502008 -74 02 51.798160212|318.1916051833458 -19.4677924743358|  0.809 -28.219    |10.77    |~              |    ~     ~    |    1|  184.720   pc  |  -4.3607     +4.3607  |paral   |2020yCat.1350....0G
3368|TYC 9287-848-1                                                                                           |Spectroscopic Binary                  |17 06 13.3490850840 -73 17 07.823486184|318.7423040563836 -18.8621944269733|-26.025 -55.582    |10.87    |~              |    ~     ~    |    1|  191.979   pc  |  -6.3871     +6.3871  |paral   |2020yCat.1350....0G
3369|TYC 9287-1058-1                                                                                          |Star                                  |17 09 06.6458853024 -73 33 45.727166808|318.6100844416807 -19.1841316996068|  -3.109 -7.394    |10.864   |~              |    ~     ~    |    1| 1249.410   pc  | -81.4800    +81.4800  |ST-L    |2020AJ....160...83S
3370|TYC 9287-1196-1                                                                                          |Star                                  |17 06 23.7298445160 -73 08 21.931120104|318.8795254656877 -18.7941702575268| -6.923 -10.174    |10.71    |~              |    ~     ~    |    1| 1741.720   pc  |-196.0000   +196.0000  |ST-L    |2020AJ....160...83S
3371|TYC 9287-1313-1                                                                                          |Star                                  |17 06 09.7795442760 -74 19 20.321641092|317.8131805399306 -19.4140171965140| -0.728 -14.952    |10.52    |~              |    ~     ~    |    1|  831.861   pc  | -27.7700    +27.7700  |ST-L    |2020AJ....160...83S
3372|TYC 9287-1357-1                                                                                          |Star                                  |17 05 24.7575933240 -73 48 08.938702980|318.2488417009316 -19.0919749247198| -6.869 -10.621    |10.97    |~              |    ~     ~    |    1|  923.659   pc  | -41.3400    +41.3400  |ST-L    |2020AJ....160...83S
3373|TYC 9287-1512-1                                                                                          |Star                                  |17 03 26.4561630600 -74 21 13.291994844|317.6804012608449 -19.2760352442769| -2.714 -15.406    |10.411   |~              |    ~     ~    |    1| 1100.390   pc  | -65.4200    +65.4200  |ST-L    |2020AJ....160...83S
3374|TYC 9287-1570-1                                                                                          |Star                                  |17 01 16.4414309328 -74 25 11.784457560|317.5373143317972 -19.1900445253175|  -0.806 -7.461    |10.744   |~              |    ~     ~    |    1| 1199.328   pc  | -22.0073    +22.0073  |paral   |2020yCat.1350....0G
3375|TYC 9287-1670-1                                                                                          |Star                                  |17 01 54.3902588376 -74 39 59.743649304|317.3431644372510 -19.3604205141608|-12.593 -26.058    |10.394   |~              |    ~     ~    |    1|  765.890   pc  | -24.1400    +24.1400  |ST-L    |2020AJ....160...83S
3376|TYC 9288-406-1                                                                                           |Star                                  |17 12 36.7069897416 -73 35 57.487050888|318.7135218230741 -19.4143796256880| -1.319 -23.285    |10.58    |~              |    ~     ~    |    1|  294.820   pc  |  -1.2082     +1.2082  |paral   |2020yCat.1350....0G
3377|TYC 9288-641-1                                                                                           |Star                                  |17 14 43.8204348288 -74 16 24.988758852|318.1768407568816 -19.8841671892085|   -4.559 1.100    |10.49    |~              |    ~     ~    |    1| 2653.928   pc  |-100.0153   +100.0153  |paral   |2020yCat.1350....0G
3378|TYC 9288-941-1                                                                                           |Star                                  |17 12 45.2348389272 -74 01 36.092677656|318.3298415175248 -19.6424138260532|-13.429 -22.542    |10.769   |~              |    ~     ~    |    1| 1387.250   pc  |-123.4000   +123.4000  |ST-L    |2020AJ....160...83S
3379|TYC 9288-1289-1                                                                                          |Star                                  |17 13 15.6842436408 -73 58 38.384406480|318.3938720009765 -19.6471970425096|    2.093 7.440    |10.592   |~              |    ~     ~    |    1|  912.049   pc  | -44.8200    +44.8200  |ST-L    |2020AJ....160...83S
3380|TYC 9288-2314-1                                                                                          |Star                                  |17 14 15.6373108176 -73 10 58.206104652|319.1564951909992 -19.3018629412501|  6.020 -14.764    |10.81    |~              |    ~     ~    |    1|  660.589   pc  |  -5.6729     +5.6729  |paral   |2020yCat.1350....0G
3381|TYC 9288-2528-1                                                                                          |Star                                  |17 14 15.6889105344 -73 53 45.459410280|318.5056456587134 -19.6652777053331|    3.716 0.363    |10.97    |~              |    ~     ~    |    1|  703.383   pc  |  -6.0359     +6.0359  |paral   |2020yCat.1350....0G
3382|TYC 9288-2594-1                                                                                          |Star                                  |17 12 25.8505939248 -74 58 42.723503040|317.4479781186484 -20.1100533496734|  -4.291 -9.058    |10.39    |~              |    ~     ~    |    1| 2033.347   pc  | -57.0561    +57.0561  |paral   |2020yCat.1350....0G
3383|TYC 9288-2767-1                                                                                          |Star                                  |17 14 30.0111090960 -74 46 09.902425368|317.7128087264234 -20.1206657945868| -4.465 -14.194    |10.77    |~              |    ~     ~    |    1|  818.599   pc  |  -8.9794     +8.9794  |paral   |2020yCat.1350....0G
3384|TYC 9443-4-1                                                                                             |Star                                  |17 13 03.5138474160 -75 13 47.227474056|317.2391122966965 -20.2723080454505|  -5.410 13.509    |10.53    |~              |    ~     ~    |    1|  254.143   pc  |  -0.8784     +0.8784  |paral   |2020yCat.1350....0G
3385|TYC 9443-80-1                                                                                            |Star                                  |17 11 03.2833075656 -75 11 11.411944872|317.2093895271337 -20.1401966538207|  -5.234 -3.149    |10.61    |~              |    ~     ~    |    1|  513.954   pc  |  -6.5509     +6.5509  |paral   |2020yCat.1350....0G
3386|TYC 9443-204-1                                                                                           |Star                                  |17 02 52.6063899792 -75 06 56.658791556|316.9796927161248 -19.6576558026494|  -4.631 -2.405    |10.868   |~              |    ~     ~    |    1|  894.470   pc  | -42.5900    +42.5900  |ST-L    |2020AJ....160...83S
3387|TYC 9443-370-1                                                                                           |High Proper Motion Star               |17 02 21.8742887640 -75 26 03.343420320|316.6764262497097 -19.8026649627454|-33.228 -38.133    |10.53    |~              |    ~     ~    |    1|  277.886   pc  |  -0.9884     +0.9884  |paral   |2020yCat.1350....0G
3388|TYC 9443-416-1                                                                                           |Spectroscopic Binary                  |17 00 00.6333699240 -75 01 58.590213744|316.9463623145081 -19.4578296227110| -6.894 -19.911    |10.259   |~              |    ~     ~    |    1|  754.880   pc  | -32.3100    +32.3100  |ST-L    |2020AJ....160...83S
3389|TYC 9443-620-1                                                                                           |High Proper Motion Star               |17 02 54.0147440136 -75 08 51.466488180|316.9520731522388 -19.6761725296614|-47.939 -103.797   |10.41    |~              |    ~     ~    |    1|  104.311   pc  |  -0.1197     +0.1197  |paral   |2020yCat.1350....0G
3390|TYC 9443-900-1                                                                                           |Star                                  |17 09 04.2706071192 -75 01 42.543071184|317.2833181064057 -19.9494386181011| -1.947 -31.003    |10.35    |~              |    ~     ~    |    1|  270.117   pc  |  -1.1236     +1.1236  |paral   |2020yCat.1350....0G
3391|TYC 9443-1536-1                                                                                          |Star                                  |17 03 29.9189486496 -75 30 27.503484552|316.6515069818498 -19.9021331436167|  -5.812 -9.611    |10.49    |~              |    ~     ~    |    1| 1274.372   pc  | -32.1557    +32.1557  |paral   |2020yCat.1350....0G
3392|TYC 9443-1602-1                                                                                          |Star                                  |17 09 30.5588037024 -75 35 33.507525660|316.7848845096445 -20.2656202959363| -3.779 -29.473    |10.82    |~              |    ~     ~    |    1|  478.171   pc  |  -3.6126     +3.6126  |paral   |2020yCat.1350....0G
3393|CD-69 1602                                                                                               |High Proper Motion Star               |17 03 22.3820250048 -69 51 01.693353600|321.6276326355085 -16.7871154965322|-33.223 -51.528    |9.56     |~              |    ~     ~    |    1|  180.255   pc  |  -0.4191     +0.4191  |paral   |2020yCat.1350....0G
3394|CD-70 1479                                                                                               |High Proper Motion Star               |17 00 37.9045939368 -70 24 20.325690864|321.0113305432581 -16.9077552534106| -6.889 -58.603    |9.68     |~              |    ~     ~    |    1|  224.825   pc  |  -0.6723     +0.6723  |paral   |2020yCat.1350....0G
3395|IRAS 16549-7007                                                                                          |Long-Period Variable                  |17 00 31.0148292360 -70 12 03.908613348|321.1815350318702 -16.7836509454195|  -1.772 -1.717    |10.63    |~              |    ~     ~    |    1| 1725.328   pc  | -77.3957    +77.3957  |paral   |2020yCat.1350....0G
3396|CD-69 1596                                                                                               |Star                                  |17 00 02.0789199600 -69 59 18.888867564|321.3395150943601 -16.6288987305341|   0.198 -8.286    |9.39     |~              |    ~     ~    |    1|  858.811   pc  | -10.5471    +10.5471  |paral   |2020yCat.1350....0G
3397|CD-69 1599                                                                                               |Star                                  |17 01 46.7974541448 -70 02 59.875871172|321.3751268347520 -16.7864864202172|  -1.796 -4.317    |9.85     |~              |    ~     ~    |    1| 1639.882   pc  | -37.6490    +37.6490  |paral   |2020yCat.1350....0G
3398|CPD-69 2691                                                                                              |Star                                  |17 10 46.7703022848 -70 09 20.951834076|321.7235251557136 -17.4840546020118|  -8.482 33.352    |9.74     |~              |    ~     ~    |    1|  138.097   pc  |  -0.2632     +0.2632  |paral   |2020yCat.1350....0G
3399|CD-69 1618                                                                                               |Star                                  |17 12 32.8978719504 -70 05 08.573209944|321.8697498970360 -17.5739546251193|   2.299 -5.863    |9.32     |B2p            |    ~     ~    |    1| 1849.797   pc  |-130.0264   +130.0264  |paral   |2020yCat.1350....0G
3400|CD-70 1478                                                                                               |Star                                  |17 00 21.9894915744 -70 49 24.763959264|320.6382496595371 -17.1265169411699|-25.985 -20.507    |9.89     |~              |    ~     ~    |    1|  181.186   pc  |  -0.5088     +0.5088  |paral   |2020yCat.1350....0G
3401|CPD-70 2341                                                                                              |Star                                  |17 03 49.3386206928 -70 54 53.310520224|320.7254157839778 -17.4121170074198|   7.595 -0.043    |10.98    |~              |    ~     ~    |    1|  224.090   pc  |  -0.6227     +0.6227  |paral   |2020yCat.1350....0G
3402|HD 153142                                                                                                |High Proper Motion Star               |17 03 35.9559025896 -70 18 01.196902044|321.2491073269952 -17.0547043193679|-56.157 -82.716    |8.37     |F6V            |    ~     ~    |    1|  118.100   pc  |  -0.2469     +0.2469  |paral   |2020yCat.1350....0G
3403|HD 153285                                                                                                |Pulsating Variable                    |17 04 24.1033861056 -70 25 18.209768700|321.1828531767089 -17.1782876423631|-20.285 -26.664    |8.82     |F7V            |    ~     ~    |    1|  183.996   pc  |  -1.0596     +1.0596  |paral   |2020yCat.1350....0G
3404|HD 153492                                                                                                |Star                                  |17 05 46.9036753368 -70 23 53.309020236|321.2703870341686 -17.2616312277088|-13.840 -13.250    |9.18     |A3mA5-A7       |    ~     ~    |    1|  217.391   pc  |  -0.6522     +0.6522  |paral   |2020yCat.1350....0G
3405|CD-70 1487                                                                                               |Star                                  |17 07 08.4315156768 -70 40 14.539565280|321.0964970910921 -17.5056938342923|  5.570 -23.826    |9.40     |~              |    ~     ~    |    1|  105.671   pc  |  -0.2356     +0.2356  |paral   |2020yCat.1350....0G
3406|HD 153831                                                                                                |Star                                  |17 08 00.1984883400 -71 00 00.490832532|320.8466629177153 -17.7441127803888|  -5.326 -5.889    |9.66     |A0V            |    ~     ~    |    1|  518.108   pc  |  -5.0197     +5.0197  |paral   |2020yCat.1350....0G
3407|HD 154178                                                                                                |High Proper Motion Star               |17 09 48.4864772496 -70 20 58.069313736|321.5060286630352 -17.5187495706550| -5.874 -52.402    |8.03     |F5IV/V         |    ~     ~    |    1|  147.356   pc  |  -0.4907     +0.4907  |paral   |2020yCat.1350....0G
3408|HD 154198                                                                                                |Star                                  |17 09 55.8968658336 -70 25 23.024188992|321.4467844522894 -17.5670526188451|  -1.770 -3.150    |8.35     |F0III          |    ~     ~    |    1|  867.980   pc  | -13.7870    +13.7870  |paral   |2020yCat.1350....0G
3409|CD-70 1497                                                                                               |Star                                  |17 11 36.3488483208 -70 13 58.904746500|321.6942635885425 -17.5844634378292|  -0.107 -1.853    |9.76     |~              |    ~     ~    |    1|  511.247   pc  |  -4.2081     +4.2081  |paral   |2020yCat.1350....0G
3410|HD 154556                                                                                                |High Proper Motion Star               |17 12 19.9342187184 -70 43 15.896336232|321.2936343125613 -17.8947472121312| 49.060 -78.104    |6.214    |K1IVCNIII      |    ~     ~    |    1|   69.742   pc  |  -0.1090     +0.1090  |paral   |2020yCat.1350....0G
3411|HD 154758                                                                                                |Spectroscopic Binary                  |17 13 30.5719603416 -70 35 18.055801248|321.4661657997123 -17.9077543165315|    7.005 5.358    |7.86     |M1III          |    ~     ~    |    1|  709.975   pc  |  -8.2667     +8.2667  |paral   |2020yCat.1350....0G
3412|HD 152529                                                                                                |Star                                  |17 00 24.4451380320 -71 56 24.078690384|319.6740946495053 -17.7593482262442|  32.149 -0.122    |8.45     |K0III          |    ~     ~    |    1|  308.766   pc  |  -1.9449     +1.9449  |paral   |2020yCat.1350....0G
3413|CPD-71 2102                                                                                              |Star                                  |17 01 38.5332053688 -71 36 33.830426628|320.0182749842850 -17.6538444275919|   1.047 -3.190    |10.40    |~              |    ~     ~    |    1|  539.491   pc  |  -3.8128     +3.8128  |paral   |2020yCat.1350....0G
3414|CD-71 1327                                                                                               |Star                                  |17 03 29.8994994072 -72 03 14.854578408|319.7142999983457 -18.0212471698027|-14.034 -17.898    |9.76     |~              |    ~     ~    |    1|  407.299   pc  |  -6.6523     +6.6523  |paral   |2020yCat.1350....0G
3415|CPD-71 2107                                                                                              |Star                                  |17 05 41.7458043816 -71 58 33.936103236|319.8807753652192 -18.1203106217703| -5.004 -30.404    |10.49    |~              |    ~     ~    |    1|  369.864   pc  |  -1.4911     +1.4911  |paral   |2020yCat.1350....0G
3416|HD 154079                                                                                                |Star                                  |17 09 39.1857308928 -71 40 47.508096072|320.3184084000164 -18.2205403926506| -17.275 -4.916    |8.01     |F0III          |    ~     ~    |    1|  237.186   pc  |  -1.0576     +1.0576  |paral   |2020yCat.1350....0G
3417|HD 154318                                                                                                |Star                                  |17 11 17.4127 -71 43 30.597            |320.3497172 -18.3535031            |     -4.1 -13.9    |9.16     |A3V            |    ~     ~    |    0|                |                       |        |                   
3418|HD 152790                                                                                                |Star                                  |17 02 03.0258218136 -72 04 47.284744908|319.6269051821380 -17.9426904875254|   4.024 -3.312    |8.80     |K3III          |    ~     ~    |    1|  787.154   pc  | -10.5953    +10.5953  |paral   |2020yCat.1350....0G
3419|CD-71 1338                                                                                               |Spectroscopic Binary                  |17 13 11.5457675040 -72 07 25.596029964|320.0729866641439 -18.6878777664280| -6.461 -28.462    |9.93     |~              |    ~     ~    |    1|  267.673   pc  |  -0.9673     +0.9673  |paral   |2020yCat.1350....0G
3420|CD-72 1297                                                                                               |Star                                  |17 03 06.0223718304 -72 14 31.446801708|319.5317594046485 -18.0995667291078| -7.393 -14.472    |9.74     |~              |    ~     ~    |    1|  673.764   pc  |  -6.8094     +6.8094  |paral   |2020yCat.1350....0G
3421|HD 153057                                                                                                |High Proper Motion Star               |17 03 46.6706893992 -72 15 30.956285628|319.5471910674029 -18.1517602441943|-28.467 -57.851    |9.11     |F3V            |    ~     ~    |    1|  166.592   pc  |  -2.4228     +2.4228  |paral   |2020yCat.1350....0G
3422|HD 153183                                                                                                |Star                                  |17 04 33.1913337072 -72 23 13.029570456|319.4681959753386 -18.2713775560869| -6.251 -23.511    |8.96     |ApSr(Eu)       |    ~     ~    |    1|  562.968   pc  | -11.3779    +11.3779  |paral   |2020yCat.1350....0G
3423|HD 153620                                                                                                |High Proper Motion Star               |17 07 21.8334091104 -72 34 32.227225968|319.4219081567939 -18.5513844986900|-19.538 -76.980    |8.11     |F6V            |    ~     ~    |    1|  103.407   pc  |  -0.2427     +0.2427  |paral   |2020yCat.1350....0G
3424|HD 154440                                                                                                |Star                                  |17 12 11.3046525384 -72 16 26.756731632|319.8953228894809 -18.7006564660035| -14.386 -8.719    |7.93     |K4III          |    ~     ~    |    1|  602.047   pc  |  -5.5456     +5.5456  |paral   |2020yCat.1350....0G
3425|HD 154506                                                                                                |Star                                  |17 12 42.7612990608 -72 39 49.846757364|319.5654264071135 -18.9372038690912|   2.231 -7.526    |8.72     |A2V            |    ~     ~    |    1|  461.170   pc  |  -4.2323     +4.2323  |paral   |2020yCat.1350....0G
3426|HD 154595                                                                                                |Double or Multiple Star               |17 13 17.5758268320 -72 42 21.219542640|319.5510156819781 -18.9959089516129|   2.025 -7.480    |9.36     |G5III+A4/5V    |    ~     ~    |    1|  474.316   pc  |  -4.2970     +4.2970  |paral   |2020yCat.1350....0G
3427|HD 154827                                                                                                |Star                                  |17 14 28.8483120168 -72 27 30.312543204|319.8237335959714 -18.9446276423926|   0.249 -6.682    |8.48     |G8III          |    ~     ~    |    1|  479.501   pc  |  -4.0236     +4.0236  |paral   |2020yCat.1350....0G
3428|IRAS 16595-7044                                                                                          |Long-Period Variable Candidate        |17 05 08.4159943824 -70 48 18.728103276|320.8837534206883 -17.4414799243674|   0.322 -0.116    |10.83    |~              |    ~     ~    |    1| 2078.14    pc  |-132.151    +132.151   |paral   |2020yCat.1350....0G
3429|CD-69 1603                                                                                               |Star                                  |17 04 22.6055095632 -69 51 15.162347232|321.6748559883524 -16.8608790382186| -1.287 -31.682    |10.07    |~              |    ~     ~    |    1|  253.872   pc  |  -0.8185     +0.8185  |paral   |2020yCat.1350....0G
3430|CD-69 1608                                                                                               |Star                                  |17 07 15.4211967048 -70 09 30.045993948|321.5518015463607 -17.2340659657282| -7.881 -21.040    |9.21     |~              |    ~     ~    |    1|  521.757   pc  | -12.9037    +12.9037  |paral   |2020yCat.1350....0G
3431|CD-72 1308                                                                                               |Star                                  |17 10 54.3444165648 -72 17 01.087250388|319.8327400990767 -18.6225392804419|-13.462 -44.253    |9.33     |~              |    ~     ~    |    1|  287.648   pc  |  -4.2580     +4.2580  |ST-L    |2020AJ....160...83S
3432|CD-72 1312                                                                                               |Star                                  |17 12 18.3660043680 -72 20 33.157314528|319.8385991732631 -18.7439985497877|  24.153 11.512    |10.02    |~              |    ~     ~    |    1|  371.016   pc  |  -1.9822     +1.9822  |paral   |2020yCat.1350....0G
3433|CD-70 1504                                                                                               |Star                                  |17 14 49.0273377168 -70 43 00.964802100|321.4103706249771 -18.0672744517970|-13.482 -34.731    |10.01    |~              |    ~     ~    |    1|  329.186   pc  |  -1.4304     +1.4304  |paral   |2020yCat.1350....0G
3434|HIP 83781                                                                                                |High Proper Motion Star               |17 07 22.6701617832 -72 34 52.508417052|319.4174859338257 -18.5552898352198|-20.319 -77.197    |10.0     |~              |    ~     ~    |    1|  104.197   pc  |  -0.1151     +0.1151  |paral   |2020yCat.1350....0G
