C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:06:06

dec >=0&rah >=12.5&rah< 12.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2283

 #  |                                                                                                                                       identifier                                                                                                                                       |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
38  |HD 110452                                                                                                                                                                                                                                                                               |Star                                |12 40 10.6000214856 +79 16 49.580031180|123.5946952052530 +37.8333177525649|  -21.762 3.819   |9.18     |A2             |    ~     ~    |    1|  206.812   pc  |  -0.5945     +0.5945  |paral   |2020yCat.1350....0G
39  |BD+80 391                                                                                                                                                                                                                                                                               |Star                                |12 42 05.0641105824 +79 21 52.651245924|123.4776199171223 +37.7537146720821| 10.709 -17.821   |8.95     |K5             |    ~     ~    |    1|  440.781   pc  |  -3.1669     +3.1669  |paral   |2020yCat.1350....0G
40  |BD+80 392                                                                                                                                                                                                                                                                               |Star                                |12 43 30.5103046848 +79 39 12.477289824|123.3804169955216 +37.4678805160837|  -4.764 17.968   |10.98    |G              |    ~     ~    |    1|  319.570   pc  |  -1.1030     +1.1030  |paral   |2020yCat.1350....0G
41  |HD 110961                                                                                                                                                                                                                                                                               |Star                                |12 43 32.2882955760 +79 35 43.680195204|123.3815679353684 +37.5258878665454| -6.262 -17.176   |8.36     |G5             |    ~     ~    |    1|  316.166   pc  |  -1.5294     +1.5294  |paral   |2020yCat.1350....0G
42  |HD 110962                                                                                                                                                                                                                                                                               |Star                                |12 43 38.8677135456 +79 35 10.002334704|123.3757797717884 +37.5354261632947| -23.374 12.572   |9.89     |A              |    ~     ~    |    1|  640.820   pc  |  -6.8579     +6.8579  |paral   |2020yCat.1350....0G
43  |HD 109821                                                                                                                                                                                                                                                                               |Star                                |12 36 02.8872051912 +78 54 36.507346848|123.8728414013381 +38.1899806371498|   7.393 15.373   |9.46     |A0             |    ~     ~    |    1|  374.939   pc  |  -9.1095     +9.1095  |paral   |2020yCat.1350....0G
44  |HD 110520                                                                                                                                                                                                                                                                               |Star                                |12 40 51.3059741204 +79 01 29.002266252|123.5717092810124 +38.0903799417398| 27.793 -29.716   |8.28     |G0             |    ~     ~    |    1|  136.348   pc  |  -1.5207     +1.5207  |paral   |2020yCat.1350....0G
45  |BD+79 402                                                                                                                                                                                                                                                                               |Star                                |12 42 33.4608762096 +78 51 10.836002448|123.4784420902581 +38.2658175466407| -11.019 -2.135   |9.85     |F8             |    ~     ~    |    1|  378.272   pc  |  -1.8459     +1.8459  |paral   |2020yCat.1350....0G
46  |TYC 4554-16-1                                                                                                                                                                                                                                                                           |High Proper Motion Star             |12 34 51.7503914712 +79 31 25.127801688|123.8818181491082 +37.5740165381706| 95.320 -43.763   |9.94     |~              |    ~     ~    |    1|   42.926   pc  |  -0.0193     +0.0193  |paral   |2020yCat.1350....0G
47  |TYC 4554-44-1                                                                                                                                                                                                                                                                           |Star                                |12 32 06.1803463584 +79 54 19.447562376|123.9941311333629 +37.1829413989926| -9.903 -15.804   |10.77    |~              |    ~     ~    |    1|  330.502   pc  |  -1.4746     +1.4746  |paral   |2020yCat.1350....0G
