C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:37:44

dec >=0&rah >=3.5&rah< 3.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4199

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
2432|HD 22327                                                                                                 |Star                                  |03 36 54.9341069280 +35 03 07.441916580|157.2947379522488 -16.5520143062596|   8.406 -7.631    |7.44     |~                 |    ~     ~    |    1|  297.000   pc  |  -8.5739     +8.5739  |paral   |2020yCat.1350....0G
2433|HD 278813                                                                                                |Star                                  |03 33 53.1150380976 +34 17 06.265178952|157.2684669707939 -17.5398684947355|  -6.793 -4.309    |9.42     |A2                |    ~     ~    |    1|  282.223   pc  |  -1.6647     +1.6647  |paral   |2020yCat.1350....0G
2434|HD 22306                                                                                                 |Star                                  |03 36 46.9254330744 +34 20 51.312647688|157.7243098623785 -17.1247264345831| 25.047 -34.933    |6.890    |K0                |    ~     ~    |    1|  211.425   pc  |  -1.2337     +1.2337  |paral   |2020yCat.1350....0G
2435|HD 278802                                                                                                |Star                                  |03 34 26.6587983672 +35 11 10.879488312|156.7913196522248 -16.7539776812537| -35.928 -8.419    |10.92    |G0                |    ~     ~    |    1|  226.470   pc  |  -1.0719     +1.0719  |paral   |2020yCat.1350....0G
2436|HD 278866                                                                                                |Star                                  |03 36 56.6685081000 +34 14 40.070166180|157.8183951154240 -17.1853665933662|  -2.753 -6.474    |10.90    |F5                |    ~     ~    |    1|  425.441   pc  |  -3.6924     +3.6924  |paral   |2020yCat.1350....0G
2437|HD 278812                                                                                                |Star                                  |03 35 09.2984874864 +34 23 47.992370316|157.4150854622201 -17.2917183934669|   6.250 -9.909    |9.77     |K2                |    ~     ~    |    1|  380.981   pc  |  -2.7288     +2.7288  |paral   |2020yCat.1350....0G
2438|HD 278805                                                                                                |Spectroscopic Binary                  |03 33 57.8872137336 +34 52 11.563554468|156.9103513475002 -17.0651439234641|-12.634 -29.468    |10.00    |G0                |    ~     ~    |    1|  168.458   pc  |  -7.3897     +7.3897  |paral   |2020yCat.1350....0G
2439|HD 278810                                                                                                |Star                                  |03 35 46.9766791512 +34 31 00.272465868|157.4454810191601 -17.1175558728415|   4.556 -7.746    |10.28    |F5                |    ~     ~    |    1|  400.272   pc  |  -2.9961     +2.9961  |paral   |2020yCat.1350....0G
2440|HD 278807                                                                                                |Star                                  |03 36 11.5469200152 +34 48 08.787420216|157.3322319793398 -16.8400974903777| 12.544 -27.281    |10.21    |F8                |    ~     ~    |    1|  240.402   pc  |  -1.4853     +1.4853  |paral   |2020yCat.1350....0G
2441|HD 278861                                                                                                |Star                                  |03 36 50.3785598088 +34 44 35.799428364|157.4798076484163 -16.8053202949561| 14.933 -25.079    |10.56    |G0                |    ~     ~    |    1|  253.743   pc  |  -1.3457     +1.3457  |paral   |2020yCat.1350....0G
2442|HD 278822                                                                                                |Star                                  |03 33 48.9854156784 +33 41 53.053525140|157.6315345862546 -18.0144703888421|  -3.007 -1.039    |10.10    |B6III-IVSi        |    ~     ~    |    1|  562.050   pc  |  -6.5391     +6.5391  |paral   |2020yCat.1350....0G
2443|HD 22160                                                                                                 |Double or Multiple Star               |03 35 22.88543 +33 40 34.8655          |157.91632405 -17.83272553          |    16.58 -5.76    |8.751    |F0                |    ~     ~    |    0|                |                       |        |                   
2444|HD 278818                                                                                                |Star                                  |03 36 00.7794072096 +34 08 37.529757240|157.7241091699301 -17.3831991838693|   8.104 -9.515    |10.25    |A3                |    ~     ~    |    1|  329.316   pc  |  -2.8414     +2.8414  |paral   |2020yCat.1350....0G
2445|HD 278817                                                                                                |Star                                  |03 35 36.4797941904 +34 06 31.933034676|157.6771308315062 -17.4621472611963|  -9.127 -4.488    |10.60    |K0                |    ~     ~    |    1|  230.899   pc  |  -0.9383     +0.9383  |paral   |2020yCat.1350....0G
2446|HD 278819                                                                                                |Star                                  |03 35 51.7493897304 +34 02 53.092169736|157.7598457637239 -17.4778690218574|  -6.953 -0.349    |10.64    |G5                |    ~     ~    |    1|  678.242   pc  | -10.7183    +10.7183  |paral   |2020yCat.1350....0G
2447|HD 278798                                                                                                |Star                                  |03 36 02.4929728515 +35 36 07.022360780|156.7970886546534 -16.2261090973034|     -14.0 -3.9    |10.84    |G5                |    ~     ~    |    0|                |                       |        |                   
2448|HD 278799                                                                                                |Star                                  |03 35 18.1248125472 +35 34 44.787373212|156.6873584070466 -16.3357794702985| 33.524 -30.880    |10.84    |G                 |    ~     ~    |    1|  168.370   pc  |  -1.2955     +1.2955  |paral   |2020yCat.1350....0G
2449|HD 23193                                                                                                 |High Proper Motion Star               |03 44 31.4433279216 +36 27 36.339379956|157.6405833800056 -14.4895368139280| 45.385 -35.615    |5.588    |A2m               |    ~     ~    |    1|   89.557   pc  |  -0.4163     +0.4163  |paral   |2020yCat.1350....0G
2450|HD 278948                                                                                                |Star                                  |03 44 35.6183188368 +36 31 48.422010648|157.6062332308636 -14.4263513606586|   2.125 -8.994    |9.97     |K7                |    ~     ~    |    1|  524.109   pc  |  -4.7521     +4.7521  |paral   |2020yCat.1350....0G
2451|HD 278843                                                                                                |Star                                  |03 38 11.6331783096 +36 10 45.925309416|156.7879838950330 -15.5026302237714|  2.201 -23.620    |10.23    |F8                |    ~     ~    |    1|  235.206   pc  |  -1.2060     +1.2060  |paral   |2020yCat.1350....0G
2452|HD 278842                                                                                                |Star                                  |03 38 28.0429564848 +36 15 16.132461408|156.7852775445853 -15.4095184118155|   1.367 -3.427    |10.43    |A2                |    ~     ~    |    1|  468.362   pc  |  -6.1641     +6.1641  |paral   |2020yCat.1350....0G
2453|HD 22814                                                                                                 |Star                                  |03 41 22.5453986016 +36 22 45.517201320|157.1822877001360 -14.9490833173455|  -16.045 2.609    |7.70     |G5                |    ~     ~    |    1|  214.404   pc  |  -1.1538     +1.1538  |paral   |2020yCat.1350....0G
2454|V* AF Per                                                                                                |Long-Period Variable                  |03 42 22.3500239976 +36 30 37.100870028|157.2599809166364 -14.7217059888326|   0.164 -5.070    |9.51     |K0                |    ~     ~    |    1|  679.717   pc  | -24.6716    +24.6716  |paral   |2020yCat.1350....0G
2455|HD 278902                                                                                                |Star                                  |03 40 37.3177360848 +35 34 18.053753772|157.5794107527400 -15.6762803757315| -12.155 -2.168    |10.29    |F8                |    ~     ~    |    1|  280.591   pc  |  -1.8108     +1.8108  |paral   |2020yCat.1350....0G
2456|HD 22734                                                                                                 |Star                                  |03 40 39.4968984467 +35 57 48.711681571|157.3325878673644 -15.3647664446537|  9.450 -13.355    |8.55     |F5                |    ~     ~    |    1|  161.6606  pc  |  -9.1888     +9.1888  |paral   |2018yCat.1345....0G
2457|HD 278899                                                                                                |Star                                  |03 41 35.6793206256 +35 44 19.834974096|157.6316984597710 -15.4224177256800|-21.631 -19.003    |9.35     |F5                |    ~     ~    |    1|  159.591   pc  |  -0.4126     +0.4126  |paral   |2020yCat.1350....0G
2458|V* V497 Per                                                                                              |alpha2 CVn Variable                   |03 42 29.4157122648 +35 38 20.926294368|157.8435566367419 -15.3864641212624|   4.507 -7.999    |9.57     |A0IV-V            |    ~     ~    |    1|  297.354   pc  |  -2.0248     +2.0248  |paral   |2020yCat.1350....0G
2459|HD 278894                                                                                                |Star                                  |03 42 52.7168335872 +35 58 07.242832632|157.6930494949395 -15.0803543585788| 15.194 -12.951    |9.16     |K2                |    ~     ~    |    1|  409.299   pc  |  -3.6856     +3.6856  |paral   |2020yCat.1350....0G
2460|HD 278895                                                                                                |Star                                  |03 43 25.6836142560 +35 51 17.584354836|157.8567291168088 -15.0990828578786| -13.508 -6.585    |9.80     |F2                |    ~     ~    |    1|  217.505   pc  |  -0.9320     +0.9320  |paral   |2020yCat.1350....0G
2461|HD 278955                                                                                                |High Proper Motion Star               |03 44 21.8064536136 +36 00 23.461054884|157.9101666842752 -14.8620569393623| 80.797 -62.057    |9.97     |G0                |    ~     ~    |    1|  156.885   pc  |  -0.5193     +0.5193  |paral   |2020yCat.1350....0G
2462|HD 23204                                                                                                 |Double or Multiple Star               |03 44 35.10950 +35 51 20.6317          |158.04467502 -14.95068855          |    8.56 -13.33    |8.891    |A0                |    ~     ~    |    0|                |                       |        |                   
2463|HD 22373                                                                                                 |Star                                  |03 37 27.1633612824 +35 09 45.871182000|157.3142572458393 -16.3972003686982| -2.684 -36.976    |8.36     |F9V               |    ~     ~    |    1|   85.782   pc  |  -0.1847     +0.1847  |paral   |2020yCat.1350....0G
2464|HD 278857                                                                                                |High Proper Motion Star               |03 37 35.4451515216 +35 08 45.842236404|157.3481369868539 -16.3929986617392|   82.634 1.102    |9.72     |G0                |    ~     ~    |    1|  128.002   pc  |  -0.2671     +0.2671  |paral   |2020yCat.1350....0G
2465|HD 22443                                                                                                 |Spectroscopic Binary                  |03 37 54.3326869224 +34 57 54.538180056|157.5172229086366 -16.4958699591603| 29.673 -35.944    |8.62     |F8                |    ~     ~    |    1|  136.101   pc  |  -0.9798     +0.9798  |paral   |2018yCat.1345....0G
2466|HD 22480                                                                                                 |Star                                  |03 38 08.2387520664 +35 10 52.263756660|157.4173137131348 -16.2965377737131| -4.843 -13.716    |8.95     |A0                |    ~     ~    |    1|  332.624   pc  |  -5.2553     +5.2553  |paral   |2020yCat.1350....0G
2467|HD 278863                                                                                                |High Proper Motion Star               |03 39 59.3128650792 +34 39 17.254717488|158.0677511973558 -16.4745765362659| 77.019 -81.288    |9.31     |G5                |    ~     ~    |    1|   59.499   pc  |  -0.0662     +0.0662  |paral   |2020yCat.1350....0G
2468|HD 278908                                                                                                |Star                                  |03 40 28.1878656864 +35 12 37.566605952|157.7878422070697 -15.9783545068051|  13.511 -9.805    |10.8     |F0                |    ~     ~    |    1|  385.490   pc  |  -2.9869     +2.9869  |paral   |2020yCat.1350....0G
2469|HD 278904                                                                                                |High Proper Motion Star               |03 41 25.9238113608 +35 21 53.195780844|157.8473671226888 -15.7352457229009| 65.792 -63.569    |9.77     |G5                |    ~     ~    |    1|  161.018   pc  |  -1.5660     +1.5660  |paral   |2020yCat.1350....0G
2470|HD 22848                                                                                                 |Star                                  |03 41 23.1378932064 +34 58 49.902531888|158.0893861603963 -16.0411106815184| -9.632 -16.646    |7.80     |K0                |    ~     ~    |    1|  246.293   pc  |  -1.7955     +1.7955  |paral   |2020yCat.1350....0G
2471|HD 278912                                                                                                |High Proper Motion Star               |03 42 01.6610953752 +35 03 32.317105392|158.1448924584178 -15.8976313176896| 67.520 -25.663    |8.93     |F5                |    ~     ~    |    1|  121.508   pc  |  -0.3263     +0.3263  |paral   |2020yCat.1350....0G
2472|HD 278914                                                                                                |High Proper Motion Star               |03 42 03.6154036248 +35 00 02.173510440|158.1883559258599 -15.9389219973841|120.104 -20.900    |9.29     |G5                |    ~     ~    |    1|  133.763   pc  |  -0.3489     +0.3489  |paral   |2020yCat.1350....0G
2473|HD 278917                                                                                                |Star                                  |03 43 09.3630526752 +34 49 12.380655324|158.4880554762505 -15.9380172057009|  -2.539 -0.759    |10.58    |A                 |    ~     ~    |    1|  826.993   pc  | -18.3290    +18.3290  |paral   |2020yCat.1350....0G
2474|BD+34 721                                                                                                |Spectroscopic Binary                  |03 43 09.3079050888 +34 52 02.104543488|158.4570001028111 -15.9015362539171| 11.300 -21.134    |10.65    |G0                |    ~     ~    |    1|  289.009   pc  |  -1.4534     +1.4534  |paral   |2020yCat.1350....0G
2475|HD 278960                                                                                                |Star                                  |03 43 47.0113417728 +35 19 35.262030864|158.2598770896561 -15.4640696286865| 12.479 -38.520    |9.54     |K7                |    ~     ~    |    1|  432.302   pc  |  -3.6629     +3.6629  |paral   |2020yCat.1350....0G
2476|HD 278977                                                                                                |Star                                  |03 44 06.8531521704 +34 41 55.777146576|158.7263671301204 -15.9076969635125|  -6.319 -6.133    |10.70    |A2                |    ~     ~    |    1|  393.437   pc  |  -2.8327     +2.8327  |paral   |2020yCat.1350....0G
2477|HD 278961                                                                                                |Star                                  |03 44 59.9560741368 +35 11 57.051169224|158.5428084598466 -15.4056955120224|  7.187 -10.369    |9.989    |F0                |    ~     ~    |    1|  270.117   pc  |  -1.3133     +1.3133  |paral   |2020yCat.1350....0G
2478|HD 278864                                                                                                |Spectroscopic Binary                  |03 39 28.1486551392 +34 24 19.798052904|158.1422599717396 -16.7362875746655|   -3.415 1.217    |10.36    |K0                |    ~     ~    |    1|  418.200   pc  |  -9.2867     +9.2867  |paral   |2020yCat.1350....0G
2479|HD 278896                                                                                                |Star                                  |03 40 21.2002476024 +35 52 55.366957164|157.3348736284225 -15.4669735686755|  -4.552 -6.039    |10.24    |K7                |    ~     ~    |    1| 1234.111   pc  | -32.7451    +32.7451  |paral   |2020yCat.1350....0G
2480|HD 278901                                                                                                |Star                                  |03 42 00.1448668488 +35 36 16.731243864|157.7857751515161 -15.4754393448139|    9.504 1.998    |10.95    |F2                |    ~     ~    |    1|  277.269   pc  |  -1.6221     +1.6221  |paral   |2020yCat.1350....0G
2481|HD 278900                                                                                                |Star                                  |03 43 30.8242604784 +35 41 13.803233388|157.9800153939983 -15.2185435099848| 24.383 -24.312    |10.82    |F5                |    ~     ~    |    1|  173.527   pc  |  -0.5541     +0.5541  |paral   |2020yCat.1350....0G
2482|HD 278976                                                                                                |Star                                  |03 44 28.8957979608 +34 46 18.063622884|158.7390945348085 -15.8035092003327|   -5.362 2.993    |10.47    |K7                |    ~     ~    |    1| 1259.446   pc  | -41.0827    +41.0827  |paral   |2020yCat.1350....0G
2483|HD 278850                                                                                                |Red Giant Branch star Candidate       |03 38 42.5048788656 +35 32 56.624509032|157.2765070282571 -15.9351634667493|  -7.298 -1.484    |10.76    |K                 |    ~     ~    |    1| 1022.181   pc  | -17.7625    +17.7625  |paral   |2020yCat.1350....0G
2484|HD 278860                                                                                                |Star                                  |03 37 56.2386469320 +34 48 04.940282808|157.6279447933980 -16.6207770524846|    2.307 5.496    |9.66     |K7                |    ~     ~    |    1|  737.191   pc  | -11.7929    +11.7929  |paral   |2020yCat.1350....0G
2485|HD 278865                                                                                                |Star                                  |03 39 04.8946122768 +34 22 32.405486880|158.0962011198627 -16.8093497120848| 23.364 -12.937    |10.96    |G0                |    ~     ~    |    1|  298.045   pc  |  -1.8477     +1.8477  |paral   |2020yCat.1350....0G
2486|HD 278868                                                                                                |Star                                  |03 39 10.1441746776 +34 12 59.239697076|158.2143684552186 -16.9228712739448|  17.042 16.460    |10.73    |F8                |    ~     ~    |    1|  181.600   pc  |  -0.6860     +0.6860  |paral   |2020yCat.1350....0G
2487|HD 278867                                                                                                |Star                                  |03 38 07.592 +34 16 13.22              |158.002729 -17.014237              |       -6.7 6.7    |10.23    |F5                |    ~     ~    |    0|                |                       |        |                   
2488|HD 278924                                                                                                |High Proper Motion Star               |03 41 22.1634937152 +34 13 47.684679024|158.5766235167853 -16.6283213868025|-20.454 -59.720    |10.52    |G0                |    ~     ~    |    1|  208.021   pc  |  -0.6880     +0.6880  |paral   |2020yCat.1350....0G
2489|HD 278923                                                                                                |Star                                  |03 43 18.6814900440 +34 13 41.655639576|158.9029150572045 -16.3768240092404| 23.381 -16.200    |10.46    |F0                |    ~     ~    |    1|  281.341   pc  |  -1.5197     +1.5197  |paral   |2020yCat.1350....0G
2490|HD 278978                                                                                                |Star                                  |03 43 48.4958328624 +34 23 36.625785540|158.8767646771660 -16.1839181053758|  -3.298 -1.430    |10.00    |G0                |    ~     ~    |    1|  347.029   pc  |  -1.9871     +1.9871  |paral   |2020yCat.1350....0G
2491|HD 278980                                                                                                |Star                                  |03 44 10.2324819480 +34 19 24.297840336|158.9832404483429 -16.1907649995601|  -1.971 -7.020    |10.51    |B8                |    ~     ~    |    1|  415.818   pc  | -28.9961    +28.9961  |paral   |2020yCat.1350....0G
2492|HD 278855                                                                                                |Star                                  |03 37 50.2268999136 +35 20 03.675546096|157.2687532960008 -16.2136183634010| 26.009 -24.296    |10.75    |F                 |    ~     ~    |    1|  417.049   pc  |  -3.4438     +3.4438  |paral   |2020yCat.1350....0G
2493|HD 278859                                                                                                |Star                                  |03 38 00.4639286616 +34 50 19.108165596|157.6158186183847 -16.5825302300235|  8.747 -34.893    |10.65    |G0                |    ~     ~    |    1|  183.281   pc  |  -0.5677     +0.5677  |paral   |2020yCat.1350....0G
2494|HD 278858                                                                                                |High Proper Motion Star               |03 39 15.5525486616 +35 01 57.318518712|157.7009057080260 -16.2714978437650| 69.185 -55.934    |10.13    |G5                |    ~     ~    |    1|  107.515   pc  |  -1.6022     +1.6022  |paral   |2020yCat.1350....0G
2495|HD 278909                                                                                                |Star                                  |03 40 28.3767092400 +35 08 06.783443880|157.8370882613123 -16.0368125617349|  -2.348 -0.049    |9.94     |K0                |    ~     ~    |    1|  566.059   pc  |  -5.9599     +5.9599  |paral   |2020yCat.1350....0G
2496|HD 278911                                                                                                |Star                                  |03 41 23.5019520696 +35 03 09.449060724|158.0434863693261 -15.9840761822943|   8.329 -9.022    |10.68    |A3                |    ~     ~    |    1|  643.376   pc  |  -9.1893     +9.1893  |paral   |2020yCat.1350....0G
2497|HD 278905                                                                                                |Star                                  |03 41 59.9365328976 +35 18 37.836464760|157.9763373524940 -15.7052793361021| 21.603 -38.052    |10.50    |F8                |    ~     ~    |    1|  235.838   pc  |  -0.8454     +0.8454  |paral   |2020yCat.1350....0G
2498|HD 278913                                                                                                |High Proper Motion Star               |03 42 39.5607411504 +35 05 03.207410448|158.2330019697363 -15.7968500665189|-37.299 -77.209    |10.12    |G0                |    ~     ~    |    1|  151.153   pc  |  -0.4158     +0.4158  |paral   |2020yCat.1350....0G
2499|HD 278916                                                                                                |Star                                  |03 42 49.3914160320 +34 50 09.249677772|158.4225297611935 -15.9687805748050|  9.729 -15.702    |10.38    |F8                |    ~     ~    |    1|  180.248   pc  |  -0.5556     +0.5556  |paral   |2020yCat.1350....0G
2500|HD 278871                                                                                                |Star                                  |03 38 54.2854291896 +33 51 27.678780360|158.4028739201507 -17.2379003095623|  -3.073 -1.417    |9.38     |F2                |    ~     ~    |    1|  313.224   pc  |  -1.7660     +1.7660  |paral   |2020yCat.1350....0G
2501|HD 278870                                                                                                |Star                                  |03 39 46.7130800928 +34 03 07.946465976|158.4244517518388 -16.9728627873348|   -5.346 0.388    |9.53     |K7                |    ~     ~    |    1|  998.203   pc  | -34.3761    +34.3761  |paral   |2020yCat.1350....0G
2502|HD 22692                                                                                                 |Double or Multiple Star               |03 40 07.18770 +34 06 59.2638          |158.44025039 -16.87856295          |    -75.09 0.94    |8.48     |F5                |    ~     ~    |    0|                |                       |        |                   
2503|HD 278926                                                                                                |High Proper Motion Star               |03 40 24.9246323112 +33 57 29.006565408|158.5937004037280 -16.9639475702914| 18.864 -51.217    |10.55    |F2                |    ~     ~    |    1|  126.204   pc  |  -0.3074     +0.3074  |paral   |2020yCat.1350....0G
2504|AKARI-IRC-V1 J0339155+340739                                                                             |Long-Period Variable Candidate        |03 39 15.5231170032 +34 07 39.556631640|158.2872821475717 -16.9808797451272|  -0.049 -1.325    |9.94     |K0                |    ~     ~    |    1| 1597.19    pc  |-102.806    +102.806   |paral   |2020yCat.1350....0G
2505|HD 278844                                                                                                |Star                                  |03 38 05.5331842920 +36 08 27.570102396|156.7956743501777 -15.5455628333902|  7.821 -20.770    |10.02    |F2                |    ~     ~    |    1|  309.167   pc  |  -1.5007     +1.5007  |paral   |2020yCat.1350....0G
2506|HD 278892                                                                                                |Star                                  |03 40 57.6533541120 +36 14 49.451494668|157.1996464215763 -15.1046182422502|   3.256 -0.166    |10.58    |G5                |    ~     ~    |    1|  682.594   pc  |  -8.4334     +8.4334  |paral   |2020yCat.1350....0G
2507|HD 278897                                                                                                |Star                                  |03 40 10.0168461360 +35 49 02.460688284|157.3457922235722 -15.5411454199753|  13.850 -0.567    |10.54    |K5                |    ~     ~    |    1| 1377.790   pc  | -41.5729    +41.5729  |paral   |2020yCat.1350....0G
2508|HD 278919                                                                                                |Star                                  |03 41 02.7507381744 +34 41 11.835850416|158.2241225683352 -16.3140548592652|   4.410 -7.089    |10.46    |A7                |    ~     ~    |    1|  304.897   pc  |  -1.8964     +1.8964  |paral   |2020yCat.1350....0G
2509|HD 278954                                                                                                |Star                                  |03 44 03.6428095248 +36 06 22.006317816|157.7960898803515 -14.8232847293950|  9.151 -19.478    |10.58    |G5                |    ~     ~    |    1|  264.089   pc  |  -8.2506     +8.2506  |paral   |2020yCat.1350....0G
2510|HD 22004                                                                                                 |Star                                  |03 34 07.4447415720 +36 05 05.899347384|156.1703868811365 -16.0779696365610|   3.950 -9.145    |9.37     |B9                |    ~     ~    |    1|  391.359   pc  |  -4.4417     +4.4417  |paral   |2020yCat.1350....0G
2511|HD 278791                                                                                                |Star                                  |03 35 10.2371664312 +36 08 25.230698844|156.3106137856450 -15.9060113528077|  8.339 -10.707    |10.02    |K0                |    ~     ~    |    1|  580.080   pc  |  -4.4417     +4.4417  |paral   |2020yCat.1350....0G
2512|HD 278790                                                                                                |Star                                  |03 35 13.2995460624 +36 09 54.596669220|156.3034819718789 -15.8800242915973|  -5.250 -0.377    |10.35    |K2                |    ~     ~    |    1|  589.727   pc  |  -5.6688     +5.6688  |paral   |2020yCat.1350....0G
2513|HD 278888                                                                                                |Star                                  |03 43 17.9270739528 +36 50 55.586367780|157.1910828215185 -14.3414385488404|  13.217 -8.505    |8.94     |K8                |    ~     ~    |    1|  491.135   pc  |  -5.7891     +5.7891  |paral   |2020yCat.1350....0G
2514|HD 23130                                                                                                 |Star                                  |03 44 03.0525336480 +36 52 37.284602916|157.2937290008775 -14.2251075509739| 17.000 -19.913    |8.89     |A0                |    ~     ~    |    1|  215.959   pc  |  -1.0214     +1.0214  |paral   |2020yCat.1350....0G
2515|HD 278841                                                                                                |Star                                  |03 39 34.3603505016 +36 27 11.437083072|156.8401071349816 -15.1159081911852| 27.699 -31.502    |10.17    |G0                |    ~     ~    |    1|  137.986   pc  |  -0.4874     +0.4874  |paral   |2020yCat.1350....0G
2516|HD 278840                                                                                                |Spectroscopic Binary                  |03 39 52.3727370216 +36 34 08.889214584|156.8150874466100 -14.9874502178953|  -10.783 0.606    |10.89    |G0                |    ~     ~    |    1|  153.299   pc  |  -2.6133     +2.6133  |paral   |2020yCat.1350....0G
2517|TYC 2363-6-1                                                                                             |Star                                  |03 41 03.4508682456 +35 06 31.028832072|157.9515655843317 -15.9830751543263|  -2.557 -1.287    |10.84    |~                 |    ~     ~    |    1|  615.082   pc  |  -7.9070     +7.9070  |paral   |2020yCat.1350....0G
2518|HD 278915                                                                                                |Star                                  |03 41 42.7817268336 +34 56 03.889933188|158.1738539085137 -16.0350839596207|   1.317 -7.987    |10.31    |G5                |    ~     ~    |    1|  572.213   pc  | -22.2324    +22.2324  |paral   |2020yCat.1350....0G
2519|HD 278852                                                                                                |Star                                  |03 38 09.5721757584 +35 25 56.297906220|157.2598843751099 -16.0959726578491|    0.726 9.180    |10.46    |F2                |    ~     ~    |    1|  319.264   pc  |  -2.0182     +2.0182  |paral   |2020yCat.1350....0G
2520|TYC 2367-1401-1                                                                                          |Star                                  |03 41 00.9873137040 +35 47 04.459484004|157.5069746168050 -15.4597826543350|  4.393 -14.092    |10.84    |~                 |    ~     ~    |    1|  638.651   pc  |  -6.7707     +6.7707  |paral   |2020yCat.1350....0G
2521|HD 278830                                                                                                |Star                                  |03 34 36.3529788696 +33 00 03.528272232|158.2173996173658 -18.4655863718048|   4.327 -1.373    |9.09     |K2                |    ~     ~    |    1|  401.123   pc  |  -3.5720     +3.5720  |paral   |2020yCat.1350....0G
2522|HD 278877                                                                                                |Star                                  |03 36 50.5126949016 +33 06 36.073741464|158.5354535932839 -18.0911621374664|  1.574 -14.027    |10.31    |G0                |    ~     ~    |    1|  226.178   pc  |  -2.4760     +2.4760  |paral   |2020yCat.1350....0G
2523|HD 278826                                                                                                |Star                                  |03 36 12.2417326584 +33 25 02.227441440|158.2256986026816 -17.9317401156253| 25.652 -30.613    |10.98    |K0                |    ~     ~    |    1|  145.395   pc  |  -0.5898     +0.5898  |paral   |2020yCat.1350....0G
2524|HD 278831                                                                                                |Star                                  |03 34 05.6220371856 +32 49 33.123459144|158.2409298434274 -18.6698451066319| 24.373 -17.170    |10.91    |G5                |    ~     ~    |    1|  171.942   pc  |  -0.5795     +0.5795  |paral   |2020yCat.1350....0G
2525|HD 278832                                                                                                |Star                                  |03 35 26.9108826288 +32 42 58.962559284|158.5490754186639 -18.5813676986423|   2.224 -9.632    |10.98    |A3                |    ~     ~    |    1|  441.189   pc  |  -3.6983     +3.6983  |paral   |2020yCat.1350....0G
2526|HD 22005                                                                                                 |Star                                  |03 33 55.60198 +32 05 00.8849          |158.69266476 -19.27791069          |     5.88 -7.74    |8.672    |K2                |    ~     ~    |    0|                |                       |        |                   
2527|UCAC4 611-010578                                                                                         |High Proper Motion Star               |03 35 00.9815676456 +32 00 55.973147004|158.9297610979029 -19.1894412365729| 54.401 -34.985    |10.60    |~                 |    ~     ~    |    1|   71.658   pc  |  -0.1561     +0.1561  |paral   |2020yCat.1350....0G
2528|BD+31 617                                                                                                |High Proper Motion Star               |03 35 21.6923469576 +31 42 19.463788980|159.1938326374018 -19.3880239660323|  62.590 -0.079    |9.08     |F8                |    ~     ~    |    1|   92.242   pc  |  -0.1736     +0.1736  |paral   |2020yCat.1350....0G
2529|HD 22299                                                                                                 |High Proper Motion Star               |03 36 33.4766654400 +32 01 37.249421664|159.1938311511691 -18.9781974528218| 40.446 -35.384    |8.688    |F5                |    ~     ~    |    1|  282.231   pc  |  -5.7112     +5.7112  |paral   |2020yCat.1350....0G
2530|BD+31 622                                                                                                |Star                                  |03 36 41.4487378656 +31 31 01.191858276|159.5530084662209 -19.3600554952548|  15.010 -8.602    |9.84     |K5III             |    ~     ~    |    1|  542.947   pc  | -13.4130    +13.4130  |paral   |2020yCat.1350....0G
2531|HD 22179                                                                                                 |T Tauri Star                          |03 35 29.9010684744 +31 13 37.444642500|159.5327006717996 -19.7453857950967| 40.946 -45.499    |8.932    |G5IV              |    ~     ~    |    1|   70.300   pc  |  -0.1008     +0.1008  |paral   |2020yCat.1350....0G
2532|HD 22307                                                                                                 |Star                                  |03 36 35.6202497664 +31 04 28.593962652|159.8283819606673 -19.7189291420000| -11.736 -8.739    |8.65     |F0                |    ~     ~    |    1|  144.281   pc  |  -0.7619     +0.7619  |paral   |2020yCat.1350....0G
2533|V* IX Per                                                                                                |Spectroscopic Binary                  |03 35 01.2019819320 +32 01 00.326886888|158.9296200164802 -19.1880090328788| 54.487 -34.865    |6.68     |F4IV              |    ~     ~    |    1|   83.784   pc  |  -4.3691     +4.3691  |paral   |2020yCat.1350....0G
2534|HD 278872                                                                                                |Star                                  |03 39 19.3294795104 +33 39 53.050353372|158.5998018976255 -17.3348549869293|    2.832 3.104    |8.61     |M0                |    ~     ~    |    1|  842.815   pc  | -18.3977    +18.3977  |paral   |2020yCat.1350....0G
2535|HD 278932                                                                                                |High Proper Motion Star               |03 40 25.8505964592 +33 42 28.439406828|158.7600953902608 -17.1570406158867|119.820 -22.915    |8.91     |G5                |    ~     ~    |    1|  291.562   pc  |  -2.0997     +2.0997  |paral   |2020yCat.1350....0G
2536|HD 278933                                                                                                |Star                                  |03 40 44.7111231504 +33 38 04.637607648|158.8615013751505 -17.1731506836382|  -6.480 -3.276    |8.69     |K0                |    ~     ~    |    1|  416.129   pc  | -29.5936    +29.5936  |paral   |2020yCat.1350....0G
