C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:37:44

dec >=0&rah >=3.5&rah< 3.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4199

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
43  |HD 21684                                                                                                 |Star                                  |03 31 30.3000043824 +40 45 35.815189572|152.8736420549860 -12.6252549655581| 19.962 -47.634    |6.49     |A5                |    ~     ~    |    1|  129.685   pc  |  -0.6458     +0.6458  |paral   |2020yCat.1350....0G
44  |HD 21795                                                                                                 |Star                                  |03 32 17.6013740064 +40 55 14.646763812|152.9005032133110 -12.4075468101877| 24.003 -15.695    |6.71     |B9                |    ~     ~    |    1|  205.478   pc  |  -5.7421     +5.7421  |paral   |2020yCat.1350....0G
45  |HD 275451                                                                                                |Star                                  |03 33 01.6233469872 +40 38 02.073138288|153.1886217104589 -12.5573060742384|   21.309 1.771    |10.84    |G0                |    ~     ~    |    1|  351.161   pc  |  -1.9854     +1.9854  |paral   |2020yCat.1350....0G
46  |HD 275437                                                                                                |Star                                  |03 33 07.1778488160 +41 19 12.957860316|152.7883283239964 -11.9930361274346|  -1.310 -3.393    |9.36     |A2                |    ~     ~    |    1|  251.604   pc  |  -1.1015     +1.1015  |paral   |2020yCat.1350....0G
47  |HD 275438                                                                                                |Star                                  |03 33 31.3782159768 +41 22 10.816786740|152.8209604509891 -11.9084643989503| 16.068 -12.443    |9.64     |M0                |    ~     ~    |    1|  612.745   pc  |  -6.5329     +6.5329  |paral   |2020yCat.1350....0G
48  |HD 275440                                                                                                |Star                                  |03 33 53.8163577624 +41 09 50.608379052|153.0032322062743 -12.0326473243891|   1.391 -7.343    |9.93     |A0                |    ~     ~    |    1|  474.721   pc  |  -8.4510     +8.4510  |paral   |2020yCat.1350....0G
49  |HD 21961                                                                                                 |Star                                  |03 33 55.4676028536 +40 49 36.449194332|153.2120056453731 -12.3012091691119|  -3.280 26.403    |9.14     |F5                |    ~     ~    |    1|  182.033   pc  |  -2.1804     +2.1804  |paral   |2020yCat.1350....0G
50  |HD 275445                                                                                                |Star                                  |03 33 59.9964142920 +40 58 28.921481256|153.1340041017062 -12.1736567938847|   4.304 -8.599    |8.71     |M0                |    ~     ~    |    1|  862.664   pc  | -17.2652    +17.2652  |paral   |2020yCat.1350....0G
51  |HD 275452                                                                                                |Star                                  |03 33 59.5181192640 +40 31 41.749386276|153.4039501772670 -12.5338969038342|  -3.244 -4.811    |9.86     |K7                |    ~     ~    |    1|  870.777   pc  | -13.6485    +13.6485  |paral   |2020yCat.1350....0G
52  |HD 275529                                                                                                |Star                                  |03 35 06.2941950888 +40 44 08.522165940|153.4512902755148 -12.2415310028824|  14.917 -6.071    |9.02     |K0                |    ~     ~    |    1|  328.149   pc  |  -2.2505     +2.2505  |paral   |2020yCat.1350....0G
53  |HD 22352                                                                                                 |Star                                  |03 37 22.4557656984 +40 32 17.142185328|153.9249875775104 -12.1414397033005|-19.858 -18.634    |7.81     |K0                |    ~     ~    |    1|  248.948   pc  |  -1.6361     +1.6361  |paral   |2020yCat.1350....0G
54  |HD 275603                                                                                                |High Proper Motion Star               |03 38 19.3220426760 +40 50 03.050754828|153.8885338486815 -11.7969447663683| 68.566 -54.855    |9.12     |G0                |    ~     ~    |    1|  188.097   pc  |  -0.6510     +0.6510  |paral   |2020yCat.1350....0G
55  |HD 275602                                                                                                |High Proper Motion Star               |03 38 15.9038251704 +40 50 06.129750300|153.8792398819174 -11.8027831354155| 35.686 -50.761    |9.36     |G0                |    ~     ~    |    1|  158.391   pc  |  -1.6784     +1.6784  |paral   |2020yCat.1350....0G
56  |HD 275611                                                                                                |Star                                  |03 40 03.8511045336 +40 31 28.771748400|154.3486973063148 -11.8420361392556|-30.366 -35.400    |10.81    |F2                |    ~     ~    |    1|  349.540   pc  | -10.6295    +10.6295  |paral   |2020yCat.1350....0G
57  |HD 275460                                                                                                |High Proper Motion Star               |03 33 53.9862209952 +40 14 34.860099120|153.5631066971644 -12.7738112871662| 70.759 -40.346    |9.60     |G0                |    ~     ~    |    1|  166.328   pc  |  -0.4924     +0.4924  |paral   |2020yCat.1350....0G
58  |HD 275461                                                                                                |Star                                  |03 34 24.1210959744 +40 15 02.581934508|153.6374011774058 -12.7106213896248|  -2.060 -2.685    |10.30    |F8                |    ~     ~    |    1| 1050.862   pc  | -22.6384    +22.6384  |paral   |2020yCat.1350....0G
59  |HD 22030                                                                                                 |Star                                  |03 34 36.3881958216 +40 18 19.774091772|153.6360626427124 -12.6433959669276|   9.562 -4.627    |7.69     |K0                |    ~     ~    |    1|  285.608   pc  |  -1.7946     +1.7946  |paral   |2020yCat.1350....0G
60  |HD 22123                                                                                                 |Star                                  |03 35 26.2321405920 +40 21 41.578912116|153.7319050756289 -12.5039131372653| 29.310 -22.652    |8.86     |F2                |    ~     ~    |    1|  215.969   pc  |  -1.5998     +1.5998  |paral   |2020yCat.1350....0G
61  |HD 275537                                                                                                |Star                                  |03 36 08.8951390224 +40 16 02.549157816|153.9008577399219 -12.4981059099535|  -2.161 -2.773    |10.12    |F2                |    ~     ~    |    1|  244.075   pc  |  -1.1617     +1.1617  |paral   |2020yCat.1350....0G
62  |V* AB Per                                                                                                |Eclipsing Binary                      |03 37 45.2030831 +40 45 49.369859      |153.8444403171 -11.9181266092      |      1.31 4.84    |9.72     |A5V               |0.0033  0.0    |    0|                |                       |        |                   
63  |HD 275522                                                                                                |Star                                  |03 35 22.5370503384 +41 18 25.235063028|153.1448959461701 -11.7524701585445|  18.374 -6.856    |10.89    |F2                |    ~     ~    |    1|  454.360   pc  |  -4.8101     +4.8101  |paral   |2020yCat.1350....0G
64  |HD 275601                                                                                                |Star                                  |03 37 41.0973757584 +41 01 13.362007656|153.6756946855152 -11.7212420070389|   4.555 -4.514    |10.90    |A0                |    ~     ~    |    1|  607.681   pc  |  -9.5643     +9.5643  |paral   |2020yCat.1350....0G
65  |HD 275535                                                                                                |Star                                  |03 35 32.3654450616 +40 33 30.436022160|153.6272867585455 -12.3344705338282|    2.227 6.416    |10.46    |F0                |    ~     ~    |    1|  335.076   pc  |  -2.1669     +2.1669  |paral   |2020yCat.1350....0G
66  |HD 275526                                                                                                |Double or Multiple Star               |03 36 04.613880 +40 55 18.50412        |153.488310826 -11.982430585        |      -0.4 -5.2    |10.887   |K7                |    ~     ~    |    0|                |                       |        |                   
67  |HD 275605                                                                                                |Star                                  |03 38 06.8214125304 +40 44 58.302923892|153.9087653051812 -11.8882077368203| 22.482 -28.460    |10.53    |F5                |    ~     ~    |    1|  412.984   pc  |  -3.8205     +3.8205  |paral   |2020yCat.1350....0G
68  |HD 275442                                                                                                |Star                                  |03 32 00.2817854208 +41 07 20.334803520|152.7341272294092 -12.2764645517654|   -5.618 0.594    |10.40    |G5                |    ~     ~    |    1|  726.006   pc  |  -8.0644     +8.0644  |paral   |2020yCat.1350....0G
69  |HD 275439                                                                                                |Star                                  |03 34 08.5049009424 +41 19 47.243476272|152.9407381497573 -11.8718785604270|  -7.903 -1.769    |10.70    |G5                |    ~     ~    |    1|  322.477   pc  |  -1.5391     +1.5391  |paral   |2020yCat.1350....0G
