C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:41:41

dec< 0&rah >=4.0&rah< 4.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 3224

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
39  |NGC 1507a                          KPG 97a                                                               |Galaxy in Pair of Galaxies         |04 04 12.0 -02 12 00                   |193.0336 -37.6172                  |            ~ ~   |     ~   |~              |    ~     ~    |    0|                |                       |        |                   
40  |NGC 1507B                          2MASX J04042802-0210254                                               |Galaxy in Pair of Galaxies         |04 04 28.022 -02 10 25.41              |193.051804 -37.546944              |            ~ ~   |     ~   |~              |0.480 0.173    |    0|                |                       |        |                   
41  |BD-02 775                                                                                                |Star                               |04 01 35.7690768600 -02 13 04.326882204|192.6006095277582 -38.1709794326730|  -4.071 -3.014   |10.40    |~              |    ~     ~    |    1|  332.259   pc  |  -2.8593     +2.8593  |paral   |2020yCat.1350....0G
42  |BD-02 813                                                                                                |Star                               |04 07 13.0684393944 -02 08 12.841737684|193.4831934587349 -36.9505432415958| 30.911 -11.728   |9.94     |~              |    ~     ~    |    1|  525.762   pc  |  -3.9805     +3.9805  |paral   |2020yCat.1350....0G
43  |TYC 4725-976-1                                                                                           |Star                               |04 00 26.4794784456 -00 05 17.026710072|190.1674584731632 -37.2155276919787|    0.310 0.808   |10.43    |~              |    ~     ~    |    1|  520.779   pc  |  -7.7566     +7.7566  |paral   |2020yCat.1350....0G
44  |TYC 4725-460-1                                                                                           |High Proper Motion Star            |04 00 52.0923101544 -01 30 38.606859252|191.7249971231940 -37.9307421342589| -3.790 -63.718   |10.45    |~              |    ~     ~    |    1|  218.022   pc  |  -0.8033     +0.8033  |paral   |2020yCat.1350....0G
45  |BD-01 573                                                                                                |High Proper Motion Star            |04 02 16.9819715736 -00 50 24.868767984|191.2736509045129 -37.2623720504231| -6.107 -80.957   |10.59    |~              |    ~     ~    |    1|  208.134   pc  |  -0.7148     +0.7148  |paral   |2020yCat.1350....0G
46  |TYC 4725-332-1                                                                                           |Star                               |04 03 16.5983481984 -00 28 41.662105032|191.0738201532402 -36.8533368518979| 33.056 -29.352   |10.9     |~              |    ~     ~    |    1|  257.043   pc  |  -6.8318     +6.8318  |paral   |2020yCat.1350....0G
47  |BD-02 792                                                                                                |Star                               |04 04 31.2365918472 -02 14 32.527140756|193.1335690951370 -37.5732101340512|-10.519 -10.670   |10.346   |~              |    ~     ~    |    1|  359.097   pc  |  -7.1530     +7.1530  |ST-L    |2020AJ....160...83S
48  |BD-02 796                                                                                                |Star                               |04 04 49.6269740856 -01 59 10.335211404|192.9160335992628 -37.3690626411396|  11.784 -1.233   |9.76     |~              |    ~     ~    |    1|  549.058   pc  |  -5.8484     +5.8484  |paral   |2020yCat.1350....0G
