C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:22:25

dec >=0&rah >=1.25&rah< 1.5&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4907

 #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------|-----|----------------|-----------------------|--------|-------------------
41  |HD 7882                                                                                                                                     |Star                                  |01 19 16.3382882808 +44 36 11.786985648|128.1352865563663 -17.9870743925679|  -5.648 -4.382   |8.63     |A0                  |    ~     ~    |    1|  388.350   pc  | -10.5872    +10.5872  |paral   |2020yCat.1350....0G
42  |HD 7903                                                                                                                                     |Star                                  |01 19 26.3018196864 +44 27 07.853450328|128.1842918315205 -18.1338198459500|  13.423 -4.916   |9.34     |A5                  |    ~     ~    |    1|  350.926   pc  |  -2.2290     +2.2290  |paral   |2020yCat.1350....0G
43  |HD 8162                                                                                                                                     |Star                                  |01 21 46.1493746520 +44 39 54.963811116|128.5911568341946 -17.8729323474359|  -28.515 8.475   |10.41    |F8                  |    ~     ~    |    1|  214.583   pc  |  -0.7275     +0.7275  |paral   |2020yCat.1350....0G
44  |HD 7521                                                                                                                                     |Star                                  |01 16 01.4979032328 +44 10 41.534336100|127.5758599559393 -18.4717304217826|   18.460 1.806   |10.28    |F8                  |    ~     ~    |    1|  359.544   pc  |  -2.3657     +2.3657  |paral   |2020yCat.1350....0G
45  |HD 7699                                                                                                                                     |Star                                  |01 17 30.4506377064 +44 03 31.940838000|127.8679875228891 -18.5628765708067|   -6.719 4.237   |8.41     |~                   |    ~     ~    |    1|  211.233   pc  |  -5.3008     +5.3008  |paral   |2020yCat.1350....0G
46  |HD 7800                                                                                                                                     |Star                                  |01 18 23.9632292448 +43 58 29.102171736|128.0457893258625 -18.6291215625687|   -2.109 1.559   |10.80    |A2                  |    ~     ~    |    1| 1330.318   pc  | -56.1009    +56.1009  |paral   |2020yCat.1350....0G
47  |HD 7863                                                                                                                                     |Star                                  |01 19 01.2376775880 +44 06 47.456109792|128.1465405400398 -18.4791105017259|  -2.229 -7.127   |9.79     |K2                  |    ~     ~    |    1|  652.529   pc  |  -7.3236     +7.3236  |paral   |2020yCat.1350....0G
48  |HD 7917                                                                                                                                     |Star                                  |01 19 31.7404361424 +43 55 51.679227756|128.2641801411242 -18.6496923754947|   9.469 -7.357   |10.12    |K0                  |    ~     ~    |    1|  659.065   pc  |  -6.1680     +6.1680  |paral   |2020yCat.1350....0G
49  |HD 7995                                                                                                                                     |Double or Multiple Star               |01 20 08.22062 +43 57 09.4133          |128.37625577 -18.61554215          |    17.72 -7.41   |8.40     |G5                  |    ~     ~    |    0|                |                       |        |                   
50  |IRAS 01171+4458                                                                                                                             |Star                                  |01 20 03.9102418488 +45 14 12.260247360|128.2053196323967 -17.3416879914428|   6.152 -7.062   |9.89     |~                   |    ~     ~    |    1| 1712.036   pc  |-110.7943   +110.7943  |paral   |2020yCat.1350....0G
