C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:07:16

dec< 0&rah >=12.5&rah< 12.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5075

 #  |                                                                                  identifier                                                                                   |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
39  |TYC 4951-848-1                                                                                                                                                                 |Star                                  |12 31 16.6380988320 -03 32 06.500401440|293.1429293451828 +58.9528974206932|   -0.599 5.392   |10.675   |~              |    ~     ~    |    1|  971.426   pc  | -49.4300    +49.4300    |ST-L    |2020AJ....160...83S
40  |HD 109072                                                                                                                                                                      |Star                                  |12 31 57.2888011320 -05 47 20.527293192|294.0697397162419 +56.7470938650690|   18.536 7.407   |8.45     |K0III          |    ~     ~    |    1|  331.587   pc  |  -2.7378     +2.7378    |paral   |2020yCat.1350....0G
41  |HD 109206                                                                                                                                                                      |Star                                  |12 33 03.1987638648 -05 39 42.513428196|294.5334291310089 +56.9098460946137|    6.588 2.065   |9.34     |F2V            |    ~     ~    |    1|  368.297   pc  | -16.4263    +16.4263    |paral   |2020yCat.1350....0G
42  |HD 108796                                                                                                                                                                      |High Proper Motion Star               |12 30 01.9243423608 -06 01 24.267605628|293.2715904538294 +56.4463091577801|-108.792 -67.496  |7.34     |F3IV/V         |    ~     ~    |    1|   65.725   pc  |  -0.1011     +0.1011    |paral   |2020yCat.1350....0G
43  |HD 108837                                                                                                                                                                      |High Proper Motion Star               |12 30 23.5216377288 -06 01 48.437072940|293.4335194698821 +56.4529981848890|-58.946 -11.141   |8.67     |K0III          |    ~     ~    |    1|  196.012   pc  |  -2.6330     +2.6330    |ST-L    |2020AJ....160...83S
44  |HD 109140                                                                                                                                                                      |High Proper Motion Star               |12 32 30.4981945680 -06 05 52.777513284|294.3934501958818 +56.4596062107885|  -57.813 1.226   |9.96     |F7V            |    ~     ~    |    1|  286.788   pc  |  -3.9725     +3.9725    |paral   |2020yCat.1350....0G
45  |BD-05 3525                                                                                                                                                                     |Star                                  |12 33 30.0928743240 -06 33 30.449487960|294.9406243688732 +56.0347363219523|  -10.358 0.229   |9.76     |K5             |    ~     ~    |    1| 1081.432   pc  | -29.7052    +29.7052    |paral   |2020yCat.1350....0G
46  |HD 108797                                                                                                                                                                      |High Proper Motion Star               |12 30 04.9526469360 -06 59 33.763309872|293.5503646492955 +55.4895590060636|-96.245 -73.453   |8.79     |F7V            |    ~     ~    |    1|   95.481   pc  |  -0.1632     +0.1632    |paral   |2020yCat.1350....0G
47  |HD 108808                                                                                                                                                                      |Double or Multiple Star               |12 30 09.0010038096 -06 53 04.695209700|293.5517279922347 +55.5989202356122|-72.442 -25.707   |9.559    |G2V            |    ~     ~    |    1|  119.106   pc  |  -4.9790     +4.9790    |ST-L    |2020AJ....160...83S
48  |BD-06 3585                                                                                                                                                                     |Star                                  |12 30 35.1797923056 -07 23 04.470801252|293.8665923969744 +55.1197328878762|   9.122 -0.737   |10.07    |~              |    ~     ~    |    1|  567.795   pc  |  -5.3517     +5.3517    |paral   |2020yCat.1350....0G
