C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:34:56

dec< 0&rah >=16.0&rah< 16.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6325

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
34  |HD 143716                                                             |Star                              |16 03 38.7926403960 -41 01 13.768513752|337.5099379589017 +08.6022271518969|  -1.948 -9.527    |9.38     |G8/K0            |    ~     ~    |    1|  730.674   pc  | -23.2240    +23.2240  |paral   |2020yCat.1350....0G
35  |HD 143824                                                             |Star                              |16 04 15.5429030760 -40 50 40.672610736|337.7159979906349 +08.6551845036982|-19.059 -31.204    |7.56     |A1V              |    ~     ~    |    1|  138.529   pc  |  -0.6103     +0.6103  |paral   |2020yCat.1350....0G
36  |HD 143880                                                             |Star                              |16 04 32.6922856272 -41 04 59.234773188|337.5945293447071 +08.4422054132390|-27.246 -35.389    |10.26    |F5V              |    ~     ~    |    1|  265.866   pc  |  -1.7954     +1.7954  |paral   |2020yCat.1350....0G
37  |HD 143940                                                             |Double or Multiple Star           |16 04 48.1000 -40 24 10.104            |338.0936189 +08.9131346            |    -3.00 -0.80    |9.00     |A0V+K(0)(III)    |    ~     ~    |    0|                |                       |        |                   
38  |HD 143941                                                             |Double or Multiple Star           |16 04 50.7494631720 -40 44 15.581829408|337.8719042476099 +08.6597813716361|-10.633 -10.225    |7.84     |F7V              |    ~     ~    |    0|                |                       |        |                   
39  |HD 143942                                                             |Star                              |16 04 51.9359449512 -40 51 19.876007520|337.7945222176879 +08.5700526301331|-10.415 -16.202    |10.34    |A2               |    ~     ~    |    1|  420.575   pc  |  -2.9893     +2.9893  |paral   |2020yCat.1350....0G
40  |HD 144119                                                             |Star                              |16 05 52.5258576000 -40 44 02.859844380|338.0200438182886 +08.5309486709134| -5.785 -17.897    |8.34     |K4/5III          |    ~     ~    |    1|  369.344   pc  |  -3.6150     +3.6150  |paral   |2020yCat.1350....0G
41  |HD 144259                                                             |Double or Multiple Star           |16 06 30.9136138848 -40 27 00.638173116|338.3047112679992 +08.6580480009721|   8.469 -2.409    |7.22     |G2/3V            |0.0017  0.0    |    1|  122.151   pc  |  -1.9084     +1.9084  |paral   |2020yCat.1350....0G
42  |HD 144296                                                             |Star                              |16 06 44.2307044824 -40 37 42.773656440|338.2139335408604 +08.4982445851162|  -0.260 -6.698    |8.44     |A3V              |    ~     ~    |    1|  303.251   pc  |  -2.3818     +2.3818  |paral   |2020yCat.1350....0G
43  |HD 144315                                                             |Star                              |16 06 52.3618824192 -40 41 59.583693408|338.1841870895943 +08.4283617402492|  -0.234 -5.020    |10.06    |B2/3III          |    ~     ~    |    1| 1054.630   pc  | -27.5837    +27.5837  |paral   |2020yCat.1350....0G
44  |HD 144380                                                             |Double or Multiple Star           |16 07 18.2062342668 -40 46 30.988182200|338.1931416604709 +08.3176247598856| -11.492 -9.903    |9.41     |F0V              |    ~     ~    |    0|                |                       |        |                   
