C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:34:56

dec< 0&rah >=16.0&rah< 16.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6325

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
3323|HD 143310                                                             |Star                              |16 03 04.0720679520 -61 08 00.159710604|324.0620876635192 -06.3908985307301| -9.851 -11.958    |10.20    |F0(IV)           |    ~     ~    |    1|  475.059   pc  |  -3.0693     +3.0693  |paral   |2020yCat.1350....0G
3324|NGC 6025 13                        CD-60 6011                         |Star                              |16 03 00.6003940080 -60 25 24.789365940|324.5309108554151 -05.8555399686277|  -2.995 -2.986    |9.62     |~                |    ~     ~    |    1|  791.139   pc  | -13.7698    +13.7698  |paral   |2020yCat.1350....0G
3325|NGC 6025 30                        CD-60 6012                         |Star                              |16 03 03.8875047912 -60 31 29.781901920|324.4683209861476 -05.9358436877317|  -2.991 -3.425    |10.88    |~                |    ~     ~    |    1|  781.006   pc  | -12.5044    +12.5044  |paral   |2020yCat.1350....0G
3326|NGC 6025 14                        CD-60 6013                         |Star                              |16 03 03.8167985880 -60 24 20.949349572|324.5477185424160 -05.8466692826367|  -2.884 -3.073    |9.85     |~                |    ~     ~    |    1|  812.084   pc  | -16.5530    +16.5530  |paral   |2020yCat.1350....0G
3327|HD 143341                                                             |Eclipsing Binary                  |16 03 19.5673838688 -61 00 44.425843272|324.1665288430517 -06.3212494320115|  -0.313 -7.663    |9.55     |B8V              |    ~     ~    |    1|  635.001   pc  |  -8.2661     +8.2661  |paral   |2020yCat.1350....0G
3328|NGC 6025 8                         CD-60 6015                         |Star                              |16 03 12.4080469728 -60 22 47.229559284|324.5783885238082 -05.8389486650733|  -2.966 -3.110    |8.86     |~                |    ~     ~    |    1|  818.130   pc  | -15.7963    +15.7963  |paral   |2020yCat.1350....0G
3329|NGC 6025 7                         HD 143340                          |Star                              |16 03 13.9844948664 -60 24 21.397004028|324.5633599235666 -05.8606567250092|  -2.987 -3.115    |8.05     |B9V              |    ~     ~    |    1|  750.469   pc  | -17.8536    +17.8536  |paral   |2020yCat.1350....0G
3330|NGC 6025 15                        CD-60 6017                         |Star                              |16 03 16.6787126184 -60 27 00.993996612|324.5379116299953 -05.8974703456086|-13.275 -30.461    |9.63     |~                |    ~     ~    |    1|  278.769   pc  |  -1.1890     +1.1890  |paral   |2020yCat.1350....0G
3331|NGC 6025 19                        CPD-60 6328                        |Star                              |16 03 20.2812978888 -60 34 27.855037056|324.4605168888364 -05.9951264387277|  -2.964 -3.205    |12.09    |~                |    ~     ~    |    1|  781.128   pc  |  -8.4202     +8.4202  |paral   |2020yCat.1350....0G
3332|NGC 6025 4                         CD-60 6021                         |Star                              |16 03 22.0086665184 -60 30 14.435702028|324.5102271573389 -05.9448919545958|  -2.362 -3.681    |9.73     |~                |    ~     ~    |    1|  769.112   pc  | -11.6532    +11.6532  |paral   |2020yCat.1350....0G
3333|NGC 6025 22                        HD 143388                          |Star                              |16 03 23.4704673864 -60 22 36.732791388|324.5974506358094 -05.8519083959386|  -2.398 -1.892    |9.15     |B8               |    ~     ~    |    1|  806.972   pc  | -16.9313    +16.9313  |paral   |2020yCat.1350....0G
3334|NGC 6025 10                        CD-60 6023                         |Star                              |16 03 26.5759390008 -60 32 50.571124260|324.4882646899113 -05.9835128429634|  -3.205 -2.832    |10.80    |~                |    ~     ~    |    1|  772.022   pc  | -10.1323    +10.1323  |paral   |2020yCat.1350....0G
3335|NGC 6025 23                        CD-60 6024                         |Star                              |16 03 25.0190318664 -60 21 20.326617432|324.6140290224581 -05.8381737096997|  -3.168 -4.754    |10.59    |~                |    ~     ~    |    0|                |                       |        |                   
3336|NGC 6025 3                         HD 143413                          |Star                              |16 03 28.8938666112 -60 29 12.772702860|324.5322879303224 -05.9414931091446|  -2.994 -2.910    |8.42     |B7IV             |    ~     ~    |    1|  787.402   pc  | -14.8800    +14.8800  |paral   |2020yCat.1350....0G
3337|NGC 6025 16                        CD-60 6027                         |Star                              |16 03 29.7388182288 -60 26 18.412640088|324.5659757053905 -05.9064784772805|  -2.841 -3.123    |9.88     |~                |    ~     ~    |    1|  756.773   pc  | -11.9123    +11.9123  |paral   |2020yCat.1350....0G
3338|NGC 6025 20                        CD-60 6028                         |Star                              |16 03 32.8591211400 -60 31 43.228796772|324.5104429072498 -05.9781098196864|  -3.809 -3.684    |11.25    |~                |    ~     ~    |    0|                |                       |        |                   
3339|NGC 6025 21                        CD-60 6029                         |Star                              |16 03 32.4923627683 -60 24 17.263057393|324.5927291977100 -05.8851154920481|     -15.6 -8.7    |9.98     |~                |    ~     ~    |    0|                |                       |        |                   
3340|NGC 6025 39                        CD-60 6030                         |Star                              |16 03 36.3944974990 -60 35 45.535291941|324.4708434051727 -06.0331710649126|  -4.455 -4.084    |11.24    |~                |    ~     ~    |    0|                |                       |        |                   
3341|NGC 6025 9                         CD-60 6032                         |Star                              |16 03 38.6544314280 -60 31 04.074860748|324.5266377587152 -05.9778977117817|  -2.291 -2.355    |11.83    |~                |    ~     ~    |    1|  754.318   pc  | -13.4283    +13.4283  |paral   |2020yCat.1350....0G
3342|NGC 6025 1                         HD 143448                          |Be Star                           |16 03 44.4675408984 -60 29 54.471253992|324.5485252614782 -05.9714070074622|  -3.186 -2.926    |7.30     |B1Ve             |    ~     ~    |    1|  876.271   pc  | -30.0229    +30.0229  |paral   |2020yCat.1350....0G
3343|NGC 6025 2                         HD 143449                          |Star                              |16 03 44.5285821360 -60 30 47.426440716|324.5387719335863 -05.9824658122718|  -4.036 -3.483    |8.11     |B                |    ~     ~    |    1|  822.707   pc  | -21.8621    +21.8621  |paral   |2020yCat.1350....0G
3344|NGC 6025 33                        CPD-60 6350                        |Star                              |16 03 43.5269457576 -60 22 51.120890256|324.6257818615782 -05.8823680966525|  -3.173 -2.360    |11.26    |~                |    ~     ~    |    1|  713.980   pc  | -21.6141    +21.6141  |paral   |2020yCat.1350....0G
3345|NGC 6025 47                        CD-60 6038                         |Star                              |16 03 50.9327506416 -60 27 59.146334640|324.5799292284320 -05.9563467071033|  -3.062 -3.001    |11.01    |~                |    ~     ~    |    1|  828.638   pc  | -33.5081    +33.5081  |paral   |2020yCat.1350....0G
3346|HD 143465                                                             |High Proper Motion Star           |16 03 53.4708416904 -60 43 43.520061972|324.4080724383428 -06.1554343722953|-57.942 -73.700    |7.73     |F0V              |    ~     ~    |    1|  112.796   pc  |  -0.2723     +0.2723  |paral   |2020yCat.1350....0G
3347|NGC 6025 18                        CPD-60 6355                        |Star                              |16 03 55.4683507128 -60 31 29.664351912|324.5477387693055 -06.0061587190194|  -2.892 -3.133    |12.26    |~                |    ~     ~    |    1|  751.315   pc  | -11.6282    +11.6282  |paral   |2020yCat.1350....0G
3348|NGC 6025 40                        CD-60 6044                         |Star                              |16 04 04.9650798336 -60 32 03.128584920|324.5561014859085 -06.0260639194688|  -2.268 -2.979    |11.15    |~                |    ~     ~    |    1|  759.878   pc  | -10.5090    +10.5090  |paral   |2020yCat.1350....0G
3349|NGC 6025 34                        CPD-60 6362                        |Star                              |16 04 03.4676341008 -60 23 38.472363168|324.6477589338792 -05.9195256051608|  -3.117 -3.077    |10.51    |~                |    ~     ~    |    1|  774.533   pc  | -12.5379    +12.5379  |paral   |2020yCat.1350....0G
3350|NGC 6025 48                        CD-60 6048                         |Star                              |16 04 14.7125126352 -60 23 42.902798064|324.6642763399677 -05.9358771775843|  -4.895 -6.591    |10.87    |~                |    ~     ~    |    1| 1040.150   pc  | -15.7959    +15.7959  |paral   |2020yCat.1350....0G
3351|HD 143639                                                             |Double or Multiple Star           |16 05 11.4056817552 -61 09 15.219382572|324.2399799345050 -06.5773273508582|-10.742 -23.729    |8.59     |A1V              |0.0133  0.0    |    1|  222.286   pc  |  -1.5268     +1.5268  |paral   |2020yCat.1350....0G
3352|HD 143800                                                             |Star                              |16 05 55.8932356869 -61 01 50.120412564|324.3903764784648 -06.5458350129997|-10.963 -24.956    |8.73     |A3V              |    ~     ~    |    0|                |                       |        |                   
3353|HD 143870                                                             |Spectroscopic Binary              |16 06 13.3592285448 -60 36 44.096413212|324.6998605210935 -06.2600410903872|  -9.527 -3.315    |9.08     |G6/8III          |    ~     ~    |    1|  542.005   pc  |  -4.5828     +4.5828  |paral   |2020yCat.1350....0G
3354|HD 143910                                                             |Star                              |16 06 25.1363901912 -60 24 24.459665220|324.8568697964083 -06.1242836813043|  -2.961 -2.614    |10.06    |B8II/III         |    ~     ~    |    1|  840.124   pc  | -14.5397    +14.5397  |paral   |2020yCat.1350....0G
3355|HD 144027                                                             |Spectroscopic Binary              |16 07 10.2360651360 -60 32 32.082481176|324.8338545936513 -06.2867624473279| -3.390 -14.944    |8.38     |K3III            |    ~     ~    |    1|  545.375   pc  |  -6.0974     +6.0974  |paral   |2020yCat.1350....0G
3356|HD 144026                                                             |High Proper Motion Star           |16 07 08.4806697432 -60 21 27.176582556|324.9565723731703 -06.1480445806952|-44.963 -61.261    |7.98     |F3V              |    ~     ~    |    1|  122.052   pc  |  -0.3873     +0.3873  |paral   |2020yCat.1350....0G
3357|HD 144081                                                             |Eclipsing Binary                  |16 07 36.1860702264 -61 05 41.592852348|324.4969997501859 -06.7296836693112|  -2.560 -8.566    |9.60     |B9IV/V           |    ~     ~    |    1|  564.239   pc  |  -6.7175     +6.7175  |paral   |2020yCat.1350....0G
3358|HD 144160                                                             |Star                              |16 07 55.5774021576 -61 05 08.359561536|324.5322351640423 -06.7493422199266|  -2.505 -3.066    |8.55     |B5III            |    ~     ~    |    1|  823.995   pc  | -20.7764    +20.7764  |paral   |2020yCat.1350....0G
3359|HD 144322                                                             |Star                              |16 08 40.0990800360 -60 31 25.843040472|324.9827753182423 -06.3979271986891|  -0.417 -3.020    |9.83     |B8III/IV         |    ~     ~    |    1|  967.961   pc  | -21.8309    +21.8309  |paral   |2020yCat.1350....0G
3360|HD 144699                                                             |Star                              |16 10 44.0721701952 -61 13 01.485333552|324.6917567010664 -07.0763572743827|  -3.965 -1.453    |9.12     |B5/6III          |    ~     ~    |    0|                |                       |        |                   
3361|HD 144698                                                             |Star                              |16 10 44.4691873440 -61 04 37.534119456|324.7889819176800 -06.9749397129969|  -7.307 -8.078    |10.11    |A0               |    ~     ~    |    0|                |                       |        |                   
3362|HD 144799                                                             |Star                              |16 11 15.4141096632 -61 07 03.878721696|324.8065892911210 -07.0472631178832|   0.245 -7.553    |9.88     |A7/8III          |    ~     ~    |    1|  522.139   pc  |  -4.6074     +4.6074  |paral   |2020yCat.1350....0G
3363|HD 144832                                                             |Star                              |16 11 25.2400987632 -61 13 11.906255100|324.7503004557777 -07.1351300376771|  -5.114 -0.708    |10.25    |A9/F2III         |    ~     ~    |    1| 1633.720   pc  | -37.6335    +37.6335  |paral   |2020yCat.1350....0G
3364|HD 144886                                                             |Star                              |16 11 38.4697032528 -61 04 15.391337376|324.8729859071912 -07.0451535626020|  -0.351 -4.170    |10.57    |B9/A0IV/V        |    ~     ~    |    0|                |                       |        |                   
3365|HD 145095                                                             |Star                              |16 12 32.9247765264 -60 26 33.659888316|325.3895327986411 -06.6657121170798|-17.570 -16.541    |9.70     |F0IV/V           |    ~     ~    |    1|  250.332   pc  |  -1.1155     +1.1155  |paral   |2020yCat.1350....0G
3366|HD 145257                                                             |Star                              |16 13 28.6202538960 -60 38 51.872312688|325.3300621706123 -06.8928325981114| -8.795 -14.537    |8.89     |G6III/IV         |    ~     ~    |    1|  576.203   pc  |  -5.1794     +5.1794  |paral   |2020yCat.1350....0G
3367|HD 144105                                                             |Star                              |16 07 40.9363505496 -61 33 52.702460244|324.1836359732431 -07.0817927585713| -6.866 -18.278    |8.67     |F2III            |    ~     ~    |    1|  329.554   pc  |  -2.0418     +2.0418  |paral   |2020yCat.1350....0G
3368|HD 144199                                                             |Star                              |16 08 08.8635111144 -61 33 50.179822956|324.2251535708473 -07.1188503432508|  6.614 -28.395    |8.75     |K1/2III          |    ~     ~    |    1|  245.918   pc  |  -1.2397     +1.2397  |paral   |2020yCat.1350....0G
3369|IRAS 15563-6038                                                       |Long-Period Variable Candidate    |16 00 38.6790105600 -60 47 05.223215796|324.0719447926339 -05.9349381877431|-13.299 -22.764    |10.44    |~                |    ~     ~    |    1| 1140.51    pc  | -52.0306    +52.0306  |paral   |2020yCat.1350....0G
3370|IRAS 16024-5916                                                       |Star                              |16 06 38.6658452376 -59 24 53.531614332|325.5486294470431 -05.4094276783108|  -6.819 -9.749    |10.47    |~                |    ~     ~    |    1| 1568.135   pc  | -57.0499    +57.0499  |paral   |2020yCat.1350....0G
3371|CD-60 6119                                                            |High Proper Motion Star           |16 11 12.4908787056 -60 27 57.028291308|325.2526810195051 -06.5689195746085|-217.438 -2.275    |10.258   |~                |    ~     ~    |    1|   50.045   pc  |  -0.0348     +0.0348  |paral   |2020yCat.1350....0G
3372|CD-59 5972                                                            |High Proper Motion Star           |16 02 17.0253128304 -59 44 31.545986388|324.9163382941646 -05.2850764412305|-17.004 -63.803    |10.71    |G8V(e)           |    ~     ~    |    1|  105.253   pc  |  -0.1540     +0.1540  |paral   |2020yCat.1350....0G
3373|CPD-58 6645                                                           |Star                              |16 08 30.3679976232 -58 59 41.847475884|326.0098665878944 -05.2604234071534|  -9.137 -0.755    |9.97     |~                |    ~     ~    |    1| 1370.990   pc  | -36.2765    +36.2765  |paral   |2020yCat.1350....0G
3374|CD-59 6028                                                            |Star                              |16 09 42.6620128200 -59 32 23.689461012|325.7516119381025 -05.7649945689769|  -4.689 -9.584    |9.87     |~                |    ~     ~    |    1|  906.372   pc  | -11.3368    +11.3368  |paral   |2020yCat.1350....0G
3375|CD-58 6325                                                            |Star                              |16 13 10.6296582120 -59 10 50.471113404|326.3223035437752 -05.8060054102664|-15.418 -16.347    |9.93     |~                |    ~     ~    |    1|  667.423   pc  |  -7.0827     +7.0827  |paral   |2020yCat.1350....0G
3376|CD-58 6328                                                            |Star                              |16 13 24.8995783296 -59 09 17.425126692|326.3624005684878 -05.8083206293741|  -4.740 -3.488    |10.27    |~                |    ~     ~    |    1|  835.771   pc  | -10.1284    +10.1284  |paral   |2020yCat.1350....0G
3377|CD-59 6053                                                            |Star                              |16 13 49.5994968960 -59 23 40.810265736|326.2340440699558 -06.0180404028155| -7.165 -10.259    |10.09    |~                |    ~     ~    |    1|  607.533   pc  |  -4.7983     +4.7983  |paral   |2020yCat.1350....0G
3378|CD-60 5971                                                            |Star                              |16 00 17.7878854968 -60 53 44.931743448|323.9664391126094 -05.9907523987948|  -7.515 -8.458    |10.25    |~                |    ~     ~    |    1|  678.196   pc  |  -7.2212     +7.2212  |paral   |2020yCat.1350....0G
3379|NGC 6025 104                       CD-60 6050                         |Star                              |16 04 35.3936780520 -60 23 29.289806700|324.6986847014775 -05.9614797039807|   -5.729 0.476    |9.99     |~                |    ~     ~    |    1|  952.200   pc  | -12.6029    +12.6029  |paral   |2020yCat.1350....0G
3380|CD-60 6065                                                            |Star                              |16 06 54.2081821992 -61 16 03.101433672|324.3169183176167 -06.7999278366858|  -7.833 -8.157    |10.00    |~                |    ~     ~    |    1| 1142.335   pc  | -23.0972    +23.0972  |paral   |2020yCat.1350....0G
3381|CD-60 6066                                                            |Star                              |16 06 54.6198938808 -61 15 24.884446356|324.3247482786213 -06.7926527817245|   3.672 -1.744    |9.44     |~                |    ~     ~    |    1| 1003.210   pc  | -14.8952    +14.8952  |paral   |2020yCat.1350....0G
3382|CD-60 6089                                                            |Star                              |16 09 17.6040983712 -60 45 37.445932944|324.8774165331242 -06.6234726814258|   -9.818 1.526    |9.74     |~                |    ~     ~    |    1|  754.717   pc  |  -9.9110     +9.9110  |paral   |2020yCat.1350....0G
3383|CD-59 6025                                                            |Star                              |16 09 18.3695400696 -60 18 36.474628896|325.1870417628578 -06.2947006626421|   2.295 -9.070    |9.36     |~                |    ~     ~    |    1|  965.437   pc  | -14.4471    +14.4471  |paral   |2020yCat.1350....0G
3384|CD-60 6094                                                            |Star                              |16 09 33.5422025760 -60 44 13.626454056|324.9172994806460 -06.6285360198310| -5.365 -13.563    |9.99     |~                |    ~     ~    |    1|  644.579   pc  |  -4.9858     +4.9858  |paral   |2020yCat.1350....0G
3385|CD-61 5288                                                            |Star                              |16 10 13.4837326512 -61 21 51.623904600|324.5451851350218 -07.1417776741193| -6.168 -11.691    |9.94     |~                |    ~     ~    |    1|  640.943   pc  |  -6.0800     +6.0800  |paral   |2020yCat.1350....0G
3386|CD-60 6107                                                            |Star                              |16 10 21.1071332352 -60 30 43.882436088|325.1433631161768 -06.5305047371162|    7.698 2.156    |9.70     |~                |    ~     ~    |    1|  128.176   pc  |  -0.2382     +0.2382  |paral   |2020yCat.1350....0G
3387|CD-60 6135                                                            |Star                              |16 13 55.9652770152 -60 23 23.915677776|325.5505343873534 -06.7456435324864|-13.159 -20.005    |10.24    |~                |    ~     ~    |    1| 1036.162   pc  | -16.1045    +16.1045  |paral   |2020yCat.1350....0G
3388|HD 142921                                                             |High Proper Motion Star           |16 00 37.1761267276 -61 18 14.129634359|323.7261872069449 -06.3239514946002|-285.026 -227.071  |7.94     |G2V              |    ~     ~    |    1|   56.6332  pc  |  -0.1424     +0.1424  |paral   |2020yCat.1350....0G
3389|HD 143057                                                             |Star                              |16 01 32.9039848392 -61 22 12.091000404|323.7665946355143 -06.4470827887483|  -3.137 -3.056    |9.84     |B9Ib/II          |    ~     ~    |    1|  823.181   pc  | -15.6532    +15.6532  |paral   |2020yCat.1350....0G
3390|HD 143431                                                             |Star                              |16 03 40.6092750912 -61 28 15.644371980|323.8908193932523 -06.6915461243429| 20.626 -20.188    |7.54     |F5V              |    ~     ~    |    1|   87.475   pc  |  -0.2954     +0.2954  |paral   |2020yCat.1350....0G
3391|CD-61 5243                                                            |Star                              |16 05 08.2954300800 -61 36 46.540204884|323.9256406071452 -06.9134801540807|    4.251 0.335    |9.76     |~                |    ~     ~    |    1|  495.319   pc  |  -3.7537     +3.7537  |paral   |2020yCat.1350....0G
3392|CD-58 6271                                                            |Star                              |16 01 17.9009339064 -59 15 38.414218212|325.1408310653225 -04.8407823005812|  14.611 -6.814    |9.92     |~                |    ~     ~    |    1|  838.082   pc  |  -9.4119     +9.4119  |paral   |2020yCat.1350....0G
3393|CPD-61 5555                                                           |Star                              |16 08 07.5214366752 -61 21 16.090440408|324.3663973070320 -06.9631760165440|  -3.442 -8.830    |9.38     |~                |    ~     ~    |    1| 1165.365   pc  | -31.7790    +31.7790  |paral   |2020yCat.1350....0G
3394|CD-60 6118                                                            |Star                              |16 11 20.6754529896 -61 08 20.965637940|324.7995283323195 -07.0700985792579|   0.122 -1.881    |9.22     |~                |    ~     ~    |    1|  702.297   pc  |  -6.9544     +6.9544  |paral   |2020yCat.1350....0G
3395|NGC 6025 81                        CPD-59 6533                        |Star                              |16 01 31.0 -60 14 42                   |324.5104 -05.5994                  |            ~ ~    |     ~   |~                |    ~     ~    |    0|                |                       |        |                   
3396|NGC 6025 82                        CPD-59 6534                        |Star                              |16 01 33.0 -60 17 48                   |324.4793 -05.6410                  |            ~ ~    |     ~   |~                |    ~     ~    |    0|                |                       |        |                   
3397|NGC 6025 56                        CPD-59 6539                        |Star                              |16 01 58.4515198008 -60 20 30.846022692|324.4888893088368 -05.7096058189183|  -2.176 -2.726    |12.04    |~                |    ~     ~    |    1| 1470.372   pc  | -49.5097    +49.5097  |paral   |2020yCat.1350....0G
3398|NGC 6025 109                       CPD-59 6569                        |Star                              |16 03 43.3984353072 -60 19 21.250709328|324.6645904313369 -05.8386846947220|  -2.985 -3.061    |11.53    |~                |    ~     ~    |    1|  790.576   pc  | -11.6877    +11.6877  |paral   |2020yCat.1350....0G
3399|NGC 6025 111                       CPD-59 6575                        |Star                              |16 04 03.0 -60 17 48                   |324.7123 -05.8463                  |            ~ ~    |     ~   |~                |    ~     ~    |    0|                |                       |        |                   
3400|NGC 6025 87                        CPD-60 6286                        |Star                              |16 01 26.5753246584 -60 27 50.927619492|324.3582609633248 -05.7581182301322|  -3.046 -3.249    |11.81    |~                |    ~     ~    |    1|  776.398   pc  |  -8.8611     +8.8611  |paral   |2020yCat.1350....0G
3401|NGC 6025 86                        CPD-60 6287                        |Star                              |16 01 30.4722040656 -60 25 56.583989868|324.3853663036390 -05.7395269351869|  -2.994 -3.048    |10.70    |~                |    ~     ~    |    1|  785.361   pc  | -10.4238    +10.4238  |paral   |2020yCat.1350....0G
3402|NGC 6025 92                        CPD-60 6288                        |Star                              |16 01 38.1890621568 -60 35 51.259354080|324.2877477156429 -05.8740838408452|  -2.975 -2.819    |11.76    |~                |    ~     ~    |    1|  791.139   pc  | -12.7684    +12.7684  |paral   |2020yCat.1350....0G
3403|NGC 6025 128                       CPD-60 6360                        |Star                              |16 04 04.9797905088 -60 35 19.912432380|324.5194729177944 -06.0668216058190|  -4.128 -2.959    |11.23    |~                |    ~     ~    |    1|  798.786   pc  | -24.1824    +24.1824  |paral   |2020yCat.1350....0G
3404|NGC 6025 127                       CPD-60 6370                        |Star                              |16 04 34.1108643288 -60 33 54.483679476|324.5800546833573 -06.0889490616750|  -1.776 -4.255    |11.90    |~                |    ~     ~    |    1|  850.268   pc  | -13.5193    +13.5193  |paral   |2020yCat.1350....0G
3405|NGC 6025 31                        NGC 6025 31                        |Pulsating Variable                |16 03 07.2021987024 -60 22 07.380267888|324.5777197403382 -05.8235519314317|  -2.469 -3.036    |12.48    |~                |    ~     ~    |    1|  786.782   pc  | -16.6518    +16.6518  |paral   |2020yCat.1350....0G
3406|NGC 6025 69                        NGC 6025 69                        |Star                              |16 02 59.4175122048 -60 24 00.681442560|324.5446683903659 -05.8364491197543|  -2.452 -3.347    |13.68    |~                |    ~     ~    |    1|  684.1349  pc  | -60.3772    +60.3772  |paral   |2018yCat.1345....0G
3407|TYC 8722-67-1                                                         |Star                              |16 09 56.3638403736 -59 56 41.493843096|325.4953834009297 -06.0809925750622|  -1.886 -4.451    |10.26    |~                |    ~     ~    |    1| 1200.192   pc  | -77.6408    +77.6408  |paral   |2020yCat.1350....0G
3408|GSC 08722-00205                                                       |Double or Multiple Star           |16 09 37.9588087272 -59 56 27.995008164|325.4696836839010 -06.0520740588940|  -8.665 -9.951    |10.160   |~                |    ~     ~    |    1|  808.277   pc  | -19.6647    +19.6647  |paral   |2020yCat.1350....0G
3409|TYC 8722-277-1                                                        |Star                              |16 10 15.7427069160 -59 59 26.059454664|325.4937284252657 -06.1419849656879|   4.396 -7.845    |10.10    |~                |    ~     ~    |    1|  318.563   pc  |  -1.5121     +1.5121  |paral   |2020yCat.1350....0G
3410|TYC 8722-387-1                                                        |Star                              |16 10 04.5506 -59 59 12.317            |325.4792028 -06.1232757            |  -0.447 -3.928    |10.84    |~                |    ~     ~    |    0|                |                       |        |                   
3411|TYC 8722-433-1                                                        |Star                              |16 07 28.9755361512 -59 09 04.466544840|325.8064811715575 -05.2867273848961|  -3.104 -8.681    |10.22    |~                |    ~     ~    |    1|  809.258   pc  | -31.4351    +31.4351  |paral   |2020yCat.1350....0G
3412|TYC 8722-549-1                                                        |Star                              |16 07 39.2707869456 -59 54 57.899632968|325.3037106698731 -05.8655777821006|  -2.053 -2.145    |10.40    |~                |    ~     ~    |    1|  948.227   pc  | -11.9585    +11.9585  |paral   |2020yCat.1350....0G
3413|TYC 8722-687-1                                                        |Star                              |16 10 26.7447476592 -59 47 30.117790968|325.6471993083295 -06.0124092891804|  -4.299 -7.622    |10.68    |~                |    ~     ~    |    1| 1072.846   pc  | -19.5670    +19.5670  |paral   |2020yCat.1350....0G
3414|TYC 8722-747-1                                                        |Star                              |16 11 03.3082172736 -59 18 55.063518912|326.0312362655014 -05.7174921369502| -9.050 -21.141    |10.55    |~                |    ~     ~    |    1|  240.338   pc  |  -0.8838     +0.8838  |paral   |2020yCat.1350....0G
3415|TYC 8722-753-1                                                        |Star                              |16 12 29.8962411432 -59 11 55.387847796|326.2464730900434 -05.7592041995885|   0.325 -9.670    |10.86    |~                |    ~     ~    |    1|  822.571   pc  | -10.6230    +10.6230  |paral   |2020yCat.1350....0G
3416|TYC 8722-809-1                                                        |Star                              |16 11 22.1973518376 -59 28 08.310928764|325.9548291127261 -05.8569362397001|    5.867 3.331    |9.71     |~                |    ~     ~    |    1|  496.993   pc  |  -3.7544     +3.7544  |paral   |2020yCat.1350....0G
3417|TYC 8722-827-1                                                        |Star                              |16 12 07.5169982832 -59 51 14.410423116|325.7588525145288 -06.2024220589255| -6.001 -11.208    |10.99    |~                |    ~     ~    |    1|  670.781   pc  |  -8.9539     +8.9539  |paral   |2020yCat.1350....0G
3418|TYC 8722-953-1                                                        |Star                              |16 08 08.5479928848 -59 52 58.335876552|325.3715924043651 -05.8824982199699|       2.6 -5.7    |10.95    |~                |    ~     ~    |    0|                |                       |        |                   
3419|TYC 8722-1412-1                                                       |Star                              |16 01 46.8153826368 -58 35 18.898198332|325.6318288888953 -04.3759733223613|  -1.963 -3.373    |10.99    |~                |    ~     ~    |    1| 1379.120   pc  | -93.3868    +93.3868  |paral   |2020yCat.1350....0G
3420|TYC 8722-1611-1                                                       |Star                              |16 06 37.1547044280 -59 24 07.273710540|325.5549289463833 -05.3977639071813|  -6.924 -6.962    |10.90    |~                |    ~     ~    |    1|  825.083   pc  | -10.2114    +10.2114  |paral   |2020yCat.1350....0G
3421|TYC 8722-1619-1                                                       |Star                              |16 00 54.5189482944 -59 13 08.231018340|325.1306907616602 -04.7765869885301|   0.111 -5.550    |10.56    |~                |    ~     ~    |    1| 1173.847   pc  | -18.4641    +18.4641  |paral   |2020yCat.1350....0G
3422|TYC 8722-1719-1                                                       |Star                              |16 02 18.2779638312 -59 25 54.423458616|325.1243137977421 -05.0539967770134| -5.935 -16.683    |10.20    |~                |    ~     ~    |    1|  575.705   pc  |  -4.5075     +4.5075  |paral   |2020yCat.1350....0G
3423|TYC 8722-1765-1                                                       |Star                              |16 05 03.3866518104 -59 16 12.709465644|325.4952121485561 -05.1663664142271|  -4.996 -7.387    |10.52    |~                |    ~     ~    |    1| 1117.818   pc  | -17.7431    +17.7431  |paral   |2020yCat.1350....0G
3424|TYC 8722-1768-1                                                       |Star                              |16 02 49.5644215440 -58 36 16.637766336|325.7238103979803 -04.4779859959610|  -0.592 -1.605    |10.71    |~                |    ~     ~    |    1|  995.818   pc  | -20.4280    +20.4280  |paral   |2020yCat.1350....0G
3425|TYC 8722-1847-1                                                       |Star                              |16 04 12.3938326320 -59 12 07.977089628|325.4594633667337 -05.0432219117653|  -1.782 -4.269    |10.7     |~                |    ~     ~    |    1| 1512.630   pc  | -32.2615    +32.2615  |paral   |2020yCat.1350....0G
3426|TYC 8722-1861-1                                                       |Star                              |16 06 40.9372897152 -59 53 20.229707292|325.2316492762529 -05.7633392712038|  -1.934 -9.881    |10.86    |~                |    ~     ~    |    1| 1005.328   pc  | -16.0699    +16.0699  |paral   |2020yCat.1350....0G
3427|TYC 8722-2027-1                                                       |Star                              |16 04 15.4355509896 -59 18 25.973228052|325.3941022250971 -05.1258550214171|  -8.481 -8.210    |10.38    |~                |    ~     ~    |    1|  638.040   pc  |  -7.7348     +7.7348  |paral   |2020yCat.1350....0G
3428|TYC 8722-2047-1                                                       |Star                              |16 00 18.6433453726 -59 09 20.570602617|325.1143573914525 -04.6786223444252|-24.120 -23.492    |10.28    |~                |    ~     ~    |    0|                |                       |        |                   
