C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:32:14

dec >=0&rah >=20.75&rah< 21.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 7691

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
39  |BD+36 4275                                                            |High Proper Motion Star           |20 50 50.8073021448 +36 41 01.020816636|078.6701070013799 -04.7531576801080|   48.992 7.378   |9.07     |G0                |    ~     ~    |    1|  134.776   pc  |  -0.2289     +0.2289  |paral   |2020yCat.1350....0G
40  |BD+36 4285                                                            |Star                              |20 51 45.8906866992 +36 34 02.052099300|078.6968268567462 -04.9694077307417|   0.309 -4.847   |9.26     |K0                |    ~     ~    |    1|  553.863   pc  |  -3.6505     +3.6505  |paral   |2020yCat.1350....0G
41  |BD+35 4309                                                            |Star                              |20 53 26.6740336968 +36 06 51.394883364|078.5618321832142 -05.5185142328330|  -3.585 -4.296   |8.99     |K0                |    ~     ~    |    1|  722.700   pc  |  -7.4688     +7.4688  |paral   |2020yCat.1350....0G
42  |HD 199082                                                             |Star                              |20 53 37.6469440536 +36 05 25.931788512|078.5671303066196 -05.5621074712550|  -8.120 -7.263   |8.98     |A2                |    ~     ~    |    1|  627.943   pc  |  -5.9936     +5.9936  |paral   |2020yCat.1350....0G
43  |HD 199100                                                             |High Proper Motion Star           |20 53 41.7356394624 +36 07 48.067327524|078.6064983118530 -05.5475147973287|-62.007 -96.722   |7.79     |G5IV-V            |    ~     ~    |    1|   56.112   pc  |  -0.2513     +0.2513  |paral   |2020yCat.1350....0G
44  |BD+35 4321                                                            |Star                              |20 55 29.9871037800 +35 53 24.160229628|078.6558302645847 -05.9814500467518|   -6.172 3.244   |9.31     |K0                |    ~     ~    |    1|  592.628   pc  |  -4.7413     +4.7413  |paral   |2020yCat.1350....0G
45  |BD+35 4326                                                            |Double or Multiple Star           |20 56 01.8417328968 +35 46 05.353608720|078.6313771316129 -06.1422175931639|  -3.299 -3.053   |9.94     |A0                |    ~     ~    |    0|                |                       |        |                   
46  |HD 199548                                                             |Star                              |20 56 46.1835676632 +35 46 28.448999364|078.7333532421327 -06.2528272943228|   9.167 10.309   |8.95     |A0                |    ~     ~    |    1|  287.431   pc  |  -1.3632     +1.3632  |paral   |2020yCat.1350....0G
47  |HD 199874                                                             |High Proper Motion Star           |20 58 49.1675747328 +35 30 25.964612568|078.7989597720225 -06.7433958017099| 34.635 -36.505   |8.59     |F8                |    ~     ~    |    1|   89.126   pc  |  -0.1215     +0.1215  |paral   |2020yCat.1350....0G
48  |BD+34 4226                                                            |Star                              |20 59 11.1570123264 +35 33 25.918309620|078.8859786855567 -06.7676985319039|  10.239 -8.782   |9.11     |K0                |    ~     ~    |    1|  467.137   pc  |  -2.7714     +2.7714  |paral   |2020yCat.1350....0G
49  |HD 199970                                                             |Chemically Peculiar Star          |20 59 22.4225802528 +35 28 28.576861680|078.8477120560621 -06.8503902770631|  -2.576 -6.860   |8.91     |~                 |    ~     ~    |    1|  472.322   pc  |  -4.3948     +4.3948  |paral   |2020yCat.1350....0G
50  |BD+34 4230                                                            |Star                              |20 59 37.9145468400 +35 28 33.446399736|078.8831545964148 -06.8894663667821|    6.972 1.596   |9.81     |F2                |    ~     ~    |    1|  594.106   pc  |  -4.5885     +4.5885  |paral   |2020yCat.1350....0G
51  |Hen 4-233                                                             |S Star                            |20 52 36.5276093760 +36 16 34.152527640|078.5793614972243 -05.2854218050607|  -5.402 -9.921   |10.30    |S3,1              |    ~     ~    |    1| 1506.705   pc  | -44.7221    +44.7221  |paral   |2020yCat.1350....0G
52  |BD+35 4313                                                            |Chemically Peculiar Star          |20 54 27.2602408584 +36 15 12.557291292|078.8002065973119 -05.5863725637665| -9.612 -15.929   |10.23    |~                 |    ~     ~    |    1|  447.728   pc  |  -2.8465     +2.8465  |paral   |2020yCat.1350....0G
53  |BD+36 4320                                                            |Star                              |20 55 15.4175631696 +36 44 18.768794460|079.2781050252432 -05.3992701789522|   0.555 -0.544   |10.34    |A2V               |    ~     ~    |    1|  450.187   pc  |  -3.3643     +3.3643  |paral   |2020yCat.1350....0G
54  |BD+36 4329                                                            |Star                              |20 56 29.0355454104 +36 56 16.648093644|079.5901196063418 -05.4588572932500|   2.039 -0.128   |9.88     |B8III             |    ~     ~    |    1| 1002.707   pc  | -16.6900    +16.6900  |paral   |2020yCat.1350....0G
55  |BD+36 4338                                                            |Star                              |20 57 41.3710569120 +37 08 36.931396452|079.9039605872554 -05.5095177603452|   0.567 -2.614   |10.26    |B8III             |    ~     ~    |    1| 1095.410   pc  | -20.6387    +20.6387  |paral   |2020yCat.1350....0G
56  |BD+36 4344                                                            |Star                              |20 58 34.6331976264 +36 53 36.180020292|079.8280760735126 -05.8066703953617|  -3.857 -7.502   |10.55    |B8IV              |    ~     ~    |    1| 1353.730   pc  | -40.5001    +40.5001  |paral   |2020yCat.1350....0G
57  |BD+36 4354                                                            |Star                              |20 59 10.0453683816 +37 07 49.205362116|080.0860195995556 -05.7421230275488|  -1.613 -6.123   |10.31    |B5V               |    ~     ~    |    1|  895.496   pc  | -13.0712    +13.0712  |paral   |2020yCat.1350....0G
