C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:32:14

dec >=0&rah >=20.75&rah< 21.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 7691

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
4059|TYC 1102-952-1                                                        |Star                              |20 49 44.9846889720 +14 40 34.576292784|060.7130657861461 -18.0257566292634|    7.901 4.701   |9.88     |~                 |    ~     ~    |    1|  686.059   pc  |  -8.5663     +8.5663  |paral   |2020yCat.1350....0G
4060|TYC 1102-993-1                                                        |High Proper Motion Star           |20 49 37.0038671808 +14 08 15.912873132|060.2316246462781 -18.3117463386209|-26.274 -100.157  |9.89     |~                 |    ~     ~    |    1|  144.814   pc  |  -0.3209     +0.3209  |paral   |2020yCat.1350....0G
4061|TYC 1102-1005-1                                                       |Star                              |20 52 16.7307090264 +14 04 47.449996572|060.5772672379807 -18.8708862400911|  -1.032 -4.208   |9.97     |~                 |    ~     ~    |    1|  836.540   pc  |  -9.3073     +9.3073  |paral   |2020yCat.1350....0G
4062|TYC 1102-1200-1                                                       |High Proper Motion Star           |20 52 48.9428803128 +13 51 18.286802388|060.4642938440866 -19.1076848771618| 52.396 -63.056   |10.78    |~                 |    ~     ~    |    1|  107.330   pc  |  -0.1428     +0.1428  |paral   |2020yCat.1350....0G
4063|TYC 1102-1205-1                                                       |Star                              |20 49 56.1785599728 +14 38 50.877642408|060.7159814505063 -18.0792176247167|   5.803 -7.983   |10.70    |~                 |    ~     ~    |    1|  530.307   pc  |  -4.2465     +4.2465  |paral   |2020yCat.1350....0G
4064|TYC 1102-1346-1                                                       |Star                              |20 49 31.9326235176 +14 03 17.538040152|060.1479153567779 -18.3429715459008|  -1.417 -2.642   |10.71    |~                 |    ~     ~    |    0|                |                       |        |                   
4065|TYC 1102-1369-1                                                       |Star                              |20 55 56.7851004312 +13 49 09.752097072|060.9048707179116 -19.7450098024435| -10.354 -5.441   |10.76    |~                 |    ~     ~    |    1|  341.740   pc  |  -2.0438     +2.0438  |paral   |2020yCat.1350....0G
4066|TYC 1102-1370-1                                                       |Star                              |20 53 26.8485951840 +14 13 17.259698172|060.8736713205740 -19.0182422365349|  -7.090 -0.277   |10.76    |~                 |    ~     ~    |    1| 1521.607   pc  | -37.0446    +37.0446  |paral   |2020yCat.1350....0G
4067|TYC 1102-1494-1                                                       |Star                              |20 51 35.0636036184 +14 36 08.994386484|060.9219333770583 -18.4295124435077|   -2.002 4.321   |9.96     |~                 |    ~     ~    |    1|  556.235   pc  |  -6.4664     +6.4664  |paral   |2020yCat.1350....0G
4068|TYC 1102-1498-1                                                       |Star                              |20 54 20.5604574744 +14 14 21.285436488|061.0233758353503 -19.1836638648692|  -8.244 -4.886   |10.86    |~                 |    ~     ~    |    1| 1267.106   pc  | -31.4689    +31.4689  |paral   |2020yCat.1350....0G
4069|TYC 1102-1597-1                                                       |Spectroscopic Binary              |20 50 02.3244244992 +14 27 29.898481356|060.5690910100351 -18.2092631614392|   2.851 -3.840   |9.87     |~                 |    ~     ~    |    1|  681.199   pc  | -15.2202    +15.2202  |paral   |2020yCat.1350....0G
4070|TYC 1102-1611-1                                                       |Star                              |20 54 14.3905835088 +14 28 27.076478952|061.2092443294284 -19.0256396329298|   1.888 18.932   |10.15    |~                 |    ~     ~    |    1|  222.687   pc  |  -0.7538     +0.7538  |paral   |2020yCat.1350....0G
4071|TYC 1102-1641-1                                                       |Double or Multiple Star           |20 52 53.102760 +14 15 10.44900        |060.816411067 -18.889283222        |      20.1 -8.1   |10.320   |~                 |    ~     ~    |    0|                |                       |        |                   
4072|TYC 1102-1668-1                                                       |Pulsating Variable                |20 50 46.4543626536 +13 49 15.014324928|060.1305573631070 -18.7241828007586|   4.283 -8.844   |10.94    |~                 |    ~     ~    |    1|  417.728   pc  |  -3.0537     +3.0537  |paral   |2020yCat.1350....0G
4073|TYC 1102-1670-1                                                       |Star                              |20 51 07.7126652072 +14 30 45.072441972|060.7771104778597 -18.3923452705610| 11.498 -11.542   |10.47    |~                 |    ~     ~    |    1|  163.188   pc  |  -0.5033     +0.5033  |paral   |2020yCat.1350....0G
4074|TYC 1102-1698-1                                                       |Star                              |20 50 52.9139765568 +13 48 19.624117464|060.1333007091317 -18.7544005121089|   2.070 -1.401   |10.66    |~                 |    ~     ~    |    1| 1231.072   pc  | -22.4300    +22.4300  |paral   |2020yCat.1350....0G
4075|TYC 1102-1706-1                                                       |Star                              |20 55 03.0894841176 +13 51 24.688835928|060.8018001998552 -19.5470840507967|  9.268 -43.843   |10.75    |~                 |    ~     ~    |    1|  231.900   pc  |  -2.0651     +2.0651  |paral   |2020yCat.1350....0G
4076|TYC 1102-1764-1                                                       |Star                              |20 52 00.0821483184 +13 38 42.298468152|060.1618316637110 -19.0688933947453|   9.813 14.859   |10.16    |~                 |    ~     ~    |    1|  673.809   pc  |  -6.4471     +6.4471  |paral   |2020yCat.1350....0G
4077|TYC 1102-1901-1                                                       |Star                              |20 52 50.7144561168 +13 48 53.380593576|060.4340810320530 -19.1369545821148|    3.547 3.738   |9.99     |~                 |    ~     ~    |    1| 1244.091   pc  | -27.3954    +27.3954  |paral   |2020yCat.1350....0G
4078|TYC 1102-1912-1                                                       |Star                              |20 52 10.1377890864 +14 28 47.581920516|060.9040198441395 -18.6159449023267| -6.570 -23.747   |9.91     |~                 |    ~     ~    |    1|  305.511   pc  |  -1.7267     +1.7267  |paral   |2020yCat.1350....0G
4079|TYC 1102-1984-1                                                       |Star                              |20 55 06.1026624168 +13 58 43.364905464|060.9141159210952 -19.4855203532828|   -0.364 6.506   |10.72    |~                 |    ~     ~    |    1|  901.876   pc  | -12.1194    +12.1194  |paral   |2020yCat.1350....0G
4080|TYC 1102-2004-1                                                       |Star                              |20 50 51.3719869656 +13 46 35.071201488|060.1044810056177 -18.7661364791111|  -1.619 -1.108   |9.92     |~                 |    ~     ~    |    1| 1037.775   pc  | -16.0470    +16.0470  |paral   |2020yCat.1350....0G
4081|TYC 1102-2099-1                                                       |Star                              |20 50 55.6287967056 +13 39 48.817368720|060.0178218292040 -18.8455229882221| -8.179 -10.136   |10.23    |~                 |    ~     ~    |    1|  723.484   pc  |  -8.7936     +8.7936  |paral   |2020yCat.1350....0G
4082|TYC 1102-2114-1                                                       |Star                              |20 52 13.0363869072 +13 59 39.087572244|060.4944775221266 -18.9086256145795|  -2.706 -5.836   |10.89    |~                 |    ~     ~    |    1|  483.395   pc  |  -3.6686     +3.6686  |paral   |2020yCat.1350....0G
4083|TYC 1102-2163-1                                                       |Star                              |20 50 24.0770335728 +14 34 07.264889292|060.7173354120291 -18.2165417570942| -7.594 -23.195   |10.01    |~                 |    ~     ~    |    1|  538.445   pc  |  -4.8417     +4.8417  |paral   |2020yCat.1350....0G
4084|TYC 1102-2180-1                                                       |Star                              |20 53 22.8578862216 +13 39 16.445151252|060.3763670504843 -19.3360530834494| -5.100 -16.323   |10.12    |~                 |    ~     ~    |    1|  343.348   pc  |  -1.7212     +1.7212  |paral   |2020yCat.1350....0G
4085|GSC 01102-02371                                                       |Double or Multiple Star           |20 51 37.7780659296 +13 40 29.611596180|060.1320958912053 -18.9780456811757|   4.483 -0.163   |10.110   |~                 |    ~     ~    |    1|  672.088   pc  |  -6.6400     +6.6400  |paral   |2020yCat.1350....0G
4086|TYC 1102-2374-1                                                       |Star                              |20 51 04.3983121992 +13 30 43.149319452|059.9088739074512 -18.9621956408024|  5.587 -14.842   |10.38    |~                 |    ~     ~    |    1|  332.171   pc  |  -2.4385     +2.4385  |paral   |2020yCat.1350....0G
4087|TYC 1102-2380-1                                                       |Star                              |20 50 39.2328335400 +14 04 12.144697608|060.3270118189578 -18.5559469744734|    7.241 1.734   |9.65     |~                 |    ~     ~    |    1|  689.655   pc  |  -8.4185     +8.4185  |paral   |2020yCat.1350....0G
4088|TYC 1102-2420-1                                                       |Star                              |20 51 36.6968165640 +13 30 09.165028500|059.9808472024299 -19.0743652051503|    2.317 3.201   |10.09    |~                 |    ~     ~    |    1|  687.144   pc  |  -7.7435     +7.7435  |paral   |2020yCat.1350....0G
4089|TYC 1102-2468-1                                                       |Star                              |20 49 27.0612515160 +13 43 36.171552252|059.8535387444483 -18.5164044770616|   3.355 -2.373   |10.95    |~                 |    ~     ~    |    1|  474.518   pc  |  -4.1431     +4.1431  |paral   |2020yCat.1350....0G
4090|TYC 1102-2476-1                                                       |Star                              |20 51 58.5033717024 +13 58 00.589615572|060.4348210242289 -18.8767567100283|  2.252 -18.967   |10.13    |~                 |    ~     ~    |    1|  833.333   pc  |  -9.6528     +9.6528  |paral   |2020yCat.1350....0G
4091|TYC 1111-253-1                                                        |Star                              |20 58 38.8084441176 +12 38 09.807486468|060.2942097222659 -20.9715330970851|  -6.880 -8.170   |10.50    |~                 |    ~     ~    |    1| 1122.334   pc  | -23.4292    +23.4292  |paral   |2020yCat.1350....0G
4092|TYC 1111-261-1                                                        |Star                              |20 58 22.1282742504 +12 51 55.765979748|060.4505032171082 -20.7820364125699|   26.646 8.570   |9.62     |~                 |    ~     ~    |    1|  268.528   pc  |  -1.5070     +1.5070  |paral   |2020yCat.1350....0G
4093|TYC 1111-424-1                                                        |Spectroscopic Binary              |20 58 26.8522232544 +13 06 46.406283120|060.6765841111396 -20.6521963134647|  -0.655 -5.708   |10.02    |~                 |    ~     ~    |    1| 1068.833   pc  | -16.2221    +16.2221  |paral   |2020yCat.1350....0G
4094|TYC 1111-548-1                                                        |Star                              |20 57 13.3397760576 +12 28 03.286236468|059.9303413624149 -20.7881355641810|   5.121 -3.527   |10.41    |~                 |    ~     ~    |    1|  763.068   pc  |  -8.5012     +8.5012  |paral   |2020yCat.1350....0G
4095|TYC 1111-797-1                                                        |Star                              |20 56 39.5583948864 +12 22 43.105926936|059.7673754650665 -20.7282720257140|   3.198 -3.240   |10.80    |~                 |    ~     ~    |    1| 1102.779   pc  | -15.5664    +15.5664  |paral   |2020yCat.1350....0G
4096|TYC 1111-882-1                                                        |Star                              |20 59 35.6449935168 +12 53 37.337483652|060.6628658164035 -21.0069902811762| 37.807 -16.922   |10.39    |~                 |    ~     ~    |    1|  207.301   pc  |  -8.2123     +8.2123  |paral   |2020yCat.1350....0G
4097|TYC 1111-1598-1                                                       |Star                              |20 57 12.1688034192 +12 24 22.681235808|059.8741224137770 -20.8200098067737|  -6.587 -7.690   |10.76    |~                 |    ~     ~    |    1|  697.496   pc  |  -9.5841     +9.5841  |paral   |2020yCat.1350....0G
4098|TYC 1111-1700-1                                                       |Star                              |20 58 58.7899146960 +12 18 13.985130816|060.0567284169002 -21.2320328223711|  -20.955 5.479   |9.94     |~                 |    ~     ~    |    1|  628.773   pc  |  -5.4164     +5.4164  |paral   |2020yCat.1350....0G
4099|TYC 1111-1984-1                                                       |Star                              |20 56 38.4623730576 +12 44 42.528220404|060.0827611065056 -20.5109828316908|  -2.477 -2.580   |10.70    |~                 |    ~     ~    |    1|  257.420   pc  |  -1.3253     +1.3253  |paral   |2020yCat.1350....0G
4100|TYC 1115-335-1                                                        |Star                              |20 59 51.7358079312 +13 36 48.395242188|061.3254052192696 -20.6344524647296|  3.932 -10.243   |10.97    |~                 |    ~     ~    |    1| 1024.275   pc  | -18.2550    +18.2550  |paral   |2020yCat.1350....0G
4101|TYC 1115-459-1                                                        |Star                              |20 56 14.5211964168 +14 10 54.691772376|061.2609725465697 -19.5897963452924|   20.811 9.270   |10.64    |~                 |    ~     ~    |    1|  263.602   pc  |  -0.9242     +0.9242  |paral   |2020yCat.1350....0G
4102|TYC 1115-515-1                                                        |Star                              |20 57 26.7769567512 +13 57 50.332413348|061.2569623923424 -19.9541281678398|   4.449 -1.168   |10.82    |~                 |    ~     ~    |    1| 1328.727   pc  | -28.0717    +28.0717  |paral   |2020yCat.1350....0G
4103|TYC 1115-546-1                                                        |Star                              |20 59 44.4975321000 +13 42 34.089160500|061.3894789312648 -20.5539392785728|  23.336 18.650   |10.40    |~                 |    ~     ~    |    1|  270.139   pc  |  -6.0350     +6.0350  |paral   |2020yCat.1350....0G
4104|TYC 1115-631-1                                                        |Star                              |20 59 23.8068541632 +14 12 46.353976920|061.7686907764157 -20.1878221513740|   6.872 -4.983   |10.55    |~                 |    ~     ~    |    1| 1003.311   pc  | -16.6094    +16.6094  |paral   |2020yCat.1350....0G
4105|TYC 1115-654-1                                                        |Star                              |20 58 49.0704463032 +14 03 24.866957628|061.5462079388591 -20.1674314254499|  -6.742 -8.888   |10.56    |~                 |    ~     ~    |    1| 1416.029   pc  | -28.6735    +28.6735  |paral   |2020yCat.1350....0G
4106|TYC 1115-719-1                                                        |Star                              |20 56 27.5669715984 +13 58 47.833267908|061.1206536707077 -19.7513113457377|    9.258 3.756   |10.90    |~                 |    ~     ~    |    1|  825.491   pc  | -12.0614    +12.0614  |paral   |2020yCat.1350....0G
4107|TYC 1115-794-1                                                        |Star                              |20 58 07.3095329616 +14 04 04.496469816|061.4492176964951 -20.0249026132856|  -5.690 -0.237   |10.80    |~                 |    ~     ~    |    1| 1225.791   pc  | -30.0513    +30.0513  |paral   |2020yCat.1350....0G
4108|TYC 1115-999-1                                                        |Star                              |20 57 53.4621225240 +13 36 51.746667516|061.0241384535448 -20.2475241728903|-15.110 -11.987   |10.12    |~                 |    ~     ~    |    1| 1217.730   pc  | -22.8361    +22.8361  |paral   |2020yCat.1350....0G
4109|TYC 1115-1164-1                                                       |Star                              |20 59 49.3863088848 +13 38 25.964189232|061.3427085706755 -20.6107291211388|  -3.340 -8.224   |10.37    |~                 |    ~     ~    |    1|  523.725   pc  |  -6.2263     +6.2263  |paral   |2020yCat.1350....0G
4110|TYC 1115-1474-1                                                       |Star                              |20 59 55.6370392320 +13 58 23.982609900|061.6447540106566 -20.4336272012511|   4.027 -1.839   |10.89    |~                 |    ~     ~    |    1| 1162.656   pc  | -38.3902    +38.3902  |paral   |2020yCat.1350....0G
4111|TYC 1115-1619-1                                                       |Star                              |20 57 22.6789953528 +13 52 56.175387240|061.1763611434935 -19.9889499981752|   2.146 -2.911   |10.64    |~                 |    ~     ~    |    1|  645.369   pc  |  -8.3300     +8.3300  |paral   |2020yCat.1350....0G
4112|TYC 1115-2101-1                                                       |Spectroscopic Binary              |20 56 44.6787408888 +13 08 31.420603860|060.4420659305325 -20.2993882725049|  -7.284 -5.846   |10.31    |~                 |    ~     ~    |    1| 1344.628   pc  | -43.5734    +43.5734  |paral   |2020yCat.1350....0G
4113|GSC 01115-02215                                                       |Double or Multiple Star           |20 58 35.1922595952 +13 13 26.945379840|060.7939816013725 -20.6140768610433|   2.146 -1.240   |10.209   |~                 |    ~     ~    |    0|                |                       |        |                   
4114|TYC 1115-2236-1                                                       |Star                              |20 56 52.8222992952 +13 37 05.598330744|060.8734868603997 -20.0467423155149| 22.461 -15.432   |10.40    |~                 |    ~     ~    |    1|  266.973   pc  |  -1.1760     +1.1760  |paral   |2020yCat.1350....0G
4115|HD 199558                                                             |Double or Multiple Star           |20 57 41.4095 +14 01 34.334            |061.3475531 -19.9651314            |   -0.112 5.436   |9.53     |F8                |    ~     ~    |    0|                |                       |        |                   
4116|HD 353021                                                             |Double or Multiple Star           |20 45 36.1103632638 +17 14 15.494032676|062.2826839789915 -15.7238586260215|-14.003 -25.895   |10.485   |F8                |    ~     ~    |    0|                |                       |        |                   
4117|HD 197853                                                             |Star                              |20 45 51.7536995208 +16 37 14.022629580|061.7988699048494 -16.1340123261709|-10.743 -25.452   |9.09     |A0                |    ~     ~    |    1|  355.051   pc  |  -2.1178     +2.1178  |paral   |2020yCat.1350....0G
4118|HD 197940                                                             |Variable Star                     |20 46 26.0323199880 +16 54 12.754353636|062.1211903179759 -16.0802792712714| -2.555 -14.267   |7.09     |K2                |    ~     ~    |    1|  587.475   pc  |  -6.4884     +6.4884  |paral   |2020yCat.1350....0G
4119|BD+16 4367                                                            |Star                              |20 47 14.7082654704 +16 35 46.445472600|061.9793675524323 -16.4173508929115|  -17.131 5.763   |9.71     |F5                |    ~     ~    |    1|  188.936   pc  |  -0.6889     +0.6889  |paral   |2020yCat.1350....0G
4120|HD 198137                                                             |Star                              |20 47 46.4745755904 +16 46 10.557981624|062.2032721615162 -16.4188780112920|  15.392 -7.042   |7.95     |~                 |    ~     ~    |    1|  533.903   pc  |  -4.7319     +4.7319  |paral   |2020yCat.1350....0G
4121|BD+16 4369a                                                           |Star                              |20 47 49.6475448504 +16 44 03.376421520|062.1811311250537 -16.4498192783564|  13.376 13.664   |9.96     |F2                |    ~     ~    |    1|  246.700   pc  |  -0.7668     +0.7668  |paral   |2020yCat.1350....0G
4122|BD+16 4372                                                            |Star                              |20 48 24.3805592232 +16 37 03.630735984|062.1672066567227 -16.6304734542048|  -29.028 7.400   |8.91     |F8                |    ~     ~    |    1|  129.911   pc  |  -1.1206     +1.1206  |paral   |2020yCat.1350....0G
4123|BD+16 4374                                                            |Star                              |20 48 32.3757854208 +16 54 10.168272180|062.4276986939377 -16.4891093886610| -13.539 -1.115   |8.51     |K0                |    ~     ~    |    1|  296.121   pc  |  -1.7450     +1.7450  |paral   |2020yCat.1350....0G
4124|BD+15 4249                                                            |Star                              |20 46 07.6518542544 +16 26 22.437576528|061.6840072495276 -16.2909434125276|   6.022 -5.576   |10.14    |F0                |    ~     ~    |    1|  463.392   pc  |  -3.2210     +3.2210  |paral   |2020yCat.1350....0G
4125|BD+15 4252                                                            |Star                              |20 46 17.0799376872 +16 25 45.126211368|061.6980575861542 -16.3276212021808|  22.282 14.093   |10.5     |F0                |    ~     ~    |    1|  341.204   pc  |  -1.3738     +1.3738  |paral   |2020yCat.1350....0G
4126|BD+15 4254                                                            |Spectroscopic Binary              |20 46 26.1883717488 +16 29 39.444023760|061.7752822767507 -16.3193382708430|  4.496 -12.777   |9.89     |F8                |    ~     ~    |    1|  240.703   pc  |  -1.0371     +1.0371  |paral   |2020yCat.1350....0G
4127|HD 198059                                                             |Star                              |20 47 18.4180225776 +16 30 18.670008636|061.9113046271765 -16.4825301456004|  -7.876 -9.472   |8.52     |~                 |    ~     ~    |    1|  806.842   pc  | -11.7830    +11.7830  |paral   |2020yCat.1350....0G
4128|HD 198109                                                             |High Proper Motion Star           |20 47 38.4029918472 +16 14 18.383311068|061.7338914914849 -16.7030479241092|127.839 -32.275   |7.60     |F9Vw              |    ~     ~    |    1|   55.186   pc  |  -0.0968     +0.0968  |paral   |2020yCat.1350....0G
4129|BD+15 4262                                                            |Star                              |20 48 31.1332758528 +16 26 10.678653096|062.0301974452625 -16.7585447812455| -8.467 -10.108   |8.95     |K5                |    ~     ~    |    1| 1197.031   pc  | -32.6698    +32.6698  |paral   |2020yCat.1350....0G
4130|BD+15 4246                                                            |Star                              |20 45 36.5763496824 +15 52 19.780117860|061.1270283500310 -16.5188361906529|   30.903 8.844   |9.90     |F0                |    ~     ~    |    1|  257.612   pc  |  -0.9026     +0.9026  |paral   |2020yCat.1350....0G
4131|BD+15 4247                                                            |Star                              |20 45 42.8126748120 +15 36 33.225921936|060.9183061143273 -16.6913223209356|-12.336 -15.276   |10.316   |G5                |    ~     ~    |    1|  732.332   pc  |  -7.0257     +7.0257  |paral   |2020yCat.1350....0G
4132|BD+15 4253                                                            |Star                              |20 46 12.5916538656 +15 33 21.996284004|060.9452363524327 -16.8195461506501|   27.966 2.135   |10.89    |K0                |    ~     ~    |    1|  278.242   pc  |  -1.1690     +1.1690  |paral   |2020yCat.1350....0G
4133|* gam01 Del                                                           |High Proper Motion Star           |20 46 38.8610460432 +16 07 26.861778660|061.4920987187197 -16.5759002870460|-11.702 -203.994  |4.96     |F8V               |    ~     ~    |    1|   35.857   pc  |  -0.1140     +0.1140  |paral   |2020yCat.1350....0G
4134|* gam02 Del                                                           |High Proper Motion Star           |20 46 39.4998239664 +16 07 27.458234724|061.4937901287056 -16.5778844873025|-30.476 -197.504  |4.25     |K1IV              |    ~     ~    |    1|   35.542   pc  |  -0.1825     +0.1825  |paral   |2020yCat.1350....0G
4135|HD 197896                                                             |Star                              |20 46 10.2474590232 +15 20 23.170251048|060.7550932509300 -16.9369565007392|-35.790 -10.512   |8.34     |A5                |    ~     ~    |    1|  122.335   pc  |  -0.4175     +0.4175  |paral   |2020yCat.1350....0G
4136|BD+14 4414                                                            |Star                              |20 46 18.8121700440 +15 23 27.455541216|060.8195514190608 -16.9354485126657|-13.172 -23.803   |9.07     |K0                |    ~     ~    |    1|  437.388   pc  |  -3.0035     +3.0035  |paral   |2020yCat.1350....0G
4137|HD 198200                                                             |Star                              |20 48 15.1934993544 +15 28 10.456685544|061.1701516595444 -17.2707007235776|  1.253 -11.831   |7.74     |K2                |    ~     ~    |    1|  505.842   pc  |  -4.4523     +4.4523  |paral   |2020yCat.1350....0G
4138|HD 197913B                                                            |High Proper Motion Star           |20 46 13.3834618032 +15 54 32.285468232|061.2474837757653 -16.6177404676885|  99.916 72.057   |8.11     |K0                |    ~     ~    |    1|   37.594   pc  |  -0.0281     +0.0281  |paral   |2020yCat.1350....0G
4139|BD+14 4412                                                            |Star                              |20 45 59.3533247928 +15 02 08.831032800|060.4690528621183 -17.0766172945785|    3.404 3.484   |9.53     |G5                |    ~     ~    |    1|  750.019   pc  |  -8.5504     +8.5504  |paral   |2020yCat.1350....0G
4140|BD+14 4416                                                            |Star                              |20 46 34.0769562096 +15 06 49.533264540|060.6200304522608 -17.1457238226157|   20.399 9.752   |9.67     |K0                |    ~     ~    |    1|  302.014   pc  |  -1.2496     +1.2496  |paral   |2020yCat.1350....0G
4141|BD+14 4418                                                            |Star                              |20 46 42.2407452864 +15 07 48.201091356|060.6538065808879 -17.1631113885354|   12.021 0.035   |9.75     |F2                |    ~     ~    |    1|  376.889   pc  |  -5.5682     +5.5682  |paral   |2020yCat.1350....0G
4142|BD+14 4420                                                            |Star                              |20 47 25.5182928576 +15 00 27.896331888|060.6547409274385 -17.3758948615444|  -0.312 -7.148   |9.10     |K0                |    ~     ~    |    1|  415.679   pc  |  -2.7646     +2.7646  |paral   |2020yCat.1350....0G
4143|TYC 1634-1283-1                                                       |Star                              |20 45 16.9460804256 +15 35 49.330843980|060.8453255289669 -16.6136338194429|  18.525 11.188   |10.97    |~                 |    ~     ~    |    1|  182.369   pc  |  -0.4723     +0.4723  |paral   |2020yCat.1350....0G
4144|TYC 1634-1368-1                                                       |Star                              |20 46 10.0990284312 +15 22 23.196137196|060.7831756424372 -16.9172035877551|-36.260 -10.643   |10.89    |~                 |    ~     ~    |    1|  121.871   pc  |  -0.1871     +0.1871  |paral   |2020yCat.1350....0G
4145|TYC 1634-1526-1                                                       |Star                              |20 47 22.4170781712 +15 45 05.837901840|061.2814526939031 -16.9344108875362|  10.778 -2.300   |10.68    |~                 |    ~     ~    |    1|  355.404   pc  |  -3.5873     +3.5873  |paral   |2020yCat.1350....0G
4146|TYC 1634-1556-1                                                       |Star                              |20 45 06.1759960584 +15 35 49.617789540|060.8193611076359 -16.5782916514758|  -3.049 -7.192   |10.47    |~                 |    ~     ~    |    1|  977.613   pc  | -14.6226    +14.6226  |paral   |2020yCat.1350....0G
4147|TYC 1634-1678-1                                                       |Star                              |20 45 00.3996645936 +15 36 06.164499276|060.8093229970162 -16.5567060641611|   21.659 6.473   |10.37    |~                 |    ~     ~    |    1|  266.057   pc  |  -1.0406     +1.0406  |paral   |2020yCat.1350....0G
4148|TYC 1634-2136-1                                                       |Star                              |20 47 59.0803039872 +16 39 02.373147972|062.1334018722200 -16.5292781672817|   11.681 0.201   |9.95     |~                 |    ~     ~    |    1|  400.513   pc  |  -2.1014     +2.1014  |paral   |2020yCat.1350....0G
4149|TYC 1634-2220-1                                                       |Star                              |20 46 37.2830850024 +16 49 38.636665932|062.0840809240913 -16.1611466338112| -14.556 -8.735   |10.26    |~                 |    ~     ~    |    1| 1020.721   pc  | -12.5024    +12.5024  |paral   |2020yCat.1350....0G
4150|TYC 1634-2244-1                                                       |Star                              |20 45 35.5841035824 +16 47 20.098035708|061.9022912179297 -15.9835803083916| -6.392 -27.827   |10.48    |~                 |    ~     ~    |    1|  249.688   pc  |  -0.8479     +0.8479  |paral   |2020yCat.1350....0G
4151|TYC 1634-2275-1                                                       |Star                              |20 45 58.2364830120 +16 05 45.297526380|061.3696416845764 -16.4598904549717|   10.293 1.205   |10.37    |~                 |    ~     ~    |    1|  648.424   pc  |  -7.0216     +7.0216  |paral   |2020yCat.1350....0G
4152|TYC 1634-2330-1                                                       |Star                              |20 45 00.0131261088 +16 43 22.808737560|061.7607151835366 -15.9064139052043|  45.171 -9.620   |10.74    |~                 |    ~     ~    |    1|  224.100   pc  |  -0.6077     +0.6077  |paral   |2020yCat.1350....0G
4153|TYC 1634-2547-1                                                       |Star                              |20 45 14.5298432232 +15 51 26.377972560|061.0611024995915 -16.4553410927584|   0.940 -4.367   |9.78     |~                 |    ~     ~    |    1|  738.607   pc  |  -7.0375     +7.0375  |paral   |2020yCat.1350....0G
4154|TYC 1634-2573-1                                                       |Star                              |20 47 48.0280314144 +16 07 04.866801024|061.6551876882647 -16.8045624251612|    5.011 0.588   |9.941    |~                 |    ~     ~    |    1| 1026.167   pc  | -19.2703    +19.2703  |paral   |2020yCat.1350....0G
4155|TYC 1634-2873-1                                                       |Star                              |20 45 53.7811613352 +15 51 14.082316056|061.1531564250462 -16.5856254260350|  -1.754 -2.609   |10.72    |~                 |    ~     ~    |    1|  818.130   pc  | -18.8753    +18.8753  |paral   |2020yCat.1350....0G
4156|TYC 1634-2913-1                                                       |Star                              |20 46 02.3456311224 +16 31 11.856289764|061.7392857545546 -16.2269394197159|   4.449 -0.276   |10.69    |~                 |    ~     ~    |    1|  694.252   pc  |  -7.7600     +7.7600  |paral   |2020yCat.1350....0G
4157|TYC 1638-1467-1                                                       |Star                              |20 46 41.1054782952 +17 06 04.380296544|062.3246463706640 -16.0135653961292|   2.325 -2.743   |10.72    |~                 |    ~     ~    |    1| 1438.228   pc  | -27.9248    +27.9248  |paral   |2020yCat.1350....0G
4158|TYC 1638-2457-1                                                       |Star                              |20 47 56.8198994400 +16 52 30.432936828|062.3176250699568 -16.3905315686906|    5.848 4.297   |10.90    |~                 |    ~     ~    |    1| 1000.400   pc  | -13.8110    +13.8110  |paral   |2020yCat.1350....0G
4159|TYC 1638-2657-1                                                       |Star                              |20 46 11.2005938904 +16 53 47.003409888|062.0792493897903 -16.0364263693379| -5.734 -12.295   |10.60    |~                 |    ~     ~    |    1|  705.318   pc  |  -5.7707     +5.7707  |paral   |2020yCat.1350....0G
4160|TYC 1647-2000-1                                                       |Star                              |20 48 12.3870824616 +16 23 54.722631336|061.9524417838981 -16.7198730499262|   9.488 -5.395   |10.91    |~                 |    ~     ~    |    1|  249.507   pc  |  -0.8778     +0.8778  |paral   |2020yCat.1350....0G
4161|TYC 1651-6-1                                                          |Star                              |20 48 36.8997642504 +16 59 48.825596724|062.5181433971561 -16.4484676476943|  18.614 -7.977   |10.90    |~                 |    ~     ~    |    1|  166.825   pc  |  -0.4063     +0.4063  |paral   |2020yCat.1350....0G
4162|TYC 1651-416-1                                                        |Star                              |20 48 37.1332117920 +17 04 00.607905948|062.5777175600689 -16.4081291614260|  -6.268 -8.779   |10.93    |~                 |    ~     ~    |    1|  787.092   pc  | -22.6122    +22.6122  |paral   |2020yCat.1350....0G
