C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:16:06

dec >=0&rah >=19.5&rah< 19.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 9885

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------------|-----|----------------|-----------------------|--------|-------------------
32  |BD+43 3299                                                                                               |Star                                  |19 36 09.5374129152 +43 46 06.870027612|076.7373608792884 +11.0000084055845|  27.989 35.694   |8.95     |F5               |    ~     ~          |    1|  117.887   pc  |  -0.1918     +0.1918  |paral   |2020yCat.1350....0G
33  |HD 185286                                                                                                |Star                                  |19 36 32.4192968568 +43 42 22.008874284|076.7128991448980 +10.9101758528909|  -0.802 -4.557   |6.57     |K5               |    ~     ~          |    1|  271.267   pc  |  -5.2246     +5.2246  |paral   |2020yCat.1350....0G
34  |BD+43 3304                                                                                               |Star                                  |19 36 36.6445935072 +43 30 00.567230580|076.5324836343136 +10.8044140786405|-15.113 -13.352   |9.19     |K0               |    ~     ~          |    1|  558.036   pc  |  -3.3320     +3.3320  |paral   |2020yCat.1350....0G
35  |BD+43 3306                                                                                               |Eruptive Variable                     |19 36 36.1396938264 +44 01 08.883485940|077.0015895929769 +11.0435418741932|  24.274 -3.905   |9.03     |K0               |    ~     ~          |    1|  634.518   pc  |  -5.1534     +5.1534  |paral   |2020yCat.1350....0G
36  |HD 185373                                                                                                |Star                                  |19 36 55.8165751488 +43 31 47.309424852|076.5863776615547 +10.7665684259821|  -0.110 -6.151   |8.50     |K5               |    ~     ~          |    1|  777.363   pc  |  -9.0644     +9.0644  |paral   |2020yCat.1350....0G
37  |BD+43 3309                                                                                               |Star                                  |19 37 29.6805349848 +43 22 08.863973976|076.4892277675255 +10.6016526699703|  -7.060 -7.481   |8.49     |K5               |    ~     ~          |    1|  847.889   pc  | -12.6529    +12.6529  |paral   |2020yCat.1350....0G
38  |BD+43 3310                                                                                               |Pulsating Variable                    |19 37 29.7688619736 +43 24 57.369736800|076.5316057435970 +10.6230067798409|  -2.165 -7.758   |10.28    |B9IV             |    ~     ~          |    1| 1184.975   pc  | -31.1725    +31.1725  |paral   |2020yCat.1350....0G
39  |HD 185835                                                                                                |Star                                  |19 39 10.1898750600 +43 50 22.215125292|077.0561712332696 +10.5505001071197|   3.083 -3.895   |7.97     |B7V              |    ~     ~          |    1|  486.239   pc  |  -7.0692     +7.0692  |paral   |2020yCat.1350....0G
40  |HD 186306                                                                                                |High Proper Motion Star               |19 41 45.6454247760 +43 44 51.716276232|077.1958438938150 +10.0942607335775|  50.702 75.325   |7.96     |G9V              |    ~     ~          |    1|   27.306   pc  |  -0.0135     +0.0135  |paral   |2020yCat.1350....0G
41  |HD 186428                                                                                                |Pulsating Variable                    |19 42 25.7335638240 +44 01 18.319075896|077.4989980749234 +10.1172156183365|  -1.715 -4.806   |8.08     |B7III            |    ~     ~          |    1|  952.290   pc  | -20.7670    +20.7670  |paral   |2020yCat.1350....0G
42  |BD+43 3332                                                                                               |Star                                  |19 42 43.6261004088 +43 42 06.111135288|077.2383324521208 +09.9186306881166|   4.658 20.335   |9.35     |F0               |    ~     ~          |    1|  214.786   pc  |  -0.6228     +0.6228  |paral   |2020yCat.1350....0G
43  |BD+43 3334                                                                                               |Star                                  |19 42 53.3187792552 +43 41 10.991807664|077.2386746497193 +09.8856610707832|-28.063 -29.527   |8.93     |F9V              |    ~     ~          |    1|   81.774   pc  |  -0.0869     +0.0869  |paral   |2020yCat.1350....0G
44  |BD+43 3338                                                                                               |Star                                  |19 43 40.9344642672 +44 04 49.504634220|077.6596905910297 +09.9465741419825| -3.165 -15.378   |8.63     |K2               |    ~     ~          |    1|  636.537   pc  |  -6.1587     +6.1587  |paral   |2020yCat.1350....0G
45  |BD+43 3339                                                                                               |Eruptive Variable                     |19 43 45.7804972776 +43 59 53.349553464|077.5931874151084 +09.8947391145496|  -1.168 10.511   |9.23     |F6II             |    ~     ~          |    1|  396.778   pc  |  -1.7160     +1.7160  |paral   |2020yCat.1350....0G
46  |HD 186817                                                                                                |Star                                  |19 44 49.5373038216 +44 04 02.269076664|077.7472008050037 +09.7597250663526|   3.809 -8.194   |8.62     |G5               |    ~     ~          |    1|  552.486   pc  |  -6.0132     +6.0132  |paral   |2020yCat.1350....0G
47  |HD 184564                                                                                                |Red Giant Branch star                 |19 33 13.2389011992 +42 48 29.111706828|075.6181459699287 +11.0393951651631|   24.963 9.706   |8.08     |K2IV             |    ~     ~          |    1|  132.259   pc  |  -0.3149     +0.3149  |paral   |2020yCat.1350....0G
