C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:16:06

dec >=0&rah >=19.5&rah< 19.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 9885

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------------|-----|----------------|-----------------------|--------|-------------------
4949|TYC 1606-483-1                                                                                           |Star                                  |19 41 22.9897434024 +18 43 03.554682204|055.2172181057005 -02.0583247573348|  0.451 -14.633   |10.26    |~                |    ~     ~          |    1|  721.553   pc  |  -9.3715     +9.3715  |paral   |2020yCat.1350....0G
4950|TYC 1606-887-1                                                                                           |Star                                  |19 41 46.5180203808 +18 24 06.450977016|054.9883623513867 -02.2951931406543|-11.229 -14.400   |10.95    |~                |    ~     ~          |    1|  494.315   pc  |  -4.4960     +4.4960  |paral   |2020yCat.1350....0G
4951|TYC 1610-477-1                                                                                           |Star                                  |19 43 05.8968316464 +20 16 48.551816568|056.7755459444654 -01.6353524948640|  -6.161 -6.548   |10.24    |~                |    ~     ~          |    1|  411.269   pc  |  -2.7232     +2.7232  |paral   |2020yCat.1350....0G
4952|TYC 1619-2031-1                                                                                          |Star                                  |19 44 03.0921327504 +18 33 24.969124836|055.3910548839986 -02.6869956664867|  -7.101 -1.568   |10.64    |~                |    ~     ~          |    1|  402.560   pc  |  -3.1439     +3.1439  |paral   |2020yCat.1350....0G
4953|HD 344469                                                                                                |Star                                  |19 30 50.9683751400 +23 18 55.779181596|058.0356113764163 +02.3278850559422|   -1.930 6.594   |9.70     |K2               |    ~     ~          |    1|  458.211   pc  |  -2.9394     +2.9394  |paral   |2020yCat.1350....0G
4954|HD 344483                                                                                                |Star                                  |19 30 11.6217797424 +22 41 25.502983800|057.4141704081062 +02.1608596625036|  -6.901 -3.172   |8.90     |K0               |    ~     ~          |    1|  495.050   pc  |  -4.0682     +4.0682  |paral   |2020yCat.1350....0G
4955|HD 344477                                                                                                |Star                                  |19 30 17.2435 +22 55 21.875            |057.6286302 +02.2531451            |     -8.2 -46.7   |10.26    |G0               |    ~     ~          |    0|                |                       |        |                   
4956|HD 183789                                                                                                |Star                                  |19 30 24.8164710528 +22 30 02.190547800|057.2717733558434 +02.0253829171888|   5.300 -0.661   |7.91     |A2               |    ~     ~          |    1|  406.537   pc  |  -4.5285     +4.5285  |paral   |2020yCat.1350....0G
4957|HD 183831                                                                                                |Star                                  |19 30 34.8584340048 +22 59 14.429170104|057.7177767423688 +02.2247636586820|  0.454 -17.814   |9.39     |F                |    ~     ~          |    1|  261.015   pc  |  -1.8872     +1.8872  |paral   |2020yCat.1350....0G
4958|HD 344480                                                                                                |Star                                  |19 30 55.7802268248 +22 47 30.362716572|057.5845692352211 +02.0605095480243|   16.343 1.359   |9.23     |F0               |    ~     ~          |    1|  271.209   pc  |  -1.0518     +1.0518  |paral   |2020yCat.1350....0G
4959|HD 344475                                                                                                |Star                                  |19 31 49.8658023264 +22 50 27.690780624|057.7276528425801 +01.9019955374625|  46.876 -9.057   |9.30     |F0               |    ~     ~          |    1|  156.450   pc  |  -0.3500     +0.3500  |paral   |2020yCat.1350....0G
4960|HD 344472                                                                                                |Star                                  |19 31 59.7345260904 +23 03 42.971050008|057.9396530986605 +01.9750899539677|   6.002 -5.233   |9.40     |A2               |    ~     ~          |    1|  387.522   pc  |  -2.4478     +2.4478  |paral   |2020yCat.1350....0G
4961|HD 344489                                                                                                |Star                                  |19 31 59.4568341144 +22 08 31.079942772|057.1324023175253 +01.5331561264702|   -5.797 7.653   |10.52    |K0               |    ~     ~          |    1|  357.488   pc  |  -1.6997     +1.6997  |paral   |2020yCat.1350....0G
4962|HD 344476                                                                                                |Star                                  |19 30 21.4832898384 +23 05 06.725546916|057.7791596089543 +02.3166597094039| -1.996 -12.361   |10.15    |A5               |    ~     ~          |    1|  316.216   pc  |  -1.6399     +1.6399  |paral   |2020yCat.1350....0G
4963|HD 344490                                                                                                |Star                                  |19 31 20.2630920528 +22 14 35.528125596|057.1484118907807 +01.7144206033634|   25.508 9.227   |10.47    |G0               |    ~     ~          |    1|  196.680   pc  |  -0.5145     +0.5145  |paral   |2020yCat.1350....0G
4964|HD 344468                                                                                                |Star                                  |19 30 04.2593654400 +23 13 18.121665144|057.8675062047582 +02.4399253525943|  20.439 10.492   |10.86    |K5               |    ~     ~          |    1|  575.142   pc  |  -4.5980     +4.5980  |paral   |2020yCat.1350....0G
4965|HD 344482                                                                                                |Star                                  |19 30 15.4815739200 +22 44 34.478595060|057.4673958692388 +02.1729721812842|   6.395 -9.295   |10.54    |K0               |    ~     ~          |    1|  373.497   pc  |  -1.8135     +1.8135  |paral   |2020yCat.1350....0G
4966|HD 344479                                                                                                |Star                                  |19 30 47.6121858888 +22 49 45.417050616|057.6024489968475 +02.1060321707892|   -9.100 7.609   |9.56     |K0               |    ~     ~          |    1|  251.124   pc  |  -0.8072     +0.8072  |paral   |2020yCat.1350....0G
4967|HD 344481                                                                                                |Star                                  |19 30 59.9255023008 +22 39 04.768571448|057.4689280535134 +01.9791355297201|   3.905 -7.965   |10.19    |A0               |    ~     ~          |    1|  382.336   pc  |  -3.2306     +3.2306  |paral   |2020yCat.1350....0G
4968|HD 344487                                                                                                |Double or Multiple Star               |19 31 01.661 +22 32 41.76              |057.378748 +01.922210              |    -39.0 -18.6   |10.62    |G5               |    ~     ~          |    0|                |                       |        |                   
4969|HD 344488                                                                                                |Star                                  |19 32 01.5255924360 +22 23 20.200052400|057.3527840860287 +01.6450976981728|  13.446 -0.066   |10.04    |F0               |    ~     ~          |    1|  301.368   pc  |  -1.3623     +1.3623  |paral   |2020yCat.1350....0G
4970|HD 344470                                                                                                |Star                                  |19 30 56.5756776864 +23 23 28.744931724|058.1124996836024 +02.3454166859178|    5.202 2.248   |10.62    |G0               |    ~     ~          |    1|  248.170   pc  |  -0.9608     +0.9608  |paral   |2020yCat.1350....0G
4971|HD 344461                                                                                                |Star                                  |19 31 11.7262709304 +23 31 53.208905376|058.2633601186172 +02.3618186006623|  -0.308 -8.813   |10.62    |A0               |    ~     ~          |    1|  529.661   pc  |  -4.9936     +4.9936  |paral   |2020yCat.1350....0G
4972|HD 344494                                                                                                |Double or Multiple Star               |19 31 09.5772264 +22 00 41.103999      |056.9252281090 +01.6392084779      |     12.52 3.20   |9.13     |K0               |    ~     ~          |    0|                |                       |        |                   
4973|HD 344498                                                                                                |Star                                  |19 31 21.4567634856 +21 53 42.014813928|056.8451760719541 +01.5429983747508|   2.949 -3.710   |9.72     |A2               |    ~     ~          |    1|  407.681   pc  |  -3.5734     +3.5734  |paral   |2020yCat.1350....0G
4974|HD 344510                                                                                                |Star                                  |19 31 55.4542595616 +21 18 52.526315952|056.3996623090160 +01.1482157493959|   8.015 -9.369   |8.69     |F0               |    ~     ~          |    1|  139.379   pc  |  -0.3497     +0.3497  |paral   |2020yCat.1350....0G
4975|HD 344507                                                                                                |Star                                  |19 30 18.3621468792 +21 17 27.729347280|056.1977924337127 +01.4674099778575|   1.644 -5.593   |10.32    |G0               |    ~     ~          |    1|  269.375   pc  |  -1.2263     +1.2263  |paral   |2020yCat.1350....0G
4976|HD 344511                                                                                                |Spectroscopic Binary                  |19 30 52.0217977512 +21 11 42.168613056|056.1763150097298 +01.3066607134367|   2.037 26.700   |9.15     |G2               |    ~     ~          |    1|  219.645   pc  |  -2.3881     +2.3881  |paral   |2020yCat.1350....0G
4977|HD 344508                                                                                                |Star                                  |19 30 37.3877739792 +21 24 43.653543732|056.3395048827650 +01.4607229582569|   17.636 9.340   |10.85    |F8               |    ~     ~          |    1|  910.581   pc  | -71.3076    +71.3076  |paral   |2020yCat.1350....0G
4978|HD 344499                                                                                                |Star                                  |19 31 03.0916627296 +21 54 10.553903784|056.8179974728556 +01.6090717168056|  1.938 -17.087   |10.79    |G0               |    ~     ~          |    1|  292.440   pc  |  -1.1203     +1.1203  |paral   |2020yCat.1350....0G
4979|HD 344493                                                                                                |Star                                  |19 30 22.0518792144 +21 59 41.687625984|056.8225893103550 +01.7923610215671|  -2.136 -3.917   |10.50    |A3               |    ~     ~          |    1|  291.078   pc  |  -1.0676     +1.0676  |paral   |2020yCat.1350....0G
4980|HD 344501                                                                                                |Star                                  |19 31 05.3856635592 +21 40 11.860687848|056.6178653646339 +01.4893621336724|   1.386 -6.103   |10.07    |F0               |    ~     ~          |    1|  266.482   pc  |  -0.9942     +0.9942  |paral   |2020yCat.1350....0G
4981|HD 344496                                                                                                |Star                                  |19 32 00.7885706352 +21 52 35.741471268|056.9022403220328 +01.4008350895746|    2.751 9.838   |10.35    |F8               |    ~     ~          |    1|  460.045   pc  |  -3.4286     +3.4286  |paral   |2020yCat.1350....0G
4982|HD 350060                                                                                                |Star                                  |19 30 59.7699178536 +20 55 22.368475128|055.9520465854003 +01.1494691249357|   15.831 1.573   |9.79     |F8               |    ~     ~          |    1|  260.369   pc  |  -0.9830     +0.9830  |paral   |2020yCat.1350....0G
4983|HD 184108                                                                                                |Star                                  |19 32 01.8115302456 +20 55 45.956207280|056.0740203934067 +00.9409714530816|   2.521 -5.695   |7.001    |B9III            |    ~     ~          |    1|  266.645   pc  |  -1.9552     +1.9552  |paral   |2020yCat.1350....0G
4984|HD 350109                                                                                                |Star                                  |19 32 06.6151661232 +20 58 25.871970504|056.1219566238919 +00.9460066730556|  9.582 -17.057   |9.05     |M1               |    ~     ~          |    1|  587.061   pc  |  -6.8928     +6.8928  |paral   |2020yCat.1350....0G
4985|HD 344512                                                                                                |Star                                  |19 30 48.1317334968 +21 01 10.174419948|056.0150361026276 +01.2355991006790| -7.225 -24.630   |10.57    |K0               |    ~     ~          |    1|  572.541   pc  |  -4.5565     +4.5565  |paral   |2020yCat.1350....0G
4986|HD 344548                                                                                                |Star                                  |19 33 48.9534441120 +23 20 08.256117660|058.3814198803807 +01.7407530660460|   3.042 -1.504   |9.37     |K1               |    ~     ~          |    1|  469.197   pc  |  -3.2361     +3.2361  |paral   |2020yCat.1350....0G
4987|HD 184173                                                                                                |Star                                  |19 32 25.4133170448 +22 33 30.159616068|057.5456474806406 +01.6461315469942|-20.412 -17.724   |8.30     |G5               |    ~     ~          |    1|  323.436   pc  |  -3.4208     +3.4208  |paral   |2020yCat.1350....0G
4988|HD 184198                                                                                                |Star                                  |19 32 26.3553697560 +23 14 43.257198444|058.1496354200291 +01.9740134151210|  36.337 33.993   |8.17     |F7Vw             |    ~     ~          |    1|  110.670   pc  |  -0.2364     +0.2364  |paral   |2020yCat.1350....0G
4989|HD 344564                                                                                                |Star                                  |19 33 06.7286938488 +22 45 07.323498504|057.7920204136588 +01.6004166893844|    3.800 0.354   |9.35     |K8               |    ~     ~          |    1|  575.606   pc  |  -6.8915     +6.8915  |paral   |2020yCat.1350....0G
4990|HD 344568                                                                                                |Star                                  |19 33 54.6326801496 +22 34 03.355584996|057.7196195901838 +01.3500072135041|  14.546 -8.843   |9.36     |F5               |    ~     ~          |    1|  218.531   pc  |  -0.7450     +0.7450  |paral   |2020yCat.1350....0G
4991|HD 344556                                                                                                |Star                                  |19 35 30.3534431232 +23 03 29.965975200|058.3272471850928 +01.2666493938799|  -0.578 -7.009   |9.34     |A0               |    ~     ~          |    1|  491.352   pc  |  -4.6354     +4.6354  |paral   |2020yCat.1350....0G
4992|HD 184849                                                                                                |Star                                  |19 35 37.7879198424 +22 30 06.829000452|057.8548954994972 +00.9710210982193|   1.724 -6.094   |7.85     |A0               |    ~     ~          |    1|  242.236   pc  |  -1.3789     +1.3789  |paral   |2020yCat.1350....0G
4993|HD 344620                                                                                                |Double or Multiple Star               |19 35 45.49418 +23 16 14.1873          |058.54099060 +01.31923666          |     -0.31 1.17   |9.17     |F5               |0.0033  0.0          |    0|                |                       |        |                   
4994|HD 344634                                                                                                |Star                                  |19 35 56.3391462024 +22 43 16.774504212|058.0813393237649 +01.0155112594570|  -1.242 -6.378   |9.82     |A0               |    ~     ~          |    1|  653.552   pc  |  -6.1934     +6.1934  |paral   |2020yCat.1350....0G
4995|HD 184961                                                                                                |Star                                  |19 36 08.3511576408 +22 35 08.744220600|057.9854376500922 +00.9091324478726|   3.587 -7.124   |6.319    |B9IVpSi          |    ~     ~          |    1|  225.449   pc  |  -5.5605     +5.5605  |paral   |2020yCat.1350....0G
4996|HD 344633                                                                                                |Star                                  |19 36 52.1914366464 +22 54 42.547095180|058.3522905274401 +00.9211324439682|    6.650 6.647   |9.28     |A3               |    ~     ~          |    1|  449.944   pc  |  -3.0367     +3.0367  |paral   |2020yCat.1350....0G
4997|BD+22 3746B                                                                                              |Star                                  |19 37 23.5665611664 +22 48 56.064166092|058.3271861876487 +00.7690032221989|  -14.876 2.400   |10.46    |F5               |    ~     ~          |    1|  206.791   pc  |  -0.6329     +0.6329  |paral   |2020yCat.1350....0G
4998|HD 344630                                                                                                |Star                                  |19 37 23.2412691312 +22 48 51.013317924|058.3253512296944 +00.7694067533554|  -15.118 2.192   |9.64     |G0               |    ~     ~          |    1|  204.394   pc  |  -0.5807     +0.5807  |paral   |2020yCat.1350....0G
4999|HD 344629                                                                                                |Star                                  |19 37 33.0135203184 +22 46 00.334898652|058.3023631722875 +00.7134731337502|    4.365 3.029   |9.67     |A0               |    ~     ~          |    1|  512.111   pc  |  -4.7993     +4.7993  |paral   |2020yCat.1350....0G
5000|HD 185353                                                                                                |Double or Multiple Star               |19 37 52.0512759 +22 47 49.863109      |058.3647007188 +00.6645952508      |  -13.15 -25.64   |7.59     |G5III            |0.0050  0.0          |    0|                |                       |        |                   
5001|HD 344627                                                                                                |Star                                  |19 38 21.7564071384 +22 50 43.520825976|058.4626692726525 +00.5887992023837|   1.184 -2.038   |8.81     |K2               |    ~     ~          |    1|  735.510   pc  |  -9.8999     +9.8999  |paral   |2020yCat.1350....0G
5002|HD 185529                                                                                                |Star                                  |19 38 38.3166740808 +23 02 32.392675788|058.6654340379871 +00.6300521629222|  -1.989 -3.812   |7.27     |A0               |    ~     ~          |    1|  517.518   pc  | -11.0076    +11.0076  |paral   |2020yCat.1350....0G
5003|HD 185547                                                                                                |Double or Multiple Star               |19 38 46.0311187464 +23 06 51.352471620|058.7426239737636 +00.6396067339277|   14.791 3.400   |7.45     |K0               |0.0050  0.0          |    1|  189.559   pc  |  -3.2878     +3.2878  |paral   |2020yCat.1350....0G
5004|HD 185687                                                                                                |Star                                  |19 39 31.7817613008 +22 43 29.220008916|058.4897737268217 +00.2952314514668|   2.024 -3.534   |8.61     |A2               |    ~     ~          |    1|  439.657   pc  | -35.0836    +35.0836  |paral   |2020yCat.1350....0G
5005|HD 344721                                                                                                |Star                                  |19 39 47.1470643744 +22 25 18.517974204|058.2551841797816 +00.0945929911223|   1.300 -7.623   |9.89     |A0               |    ~     ~          |    1|  669.568   pc  |  -8.5181     +8.5181  |paral   |2020yCat.1350....0G
5006|HD 344713                                                                                                |Double or Multiple Star               |19 40 19.262400 +22 50 10.86432        |058.676741969 +00.191491413        |     -2.2 -11.7   |9.406    |F5               |    ~     ~          |    0|                |                       |        |                   
5007|HD 344719                                                                                                |Star                                  |19 40 35.8742016192 +22 33 03.482477964|058.4600588028839 -00.0049016746652|  -2.056 -5.767   |10.6     |G5               |    ~     ~          |    1| 2049.600   pc  | -56.2915    +56.2915  |paral   |2020yCat.1350....0G
5008|HD 344720                                                                                                |Star                                  |19 40 50.1746390832 +22 30 57.515680692|058.4568193504171 -00.0700387677221|   16.423 4.337   |9.39     |A3               |    ~     ~          |    1|  241.121   pc  |  -0.9128     +0.9128  |paral   |2020yCat.1350....0G
5009|HD 186021                                                                                                |Star                                  |19 41 14.6488895016 +22 27 09.983392812|058.4484669284328 -00.1831895982579|  -0.004 -3.464   |6.391    |~                |    ~     ~          |    1|  572.869   pc  |  -7.0558     +7.0558  |paral   |2020yCat.1350....0G
5010|HD 344579                                                                                                |Star                                  |19 32 38.9948153952 +22 12 34.774343604|057.2652918136755 +01.4321226794608|  13.043 -5.531   |8.50     |G5               |    ~     ~          |    1|  332.712   pc  |  -1.8708     +1.8708  |paral   |2020yCat.1350....0G
5011|HD 184740                                                                                                |Star                                  |19 35 07.9433856552 +22 09 30.935868300|057.4989338584333 +00.9045846357646|   0.939 -2.697   |7.40     |B9               |    ~     ~          |    1|  498.604   pc  |  -6.2897     +6.2897  |paral   |2020yCat.1350....0G
5012|HD 184880                                                                                                |Star                                  |19 35 42.7200510552 +22 08 24.369608292|057.5480611888839 +00.7783264255519| 30.238 -18.537   |7.82     |K2               |    ~     ~          |    1|  278.040   pc  |  -1.3683     +1.3683  |paral   |2020yCat.1350....0G
5013|HD 344637                                                                                                |Star                                  |19 35 46.3095799080 +22 17 57.730550208|057.6939356327682 +00.8437677783141|  2.189 -10.079   |9.61     |K0               |    ~     ~          |    1|  509.295   pc  |  -3.3979     +3.3979  |paral   |2020yCat.1350....0G
5014|HD 344638                                                                                                |Star                                  |19 36 15.6910580208 +22 17 21.989977728|057.7404563631912 +00.7400123378130|  -7.365 18.515   |9.54     |A2               |    ~     ~          |    1|  172.977   pc  |  -0.3650     +0.3650  |paral   |2020yCat.1350....0G
5015|HD 185291                                                                                                |Star                                  |19 37 34.8315072216 +22 12 52.254097200|057.8241692044484 +00.4371089165119|   3.365 -6.439   |8.57     |A0               |    ~     ~          |    1|  437.560   pc  |  -3.7717     +3.7717  |paral   |2020yCat.1350....0G
5016|BD+21 3862A                                                                                              |Star                                  |19 39 26.311 +22 15 23.39              |058.071759 +00.083096              |       2.8 12.6   |7.66     |F8IV             |    ~     ~          |    0|                |                       |        |                   
5017|HD 344727                                                                                                |Pulsating Variable                    |19 40 34.3556703360 +22 10 13.923653916|058.1263429629831 -00.1876519384744| 13.219 -35.467   |8.68     |F0               |    ~     ~          |    1|  143.993   pc  |  -0.3649     +0.3649  |paral   |2020yCat.1350....0G
5018|HD 344577                                                                                                |Star                                  |19 33 28.1479938288 +22 08 55.055338908|057.3034744481278 +01.2365839281875| -9.541 -28.736   |10.03    |G0               |    ~     ~          |    1|  116.689   pc  |  -0.2083     +0.2083  |paral   |2020yCat.1350....0G
5019|HD 344728                                                                                                |Star                                  |19 40 58.5753220776 +22 09 11.171328624|058.1573582305925 -00.2775221405050|  13.074 -9.774   |10.69    |F8               |    ~     ~          |    1|  298.303   pc  |  -1.0322     +1.0322  |paral   |2020yCat.1350....0G
5020|HD 344561                                                                                                |Star                                  |19 32 57.5372042568 +23 06 38.365685352|058.0891903168766 +01.8044325602901|    7.221 5.501   |10.71    |F2               |    ~     ~          |    1|  255.571   pc  |  -3.8863     +3.8863  |paral   |2020yCat.1350....0G
5021|HD 344569                                                                                                |Star                                  |19 33 50.8978661064 +22 29 26.956312224|057.6454596733878 +01.3254162466379|  20.598 17.224   |10.41    |K0               |    ~     ~          |    1|  407.980   pc  |  -2.2970     +2.2970  |paral   |2020yCat.1350....0G
5022|HD 344571                                                                                                |Star                                  |19 35 12.7182300096 +22 28 22.793909844|057.7826968038852 +01.0413000507921|   1.450 -3.519   |10.47    |F0               |    ~     ~          |    1|  295.718   pc  |  -1.1893     +1.1893  |paral   |2020yCat.1350....0G
5023|HD 344557                                                                                                |Star                                  |19 35 20.9983967136 +22 54 48.812084640|058.1832632910522 +01.2276231572281|   16.716 5.771   |10.10    |F1               |    ~     ~          |    1|  234.775   pc  |  -0.7165     +0.7165  |paral   |2020yCat.1350....0G
5024|HD 344623                                                                                                |Star                                  |19 36 46.8384560544 +23 15 28.768089528|058.6444344983126 +01.1080418450448|-14.924 -25.061   |9.62     |F8               |    ~     ~          |    1|  187.526   pc  |  -0.4712     +0.4712  |paral   |2020yCat.1350....0G
5025|HD 344640                                                                                                |Star                                  |19 37 00.1209838296 +22 25 29.791312680|057.9422985966867 +00.6567140428883|  7.411 -13.068   |9.92     |F0               |    ~     ~          |    1|  458.148   pc  |  -3.3794     +3.3794  |paral   |2020yCat.1350....0G
5026|HD 344625                                                                                                |High Proper Motion Star               |19 37 35.1745295976 +23 12 09.185835996|058.6865166293881 +00.9194817810744|-42.107 -65.229   |9.62     |A3               |    ~     ~          |    1|  241.324   pc  |  -0.7804     +0.7804  |paral   |2020yCat.1350....0G
5027|HD 344628                                                                                                |Star                                  |19 38 03.5581235424 +22 47 30.404549724|058.3816445733465 +00.6234144332037|    5.989 3.420   |9.99     |G0               |    ~     ~          |    1|  461.872   pc  |  -3.1359     +3.1359  |paral   |2020yCat.1350....0G
5028|HD 344710                                                                                                |Star                                  |19 38 40.6903746720 +22 53 01.180493592|058.5316626527412 +00.5442255045074|  -2.599 -3.567   |9.68     |F0               |    ~     ~          |    1|  507.949   pc  |  -3.9218     +3.9218  |paral   |2020yCat.1350....0G
5029|HD 344707                                                                                                |High Proper Motion Star               |19 39 48.1095812280 +22 56 19.512611448|058.7068846204434 +00.3460164722207|-30.120 -39.693   |9.67     |A5               |    ~     ~          |    1|  362.753   pc  |  -9.6981     +9.6981  |paral   |2020yCat.1350....0G
5030|HD 344717                                                                                                |Star                                  |19 40 45.3025483992 +22 37 10.633117476|058.5376686025096 -00.0025344446974|  23.699 24.354   |10.71    |G0               |    ~     ~          |    1|  173.265   pc  |  -0.4443     +0.4443  |paral   |2020yCat.1350....0G
5031|HD 344555                                                                                                |Star                                  |19 35 20.9807575560 +23 19 55.477496568|058.5490877592703 +01.4310981968938|  -7.850 -0.663   |9.55     |K4               |    ~     ~          |    1|  436.548   pc  |  -3.1254     +3.1254  |paral   |2020yCat.1350....0G
5032|HD 344495                                                                                                |Star                                  |19 32 10.1717785032 +22 02 30.214806864|057.0644635340713 +01.4486170017578|   4.987 -1.049   |9.71     |A2               |    ~     ~          |    1|  428.321   pc  |  -4.7883     +4.7883  |paral   |2020yCat.1350....0G
5033|HD 344584                                                                                                |Star                                  |19 32 41.5666149144 +21 36 08.936005644|056.7381655842591 +01.1303932545522|   9.648 -3.064   |9.63     |G0               |    ~     ~          |    1|  237.377   pc  |  -0.8170     +0.8170  |paral   |2020yCat.1350....0G
5034|HD 184275                                                                                                |Star                                  |19 32 56.5997941512 +21 27 22.691824488|056.6382809837096 +01.0087791962456|    1.188 0.249   |7.84     |K1III            |    ~     ~          |    1|  310.203   pc  |  -1.8572     +1.8572  |paral   |2020yCat.1350....0G
5035|HD 184385                                                                                                |High Proper Motion Star               |19 33 25.5526276656 +21 50 25.176346080|057.0287254851865 +01.0962501003915|-21.439 -205.771  |6.880    |G8V              |    ~     ~          |    1|   20.846   pc  |  -0.0075     +0.0075  |paral   |2020yCat.1350....0G
5036|HD 344593                                                                                                |Star                                  |19 33 46.9373933568 +21 30 57.765305952|056.7849841239593 +00.8668558062430| -0.720 -16.966   |9.076    |K6               |    ~     ~          |    1|  397.472   pc  |  -2.4172     +2.4172  |paral   |2020yCat.1350....0G
5037|HD 344576                                                                                                |High Proper Motion Star               |19 33 59.0279937360 +21 59 17.663538228|057.2208256033317 +01.0546115866247|  76.219 65.970   |8.46     |G5               |    ~     ~          |    1|   48.986   pc  |  -0.0444     +0.0444  |paral   |2020yCat.1350....0G
5038|HD 184501                                                                                                |Star                                  |19 34 01.9835792712 +22 01 14.003600628|057.2546340924479 +01.0602782364680|  13.580 18.883   |8.10     |A7V              |    ~     ~          |    1|  175.021   pc  |  -0.6463     +0.6463  |paral   |2020yCat.1350....0G
5039|HD 344586                                                                                                |Star                                  |19 34 06.8607711936 +21 44 24.819304236|057.0185159017244 +00.9079475949429|   9.297 -0.168   |9.64     |F1               |    ~     ~          |    1|  208.151   pc  |  -0.7582     +0.7582  |paral   |2020yCat.1350....0G
5040|HD 344590                                                                                                |Star                                  |19 34 21.2962135584 +21 42 35.597564532|057.0190696871605 +00.8443690227119|   0.668 -7.980   |9.20     |B8               |    ~     ~          |    1|  539.054   pc  |  -4.5330     +4.5330  |paral   |2020yCat.1350....0G
5041|HD 344587                                                                                                |Star                                  |19 34 26.5416187008 +21 46 35.659266672|057.0872384767539 +00.8589600687449|   4.331 -7.901   |9.49     |A3               |    ~     ~          |    1|  287.365   pc  |  -1.3130     +1.3130  |paral   |2020yCat.1350....0G
5042|HD 344588                                                                                                |Star                                  |19 34 28.7534518488 +21 47 56.681003076|057.1110730175178 +00.8623948245525| 23.117 -14.130   |8.50     |K0               |    ~     ~          |    1|  169.414   pc  |  -0.5712     +0.5712  |paral   |2020yCat.1350....0G
5043|HD 344575                                                                                                |Star                                  |19 34 28.2785698416 +21 56 31.167261924|057.2351675271884 +00.9333299388173|   35.551 0.989   |9.71     |G5               |    ~     ~          |    1|  136.335   pc  |  -0.2714     +0.2714  |paral   |2020yCat.1350....0G
5044|TYC 1613-596-1                                                                                           |Star                                  |19 35 16.3801771560 +22 03 18.482895036|057.4243427211370 +00.8258320763940|   -6.520 2.252   |10.71    |F8               |    ~     ~          |    1|  463.843   pc  |  -2.7109     +2.7109  |paral   |2020yCat.1350....0G
5045|HD 344573                                                                                                |Double or Multiple Star               |19 35 14.8961627448 +22 04 56.792124264|057.4454224748966 +00.8441161875079|   -3.326 5.439   |9.755    |G0               |    ~     ~          |    1|  409.987   pc  |  -2.2524     +2.2524  |paral   |2020yCat.1350....0G
5046|HD 344645                                                                                                |Star                                  |19 36 17.0552579160 +21 58 20.257882392|057.4661131047459 +00.5807757924102|   -1.097 0.161   |8.33     |K8               |    ~     ~          |    1|  440.529   pc  |  -3.2603     +3.2603  |paral   |2020yCat.1350....0G
5047|HD 184999                                                                                                |Star                                  |19 36 21.1520342400 +22 03 46.222186608|057.5528838490647 +00.6111171063906|    7.845 1.416   |8.86     |A                |    ~     ~          |    1|  404.973   pc  |  -3.2473     +3.2473  |paral   |2020yCat.1350....0G
5048|HD 344646                                                                                                |Star                                  |19 36 52.4816206392 +21 58 30.859310100|057.5354938217039 +00.4627360746798|  8.299 -20.571   |10.09    |G0               |    ~     ~          |    1|  154.567   pc  |  -0.3942     +0.3942  |paral   |2020yCat.1350....0G
5049|HD 185193                                                                                                |Star                                  |19 37 06.6062870976 +22 00 21.400920864|057.5889511735844 +00.4301272770310|  21.064 -2.496   |6.91     |A3               |    ~     ~          |    1|  128.559   pc  |  -0.3487     +0.3487  |paral   |2020yCat.1350....0G
5050|HD 344661                                                                                                |Star                                  |19 37 27.1801172448 +21 32 26.744745876|057.2221222158750 +00.1331894225383| -0.238 -11.316   |8.83     |A0               |    ~     ~          |    1|  401.220   pc  |  -5.8596     +5.8596  |paral   |2020yCat.1350....0G
5051|HD 344663                                                                                                |Star                                  |19 37 56.5845391824 +21 21 33.080591340|057.1196405595662 -00.0551448541871|   3.485 -6.282   |9.17     |F0               |    ~     ~          |    1|  210.141   pc  |  -0.6801     +0.6801  |paral   |2020yCat.1350....0G
5052|HD 185417                                                                                                |Star                                  |19 38 15.0810299616 +21 53 04.710772536|057.6127506587783 +00.1399872632593|-11.327 -25.823   |7.64     |K0               |    ~     ~          |    1|  293.893   pc  |  -1.5893     +1.5893  |paral   |2020yCat.1350....0G
5053|HD 185530                                                                                                |Star                                  |19 38 46.2934472208 +21 54 32.360176368|057.6931864465260 +00.0467993451319|  13.202 34.563   |8.01     |G5               |    ~     ~          |    1|  277.894   pc  |  -1.6603     +1.6603  |paral   |2020yCat.1350....0G
5054|HD 185662                                                                                                |Spectroscopic Binary                  |19 39 30.6724930392 +21 20 36.367431612|057.2852242644257 -00.3809480554388|    4.193 3.860   |7.37     |K2               |    ~     ~          |    1|  421.532   pc  |  -3.5538     +3.5538  |paral   |2020yCat.1350....0G
