C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:56:10

dec< 0&rah >=11.0&rah< 11.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6648

 #  |                                                                 identifier                                                                 |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------|-----|----------------|-------------------------|--------|-------------------
40  |BD-03 3029                                                                                                                                  |Star                              |11 00 16.8332544744 -04 12 09.672627636|258.0894535116337 +48.7473958104492|     -35.6 -6.0   |10.721   |~                    |    ~     ~    |    1|  256.099   pc  | +44.221     +95         |ST-L    |2017AJ....153...75K
41  |BD-03 3030                                                                                                                                  |Star                              |11 00 25.6622969208 -03 55 03.220647024|257.8594845105042 +48.9918572068474|  -7.110 -3.135   |9.99     |~                    |    ~     ~    |    1| 1491.202   pc  | -48.6987    +48.6987    |paral   |2020yCat.1350....0G
42  |BD-03 3031                                                                                                                                  |Star                              |11 00 25.8152523576 -04 41 21.734414916|258.5943175613751 +48.3915169230246| -23.969 -7.675   |10.96    |~                    |    ~     ~    |    1|  253.177   pc  |  -1.0576     +1.0576    |paral   |2020yCat.1350....0G
43  |BD-03 3032                                                                                                                                  |High Proper Motion Star           |11 00 54.6043556424 -04 46 42.779007516|258.8188189841854 +48.3962122041901|119.308 -91.569   |10.529   |~                    |    ~     ~    |    1|  146.326   pc  |  -1.2740     +1.2740    |ST-L    |2020AJ....160...83S
44  |BD-03 3033                                                                                                                                  |Star                              |11 01 23.7108403464 -04 00 29.576773872|258.2324742208407 +49.0733325940277|  -1.257 -5.743   |10.699   |~                    |    ~     ~    |    1|  257.701   pc  |  -4.2090     +4.2090    |ST-L    |2020AJ....160...83S
45  |BD-02 3266                                                                                                                                  |Star                              |11 01 44.1295001352 -03 03 26.907239268|257.4095315773340 +49.8639869138907|  -2.040 -2.593   |10.73    |~                    |    ~     ~    |    1|  845.451   pc  | -16.9405    +16.9405    |paral   |2020yCat.1350....0G
46  |BD-04 2997                                                                                                                                  |Horizontal Branch Star            |11 01 56.5447938336 -05 18 01.608185736|259.6067853786340 +48.1444360264461| -11.367 -5.723   |10.74    |~                    |    ~     ~    |    1| 1077.935   pc  | -24.9818    +24.9818    |paral   |2020yCat.1350....0G
47  |BD-02 3268                                                                                                                                  |High Proper Motion Star           |11 02 03.1180984848 -03 29 14.365740876|257.9251432301260 +49.5813241445563|-80.021 -35.554   |9.96     |~                    |    ~     ~    |    1|  176.778   pc  |  -4.0376     +4.0376    |paral   |2020yCat.1350....0G
48  |BD-04 2999                                                                                                                                  |Star                              |11 02 23.2382701224 -05 03 01.075008024|259.5075182528080 +48.4099155226046|  6.245 -31.171   |10.606   |~                    |    ~     ~    |    1|  349.156   pc  |  -8.2140     +8.2140    |ST-L    |2020AJ....160...83S
49  |BD-02 3271                                                                                                                                  |Star                              |11 02 39.2732048112 -03 21 41.458574016|257.9830554609079 +49.7737729422970| -28.068 -0.785   |10.33    |~                    |    ~     ~    |    1|  262.281   pc  |  -1.1970     +1.1970    |paral   |2020yCat.1350....0G
50  |BD-02 3276                                                                                                                                  |High Proper Motion Star           |11 03 07.1298212160 -03 27 07.628483520|258.2107818457574 +49.7761431273354| -56.377 19.215   |9.82     |~                    |    ~     ~    |    1|  135.746   pc  |  -0.4607     +0.4607    |paral   |2020yCat.1350....0G
51  |TYC 4924-1444-1                                                                                                                             |Star                              |11 00 52.4398206624 -04 39 40.952607516|258.6983039377270 +48.4823419473652|  -0.217 -1.786   |10.577   |~                    |    ~     ~    |    1| 1875.640   pc  |-222.9000   +222.9000    |ST-L    |2020AJ....160...83S
52  |TYC 4924-1067-1                                                                                                                             |Star                              |11 02 11.1661255464 -03 34 57.783507132|258.0578367295025 +49.5283121480403| -16.886 10.972   |10.90    |~                    |    ~     ~    |    1|  439.039   pc  |  -5.4164     +5.4164    |paral   |2020yCat.1350....0G
53  |BD-02 3274                                                                                                                                  |Star                              |11 02 58.6465584528 -03 22 30.853521804|258.0934495591025 +49.8138144477561| -25.766 -1.096   |9.91     |~                    |    ~     ~    |    1|  274.225   pc  |  -5.5150     +5.5150    |ST-L    |2020AJ....160...83S
54  |HD 95468                                                                                                                                    |Star                              |11 01 08.4718549392 -05 41 25.937227752|259.7283881521769 +47.7139873884759|   -4.623 0.135   |8.93     |A8/F0III             |    ~     ~    |    1|  280.497   pc  |  -8.4186     +8.4186    |paral   |2020yCat.1350....0G
55  |BD-04 3000                                                                                                                                  |Spectroscopic Binary              |11 02 56.2649288784 -05 27 23.425560720|260.0437306096027 +48.1722142660222|    9.451 9.502   |10.80    |~                    |    ~     ~    |    1|   90.099   pc  |  -1.9220     +1.9220    |ST-L    |2020AJ....160...83S
