C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:56:44

dec >=0&rah >=11.25&rah< 11.5&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2263

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------|-----|----------------|-----------------------|--------|-------------------
33  |HD 98005                                                                                                                                    |Star                                |11 19 09.1249916760 +80 58 29.169566976|127.2551811267535 +35.3650415934801|-28.612 -23.643   |8.31     |K0                  |    ~     ~    |    1|  503.931   pc  |  -4.2155     +4.2155  |paral   |2020yCat.1350....0G
34  |BD+81 367                                                                                                                                   |Star                                |11 23 45.7998122592 +80 33 31.267087920|127.2628543472873 +35.8203260269767|   -5.183 0.842   |10.21    |G5                  |    ~     ~    |    1|  557.165   pc  |  -3.5389     +3.5389  |paral   |2020yCat.1350....0G
35  |BD+81 368                                                                                                                                   |Star                                |11 25 31.2859199640 +80 50 45.444820020|127.0395572088193 +35.5864743883490|   6.140 -3.222   |10.59    |K5                  |    ~     ~    |    1| 1623.904   pc  | -36.1278    +36.1278  |paral   |2020yCat.1350....0G
36  |HD 99150                                                                                                                                    |Star                                |11 26 51.5261757840 +80 33 02.451140424|127.1234433092874 +35.8788279378790|   -6.800 9.217   |9.49     |A0                  |    ~     ~    |    1|  432.171   pc  |  -5.8273     +5.8273  |paral   |2020yCat.1350....0G
37  |BD+80 349                                                                                                                                   |High Proper Motion Star             |11 16 37.6982457000 +80 02 58.816628268|127.8669041107175 +36.1525641025775| -33.051 58.333   |10.20    |K0                  |    ~     ~    |    1|   67.627   pc  |  -0.2483     +0.2483  |paral   |2020yCat.1350....0G
38  |HD 99326                                                                                                                                    |Star                                |11 27 48.2935442784 +79 46 19.893183564|127.4596150090412 +36.6096970249845|  6.939 -21.784   |8.56     |F0                  |    ~     ~    |    1|  161.507   pc  |  -0.6417     +0.6417  |paral   |2020yCat.1350....0G
39  |HD 97632                                                                                                                                    |Star                                |11 16 38.6220673056 +79 32 10.372245324|128.1495466181315 +36.6128478007823| -10.518 -8.409   |8.000    |K0                  |    ~     ~    |    1|  447.908   pc  |  -3.9121     +3.9121  |paral   |2020yCat.1350....0G
40  |BD+80 352                                                                                                                                   |Star                                |11 24 04.3552674072 +79 25 59.486049984|127.8229409601421 +36.8515235433637| -19.208 -7.612   |9.74     |K0                  |    ~     ~    |    1|  482.765   pc  |  -3.5425     +3.5425  |paral   |2020yCat.1350....0G
41  |BD+79 357                                                                                                                                   |Star                                |11 19 15.1269637200 +79 00 33.268930740|128.3041349953655 +37.1392819425543| -29.909 23.491   |9.83     |G5                  |    ~     ~    |    1|  171.444   pc  |  -0.3880     +0.3880  |paral   |2020yCat.1350....0G
42  |BD+79 361                                                                                                                                   |Star                                |11 26 49.1127695856 +79 05 57.574390668|127.8476127390878 +37.2084834687918|    2.827 9.236   |9.62     |F0                  |    ~     ~    |    1|  254.570   pc  |  -5.7742     +5.7742  |paral   |2020yCat.1350....0G
43  |TYC 4552-130-1                                                                                                                              |Star                                |11 21 20.9867664264 +79 32 03.413521716|127.9107973361260 +36.7076406262192|   8.326 -2.662   |10.63    |~                   |    ~     ~    |    1| 1136.105   pc  | -19.2320    +19.2320  |paral   |2020yCat.1350....0G
44  |TYC 4552-184-1                                                                                                                              |Star                                |11 18 30.7559420328 +79 23 40.397845776|128.1320637557267 +36.7776736070466|-11.792 -10.129   |10.75    |~                   |    ~     ~    |    1|  275.566   pc  |  -1.1998     +1.1998  |paral   |2020yCat.1350....0G
45  |TYC 4552-240-1                                                                                                                              |Star                                |11 29 30.2873361384 +78 50 31.585176888|127.8280917780008 +37.4955806727776|-29.007 -16.370   |10.39    |~                   |    ~     ~    |    1|  722.335   pc  |  -7.3569     +7.3569  |paral   |2020yCat.1350....0G
46  |TYC 4552-255-1                                                                                                                              |Star                                |11 27 47.4065514888 +78 51 46.636360848|127.9135518227988 +37.4435943990187|  -4.089 -2.612   |10.69    |~                   |    ~     ~    |    1|  318.319   pc  |  -1.2463     +1.2463  |paral   |2020yCat.1350....0G
47  |TYC 4552-281-1                                                                                                                              |Star                                |11 20 35.9555785968 +78 54 03.935880252|128.2901539289156 +37.2647202591959|  -6.247 -7.196   |10.96    |~                   |    ~     ~    |    1|  322.186   pc  |  -1.2872     +1.2872  |paral   |2020yCat.1350....0G
48  |TYC 4552-331-1                                                                                                                              |Star                                |11 23 02.1301694688 +79 04 44.970328272|128.0627898083568 +37.1531600946169|   46.359 7.628   |10.76    |~                   |    ~     ~    |    1|  281.120   pc  |  -1.2249     +1.2249  |paral   |2020yCat.1350....0G
49  |TYC 4552-358-1                                                                                                                              |Star                                |11 18 38.0638230048 +79 07 04.614849696|128.2774471640800 +37.0287272087951|-19.819 -19.478   |10.85    |~                   |    ~     ~    |    1|  337.280   pc  |  -1.1376     +1.1376  |paral   |2020yCat.1350....0G
50  |TYC 4552-390-1                                                                                                                              |Star                                |11 19 48.6644885760 +79 14 38.618342880|128.1463669272767 +36.9393430675322|  -10.921 1.703   |10.94    |~                   |    ~     ~    |    1| 1052.078   pc  | -14.0572    +14.0572  |paral   |2020yCat.1350....0G
51  |TYC 4555-438-1                                                                                                                              |Star                                |11 25 32.7498329976 +80 02 07.073556036|127.4415673851196 +36.3289584275528|   -1.028 3.778   |10.17    |~                   |    ~     ~    |    1|  725.005   pc  |  -7.2012     +7.2012  |paral   |2020yCat.1350....0G
52  |BD+79 355                                                                                                                                   |Star                                |11 15 31.8812526144 +78 16 45.680814264|128.9213580525152 +37.7102321402966|   5.137 -0.587   |9.52     |K0                  |    ~     ~    |    1|  609.273   pc  |  -4.5659     +4.5659  |paral   |2020yCat.1350....0G
53  |HD 97619                                                                                                                                    |High Proper Motion Star             |11 16 08.9178634296 +78 18 32.243359536|128.8690829341281 +37.6981526687327|-67.175 -11.862   |6.882    |K0                  |    ~     ~    |    1|  212.517   pc  |  -0.7091     +0.7091  |paral   |2020yCat.1350....0G
54  |BD+79 359                                                                                                                                   |Star                                |11 21 42.4113980904 +78 27 28.109305728|128.4687676824387 +37.6882325747288|  -6.826 -5.911   |10.12    |F2                  |    ~     ~    |    1|  443.557   pc  |  -4.2693     +4.2693  |paral   |2020yCat.1350....0G
55  |BD+79 363                                                                                                                                   |Star                                |11 28 55.6544016174 +78 22 03.407051226|128.0981001252563 +37.9202294642904| -6.077 -23.074   |10.96    |K                   |    ~     ~    |    0|                |                       |        |                   
56  |BD+78 383                                                                                                                                   |Star                                |11 20 49.9391585712 +78 09 54.755731476|128.6792793480884 +37.9330088859656|  22.167 -0.206   |9.56     |K5                  |    ~     ~    |    1|  579.811   pc  |  -3.9333     +3.9333  |paral   |2020yCat.1350....0G
57  |HD 97888                                                                                                                                    |Star                                |11 17 28.6664383992 +77 17 28.731745392|129.3774391203239 +38.6366563036371|    2.208 4.796   |8.70     |F8                  |    ~     ~    |    1|  206.113   pc  |  -0.5480     +0.5480  |paral   |2020yCat.1350....0G
58  |BD+78 382                                                                                                                                   |Star                                |11 18 38.5352783160 +77 21 00.593662104|129.2704520460685 +38.6129879380012| -3.320 -20.827   |9.84     |F8                  |    ~     ~    |    1|  170.245   pc  |  -0.3565     +0.3565  |paral   |2020yCat.1350....0G
59  |HD 98661                                                                                                                                    |High Proper Motion Star             |11 22 49.5303641496 +77 22 24.388238316|128.9941539780999 +38.6926091098539|  -92.050 6.898   |7.44     |F5                  |    ~     ~    |    1|   62.302   pc  |  -0.0691     +0.0691  |paral   |2020yCat.1350....0G
60  |BD+78 386                                                                                                                                   |Star                                |11 25 41.3749242696 +77 42 48.208509936|128.6313479613255 +38.4498015348730|   0.927 15.399   |10.50    |F8                  |    ~     ~    |    1|  122.837   pc  |  -0.1977     +0.1977  |paral   |2020yCat.1350....0G
61  |HD 97810                                                                                                                                    |Spectroscopic Binary                |11 17 06.8701181232 +76 43 11.257664844|129.7360127125775 +39.1358064729993|  8.747 -12.732   |9.03     |K0                  |    ~     ~    |    1|  791.891   pc  | -14.9875    +14.9875  |paral   |2020yCat.1350....0G
62  |BD+77 428                                                                                                                                   |Star                                |11 20 22.6526043624 +77 00 28.053761220|129.3557064907073 +38.9623710007297|   17.967 5.106   |9.96     |K2                  |    ~     ~    |    1|  457.519   pc  |  -2.4491     +2.4491  |paral   |2020yCat.1350....0G
63  |BD+77 429                                                                                                                                   |Star                                |11 21 44.1454342032 +76 56 56.049838188|129.3006438783183 +39.0489193251722|  -7.958 -4.565   |10.47    |A2                  |    ~     ~    |    1|  355.657   pc  |  -1.8721     +1.8721  |paral   |2020yCat.1350....0G
64  |BD+77 430                                                                                                                                   |Star                                |11 21 49.6928138304 +76 12 18.345562632|129.7169448846125 +39.7195532937729| -4.421 -12.951   |9.17     |G5                  |    ~     ~    |    1|  162.288   pc  |  -0.3503     +0.3503  |paral   |2020yCat.1350....0G
65  |BD+77 431                                                                                                                                   |Star                                |11 22 05.3479147320 +76 55 25.052862684|129.2917131949602 +39.0803771086632|    3.238 2.368   |10.44    |A5                  |    ~     ~    |    1|  388.410   pc  |  -1.7953     +1.7953  |paral   |2020yCat.1350....0G
66  |HD 98601                                                                                                                                    |High Proper Motion Star             |11 22 18.7051444104 +77 04 11.846268408|129.1953028314261 +38.9540492953539|-51.156 -30.885   |8.62     |G0                  |    ~     ~    |    1|  130.995   pc  |  -0.7430     +0.7430  |paral   |2020yCat.1350....0G
67  |HD 98796                                                                                                                                    |Star                                |11 23 43.0133393472 +76 20 09.980095704|129.5116391660299 +39.6505717088308|-43.206 -12.636   |8.66     |F8                  |    ~     ~    |    1|  182.505   pc  |  -0.4796     +0.4796  |paral   |2020yCat.1350....0G
68  |BD+77 434                                                                                                                                   |Star                                |11 25 24.7031812584 +77 01 36.090854544|129.0169570668253 +39.0673548513363|    0.283 9.303   |9.37     |G5                  |    ~     ~    |    1|  273.321   pc  | -11.6539    +11.6539  |paral   |2020yCat.1350....0G
69  |HD 99659                                                                                                                                    |Star                                |11 29 18.3274339392 +76 24 17.081127432|129.0857953200156 +39.7261359155786|  -9.620 -0.173   |9.34     |K2                  |    ~     ~    |    1| 1473.839   pc  | -38.2308    +38.2308  |paral   |2020yCat.1350....0G
70  |HD 98228                                                                                                                                    |Star                                |11 19 38.7009329520 +76 09 56.018375424|129.8914908884057 +39.6968150314900|  4.475 -10.402   |8.33     |F0                  |    ~     ~    |    1|  174.216   pc  |  -0.4917     +0.4917  |paral   |2020yCat.1350....0G
71  |TYC 4549-273-1                                                                                                                              |Spectroscopic Binary                |11 23 26.6048598288 +77 11 14.511473772|129.0571710880470 +38.8752792421070|  -5.680 -6.586   |10.76    |~                   |    ~     ~    |    1| 1353.730   pc  | -99.6925    +99.6925  |paral   |2020yCat.1350....0G
72  |TYC 4549-357-1                                                                                                                              |Star                                |11 18 23.6530149480 +76 59 00.047778108|129.4980764321421 +38.9343177729490|  0.853 -11.061   |10.58    |~                   |    ~     ~    |    1|  291.664   pc  |  -0.9953     +0.9953  |paral   |2020yCat.1350....0G
73  |TYC 4549-616-1                                                                                                                              |Star                                |11 20 49.8666334920 +76 00 57.947535252|129.8958831306902 +39.8623708454453|  -2.715 -2.611   |10.52    |~                   |    ~     ~    |    1|  800.256   pc  |  -7.2366     +7.2366  |paral   |2020yCat.1350....0G
74  |TYC 4549-670-1                                                                                                                              |Star                                |11 26 58.6207430400 +76 53 47.427227412|128.9835013940305 +39.2224954268114|    0.471 8.822   |10.86    |~                   |    ~     ~    |    1|  375.643   pc  |  -1.5804     +1.5804  |paral   |2020yCat.1350....0G
75  |TYC 4549-719-1                                                                                                                              |Star                                |11 18 19.1043946152 +76 05 30.571163880|130.0271071735169 +39.7263955735079|  -0.412 -0.731   |10.15    |~                   |    ~     ~    |    1| 1256.913   pc  | -21.9596    +21.9596  |paral   |2020yCat.1350....0G
76  |TYC 4552-38-1                                                                                                                               |Star                                |11 27 12.1470504912 +77 50 31.149241368|128.4706771460127 +38.3655633851338| 15.494 -15.184   |10.83    |~                   |    ~     ~    |    1|  408.180   pc  |  -3.7987     +3.7987  |paral   |2020yCat.1350....0G
