C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:32:59

dec >=0&rah >=2.75&rah< 3.0&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4298

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
66  |BD+38 561                                                                                                |Star                                |02 49 00.8313854808 +39 12 49.319513712|146.5306365045599 -18.2103999501702|  40.496 10.648  |9.12     |K0                   |    ~     ~    |    1|  603.282   pc  |  -6.3691     +6.3691  |paral   |2020yCat.1350....0G
67  |BD+36 552                                                                                                |Star                                |02 45 58.9704335112 +37 11 53.067929784|146.9459329094700 -20.2752173690676|   6.814 -8.916  |9.71     |G5                   |    ~     ~    |    1|  674.809   pc  |  -8.2422     +8.2422  |paral   |2020yCat.1350....0G
68  |BD+36 562                                                                                                |Star                                |02 48 57.0645552888 +36 37 15.935126160|147.7912884247537 -20.5141958224472|  7.271 -11.627  |10.44    |F8                   |    ~     ~    |    1|  327.933   pc  |  -2.5164     +2.5164  |paral   |2020yCat.1350....0G
69  |HD 17510                                                                                                 |Star                                |02 49 34.6343262911 +36 48 29.150606541|147.8165134105934 -20.2902348719093| 31.462 -28.211  |8.29     |F0                   |    ~     ~    |    1|  138.891   pc  |  -0.6288     +0.6288  |paral   |2020yCat.1350....0G
70  |BD+36 561                                                                                                |Star                                |02 48 57.356 +37 14 41.18              |147.482881 -19.961707              |            ~ ~  |9.5      |~                    |    ~     ~    |    0|                |                       |        |                   
71  |TYC 2337-748-1                                                                                           |Star                                |02 47 39.9181845552 +37 16 45.214866876|147.2236046269279 -20.0498813949989| 14.038 -12.669  |9.83     |~                    |    ~     ~    |    1|  570.190   pc  |  -5.6570     +5.6570  |paral   |2020yCat.1350....0G
72  |TYC 2337-754-1                                                                                           |Star                                |02 47 14.8967358432 +37 04 05.774272968|147.2483246328930 -20.2754135707059|  8.184 -23.523  |10.42    |~                    |    ~     ~    |    1|  176.523   pc  |  -0.5453     +0.5453  |paral   |2020yCat.1350....0G
73  |TYC 2337-766-1                                                                                           |Star                                |02 50 45.0631653552 +37 19 40.352058300|147.7771633912850 -19.7213512404221|   0.645 -7.814  |10.38    |~                    |    ~     ~    |    1|  501.303   pc  |  -7.8156     +7.8156  |paral   |2020yCat.1350....0G
74  |TYC 2337-838-1                                                                                           |High Proper Motion Star             |02 48 24.8866551600 +37 26 34.507945284|147.2838713104158 -19.8359549438758| -6.529 -53.459  |10.76    |~                    |    ~     ~    |    1|  127.283   pc  |  -0.2997     +0.2997  |paral   |2020yCat.1350....0G
75  |TYC 2337-848-1                                                                                           |Star                                |02 46 46.6414506792 +37 23 08.968725780|147.0046040808584 -20.0360789592484|  29.539 -7.976  |10.43    |~                    |    ~     ~    |    1|  737.790   pc  |  -8.9271     +8.9271  |paral   |2020yCat.1350....0G
76  |TYC 2337-852-1                                                                                           |Star                                |02 49 07.6345250880 +36 48 56.591327124|147.7277957724499 -20.3255552253221|-11.391 -44.471  |10.73    |~                    |    ~     ~    |    1|  186.947   pc  |  -0.5382     +0.5382  |paral   |2020yCat.1350....0G
77  |TYC 2337-1007-1                                                                                          |Star                                |02 48 30.2516196648 +36 53 47.957738676|147.5700029893554 -20.3118708702218| 25.524 -33.150  |10.47    |~                    |    ~     ~    |    1|  156.703   pc  |  -0.4297     +0.4297  |paral   |2020yCat.1350....0G
78  |TYC 2337-1050-1                                                                                          |Horizontal Branch Star              |02 48 05.2086948240 +37 11 39.058060236|147.3446026718143 -20.0866798853480|  27.224 -8.542  |10.66    |~                    |    ~     ~    |    1|  892.299   pc  | -12.2615    +12.2615  |paral   |2020yCat.1350....0G
