C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:16:52

dec< 0&rah >=13.75&rah< 14.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5890

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type   |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|----------------|---------------------|-----|----------------|-----------------------|--------|-------------------
3770|TYC 8668-885-1                                                                                           |Star                                |13 59 15.0387374952 -54 30 30.851494956|312.7538729439280 +07.0648523380973| -11.875 -3.970    |10.86    |~               |    ~     ~          |    1|  589.171   pc  |  -7.1507     +7.1507  |paral   |2020yCat.1350....0G
3771|TYC 8668-902-1                                                                                           |Star                                |13 58 44.1600763488 -55 07 08.333159016|312.5217292662923 +06.4948002631337|  -5.477 -7.361    |10.799   |~               |    ~     ~          |    1|  809.741   pc  | -41.3400    +41.3400  |ST-L    |2020AJ....160...83S
3772|TYC 8668-916-1                                                                                           |Pulsating Variable                  |13 46 51.3455882808 -55 23 29.735466144|310.8015107584723 +06.6311299153175|  -2.189 -0.045    |10.78    |~               |    ~     ~          |    1|  903.342   pc  | -20.5639    +20.5639  |paral   |2020yCat.1350....0G
3773|TYC 8668-935-1                                                                                           |Star                                |13 59 51.9695073384 -54 26 42.793340316|312.8575725903502 +07.1024936171121| -13.907 -6.084    |10.96    |~               |    ~     ~          |    1|  421.994   pc  |  -5.9478     +5.9478  |paral   |2020yCat.1350....0G
3774|TYC 8668-1011-1                                                                                          |Star                                |13 54 55.1320670544 -54 46 36.342359796|312.0746242265239 +06.9641852475628| -20.470 -9.640    |10.92    |~               |    ~     ~          |    1|  605.767   pc  |  -5.8346     +5.8346  |paral   |2020yCat.1350....0G
3775|TYC 8668-1022-1                                                                                          |Star                                |13 57 50.4945783168 -54 58 03.392862636|312.4363733207372 +06.6740698305821| -8.384 -16.886    |10.44    |~               |    ~     ~          |    1|  305.661   pc  |  -6.7549     +6.7549  |paral   |2020yCat.1350....0G
3776|TYC 8668-1115-1                                                                                          |Star                                |13 56 57.1801549704 -55 19 26.314112604|312.2215936250692 +06.3616946151286| -10.367 -5.079    |10.60    |~               |    ~     ~          |    1|  619.464   pc  | -10.7830    +10.7830  |paral   |2020yCat.1350....0G
3777|TYC 8668-1201-1                                                                                          |Star                                |13 50 34.8255530352 -54 40 57.160114500|311.4840184548569 +07.2041877190385|-24.081 -14.303    |10.89    |~               |    ~     ~          |    1|  404.187   pc  |  -2.8099     +2.8099  |paral   |2020yCat.1350....0G
3778|TYC 8668-1241-1                                                                                          |Star                                |13 52 43.2514794792 -55 23 14.948304324|311.6191031436979 +06.4472319415206|-38.676 -20.514    |10.85    |~               |    ~     ~          |    1|  358.474   pc  |  -2.1460     +2.1460  |paral   |2020yCat.1350....0G
3779|TYC 8668-1257-1                                                                                          |Star                                |13 47 45.1169133264 -55 56 44.929249116|310.8051215303253 +06.0626998321554| -17.566 -3.849    |9.96     |~               |    ~     ~          |    1|  601.181   pc  | -21.0100    +21.0100  |ST-L    |2020AJ....160...83S
3780|TYC 8668-1292-1                                                                                          |Spectroscopic Binary                |13 55 58.2136303968 -55 05 50.846768232|312.1421770204865 +06.6161260942556|  -3.359 -0.590    |10.50    |~               |    ~     ~          |    1|  854.920   pc  | -18.3453    +18.3453  |paral   |2020yCat.1350....0G
3781|TYC 8668-1341-1                                                                                          |Star                                |13 58 02.0476272840 -55 19 58.543598820|312.3689062060570 +06.3139011230522|  -0.201 -1.842    |10.45    |~               |    ~     ~          |    1|  347.596   pc  |  -1.8244     +1.8244  |paral   |2020yCat.1350....0G
3782|TYC 8668-1354-1                                                                                          |Star                                |13 48 17.8070335704 -55 41 28.746691152|310.9362337636228 +06.2942865213531| -15.613 -0.712    |10.94    |~               |    ~     ~          |    1|  459.812   pc  |  -4.2497     +4.2497  |paral   |2020yCat.1350....0G
3783|TYC 8668-1388-1                                                                                          |Star                                |13 47 05.8956270288 -54 36 48.967145856|311.0043917049725 +07.3834142439047| -15.956 -8.446    |10.93    |~               |    ~     ~          |    1|  892.777   pc  | -15.3034    +15.3034  |paral   |2020yCat.1350....0G
3784|TYC 8668-1457-1                                                                                          |Star                                |13 59 03.1678904424 -55 00 11.525304204|312.5961022090037 +06.5948144304784|   4.401 -0.563    |10.71    |~               |    ~     ~          |    1|  357.820   pc  |  -4.1739     +4.1739  |paral   |2020yCat.1350....0G
3785|TYC 8668-1545-1                                                                                          |Star                                |13 48 38.7886900512 -55 40 40.235936340|310.9875866280938 +06.2965611608852| -27.683 -5.855    |10.89    |~               |    ~     ~          |    1|  303.767   pc  |  -1.9101     +1.9101  |paral   |2020yCat.1350....0G
3786|TYC 8668-1546-1                                                                                          |Star                                |13 52 39.4064913456 -55 34 16.196915064|311.5665196273306 +06.2709091430834|   2.932 -4.323    |10.53    |~               |    ~     ~          |    1|  285.152   pc  |  -1.1790     +1.1790  |paral   |2020yCat.1350....0G
3787|TYC 8668-1801-1                                                                                          |Star                                |13 59 55.2529012752 -54 44 57.380209872|312.7844580833453 +06.8071242952076|  -2.688 -6.240    |10.69    |~               |    ~     ~          |    1|  939.055   pc  | -19.2238    +19.2238  |paral   |2020yCat.1350....0G
3788|HD 121384                                                                                                |High Proper Motion Star             |13 56 32.9436065448 -54 42 16.783257240|312.3222561391917 +06.9756215133852|-39.077 -227.312   |6.01     |G8VCH+0.3CaIwk  |    ~     ~          |    1|   40.312   pc  |  -0.2819     +0.2819  |paral   |2020yCat.1350....0G
3789|HD 120260                                                                                                |Star                                |13 49 50.5840767912 -56 00 10.126655100|311.0792438353650 +05.9422822132371| -9.160 -13.336    |9.54     |K1(III)         |    ~     ~          |    1|  385.253   pc  |  -2.2263     +2.2263  |paral   |2020yCat.1350....0G
3790|HD 120520                                                                                                |Star                                |13 51 28.5922952112 -56 13 27.098800248|311.2511751643449 +05.6747155405877|   -9.060 0.637    |9.27     |K1III           |    ~     ~          |    1|  592.733   pc  |  -5.2700     +5.2700  |paral   |2020yCat.1350....0G
3791|HD 120748                                                                                                |Star                                |13 52 53.2569301632 -56 10 46.435754244|311.4533941010998 +05.6721274777408| -13.058 -6.565    |10.39    |A1/2(III)       |    ~     ~          |    1|  635.122   pc  |  -6.5751     +6.5751  |paral   |2020yCat.1350....0G
3792|HD 121040                                                                                                |Spectroscopic Binary                |13 54 38.3065448088 -55 44 17.960152740|311.7990756991827 +06.0415568833372|-33.528 -17.867    |7.24     |A9V             |    ~     ~          |    1|   91.450   pc  |  -0.7309     +0.7309  |paral   |2020yCat.1350....0G
3793|HD 121280                                                                                                |Red Giant Branch star               |13 56 04.5932788536 -55 57 10.999861596|311.9425733120490 +05.7837210151790|-27.863 -19.517    |6.83     |K0III           |    ~     ~          |    1|  186.366   pc  |  -0.6495     +0.6495  |paral   |2020yCat.1350....0G
3794|HD 121309                                                                                                |Star                                |13 56 15.5217478008 -55 54 18.690190632|311.9793993769532 +05.8237134557379| -22.699 -6.896    |9.15     |K2/3III         |    ~     ~          |    1|  602.773   pc  |  -5.8134     +5.8134  |paral   |2020yCat.1350....0G
3795|HD 121874                                                                                                |High Proper Motion Star             |13 59 37.0796952840 -55 44 24.647572932|312.4802950451358 +05.8624686798801|-42.671 -27.211    |8.74     |F5V             |    ~     ~          |    1|  167.344   pc  |  -0.4985     +0.4985  |paral   |2020yCat.1350....0G
3796|WRAY 18-267                                                                                              |Star                                |13 51 06.6464479872 -56 19 18.177928536|311.1789071686138 +05.5915534700634|  -9.644 -7.332    |10.81    |M3.5II-III      |    ~     ~          |    1| 1017.294   pc  | -21.8361    +21.8361  |paral   |2020yCat.1350....0G
3797|IRAS 13552-5529                                                                                          |Long-Period Variable Candidate      |13 58 36.0645758784 -55 43 43.655328768|312.3443408950075 +05.9107302930699| -20.659 -8.836    |10.64    |M5              |    ~     ~          |    1|  958.038   pc  | -36.071     +36.071   |paral   |2020yCat.1350....0G
3798|CD-55 5402                                                                                               |Star                                |13 54 07.3411093200 -56 03 24.776709300|311.6508157964453 +05.7500702356277|   -8.244 5.285    |10.37    |~               |    ~     ~          |    1|  629.485   pc  |  -5.9438     +5.9438  |paral   |2020yCat.1350....0G
3799|CD-54 5485                                                                                               |Star                                |13 58 42.1650452112 -55 28 43.329659736|312.4233514908421 +06.1485908499970|  12.282 -1.042    |10.31    |~               |    ~     ~          |    0|                |                       |        |                   
3800|HD 120100                                                                                                |Star                                |13 48 48.1028941368 -56 17 20.677693020|310.8728264188150 +05.6956850903843| 12.516 -27.844    |9.12     |G8V             |    ~     ~          |    1|   68.035   pc  |  -0.0625     +0.0625  |paral   |2020yCat.1350....0G
3801|CPD-55 5793                                                                                              |Star                                |13 57 20.7645100944 -56 02 02.999245020|312.0947561266739 +05.6606035134686| -14.334 -4.462    |9.17     |~               |    ~     ~          |    1|  208.1425  pc  | -18.9323    +18.9323  |paral   |2018yCat.1345....0G
3802|HD 121600                                                                                                |Star                                |13 57 54.8209858824 -56 04 07.834900476|312.1628835357479 +05.6068858744695|  -2.839 -4.122    |8.48     |F0IV            |    ~     ~          |    1|  209.723   pc  |  -1.4163     +1.4163  |paral   |2020yCat.1350....0G
3803|HD 120660                                                                                                |Star                                |13 52 21.8340150624 -56 32 15.144967788|311.2977470151890 +05.3413645641911| -10.984 -5.601    |10.46    |A0V             |    ~     ~          |    1|  624.766   pc  |  -8.0408     +8.0408  |paral   |2020yCat.1350....0G
3804|HD 120963                                                                                                |Star                                |13 54 11.9773034256 -56 22 09.043084920|311.5854472973747 +05.4444365553840| -14.418 -8.508    |10.61    |A7/8V           |    ~     ~          |    1|  468.121   pc  |  -4.4047     +4.4047  |paral   |2020yCat.1350....0G
3805|HD 121177                                                                                                |Star                                |13 55 16.7821677288 -56 29 08.961865152|311.7023394581106 +05.2949112950674| -14.510 -6.968    |9.75     |B8/9II          |    ~     ~          |    1|  931.012   pc  | -17.6824    +17.6824  |paral   |2020yCat.1350....0G
3806|HD 121361                                                                                                |Double or Multiple Star             |13 56 27.5262 -56 21 35.610            |311.8923239 +05.3764785            |     -7.10 3.40    |10.21    |F7/8V           |    ~     ~          |    0|                |                       |        |                   
3807|HD 121583                                                                                                |Star                                |13 57 50.3202689880 -56 24 37.026816984|312.0651100887544 +05.2794446164223|  -8.018 -5.940    |9.81     |B9II/III(pSi)   |    ~     ~          |    1|  758.380   pc  | -13.1132    +13.1132  |paral   |2020yCat.1350....0G
3808|V* V1302 Cen                                                                                             |Carbon Star                         |13 58 17.1148962816 -56 21 11.298686220|312.1398194763760 +05.3188484891028|  -11.515 0.759    |7.44     |C               |    ~     ~          |    1|  910.747   pc  | -19.0776    +19.0776  |paral   |2020yCat.1350....0G
3809|HD 121837                                                                                                |Star                                |13 59 27.8641734408 -56 17 46.902172164|312.3131539536620 +05.3313108923871|  -9.456 -5.825    |10.79    |B9/A1(V)        |    ~     ~          |    1|  504.108   pc  | -19.6947    +19.6947  |paral   |2020yCat.1350....0G
3810|HD 120796                                                                                                |Star                                |13 53 10.6101489432 -56 37 08.691873168|311.3876269360283 +05.2356772926269|  -0.533 -2.940    |9.92     |A1V             |    ~     ~          |    0|                |                       |        |                   
3811|HD 120797                                                                                                |High Proper Motion Star             |13 53 15.7368696480 -56 41 54.842528904|311.3800815445092 +05.1556807403445| 46.560 -20.308    |9.07     |F7V             |    ~     ~          |    1|  140.031   pc  |  -0.3079     +0.3079  |paral   |2020yCat.1350....0G
3812|CD-56 5192                                                                                               |Star                                |13 54 11.6449491672 -57 05 11.980975164|311.4106493904121 +04.7483983011788|  -6.237 -1.218    |10.52    |OB-             |    ~     ~          |    1| 3226.847   pc  |-166.6007   +166.6007  |paral   |2020yCat.1350....0G
3813|HD 121061                                                                                                |Star                                |13 54 45.5294599272 -57 15 31.792359852|311.4432546102045 +04.5628064223043|   0.279 -2.021    |10.92    |A               |    ~     ~          |    1|  963.484   pc  | -17.9162    +17.9162  |paral   |2020yCat.1350....0G
3814|HD 121123                                                                                                |Star                                |13 55 04.0547400024 -56 44 28.864503672|311.6109887405578 +05.0543508249187|  -0.931 -5.535    |8.00     |A1IV            |    ~     ~          |    1|  341.939   pc  |  -4.6535     +4.6535  |paral   |2020yCat.1350....0G
3815|HD 121160                                                                                                |Star                                |13 55 19.1686092816 -57 11 05.544279240|311.5352176078822 +04.6159558865613|  -5.282 -4.327    |7.76     |B7/8III         |    ~     ~          |    1|  556.297   pc  |  -9.6863     +9.6863  |paral   |2020yCat.1350....0G
3816|HD 121178                                                                                                |Star                                |13 55 23.5308173688 -57 18 23.318459748|311.5147969392781 +04.4956651996321|  -9.355 -0.978    |10.43    |A               |    ~     ~          |    1|  712.606   pc  | -11.5272    +11.5272  |paral   |2020yCat.1350....0G
3817|HD 121179                                                                                                |Star                                |13 55 26.8800950472 -57 21 13.031823384|311.5104884994195 +04.4481181479747| 18.989 -15.507    |9.09     |G8/K1(III)      |    ~     ~          |    1|  388.334   pc  |  -3.1820     +3.1820  |paral   |2020yCat.1350....0G
3818|HD 121418                                                                                                |High Proper Motion Star             |13 56 52.6723982496 -57 19 41.205013968|311.7042540451533 +04.4248360584828|  51.004 15.033    |10.59    |F6/8            |    ~     ~          |    1|  143.817   pc  |  -0.3330     +0.3330  |paral   |2020yCat.1350....0G
3819|IDS 13503-5649 AB                                                                                        |Double or Multiple Star             |13 57 08.7 -57 17 24                   |311.7489 +04.4526                  |            ~ ~    |10.6     |A1/3III/IV      |    ~     ~          |    0|                |                       |        |                   
3820|HD 121505                                                                                                |Star                                |13 57 16.7246150256 -56 37 09.800051952|311.9367242388770 +05.0968500338855|  -4.948 -3.356    |10.58    |B9III/IV        |    ~     ~          |    1|  883.861   pc  | -11.3275    +11.3275  |paral   |2020yCat.1350....0G
3821|HD 121554                                                                                                |Star                                |13 57 46.5616698408 -57 13 29.583368940|311.8482487351550 +04.4939777310126| -15.785 -9.548    |8.92     |K2/3(III)       |    ~     ~          |    1|  523.231   pc  |  -4.5994     +4.5994  |paral   |2020yCat.1350....0G
3822|HD 121678                                                                                                |High Proper Motion Star             |13 58 23.8042618248 -56 46 45.557241420|312.0446869110401 +04.9030488065495|-138.467 -106.459  |9.07     |G3V(w)          |    ~     ~          |    1|  108.545   pc  |  -0.1473     +0.1473  |paral   |2020yCat.1350....0G
3823|HD 121679                                                                                                |Star                                |13 58 28.5562448688 -57 31 34.524966540|311.8623085991069 +04.1784972159327|  -7.159 -2.420    |10.32    |B9.5III/IV      |    ~     ~          |    1|  823.249   pc  | -27.5839    +27.5839  |paral   |2020yCat.1350....0G
3824|HD 121704                                                                                                |Spectroscopic Binary                |13 58 39.7644763152 -56 38 46.436480520|312.1145233892518 +05.0222301018955|112.027 -117.180   |9.79     |K2/3V           |    ~     ~          |    1|   60.340   pc  |  -0.6714     +0.6714  |paral   |2020yCat.1350....0G
3825|HD 121750                                                                                                |High Proper Motion Star             |13 58 55.8373620984 -57 00 50.523072228|312.0545345948203 +04.6574730752832|-45.354 -22.281    |9.80     |G2/3V           |    ~     ~          |    1|  147.070   pc  |  -1.1420     +1.1420  |paral   |2020yCat.1350....0G
3826|HD 121856                                                                                                |Star                                |13 59 35.5989634272 -56 55 21.584925300|312.1658956514140 +04.7221730641843| -10.275 -4.394    |10.41    |A0V             |    ~     ~          |    1|  715.717   pc  | -11.6281    +11.6281  |paral   |2020yCat.1350....0G
3827|HD 121486                                                                                                |Star                                |13 57 16.5817081968 -57 37 14.273063760|311.6822744048742 +04.1282622989036|  -7.547 -4.063    |10.82    |A2              |    ~     ~          |    1| 1003.915   pc  | -18.8467    +18.8467  |paral   |2020yCat.1350....0G
3828|HD 121506                                                                                                |Star                                |13 57 20.7775596264 -57 42 44.398444716|311.6680898642060 +04.0371776354799|  -3.131 -3.803    |8.81     |B7III           |    ~     ~          |    1|  770.297   pc  | -23.7937    +23.7937  |paral   |2020yCat.1350....0G
3829|HD 121621                                                                                                |Star                                |13 58 08.3393218512 -57 37 32.565439848|311.7929470089685 +04.0939665837596|   -3.288 0.068    |10.57    |A0IV/V          |    ~     ~          |    1|  815.794   pc  | -26.5542    +26.5542  |paral   |2020yCat.1350....0G
3830|HD 121705                                                                                                |Star                                |13 58 44.1922521144 -57 53 45.922117380|311.8004625647052 +03.8121900696604| -10.923 -7.663    |9.36     |A0V             |    ~     ~          |    1|  389.408   pc  |  -2.8205     +2.8205  |paral   |2020yCat.1350....0G
3831|HD 121751                                                                                                |Star                                |13 59 01.0383246864 -58 06 02.734299252|311.7834176454438 +03.6048638217530|  -8.021 -6.590    |9.46     |A1III/IV        |    ~     ~          |    1|  871.764   pc  | -12.6915    +12.6915  |paral   |2020yCat.1350....0G
3832|HD 121772                                                                                                |Star                                |13 59 13.4385492504 -57 44 40.497047628|311.9026350426043 +03.9417076084604| -10.786 -8.247    |9.45     |M3/4            |    ~     ~          |    1|  875.197   pc  | -20.7578    +20.7578  |paral   |2020yCat.1350....0G
3833|HD 121807                                                                                                |Star                                |13 59 24.4854385656 -57 50 17.078051544|311.9019790633885 +03.8450498288601|  -9.845 -6.027    |9.35     |B8/9III         |    ~     ~          |    1|  696.185   pc  |  -9.5965     +9.5965  |paral   |2020yCat.1350....0G
3834|HD 121875                                                                                                |Star                                |13 59 48.9693129000 -57 49 52.669603920|311.9562944637881 +03.8373953218618| -12.136 -7.407    |9.26     |A2IV            |    ~     ~          |    1|  435.977   pc  |  -4.6188     +4.6188  |paral   |2020yCat.1350....0G
3835|V* V412 Cen                                                                                              |Long-Period Variable                |13 57 28.0869231096 -57 42 40.001384628|311.6841774217664 +04.0342385876779|  -6.287 -1.911    |7.37     |M4.5II          |    ~     ~          |    1| 1138.95    pc  | -44.1052    +44.1052  |paral   |2020yCat.1350....0G
3836|IRAS 13515-5648                                                                                          |Long-Period Variable Candidate      |13 54 56.4444203352 -57 03 12.708278604|311.5174983991083 +04.7558897670411| -11.823 -3.243    |10.72    |M6              |    ~     ~          |    1| 1658.93    pc  | -99.8988    +99.8988  |paral   |2020yCat.1350....0G
3837|IRAS 13554-5702                                                                                          |Long-Period Variable                |13 58 49.3595896104 -57 17 36.599918748|311.9677621005070 +04.3913286828327|   3.853 -0.531    |10.97    |M6              |    ~     ~          |    1| 1338.688   pc  | -82.2567    +82.2567  |paral   |2020yCat.1350....0G
3838|CD-56 5197                                                                                               |Star                                |13 54 38.2648633464 -56 59 31.177227048|311.4924232184695 +04.8256197796305| -10.372 -5.757    |10.31    |~               |    ~     ~          |    1| 1492.537   pc  | -46.3355    +46.3355  |paral   |2020yCat.1350....0G
3839|CD-56 5201                                                                                               |Star                                |13 54 52.6002471720 -56 53 24.876891636|311.5490204322180 +04.9163644434246| -21.371 -1.186    |10.37    |~               |    ~     ~          |    1|  676.407   pc  |  -7.6407     +7.6407  |paral   |2020yCat.1350....0G
3840|CPD-55 5785                                                                                              |Star                                |13 56 04.4987044536 -56 28 23.155921560|311.8123393039649 +05.2800922179220| -23.151 -9.928    |10.20    |~               |    ~     ~          |    1|  642.756   pc  |  -5.9078     +5.9078  |paral   |2020yCat.1350....0G
3841|CD-56 5234                                                                                               |Star                                |13 59 15.4117458984 -57 07 18.251993712|312.0694226944160 +04.5419499466644|-19.722 -10.887    |10.16    |~               |    ~     ~          |    1|  213.598   pc  |  -0.6250     +0.6250  |paral   |2020yCat.1350....0G
3842|CD-56 5236                                                                                               |Star                                |13 59 29.8044820272 -57 29 01.530005388|312.0061220085590 +04.1840039106065|  -4.080 -2.347    |10.05    |~               |    ~     ~          |    1| 1422.880   pc  | -31.3811    +31.3811  |paral   |2020yCat.1350....0G
3843|CD-57 5356                                                                                               |Star                                |13 59 31.9842297168 -58 01 23.612165724|311.8696214398864 +03.6619853749682|   -5.189 1.813    |10.44    |~               |    ~     ~          |    1|  915.164   pc  | -11.3903    +11.3903  |paral   |2020yCat.1350....0G
3844|HD 120239                                                                                                |Star                                |13 49 42.2911825128 -56 30 49.286810340|310.9448247438762 +05.4488512895547|  -3.007 -1.853    |10.33    |B9V             |    ~     ~          |    1|  910.332   pc  | -12.9278    +12.9278  |paral   |2020yCat.1350....0G
3845|HD 120492                                                                                                |Star                                |13 51 16.9633356000 -56 50 40.086141000|311.0810569810382 +05.0774148266613| -11.994 -7.527    |10.78    |A0              |    ~     ~          |    1|  466.331   pc  |  -3.8709     +3.8709  |paral   |2020yCat.1350....0G
3846|HD 120535                                                                                                |Star                                |13 51 38.4450213528 -56 45 48.156518592|311.1477592310549 +05.1449685986971|  -1.957 -0.530    |10.48    |B2(III)         |    ~     ~          |    1| 2000.800   pc  | -82.4660    +82.4660  |paral   |2020yCat.1350....0G
3847|HD 120645                                                                                                |Star                                |13 52 17.6458284480 -56 48 16.215094872|311.2254825343318 +05.0841047155529|    0.013 2.480    |9.61     |K2/3            |    ~     ~          |    1|  769.764   pc  |  -9.0658     +9.0658  |paral   |2020yCat.1350....0G
3848|HD 120696                                                                                                |Star                                |13 52 40.3342805136 -57 00 04.555578564|311.2294027044837 +04.8807219904525| -21.503 -3.310    |10.60    |A5/7IV/V        |    ~     ~          |    1|  879.740   pc  | -25.6175    +25.6175  |paral   |2020yCat.1350....0G
3849|HD 121041                                                                                                |Spectroscopic Binary                |13 54 39.5864980944 -57 15 04.852269468|311.4320489603381 +04.5733244202836|   -3.550 0.754    |8.97     |K4(III)         |    ~     ~          |    1| 1336.184   pc  | -42.8493    +42.8493  |paral   |2020yCat.1350....0G
3850|HD 121142                                                                                                |alpha2 CVn Variable                 |13 55 10.1118110544 -57 34 57.499833360|311.4175671547060 +04.2353354723223|  -3.065 -4.355    |10.23    |B9IV/V(pSi)     |    ~     ~          |    1|  862.813   pc  | -21.7378    +21.7378  |paral   |2020yCat.1350....0G
3851|HD 121071                                                                                                |Star                                |13 54 57.5891092320 -57 37 47.686234152|311.3787954282532 +04.1963341090520| -10.050 -3.383    |9.30     |A0V             |    ~     ~          |    1|  474.001   pc  |  -4.4486     +4.4486  |paral   |2020yCat.1350....0G
3852|HD 121124                                                                                                |Star                                |13 55 07.2639444720 -57 40 18.650949420|311.3894870472536 +04.1503986099216| -6.556 -11.117    |9.08     |K2III           |    ~     ~          |    1|  713.674   pc  | -14.3122    +14.3122  |paral   |2020yCat.1350....0G
3853|HD 121180                                                                                                |Star                                |13 55 23.7128959896 -57 42 11.376067356|311.4173957716321 +04.1110566041942| -15.073 -4.646    |10.66    |A2              |    ~     ~          |    1|  495.761   pc  |  -4.2274     +4.2274  |paral   |2020yCat.1350....0G
3854|HD 121519                                                                                                |Star                                |13 57 31.3986075216 -57 49 58.408899852|311.6603554592227 +03.9145735286352|  -2.679 -3.778    |10.40    |A               |    ~     ~          |    1|  853.752   pc  | -36.1531    +36.1531  |paral   |2020yCat.1350....0G
3855|HD 121543                                                                                                |Star                                |13 57 43.5298625952 -57 54 15.318708084|311.6682458513130 +03.8387212140383|  -7.282 -3.184    |9.24     |F8/G2(IV)       |    ~     ~          |    1|  806.842   pc  | -52.4050    +52.4050  |paral   |2020yCat.1350....0G
3856|CD-56 5188                                                                                               |Star                                |13 53 26.4907723920 -57 13 41.752381548|311.2771563517118 +04.6354313448941| -20.675 -2.162    |9.76     |~               |    ~     ~          |    1|  936.242   pc  | -13.9371    +13.9371  |paral   |2020yCat.1350....0G
3857|CPD-56 6025                                                                                              |Emission-line Star                  |13 55 53.4208218960 -57 30 21.471690204|311.5306233322564 +04.2857918456501|  -1.944 -2.757    |10.48    |~               |    ~     ~          |    1| 1811.594   pc  | -56.7764    +56.7764  |paral   |2020yCat.1350....0G
3858|TYC 8668-83-1                                                                                            |Star                                |13 57 19.0671068016 -55 35 02.878721484|312.2056736144248 +06.0969203273026| -18.788 -4.717    |10.52    |~               |    ~     ~          |    1|  711.946   pc  | -11.4045    +11.4045  |paral   |2020yCat.1350....0G
3859|TYC 8668-172-1                                                                                           |Star                                |13 55 27.9776791224 -55 46 02.338104936|311.9054662090136 +05.9848867900110|   3.140 -0.145    |10.31    |~               |    ~     ~          |    1|  730.514   pc  |  -8.1648     +8.1648  |paral   |2020yCat.1350....0G
3860|TYC 8668-686-1                                                                                           |Star                                |13 52 25.8370158144 -55 59 19.280518800|311.4364320760674 +05.8726589120975|  -5.486 -0.845    |10.87    |~               |    ~     ~          |    1| 1111.482   pc  | -67.2053    +67.2053  |paral   |2020yCat.1350....0G
3861|TYC 8668-709-1                                                                                           |Star                                |13 56 34.7199144552 -56 07 51.179846952|311.9661505527682 +05.5940139118843|  -14.100 5.429    |10.49    |~               |    ~     ~          |    1|  303.150   pc  |  -3.0327     +3.0327  |paral   |2020yCat.1350....0G
3862|TYC 8668-718-1                                                                                           |High Proper Motion Star             |13 52 37.1547447480 -55 49 29.107841772|311.5011076252464 +06.0257472355816|-92.794 -24.079    |10.88    |~               |    ~     ~          |    1|  158.796   pc  |  -0.4236     +0.4236  |paral   |2020yCat.1350....0G
3863|TYC 8668-841-1                                                                                           |Star                                |13 56 52.5250584504 -55 58 24.175924356|312.0462289844007 +05.7360453153259|  -4.735 -1.170    |10.93    |~               |    ~     ~          |    1| 1147.184   pc  | -30.5319    +30.5319  |paral   |2020yCat.1350....0G
3864|TYC 8668-928-1                                                                                           |Star                                |13 58 53.2843206240 -55 53 04.969693392|312.3429008314377 +05.7496866779933|   -6.394 9.468    |10.80    |~               |    ~     ~          |    1|  438.366   pc  |  -3.1323     +3.1323  |paral   |2020yCat.1350....0G
3865|TYC 8668-978-1                                                                                           |Star                                |13 58 23.1245432976 -56 08 37.824603180|312.2074093359406 +05.5175233363804| -11.246 -1.651    |10.01    |~               |    ~     ~          |    1|  741.510   pc  |  -7.9176     +7.9176  |paral   |2020yCat.1350....0G
3866|TYC 8668-1074-1                                                                                          |Star                                |13 56 14.0857864392 -55 35 33.338421636|312.0545993592116 +06.1272508212136|   13.668 3.350    |10.38    |~               |    ~     ~          |    1|  701.066   pc  |  -7.2741     +7.2741  |paral   |2020yCat.1350....0G
3867|TYC 8668-1331-1                                                                                          |Star                                |13 53 15.4133522400 -56 01 32.392795584|311.5404184434182 +05.8093822313875|-23.530 -17.663    |10.93    |~               |    ~     ~          |    1|  213.333   pc  |  -0.7327     +0.7327  |paral   |2020yCat.1350....0G
3868|TYC 8668-1474-1                                                                                          |Spectroscopic Binary                |13 49 23.2717057584 -56 04 32.316573756|311.0005131524909 +05.8855987346399|  -8.697 -5.463    |10.48    |~               |    ~     ~          |    1|  454.153   pc  |  -9.3021     +9.3021  |paral   |2020yCat.1350....0G
3869|TYC 8668-1475-1                                                                                          |Star                                |13 48 36.8210854224 -56 10 43.818807396|310.8717262376310 +05.8089721636697|-16.469 -10.597    |10.23    |~               |    ~     ~          |    1|  526.704   pc  |  -3.5787     +3.5787  |paral   |2020yCat.1350....0G
3870|TYC 8668-1514-1                                                                                          |Star                                |13 57 58.1102032848 -55 30 06.773280480|312.3162777564206 +06.1529830551432|  -3.054 -1.457    |10.94    |~               |    ~     ~          |    1|  847.099   pc  | -14.7103    +14.7103  |paral   |2020yCat.1350....0G
3871|TYC 8668-1981-1                                                                                          |Star                                |13 59 16.1094433128 -56 07 53.381870256|312.3299853800612 +05.4975699891830|-13.129 -10.059    |10.31    |~               |    ~     ~          |    1|  590.737   pc  |  -5.3392     +5.3392  |paral   |2020yCat.1350....0G
3872|TYC 8672-47-1                                                                                            |Star                                |13 54 44.6981993352 -57 20 09.502474416|311.4225903335363 +04.4884425216986|-17.098 -10.295    |10.94    |~               |    ~     ~          |    1|  299.814   pc  |  -1.6090     +1.6090  |paral   |2020yCat.1350....0G
