C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:16:52

dec< 0&rah >=13.75&rah< 14.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5890

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type   |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|----------------|---------------------|-----|----------------|-----------------------|--------|-------------------
56  |BD-02 3730                                                                                               |Star                                |13 46 04.1076155424 -02 49 45.244513596|328.7947582330180 +57.2735718912524|  -2.119 -0.619    |10.314   |G5              |    ~     ~          |    1| 1010.990   pc  | -68.3900    +68.3900  |ST-L    |2020AJ....160...83S
57  |HD 119947                                                                                                |Star                                |13 46 28.3729857312 -02 50 35.483161380|328.9565890019216 +57.2213542809940| -10.442 -2.867    |9.33     |K0III           |    ~     ~          |    1|  509.217   pc  |  -5.3157     +5.3157  |paral   |2020yCat.1350....0G
58  |HD 120168                                                                                                |Star                                |13 47 55.4367596520 -03 09 40.989498804|329.3380576864541 +56.7862316665420| -23.566 -6.315    |9.08     |F2IV/V          |    ~     ~          |    1|  184.624   pc  |  -1.3362     +1.3362  |paral   |2020yCat.1350....0G
59  |HD 120216                                                                                                |Star                                |13 48 12.0575048832 -02 48 59.311212768|329.7064338289154 +57.0749245405079|   15.633 3.220    |10.46    |G1V             |    ~     ~          |    1|  222.474   pc  |  -1.0394     +1.0394  |paral   |2020yCat.1350....0G
60  |HD 120234                                                                                                |Star                                |13 48 16.7 -03 37 55                   |329.1481 +56.3190                  |            ~ ~    |10.5     |G2/5            |    ~     ~          |    0|                |                       |        |                   
61  |HD 120233                                                                                                |Star                                |13 48 19.5515206560 -03 31 26.440833756|329.2446424214156 +56.4135194924361|   -7.381 7.653    |10.44    |G8IV            |    ~     ~          |    1|  499.332   pc  | -19.9300    +19.9300  |ST-L    |2020AJ....160...83S
62  |HD 120297                                                                                                |Star                                |13 48 38.8669472088 -02 50 25.707410628|329.8764003272362 +57.0080393192135|   8.355 -8.380    |6.70     |K3III           |    ~     ~          |    1|  334.975   pc  |  -2.8164     +2.8164  |paral   |2020yCat.1350....0G
63  |HD 120298                                                                                                |Star                                |13 48 39.8271939672 -03 33 16.287197004|329.3626593934790 +56.3521041141653|  -3.494 -2.576    |8.91     |G8/K0III        |    ~     ~          |    1|  502.487   pc  |  -6.0851     +6.0851  |paral   |2020yCat.1350....0G
64  |HD 120318                                                                                                |Star                                |13 48 47.9173839384 -03 10 43.034417004|329.6905380238198 +56.6833407419892| -26.532 -1.270    |8.95     |F3IV/V          |    ~     ~          |    1|  202.396   pc  |  -0.9545     +0.9545  |paral   |2020yCat.1350....0G
65  |HD 120384                                                                                                |Star                                |13 49 12.7241811048 -03 00 16.114415004|329.9908383600842 +56.8010573649619|   -9.105 4.692    |10.270   |F0/2V           |    ~     ~          |    1|  244.304   pc  |  -9.1580     +9.1580  |ST-L    |2020AJ....160...83S
66  |HD 120438                                                                                                |Star                                |13 49 31.7732436408 -02 54 46.652405436|330.1912116996956 +56.8524162173945| -6.501 -23.382    |10.142   |F5V             |    ~     ~          |    1|  640.172   pc  | -22.6200    +22.6200  |ST-L    |2020AJ....160...83S
67  |HD 120449                                                                                                |Spectroscopic Binary                |13 49 33.9843717816 -03 02 56.513563764|330.1052937937116 +56.7244093838456| -48.169 -5.379    |9.652    |F3/5IV/V        |    ~     ~          |    1|  231.881   pc  |  -8.4900     +8.4900  |ST-L    |2020AJ....160...83S
68  |HD 120652                                                                                                |Star                                |13 50 53.3427481512 -03 24 57.456983268|330.3791468328058 +56.2545511145443| -15.774 -1.208    |10.485   |G1V             |    ~     ~          |    1|  163.227   pc  |  -3.0190     +3.0190  |ST-L    |2020AJ....160...83S
69  |HD 120688                                                                                                |High Proper Motion Star             |13 51 05.0874483120 -02 54 51.599350296|330.8356670000925 +56.6909448806371| 10.793 -69.991    |9.78     |G5/6(V)         |    ~     ~          |    1|   92.398   pc  |  -0.1579     +0.1579  |paral   |2020yCat.1350....0G
70  |HD 120687                                                                                                |High Proper Motion Star             |13 51 05.2515713112 -02 47 48.105006000|330.9263913486501 +56.7975461591550| -65.454 26.413    |8.15     |A0V             |    ~     ~          |    1|  227.247   pc  |  -2.1483     +2.1483  |paral   |2020yCat.1350....0G
71  |HD 120689                                                                                                |Star                                |13 51 07.4431490760 -03 19 28.865900136|330.5431797097809 +56.3135492995105|  -41.213 3.805    |9.59     |F2IV/V          |    ~     ~          |    1|  242.283   pc  |  -1.2269     +1.2269  |paral   |2020yCat.1350....0G
72  |HD 120822                                                                                                |Star                                |13 51 53.9911565160 -02 55 57.070209828|331.1577755042907 +56.5891146818735|  -1.573 -4.434    |9.85     |K0/1(III)       |    ~     ~          |    1| 1666.667   pc  | -47.2222    +47.2222  |paral   |2020yCat.1350....0G
73  |HD 120832                                                                                                |S Star                              |13 52 01.3564338336 -03 28 48.440861256|330.7939754330474 +56.0790771288942|   6.102 -8.163    |9.56     |M3wkS           |    ~     ~          |    1|  852.515   pc  | -34.3768    +34.3768  |paral   |2020yCat.1350....0G
74  |HD 119770                                                                                                |Star                                |13 45 15.8817613224 -03 48 16.896941028|327.7744442625280 +56.4485289111712|-21.595 -44.541    |9.17     |G8V             |    ~     ~          |    1|   69.512   pc  |  -0.3793     +0.3793  |paral   |2020yCat.1350....0G
75  |HD 120087                                                                                                |Star                                |13 47 22.7665239936 -03 59 27.213445644|328.5254699371213 +56.0758234150482| -23.106 24.069    |9.285    |G5V             |    ~     ~          |    1|  103.020   pc  |  -0.6943     +0.6943  |ST-L    |2020AJ....160...83S
76  |HD 120148                                                                                                |Star                                |13 47 46.0462057392 -03 59 21.854746392|328.6863321347629 +56.0397947908426| -3.100 -10.408    |9.59     |K0III           |    ~     ~          |    1|  519.373   pc  |  -4.7206     +4.7206  |paral   |2020yCat.1350....0G
77  |HD 120336                                                                                                |Star                                |13 48 54.0684714192 -04 10 25.102827984|329.0224714693285 +55.7598806544411| -9.905 -12.494    |9.546    |A9V             |    ~     ~          |    1|  347.863   pc  |  -7.7770     +7.7770  |ST-L    |2020AJ....160...83S
78  |HD 120619                                                                                                |Star                                |13 50 43.1340286632 -04 11 45.330518688|329.7440135828286 +55.5592734331209|  -17.847 2.599    |9.72     |K1/2III         |    ~     ~          |    1|  452.919   pc  |  -3.3642     +3.3642  |paral   |2020yCat.1350....0G
79  |HD 120705                                                                                                |Star                                |13 51 12.7096240584 -03 52 49.014770412|330.1702625895992 +55.7979821569731|  -13.822 7.839    |10.08    |K1(III)         |    ~     ~          |    1| 1134.301   pc  | -22.6449    +22.6449  |paral   |2020yCat.1350....0G
80  |HD 120790                                                                                                |Star                                |13 51 41.2274 -03 57 48.364            |330.3019464 +55.6736003            | -2.407 -13.895    |10.56    |G0V             |    ~     ~          |    0|                |                       |        |                   
81  |HD 120898                                                                                                |Star                                |13 52 21.4535446800 -03 49 50.192149656|330.6695044258250 +55.7255869851455| -11.695 -3.197    |9.03     |K2III           |    ~     ~          |    1|  843.384   pc  | -15.1506    +15.1506  |paral   |2020yCat.1350....0G
82  |V* AY Vir                                                                                                |Long-Period Variable                |13 51 51.6585788736 -03 40 34.029469092|330.5828189614917 +55.9175289496638|  5.095 -11.369    |9.703    |M4/5Vp          |    ~     ~          |    1|  398.676   pc  | -15.6877    +15.6877  |paral   |2020yCat.1350....0G
83  |BD-03 3527                                                                                               |High Proper Motion Star             |13 45 05.3381672016 -04 37 13.232321832|327.1599053313305 +55.7071796216542|-163.825 -96.222   |10.51    |K5V             |    ~     ~          |    1|   29.439   pc  |  -0.0201     +0.0201  |paral   |2020yCat.1350....0G
84  |HD 119994                                                                                                |Star                                |13 46 47.5570875696 -04 38 58.398173556|327.8386775184368 +55.5224545875216| -40.337 10.319    |9.728    |F5V             |    ~     ~          |    1|  199.524   pc  |  -2.9830     +2.9830  |ST-L    |2020AJ....160...83S
85  |HD 120248                                                                                                |High Proper Motion Star             |13 48 26.1291243456 -04 42 35.062497936|328.4652784558214 +55.3110424660121|49.567 -150.677    |8.79     |G3V             |    ~     ~          |    1|   70.112   pc  |  -0.1214     +0.1214  |paral   |2020yCat.1350....0G
86  |HD 120620                                                                                                |Spectroscopic Binary                |13 50 41.6578375656 -04 16 04.875004200|329.6828715114307 +55.4957300053702| 45.523 -22.254    |9.60     |K0(III)         |    ~     ~          |    1|  305.250   pc  |  -6.8765     +6.8765  |paral   |2020yCat.1350....0G
87  |HD 120621                                                                                                |Star                                |13 50 42.0972654528 -04 26 06.246270060|329.5678100597543 +55.3419658950558|  -25.142 4.061    |10.20    |F5V             |    ~     ~          |    1|  444.109   pc  | -35.4230    +35.4230  |paral   |2020yCat.1350....0G
88  |HD 119771                                                                                                |Star                                |13 45 20.4085179744 -04 44 05.922809124|327.1886008929050 +55.5775803917318| -24.622 -2.641    |9.80     |K0III           |    ~     ~          |    1|  587.993   pc  |  -8.7125     +8.7125  |paral   |2020yCat.1350....0G
89  |HD 119916                                                                                                |Star                                |13 46 19.0848213576 -04 52 34.538419956|327.4960285503422 +55.3563511635355|  -4.485 -0.656    |8.11     |K5III           |    ~     ~          |    1|  773.994   pc  | -13.5988    +13.5988  |paral   |2020yCat.1350....0G
90  |HD 120706                                                                                                |Star                                |13 51 16.0074876456 -04 51 37.175491476|329.4962147723558 +54.8958710823641|   1.513 -0.152    |10.07    |K0III           |    ~     ~          |    1|  822.707   pc  | -14.8906    +14.8906  |paral   |2020yCat.1350....0G
91  |HD 120724                                                                                                |Star                                |13 51 22.5637015656 -04 51 48.181957164|329.5374692051396 +54.8821882809198| -31.258 -3.532    |9.82     |G8/K1           |    ~     ~          |    1| 2111.932   pc  |-115.5207   +115.5207  |paral   |2020yCat.1350....0G
92  |HD 120754                                                                                                |Star                                |13 51 31.9236456528 -04 46 43.566600540|329.6584120615809 +54.9441315412944|  -46.095 4.060    |9.52     |F3V             |    ~     ~          |    1|  159.887   pc  |  -0.5445     +0.5445  |paral   |2020yCat.1350....0G
93  |CCDM J13492-0300B                                                                                        |Star                                |13 49 11.8712922456 -03 00 00.867540276|329.9880490673479 +56.8063676587792|   -9.021 5.234    |10.9     |~               |    ~     ~          |    1|  298.178   pc  |  -1.5915     +1.5915  |paral   |2020yCat.1350....0G
94  |BD-04 3547                                                                                               |Star                                |13 45 10.4277467784 -04 48 35.804690532|327.0719116178711 +55.5229878125844|  -17.067 1.147    |10.735   |~               |    ~     ~          |    1|  239.377   pc  |  -3.7300     +3.7300  |ST-L    |2020AJ....160...83S
95  |BD-04 3553                                                                                               |Star                                |13 45 38.5538923728 -04 45 30.570416316|327.2971922887494 +55.5280122026612|   -0.391 3.765    |10.934   |~               |    ~     ~          |    1|  917.193   pc  | -48.6000    +48.6000  |ST-L    |2020AJ....160...83S
