C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:35:09

Vmag< 11&dec< 0&rah >=18.75&rah< 19.0
-------------------------------------

Number of objects : 7297

 #  |                                                                                                                                       identifier                                                                                                                                       |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
53  |HD 174200                                                                                                                                                                                                                                                                               |Star                              |18 51 25.5100874352 -43 38 54.772467720|352.6010455877060 -18.3426571227822|  -0.381 -3.607   |10.31    |A5/7IV/V          |    ~     ~    
54  |HD 174252                                                                                                                                                                                                                                                                               |Star                              |18 51 40.9222986912 -43 43 01.543260900|352.5502948136251 -18.4100055689612|   8.060 -7.396   |9.31     |F2IV              |    ~     ~    
55  |HD 174292                                                                                                                                                                                                                                                                               |Star                              |18 51 56.6169603480 -43 36 56.538940788|352.6678131255326 -18.4192374661867|   3.870 -4.852   |10.52    |A0IV/V            |    ~     ~    
56  |HD 174363                                                                                                                                                                                                                                                                               |Star                              |18 52 07.9192039896 -43 13 08.167251828|353.0723735005797 -18.3135160174877|   2.459 -2.253   |9.66     |K2(III)           |    ~     ~    
57  |HD 174499                                                                                                                                                                                                                                                                               |Star                              |18 52 46.4010119280 -43 01 47.953159536|353.3018783520553 -18.3575281393128|   2.928 -1.612   |10.00    |A3/5II            |    ~     ~    
58  |HD 174711                                                                                                                                                                                                                                                                               |Star                              |18 53 51.6390069288 -43 28 37.976620440|352.9311915033642 -18.6976372450391|  4.937 -16.977   |9.96     |F8                |    ~     ~    
59  |HD 174712                                                                                                                                                                                                                                                                               |Star                              |18 53 52.9629213672 -43 36 50.493428676|352.7968972268175 -18.7481972972332|  -2.975 -3.475   |9.47     |K5                |    ~     ~    
60  |HD 174823                                                                                                                                                                                                                                                                               |Double or Multiple Star           |18 54 23.2535047080 -42 51 49.408421760|353.5740756571946 -18.5771726865595|        9.1 1.4   |9.41     |K1(III)           |    ~     ~    
61  |CCDM J18547-4343A                                                                                                                                                                                                                                                                       |Double or Multiple Star           |18 54 44.0776897920 -43 42 55.414980252|352.7515999898096 -18.9275682250473|   2.669 -3.238   |8.96     |K0III             |    ~     ~    
62  |HD 174924                                                                                                                                                                                                                                                                               |Star                              |18 55 06.7176981336 -43 09 50.407122960|353.3241848893813 -18.8044801871998|  -1.042 -0.948   |9.56     |G8III             |    ~     ~    
63  |HD 175029                                                                                                                                                                                                                                                                               |Spectroscopic Binary              |18 55 30.1963663296 -43 42 10.456569828|352.8137021118614 -19.0540683665350|-194.617 -35.093  |8.31     |G0V               |    ~     ~    
64  |HD 175050                                                                                                                                                                                                                                                                               |Spectroscopic Binary              |18 55 31.4448063504 -43 22 20.496378792|353.1440577202810 -18.9458704294701| 11.489 -36.895   |9.34     |G6/K0             |    ~     ~    
65  |HD 175076                                                                                                                                                                                                                                                                               |Star                              |18 55 40.1033599632 -43 07 52.680037260|353.3931844699577 -18.8887762312995|  2.557 -13.221   |9.87     |F2/3(V)           |    ~     ~    
66  |HD 174978                                                                                                                                                                                                                                                                               |Star                              |18 55 18.4232069880 -43 53 09.166793568|352.6188023416144 -19.0823871847003|  -9.374 -2.215   |9.25     |F5III/IV          |    ~     ~    
67  |HD 173696                                                                                                                                                                                                                                                                               |Star                              |18 48 44.1381554952 -43 59 04.876139724|352.0908593407923 -18.0059012999359| -2.906 -18.413   |8.73     |K0III             |    ~     ~    
68  |HD 174037                                                                                                                                                                                                                                                                               |Star                              |18 50 42.1312221720 -44 14 58.128217548|351.9595529182885 -18.4291452497292| -12.740 -8.652   |9.55     |A1/2III           |    ~     ~    
69  |HD 174316                                                                                                                                                                                                                                                                               |Star                              |18 52 05.3818801104 -44 04 45.516255060|352.2185425403526 -18.6039698808460| -11.787 -1.525   |9.55     |G8(III)           |    ~     ~    
70  |HD 174925                                                                                                                                                                                                                                                                               |Star                              |18 55 07.9346571936 -44 02 48.762929868|352.4471645735238 -19.1069453720939| 10.946 -23.738   |9.25     |F2V               |    ~     ~    
71  |IRAS 18465-4406                                                                                                                                                                                                                                                                         |Star                              |18 50 07.4279055288 -44 03 03.958532496|352.1175258699253 -18.2629047963140|   3.889 -5.093   |10.44    |~                 |    ~     ~    
72  |V* V734 CrA                                                                                                                                                                                                                                                                             |Eclipsing Binary                  |18 51 08.7187675272 -43 11 06.227331576|353.0396493289968 -18.1332052800968|  3.418 -19.776   |10.90    |~                 |    ~     ~    
73  |CD-43 12965                                                                                                                                                                                                                                                                             |Star                              |18 56 14.5140105672 -43 18 05.823579636|353.2611532913720 -19.0447744482314| 13.787 -22.527   |10.18    |~                 |    ~     ~    
74  |CD-42 13640                                                                                                                                                                                                                                                                             |Star                              |18 48 38.9440504032 -42 21 53.510382864|353.6734979262202 -17.4133259375428|  46.776 -2.405   |10.08    |~                 |    ~     ~    
75  |CD-43 12838                                                                                                                                                                                                                                                                             |Star                              |18 48 41.6694632616 -42 55 27.827469948|353.1290939301781 -17.6221882272162|  -4.213 -9.783   |10.53    |~                 |    ~     ~    
76  |CD-43 12837                                                                                                                                                                                                                                                                             |Star                              |18 48 44.8717096320 -43 46 28.761135960|352.2982526737064 -17.9337883907987|   1.230 -2.198   |10.17    |~                 |    ~     ~    
77  |CD-44 12896                                                                                                                                                                                                                                                                             |Star                              |18 49 25.8598247304 -43 52 03.547507872|352.2524292144962 -18.0818851926808|  -0.239 -5.485   |9.96     |~                 |    ~     ~    
78  |CD-43 12857                                                                                                                                                                                                                                                                             |Star                              |18 49 46.6726528464 -43 00 39.356320896|353.1183697993226 -17.8382041528231|   0.646 -3.119   |9.87     |~                 |    ~     ~    
79  |CD-42 13655                                                                                                                                                                                                                                                                             |Star                              |18 49 59.7717625728 -42 31 29.967433284|353.6102357508924 -17.7027476728268| -5.752 -18.839   |10.27    |~                 |    ~     ~    
80  |CD-43 12860                                                                                                                                                                                                                                                                             |Star                              |18 50 03.6256153632 -42 56 56.457187872|353.1984455308958 -17.8645607204986|   0.148 -3.723   |9.94     |~                 |    ~     ~    
81  |CD-44 12906                                                                                                                                                                                                                                                                             |Star                              |18 50 11.6538171912 -43 57 36.121642020|352.2120418008331 -18.2429926868334|  -8.085 -0.157   |9.79     |~                 |    ~     ~    
82  |CD-43 12866                                                                                                                                                                                                                                                                             |Star                              |18 50 22.9512200736 -43 19 18.278580828|352.8536966112727 -18.0511765553188| -9.515 -13.840   |10.16    |~                 |    ~     ~    
83  |CD-43 12869                                                                                                                                                                                                                                                                             |Star                              |18 50 25.9529548800 -42 55 08.234453244|353.2533331829247 -17.9176129423752|   4.254 -1.115   |10.44    |~                 |    ~     ~    
84  |CD-43 12872                                                                                                                                                                                                                                                                             |Star                              |18 50 37.6821074856 -42 56 55.093224300|353.2374390973874 -17.9615753336701|   0.110 -9.288   |10.29    |~                 |    ~     ~    
85  |CD-43 12875                                                                                                                                                                                                                                                                             |Star                              |18 50 46.1756403840 -43 11 07.222733808|353.0140762529900 -18.0691749277813|  -0.660 -6.587   |9.77     |~                 |    ~     ~    
86  |CD-42 13670                                                                                                                                                                                                                                                                             |Star                              |18 50 56.1575289672 -42 08 08.705129280|354.0570037988938 -17.7262366810157| 12.836 -19.507   |10.28    |~                 |    ~     ~    
87  |CD-44 12919                                                                                                                                                                                                                                                                             |Star                              |18 51 42.0330857568 -44 15 53.472497580|352.0093915228497 -18.6022300538464|-19.660 -24.362   |9.83     |~                 |    ~     ~    
88  |CD-43 12902                                                                                                                                                                                                                                                                             |Star                              |18 52 24.6040973712 -43 05 20.997788604|353.2191141134843 -18.3158926551181|   0.212 -1.259   |9.83     |~                 |    ~     ~    
89  |CD-43 12906                                                                                                                                                                                                                                                                             |Star                              |18 52 30.1044391992 -43 09 00.813120084|353.1649336806819 -18.3528127383652|   4.175 -1.045   |10.03    |~                 |    ~     ~    
90  |CD-42 13699                                                                                                                                                                                                                                                                             |Star                              |18 52 31.6301946600 -42 26 22.638965892|353.8676868911781 -18.1089787878499| 10.845 -28.609   |10.34    |~                 |    ~     ~    
91  |CD-42 13710                                                                                                                                                                                                                                                                             |Star                              |18 53 04.5894588912 -42 44 43.899585864|353.6031845393883 -18.3106473387508|  37.205 -7.046   |10.37    |~                 |    ~     ~    
92  |CD-42 13714                                                                                                                                                                                                                                                                             |Star                              |18 53 13.5645319752 -42 48 20.242375560|353.5538876588928 -18.3572861842399|   1.335 -9.174   |10.294   |~                 |    ~     ~    
93  |CD-44 12942                                                                                                                                                                                                                                                                             |Star                              |18 53 15.7030901688 -44 10 20.901584820|352.2020704133174 -18.8334722479021|  1.049 -11.147   |9.92     |~                 |    ~     ~    
94  |CD-42 13722                                                                                                                                                                                                                                                                             |Star                              |18 53 49.1511065496 -42 11 54.149358912|354.1935439547652 -18.2482358591407|   10.828 3.469   |10.11    |~                 |    ~     ~    
95  |CD-42 13732                                                                                                                                                                                                                                                                             |Star                              |18 54 36.0408840024 -42 21 08.555114880|354.0944024942591 -18.4373358577364|   1.124 -0.358   |10.31    |~                 |    ~     ~    
96  |CD-42 13741                                                                                                                                                                                                                                                                             |Star                              |18 55 20.1043939344 -42 23 21.540745608|354.1072681632187 -18.5773874798315|  1.944 -16.444   |9.58     |~                 |    ~     ~    
97  |CD-43 12955                                                                                                                                                                                                                                                                             |Star                              |18 55 40.5745522920 -43 16 15.409243128|353.2548468988746 -18.9375274023459|  7.478 -24.691   |9.60     |~                 |    ~     ~    
