C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:35:09

Vmag< 11&dec< 0&rah >=18.75&rah< 19.0
-------------------------------------

Number of objects : 7297

 #  |                                                                                                                                       identifier                                                                                                                                       |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
3438|TYC 5693-7697-1                                                                                                                                                                                                                                                                         |Star                              |18 52 09.3482256264 -07 42 28.644191532|026.1439897030585 -03.6648955158591|  -0.201 -2.882   |10.88    |~                 |    ~     ~    
3439|TYC 5706-504-1                                                                                                                                                                                                                                                                          |Star                              |18 55 45.9303077808 -07 42 08.470620684|026.5539604567081 -04.4602153257519|   0.388 -3.984   |10.80    |~                 |    ~     ~    
3440|TYC 5706-7863-1                                                                                                                                                                                                                                                                         |Star                              |18 53 42.9086484336 -07 55 51.688938792|026.1195154132104 -04.1102282518198|  -1.355 -3.068   |10.40    |~                 |    ~     ~    
3441|TYC 5706-8513-1                                                                                                                                                                                                                                                                         |Star                              |18 54 20.2067219136 -07 48 37.532580444|026.2970941297301 -04.1931386847880| -1.291 -45.210   |10.75    |~                 |    ~     ~    
3442|TYC 5706-8611-1                                                                                                                                                                                                                                                                         |Star                              |18 55 31.8950063424 -07 48 11.597237928|026.4374471364037 -04.4539855772458|  -0.739 -4.320   |10.66    |~                 |    ~     ~    
3443|TYC 5706-8944-1                                                                                                                                                                                                                                                                         |Star                              |18 55 05.8095365064 -07 43 17.576906304|026.4618292754854 -04.3210297692643|  -1.029 -3.480   |10.87    |~                 |    ~     ~    
3444|TYC 5706-9654-1                                                                                                                                                                                                                                                                         |Star                              |18 54 11.3422237848 -07 38 28.173614424|026.4319465620960 -04.0840505588424|   3.293 -4.965   |10.64    |~                 |    ~     ~    
3445|IRAS 18514-0742                                                                                                                                                                                                                                                                         |Star                              |18 54 08.6314550784 -07 38 08.751684012|026.4317029428885 -04.0716261134874|   0.694 -8.146   |10.31    |~                 |    ~     ~    
3446|TYC 5706-9816-1                                                                                                                                                                                                                                                                         |Star                              |18 53 37.2252670272 -07 37 33.144283164|026.3818070472550 -03.9514488555110|  -4.794 -0.299   |10.97    |~                 |    ~     ~    
3447|HD 175039B                                                                                                                                                                                                                                                                              |Star                              |18 53 41.845 -05 32 38.68              |028.250095 -03.025846              |    -23.6 -32.5   |10.07    |~                 |    ~     ~    
3448|TYC 5693-7050-1                                                                                                                                                                                                                                                                         |Star                              |18 50 34.5784932840 -07 56 27.171916224|025.7584828287559 -03.4215000275671|  1.237 -11.400   |10.60    |~                 |    ~     ~    
3449|V* V428 Sct                                                                                                                                                                                                                                                                             |Long-Period Variable              |18 45 41.4388969368 -05 35 46.491272196|027.2967992547350 -01.2753274239594|   -2.463 4.309   |10.50    |M2/M3             |    ~     ~    
3450|HD 175135                                                                                                                                                                                                                                                                               |Star                              |18 54 22.8704594112 -08 09 37.984250088|025.9887425707536 -04.3609387954223|   0.306 -0.280   |10.65    |A0/1II/III        |    ~     ~    
3451|HD 175642                                                                                                                                                                                                                                                                               |Star                              |18 56 34.4905874064 -05 45 37.181877264|028.3819427902118 -03.7619816828170|  -1.424 -1.480   |9.85     |K2                |    ~     ~    
3452|HD 175706                                                                                                                                                                                                                                                                               |Star                              |18 56 48.2496990024 -05 39 56.438075016|028.4924020588122 -03.7700020734495|    4.232 9.724   |8.38     |A2mA5/7-F2        |    ~     ~    
3453|BD-05 4819                                                                                                                                                                                                                                                                              |Be Star                           |18 57 13.0291613376 -05 31 30.094879620|028.6647080565060 -03.7979551623208|  -0.998 -0.237   |10.6     |B2IV:pe           |    ~     ~    
3454|HD 176076                                                                                                                                                                                                                                                                               |Star                              |18 58 47.3086348176 -05 38 05.407921284|028.7438660657220 -04.1963014974779|   13.325 2.844   |7.27     |B9III/IV          |    ~     ~    
3455|HD 175619                                                                                                                                                                                                                                                                               |Star                              |18 56 24.6537688608 -05 51 32.562551916|028.2752301598699 -03.7703040860545|  -0.004 -3.745   |10.25    |ApSrEu            |    ~     ~    
3456|HD 175643                                                                                                                                                                                                                                                                               |Star                              |18 56 30.9657369624 -05 52 26.603431248|028.2736815388402 -03.8004273301000|    3.805 1.934   |9.73     |A9V               |    ~     ~    
3457|* eta Sct                                                                                                                                                                                                                                                                               |High Proper Motion Star           |18 57 03.6701923416 -05 50 46.734335232|028.3599552029849 -03.9087584149139| 61.567 -41.232   |4.818    |K1-III            |    ~     ~    
3458|BD-05 4823                                                                                                                                                                                                                                                                              |Be Star                           |18 58 15.1566293448 -05 28 56.804786688|028.8196560807373 -04.0084542574876|  -2.198 -4.306   |10.48    |Be                |    ~     ~    
3459|HD 175596                                                                                                                                                                                                                                                                               |Star                              |18 56 23.4951531168 -06 02 53.709655272|028.1039525299362 -03.8516436020075|  -1.252 -1.559   |9.63     |K0/1(III)         |    ~     ~    
3460|HD 175620                                                                                                                                                                                                                                                                               |Star                              |18 56 28.9339891080 -05 56 49.372394244|028.2046283095059 -03.8259496485785|  -2.850 -2.294   |8.81     |A0V               |    ~     ~    
3461|HD 175770                                                                                                                                                                                                                                                                               |Star                              |18 57 13.9655645184 -06 18 36.753625440|027.9645075249097 -04.1565732480045|  -3.814 -5.178   |10.47    |A0/1V             |    ~     ~    
3462|HD 175846                                                                                                                                                                                                                                                                               |Star                              |18 57 37.5278073696 -06 27 58.538007216|027.8691107547086 -04.3141177851701|   0.550 -6.915   |10.49    |B9III             |    ~     ~    
3463|HD 175871                                                                                                                                                                                                                                                                               |Star                              |18 57 39.2321037960 -06 39 02.498628672|027.7072686985854 -04.4036942751166|  10.114 -8.863   |9.43     |K1/2(IV/V)        |    ~     ~    
3464|HD 175943                                                                                                                                                                                                                                                                               |Star                              |18 58 07.6737115920 -06 14 39.971358348|028.1241283021992 -04.3252953841602|    2.167 8.232   |9.61     |F3V               |    ~     ~    
3465|HD 175995                                                                                                                                                                                                                                                                               |Star                              |18 58 18.2155391592 -05 59 47.143990356|028.3657856061838 -04.2521959655153|  10.688 -0.505   |9.63     |A5III/IV          |    ~     ~    
3466|BD-07 4779                                                                                                                                                                                                                                                                              |Star                              |18 56 41.0088231648 -07 34 44.374254204|026.7672921397436 -04.6076196437096| 32.287 -37.203   |10.17    |~                 |    ~     ~    
3467|HD 175684                                                                                                                                                                                                                                                                               |Star                              |18 56 49.3343033208 -06 56 25.180732536|027.3546014931180 -04.3502311876588|  5.604 -13.483   |8.77     |K1III             |    ~     ~    
3468|HD 175707                                                                                                                                                                                                                                                                               |Star                              |18 56 56.8270850088 -07 45 29.307524940|026.6363621529728 -04.7466594738179|   0.621 -2.768   |10.79    |B9/A0II           |    ~     ~    
3469|HD 175752                                                                                                                                                                                                                                                                               |Star                              |18 57 10.6522793472 -07 48 25.823551248|026.6182275761373 -04.8197010153543|   0.016 -2.428   |10.56    |B9Ib/II           |    ~     ~    
3470|HD 175771                                                                                                                                                                                                                                                                               |Star                              |18 57 16.8568721217 -07 23 33.871994180|027.0010663329574 -04.6558591158693|  -0.095 -3.671   |10.40    |B9II              |    ~     ~    
3471|BD-07 4789                                                                                                                                                                                                                                                                              |Star                              |18 57 52.2525689064 -07 40 06.665590632|026.8200958561676 -04.9106280196814|   -2.183 1.321   |10.02    |K0                |    ~     ~    
3472|HD 176077                                                                                                                                                                                                                                                                               |Star                              |18 58 53.0500142760 -07 20 40.832005092|027.2238412293842 -04.9890776987020|  -1.432 -5.717   |9.63     |O9/9.5            |    ~     ~    
3473|HD 175708                                                                                                                                                                                                                                                                               |Star                              |18 56 58.1134023624 -08 03 10.864269288|026.3745382074316 -04.8841799760951|  -1.003 -3.866   |9.71     |ApSi              |    ~     ~    
3474|HD 175772                                                                                                                                                                                                                                                                               |Star                              |18 57 17.8472883936 -08 02 11.801650596|026.4260200758424 -04.9495000518722| -0.455 -11.868   |9.95     |A1/2IV            |    ~     ~    
3475|HD 176030                                                                                                                                                                                                                                                                               |Star                              |18 58 36.0937008168 -07 56 40.612860708|026.6543039129045 -05.1964754491482|  46.209 -0.771   |9.57     |G5/6V             |    ~     ~    
3476|PPM 707426                                                                                                                                                                                                                                                                              |Star                              |18 57 08.0737024200 -05 51 49.672563444|028.3526044453552 -03.9329454568957|   0.797 12.447   |10.1     |~                 |    ~     ~    
3477|BD-07 4784                                                                                                                                                                                                                                                                              |Star                              |18 57 10.6833065184 -07 15 25.829933256|027.1109263969477 -04.5719647293105|   2.082 -0.312   |9.81     |~                 |    ~     ~    
3478|BD-06 4980                                                                                                                                                                                                                                                                              |Star                              |18 57 25.0948646640 -06 29 31.332579936|027.8227341463950 -04.2798369429272|  18.139 -2.884   |10.47    |~                 |    ~     ~    
3479|BD-07 4791                                                                                                                                                                                                                                                                              |Star                              |18 58 04.7275008144 -07 34 39.441280476|026.9248382714795 -04.9157051598020|   0.000 -0.242   |10.44    |~                 |    ~     ~    
3480|BD-05 4824                                                                                                                                                                                                                                                                              |Star                              |18 58 18.8240120184 -05 26 42.865980144|028.8598157101145 -04.0051843878443|    0.736 1.247   |10.46    |~                 |    ~     ~    
3481|HD 175789                                                                                                                                                                                                                                                                               |Star                              |18 57 20.7668776104 -08 10 10.063558452|026.3123635573456 -05.0200268999729| -0.456 -18.902   |9.49     |K0/2(III)         |    ~     ~    
3482|HD 176119                                                                                                                                                                                                                                                                               |Star                              |18 58 57.7715977176 -05 34 13.522112580|028.8211442852787 -04.2058719075034| -2.544 -15.366   |9.61     |A2III/IV          |    ~     ~    
3483|HD 176220                                                                                                                                                                                                                                                                               |Star                              |18 59 28.1821343448 -05 26 56.152152384|028.9869920629592 -04.2634241914786|   12.268 9.988   |8.60     |F2IV              |    ~     ~    
3484|HD 176120                                                                                                                                                                                                                                                                               |Star                              |18 59 01.5343790088 -06 45 58.569145056|027.7579469021483 -04.7597830755896|   30.623 4.473   |9.44     |F5V               |    ~     ~    
3485|HD 176260                                                                                                                                                                                                                                                                               |Star                              |18 59 37.5718439616 -06 04 20.349920100|028.4468563011031 -04.5798358630484|  6.645 -25.867   |9.86     |F0V               |    ~     ~    
3486|HD 176140                                                                                                                                                                                                                                                                               |Star                              |18 59 08.2817474856 -07 34 52.529018664|027.0401765060073 -05.1517490859548|  -0.611 -3.776   |10.13    |B9III             |    ~     ~    
3487|BD-07 4797                                                                                                                                                                                                                                                                              |Star                              |18 59 11.8 -07 03 38                   |027.5135 -04.9303                  |            ~ ~   |9.4      |~                 |    ~     ~    
3488|HD 176158                                                                                                                                                                                                                                                                               |Star                              |18 59 12.7429224888 -06 50 31.496206272|027.7110164887175 -04.8353545679569|  1.566 -11.311   |7.53     |B7/8II            |    ~     ~    
3489|HD 176159                                                                                                                                                                                                                                                                               |Be Star                           |18 59 15.1908473184 -07 08 00.940922520|027.4543920140975 -04.9757378782985|   0.948 -2.280   |8.98     |B8(V)             |    ~     ~    
3490|HD 176221                                                                                                                                                                                                                                                                               |Star                              |18 59 33.4755390360 -06 50 26.035086552|027.7511719607261 -04.9112367821653|  2.955 -11.388   |10.29    |A0V               |    ~     ~    
3491|BD-07 4804                                                                                                                                                                                                                                                                              |Star                              |18 59 40.95 -07 23 21.1                |027.27337 -05.18587                |            ~ ~   |9.6      |~                 |    ~     ~    
3492|BD-07 4805                                                                                                                                                                                                                                                                              |High Proper Motion Star           |18 59 44.0741002416 -07 08 59.961811632|027.4936759510854 -05.0897420088881|-29.608 -52.353   |10.31    |~                 |    ~     ~    
3493|HD 176290                                                                                                                                                                                                                                                                               |Star                              |18 59 48.5833224600 -06 53 25.499149944|027.7347660211475 -04.9894924497161|  4.238 -16.424   |9.26     |F6V               |    ~     ~    
3494|BD-08 4800                                                                                                                                                                                                                                                                              |Star                              |18 59 44.8598555736 -08 05 51.510127812|026.6450260881900 -05.5187025875496|  -0.833 -3.265   |10.26    |~                 |    ~     ~    
3495|BD-08 4803                                                                                                                                                                                                                                                                              |Star                              |18 59 59.4401138136 -07 59 54.073601016|026.7612913284838 -05.5278713699264|   0.135 -6.601   |9.85     |~                 |    ~     ~    
3496|BD-07 4807                                                                                                                                                                                                                                                                              |High Proper Motion Star           |18 59 51.4972346839 -07 46 43.618715776|026.9435670594870 -05.3999541702818|-291.880 -121.854 |10.28    |~                 |    ~     ~    
3497|BD-07 4795                                                                                                                                                                                                                                                                              |Star                              |18 59 02.9123514096 -07 40 01.545106044|026.9531860733602 -05.1705572663899| -4.955 -11.689   |10.06    |~                 |    ~     ~    
3498|BD-06 4990                                                                                                                                                                                                                                                                              |Star                              |18 59 08.2554001008 -06 39 57.515561604|027.8603569628878 -04.7393817550408|  -1.754 11.847   |10.05    |~                 |    ~     ~    
3499|BD-07 4801                                                                                                                                                                                                                                                                              |Star                              |18 59 21.4633480560 -07 08 30.723139320|027.4587011212828 -05.0026177236200|  -2.573 -1.854   |10.39    |~                 |    ~     ~    
3500|HD 176160                                                                                                                                                                                                                                                                               |Star                              |18 59 15.8320384896 -08 09 31.763305152|026.5360979139600 -05.4391898925992|   0.945 -1.123   |8.19     |G8III             |    ~     ~    
3501|BD-07 4793                                                                                                                                                                                                                                                                              |Star                              |18 58 47.9775362664 -06 53 53.023049772|027.6145269206967 -04.7691399621142|  10.137 -4.854   |9.65     |~                 |    ~     ~    
3502|BD-06 4991                                                                                                                                                                                                                                                                              |Star                              |18 59 15.6745392336 -06 22 36.605453592|028.1331732901132 -04.6363544707949|   0.105 -4.069   |10.48    |~                 |    ~     ~    
3503|TYC 5123-2654-1                                                                                                                                                                                                                                                                         |Star                              |18 58 16.1186029992 -05 35 06.724760964|028.7296003180468 -04.0585012826625|  -1.200 -1.124   |10.99    |~                 |    ~     ~    
3504|TYC 5127-65-1                                                                                                                                                                                                                                                                           |Star                              |18 58 25.6932280992 -06 56 33.544998708|027.5328907299168 -04.7069674705241|  -0.463 -3.058   |10.97    |~                 |    ~     ~    
3505|TYC 5127-68-1                                                                                                                                                                                                                                                                           |Star                              |18 57 53.5924147608 -07 02 38.285047140|027.3820956936501 -04.6341563353486|    0.094 0.178   |10.80    |~                 |    ~     ~    
3506|TYC 5127-145-1                                                                                                                                                                                                                                                                          |Star                              |18 59 43.0069014960 -06 57 33.886336356|027.6625018278750 -04.9999805876495|  -0.326 -0.832   |10.72    |~                 |    ~     ~    
3507|TYC 5127-208-1                                                                                                                                                                                                                                                                          |Star                              |18 57 45.7992607632 -06 48 37.773229644|027.5765437146675 -04.5000683597649|   0.339 -5.545   |10.77    |~                 |    ~     ~    
3508|TYC 5127-240-1                                                                                                                                                                                                                                                                          |Star                              |18 58 20.1373614264 -06 51 25.207894836|027.5991944187976 -04.6478320198992|  -3.050 -5.096   |10.90    |~                 |    ~     ~    
3509|TYC 5127-303-1                                                                                                                                                                                                                                                                          |Star                              |18 59 17.6710895784 -07 25 17.134513248|027.2010126155781 -05.1144732230871|   2.919 -6.736   |10.80    |~                 |    ~     ~    
3510|TYC 5127-393-1                                                                                                                                                                                                                                                                          |Star                              |18 58 48.1242842928 -06 48 03.983760072|027.7016410307412 -04.7259678973775|  27.563 24.858   |10.49    |~                 |    ~     ~    
3511|BD-07 4786                                                                                                                                                                                                                                                                              |Star                              |18 57 20.8315289472 -06 52 02.033147136|027.4790009077935 -04.4334977016267|    0.762 0.056   |10.63    |~                 |    ~     ~    
3512|TYC 5127-704-1                                                                                                                                                                                                                                                                          |Star                              |18 56 17.2605777240 -07 20 46.005129744|026.9314089684848 -04.4150275956666|  -4.974 -0.933   |10.60    |~                 |    ~     ~    
3513|TYC 5127-823-1                                                                                                                                                                                                                                                                          |Star                              |18 56 30.4870073160 -07 23 34.141679808|026.9143302173218 -04.4848742061082|   2.151 -6.778   |10.55    |~                 |    ~     ~    
3514|TYC 5127-1924-1                                                                                                                                                                                                                                                                         |Star                              |18 56 53.4693628200 -06 33 40.943268612|027.7014028285016 -04.1943597257933|   1.152 -8.068   |10.52    |~                 |    ~     ~    
3515|TYC 5127-3289-1                                                                                                                                                                                                                                                                         |Star                              |18 56 19.7633887728 -05 41 12.587651196|028.4199156984172 -03.6742654186576|  -1.642 -4.561   |10.80    |~                 |    ~     ~    
3516|TYC 5127-3696-1                                                                                                                                                                                                                                                                         |Star                              |18 56 36.4908161376 -06 33 16.981846452|027.6755168641780 -04.1286545331457|    2.564 1.015   |10.54    |~                 |    ~     ~    
3517|TYC 5127-4524-1                                                                                                                                                                                                                                                                         |Star                              |18 56 22.8451749240 -06 33 03.627473076|027.6532419093902 -04.0765898973350|    1.394 0.527   |10.07    |~                 |    ~     ~    
3518|TYC 5127-5110-1                                                                                                                                                                                                                                                                         |Star                              |18 56 37.2647245224 -06 32 23.390965788|027.6902825438085 -04.1247853813804|  -4.101 -7.792   |10.83    |~                 |    ~     ~    
3519|TYC 5127-5463-1                                                                                                                                                                                                                                                                         |Star                              |18 57 59.1164790816 -06 14 48.922014804|028.1058465518597 -04.2947980221085|  -3.824 -6.747   |10.50    |~                 |    ~     ~    
3520|TYC 5127-6573-1                                                                                                                                                                                                                                                                         |Star                              |18 58 54.4037474040 -06 39 00.720684756|027.8485426750627 -04.6811020479134|  -1.782 -5.548   |10.25    |~                 |    ~     ~    
3521|TYC 5706-626-1                                                                                                                                                                                                                                                                          |Star                              |18 56 40.3273020048 -07 57 47.030210388|026.4219877339414 -04.7781529344134|   0.175 -3.640   |10.55    |~                 |    ~     ~    
3522|TYC 5706-1118-1                                                                                                                                                                                                                                                                         |Star                              |18 57 37.2819256368 -07 46 35.586770412|026.6953445202809 -04.9040721977626|    5.227 0.476   |10.34    |~                 |    ~     ~    
3523|TYC 5706-1635-1                                                                                                                                                                                                                                                                         |High Proper Motion Star           |18 57 49.1855927904 -07 48 27.268558380|026.6897415322407 -04.9619172602022|-12.247 -79.613   |10.43    |~                 |    ~     ~    
3524|TYC 5706-1640-1                                                                                                                                                                                                                                                                         |Star                              |18 56 34.6906287312 -08 04 15.397010868|026.3148171163508 -04.8059649308846|    4.232 1.975   |10.84    |~                 |    ~     ~    
3525|TYC 5706-2115-1                                                                                                                                                                                                                                                                         |Star                              |18 59 48.4081628736 -08 08 44.291302152|026.6085400670173 -05.5533274318527|  -3.127 -2.851   |10.47    |~                 |    ~     ~    
3526|HD 173437                                                                                                                                                                                                                                                                               |Star                              |18 45 26.7687839736 -03 13 53.580136656|029.3732371246797 -00.1418751570035|  3.112 -11.906   |8.49     |B9V               |    ~     ~    
3527|HD 173725                                                                                                                                                                                                                                                                               |Star                              |18 46 58.9696631304 -03 46 48.124285824|029.0601919732774 -00.7333803487976|  -1.005 -0.095   |9.63     |A1/2IV            |    ~     ~    
3528|HD 173818                                                                                                                                                                                                                                                                               |High Proper Motion Star           |18 47 27.2506131351 -03 38 23.401766426|029.2386102516310 -00.7740761511206|-132.281 -274.867 |8.766    |K5V               |    ~     ~    
3529|V* V839 Aql                                                                                                                                                                                                                                                                             |Long-Period Variable              |18 45 17.4109075152 -02 57 25.087047552|029.5997489962463 +00.0181351401407|  -0.677 -2.268   |10.46    |M1                |    ~     ~    
3530|HD 173385                                                                                                                                                                                                                                                                               |Star                              |18 45 12.1625745576 -04 40 12.437578704|028.0655738274023 -00.7446262443928|   6.830 -4.660   |9.84     |F0/2V             |    ~     ~    
3531|BD-04 4573                                                                                                                                                                                                                                                                              |Star                              |18 45 16.5498951120 -04 47 19.492440252|027.9683334772195 -00.8149837799809|  -0.687 -3.340   |9.72     |G0                |    ~     ~    
3532|HD 173438                                                                                                                                                                                                                                                                               |Variable Star                     |18 45 28.6161044760 -04 35 58.734364200|028.1594755540383 -00.7732576943384|  -0.490 -3.088   |8.20     |B0/1Iab           |    ~     ~    
3533|HD 173455                                                                                                                                                                                                                                                                               |Spectroscopic Binary              |18 45 32.4543649704 -04 40 37.814061864|028.0977673094746 -00.8228218838631|  -0.734 -3.154   |8.88     |K0                |    ~     ~    
3534|HD 173401                                                                                                                                                                                                                                                                               |High Proper Motion Star           |18 45 16.7231738616 -05 24 20.297211804|027.4196811720000 -01.0971523806902|-14.691 -47.056   |9.60     |K1(III)           |    ~     ~    
3535|HD 173476                                                                                                                                                                                                                                                                               |High Proper Motion Star           |18 45 43.8832871544 -05 10 15.339127512|027.6799988980383 -01.0903390699913|107.349 -166.044  |10.35    |K0(III)           |    ~     ~    
