C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:43:58

Vmag< 11&dec >=0&rah >=0.75&rah< 1.0
------------------------------------

Number of objects : 4837

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------
51  |BD+44 178                                                             |Spectroscopic Binary           |00 50 26.5174054104 +44 53 17.533999536|122.7464602091580 -17.9831850437058| -12.413 -5.899   |9.45     |F0                  |    ~     ~    
52  |HD 5006                                                               |Variable Star                  |00 52 38.0105760312 +45 08 00.230637876|123.1533105872047 -17.7378362528271| -2.499 -23.709   |7.48     |K8III               |    ~     ~    
53  |HD 5017                                                               |Star                           |00 52 45.3081509424 +45 26 28.701186540|123.1740983189766 -17.4298223187984|-32.073 -30.293   |8.74     |A5                  |    ~     ~    
54  |BD+44 187                                                             |Star                           |00 53 08.9344046160 +45 45 20.640435732|123.2442011100713 -17.1149766979595|   7.594 -7.044   |10.06    |G5                  |    ~     ~    
55  |BD+44 188                                                             |Star                           |00 53 15.5380419144 +45 00 50.826970296|123.2700529679173 -17.8564334069794| -23.341 -7.038   |9.36     |A5                  |    ~     ~    
56  |BD+44 190                                                             |Star                           |00 53 31.4094292896 +45 14 56.144068044|123.3170710957426 -17.6212590346901| -15.916 -1.252   |9.71     |F5                  |    ~     ~    
57  |BD+44 194                                                             |Star                           |00 55 12.3705702504 +44 59 33.514123740|123.6319249812400 -17.8739830498910|  28.161 16.794   |8.92     |G5                  |    ~     ~    
58  |HD 5306                                                               |Star                           |00 55 26.1514691112 +45 05 30.064997472|123.6728899692636 -17.7743109551727| -9.211 -29.354   |7.52     |K2                  |    ~     ~    
59  |HD 5353                                                               |Star                           |00 55 56.0870361264 +45 40 58.296493020|123.7540005517858 -17.1817094856112|   5.018 -8.999   |7.76     |G5                  |    ~     ~    
60  |BD+44 197a                                                            |Star                           |00 56 07.4519255952 +45 13 10.266537432|123.7978833296064 -17.6443494793672| 14.759 -12.231   |10.16    |F8                  |    ~     ~    
61  |BD+44 197                                                             |Star                           |00 56 03.6772805568 +45 40 18.048217296|123.7773434266040 -17.1924780750519|  11.067 -9.343   |9.16     |F8                  |    ~     ~    
62  |BD+44 198                                                             |Star                           |00 56 25.5863331288 +45 12 57.477944340|123.8537994562647 -17.6468520381801|   3.060 -3.589   |9.64     |A0                  |    ~     ~    
63  |BD+44 200                                                             |Star                           |00 56 51.0265937112 +45 42 03.580395624|123.9209446879145 -17.1603589128993|   14.630 0.847   |9.51     |F8                  |    ~     ~    
