C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:41:11

dec >=0&rah >=9.5&rah< 9.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 2905

 #  |                                                                 identifier                                                                 |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
1702|GSC 01966-00187                                                                                                                             |Double or Multiple Star           |09 41 41.0881857960 +27 54 49.554416376|200.4475688538509 +48.1935745454391|   1.164 -3.378   |9.784    |K5              |    ~     ~    |    1|  872.753   pc  | -13.4059    +13.4059  |paral   |2020yCat.1350....0G
1703|HD 83807                                                                                                                                    |Star                              |09 41 36.3519983568 +27 57 21.202796088|200.3806882190655 +48.1840681505827|  -6.958 -6.851   |8.46     |F8V             |    ~     ~    |    1|   73.189   pc  |  -0.3160     +0.3160  |paral   |2020yCat.1350....0G
1704|HD 83098                                                                                                                                    |Star                              |09 36 48.9656269704 +27 45 30.619829052|200.3766295022103 +47.1071558908994|-15.775 -14.808   |6.95     |K2III           |    ~     ~    |    1|  218.699   pc  |  -1.2244     +1.2244  |paral   |2020yCat.1350....0G
1705|BD+28 1783                                                                                                                                  |Spectroscopic Binary              |09 36 58.8596654856 +27 27 07.349096016|200.8286825866535 +47.0837854193855|  4.019 -24.596   |10.41    |F0              |    ~     ~    |    1|  250.872   pc  |  -7.2818     +7.2818  |paral   |2020yCat.1350....0G
1706|BD+28 1796                                                                                                                                  |Star                              |09 41 30.6417671712 +27 27 14.420989296|201.1136465461724 +48.0701293063785| 38.591 -19.317   |10.59    |G0              |    ~     ~    |    1|  221.185   pc  |  -0.7926     +0.7926  |paral   |2020yCat.1350....0G
1707|BD+28 1800                                                                                                                                  |Star                              |09 43 52.2735507336 +27 42 46.385088012|200.8778970218103 +48.6323217591499|-12.566 -14.904   |9.43     |K0              |    ~     ~    |    1|  372.675   pc  |  -3.6666     +3.6666  |paral   |2020yCat.1350....0G
1708|BD+27 1786                                                                                                                                  |Star                              |09 36 41.9648972544 +27 07 49.404117036|201.2728130651854 +46.9584854734972| -8.544 -16.192   |9.74     |F8              |    ~     ~    |    1|  452.940   pc  |  -4.4313     +4.4313  |paral   |2020yCat.1350....0G
1709|BD+27 1787                                                                                                                                  |High Proper Motion Star           |09 36 41.9831275464 +26 35 34.791729612|202.0423741389967 +46.8474181704784|102.242 -90.792   |10.20    |G5              |    ~     ~    |    1|   61.864   pc  |  -0.0739     +0.0739  |paral   |2020yCat.1350....0G
1710|BD+27 1788                                                                                                                                  |Star                              |09 37 32.3170478184 +26 25 22.769514228|202.3440271578893 +46.9946462328965| -17.137 -8.497   |10.64    |G0              |    ~     ~    |    1|  236.189   pc  |  -1.0041     +1.0041  |paral   |2020yCat.1350....0G
1711|BD+27 1790                                                                                                                                  |Star                              |09 38 33.2248533648 +26 32 39.410821392|202.2406599613350 +47.2423577143215|   7.658 -9.222   |9.20     |F2              |    ~     ~    |    1|  223.364   pc  |  -0.9878     +0.9878  |paral   |2020yCat.1350....0G
1712|BD+27 1791                                                                                                                                  |Star                              |09 39 03.8636715408 +26 40 08.493208752|202.0959507875372 +47.3800651010381| -11.352 -2.634   |9.41     |K2              |    ~     ~    |    1|  441.755   pc  |  -3.4736     +3.4736  |paral   |2020yCat.1350....0G
1713|BD+27 1794                                                                                                                                  |Star                              |09 41 01.7557668816 +26 37 51.000610152|202.2861429226676 +47.8016748767658|  25.697 -8.544   |8.85     |K2              |    ~     ~    |    1|  397.915   pc  |  -3.4042     +3.4042  |paral   |2020yCat.1350....0G
1714|HD 83729                                                                                                                                    |Spectroscopic Binary              |09 41 09.8493492600 +27 06 11.764877760|201.6055132854564 +47.9265408438156| -28.278 -5.057   |9.24     |G5              |    ~     ~    |    1|  323.761   pc  | -11.3521    +11.3521  |paral   |2020yCat.1350....0G
1715|BD+27 1799                                                                                                                                  |Star                              |09 42 09.1245366192 +26 59 55.192369560|201.8239099456051 +48.1214483348043|-32.556 -21.000   |9.66     |G5              |    ~     ~    |    1| 1457.513   pc  | -38.4507    +38.4507  |paral   |2020yCat.1350....0G
1716|HD 84077                                                                                                                                    |Star                              |09 43 14.6287981896 +27 11 50.887909464|201.6025622662004 +48.3986556468993|   6.366 -2.304   |8.65     |K0              |    ~     ~    |    1|  404.596   pc  |  -3.1266     +3.1266  |paral   |2020yCat.1350....0G
1717|BD+27 1803                                                                                                                                  |Star                              |09 44 13.2464250264 +26 45 15.783865956|202.3223251027358 +48.5247459728403|  -42.405 3.217   |9.98     |F8              |    ~     ~    |    1|  289.017   pc  |  -4.8197     +4.8197  |paral   |2020yCat.1350....0G
1718|BD+27 1804                                                                                                                                  |High Proper Motion Star           |09 44 42.7651357584 +27 16 59.352140784|201.5700881149002 +48.7355330194765|-62.966 -77.917   |9.28     |G0              |    ~     ~    |    1|  122.236   pc  |  -0.2779     +0.2779  |paral   |2020yCat.1350....0G
1719|BD+27 1805                                                                                                                                  |Star                              |09 44 57.9351318000 +27 18 39.856205700|201.5446660173499 +48.7959782400231|  -4.824 -2.893   |9.48     |K0              |    ~     ~    |    1|  842.105   pc  | -12.8355    +12.8355  |paral   |2020yCat.1350....0G
1720|TYC 1962-104-1                                                                                                                              |Star                              |09 38 53.7602032944 +26 43 36.144587532|202.0011251398337 +47.3552300882894| -6.437 -13.433   |10.70    |K0              |    ~     ~    |    1| 1747.946   pc  | -61.7174    +61.7174  |paral   |2020yCat.1350....0G
1721|V* Y Leo                                                                                                                                    |Eclipsing Binary                  |09 36 51.8061174072 +26 13 57.634814352|202.5682217606522 +46.8058560115444|   4.572 -7.085   |10.07    |A3              |    ~     ~    |    1|  397.346   pc  |  -9.2046     +9.2046  |paral   |2020yCat.1350....0G
1722|TYC 1966-791-1                                                                                                                              |Star                              |09 41 18.2757682656 +27 37 42.736495440|200.8442729644774 +48.0582599376448|  6.630 -28.513   |10.80    |~               |    ~     ~    |    1|  348.724   pc  |  -2.0795     +2.0795  |paral   |2020yCat.1350....0G
1723|** HJ 819B                                                                                                                                  |High Proper Motion Star           |09 41 17.9055089952 +27 37 22.390679064|200.8521948303649 +48.0558572007414|-24.255 -64.441   |10.8     |~               |    ~     ~    |    1|  208.143   pc  |  -4.2673     +4.2673  |paral   |2020yCat.1350....0G
1724|TYC 1962-42-1                                                                                                                               |Star                              |09 36 13.7262124656 +26 45 00.086467464|201.7857203137280 +46.7776105886182|   2.992 -3.393   |10.97    |~               |    ~     ~    |    1|  263.616   pc  |  -1.6400     +1.6400  |paral   |2020yCat.1350....0G
1725|TYC 1962-150-1                                                                                                                              |Star                              |09 36 38.7792512040 +26 38 16.842861348|201.9743589216328 +46.8452604808965|  -9.670 -4.699   |10.63    |~               |    ~     ~    |    1|  221.946   pc  |  -0.9606     +0.9606  |paral   |2020yCat.1350....0G
1726|TYC 1962-170-1                                                                                                                              |Star                              |09 40 15.8801858400 +26 40 45.941936952|202.1630634165562 +47.6445437642430|  11.461 -7.683   |10.74    |~               |    ~     ~    |    1|  218.737   pc  |  -0.7416     +0.7416  |paral   |2020yCat.1350....0G
1727|TYC 1962-196-1                                                                                                                              |Star                              |09 36 27.5267085000 +27 06 39.776518656|201.2846871811649 +46.9021353410484| -15.428 -9.808   |10.57    |~               |    ~     ~    |    1|  269.665   pc  |  -1.5417     +1.5417  |paral   |2020yCat.1350....0G
1728|TYC 1962-261-1                                                                                                                              |Star                              |09 39 59.4060601272 +26 33 35.197560108|202.3177650791090 +47.5596830176690|   7.890 -7.497   |10.59    |~               |    ~     ~    |    1|  842.247   pc  | -11.6338    +11.6338  |paral   |2020yCat.1350....0G
1729|TYC 1962-363-1                                                                                                                              |Star                              |09 34 04.5565369968 +26 37 11.064154152|201.8229029518834 +46.2800495364073|   0.809 -1.286   |10.40    |~               |    ~     ~    |    1| 1385.425   pc  | -37.0445    +37.0445  |paral   |2020yCat.1350....0G
1730|TYC 1962-436-1                                                                                                                              |Star                              |09 39 46.5614879904 +26 28 04.808536032|202.4357827038809 +47.4936117477856|  -4.840 -9.408   |10.21    |~               |    ~     ~    |    1| 1246.106   pc  | -27.6395    +27.6395  |paral   |2020yCat.1350....0G
1731|TYC 1962-472-1                                                                                                                              |Star                              |09 38 11.1663858048 +26 39 44.962609824|202.0451349889148 +47.1867880576597|  -2.860 29.777   |10.26    |~               |    ~     ~    |    1|  279.924   pc  |  -1.5201     +1.5201  |paral   |2020yCat.1350....0G
1732|TYC 1962-545-1                                                                                                                              |Star                              |09 38 36.2927740512 +27 22 13.298632500|201.0505894379921 +47.4212260333459|   1.692 -8.934   |10.56    |~               |    ~     ~    |    1|  832.917   pc  | -11.4469    +11.4469  |paral   |2020yCat.1350....0G
1733|TYC 1962-1096-1                                                                                                                             |Star                              |09 36 12.5821270344 +26 22 21.340187328|202.3224982209615 +46.6931815331865| -5.683 -17.793   |10.61    |~               |    ~     ~    |    1|  238.669   pc  |  -1.0994     +1.0994  |paral   |2020yCat.1350....0G
1734|TYC 1962-1204-1                                                                                                                             |Star                              |09 34 00.1958897832 +26 03 11.496632292|202.6166034302492 +46.1401776210609|  -1.835 -7.605   |10.03    |~               |    ~     ~    |    1|  220.400   pc  |  -0.9618     +0.9618  |paral   |2020yCat.1350....0G
1735|TYC 1962-1289-1                                                                                                                             |Star                              |09 37 25.3538285832 +26 07 36.337165356|202.7594419062760 +46.9051273000848|  9.257 -25.937   |10.63    |~               |    ~     ~    |    1|  316.156   pc  |  -1.6093     +1.6093  |paral   |2020yCat.1350....0G
1736|TYC 1962-1292-1                                                                                                                             |Star                              |09 35 11.4262378344 +26 15 22.950585756|202.4152243601384 +46.4449585518538|  -2.704 -9.500   |9.97     |~               |    ~     ~    |    1|  737.083   pc  | -14.1256    +14.1256  |paral   |2020yCat.1350....0G
1737|TYC 1962-1390-1                                                                                                                             |Star                              |09 34 54.7435460568 +25 47 33.741654648|203.0499583492549 +46.2805578977405| -31.832 12.551   |10.07    |~               |    ~     ~    |    1|  300.598   pc  |  -1.8524     +1.8524  |paral   |2020yCat.1350....0G
1738|TYC 1962-1442-1                                                                                                                             |Star                              |09 38 59.3976582960 +26 16 19.118636256|202.6633326654460 +47.2798582926051|-13.831 -24.488   |9.93     |~               |    ~     ~    |    1|  221.833   pc  |  -2.8246     +2.8246  |paral   |2020yCat.1350....0G
1739|TYC 1962-1484-1                                                                                                                             |Star                              |09 34 04.6969550954 +26 11 25.423826579|202.4288859222574 +46.1871295708677|-12.979 -36.954   |10.95    |~               |    ~     ~    |    1|  170.0247  pc  |  -2.0785     +2.0785  |paral   |2018yCat.1345....0G
1740|TYC 1962-1528-1                                                                                                                             |Star                              |09 34 42.8270948112 +26 08 25.358635896|202.5450889387049 +46.3151072522928| -20.411 -7.830   |10.95    |~               |    ~     ~    |    1|  271.245   pc  |  -1.6186     +1.6186  |paral   |2020yCat.1350....0G
1741|TYC 1962-1553-1                                                                                                                             |Star                              |09 34 23.5302249000 +25 56 47.073433812|202.7951962817634 +46.2013590253676|-31.479 -15.763   |10.85    |~               |    ~     ~    |    1|  230.734   pc  |  -0.9849     +0.9849  |paral   |2020yCat.1350....0G
1742|TYC 1963-145-1                                                                                                                              |High Proper Motion Star           |09 43 44.7298838256 +26 52 23.726684568|202.1146264751610 +48.4445974232562| 69.916 -45.460   |10.20    |~               |    ~     ~    |    1|  177.617   pc  |  -0.5395     +0.5395  |paral   |2020yCat.1350....0G
1743|TYC 1963-349-1                                                                                                                              |Star                              |09 41 11.4517496952 +26 28 45.246670032|202.5180980419629 +47.8055395398492| -26.152 34.280   |10.35    |~               |    ~     ~    |    1|  184.730   pc  |  -0.6859     +0.6859  |paral   |2020yCat.1350....0G
1744|TYC 1963-465-1                                                                                                                              |Star                              |09 41 40.9659033384 +26 49 43.420717308|202.0416609936467 +47.9849275128083|   7.208 -8.888   |10.15    |~               |    ~     ~    |    1|  810.701   pc  | -13.1447    +13.1447  |paral   |2020yCat.1350....0G
1745|TYC 1963-502-1                                                                                                                              |Star                              |09 43 47.1547215912 +27 20 45.384917856|201.4175965578735 +48.5453404080284|   0.447 -8.836   |9.88     |~               |    ~     ~    |    1|  751.089   pc  |  -9.3646     +9.3646  |paral   |2020yCat.1350....0G
1746|TYC 1963-584-1                                                                                                                              |Star                              |09 41 56.0460106128 +26 31 47.354209032|202.4959283018583 +47.9787075573014| -5.628 -18.723   |10.72    |~               |    ~     ~    |    1|  288.184   pc  |  -1.7690     +1.7690  |paral   |2020yCat.1350....0G
1747|TYC 1963-592-1                                                                                                                              |Star                              |09 42 06.4118666160 +26 43 34.295586852|202.2204674241487 +48.0568278912050|  17.944 -9.468   |10.08    |~               |    ~     ~    |    1|  197.750   pc  |  -1.4664     +1.4664  |paral   |2020yCat.1350....0G
1748|TYC 1965-66-1                                                                                                                               |High Proper Motion Star           |09 37 32.9587806768 +28 01 30.807712560|200.0357211477273 +47.3163430309734|-57.813 -17.206   |10.18    |~               |    ~     ~    |    1|  134.389   pc  |  -0.4371     +0.4371  |paral   |2020yCat.1350....0G
1749|TYC 1965-136-1                                                                                                                              |Star                              |09 38 51.4357523280 +27 30 35.575861536|200.8642156833073 +47.5032333759358|  -7.069 -0.752   |10.36    |~               |    ~     ~    |    1|  484.966   pc  |  -6.1620     +6.1620  |paral   |2020yCat.1350....0G
1750|TYC 1965-160-1                                                                                                                              |High Proper Motion Star           |09 36 40.5329419224 +27 39 39.047331636|200.5086433693537 +47.0579220873118|-23.794 -46.580   |10.87    |~               |    ~     ~    |    1|  347.234   pc  |  -2.1341     +2.1341  |paral   |2020yCat.1350....0G
1751|TYC 1965-272-1                                                                                                                              |Star                              |09 40 05.1084255672 +28 23 26.512196064|199.6513288794046 +47.9316140998917|  3.302 -19.715   |10.17    |~               |    ~     ~    |    1|  730.407   pc  | -11.6835    +11.6835  |paral   |2020yCat.1350....0G
1752|TYC 1965-378-1                                                                                                                              |Star                              |09 38 22.0987836600 +28 07 53.104560024|199.9303812617991 +47.5133990988559|   -4.141 3.636   |10.61    |~               |    ~     ~    |    1|  275.588   pc  |  -1.8683     +1.8683  |paral   |2020yCat.1350....0G
1753|TYC 1965-412-1                                                                                                                              |Star                              |09 36 44.4134088408 +27 38 00.493369980|200.5521294942796 +47.0667011179033| 14.322 -14.025   |10.75    |~               |    ~     ~    |    1|  625.156   pc  |  -6.5267     +6.5267  |paral   |2020yCat.1350....0G
1754|TYC 1965-645-1                                                                                                                              |Star                              |09 39 31.5383740728 +28 20 31.403322024|199.6904944515561 +47.8019054672493|  -3.164 -7.478   |10.53    |~               |    ~     ~    |    1|  949.668   pc  | -16.3238    +16.3238  |paral   |2020yCat.1350....0G
1755|TYC 1965-677-1                                                                                                                              |Spectroscopic Binary              |09 34 51.0701453760 +27 31 22.469522160|200.5913235254322 +46.6345723169955|-24.816 -31.456   |10.46    |~               |    ~     ~    |    1|  323.834   pc  | -19.4951    +19.4951  |paral   |2020yCat.1350....0G
1756|TYC 1965-733-1                                                                                                                              |High Proper Motion Star           |09 40 18.4310958336 +28 09 45.739121940|199.9991731199232 +47.9394318769061|-47.358 -49.060   |10.88    |~               |    ~     ~    |    1|  278.761   pc  |  -1.6629     +1.6629  |paral   |2020yCat.1350....0G
1757|TYC 1965-821-1                                                                                                                              |Star                              |09 39 21.2690580024 +28 14 51.942440364|199.8186341993549 +47.7480991447771|  -3.284 -4.233   |10.54    |~               |    ~     ~    |    1| 1923.817   pc  | -67.3595    +67.3595  |paral   |2020yCat.1350....0G
1758|TYC 1965-956-1                                                                                                                              |Star                              |09 39 31.5155910000 +27 44 35.751189192|200.5661368746458 +47.6928573182043|  -9.791 -0.601   |10.58    |~               |    ~     ~    |    1| 1164.415   pc  | -29.8290    +29.8290  |paral   |2020yCat.1350....0G
1759|TYC 1965-974-1                                                                                                                              |Pulsating Variable                |09 36 46.1979967680 +27 48 54.318533400|200.2921620822314 +47.1078940007216|  8.434 -12.395   |10.08    |~               |    ~     ~    |    1|  286.664   pc  |  -4.5197     +4.5197  |paral   |2020yCat.1350....0G
1760|TYC 1965-1129-1                                                                                                                             |Star                              |09 34 21.2320319784 +27 31 19.732708848|200.5607378847554 +46.5263369496908|  -13.756 1.079   |10.62    |~               |    ~     ~    |    1|  427.369   pc  |  -5.1688     +5.1688  |paral   |2020yCat.1350....0G
1761|TYC 1966-209-1                                                                                                                              |Star                              |09 40 37.4504392944 +28 22 44.033143620|199.6996044749272 +48.0462923139435| -6.196 -16.685   |10.29    |~               |    ~     ~    |    1|  307.863   pc  |  -1.9335     +1.9335  |paral   |2020yCat.1350....0G
1762|TYC 1966-221-1                                                                                                                              |High Proper Motion Star           |09 43 16.7264930400 +28 22 19.367217804|199.8613635847240 +48.6202591904248| -56.680 12.074   |10.34    |~               |    ~     ~    |    1|  224.997   pc  |  -3.5943     +3.5943  |paral   |2020yCat.1350....0G
1763|TYC 1966-739-1                                                                                                                              |High Proper Motion Star           |09 40 54.4406793096 +27 59 11.846947020|200.2935753417284 +48.0379564642348| 91.873 -45.783   |10.27    |~               |    ~     ~    |    1|  173.458   pc  |  -0.6078     +0.6078  |paral   |2020yCat.1350....0G
1764|TYC 1966-985-1                                                                                                                              |Star                              |09 42 44.1393845760 +27 54 59.062797972|200.5068441549269 +48.4223620468550| -35.835 -7.996   |10.90    |~               |    ~     ~    |    1|  344.899   pc  |  -2.5100     +2.5100  |paral   |2020yCat.1350....0G
1765|TYC 1966-995-1                                                                                                                              |Star                              |09 40 35.1031330200 +28 11 08.493170568|199.9817021830238 +48.0037860650427|-17.933 -15.537   |10.80    |~               |    ~     ~    |    1|  454.071   pc  |  -3.6906     +3.6906  |paral   |2020yCat.1350....0G
1766|TYC 1966-997-1                                                                                                                              |Star                              |09 41 20.8175016696 +28 33 41.648473188|199.4709060384545 +48.2342002759038|  -3.681 -3.381   |10.61    |~               |    ~     ~    |    1|  368.704   pc  |  -2.6645     +2.6645  |paral   |2020yCat.1350....0G
1767|BD+26 1979                                                                                                                                  |Star                              |09 36 12.1431101592 +25 40 38.869921452|203.3086837881779 +46.5371760568955|-11.601 -13.585   |10.99    |K0              |    ~     ~    |    1|  872.220   pc  | -11.1833    +11.1833  |paral   |2020yCat.1350....0G
1768|HD 82651                                                                                                                                    |Star                              |09 33 57.9279692208 +24 52 24.175837308|204.2649979664107 +45.8559147725677|  -8.411 -8.539   |9.36     |G5              |    ~     ~    |    1|  219.529   pc  |  -1.1036     +1.1036  |paral   |2020yCat.1350....0G
1769|BD+25 2121                                                                                                                                  |Spectroscopic Binary              |09 35 01.9595548464 +24 54 15.271946856|204.3066471001269 +46.0981710697282|-39.867 -11.784   |9.85     |F5              |    ~     ~    |    1|  139.657   pc  |  -2.1630     +2.1630  |paral   |2020yCat.1350....0G
1770|BD+24 2105                                                                                                                                  |Star                              |09 35 56.4064628688 +24 02 04.197359832|205.5953563721837 +46.0810037088875| 12.927 -12.446   |9.54     |F2              |    ~     ~    |    1|  285.592   pc  |  -1.4273     +1.4273  |paral   |2020yCat.1350....0G
1771|HD 82670                                                                                                                                    |High Proper Motion Star           |09 33 59.1402170640 +23 27 14.118059736|206.2306721511423 +45.4971776736721|-44.680 -82.086   |6.25     |K7III           |    ~     ~    |    1|  156.863   pc  |  -0.7800     +0.7800  |paral   |2020yCat.1350....0G
1772|BD+24 2107                                                                                                                                  |Star                              |09 36 10.3019 +23 40 13.792            |206.1217417 +46.0376167            |     -12.8 -9.3   |10.12    |F2              |    ~     ~    |    0|                |                       |        |                   
1773|BD+26 1987                                                                                                                                  |Star                              |09 38 59.4198166656 +25 56 20.112824436|203.1421572393776 +47.2073343431128| -16.543 -2.837   |9.06     |K5              |    ~     ~    |    1|  674.172   pc  |  -8.9993     +8.9993  |paral   |2020yCat.1350....0G
1774|HD 83632                                                                                                                                    |High Proper Motion Star           |09 40 34.0569616032 +26 00 13.964779800|203.1635650673893 +47.5674450463317|-51.375 -49.569   |8.06     |K2III           |    ~     ~    |    1|  693.770   pc  | -12.4661    +12.4661  |paral   |2020yCat.1350....0G
1775|* 13 Leo                                                                                                                                    |Star                              |09 41 38.4845028120 +25 54 46.358745912|203.3738198482225 +47.7830743993176|-18.405 -32.344   |6.249    |K2III:          |    ~     ~    |    1|  172.435   pc  |  -1.1775     +1.1775  |paral   |2020yCat.1350....0G
1776|BD+26 1995                                                                                                                                  |Star                              |09 43 57.8717067120 +26 20 16.861346844|202.9191253190090 +48.3833898564433| -11.497 -6.162   |10.54    |G0              |    ~     ~    |    1|  288.984   pc  |  -1.6034     +1.6034  |paral   |2020yCat.1350....0G
1777|HD 83341                                                                                                                                    |High Proper Motion Star           |09 38 21.2875209696 +25 21 59.822718120|203.9130420787857 +46.9382690388746|  -54.863 0.444   |8.49     |G8III           |    ~     ~    |    1|  352.609   pc  |  -3.1829     +3.1829  |paral   |2020yCat.1350....0G
1778|* 12 Leo                                                                                                                                    |Star                              |09 39 12.8170350312 +25 22 02.556810912|203.9778160030952 +47.1271852556042|   6.208 16.173   |7.21     |F0              |    ~     ~    |    1|   96.011   pc  |  -0.2756     +0.2756  |paral   |2020yCat.1350....0G
1779|HD 83935                                                                                                                                    |Star                              |09 42 21.2167322256 +25 35 24.581997564|203.8954679267502 +47.8679450822883| -20.333 -4.700   |7.26     |K1III           |    ~     ~    |    1|  255.722   pc  |  -1.4452     +1.4452  |paral   |2020yCat.1350....0G
1780|V* DU Leo                                                                                                                                   |Spectroscopic Binary              |09 44 11.3797997112 +25 21 11.455438680|204.3806235341303 +48.2181939358215| 58.638 -75.524   |9.33     |G0(N)           |    ~     ~    |    1|  136.489   pc  |  -0.3670     +0.3670  |paral   |2020yCat.1350....0G
1781|BD+25 2124                                                                                                                                  |Double or Multiple Star           |09 37 25.2692 +25 21 36.834            |203.8505292 +46.7316404            |    -35.60 5.30   |9.65     |F2              |    ~     ~    |    0|                |                       |        |                   
1782|NAME NC 25                         HD 83224                                                                                                 |Star                              |09 37 34.8137188296 +24 23 50.128411524|205.2242602081950 +46.5345666785192| -42.257 -3.866   |9.07     |F6V             |    ~     ~    |    1|  193.825   pc  |  -0.8115     +0.8115  |paral   |2020yCat.1350....0G
1783|* 9 Leo                                                                                                                                     |High Proper Motion Star           |09 37 49.8924637752 +24 40 12.997781544|204.8597607414037 +46.6573487600816|-99.043 -16.587   |6.604    |G0III           |    ~     ~    |    1|   73.623   pc  |  -0.1431     +0.1431  |paral   |2020yCat.1350....0G
1784|BD+25 2128                                                                                                                                  |Star                              |09 38 11.8800130632 +25 10 15.547056096|204.1793154237303 +46.8581131106727| -27.714 -1.022   |9.81     |F5              |    ~     ~    |    1|  134.687   pc  |  -0.2830     +0.2830  |paral   |2020yCat.1350....0G
1785|BD+25 2130                                                                                                                                  |Star                              |09 38 55.5483795480 +24 21 01.668286692|205.4016129409935 +46.8196481695630|   -3.346 0.902   |9.21     |K2              |    ~     ~    |    1|  514.456   pc  |  -4.6316     +4.6316  |paral   |2020yCat.1350....0G
1786|HD 83617                                                                                                                                    |Star                              |09 40 23.9282663616 +25 01 18.718897512|204.5646318867468 +47.3071761838524|   -7.260 0.838   |8.80     |G0IV            |    ~     ~    |    1|  440.257   pc  |  -5.6016     +5.6016  |paral   |2020yCat.1350....0G
1787|HD 84108                                                                                                                                    |Star                              |09 43 22.8024795048 +24 36 17.378614080|205.4045302513986 +47.8645506937476| -7.489 -47.684   |8.49     |F8              |    ~     ~    |    1|  212.468   pc  |  -5.3900     +5.3900  |paral   |2020yCat.1350....0G
1788|BD+25 2142                                                                                                                                  |Star                              |09 43 24.4059891168 +24 35 13.296756192|205.4324651077352 +47.8661466649578|-36.687 -22.730   |9.03     |K7              |    ~     ~    |    1|  215.211   pc  |  -0.8105     +0.8105  |paral   |2020yCat.1350....0G
1789|BD+25 2144                                                                                                                                  |Star                              |09 44 04.7194570104 +25 17 57.521963940|204.4507615628956 +48.1815097616888|-31.576 -18.227   |9.28     |K2              |    ~     ~    |    1|  921.234   pc  | -14.2577    +14.2577  |paral   |2020yCat.1350....0G
1790|BD+25 2146                                                                                                                                  |Star                              |09 44 22.5091629648 +25 14 26.860673904|204.5592280636950 +48.2333950644394|-22.106 -19.780   |10.01    |F8              |    ~     ~    |    1|  172.132   pc  |  -0.5718     +0.5718  |paral   |2020yCat.1350....0G
1791|BD+24 2108                                                                                                                                  |High Proper Motion Star           |09 36 42.4739297232 +24 18 18.134816940|205.2816076764121 +46.3191225225296| -43.925 93.087   |9.86     |K0              |    ~     ~    |    1|   49.994   pc  |  -0.0447     +0.0447  |paral   |2020yCat.1350....0G
1792|HD 83288                                                                                                                                    |Star                              |09 37 56.2817671920 +24 04 02.754402744|205.7181052287500 +46.5303776908268|  -16.311 5.560   |8.77     |F5              |    ~     ~    |    1|  110.052   pc  |  -0.2410     +0.2410  |paral   |2020yCat.1350....0G
1793|HD 83665                                                                                                                                    |Star                              |09 40 41.9006057352 +24 06 15.304669128|205.8994907878175 +47.1491320018773| 17.001 -15.299   |9.10     |K0              |    ~     ~    |    1|  626.253   pc  |  -8.4714     +8.4714  |paral   |2020yCat.1350....0G
1794|BD+24 2118                                                                                                                                  |Variable Star                     |09 41 43.5345072288 +23 52 51.065120784|206.3054405446369 +47.3193555919932|-27.824 -18.341   |9.88     |G5              |    ~     ~    |    1|  212.617   pc  |  -0.9764     +0.9764  |paral   |2020yCat.1350....0G
1795|BD+24 2119                                                                                                                                  |High Proper Motion Star           |09 42 23.3047520424 +24 12 50.242893804|205.8853730008030 +47.5498332759960|-26.448 -42.998   |10.62    |F8              |    ~     ~    |    1|  245.857   pc  |  -1.1485     +1.1485  |paral   |2020yCat.1350....0G
1796|BD+24 2122                                                                                                                                  |Star                              |09 43 16.1049671712 +24 15 25.727897556|205.8972528220566 +47.7548850260295|-29.536 -17.274   |10.41    |K0              |    ~     ~    |    1|  566.604   pc  |  -5.1366     +5.1366  |paral   |2020yCat.1350....0G
1797|HD 83342                                                                                                                                    |High Proper Motion Star           |09 38 13.3445304672 +23 32 48.925612536|206.4728512896431 +46.4583282282546|-64.340 -41.178   |7.86     |F5              |    ~     ~    |    1|   80.134   pc  |  -0.1721     +0.1721  |paral   |2020yCat.1350....0G
1798|NGC 2927                           NGC 2927                                                                                                 |Radio Galaxy                      |09 37 15.1930182984 +23 35 26.144706444|206.3270455128738 +46.2555895599197|            ~ ~   |     ~   |~               |0.983 0.649    |    1|  107.90    Mpc |                       |redshift|2007ApJ...655..790C
1799|TYC 1959-94-1                                                                                                                               |Star                              |09 38 26.5537189248 +24 50 10.399121808|204.6739662194772 +46.8321963995413|   4.963 13.647   |10.96    |~               |    ~     ~    |    1|  317.682   pc  |  -1.8065     +1.8065  |paral   |2020yCat.1350....0G
1800|TYC 1959-111-1                                                                                                                              |Star                              |09 39 49.7918290872 +24 55 23.999606004|204.6605442078261 +47.1585416468713|   1.248 -1.938   |10.17    |~               |    ~     ~    |    1|  877.039   pc  | -27.6911    +27.6911  |paral   |2020yCat.1350....0G
1801|TYC 1959-328-1                                                                                                                              |Star                              |09 40 19.2835475016 +23 52 35.974153380|206.1905487867042 +47.0079796240456| -9.029 -18.840   |10.63    |~               |    ~     ~    |    1|  252.889   pc  |  -1.1959     +1.1959  |paral   |2020yCat.1350....0G
1802|TYC 1959-351-1                                                                                                                              |High Proper Motion Star           |09 34 00.0191410344 +24 12 34.478245080|205.1894836970537 +45.6979386898326| 49.503 -29.651   |9.72     |~               |    ~     ~    |    1|   92.524   pc  |  -0.1515     +0.1515  |paral   |2020yCat.1350....0G
