C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:41:11

dec >=0&rah >=9.5&rah< 9.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 2905

 #  |                                                                 identifier                                                                 |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
32  |BD+81 299                                                                                                                                   |Star                              |09 34 22.9345318200 +80 38 55.920018300|131.3712753546317 +32.9763472325911|  -2.844 12.356   |10.16    |G5              |    ~     ~    |    1|  278.412   pc  |  -0.9224     +0.9224  |paral   |2020yCat.1350....0G
33  |BD+81 301                                                                                                                                   |High Proper Motion Star           |09 35 36.7618763352 +80 34 11.100864504|131.4112644616806 +33.0638362975819|-87.799 -40.237   |10.57    |G5              |    ~     ~    |    1|  140.378   pc  |  -0.2838     +0.2838  |paral   |2020yCat.1350....0G
34  |HD 82991                                                                                                                                    |Star                              |09 43 02.8460481576 +80 06 48.643525152|131.6156775778277 +33.5893477136875|   -4.662 1.876   |9.30     |F5              |    ~     ~    |    1|  502.285   pc  |  -7.4678     +7.4678  |paral   |2020yCat.1350....0G
35  |BD+83 251                                                                                                                                   |Star                              |09 31 15.6233480640 +82 56 49.073971632|129.2706497634112 +31.5143593687359|  21.330 26.814   |10.10    |F0              |    ~     ~    |    1|  230.990   pc  |  -0.8910     +0.8910  |paral   |2020yCat.1350....0G
36  |BD+83 254                                                                                                                                   |Star                              |09 32 31.8102155616 +82 52 46.510162860|129.3061443822113 +31.5861836918468|   0.239 -4.469   |10.83    |K0              |    ~     ~    |    1| 1145.607   pc  | -19.6862    +19.6862  |paral   |2020yCat.1350....0G
37  |BD+83 255                                                                                                                                   |Star                              |09 32 12.6786601416 +82 41 06.267545088|129.4955702958123 +31.6953974934007|-17.989 -11.479   |10.55    |F5              |    ~     ~    |    1|  350.803   pc  |  -1.7598     +1.7598  |paral   |2020yCat.1350....0G
38  |HD 81437                                                                                                                                    |Star                              |09 36 57.6321077544 +82 55 31.374497352|129.1652587964663 +31.6663965394444| -12.182 -8.067   |7.01     |F5              |    ~     ~    |    1|  126.465   pc  |  -0.2607     +0.2607  |paral   |2020yCat.1350....0G
39  |BD+83 258                                                                                                                                   |Star                              |09 36 32.0756765328 +82 43 25.716528588|129.3611309415242 +31.7806323918430|  -18.238 2.445   |10.78    |G5              |    ~     ~    |    1|  294.118   pc  |  -5.5969     +5.5969  |paral   |2020yCat.1350....0G
40  |BD+83 261                                                                                                                                   |Star                              |09 40 52.9936562136 +82 55 52.051116540|129.0710189337944 +31.7568496362023|-21.513 -28.169   |10.42    |F5              |    ~     ~    |    1|  341.169   pc  |  -7.6123     +7.6123  |paral   |2020yCat.1350....0G
41  |BD+83 259                                                                                                                                   |Star                              |09 37 50.4433915872 +82 25 52.030574220|129.6012749976651 +31.9948059175182| 23.174 -20.608   |9.32     |G0              |    ~     ~    |    1|  145.003   pc  |  -0.2860     +0.2860  |paral   |2020yCat.1350....0G
