C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:33:15

dec< 0&rah >=20.75&rah< 21.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 4200

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
42  |CD-35 14399                                                                                              |Star                              |20 51 36.8518520640 -34 51 39.894113160|008.5869293821502 -38.7745129638464| 12.512 -17.413   |9.21     |K5              |    ~     ~    |    1|  508.984   pc  |  -8.1087     +8.1087  |paral   |2020yCat.1350....0G
43  |CD-36 14422                                                                                              |Star                              |20 49 33.7127512968 -35 38 54.575329092|007.5099858966090 -38.4783614159752| -12.271 -8.305   |9.674    |F5              |    ~     ~    |    1|  303.552   pc  |  -6.1500     +6.1500  |ST-L    |2020AJ....160...83S
44  |HD 198233                                                                                                |Double or Multiple Star           |20 50 05.1984540696 -35 33 32.476538520|007.6431256765162 -38.5707378104045| 39.002 -15.396   |8.91     |F2V             |0.0017  0.0    |    1|  179.321   pc  | -15.7886    +15.7886  |paral   |2020yCat.1350....0G
45  |CD-36 14429                                                                                              |Double or Multiple Star           |20 50 37.9444074384 -35 45 27.778070916|007.4119966752740 -38.7092223684435| -0.429 -13.850   |9.900    |G5              |    ~     ~    |    1|   85.064   pc  |  -0.4278     +0.4278  |ST-L    |2020AJ....160...83S
46  |CD-36 14413                                                                                              |High Proper Motion Star           |20 48 55.5850644936 -36 12 57.746968956|006.7691569776827 -38.4325385767074| 81.396 -25.952   |9.580    |G5              |    ~     ~    |    1|  148.212   pc  |  -1.4370     +1.4370  |ST-L    |2020AJ....160...83S
47  |CD-36 14416                                                                                              |Star                              |20 49 04.4950823304 -35 59 31.378366608|007.0576371105573 -38.4304795523318|  -1.103 -1.987   |9.789    |~               |    ~     ~    |    1|  293.201   pc  |  -6.0000     +6.0000  |ST-L    |2020AJ....160...83S
48  |CD-36 14419                                                                                              |Star                              |20 49 25.0033643808 -36 15 55.059236316|006.7244725671079 -38.5373064239266|  18.164 -5.050   |9.41     |~               |    ~     ~    |    1|  449.135   pc  |  -4.1151     +4.1151  |paral   |2020yCat.1350....0G
49  |CD-36 14423                                                                                              |Star                              |20 49 36.0744339384 -36 18 27.272771172|006.6774908282554 -38.5799753281317|    6.119 6.563   |10.499   |~               |    ~     ~    |    1|  926.453   pc  | -45.6700    +45.6700  |ST-L    |2020AJ....160...83S
50  |CD-35 14380                                                                                              |Star                              |20 49 48.5209764000 -35 12 15.313990140|008.0806139914260 -38.4616625673683|  12.042 22.304   |10.052   |~               |    ~     ~    |    1|  452.203   pc  | -12.4300    +12.4300  |ST-L    |2020AJ....160...83S
51  |CD-36 14430                                                                                              |Star                              |20 50 44.7406079832 -36 00 08.879918760|007.1055168480196 -38.7664924478010|   6.038 -5.079   |10.04    |~               |    ~     ~    |    1|  132.221   pc  |  -0.2360     +0.2360  |paral   |2020yCat.1350....0G
52  |CD-36 14432                                                                                              |Star                              |20 50 59.3023574880 -35 49 20.509674312|007.3431041202993 -38.7898666168327|  16.816 -9.695   |10.181   |~               |    ~     ~    |    1|  757.794   pc  | -23.9900    +23.9900  |ST-L    |2020AJ....160...83S
53  |CD-35 14396                                                                                              |Star                              |20 51 34.1908659816 -35 11 32.813444328|008.1648850556237 -38.8155757290769|    9.926 4.156   |10.144   |~               |    ~     ~    |    1|  648.850   pc  | -24.4600    +24.4600  |ST-L    |2020AJ....160...83S
54  |CD-36 14442                                                                                              |High Proper Motion Star           |20 51 51.0975578712 -35 51 11.248148124|007.3354914191588 -38.9674064766651|218.663 -26.692   |9.82     |~               |    ~     ~    |    1|   98.087   pc  |  -0.5665     +0.5665  |ST-L    |2020AJ....160...83S
55  |CD-34 14648                                                                                              |Star                              |20 49 17.4455971992 -34 23 09.280687812|009.0894163699493 -38.2271373019357|  4.064 -11.808   |10.622   |~               |    ~     ~    |    1|  850.623   pc  | -28.7200    +28.7200  |ST-L    |2020AJ....160...83S
