C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:33:15

dec< 0&rah >=20.75&rah< 21.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 4200

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
2531|CPD-62 6188                                                                                              |Star                              |20 57 26.5470890136 -61 55 44.543441100|333.7270576101316 -38.4017908951200|   3.842 -8.796   |10.34    |~               |    ~     ~    |    1|  167.374   pc  |  -1.6720     +1.6720  |ST-L    |2020AJ....160...83S
2532|V* V387 Pav                                                                                              |Long-Period Variable              |20 58 47.5124729424 -61 48 41.114540844|333.8213195066139 -38.5853365972615| 18.072 -19.037   |9.04     |M6/7III         |    ~     ~    |    1|  541.800   pc  |  -8.6303     +8.6303  |paral   |2020yCat.1350....0G
2533|CD-61 6503                                                                                               |Star                              |20 53 07.5921436608 -61 13 43.578449328|334.7478366445308 -38.0683504424554|  -0.371 -5.024   |10.92    |~               |    ~     ~    |    1|  602.910   pc  | -19.4100    +19.4100  |ST-L    |2020AJ....160...83S
2534|CD-60 7586                                                                                               |Star                              |20 57 03.0188561640 -60 27 47.810718144|335.5613739907565 -38.7068553822644|  -2.330 -4.489   |10.37    |~               |    ~     ~    |    1|  288.599   pc  |  -4.0850     +4.0850  |ST-L    |2020AJ....160...83S
2535|CD-61 6505                                                                                               |Star                              |20 54 02.7535158624 -61 28 25.444715484|334.4129519528896 -38.1202067680136|   2.403 -4.196   |10.92    |~               |    ~     ~    |    1|  986.193   pc  | -12.4490    +12.4490  |paral   |2020yCat.1350....0G
2536|TYC 9101-677-1                                                                                           |Star                              |20 54 14.2092661152 -61 01 48.983191536|334.9556873021775 -38.2434230036581|   5.851 -5.380   |10.39    |~               |    ~     ~    |    1|  834.098   pc  | -10.9924    +10.9924  |paral   |2020yCat.1350....0G
2537|CD-61 6517                                                                                               |Star                              |20 55 53.2000827456 -60 33 07.410623184|335.4923544820453 -38.5472138739816|    3.795 6.389   |10.68    |~               |    ~     ~    |    1| 1166.980   pc  | -68.1300    +68.1300  |ST-L    |2020AJ....160...83S
2538|GSC 09101-00991                                                                                          |Long-Period Variable Candidate    |20 58 54.0541488768 -61 39 13.813206984|334.0122467528062 -38.6376981050330|   2.950 -5.936   |10.31    |~               |    ~     ~    |    1| 1866.37    pc  | -70.7116    +70.7116  |paral   |2020yCat.1350....0G
2539|IRAS 20430-6154                                                                                          |Long-Period Variable Candidate    |20 47 11.5004268888 -61 43 15.746915064|334.3319962755408 -37.2708792055956|  14.433 -7.920   |10.76    |~               |    ~     ~    |    1| 2260.91    pc  |-133.416    +133.416   |paral   |2020yCat.1350....0G
2540|CD-61 6508                                                                                               |High Proper Motion Star           |20 54 30.7752 -61 00 44.394            |334.9683499 -38.2800477            |    8.30 -94.50   |9.97     |G6V             |    ~     ~    |    0|                |                       |        |                   
2541|TYC 8804-1366-1                                                                                          |Star                              |20 59 24.6657916559 -59 48 44.996025424|336.2888944665781 -39.1421987841045|  -16.307 3.738   |10.94    |~               |    ~     ~    |    1|  562.310   pc  | -86.7600    +86.7600  |ST-L    |2020AJ....160...83S
2542|TYC 9100-1326-1                                                                                          |High Proper Motion Star           |20 49 25.5997783680 -61 14 32.073495036|334.8526744873351 -37.6308081662769| -3.113 -74.427   |10.87    |~               |    ~     ~    |    1|  225.657   pc  |  -2.7270     +2.7270  |ST-L    |2020AJ....160...83S
2543|TYC 9100-1544-1                                                                                          |Star                              |20 51 03.9097837968 -61 27 24.856407180|334.5347473210281 -37.7770306961374| -7.333 -28.685   |10.34    |~               |    ~     ~    |    1|  290.005   pc  |  -4.5300     +4.5300  |ST-L    |2020AJ....160...83S
2544|TYC 9101-23-1                                                                                            |Star                              |20 58 00.0590008344 -61 32 08.753507952|334.1927273243192 -38.5635325754611|   6.230 -0.131   |10.73    |~               |    ~     ~    |    1|  865.707   pc  | -41.6800    +41.6800  |ST-L    |2020AJ....160...83S
2545|TYC 9101-107-1                                                                                           |Star                              |20 57 24.2945833728 -61 42 45.064159452|333.9961916442750 -38.4512628431866|  -0.038 -6.668   |10.94    |~               |    ~     ~    |    1|  666.782   pc  | -26.3300    +26.3300  |ST-L    |2020AJ....160...83S
2546|TYC 9101-959-1                                                                                           |Star                              |20 56 32.9439387960 -61 28 27.390908532|334.3228075837218 -38.4105564958589|   6.161 -4.882   |10.88    |~               |    ~     ~    |    1|  351.679   pc  |  -6.4960     +6.4960  |ST-L    |2020AJ....160...83S
2547|TYC 9101-1013-1                                                                                          |High Proper Motion Star           |20 58 33.3468530640 -60 46 27.765881832|335.1180647761991 -38.8135467880484| 36.694 -62.960   |10.85    |~               |    ~     ~    |    1|  194.249   pc  |  -1.9960     +1.9960  |ST-L    |2020AJ....160...83S
2548|TYC 9105-178-1                                                                                           |High Proper Motion Star           |20 56 03.2246207256 -62 15 07.007267556|333.3802046207031 -38.1639941336416| 33.557 -62.982   |10.90    |~               |    ~     ~    |    1|  178.026   pc  |  -1.6000     +1.6000  |ST-L    |2020AJ....160...83S
2549|TYC 9105-757-1                                                                                           |Star                              |20 59 22.8094195992 -62 43 08.827146336|332.6788355438424 -38.4145616707604|  16.363 -8.161   |10.73    |~               |    ~     ~    |    1|  425.389   pc  |  -9.0040     +9.0040  |ST-L    |2020AJ....160...83S
2550|HD 197507                                                                                                |High Proper Motion Star           |20 46 50.9252794776 -58 07 37.142785740|338.8020108649351 -37.8799251420410|  -93.835 3.792   |9.49     |G6/8V           |    ~     ~    |    1|   66.748   pc  |  -0.0619     +0.0619  |paral   |2020yCat.1350....0G
2551|HD 197529                                                                                                |Double or Multiple Star           |20 46 58.93044 -58 17 51.1329          |338.58514588 -37.87025531          |   15.51 -13.46   |9.61     |F5V             |    ~     ~    |    0|                |                       |        |                   
2552|HD 197616                                                                                                |Star                              |20 47 38.0673709008 -58 46 54.559576344|337.9622670933596 -37.8746394797904| 15.594 -30.748   |9.72     |F8V             |    ~     ~    |    1|  174.563   pc  |  -0.4662     +0.4662  |paral   |2020yCat.1350....0G
2553|HD 197791                                                                                                |Star                              |20 48 38.0674498776 -58 58 09.688286964|337.6998986261523 -37.9696797135915| 18.517 -14.245   |9.68     |K0III           |    ~     ~    |    1|  537.389   pc  | -15.5500    +15.5500  |ST-L    |2020AJ....160...83S
2554|HD 197827                                                                                                |Star                              |20 48 50.6779846536 -59 14 03.970402116|337.3629568409539 -37.9492072687238| 36.837 -32.077   |7.54     |A1IV            |    ~     ~    |    1|  273.680   pc  |  -4.8011     +4.8011  |paral   |2020yCat.1350....0G
2555|HD 197864                                                                                                |Star                              |20 49 10.6939784184 -59 03 28.813565772|337.5734737947445 -38.0228821489822|  -12.898 4.956   |9.91     |G8/K0(III)      |    ~     ~    |    1|  300.789   pc  |  -4.8350     +4.8350  |ST-L    |2020AJ....160...83S
2556|HD 197996                                                                                                |Star                              |20 50 07.1001680976 -58 46 44.347494972|337.8948307700530 -38.1920987672407| 15.816 -34.138   |9.57     |F3V             |    ~     ~    |    1|  156.944   pc  |  -1.7560     +1.7560  |ST-L    |2020AJ....160...83S
2557|HD 198052                                                                                                |High Proper Motion Star           |20 50 32.1541495248 -59 11 28.654523808|337.3666194745297 -38.1698655085253| 81.159 -52.708   |9.84     |F8V             |    ~     ~    |    1|  129.187   pc  |  -0.8856     +0.8856  |ST-L    |2020AJ....160...83S
2558|HD 198064                                                                                                |Star                              |20 50 33.5335896960 -58 55 25.061624940|337.7006935642777 -38.2220307696162| -22.792 -5.803   |8.31     |K4III           |    ~     ~    |    1|  439.657   pc  |  -4.1173     +4.1173  |paral   |2020yCat.1350....0G
2559|HD 198493                                                                                                |High Proper Motion Star           |20 53 24.7017126984 -59 11 55.648862448|337.2672892899824 -38.5297926305770| 32.763 -75.797   |9.34     |F8V             |    ~     ~    |    1|  170.291   pc  |  -0.4234     +0.4234  |paral   |2020yCat.1350....0G
2560|HD 199052                                                                                                |Spectroscopic Binary              |20 57 14.6839143024 -59 23 57.709140684|336.8861352496095 -38.9670802550859| 19.429 -18.393   |8.25     |A9IV            |    ~     ~    |    1|  141.993   pc  |  -1.9960     +1.9960  |paral   |2020yCat.1350....0G
2561|HD 197219                                                                                                |Star                              |20 45 18.5934003528 -59 35 51.213516252|337.0105050405973 -37.4430124556563| 45.804 -16.131   |8.50     |K0III           |    ~     ~    |    1|  282.016   pc  |  -2.1633     +2.1633  |paral   |2020yCat.1350....0G
2562|HD 198533                                                                                                |Star                              |20 53 43.3260220392 -59 37 07.157770464|336.7315397873235 -38.4841611537158| -9.639 -10.237   |8.56     |F3/5V           |    ~     ~    |    1|  188.062   pc  |  -0.6225     +0.6225  |paral   |2020yCat.1350....0G
2563|HD 198534                                                                                                |Star                              |20 53 44.6411717856 -59 42 30.290159124|336.6185932868276 -38.4684797680968| 11.415 -14.226   |7.54     |A0IV            |    ~     ~    |    1|  273.157   pc  |  -2.3727     +2.3727  |paral   |2020yCat.1350....0G
2564|HD 198562                                                                                                |Star                              |20 53 57.2572353840 -59 40 53.138605404|336.6453579384041 -38.4999906920813| 10.333 -23.867   |8.82     |F2IV            |    ~     ~    |    1|  223.739   pc  |  -0.8710     +0.8710  |paral   |2020yCat.1350....0G
2565|HD 198831                                                                                                |Star                              |20 55 50.3332044096 -59 35 07.135046592|336.7018850568785 -38.7530068933253| 16.634 -17.838   |10.21    |G0/2V           |    ~     ~    |    1|  326.051   pc  |  -5.9760     +5.9760  |ST-L    |2020AJ....160...83S
2566|HD 197289                                                                                                |Star                              |20 45 51.5432867784 -60 32 18.306357432|335.8297472455389 -37.3435304329305|    2.104 8.462   |9.54     |F5V             |    ~     ~    |    1|  364.069   pc  |  -8.0810     +8.0810  |ST-L    |2020AJ....160...83S
2567|HD 197416                                                                                                |High Proper Motion Star           |20 46 36.8231480328 -60 16 54.101333208|336.1257875879526 -37.4824409002710|106.567 -71.552   |8.19     |F6V             |    ~     ~    |    1|   81.517   pc  |  -0.4004     +0.4004  |ST-L    |2020AJ....160...83S
2568|HD 197906                                                                                                |Star                              |20 49 32.9591331120 -60 01 08.061922272|336.3648914343120 -37.8907072081429| 20.087 -19.254   |9.83     |G0IV/V          |    ~     ~    |    1|  290.696   pc  |  -5.5520     +5.5520  |ST-L    |2020AJ....160...83S
2569|CD-60 7561                                                                                               |Star                              |20 52 07.9270744128 -60 23 52.161181440|335.8121381046674 -38.1290792548391|  17.019 -7.861   |10.00    |~               |    ~     ~    |    1|  727.832   pc  | -44.8400    +44.8400  |ST-L    |2020AJ....160...83S
2570|CD-60 7567                                                                                               |High Proper Motion Star           |20 53 11.7641480472 -60 18 40.562289864|335.8847273870107 -38.2758698269678| 40.879 -45.821   |10.27    |~               |    ~     ~    |    1|  165.148   pc  |  -1.5620     +1.5620  |ST-L    |2020AJ....160...83S
2571|CD-60 7569                                                                                               |High Proper Motion Star           |20 53 20.8434514056 -60 07 28.644490200|336.1122145730251 -38.3335014485205| 20.121 -89.303   |10.19    |~               |    ~     ~    |    1|  165.630   pc  |  -1.4900     +1.4900  |ST-L    |2020AJ....160...83S
2572|HD 197242                                                                                                |Star                              |20 45 27.3730134792 -60 46 57.173879460|335.5396731208510 -37.2497973557558|   -2.688 8.190   |10.75    |F2/5            |    ~     ~    |    1|  339.559   pc  |  -6.5900     +6.5900  |ST-L    |2020AJ....160...83S
2573|AKARI-IRC-V1 J2047299-605252                                                                             |Long-Period Variable Candidate    |20 47 29.9161961184 -60 52 52.265863200|335.3581043550503 -37.4752516794674|   8.435 -0.271   |9.45     |M3(III)         |    ~     ~    |    1| 1199.76    pc  | -34.8341    +34.8341  |paral   |2020yCat.1350....0G
2574|HD 197654                                                                                                |Star                              |20 47 58.6986946416 -60 51 06.867438948|335.3798385143700 -37.5382502346603| 15.994 -13.095   |9.00     |K1III           |    ~     ~    |    1|  687.994   pc  |  -9.0881     +9.0881  |paral   |2020yCat.1350....0G
2575|IRAS 20446-5839                                                                                          |Long-Period Variable              |20 48 32.5057093392 -58 28 48.711415944|338.3140931699481 -38.0418749726445|  3.557 -21.960   |10.33    |~               |    ~     ~    |    1| 2353.495   pc  |-131.2728   +131.2728  |paral   |2020yCat.1350....0G
2576|CD-59 7575                                                                                               |Star                              |20 52 02.6717548512 -58 59 45.313776204|337.5648296336970 -38.3967817659855| 33.218 -17.424   |10.98    |~               |    ~     ~    |    1|  421.932   pc  | -11.7500    +11.7500  |ST-L    |2020AJ....160...83S
2577|CD-59 7585                                                                                               |Star                              |20 54 39.0076113000 -59 16 09.631764300|337.1382423604574 -38.6708195617031| 16.492 -36.807   |10.43    |~               |    ~     ~    |    1|  211.721   pc  |  -2.7670     +2.7670  |ST-L    |2020AJ....160...83S
2578|CD-60 7558                                                                                               |Spectroscopic Binary              |20 51 24.0089933712 -60 24 31.647393612|335.8222364499083 -38.0383855634625|  -1.428 -9.319   |9.97     |~               |    ~     ~    |    1|  646.390   pc  | -20.7300    +20.7300  |ST-L    |2020AJ....160...83S
2579|CD-59 7548                                                                                               |Star                              |20 45 38.0781592104 -58 37 37.502778576|338.2091557726416 -37.6437918563450|   1.460 -5.761   |10.42    |~               |    ~     ~    |    1| 1360.729   pc  | -33.3285    +33.3285  |paral   |2020yCat.1350....0G
2580|CD-60 7571                                                                                               |Star                              |20 53 38.3829512112 -59 40 03.303315372|336.6730786746106 -38.4639705878319|  15.844 -6.590   |9.53     |~               |    ~     ~    |    1|  261.827   pc  | -31.2700    +31.2700  |ST-L    |2020AJ....160...83S
2581|CD-60 7559                                                                                               |Long-Period Variable              |20 51 23.8633308504 -60 03 29.065029624|336.2585564298028 -38.1092768854321|    0.061 4.238   |9.939    |~               |    ~     ~    |    1| 1459.002   pc  | -70.2467    +70.2467  |paral   |2020yCat.1350....0G
2582|TYC 8799-601-1                                                                                           |Star                              |20 45 16.4866714152 -58 04 50.947677696|338.9001409730809 -37.6815710489692|-18.809 -25.141   |10.555   |~               |    ~     ~    |    1|  231.043   pc  |  -2.7880     +2.7880  |ST-L    |2020AJ....160...83S
2583|TYC 8803-664-1                                                                                           |Star                              |20 47 28.4890199328 -59 01 17.949431856|337.6674243607553 -37.8135431557903|  6.040 -10.082   |10.62    |~               |    ~     ~    |    1| 1926.000   pc  |-187.5000   +187.5000  |ST-L    |2020AJ....160...83S
2584|TYC 8803-763-1                                                                                           |Star                              |20 46 39.3158820744 -58 19 40.908547704|338.5556874518592 -37.8230145483468|   6.354 -1.354   |10.45    |~               |    ~     ~    |    1| 1085.894   pc  | -14.5037    +14.5037  |paral   |2020yCat.1350....0G
2585|TYC 8803-901-1                                                                                           |High Proper Motion Star           |20 48 04.0661587416 -59 50 47.309251992|336.6235461189569 -37.7409857568048| 47.495 -45.620   |10.54    |~               |    ~     ~    |    1|  108.167   pc  |  -0.8026     +0.8026  |ST-L    |2020AJ....160...83S
2586|TYC 8803-1092-1                                                                                          |Star                              |20 48 49.3062428376 -58 44 13.546950396|337.9847992305118 -38.0339621356732|  5.715 -18.806   |10.50    |~               |    ~     ~    |    1|  522.421   pc  | -19.7300    +19.7300  |ST-L    |2020AJ....160...83S
2587|TYC 8803-1200-1                                                                                          |Spectroscopic Binary              |20 46 36.7114389816 -59 37 48.940740588|336.9339794670124 -37.5995130220935| 54.626 -48.337   |10.91    |~               |    ~     ~    |    1|  153.358   pc  |  -1.5030     +1.5030  |ST-L    |2020AJ....160...83S
2588|TYC 8803-1293-1                                                                                          |Star                              |20 52 13.9481962392 -59 51 02.827806588|336.4901638570824 -38.2532945878042|  8.445 -12.965   |10.86    |~               |    ~     ~    |    1|  317.937   pc  |  -5.8350     +5.8350  |ST-L    |2020AJ....160...83S
2589|TYC 8804-21-1                                                                                            |Star                              |20 54 19.9179888936 -59 18 46.310399640|337.0942340204811 -38.6222119495190|-24.770 -41.159   |10.44    |~               |    ~     ~    |    1|  108.226   pc  |  -0.1862     +0.1862  |paral   |2020yCat.1350....0G
2590|TYC 8804-987-1                                                                                           |Star                              |20 55 02.4593155416 -59 24 13.349773620|336.9566861629631 -38.6920485858043|  -16.800 6.559   |10.80    |~               |    ~     ~    |    1|  400.336   pc  |  -2.1156     +2.1156  |paral   |2020yCat.1350....0G
2591|TYC 9100-1058-1                                                                                          |Star                              |20 50 49.044864 -60 28 39.23400        |335.755463441 -37.953973744        |     -8.5 -10.2   |10.926   |~               |    ~     ~    |    1|  279.509   pc  | -57.85      +57.85    |ST-L    |2017AJ....153...75K
2592|TYC 9100-1313-1                                                                                          |Spectroscopic Binary              |20 46 50.9189541600 -60 22 31.246738140|336.0030146859393 -37.4936509314794|   -0.718 2.516   |10.93    |~               |    ~     ~    |    1| 1432.570   pc  | -92.4500    +92.4500  |ST-L    |2020AJ....160...83S
2593|TYC 9100-1330-1                                                                                          |High Proper Motion Star           |20 45 11.2297816608 -60 09 37.960277760|336.3160737535305 -37.3301136983300| 66.006 -72.179   |10.75    |~               |    ~     ~    |    1|  139.796   pc  |  -1.0580     +1.0580  |ST-L    |2020AJ....160...83S
2594|CD-58 7864                                                                                               |Star                              |20 47 15.7276023480 -57 43 29.511896376|339.2949070237597 -37.9965341271545| 10.751 -23.459   |10.31    |~               |    ~     ~    |    1|  415.235   pc  |  -9.5490     +9.5490  |ST-L    |2020AJ....160...83S
2595|HD 197790                                                                                                |Star                              |20 48 30.8545501872 -57 42 20.970770940|339.2857404353615 -38.1646566296400|  35.702 11.815   |7.76     |G6III/IV        |    ~     ~    |    1|  191.384   pc  |  -0.8498     +0.8498  |paral   |2020yCat.1350....0G
2596|HD 197567                                                                                                |Star                              |20 47 12.5006904456 -57 54 02.464872912|339.0759270132213 -37.9623156681124|  -4.196 -1.694   |7.91     |K2III           |    ~     ~    |    1|  422.601   pc  |  -3.6611     +3.6611  |paral   |2020yCat.1350....0G
2597|HD 197826                                                                                                |Star                              |20 48 41.6416329720 -58 13 07.107939228|338.6374469104328 -38.1052386877821| 10.069 -14.352   |9.88     |K0/2(III)       |    ~     ~    |    1|  617.443   pc  | -18.0400    +18.0400  |ST-L    |2020AJ....160...83S
2598|HD 197892                                                                                                |Star                              |20 49 12.1743456528 -58 10 34.760902728|338.6763338859089 -38.1783848634041|    2.975 8.620   |9.99     |A8/F0V          |    ~     ~    |    1|  418.046   pc  |  -9.7920     +9.7920  |ST-L    |2020AJ....160...83S
2599|HD 197905                                                                                                |Star                              |20 49 15.9646659816 -57 53 17.743282872|339.0361291493642 -38.2342103577134|   0.354 -5.834   |9.16     |G6III/IV        |    ~     ~    |    1|  528.513   pc  |  -4.4413     +4.4413  |paral   |2020yCat.1350....0G
2600|HD 197960                                                                                                |Star                              |20 49 41.5509353184 -58 19 52.557421548|338.4681648251832 -38.2156808381235| -5.802 -21.301   |10.10    |F3V             |    ~     ~    |    1|  243.153   pc  |  -3.3240     +3.3240  |ST-L    |2020AJ....160...83S
2601|HD 198051                                                                                                |Star                              |20 50 28.5570066432 -58 19 47.887604148|338.4471976257411 -38.3171918978389| -20.945 -0.309   |10.64    |G0/2V           |    ~     ~    |    1|  195.720   pc  |  -1.9550     +1.9550  |ST-L    |2020AJ....160...83S
2602|HD 198453                                                                                                |Star                              |20 53 10.2773043912 -58 36 38.099062224|338.0131563861951 -38.6128491755752|  28.734 -2.973   |9.98     |F2V             |    ~     ~    |    1|  255.892   pc  |  -1.1787     +1.1787  |paral   |2020yCat.1350....0G
2603|HD 199051                                                                                                |Star                              |20 57 08.7508597200 -58 44 29.808482280|337.7172706822352 -39.0933830246997|  3.176 -20.391   |9.76     |G8III           |    ~     ~    |    1|  586.373   pc  |  -5.2606     +5.2606  |paral   |2020yCat.1350....0G
2604|HD 199202                                                                                                |Star                              |20 58 18.6277370376 -58 55 53.297131944|337.4371365270058 -39.2008446145488|  15.112 13.956   |9.90     |F0IV/V          |    ~     ~    |    1|  315.298   pc  |  -2.7140     +2.7140  |paral   |2020yCat.1350....0G
2605|CD-59 7591                                                                                               |Spectroscopic Binary              |20 56 22.4940075576 -59 13 19.146274212|337.1392781997122 -38.8963401618538| -17.182 13.455   |10.55    |~               |    ~     ~    |    1|  427.525   pc  | -23.3900    +23.3900  |ST-L    |2020AJ....160...83S
2606|* bet Ind                                                                                                |Star                              |20 54 48.6027789 -58 27 14.961814      |338.1576983731 -38.8526280459      |   20.79 -25.20   |3.65     |K1II            |    ~     ~    |    1|  155.1831  pc  |  -6.7742     +6.7742  |paral   |2018yCat.1345....0G
2607|CD-58 7897                                                                                               |Star                              |20 54 01.0316669640 -58 18 56.254715172|338.3576334869602 -38.7770110837786|   1.098 -1.771   |10.4     |~               |    ~     ~    |    1| 1303.781   pc  | -26.6876    +26.6876  |paral   |2020yCat.1350....0G
2608|TYC 8804-452-1                                                                                           |Star                              |20 56 49.9418916912 -59 16 38.367921900|337.0538978010293 -38.9418264414558|   1.603 -0.295   |10.61    |~               |    ~     ~    |    1|  796.375   pc  | -38.0300    +38.0300  |ST-L    |2020AJ....160...83S
2609|CD-59 7604                                                                                               |Star                              |20 58 38.0304293280 -59 19 11.780999904|336.9363181649755 -39.1571195158162|   5.643 10.890   |10.54    |~               |    ~     ~    |    1|  237.258   pc  |  -3.0490     +3.0490  |ST-L    |2020AJ....160...83S
2610|HD 199352                                                                                                |Star                              |20 59 03.0495755304 -56 22 02.858775672|340.6696378674876 -39.8040048179052| 12.335 -40.365   |9.45     |K2III           |    ~     ~    |    1|  503.322   pc  |  -3.4960     +3.4960  |paral   |2020yCat.1350....0G
2611|HD 198145                                                                                                |Star                              |20 50 51.4876173888 -57 20 54.191333796|339.6713692150811 -38.5324538229128| 14.746 -15.557   |8.72     |F5Ib            |    ~     ~    |    1|  241.297   pc  |  -3.2130     +3.2130  |ST-L    |2020AJ....160...83S
2612|HD 198146                                                                                                |High Proper Motion Star           |20 50 52.9461087408 -57 24 18.401564340|339.5991430153712 -38.5264517139114| 48.649 -30.997   |10.19    |K2              |    ~     ~    |    1|  224.836   pc  |  -2.6140     +2.6140  |ST-L    |2020AJ....160...83S
2613|V* BQ Ind                                                                                                |SX Phe Variable                   |20 55 33.6670267680 -56 44 31.136696304|340.3018986687497 -39.2645442180475|-27.355 -17.578   |9.86     |A9V             |    ~     ~    |    1|  382.706   pc  |  -9.9600     +9.9600  |ST-L    |2020AJ....160...83S
2614|HD 198926                                                                                                |Star                              |20 56 06.3532949160 -56 42 10.442216196|340.3349023273590 -39.3449154196530|  9.990 -10.591   |9.33     |K3III           |    ~     ~    |    1|  693.366   pc  | -29.3000    +29.3000  |ST-L    |2020AJ....160...83S
2615|HD 198209                                                                                                |Star                              |20 51 20.2405977864 -57 27 44.974728108|339.5138916445517 -38.5773941321345| 14.146 -10.854   |9.03     |A2mA7-A8        |    ~     ~    |    1|  232.710   pc  |  -3.0770     +3.0770  |ST-L    |2020AJ....160...83S
2616|HD 198326                                                                                                |Star                              |20 52 06.9839214288 -57 23 23.314121196|339.5832406092343 -38.6929086529841| 19.485 -26.848   |10.56    |K0/2(III)       |    ~     ~    |    1|  288.637   pc  |  -4.6100     +4.6100  |ST-L    |2020AJ....160...83S
2617|HD 198791                                                                                                |Star                              |20 55 19.7691869304 -57 02 50.500259664|339.9208445169301 -39.1802079074088|    8.020 1.761   |10.16    |F3/5IV/V        |    ~     ~    |    1|  217.236   pc  |  -3.5920     +3.5920  |ST-L    |2020AJ....160...83S
2618|HD 199188                                                                                                |Star                              |20 58 01.9041232752 -56 49 20.338276152|340.1216160672979 -39.5832135543231| 13.540 -23.150   |10.48    |F0/2V           |    ~     ~    |    1|  424.106   pc  |  -5.4679     +5.4679  |paral   |2020yCat.1350....0G
2619|HD 199328                                                                                                |Star                              |20 58 59.5807117800 -57 10 08.132577024|339.6477794949969 -39.6467361886795| 12.587 -27.674   |10.204   |F5V             |    ~     ~    |    1|  283.169   pc  | -17.1700    +17.1700  |ST-L    |2020AJ....160...83S
2620|HD 198582                                                                                                |Star                              |20 53 50.9561542896 -57 46 15.954746304|339.0498216450189 -38.8553249399138|  19.456 -3.840   |10.53    |G0/2V           |    ~     ~    |    1|  232.087   pc  |  -3.3850     +3.3850  |ST-L    |2020AJ....160...83S
2621|HD 198757                                                                                                |Star                              |20 55 06.3636949344 -58 17 47.795184204|338.3467158153666 -38.9210364299496|   5.675 -6.048   |9.56     |G8/K0III        |    ~     ~    |    1|  552.273   pc  |  -4.3006     +4.3006  |paral   |2020yCat.1350....0G
2622|HD 198807                                                                                                |Star                              |20 55 23.8714766808 -57 52 03.838361124|338.8789969403046 -39.0402640863605| 19.849 -21.714   |8.36     |G6III           |    ~     ~    |    1|  426.730   pc  | -11.8728    +11.8728  |paral   |2020yCat.1350....0G
2623|HD 198890                                                                                                |Long-Period Variable              |20 56 03.4813443048 -58 21 30.679714728|338.2373533954220 -39.0315796627305|   4.170 -3.354   |9.31     |M6III           |    ~     ~    |    1|  630.756   pc  | -12.2539    +12.2539  |paral   |2020yCat.1350....0G
2624|HD 198927                                                                                                |Star                              |20 56 16.1695252680 -58 09 49.363693704|338.4763871345695 -39.0969923936585|  4.863 -17.723   |10.00    |G8/K1           |    ~     ~    |    1|  501.153   pc  | -21.1220    +21.1220  |paral   |2020yCat.1350....0G
2625|HD 198942                                                                                                |Spectroscopic Binary              |20 56 18.8813401104 -58 13 33.792065148|338.3961113702881 -39.0906517312237| -4.131 -14.096   |10.41    |A7/9            |    ~     ~    |    1|  400.481   pc  |  -3.0313     +3.0313  |paral   |2020yCat.1350....0G
2626|HD 199080                                                                                                |Star                              |20 57 18.5389942560 -58 10 01.826975424|338.4371854891967 -39.2306994823128|  34.937 25.542   |10.05    |K2V             |    ~     ~    |    1|   58.245   pc  |  -0.0475     +0.0475  |paral   |2020yCat.1350....0G
2627|HD 199450                                                                                                |Star                              |20 59 43.7982599784 -58 02 32.932478184|338.5111482908265 -39.5691488156501|  8.549 -12.171   |9.52     |G6/K1(III)      |    ~     ~    |    0|                |                       |        |                   
2628|HD 199050                                                                                                |Star                              |20 57 09.1768858752 -58 33 33.590175660|337.9469641412587 -39.1316602714764|    0.505 6.860   |10.53    |A8IV/V          |    ~     ~    |    1|  601.431   pc  | -10.7792    +10.7792  |paral   |2020yCat.1350....0G
2629|CD-58 7900                                                                                               |Spectroscopic Binary              |20 54 21.5361065832 -57 32 34.183206888|339.3227063250768 -38.9633265224830| 37.691 -28.479   |10.75    |~               |    ~     ~    |    1|  287.186   pc  |  -8.4050     +8.4050  |ST-L    |2020AJ....160...83S
2630|CD-57 8147                                                                                               |Pulsating Variable                |20 57 14.1534877512 -57 23 30.935879160|339.4225050686079 -39.3712367709766|  -1.237 17.794   |10.61    |~               |    ~     ~    |    1|  369.740   pc  |  -8.9680     +8.9680  |paral   |2020yCat.1350....0G
2631|V* AX Ind                                                                                                |Long-Period Variable              |20 56 05.1725427600 -57 00 01.606269240|339.9569275842467 -39.2898550655930|  -3.313 -2.606   |10.19    |~               |    ~     ~    |    1| 1250.782   pc  | -60.0751    +60.0751  |paral   |2020yCat.1350....0G
2632|TYC 8800-1157-1                                                                                          |Star                              |20 53 21.0265630536 -57 50 01.080377376|338.9861569643986 -38.7787386605368| 23.235 -14.388   |10.44    |~               |    ~     ~    |    1|  644.371   pc  |  -8.2212     +8.2212  |paral   |2020yCat.1350....0G
2633|CD-58 7921                                                                                               |Star                              |20 57 29.1424721808 -57 37 09.476360976|339.1255180335757 -39.3609314304150|    5.486 1.433   |10.26    |~               |    ~     ~    |    1| 1344.447   pc  | -23.4980    +23.4980  |paral   |2020yCat.1350....0G
