C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:01:49

dec< 0&rah >=11.75&rah< 12.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5766

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------------|-----|----------------|-----------------------|--------|-------------------
3082|TYC 8631-1301-1                                                                                          |Star                              |11 58 24.8918716632 -54 08 40.433481168|295.1383734075133 +07.9228911161513|  -14.475 7.009    |10.88    |~                   |    ~     ~          |    1|  345.149   pc  |  -1.6559     +1.6559  |paral   |2020yCat.1350....0G
3083|TYC 8631-1333-1                                                                                          |Star                              |11 49 38.2520275128 -54 16 56.810943984|293.9070053994006 +07.5028239314075|  -47.200 7.514    |10.43    |~                   |    ~     ~          |    1|  167.202   pc  |  -3.0081     +3.0081  |paral   |2020yCat.1350....0G
3084|TYC 8631-1345-1                                                                                          |Star                              |11 51 34.6658993760 -53 46 08.881689432|294.0644149018261 +08.0688195751882|  -27.192 8.328    |10.01    |~                   |    ~     ~          |    1|  525.431   pc  | -13.8315    +13.8315  |paral   |2020yCat.1350....0G
3085|TYC 8631-1349-1                                                                                          |Star                              |11 53 18.6340302144 -53 55 53.759005572|294.3531753604007 +07.9691342978300|  -35.245 3.570    |10.04    |~                   |    ~     ~          |    1|  322.445   pc  |  -4.0445     +4.0445  |paral   |2020yCat.1350....0G
3086|TYC 8631-1351-1                                                                                          |Star                              |11 57 15.5025468288 -54 14 30.009937956|294.9917701101367 +07.7926953085161|  -8.328 -0.086    |10.633   |~                   |    ~     ~          |    1|  862.510   pc  | -37.7800    +37.7800  |ST-L    |2020AJ....160...83S
3087|TYC 8631-1353-1                                                                                          |Star                              |11 57 21.8936002464 -53 52 45.346582452|294.9302516153888 +08.1502858763813|  -4.664 -0.379    |10.834   |~                   |    ~     ~          |    1| 1122.650   pc  | -63.3400    +63.3400  |ST-L    |2020AJ....160...83S
3088|TYC 8631-1363-1                                                                                          |Star                              |11 56 35.4531059592 -54 03 48.782775240|294.8572863486330 +07.9460889507715|   -6.242 1.405    |10.69    |~                   |    ~     ~          |    1| 1257.387   pc  | -20.0790    +20.0790  |paral   |2020yCat.1350....0G
3089|TYC 8631-1367-1                                                                                          |Star                              |11 48 27.5270724144 -54 18 16.992256104|293.7440929578314 +07.4397009732873|   -2.887 3.987    |10.659   |~                   |    ~     ~          |    1| 1205.850   pc  | -66.8800    +66.8800  |ST-L    |2020AJ....160...83S
3090|GSC 08631-01401                                                                                          |Double or Multiple Star           |11 55 10.0532988936 -53 47 10.706997984|294.5902328368751 +08.1715887950747|   -5.252 0.325    |10.622   |~                   |    ~     ~          |    1| 1135.400   pc  |-107.9000   +107.9000  |ST-L    |2020AJ....160...83S
3091|TYC 8631-1449-1                                                                                          |High Proper Motion Star           |11 57 50.267880 -53 34 18.35328        |294.934320698 +08.465613769        |     -56.2 -3.5    |10.680   |~                   |    ~     ~          |    1|  108.075   pc  | +44.218      +1       |ST-L    |2017AJ....153...75K
3092|TYC 8631-1458-1                                                                                          |High Proper Motion Star           |11 49 49.8787882584 -53 28 20.617301316|293.7395440807100 +08.2962277001044|-52.668 -11.656    |10.296   |~                   |    ~     ~          |    1|  171.032   pc  | -27.1200    +27.1200  |ST-L    |2020AJ....160...83S
3093|TYC 8631-1473-1                                                                                          |Star                              |11 47 28.1000823264 -53 44 35.277193356|293.4626480200993 +07.9483726871101|   -8.231 2.135    |10.435   |~                   |    ~     ~          |    1| 1207.850   pc  | -84.1000    +84.1000  |ST-L    |2020AJ....160...83S
3094|TYC 8631-1557-1                                                                                          |Star                              |11 51 23.6427908832 -53 54 56.003289624|294.0721656993421 +07.9201083386761|   -0.970 0.429    |10.465   |~                   |    ~     ~          |    1| 1315.470   pc  | -93.8100    +93.8100  |ST-L    |2020AJ....160...83S
3095|TYC 8631-1613-1                                                                                          |Star                              |11 48 12.4756857720 -53 30 48.014483184|293.5128280143007 +08.1980929701303|-20.448 -29.129    |10.72    |~                   |    ~     ~          |    1|  210.788   pc  |  -0.5643     +0.5643  |paral   |2020yCat.1350....0G
3096|TYC 8631-1636-1                                                                                          |Spectroscopic Binary              |11 58 30.5375269104 -53 30 09.037484928|295.0184452420107 +08.5540324676071|  -21.561 0.529    |10.68    |~                   |    ~     ~          |    1|  313.716   pc  |  -1.3286     +1.3286  |paral   |2020yCat.1350....0G
3097|TYC 8631-3212-1                                                                                          |Star                              |11 46 51.4683747936 -54 05 55.601232828|293.4640181658705 +07.5815469859628|   -6.427 1.041    |10.362   |~                   |    ~     ~          |    1|  815.616   pc  | -36.7600    +36.7600  |ST-L    |2020AJ....160...83S
3098|TYC 8631-3227-1                                                                                          |Star                              |11 46 47.5925812416 -54 16 26.297938956|293.4989177692466 +07.4095446205374|    3.502 3.929    |10.370   |~                   |    ~     ~          |    1|  771.338   pc  | -27.1400    +27.1400  |ST-L    |2020AJ....160...83S
3099|GSC 08631-03278                                                                                          |Double or Multiple Star           |11 47 06.0482637792 -53 37 32.714584212|293.3799869270528 +08.0485636389176|  -3.345 -3.196    |10.714   |~                   |    ~     ~          |    1|  839.419   pc  | -13.3174    +13.3174  |paral   |2020yCat.1350....0G
3100|TYC 8631-3289-1                                                                                          |Pulsating Variable                |11 47 29.4430853856 -53 26 06.965173104|293.3888947252111 +08.2474712553645|  -30.493 0.277    |10.82    |~                   |    ~     ~          |    1|  404.678   pc  |  -2.5220     +2.5220  |paral   |2020yCat.1350....0G
3101|TYC 8634-12-1                                                                                            |Star                              |11 46 34.7460241584 -54 56 45.132471240|293.6379563006062 +06.7512356482103|  1.172 -11.327    |10.94    |~                   |    ~     ~          |    1|  450.126   pc  |  -3.4444     +3.4444  |paral   |2020yCat.1350....0G
3102|HD 301935                                                                                                |Star                              |11 46 17.8289800296 -55 51 25.860700152|293.8287047727639 +05.8589641472699|  -3.491 -3.924    |10.45    |F0                  |    ~     ~          |    1|  320.688   pc  |  -2.3345     +2.3345  |paral   |2020yCat.1350....0G
3103|TYC 8634-129-1                                                                                           |High Proper Motion Star           |11 46 01.2705341016 -55 14 02.786475768|293.6330724672321 +06.4521890517155| -46.073 22.594    |10.423   |~                   |    ~     ~          |    1|  313.322   pc  |  -5.0310     +5.0310  |ST-L    |2020AJ....160...83S
3104|TYC 8634-331-1                                                                                           |Star                              |11 45 16.7544496872 -54 44 08.980265868|293.4021428424049 +06.9071642119367|  -19.581 2.080    |10.67    |~                   |    ~     ~          |    1|  389.818   pc  |  -1.8083     +1.8083  |paral   |2020yCat.1350....0G
3105|TYC 8634-733-1                                                                                           |Star                              |11 46 18.1681236744 -55 08 36.351632148|293.6492534804561 +06.5500626104593|  -14.955 5.142    |10.39    |~                   |    ~     ~          |    1|  724.020   pc  | -22.4900    +22.4900  |ST-L    |2020AJ....160...83S
3106|HD 301819                                                                                                |Star                              |11 45 27.6982988160 -55 28 53.028265908|293.6186669937942 +06.1928245023157|   -6.475 1.533    |10.83    |A0                  |    ~     ~          |    1| 1019.888   pc  | -22.4677    +22.4677  |paral   |2020yCat.1350....0G
3107|HD 301929                                                                                                |Star                              |11 45 32.0068807488 -55 25 30.442173420|293.6141909985894 +06.2498384947692| -13.008 -2.904    |10.74    |A0                  |    ~     ~          |    1|  453.022   pc  |  -2.8116     +2.8116  |paral   |2020yCat.1350....0G
3108|TYC 8634-1036-1                                                                                          |Star                              |11 45 29.3565764184 -55 35 35.732374188|293.6510571310388 +06.0856268865086|    0.807 0.381    |10.81    |~                   |    ~     ~          |    1|  887.075   pc  |  -9.4428     +9.4428  |paral   |2020yCat.1350....0G
3109|TYC 8634-1320-1                                                                                          |Star                              |11 45 37.8094187904 -55 03 19.642202928|293.5331808998222 +06.6108968590881|   2.218 -3.463    |10.84    |~                   |    ~     ~          |    1|  701.557   pc  |  -6.6445     +6.6445  |paral   |2020yCat.1350....0G
3110|TYC 8634-1407-1                                                                                          |Star                              |11 45 11.9864031432 -54 57 11.519678304|293.4468937790617 +06.6940752507081|  7.942 -16.200    |10.36    |~                   |    ~     ~          |    1|  248.355   pc  |  -0.7772     +0.7772  |paral   |2020yCat.1350....0G
3111|TYC 8634-1415-1                                                                                          |Star                              |11 45 08.7924827328 -54 28 49.765744164|293.3176864384044 +07.1491151334468| -38.198 26.330    |10.54    |~                   |    ~     ~          |    1|  217.019   pc  |  -0.5840     +0.5840  |paral   |2020yCat.1350....0G
3112|TYC 8634-1812-1                                                                                          |Star                              |11 45 26.9037311280 -55 49 01.468660764|293.7026250517849 +05.8676906962851| -8.764 -14.055    |10.69    |~                   |    ~     ~          |    1|  441.306   pc  |  -2.2981     +2.2981  |paral   |2020yCat.1350....0G
3113|TYC 8634-1860-1                                                                                          |Star                              |11 45 35.5307478720 -54 31 07.799509452|293.3905865269733 +07.1285377361143|  -14.457 2.018    |10.89    |~                   |    ~     ~          |    1|  786.906   pc  | -10.1552    +10.1552  |paral   |2020yCat.1350....0G
3114|TYC 8635-1-1                                                                                             |Star                              |11 55 45.5666859120 -54 23 32.894034072|294.8087143364421 +07.5987623134772|-35.534 -17.966    |10.35    |~                   |    ~     ~          |    1|  157.351   pc  |  -0.6611     +0.6611  |paral   |2020yCat.1350....0G
3115|TYC 8635-17-1                                                                                            |Star                              |11 49 27.4644762360 -54 57 14.755001400|294.0435331876012 +06.8444596102364|  -16.174 4.309    |10.83    |~                   |    ~     ~          |    0|                |                       |        |                   
3116|TYC 8635-66-1                                                                                            |Star                              |11 58 41.8602421944 -55 48 03.993956892|295.5208497796800 +06.3098961275214|  -12.411 2.477    |10.98    |~                   |    ~     ~          |    1|  822.233   pc  | -11.8312    +11.8312  |paral   |2020yCat.1350....0G
3117|TYC 8635-88-1                                                                                            |Star                              |11 53 11.5556761608 -54 23 35.198313504|294.4412694119084 +07.5156248403817|  -20.294 7.792    |10.55    |~                   |    ~     ~          |    0|                |                       |        |                   
3118|TYC 8635-116-1                                                                                           |Star                              |11 53 04.9887596760 -54 29 19.275179388|294.4474092645393 +07.4189238400811| -15.757 13.428    |10.77    |~                   |    ~     ~          |    1|  442.929   pc  |  -2.9624     +2.9624  |paral   |2020yCat.1350....0G
3119|TYC 8635-131-1                                                                                           |Star                              |11 50 45.3983465088 -54 45 14.361782220|294.1786897511771 +07.0831811153405|  -24.353 2.626    |10.83    |~                   |    ~     ~          |    1|  618.888   pc  |  -7.6988     +7.6988  |paral   |2020yCat.1350....0G
3120|TYC 8635-143-1                                                                                           |Star                              |11 47 30.6432555432 -54 38 10.776169788|293.6914646598867 +07.0844432268543|  -28.458 3.458    |10.95    |~                   |    ~     ~          |    1|  407.880   pc  |  -2.3458     +2.3458  |paral   |2020yCat.1350....0G
3121|TYC 8635-172-1                                                                                           |Star                              |11 48 42.8521201752 -54 24 25.144309908|293.8055542759488 +07.3495468775450|    5.361 2.600    |10.70    |~                   |    ~     ~          |    1|  769.931   pc  | -22.3500    +22.3500  |ST-L    |2020AJ....160...83S
3122|TYC 8635-247-1                                                                                           |Star                              |11 49 14.9124991920 -54 25 42.505250772|293.8868401087300 +07.3474679561682|   -6.968 2.128    |10.175   |~                   |    ~     ~          |    1| 1585.130   pc  |-128.5000   +128.5000  |ST-L    |2020AJ....160...83S
3123|TYC 8635-282-1                                                                                           |Star                              |11 55 29.8899168504 -55 23 15.588534192|294.9886338731783 +06.6189941608053| -22.830 -4.032    |10.97    |~                   |    ~     ~          |    1|  932.140   pc  | -10.8611    +10.8611  |paral   |2020yCat.1350....0G
3124|GSC 08635-00286                                                                                          |Double or Multiple Star           |11 52 11.3011986888 -54 28 27.676806456|294.3165060040445 +07.4032811451022|   -6.663 0.942    |10.319   |~                   |    ~     ~          |    1| 1030.184   pc  | -24.8339    +24.8339  |paral   |2020yCat.1350....0G
3125|TYC 8635-359-1                                                                                           |Star                              |11 47 59.4797340384 -54 54 25.754551740|293.8262495249771 +06.8389825943174| -21.034 -0.602    |10.367   |~                   |    ~     ~          |    1|  739.614   pc  | -26.1400    +26.1400  |ST-L    |2020AJ....160...83S
3126|TYC 8635-426-1                                                                                           |Star                              |11 47 54.4672216872 -55 03 21.312645156|293.8512685209489 +06.6918169107446|-21.103 -36.162    |10.46    |~                   |    ~     ~          |    1|  251.921   pc  |  -0.8631     +0.8631  |paral   |2020yCat.1350....0G
3127|TYC 8635-430-1                                                                                           |Star                              |11 54 51.6900338976 -54 38 33.917378208|294.7353824862077 +07.3261193631856|  -13.043 3.550    |10.43    |~                   |    ~     ~          |    1|  804.311   pc  | -19.8603    +19.8603  |paral   |2020yCat.1350....0G
3128|TYC 8635-431-1                                                                                           |Star                              |11 56 24.0681108072 -55 49 00.059903760|295.2066802959239 +06.2273664039538|   -8.673 9.311    |9.99     |~                   |    ~     ~          |    1|  619.886   pc  |  -5.0338     +5.0338  |paral   |2020yCat.1350....0G
3129|TYC 8635-446-1                                                                                           |Star                              |11 47 14.9858655168 -54 45 12.243270384|293.6838381183496 +06.9616807007964|   2.843 -6.955    |10.31    |~                   |    ~     ~          |    1|  409.9873  pc  | -38.3580    +38.3580  |paral   |2018yCat.1345....0G
3130|TYC 8635-458-1                                                                                           |Star                              |11 48 18.3190424856 -54 39 27.849893472|293.8090428789935 +07.0918991167649| -34.128 -1.470    |10.47    |~                   |    ~     ~          |    1|  430.182   pc  |  -2.6093     +2.6093  |paral   |2020yCat.1350....0G
3131|HD 301936                                                                                                |Star                              |11 47 22.2706097400 -56 02 20.738884200|294.0205686365506 +05.7201879246227|   -9.244 0.711    |10.09    |K0                  |    ~     ~          |    1|  713.572   pc  |  -6.0084     +6.0084  |paral   |2020yCat.1350....0G
3132|TYC 8635-533-1                                                                                           |Star                              |11 59 59.8806966576 -55 26 01.573111536|295.6271917946850 +06.7067282411438|   -5.543 0.418    |10.885   |~                   |    ~     ~          |    1|  934.689   pc  | -47.2900    +47.2900  |ST-L    |2020AJ....160...83S
3133|GSC 08635-00538                                                                                          |Double or Multiple Star           |11 50 25.1305588488 -54 34 37.822254780|294.0889027116393 +07.2435343622446|-20.419 -15.451    |10.620   |~                   |    ~     ~          |    1|  724.480   pc  |  -5.8786     +5.8786  |paral   |2020yCat.1350....0G
3134|TYC 8635-558-1                                                                                           |Star                              |11 59 11.4306613512 -54 39 44.569686744|295.3566826353901 +07.4390884660384|  -21.438 0.929    |10.871   |~                   |    ~     ~          |    1|  878.572   pc  | -38.2200    +38.2200  |ST-L    |2020AJ....160...83S
3135|TYC 8635-595-1                                                                                           |Star                              |11 57 03.9953383344 -55 29 38.425092612|295.2302329180100 +06.5625994216309| -21.029 -0.404    |9.724    |~                   |    ~     ~          |    1|  599.917   pc  | -16.9100    +16.9100  |ST-L    |2020AJ....160...83S
3136|TYC 8635-598-1                                                                                           |Star                              |11 59 44.0112115656 -54 37 09.269770008|295.4255032130242 +07.4971949000054|   -8.713 1.889    |10.73    |~                   |    ~     ~          |    1| 2396.932   pc  | -99.9679    +99.9679  |paral   |2020yCat.1350....0G
3137|TYC 8635-623-1                                                                                           |Star                              |11 58 57.9524569104 -55 21 27.825211548|295.4672379581363 +06.7516940911775| -4.970 -11.148    |10.07    |~                   |    ~     ~          |    1|  656.297   pc  |  -6.2886     +6.2886  |paral   |2020yCat.1350....0G
3138|TYC 8635-625-1                                                                                           |Star                              |11 59 40.5628730088 -55 21 47.055986172|295.5678530630357 +06.7668529037437| -11.545 -0.326    |10.22    |~                   |    ~     ~          |    1|  417.676   pc  |  -4.0473     +4.0473  |paral   |2020yCat.1350....0G
3139|TYC 8635-651-1                                                                                           |Star                              |11 49 55.5594352512 -55 31 39.930689496|294.2464767350351 +06.3032630250058|  -13.826 2.890    |10.19    |~                   |    ~     ~          |    1| 1061.797   pc  | -13.8672    +13.8672  |paral   |2020yCat.1350....0G
3140|TYC 8635-666-1                                                                                           |Star                              |11 52 19.0657880832 -54 50 27.327958440|294.4195252738503 +07.0507493797333|   -5.332 0.635    |10.729   |~                   |    ~     ~          |    1| 1616.780   pc  |-131.8000   +131.8000  |ST-L    |2020AJ....160...83S
3141|TYC 8635-685-1                                                                                           |Star                              |11 59 01.0651397376 -56 05 16.672016544|295.6237169285660 +06.0381709664763|  -13.140 4.062    |10.77    |~                   |    ~     ~          |    1|  352.187   pc  |  -1.5008     +1.5008  |paral   |2020yCat.1350....0G
3142|TYC 8635-690-1                                                                                           |Star                              |11 54 53.3248180848 -55 00 14.582750796|294.8190334658098 +06.9744645556388|  -24.316 1.621    |10.70    |~                   |    ~     ~          |    1|  503.575   pc  |  -3.7277     +3.7277  |paral   |2020yCat.1350....0G
3143|TYC 8635-753-1                                                                                           |Star                              |11 57 40.5587067336 -56 07 42.732996564|295.4480293261959 +05.9600334845011|   -6.798 4.216    |10.72    |~                   |    ~     ~          |    1|  356.799   pc  | -11.3684    +11.3684  |paral   |2020yCat.1350....0G
3144|TYC 8635-820-1                                                                                           |Star                              |11 55 58.8403722912 -54 39 51.064500456|294.8993808476141 +07.3403496873717| -19.849 13.464    |10.399   |~                   |    ~     ~          |    1|  415.183   pc  |  -9.2370     +9.2370  |ST-L    |2020AJ....160...83S
3145|TYC 8635-828-1                                                                                           |Star                              |11 54 29.5617191688 -54 55 57.910283688|294.7473836688727 +07.0315290756366| -14.338 -9.864    |10.86    |~                   |    ~     ~          |    1|  438.423   pc  |  -3.9981     +3.9981  |paral   |2020yCat.1350....0G
3146|TYC 8635-916-1                                                                                           |Spectroscopic Binary              |11 55 48.7501189296 -55 07 57.344611620|294.9771881339140 +06.8777135184522|  -8.866 -0.116    |10.95    |~                   |    ~     ~          |    1|  408.047   pc  |  -2.8805     +2.8805  |paral   |2020yCat.1350....0G
3147|TYC 8635-921-1                                                                                           |Star                              |11 58 55.1475889032 -56 05 59.541293580|295.6126065056938 +06.0237175036425| -31.435 34.937    |10.44    |~                   |    ~     ~          |    1|  136.049   pc  |  -0.2258     +0.2258  |paral   |2020yCat.1350....0G
3148|TYC 8635-925-1                                                                                           |Star                              |11 58 22.8296468496 -55 34 27.288789024|295.4300496981979 +06.5227877943340|   -7.812 0.190    |10.21    |~                   |    ~     ~          |    1| 1227.747   pc  | -50.3459    +50.3459  |paral   |2020yCat.1350....0G
3149|TYC 8635-946-1                                                                                           |Star                              |11 50 55.2564379896 -54 41 30.606785088|294.1872482980606 +07.1491641703295|  -14.272 1.899    |10.163   |~                   |    ~     ~          |    1|  816.454   pc  | -35.1900    +35.1900  |ST-L    |2020AJ....160...83S
3150|TYC 8635-986-1                                                                                           |Star                              |11 51 08.5696205664 -54 48 29.857693428|294.2460390626384 +07.0434099126577|   -6.688 4.931    |10.84    |~                   |    ~     ~          |    1| 1954.270   pc  | -86.3133    +86.3133  |paral   |2020yCat.1350....0G
3151|TYC 8635-1083-1                                                                                          |Star                              |11 57 55.0111326024 -56 05 28.567475052|295.4732789750271 +06.0034589714027|  -21.261 1.495    |10.23    |~                   |    ~     ~          |    1|  287.150   pc  |  -1.2368     +1.2368  |paral   |2020yCat.1350....0G
3152|TYC 8635-1103-1                                                                                          |Star                              |11 58 24.6157664760 -55 58 10.679593368|295.5158819139834 +06.1366915825198|  -6.535 -3.751    |10.93    |~                   |    ~     ~          |    0|                |                       |        |                   
3153|TYC 8635-1118-1                                                                                          |Star                              |11 54 01.8250918656 -55 01 31.139395392|294.7028684650967 +06.9265798452082| -15.874 -1.061    |10.745   |~                   |    ~     ~          |    1| 1233.520   pc  | -83.1900    +83.1900  |ST-L    |2020AJ....160...83S
3154|TYC 8635-1120-1                                                                                          |Star                              |11 56 59.7971805816 -55 09 19.180037772|295.1485660427896 +06.8915746226830|   6.699 -7.155    |10.539   |~                   |    ~     ~          |    1|  922.367   pc  | -45.3700    +45.3700  |ST-L    |2020AJ....160...83S
3155|TYC 8635-1158-1                                                                                          |Star                              |11 57 20.4742228440 -54 58 41.351769228|295.1596113555871 +07.0751622866657|   -9.327 1.060    |10.93    |~                   |    ~     ~          |    1|  799.872   pc  | -11.8362    +11.8362  |paral   |2020yCat.1350....0G
3156|TYC 8635-1162-1                                                                                          |Star                              |11 51 42.6887603904 -55 03 27.557696088|294.3843700258806 +06.8198134339860|   -9.197 1.195    |10.61    |~                   |    ~     ~          |    1|  796.813   pc  |  -7.6189     +7.6189  |paral   |2020yCat.1350....0G
3157|TYC 8635-1186-1                                                                                          |Star                              |11 54 37.6871423328 -55 13 06.329221428|294.8297925769722 +06.7571374537531|   -8.324 0.672    |9.66     |~                   |    ~     ~          |    1| 1272.103   pc  | -21.0372    +21.0372  |paral   |2020yCat.1350....0G
3158|TYC 8635-1192-1                                                                                          |Star                              |11 57 24.2100313152 -54 32 43.282561236|295.0769650108133 +07.5002192570120| -20.061 -4.680    |10.45    |~                   |    ~     ~          |    1|  727.209   pc  | -25.6800    +25.6800  |ST-L    |2020AJ....160...83S
3159|TYC 8635-1258-1                                                                                          |Star                              |11 55 54.8298212544 -54 54 49.787787996|294.9440217525504 +07.0944751513759|  -23.561 5.041    |10.32    |~                   |    ~     ~          |    1|  328.774   pc  |  -1.5349     +1.5349  |paral   |2020yCat.1350....0G
3160|TYC 8635-1271-1                                                                                          |Star                              |11 48 26.8883802144 -55 51 39.931933212|294.1236877001589 +05.9296793119294|  2.606 -20.173    |10.92    |~                   |    ~     ~          |    1|  230.633   pc  |  -2.3032     +2.3032  |paral   |2020yCat.1350....0G
3161|TYC 8635-1298-1                                                                                          |Star                              |11 49 24.7805932632 -54 39 07.650868032|293.9643246085590 +07.1360902019934|  -18.468 5.881    |10.85    |~                   |    ~     ~          |    1|  800.576   pc  |  -8.7165     +8.7165  |paral   |2020yCat.1350....0G
3162|TYC 8635-1337-1                                                                                          |Star                              |11 55 52.2972801408 -55 38 23.506742616|295.0953543126336 +06.3841412502855|   -7.109 0.140    |10.92    |~                   |    ~     ~          |    1| 1551.109   pc  | -49.0812    +49.0812  |paral   |2020yCat.1350....0G
3163|IRAS 11572-5445                                                                                          |Star                              |11 59 46.8506398656 -55 02 28.859232696|295.5176068006781 +07.0850355194190|  -15.906 0.080    |10.21    |~                   |    ~     ~          |    1| 1151.013   pc  | -31.9284    +31.9284  |paral   |2020yCat.1350....0G
3164|TYC 8635-1374-1                                                                                          |Star                              |11 55 22.0149474360 -55 12 41.994889020|294.9318523323121 +06.7867561550094| -19.934 -0.465    |10.71    |~                   |    ~     ~          |    1|  462.214   pc  |  -3.2901     +3.2901  |paral   |2020yCat.1350....0G
3165|TYC 8635-1394-1                                                                                          |Star                              |11 52 53.9203003896 -54 42 00.379886328|294.4694183933527 +07.2069452503468|   0.895 -5.909    |10.624   |~                   |    ~     ~          |    1| 1062.860   pc  | -66.1000    +66.1000  |ST-L    |2020AJ....160...83S
3166|HD 302010                                                                                                |Star                              |11 50 28.6199633736 -55 15 35.728994376|294.2592366859267 +06.5820006118451|  -16.264 3.250    |10.67    |A2                  |    ~     ~          |    1|  521.757   pc  |  -4.2196     +4.2196  |paral   |2020yCat.1350....0G
3167|TYC 8635-1423-1                                                                                          |Star                              |11 48 48.7460395728 -56 07 08.158201572|294.2361150415782 +05.6918423910893|  -13.499 2.377    |10.74    |~                   |    ~     ~          |    1|  875.503   pc  |  -8.9681     +8.9681  |paral   |2020yCat.1350....0G
3168|HD 302011                                                                                                |Star                              |11 54 46.4422690824 -55 35 00.475422396|294.9308046739407 +06.4055491391115| -45.049 -5.386    |10.57    |F2                  |    ~     ~          |    1|  327.279   pc  |  -1.5638     +1.5638  |paral   |2020yCat.1350....0G
3169|TYC 8635-1489-1                                                                                          |Star                              |11 46 46.8728632080 -55 28 51.473530740|293.8005521992982 +06.2402968315951|   -2.507 2.412    |10.73    |~                   |    ~     ~          |    1|  817.528   pc  |  -7.6192     +7.6192  |paral   |2020yCat.1350....0G
3170|TYC 8635-1496-1                                                                                          |Star                              |11 59 37.9433249568 -54 38 04.814812716|295.4141701716961 +07.4791388469230|-40.643 -12.662    |10.86    |~                   |    ~     ~          |    1|  237.614   pc  |  -0.7114     +0.7114  |paral   |2020yCat.1350....0G
3171|TYC 8635-1504-1                                                                                          |High Proper Motion Star           |11 59 27.8037670680 -55 16 14.874552876|295.5193190600942 +06.8511556871225|-110.807 38.868    |10.72    |~                   |    ~     ~          |    1|  217.118   pc  |  -0.6175     +0.6175  |paral   |2020yCat.1350....0G
3172|HD 302012                                                                                                |Star                              |11 55 27.3047478576 -55 46 46.896886668|295.0680731095512 +06.2349457731374|  -7.308 -0.176    |10.95    |A0                  |    ~     ~          |    1| 1218.027   pc  | -33.3808    +33.3808  |paral   |2020yCat.1350....0G
3173|TYC 8635-1561-1                                                                                          |Star                              |11 57 09.1231562520 -55 34 19.862909472|295.2586841892472 +06.4887153409901| -19.633 -5.122    |9.72     |~                   |    ~     ~          |    1|  829.325   pc  |  -9.8353     +9.8353  |paral   |2020yCat.1350....0G
3174|TYC 8635-1576-1                                                                                          |Star                              |11 59 18.7502997168 -54 29 26.747589120|295.3390624748640 +07.6107271056802|-19.244 -11.796    |10.88    |~                   |    ~     ~          |    1|  113.309   pc  |  -0.1849     +0.1849  |paral   |2020yCat.1350....0G
3175|TYC 8635-1682-1                                                                                          |Star                              |11 55 07.3207491576 -54 58 19.263899640|294.8448744335620 +07.0130359771389|    3.943 1.142    |10.957   |~                   |    ~     ~          |    1|  483.002   pc  | -12.5200    +12.5200  |ST-L    |2020AJ....160...83S
3176|TYC 8635-1748-1                                                                                          |Star                              |11 55 46.2324930768 -55 18 06.167265192|295.0080037362970 +06.7112797527642|   -6.754 1.415    |10.771   |~                   |    ~     ~          |    1| 1616.380   pc  |-143.1000   +143.1000  |ST-L    |2020AJ....160...83S
3177|TYC 8635-1764-1                                                                                          |Star                              |11 52 44.6525226048 -55 14 06.887864508|294.5699457881111 +06.6807234622231| -17.631 10.447    |10.14    |K3III               |    ~     ~          |    1|  418.947   pc  |  -9.5250     +9.5250  |ST-L    |2020AJ....160...83S
3178|TYC 8635-1804-1                                                                                          |Star                              |11 56 43.7796195768 -55 12 14.943618288|295.1214482650142 +06.8357973136533|  -11.054 0.413    |10.92    |~                   |    ~     ~          |    1|  556.824   pc  |  -8.3094     +8.3094  |paral   |2020yCat.1350....0G
3179|TYC 8635-1854-1                                                                                          |Star                              |11 47 34.2937998528 -55 03 16.373565756|293.8039410152466 +06.6813095836879|  -13.535 1.458    |10.57    |~                   |    ~     ~          |    0|                |                       |        |                   
3180|TYC 8635-1872-1                                                                                          |Star                              |11 55 28.8576384456 -55 18 49.829125896|294.9701340355460 +06.6905345594007|  -32.571 6.324    |10.55    |~                   |    ~     ~          |    1|  252.864   pc  |  -0.8120     +0.8120  |paral   |2020yCat.1350....0G
3181|TYC 8635-1882-1                                                                                          |Star                              |11 57 27.3654997200 -54 40 16.835437740|295.1110995775584 +07.3786254645744|   -6.332 2.764    |10.415   |~                   |    ~     ~          |    1| 1207.880   pc  | -77.2900    +77.2900  |ST-L    |2020AJ....160...83S
3182|TYC 8635-1934-1                                                                                          |Star                              |11 59 59.7085557960 -55 03 24.961865580|295.5510503032444 +07.0759054912999|  -12.748 5.077    |10.79    |~                   |    ~     ~          |    1| 1023.810   pc  | -41.7700    +41.7700  |ST-L    |2020AJ....160...83S
3183|HD 301937                                                                                                |Star                              |11 47 30.8276903040 -56 00 16.907248044|294.0314544601507 +05.7584364185808|  -10.503 3.407    |10.68    |A2                  |    ~     ~          |    1| 1043.623   pc  | -45.7443    +45.7443  |paral   |2020yCat.1350....0G
