C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:01:49

dec< 0&rah >=11.75&rah< 12.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5766

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------------|-----|----------------|-----------------------|--------|-------------------
37  |HD 102445                                                                                                |High Proper Motion Star           |11 47 31.8095147544 -05 27 31.325377392|275.1933847582288 +53.9353254862429| 44.355 -45.765    |9.789    |F5V                 |    ~     ~          |    1|  194.746   pc  |  -2.8090     +2.8090  |ST-L    |2020AJ....160...83S
38  |HD 102444                                                                                                |Variable Star                     |11 47 31.4628129144 -05 15 49.034086668|275.0526735574399 +54.1120338434161|-24.870 -39.015    |7.95     |G6IV/V              |    ~     ~          |    1|  112.452   pc  |  -0.2719     +0.2719  |paral   |2020yCat.1350....0G
39  |BDS 5923 A                                                                                               |Star                              |11 48 09.4645202040 -03 06 57.500338968|273.7004242105729 +56.1219364502622|  -15.926 0.766    |10.0     |~                   |    ~     ~          |    1|  411.641   pc  |  -4.9987     +4.9987  |paral   |2020yCat.1350....0G
40  |BDS 5923 B                                                                                               |Star                              |11 48 10.8079454112 -03 07 11.419987152|273.7124703871411 +56.1208875616608|   -3.302 0.649    |10.0     |~                   |    ~     ~          |    1|  759.417   pc  | -14.2448    +14.2448  |paral   |2020yCat.1350....0G
41  |BD-02 3408                                                                                               |Variable Star                     |11 45 48.0910568496 -03 37 34.804305804|273.1596147737411 +55.4052166612938|  9.455 -28.290    |10.613   |~                   |    ~     ~          |    1| 1991.840   pc  |-234.6000   +234.6000  |ST-L    |2020AJ....160...83S
42  |BD-02 3413                                                                                               |Star                              |11 47 15.2252461272 -03 23 40.135603740|273.5548628400883 +55.7728888607467|   33.298 2.485    |10.80    |~                   |    ~     ~          |    1|  290.080   pc  | -20.5500    +20.5500  |ST-L    |2020AJ....160...83S
43  |BD-04 3143                                                                                               |High Proper Motion Star           |11 47 32.3693453952 -05 10 47.393158368|274.9986652672014 +54.1897146488045| 63.032 -45.365    |10.315   |~                   |    ~     ~          |    1|  149.331   pc  |  -1.2740     +1.2740  |ST-L    |2020AJ....160...83S
44  |BD-04 3145                                                                                               |Double or Multiple Star           |11 47 50.5831440408 -04 59 10.386244104|274.9773868570374 +54.3971899058718|  2.330 -13.853    |10.14    |~                   |    ~     ~          |    1|  652.316   pc  |  -7.8720     +7.8720  |paral   |2020yCat.1350....0G
45  |BD-03 3174                                                                                               |High Proper Motion Star           |11 47 58.0682774808 -04 16 43.441122144|274.5094747434907 +55.0517784598825|-57.804 -20.070    |10.08    |~                   |    ~     ~          |    1|  172.191   pc  |  -0.6138     +0.6138  |paral   |2020yCat.1350....0G
46  |BD-03 3176                                                                                               |High Proper Motion Star           |11 48 06.8981787456 -04 19 45.026911452|274.6047860965775 +55.0216610414931| -67.530 15.201    |10.48    |~                   |    ~     ~          |    1|  183.076   pc  |  -0.8312     +0.8312  |paral   |2020yCat.1350....0G
47  |BD-04 3147                                                                                               |Star                              |11 48 30.1012882680 -05 07 08.115833172|275.3282353575696 +54.3448385809039|  -9.349 -6.950    |10.61    |~                   |    ~     ~          |    1|  314.990   pc  |  -1.5776     +1.5776  |paral   |2020yCat.1350....0G
48  |BD-02 3419                                                                                               |High Proper Motion Star           |11 48 41.0196746496 -03 11 10.555426320|273.9672998502979 +56.1154955693010|-196.843 -160.591  |10.31    |~                   |    ~     ~          |    1|   56.799   pc  |  -0.1964     +0.1964  |ST-L    |2020AJ....160...83S
49  |BD-02 3418                                                                                               |High Proper Motion Star           |11 48 43.2326495664 -03 24 55.135403532|274.1585276775516 +55.9127090729273|-22.884 -67.741    |10.51    |~                   |    ~     ~          |    1|  200.900   pc  |  -0.9000     +0.9000  |paral   |2020yCat.1350....0G
50  |TYC 4934-242-1                                                                                           |Star                              |11 46 49.0253007504 -03 10 06.927303252|273.2035557260279 +55.9278540165317|  -16.517 0.533    |10.69    |~                   |    ~     ~          |    1|  408.730   pc  |  -4.1932     +4.1932  |paral   |2020yCat.1350....0G
51  |TYC 4934-1085-1                                                                                          |Variable Star                     |11 48 17.0771099352 -04 26 44.414229516|274.7573367457181 +54.9339394266371|  -16.062 0.573    |10.85    |~                   |    ~     ~          |    1|  375.277   pc  |  -3.4645     +3.4645  |paral   |2020yCat.1350....0G
52  |TYC 4934-1198-1                                                                                          |Star                              |11 47 15.7332036504 -04 38 39.717087108|274.5028370590031 +54.6460698046367|   11.791 1.603    |10.97    |~                   |    ~     ~          |    1|  147.604   pc  |  -0.4031     +0.4031  |paral   |2020yCat.1350....0G
53  |BD-05 3356                                                                                               |Star                              |11 48 03.5888690424 -05 49 50.169145152|275.6565960700189 +53.6510584761243|  3.913 -35.810    |10.52    |~                   |    ~     ~          |    1|  347.391   pc  | -21.2760    +21.2760  |paral   |2020yCat.1350....0G
54  |BD-04 3146                                                                                               |Star                              |11 48 12.2416126488 -05 45 32.415795180|275.6622844979718 +53.7310680061528| 30.316 -26.574    |10.97    |~                   |    ~     ~          |    1|  372.459   pc  | -11.2200    +11.2200  |ST-L    |2020AJ....160...83S
55  |BD-05 3358                                                                                               |High Proper Motion Star           |11 48 28.3160913216 -05 49 56.775444852|275.8157543264682 +53.6912916142223|-143.688 45.369    |10.005   |~                   |    ~     ~          |    1|  151.022   pc  |  -1.3990     +1.3990  |ST-L    |2020AJ....160...83S
56  |HD 102512                                                                                                |Star                              |11 47 53.2861795320 -06 14 42.171430596|275.8755493226967 +53.2553463488835|  19.434 -6.728    |9.62     |F7/8V               |    ~     ~          |    1|  170.547   pc  |  -0.6515     +0.6515  |paral   |2020yCat.1350....0G
57  |HD 102133                                                                                                |High Proper Motion Star           |11 45 17.6638307016 -06 30 29.679758100|275.0808013581578 +52.7495624784146| 22.932 -46.628    |8.49     |K0III               |    ~     ~          |    1|  338.398   pc  |  -2.9659     +2.9659  |paral   |2020yCat.1350....0G
58  |HD 102254                                                                                                |Star                              |11 46 07.9641916608 -06 38 20.677682472|275.4833505112728 +52.7171339202192|  -23.375 4.524    |8.56     |K0III               |    ~     ~          |    1|  327.686   pc  |  -2.2979     +2.2979  |paral   |2020yCat.1350....0G
59  |HD 102446                                                                                                |Star                              |11 47 33.2894274648 -06 28 05.654481960|275.9009524097073 +53.0177784690229|  -3.046 11.073    |9.16     |F0V                 |    ~     ~          |    1|  139.220   pc  |  -1.2900     +1.2900  |ST-L    |2020AJ....160...83S
60  |HD 102266                                                                                                |Star                              |11 46 09.2013723384 -07 46 09.120436176|276.2437172144947 +51.6875339436813| -24.347 -2.450    |8.90     |F3V                 |    ~     ~          |    1|  270.812   pc  |  -1.4448     +1.4448  |paral   |2020yCat.1350....0G
61  |BD-06 3446                                                                                               |Long-Period Variable              |11 47 39.6322153656 -07 43 13.238453784|276.7653622000083 +51.8815669868858|  1.234 -21.877    |10.70    |~                   |    ~     ~          |    1| 2207.506   pc  |-154.4767   +154.4767  |paral   |2020yCat.1350....0G
62  |BD-06 3448                                                                                               |Star                              |11 47 46.3639562496 -07 00 12.893966856|276.3405557412220 +52.5499860951539| -14.078 -6.687    |9.55     |K5                  |    ~     ~          |    1| 1048.438   pc  | -21.1051    +21.1051  |paral   |2020yCat.1350....0G
63  |BD-07 3282                                                                                               |Star                              |11 46 29.4615937224 -08 16 28.710819336|276.6916952429292 +51.2578852646777|  21.986 -0.196    |9.87     |F8                  |    ~     ~          |    1|  217.457   pc  |  -0.8417     +0.8417  |paral   |2020yCat.1350....0G
64  |BD-07 3290                                                                                               |Star                              |11 48 02.8864758672 -08 07 52.975376904|277.1687317174442 +51.5414274258500|-36.951 -14.653    |9.93     |F8                  |    ~     ~          |    1|  221.259   pc  |  -1.6792     +1.6792  |paral   |2020yCat.1350....0G
65  |BD-06 3440                                                                                               |Star                              |11 45 15.9565189704 -06 50 31.364367360|275.2994440396283 +52.4432371521343|   -0.378 1.146    |10.42    |~                   |    ~     ~          |    1|  451.406   pc  |  -4.3199     +4.3199  |paral   |2020yCat.1350....0G
66  |BD-06 3442                                                                                               |Star                              |11 45 44.4373591464 -07 15 25.747765488|275.7548228140674 +52.1137513055783|  -19.870 3.488    |10.282   |~                   |    ~     ~          |    1|  789.063   pc  | -29.2800    +29.2800  |ST-L    |2020AJ....160...83S
67  |BD-05 3347                                                                                               |High Proper Motion Star           |11 45 50.0335350312 -06 04 56.900783856|274.9867306312773 +53.1923317162644| -72.162 -9.856    |10.082   |~                   |    ~     ~          |    1|  171.406   pc  |  -1.7230     +1.7230  |ST-L    |2020AJ....160...83S
68  |BD-05 3350                                                                                               |Star                              |11 46 41.5636859352 -06 31 26.234497920|275.6144781600127 +52.8793359819061|   5.795 -8.856    |10.660   |~                   |    ~     ~          |    1|  727.388   pc  | -31.4100    +31.4100  |ST-L    |2020AJ....160...83S
69  |BD-07 3291                                                                                               |High Proper Motion Star           |11 48 03.6964883352 -08 18 51.218435952|277.2881163927034 +51.3743642463521| -59.422 -3.806    |10.371   |~                   |    ~     ~          |    1|  130.842   pc  |  -0.3099     +0.3099  |paral   |2020yCat.1350....0G
70  |BD-05 3357                                                                                               |Long-Period Variable              |11 48 24.2577542328 -06 19 42.428281260|276.1280046064915 +53.2311237754334|  0.082 -14.478    |10.50    |~                   |    ~     ~          |    1| 2043.736   pc  |-122.3819   +122.3819  |paral   |2020yCat.1350....0G
71  |BD-06 3452                                                                                               |Star                              |11 48 39.4133413008 -07 03 11.267326260|276.7040699506074 +52.5920489104110|   1.586 -2.983    |9.627    |~                   |    ~     ~          |    1|  749.805   pc  | -44.2100    +44.2100  |ST-L    |2020AJ....160...83S
