C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:03:01

Vmag< 11&dec< 0&rah >=15.75&rah< 16.0
-------------------------------------

Number of objects : 6366

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |       ang. size       
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|-----------------------
4085|HD 329913                                                             |Star                                  |15 46 34.0699289712 -48 44 15.716372316|330.1792430449036 +04.6461462131394|  -3.458 -4.042   |10.7     |B8               |    ~     ~            
4086|TYC 8313-2112-1                                                       |Star                                  |15 47 38.0051476674 -48 36 02.871628830|330.4028924081314 +04.6446732529501|       -2.2 1.2   |10.62    |~                |    ~     ~            
4087|HD 141053                                                             |High Proper Motion Star               |15 49 01.8287264184 -48 45 53.027150184|330.4815011732080 +04.3728165372092|-67.992 -55.037   |7.51     |G8IV             |    ~     ~            
4088|HD 329921                                                             |Star                                  |15 47 21.1522710456 -49 00 27.094653288|330.1134283040248 +04.3543397539246|  -1.862 -2.215   |9.82     |K7               |    ~     ~            
4089|HD 329919                                                             |Star                                  |15 48 32.1417245256 -48 53 00.790455804|330.3433313224426 +04.3307442753451| -8.864 -15.107   |10.35    |K2               |    ~     ~            
4090|TYC 8317-585-1                                                        |Star                                  |15 45 33.3065088048 -49 20 21.984724680|329.6761848521381 +04.2745252546298|   -3.823 0.861   |10.99    |~                |    ~     ~            
4091|HD 329929                                                             |Young Stellar Object                  |15 46 51.7951835760 -49 19 04.706653116|329.8577284591913 +04.1600367065381|-19.785 -27.489   |10.18    |K0V              |    ~     ~            
4092|HD 140803                                                             |Star                                  |15 47 43.7264236920 -49 13 31.924132392|330.0262651597946 +04.1451461704676|  -3.810 -3.715   |8.56     |B5/6III          |    ~     ~            
4093|HD 329923                                                             |Star                                  |15 47 53.1770192016 -49 08 32.147693016|330.0983359522303 +04.1944394563393|-16.681 -16.743   |9.61     |F5               |    ~     ~            
4094|HD 329927                                                             |Star                                  |15 48 05.0881 -49 22 36.640            |329.9776496 +03.9905119            |      -0.3 -3.2   |10.53    |A2               |    ~     ~            
4095|HD 140903                                                             |Star                                  |15 48 17.2804450464 -49 14 19.582524636|330.0897281549104 +04.0780413579923| 13.590 -12.363   |7.93     |K0III            |    ~     ~            
4096|HD 140309                                                             |Star                                  |15 45 07.2889690440 -49 36 36.823677516|329.4537298668784 +04.1040371681535| 10.805 -13.945   |8.86     |G8III            |    ~     ~            
4097|HD 140353                                                             |Pulsating Variable                    |15 45 19.6011587520 -49 48 34.170660036|329.3574360493023 +03.9263316573488|  -2.828 -2.400   |9.02     |B3III/IV         |    ~     ~            
4098|CD-49 9967                                                            |Star                                  |15 45 44.7158841864 -50 09 13.397866632|329.1987553284452 +03.6133598388671| -11.088 -9.903   |10.83    |~                |    ~     ~            
4099|HD 329958                                                             |Star                                  |15 46 46.3750 -49 56 17.637            |329.4620099 +03.6814196            |-13.661 -15.044   |10.58    |A7               |    ~     ~            
4100|HD 329944                                                             |Star                                  |15 46 50.8168305384 -49 34 00.140738880|329.7014958458877 +03.9661593860960|  -2.695 -4.426   |10.38    |A0               |    ~     ~            
4101|HD 140925                                                             |High Proper Motion Star               |15 48 20.2591738008 -49 45 47.732823108|329.7690254457261 +03.6623858178290|-117.564 -42.831  |7.84     |F7V              |    ~     ~            
4102|HD 329959                                                             |Star                                  |15 45 13.1644964808 -49 54 24.197482584|329.2839556292636 +03.8601646422404|  -2.898 -7.378   |10.92    |A5               |    ~     ~            
4103|HD 329924                                                             |Star                                  |15 48 15.7685918616 -49 10 10.962787656|330.1295759912893 +04.1346687264909|  -0.574 -2.713   |10.86    |A2               |    ~     ~            
4104|HD 329925                                                             |Star                                  |15 48 44.0913579000 -49 10 00.656071140|330.1918885739265 +04.0888532328221|  -3.915 -3.229   |9.94     |K0               |    ~     ~            
4105|HD 329926                                                             |Star                                  |15 48 52.5289138896 -49 15 33.015532428|330.1521710369472 +04.0023594898028|  -4.121 -3.010   |10.34    |A0               |    ~     ~            
4106|HD 330049                                                             |Star                                  |15 49 50.2814314248 -49 10 50.473083324|330.3243283173147 +03.9653740107578|   17.727 2.748   |9.24     |A3               |    ~     ~            
4107|HD 141194                                                             |Star                                  |15 49 57.4982446872 -48 54 44.656364520|330.5082695610612 +04.1620958433033|-28.406 -11.117   |5.837    |A1V              |    ~     ~            
4108|HD 141257                                                             |High Proper Motion Star               |15 50 17.4645262536 -49 02 25.802395404|330.4703430173506 +04.0280837090198|-20.988 -76.632   |6.89     |G8III            |    ~     ~            
4109|HD 330051                                                             |Star                                  |15 50 38.8366470168 -49 11 44.506892400|330.4180843228564 +03.8707157577676|  -3.499 -4.752   |9.76     |B8               |    ~     ~            
4110|HD 141389                                                             |Pulsating Variable                    |15 50 59.9626348056 -48 58 17.121393984|330.6044325037705 +04.0087766838149|-16.221 -10.490   |9.48     |F0V              |    ~     ~            
4111|HD 330053                                                             |Star                                  |15 51 13.9218329376 -49 13 08.954730120|330.4776754653273 +03.7923779639692|  -3.638 -6.287   |10.97    |A3               |    ~     ~            
4112|HD 330046                                                             |Star                                  |15 51 29.0005743192 -49 00 44.904149208|330.6402802888636 +03.9268677184745| -2.068 -13.082   |10.58    |F8               |    ~     ~            
4113|HD 330045                                                             |Star                                  |15 51 50.2850025480 -48 57 46.379102256|330.7169009154363 +03.9285761468340|-25.773 -36.727   |10.31    |K0               |    ~     ~            
4114|HD 329950                                                             |Spectroscopic Binary                  |15 49 10.4840608800 -49 37 51.057062796|329.9577920964232 +03.6815835094217|  -2.231 -1.003   |8.82     |K2               |    ~     ~            
4115|HD 329949                                                             |Star                                  |15 49 10.1983380480 -49 31 37.615590084|330.0220942894621 +03.7630938832202|  -1.146 -7.408   |9.69     |B9               |    ~     ~            
4116|HD 329947                                                             |Eclipsing Binary                      |15 49 12.2884163472 -49 29 54.624437412|330.0444239891201 +03.7819079641627| 33.232 -17.757   |8.835    |G0               |    ~     ~            
4117|HD 329948                                                             |Spectroscopic Binary                  |15 49 15.1819137096 -49 30 26.402120856|330.0450265622498 +03.7701242122096| 32.634 -16.836   |10.64    |G0               |    ~     ~            
4118|HD 330055                                                             |Spectroscopic Binary                  |15 49 27.1812100152 -49 25 57.715519116|330.1171907717402 +03.8080860659826|  -7.687 -7.105   |10.20    |A0               |    ~     ~            
4119|CD-49 9956                                                            |Star                                  |15 45 07.6829442224 -50 14 34.451826913|329.0657725194710 +03.6035892759693|   1.292 -7.642   |10.39    |F0               |    ~     ~            
4120|HD 330034                                                             |Star                                  |15 50 04.7778160824 -48 46 10.981408080|330.6135831852716 +04.2607218258718| -4.971 -11.456   |10.30    |K5               |    ~     ~            
4121|HD 330035                                                             |Star                                  |15 50 41.1351642576 -48 49 08.261295960|330.6604323599736 +04.1597212296016|  -2.146 -3.956   |10.24    |K5               |    ~     ~            
4122|HD 329972                                                             |Star                                  |15 46 34.6652017872 -50 08 45.352408776|329.3088364383766 +03.5373657170145|  -3.461 -5.864   |10.49    |A0               |    ~     ~            
4123|HD 329974                                                             |Star                                  |15 47 09.7262597592 -50 08 55.122964404|329.3809072972573 +03.4773954095439|   -2.077 0.220   |9.11     |K2               |    ~     ~            
4124|HD 329957                                                             |Star                                  |15 47 20.1785116200 -50 02 58.120247076|329.4643792171512 +03.5380018219510|  -7.356 -6.929   |10.62    |A0               |    ~     ~            
4125|HD 329975                                                             |Star                                  |15 47 48.9253010328 -50 09 02.820198456|329.4618858985701 +03.4108810382519|  -4.608 -5.231   |10.20    |A0               |    ~     ~            
4126|HD 141703                                                             |Star                                  |15 52 35.2026895056 -49 14 21.889554972|330.6366121562024 +03.6369153039864|-41.158 -17.277   |9.18     |K0III            |    ~     ~            
4127|HD 330041                                                             |Star                                  |15 53 14.1093388536 -49 08 59.851185720|330.7755335608446 +03.6388166720436|   0.126 -1.256   |10.91    |B5               |    ~     ~            
4128|HD 141874                                                             |Star                                  |15 53 29.9987539296 -49 06 54.581984496|330.8312057751618 +03.6381271158822|-14.439 -30.741   |9.91     |F2/3V            |    ~     ~            
4129|HD 330165                                                             |Star                                  |15 53 50.3934992184 -49 21 20.946155184|330.7205785982177 +03.4172145312730|  -3.481 -5.636   |10.77    |A0               |    ~     ~            
4130|HD 142062                                                             |Star                                  |15 54 36.9136004568 -49 05 37.140978876|330.9858268169485 +03.5382918071247|  -2.959 -3.786   |9.696    |A1V              |    ~     ~            
4131|HD 330076                                                             |Star                                  |15 49 28.3554198360 -50 01 05.228447448|329.7530077976099 +03.3491578739388|   -3.803 0.050   |9.40     |M0               |    ~     ~            
4132|HD 330074                                                             |Star                                  |15 49 36.1323192120 -49 57 12.547225476|329.8097735858263 +03.3865793890769|  -8.408 -8.670   |10.02    |B9               |    ~     ~            
4133|HD 330075                                                             |High Proper Motion Star               |15 49 37.6937569728 -49 57 48.678348924|329.8067578424042 +03.3761301886642|-232.725 -92.458  |9.33     |G5               |    ~     ~            
4134|HD 330057                                                             |Star                                  |15 50 48.4451429664 -49 27 57.006370440|330.2682110405089 +03.6442424595748|  -1.191 -1.836   |10.34    |A0               |    ~     ~            
4135|HD 330077                                                             |Star                                  |15 51 06.6739744176 -49 54 47.900148768|330.0244365907796 +03.2655153583687|  -2.345 -9.928   |10.58    |F5               |    ~     ~            
4136|HD 330078                                                             |High Proper Motion Star               |15 51 08.0402112000 -49 55 33.439369728|330.0193136809889 +03.2533789692147|-127.537 -149.128 |9.89     |G0               |    ~     ~            
4137|HD 330089                                                             |Star                                  |15 51 22.9505745120 -50 02 22.781424012|329.9786680966300 +03.1398975541312|  -6.497 -3.644   |9.45     |G0               |    ~     ~            
4138|HD 330070                                                             |Star                                  |15 51 23.1174018456 -49 46 37.900811640|330.1446819552021 +03.3434082334618|-31.734 -20.366   |10.37    |G5               |    ~     ~            
4139|HD 141485                                                             |Double or Multiple Star               |15 51 31.6861 -49 27 45.803            |330.3613093 +03.5729094            |      -3.1 -5.9   |9.47     |A2III/IV         |    ~     ~            
4140|HD 330088                                                             |Star                                  |15 51 47.9622916872 -50 02 45.186594288|330.0267543504594 +03.0928577344856|    8.112 1.742   |9.28     |K0               |    ~     ~            
4141|HD 330065                                                             |Star                                  |15 52 09.1175743128 -49 39 11.615080248|330.3193542863170 +03.3613125919479|-15.434 -25.771   |10.41    |G0               |    ~     ~            
4142|HD 330058                                                             |Star                                  |15 52 08.8531498272 -49 28 14.694676464|330.4344066105867 +03.5031191639071|-23.788 -24.044   |10.28    |G                |    ~     ~            
4143|HD 330087                                                             |Star                                  |15 52 16.1617947360 -50 06 55.418689908|330.0412980196801 +02.9913410355134| -5.777 -12.706   |10.85    |G5               |    ~     ~            
4144|HD 330080                                                             |Star                                  |15 52 23.6701687296 -49 53 40.920972108|330.1967202096666 +03.1495286691853|  -0.866 -4.830   |10.83    |B9               |    ~     ~            
4145|HD 141668                                                             |Star                                  |15 52 24.0135402024 -49 36 58.324249836|330.3740034045009 +03.3645513587387|  -5.339 -6.991   |9.61     |ApSi             |    ~     ~            
4146|HD 330060                                                             |Star                                  |15 52 38.1466183368 -49 31 26.974372368|330.4620074554809 +03.4115880574616|  -5.526 -2.794   |9.99     |K2               |    ~     ~            
4147|HD 141765                                                             |Double or Multiple Star               |15 52 54.75166 -49 37 04.8090          |330.43715797 +03.31057169          |    -3.28 -7.87   |8.90     |B9IV             |0.0050  0.0            
4148|HD 330061                                                             |Star                                  |15 53 03.6249403152 -49 33 09.962793648|330.4971830924696 +03.3457750592668|  -2.667 -2.572   |10.89    |B8               |    ~     ~            
4149|HD 330082                                                             |Star                                  |15 53 19.6576752528 -50 05 53.779425180|330.1835764195279 +02.8970263180818| -1.052 -23.838   |10.94    |G0               |    ~     ~            
4150|HD 330064                                                             |Star                                  |15 53 25.6719082848 -49 46 51.763087884|330.3979233027397 +03.1317079260496|-12.033 -13.716   |10.40    |F5               |    ~     ~            
4151|HD 330081                                                             |Star                                  |15 53 32.7111953328 -50 02 03.783936840|330.2512239597475 +02.9241581934737|  -8.997 -3.127   |10.58    |G5               |    ~     ~            
4152|HD 330063                                                             |Star                                  |15 53 32.6859118608 -49 46 45.506040924|330.4136166941599 +03.1210498625097|  -5.587 -8.586   |10.34    |A3               |    ~     ~            
4153|HD 141875                                                             |Star                                  |15 53 34.2125701056 -49 53 49.899443892|330.3416998692482 +03.0274708248669|  -5.717 -8.649   |9.42     |B9IV/V           |    ~     ~            
4154|HD 330181                                                             |Star                                  |15 53 52.8910717320 -49 49 21.388427760|330.4279907726910 +03.0530672226823|  -8.805 -6.427   |10.46    |A2               |    ~     ~            
4155|HD 330180                                                             |Star                                  |15 54 25.3929036720 -49 40 06.915013464|330.5938524286736 +03.1159131928186|  -2.623 -9.702   |10.97    |F5               |    ~     ~            
4156|HD 330195                                                             |Star                                  |15 54 36.0588482856 -50 05 06.643182984|330.3495568465782 +02.7770239345862|  -3.334 -6.609   |10.98    |A3               |    ~     ~            
4157|HD 330179                                                             |Star                                  |15 54 53.2815859656 -49 37 54.795382032|330.6752944002136 +03.0960643354251|-13.360 -20.438   |10.43    |F5               |    ~     ~            
4158|HD 142117                                                             |Star                                  |15 54 57.0463516728 -49 24 09.695110248|330.8299959270639 +03.2656962405345| 14.610 -21.701   |7.73     |F7III            |    ~     ~            
4159|HD 330178                                                             |Star                                  |15 55 04.7055400440 -49 36 26.334794016|330.7147735647220 +03.0952134597104|  -2.827 -4.920   |10.79    |A2               |    ~     ~            
4160|HD 330194                                                             |Star                                  |15 55 13.1056013424 -50 08 13.428266280|330.3925293473552 +02.6738299435783| -12.269 -9.174   |10.09    |A7               |    ~     ~            
4161|HD 330177                                                             |Star                                  |15 55 12.7967326464 -49 30 04.918677732|330.7995446241305 +03.1625839200888|-19.927 -26.137   |10.43    |F2               |    ~     ~            
4162|HD 330183                                                             |Star                                  |15 55 23.1052406880 -49 55 00.286613112|330.5543994194813 +02.8258644753991|   1.369 -4.888   |10.31    |A                |    ~     ~            
4163|HD 142190                                                             |High Proper Motion Star               |15 55 24.5574645936 -49 58 41.293059996|330.5180021631770 +02.7762421010936|-44.007 -49.276   |7.21     |K2/3III          |    ~     ~            
4164|HD 330186                                                             |Star                                  |15 55 36.8409109632 -49 47 44.439898596|330.6604724136942 +02.8951146328874|   8.275 -3.124   |10.5     |A0               |    ~     ~            
4165|HD 330184                                                             |Star                                  |15 55 39.1890534144 -49 51 28.571042556|330.6253288053627 +02.8433073206909|  -1.020 -0.258   |9.72     |K2               |    ~     ~            
4166|HD 330185                                                             |Star                                  |15 55 54.0850763520 -49 54 08.958202164|330.6274017318157 +02.7834725689633|  -2.899 -3.593   |10.11    |B8               |    ~     ~            
4167|HD 330187                                                             |Star                                  |15 56 02.1659853720 -49 45 45.769575492|330.7339692567852 +02.8766373349598|  -2.552 -3.834   |10.69    |A0               |    ~     ~            
4168|HD 330193                                                             |Double or Multiple Star               |15 56 40.2127178699 -50 03 39.155830036|330.6201531606869 +02.5827020424033|   9.057 -3.222   |10.359   |F8               |    ~     ~            
4169|HD 330188                                                             |Star                                  |15 57 07.2435153072 -49 51 48.681911916|330.8029803192698 +02.6868309543535|  -3.598 -6.919   |10.33    |B9               |    ~     ~            
4170|HD 142582                                                             |Double or Multiple Star               |15 57 31.9956082320 -49 40 41.871842004|330.9736768077829 +02.7851878458838|      -4.9 -4.2   |9.45     |B9III            |    ~     ~            
4171|HD 142673                                                             |Star                                  |15 58 00.3453260616 -49 29 52.319700312|331.1490475179414 +02.8731621292437|   -9.351 1.242   |9.254    |K1/2III          |    ~     ~            
4172|HD 330190                                                             |Star                                  |15 58 03.3917175912 -49 48 04.688983152|330.9584888846866 +02.6367044350160|-12.134 -29.855   |10.84    |F0               |    ~     ~            
4173|HD 330191                                                             |Star                                  |15 58 21.2771859312 -49 50 18.676446108|330.9709819321325 +02.5771955010918|  -4.293 -6.879   |10.85    |A7               |    ~     ~            
4174|HD 330172                                                             |Star                                  |15 58 23.5682585472 -49 36 47.953020780|331.1219445247601 +02.7445662843607|-14.914 -11.531   |10.18    |A3               |    ~     ~            
4175|HD 330173                                                             |Double or Multiple Star               |15 58 25.0522485120 -49 38 05.098885260|331.1110744686559 +02.7256619264009|  -1.706 -0.981   |10.386   |K                |    ~     ~            
4176|HD 330261                                                             |Star                                  |15 58 40.4063405424 -50 00 16.152073200|330.9022335979166 +02.4176317655151|  -2.100 -5.427   |9.91     |A2               |    ~     ~            
4177|HD 330259                                                             |Star                                  |15 58 52.0218072336 -49 50 06.147791448|331.0361398698682 +02.5261919830961|  -7.028 -9.757   |10.50    |A3               |    ~     ~            
4178|HD 142916                                                             |Star                                  |15 59 28.9816273080 -49 36 32.691693096|331.2590194833040 +02.6329410105676|   0.246 -7.693   |8.79     |K3/4(III)        |    ~     ~            
4179|HD 142946                                                             |Star                                  |15 59 39.2192986944 -49 36 33.627911868|331.2798319372697 +02.6147235618370|  -1.664 -2.667   |9.71     |B3III            |    ~     ~            
4180|HD 140604                                                             |Star                                  |15 46 44.8384814472 -50 13 25.406117148|329.2821267018516 +03.4594065052953|-34.959 -11.201   |7.73     |A1mA6-F2         |    ~     ~            
4181|CD-49 9997                                                            |Star                                  |15 47 35.7849213912 -50 16 55.047578592|329.3528747472363 +03.3296912653044| -7.914 -24.160   |9.20     |~                |    ~     ~            
4182|HD 329976                                                             |Star                                  |15 48 08.3121033480 -50 12 08.448793812|329.4704450112391 +03.3383412023824| -8.193 -14.733   |10.60    |A2/5             |    ~     ~            
4183|HD 329978                                                             |Star                                  |15 48 39.8035589376 -50 14 56.906070036|329.5071370501540 +03.2494887022370|  -15.729 0.875   |10.52    |K0               |    ~     ~            
4184|CD-50 9791                                                            |Star                                  |15 45 13.8941083104 -50 55 19.931359548|328.6617044569849 +03.0567807777470|-10.843 -19.223   |10.19    |F5               |    ~     ~            
4185|CD-50 9796                                                            |Star                                  |15 45 35.3850659760 -50 38 20.077553868|328.8805420933479 +03.2457656955247|   10.213 3.685   |10.09    |G5               |    ~     ~            
4186|HD 140446                                                             |Star                                  |15 45 51.4317044352 -50 32 07.651269204|328.9777568840195 +03.3013029594824|  -6.042 -6.094   |8.52     |B8V              |    ~     ~            
4187|HD 140465                                                             |Star                                  |15 46 00.5735849328 -50 49 39.599453784|328.8168429195344 +03.0560392440658|  -2.972 -3.861   |9.28     |B9IV/V           |    ~     ~            
4188|CD-50 9806                                                            |Star                                  |15 46 05.0145111648 -50 28 23.128728528|329.0446134917775 +03.3283309176035|  -3.095 -6.191   |10.52    |A0               |    ~     ~            
4189|CD-50 9809                                                            |Star                                  |15 46 14.8723054056 -50 43 24.761286300|328.9107560024123 +03.1149170649053|  16.836 15.053   |9.25     |~                |    ~     ~            
4190|HD 140522                                                             |Star                                  |15 46 15.3420337920 -50 43 55.952808672|328.9063900020883 +03.1073276378920|  -4.674 -8.180   |9.67     |B7/9V            |    ~     ~            
4191|HD 140549                                                             |Star                                  |15 46 32.5327617072 -51 06 16.387619580|328.7122824880502 +02.7862352758244|  -7.546 -6.987   |9.76     |A0V              |    ~     ~            
4192|CD-50 9815                                                            |Star                                  |15 46 29.9136940848 -50 39 51.742402488|328.9785857392023 +03.1370589745171|   17.855 3.038   |9.96     |G5               |    ~     ~            
4193|CD-50 9822                                                            |Star                                  |15 46 58.8019949184 -51 08 13.421594760|328.7463251898695 +02.7182594751017|  -3.621 -3.614   |9.65     |K2               |    ~     ~            
4194|CD-50 9823                                                            |Star                                  |15 46 57.9439858032 -50 47 29.509968588|328.9582538296733 +02.9913794042519|-29.545 -13.024   |10.39    |K0               |    ~     ~            
4195|CD-50 9824                                                            |Star                                  |15 47 01.7801117952 -50 50 32.895165120|328.9346900530006 +02.9450853843615|  -4.877 -6.973   |10.25    |~                |    ~     ~            
4196|HD 140661                                                             |Star                                  |15 47 04.4170187880 -50 59 01.435936020|328.8527410885212 +02.8297417216793|  -0.844 -0.968   |9.52     |B3/5(III)        |    ~     ~            
4197|HD 140660                                                             |Star                                  |15 47 03.2245430544 -50 44 43.777628952|328.9976949807983 +03.0189782289149|  -1.003 -2.443   |9.48     |B9II/III(pSi)    |    ~     ~            
4198|HD 140662                                                             |Double or Multiple Star               |15 47 05.1901636899 -51 07 13.305700792|328.7698034111372 +02.7210703682391|      -5.2 -3.8   |9.25     |B9/9.5IV         |    ~     ~            
4199|CD-50 9831                                                            |High Proper Motion Star               |15 47 06.2621608800 -50 47 49.640857116|328.9720416299496 +02.9734448002285|-38.872 -58.286   |10.41    |G0               |    ~     ~            
4200|CD-50 9833                                                            |Star                                  |15 47 17.0159 -50 59 48.639            |328.8706272 +02.7990069            |-20.965 -30.561   |10.73    |G0               |    ~     ~            
4201|CD-50 9835                                                            |Star                                  |15 47 21.3785832960 -51 10 10.896497004|328.7725620177988 +02.6561352445215|   16.324 2.055   |10.89    |G5               |    ~     ~            
4202|HD 140706                                                             |Star                                  |15 47 24.7441299072 -50 51 47.300475420|328.9694227781254 +02.8914862812389|  -8.387 -6.022   |10.03    |B9V              |    ~     ~            
4203|CD-50 9838                                                            |Star                                  |15 47 26.6701227960 -51 05 18.546419004|328.8337510528635 +02.7113653175543|  -4.924 -3.122   |10.17    |G5               |    ~     ~            
4204|HD 140724                                                             |Star                                  |15 47 29.3992763976 -51 05 10.461273720|328.8407589500815 +02.7087076967669|   -4.246 7.044   |8.76     |K0III            |    ~     ~            
4205|CD-50 9841                                                            |Star                                  |15 47 30.9860734656 -50 47 29.111852580|329.0268003372916 +02.9376364662044|  -2.992 -3.707   |10.68    |B9               |    ~     ~            
4206|CD-50 9842                                                            |Star                                  |15 47 37.6153737168 -51 12 20.174601168|328.7836453883416 +02.6016832810524|  -1.410 -1.970   |9.92     |K0               |    ~     ~            
4207|CD-50 9843                                                            |Star                                  |15 47 40.1700889992 -51 08 44.058503616|328.8261171313961 +02.6446755617412|  -3.391 -2.544   |10.85    |A0               |    ~     ~            
4208|HD 140761                                                             |Star                                  |15 47 38.1549831888 -50 25 17.654677968|329.2711618844668 +03.2162175168235|  -1.933 -3.771   |9.32     |B6III            |    ~     ~            
4209|CD-50 9846                                                            |Star                                  |15 47 43.8149004144 -50 38 29.045204700|329.1464790830871 +03.0344190684298|  -1.889 -3.275   |10.59    |A2               |    ~     ~            
4210|CD-50 9847                                                            |Star                                  |15 47 47.4795197832 -50 53 01.867459092|329.0035616271250 +02.8381951975649|  -8.765 -7.325   |10.88    |A0               |    ~     ~            
4211|CD-50 9849                                                            |Star                                  |15 47 45.6770032632 -50 25 16.328950860|329.2870838281286 +03.2041269432324|   -3.451 0.336   |10.91    |G0               |    ~     ~            
4212|HD 140804                                                             |Star                                  |15 47 54.6227951424 -50 39 59.533310448|329.1532977841283 +02.9969946252431|-16.547 -13.828   |9.87     |A7/8IV/V         |    ~     ~            
4213|HD 140904                                                             |Star                                  |15 48 22.5071815248 -50 34 47.036139456|329.2651338800424 +03.0192508163533|  8.621 -18.397   |8.74     |K3III            |    ~     ~            
4214|HD 141195                                                             |Star                                  |15 50 05.9485310784 -50 09 05.366239920|329.7479338434597 +03.1822327409771|  -3.716 -5.654   |9.20     |ApSi             |    ~     ~            
4215|HD 330092                                                             |Star                                  |15 50 10.4812231968 -50 14 07.249186428|329.7047399607840 +03.1093081990434|  -2.500 -6.467   |10.14    |A0               |    ~     ~            
4216|HD 330091                                                             |Star                                  |15 50 39.8707773960 -50 15 29.536633980|329.7514436139539 +03.0423770567856|   1.324 -4.164   |10.42    |A0               |    ~     ~            
4217|CD-49 10052                                                           |Star                                  |15 51 05.1927251640 -50 19 52.067164224|329.7580293552404 +02.9432914915532| -13.768 -4.576   |9.56     |K0               |    ~     ~            
4218|HD 330085                                                             |Star                                  |15 52 20.8610891040 -50 14 09.224272716|329.9747013956654 +02.8900768331915|  -5.361 -5.878   |10.36    |A0               |    ~     ~            
4219|HD 141744                                                             |Star                                  |15 52 53.8437146856 -50 12 10.945665000|330.0636700633966 +02.8598090943006|  -0.306 -9.130   |8.46     |A1V              |    ~     ~            
4220|CD-49 10120                                                           |Star                                  |15 54 40.9754545608 -50 17 36.011609268|330.2265500439381 +02.6084876625495|   0.061 -1.410   |10.6     |~                |    ~     ~            
4221|HD 142080                                                             |High Proper Motion Star               |15 54 50.4623826840 -50 20 17.931464772|330.2172138301267 +02.5577615799038|-40.042 -40.556   |6.78     |A3/5V+B/A        |    ~     ~            
4222|CD-49 10123                                                           |High Proper Motion Star               |15 54 50.6728258200 -50 20 06.139249764|330.2197406259464 +02.5599228096698|-38.065 -39.816   |7.42     |~                |    ~     ~            
4223|HD 142546                                                             |Double or Multiple Star               |15 57 28.5243947424 -50 16 10.792379316|330.5839291556143 +02.3399885306526|-22.220 -31.432   |7.88     |A7V(m)           |    ~     ~            
4224|HD 330198                                                             |High Proper Motion Star               |15 57 35.8721469816 -50 10 20.581404384|330.6618236617765 +02.4015523678541|-36.262 -77.007   |10.59    |K2               |    ~     ~            
4225|HD 330200                                                             |Star                                  |15 57 57.0605438184 -50 15 04.958878752|330.6537846828311 +02.3047664322060|  -4.204 -6.136   |10.77    |A                |    ~     ~            
4226|HD 330199                                                             |Star                                  |15 57 56.4570392952 -50 14 22.857015804|330.6601363040623 +02.3147203514237|  -1.623 -3.139   |10.34    |A                |    ~     ~            
4227|HD 142853                                                             |Star                                  |15 59 10.6836161256 -50 14 45.087949032|330.8067094724868 +02.1816416723490|  -3.050 -2.833   |9.395    |G6/K1(III)       |    ~     ~            
4228|HD 142873                                                             |Star                                  |15 59 14.7224587680 -50 19 10.784033868|330.7668176977030 +02.1186050035396|  -7.400 -5.801   |10.09    |B8/9V            |    ~     ~            
4229|HD 330263                                                             |Star                                  |15 59 28.8396563088 -50 08 55.788865584|330.9067131757515 +02.2237552613011|  -3.030 -7.768   |10.95    |A0               |    ~     ~            
4230|CD-50 9869                                                            |Star                                  |15 49 21.3505552248 -51 04 34.137667704|329.0768193611760 +02.5344472612194| -16.922 -7.543   |10.14    |F2               |    ~     ~            
4231|HD 141082                                                             |Star                                  |15 49 25.2660653160 -50 37 34.520086632|329.3660846560475 +02.8794443166614|  -1.455 -9.774   |9.92     |A3III/IV         |    ~     ~            
4232|HD 141097                                                             |Star                                  |15 49 30.2248920504 -50 51 49.447445112|329.2278005050815 +02.6858205072950| -13.181 -9.774   |9.51     |F6V              |    ~     ~            
4233|CD-50 9876                                                            |Star                                  |15 49 48.8408149584 -50 59 33.791805492|329.1852939810929 +02.5545796304197|  -9.767 -9.282   |10.90    |G0               |    ~     ~            
4234|CD-50 9877                                                            |Star                                  |15 49 48.9500416104 -50 23 33.236180556|329.5614139910474 +03.0226124111157|  -7.653 -8.393   |10.47    |F0               |    ~     ~            
4235|HD 141183                                                             |Star                                  |15 49 57.9639058512 -50 44 10.622300712|329.3646574929086 +02.7395996339685|   0.898 -0.448   |9.37     |F0IV/V           |    ~     ~            
4236|CD-50 9882                                                            |Star                                  |15 50 04.0565485368 -50 40 29.557025040|329.4157009318421 +02.7774136164405|  -1.886 -2.092   |10.77    |A0               |    ~     ~            
4237|CD-50 9884                                                            |Star                                  |15 50 11.4963176616 -51 07 17.636510604|329.1508820103337 +02.4169580142992|  -6.078 -2.876   |10.06    |M0               |    ~     ~            
4238|HD 141234                                                             |Star                                  |15 50 19.4437222704 -50 45 13.174679628|329.3979523052194 +02.6905779899676|  -0.551 -1.976   |8.67     |K1III            |    ~     ~            
4239|CD-50 9892                                                            |Pulsating Variable                    |15 50 31.5854890416 -50 52 31.163083680|329.3464879254665 +02.5757705236431|-10.803 -10.540   |10.51    |A3               |    ~     ~            
