C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:03:01

Vmag< 11&dec< 0&rah >=15.75&rah< 16.0
-------------------------------------

Number of objects : 6366

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |       ang. size       
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|-----------------------
53  |HD 142168                                                             |Star                                  |15 54 33.2571955344 -38 45 50.101303104|337.6921597852008 +11.4483015904902|-13.658 -16.538   |9.40     |F6V              |    ~     ~            
54  |HD 142200                                                             |Pulsating Variable                    |15 54 47.2159805400 -38 50 06.254571372|337.6800073654625 +11.3647817922299|  -2.563 -4.298   |9.88     |B5II/III         |    ~     ~            
55  |HD 142252                                                             |Star                                  |15 54 57.0226707888 -38 56 48.022870200|337.6304896874565 +11.2593829583359|-13.909 -27.900   |8.36     |M3/4III          |    ~     ~            
56  |HD 142302                                                             |Star                                  |15 55 20.3878339464 -39 16 13.003196988|337.4739860172372 +10.9646903590665|  -0.187 -3.748   |9.68     |A5III            |    ~     ~            
57  |HD 142447                                                             |Star                                  |15 56 12.4989421104 -38 50 38.537467800|337.8877914327146 +11.1772639849376| -15.689 -6.860   |8.77     |K2III            |    ~     ~            
58  |HD 141051                                                             |Star                                  |15 48 24.7632752208 -39 31 11.257584492|336.2651592211690 +11.6340739928689|  -5.611 -5.815   |10.62    |A1/2(IV)         |    ~     ~            
59  |HD 141135                                                             |Star                                  |15 48 56.7311764656 -39 23 10.880255292|336.4327890851972 +11.6718940534752|   9.827 10.067   |10.28    |A5/7(IV)         |    ~     ~            
60  |TYC 7841-217-1                                                        |Star                                  |15 48 57.4116133848 -39 23 22.521838488|336.4324177189567 +11.6680047914163|    9.626 9.736   |10.79    |~                |    ~     ~            
61  |HD 141231                                                             |Star                                  |15 49 29.3573606304 -39 25 50.972943936|336.4866332423470 +11.5707591841912| 24.376 -18.226   |10.21    |G3V              |    ~     ~            
62  |HD 141277                                                             |T Tauri Star                          |15 49 44.9775230 -39 25 09.113328      |336.5337435787 +11.5476840038      |  -21.00 -25.01   |10.640   |K1IV(e)          |    ~     ~            
63  |HD 141339                                                             |Star                                  |15 50 06.2067591504 -39 38 20.487829776|336.4443008189534 +11.3348622971617| -9.674 -38.122   |8.97     |F3/5V            |    ~     ~            
64  |HD 141482                                                             |Star                                  |15 50 46.9452834432 -39 51 25.007869476|336.4047603440995 +11.0838273914261|-24.265 -41.005   |8.85     |A3V              |    ~     ~            
65  |HD 141666                                                             |Star                                  |15 51 46.7242055376 -39 34 16.503376764|336.7412780279981 +11.1803174438726|  -1.984 -6.380   |9.21     |B6II/III         |    ~     ~            
66  |HD 141760                                                             |Star                                  |15 52 12.5832617472 -39 40 47.745112224|336.7348547155347 +11.0437216184384|-15.428 -24.269   |8.68     |A5IV/V           |    ~     ~            
67  |HD 141779                                                             |Star                                  |15 52 18.8122408200 -39 30 57.576915396|336.8579752820386 +11.1563182918017|-18.764 -29.294   |8.09     |A5/6IV/V         |    ~     ~            
68  |HD 141886                                                             |Star                                  |15 52 52.5949881144 -39 31 50.099421324|336.9329909497715 +11.0751765919781|  -4.845 -7.937   |10.52    |B9V              |    ~     ~            
69  |HD 141905                                                             |Star                                  |15 53 02.7302125656 -39 53 37.313967768|336.7196690825302 +10.7767864372328|-15.171 -11.927   |8.30     |A2V              |    ~     ~            
70  |HD 141942                                                             |High Proper Motion Star               |15 53 13.9029669336 -39 32 51.333868320|336.9750694799602 +11.0179777950670|  58.104 19.060   |9.38     |G0/1V            |    ~     ~            
71  |HD 142290                                                             |Star                                  |15 55 12.6281738520 -39 23 35.204420616|337.3731516055772 +10.8878057130050|  22.376 -5.884   |9.50     |F3V              |    ~     ~            
72  |HD 142303                                                             |Star                                  |15 55 18.8946112392 -39 34 19.525855440|337.2700450661607 +10.7388676985349| 15.070 -21.503   |8.13     |F5V              |    ~     ~            
73  |HD 142448                                                             |Star                                  |15 56 06.8383263792 -39 51 51.708250800|337.1946968340920 +10.4170784747793|  2.544 -18.448   |6.028    |B9V              |    ~     ~            
74  |HD 142291                                                             |Star                                  |15 55 15.1562036448 -40 15 17.230822020|336.8090787572035 +10.2282182933966|  -6.556 -5.827   |9.61     |ApSi             |    ~     ~            
75  |HD 141980                                                             |Star                                  |15 53 26.1183610152 -40 17 43.906470756|336.5138242104562 +10.4216986940004|  -4.603 -1.408   |8.93     |M1/2             |    ~     ~            
76  |CD-37 10508                                                           |Star                                  |15 48 19.4750810808 -37 56 51.391989744|337.2736731867726 +12.8591322979152|-22.180 -21.472   |9.92     |~                |    ~     ~            
77  |CD-37 10511                                                           |Star                                  |15 48 32.6298083232 -37 31 49.953363024|337.5807760260580 +13.1528804248294|    0.834 0.199   |10.71    |~                |    ~     ~            
78  |CD-38 10691                                                           |Star                                  |15 50 44.2003225608 -38 59 36.651416496|336.9617039173407 +11.7528327620574|   4.420 -2.395   |10.91    |~                |    ~     ~            
79  |CD-39 10195                                                           |High Proper Motion Star               |15 51 10.6659169530 -39 46 10.382538377|336.5212043556958 +11.1023893497747|-11.670 -48.510   |10.537   |~                |    ~     ~            
80  |CD-39 10209                                                           |Star                                  |15 53 10.4857042056 -39 59 10.699185372|336.6781238025220 +10.6900467689664|-15.495 -11.704   |10.56    |~                |    ~     ~            
81  |CD-39 10214                                                           |Star                                  |15 53 23.3412419304 -39 50 06.597754008|336.8093797808115 +10.7789328658987| -15.775 -9.678   |10.15    |~                |    ~     ~            
82  |CD-38 10721                                                           |Star                                  |15 53 39.5863182792 -39 06 35.005098420|337.3281770467391 +11.2982741826292|  -6.351 -5.326   |10.78    |~                |    ~     ~            
