C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:09:08

dec >=0&rah >=19.0&rah< 19.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 7376

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
51  |TYC 3133-1572-1                                                                                          |Star                                  |19 11 04.1487682872 +43 36 11.154681468|074.5974673568014 +15.0307230513452|   1.090 -1.890   |10.84    |F6IV                 |    ~     ~    |    1|  402.609   pc  |  -1.7830     +1.7830  |paral   |2020yCat.1350....0G
52  |TYC 3133-1668-1                                                                                          |Star                                  |19 12 07.2750950064 +44 54 02.980276164|075.9100133307602 +15.3702227880155|  -0.594 -0.234   |10.68    |~                    |    ~     ~    |    1| 1043.406   pc  | -12.0845    +12.0845  |paral   |2020yCat.1350....0G
53  |TYC 3133-1782-1                                                                                          |Star                                  |19 13 36.2093493312 +43 38 04.432888824|074.8167739460185 +14.6227623309455|    4.559 4.388   |10.62    |F5V                  |    ~     ~    |    1|  316.156   pc  |  -0.9796     +0.9796  |paral   |2020yCat.1350....0G
54  |ASAS J191338+4342.4                                                                                      |Eclipsing Binary                      |19 13 38.3428150584 +43 42 25.682117184|074.8881137678376 +14.6460675431811|   -6.685 4.678   |10.640   |~                    |    ~     ~    |    1|  649.688   pc  |  -4.6430     +4.6430  |paral   |2020yCat.1350....0G
55  |TYC 3133-1933-1                                                                                          |Star                                  |19 10 00.3800121432 +44 44 12.480938808|075.6010394118542 +15.6511639483443|   6.817 -5.930   |10.50    |~                    |    ~     ~    |    1|  344.459   pc  |  -1.3645     +1.3645  |paral   |2020yCat.1350....0G
56  |TYC 3133-2085-1                                                                                          |Rotating Variable                     |19 11 32.4631109280 +43 48 53.650408104|074.8338143582315 +15.0363943166515|   1.197 -8.331   |10.66    |G0IV-V               |    ~     ~    |    1|  553.495   pc  |  -3.2167     +3.2167  |paral   |2020yCat.1350....0G
57  |TYC 3133-2264-1                                                                                          |Star                                  |19 13 14.2387849056 +43 51 03.924426996|074.9943375152327 +14.7702672848480| -7.564 -20.430   |10.59    |F6IV                 |    ~     ~    |    1|  436.987   pc  |  -2.0814     +2.0814  |paral   |2020yCat.1350....0G
58  |TYC 3133-2279-1                                                                                          |Star                                  |19 10 36.6895729152 +44 42 41.777264916|075.6204572012343 +15.5423545044231|    0.166 6.556   |10.87    |~                    |    ~     ~    |    1| 1467.351   pc  | -22.1771    +22.1771  |paral   |2020yCat.1350....0G
59  |TYC 3542-1199-1                                                                                          |Horizontal Branch Star                |19 12 44.8005780336 +45 24 48.771740520|076.4439845749944 +15.4705814959620|   -2.309 4.144   |10.67    |G6V                  |    ~     ~    |    1|    0.999   kpc |                       |        |2021A&A...645A..85M
60  |TYC 3542-1223-1                                                                                          |gamma Dor Variable                    |19 14 11.6008659432 +45 34 59.112023160|076.7093261841362 +15.3045738655920|  -4.048 -3.687   |10.60    |~                    |    ~     ~    |    1|  388.44    pc  |  -1.9766     +1.9766  |paral   |2020yCat.1350....0G
