C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:30:38

dec< 0&rah >=20.5&rah< 20.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 4644

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-------------------|---------------|-----|----------------|-------------------------|--------|-------------------
33  |CD-37 13793                                                                                              |Star                               |20 32 22.0281102600 -36 42 53.837337564|005.5087778344057 -35.2209646179723| -2.742 -11.788   |10.60    |~                  |    ~     ~    |    1|  303.334   pc  |  -2.6039     +2.6039    |paral   |2020yCat.1350....0G
34  |CD-37 13804                                                                                              |Star                               |20 33 57.2747768088 -36 39 24.188011416|005.6449168810636 -35.5248610021333|   5.298 -0.766   |10.07    |~                  |    ~     ~    |    1|  653.808   pc  |  -9.8745     +9.8745    |paral   |2020yCat.1350....0G
35  |CD-36 14240                                                                                              |Star                               |20 34 35.4333863016 -35 50 45.337449012|006.6533292858892 -35.5122935881804| -2.659 -17.542   |10.22    |~                  |    ~     ~    |    1|  257.958   pc  |  -1.1179     +1.1179    |paral   |2020yCat.1350....0G
36  |CD-35 14223                                                                                              |Spectroscopic Binary               |20 36 38.1625605360 -35 16 12.515626704|007.4414597752057 -35.8198839092835|  7.579 -28.138   |10.543   |~                  |    ~     ~    |    1|  480.881   pc  | -14.9400    +14.9400    |ST-L    |2020AJ....160...83S
37  |CD-35 14228                                                                                              |Star                               |20 37 08.5012634136 -35 15 08.184351672|007.4858209916617 -35.9182763787520| 23.483 -34.503   |10.114   |~                  |    ~     ~    |    1|  735.489   pc  | -27.5300    +27.5300    |ST-L    |2020AJ....160...83S
38  |CD-37 13769                                                                                              |Star                               |20 30 02.9986725744 -37 32 55.396831416|004.4100873105032 -34.9051769602464|   46.715 4.345   |10.53    |~                  |    ~     ~    |    1|  305.204   pc  |  -1.9468     +1.9468    |paral   |2020yCat.1350....0G
39  |CD-36 14184                                                                                              |Star                               |20 30 27.5313410592 -36 22 20.826493176|005.8391830702131 -34.7839718411581|   -4.365 4.973   |10.874   |~                  |    ~     ~    |    1|  633.305   pc  | -30.0600    +30.0600    |ST-L    |2020AJ....160...83S
40  |CD-36 14187                                                                                              |Star                               |20 30 36.1862664408 -36 12 45.152025048|006.0370742849826 -34.7839909403381|  15.806 -7.408   |10.24    |~                  |    ~     ~    |    1|  649.970   pc  | -26.4200    +26.4200    |ST-L    |2020AJ....160...83S
41  |CD-37 13774                                                                                              |Star                               |20 30 37.6179862992 -37 35 06.699568380|004.3890783349511 -35.0239482893321| 19.851 -21.787   |10.64    |~                  |    ~     ~    |    1|  190.702   pc  |  -9.0980     +9.0980    |ST-L    |2020AJ....160...83S
42  |CD-36 14194                                                                                              |Star                               |20 30 54.7354491744 -35 52 14.256223392|006.4602753791299 -34.7834997044136|   4.718 -0.012   |9.952    |~                  |    ~     ~    |    1|  778.626   pc  |-159.1000   +159.1000    |ST-L    |2020AJ....160...83S
43  |CD-37 13781                                                                                              |Star                               |20 31 18.4896699624 -36 51 29.085771636|005.2922355954262 -35.0363716876987|  -4.599 -0.613   |10.76    |~                  |    ~     ~    |    1|  396.353   pc  | -12.6500    +12.6500    |ST-L    |2020AJ....160...83S
44  |CD-37 13786                                                                                              |Star                               |20 31 45.6207518928 -37 16 39.399995748|004.8050475047606 -35.1955247684923|   4.224 -1.714   |10.183   |~                  |    ~     ~    |    1|  682.419   pc  | -32.7900    +32.7900    |ST-L    |2020AJ....160...83S
45  |CD-38 14080                                                                                              |High Proper Motion Star            |20 31 52.8751814160 -37 42 58.110277500|004.2799064332016 -35.2900658320216| 94.465 -66.093   |10.67    |~                  |    ~     ~    |    1|   77.655   pc  |  -0.4265     +0.4265    |ST-L    |2020AJ....160...83S
46  |CD-37 13791                                                                                              |Star                               |20 32 11.6279346408 -37 03 36.796222044|005.0849554273624 -35.2447733847557|  0.970 -12.250   |10.44    |~                  |    ~     ~    |    1|  808.669   pc  | -11.0517    +11.0517    |paral   |2020yCat.1350....0G
47  |CD-36 14214                                                                                              |Star                               |20 32 29.8538065704 -36 17 14.167459968|006.0298547025124 -35.1731314446308|-26.160 -11.241   |10.59    |~                  |    ~     ~    |    1|  386.206   pc  | -12.9800    +12.9800    |ST-L    |2020AJ....160...83S
48  |CD-38 14091                                                                                              |Star                               |20 33 05.2396758336 -37 45 11.623198428|004.2809802992574 -35.5313879858350|   2.673 -4.901   |10.200   |~                  |    ~     ~    |    1|  766.485   pc  | -39.5800    +39.5800    |ST-L    |2020AJ....160...83S
49  |CD-36 14228                                                                                              |Star                               |20 33 16.8452399712 -35 42 00.881003556|006.7712226471068 -35.2249549599426|  16.381 -4.006   |10.79    |~                  |    ~     ~    |    1|  866.412   pc  | -45.6700    +45.6700    |ST-L    |2020AJ....160...83S
50  |CD-38 14097                                                                                              |Star                               |20 33 34.0361878632 -37 36 27.710126424|004.4759126851873 -35.6024791746092| 19.183 -20.087   |10.70    |~                  |    ~     ~    |    1|  378.573   pc  |  -7.4812     +7.4812    |paral   |2020yCat.1350....0G
51  |CD-37 13815                                                                                              |Star                               |20 35 18.0335001960 -36 55 11.878689936|005.3796374159457 -35.8338697354287|  7.415 -17.191   |10.665   |~                  |    ~     ~    |    1|  877.822   pc  | -32.1400    +32.1400    |ST-L    |2020AJ....160...83S
52  |CD-37 13818                                                                                              |Star                               |20 35 32.7613892088 -36 42 09.990789696|005.6538389034141 -35.8471652732533|   -0.373 0.675   |10.73    |~                  |    ~     ~    |    1| 1710.279   pc  | -51.7734    +51.7734    |paral   |2020yCat.1350....0G
53  |CD-38 14115                                                                                              |Star                               |20 35 34.4642596464 -37 50 34.666130472|004.2638991979303 -36.0306287906244|  -1.799 -0.082   |9.46     |~                  |    ~     ~    |    1|  523.149   pc  |  -4.8169     +4.8169    |paral   |2020yCat.1350....0G
54  |CD-36 14254                                                                                              |Star                               |20 35 41.9536170408 -36 13 03.311733936|006.2502309837959 -35.7970595013387|  -3.898 -6.861   |10.65    |~                  |    ~     ~    |    1| 1510.710   pc  |-131.0000   +131.0000    |ST-L    |2020AJ....160...83S
55  |CD-38 14119                                                                                              |Star                               |20 36 07.6961831400 -37 49 32.507381100|004.3051100514838 -36.1362142805971| 28.805 -33.966   |9.76     |~                  |    ~     ~    |    1|  281.088   pc  |  -5.5370     +5.5370    |ST-L    |2020AJ....160...83S
56  |CD-38 14122                                                                                              |Star                               |20 36 14.3988759432 -37 48 24.038836776|004.3324437318285 -36.1552217645233| 16.237 -21.138   |10.360   |~                  |    ~     ~    |    1|  380.354   pc  |  -9.4870     +9.4870    |ST-L    |2020AJ....160...83S
57  |CD-37 13823                                                                                              |Star                               |20 36 19.0422097944 -37 20 31.154720028|004.9040590003751 -36.1003630885920|  7.263 -31.293   |10.931   |~                  |    ~     ~    |    1|  305.532   pc  |  -6.3670     +6.3670    |ST-L    |2020AJ....160...83S
58  |CD-37 13827                                                                                              |Star                               |20 36 50.6575511592 -36 38 44.714879340|005.7754767316118 -36.0948048882580|  1.556 -13.300   |10.822   |~                  |    ~     ~    |    1| 1010.480   pc  | -63.0100    +63.0100    |ST-L    |2020AJ....160...83S
59  |CD-37 13830                                                                                              |Star                               |20 36 55.2902552688 -36 47 44.859784380|005.5952015158462 -36.1340768230683|  6.560 -13.162   |10.218   |~                  |    ~     ~    |    1|  792.538   pc  | -42.3300    +42.3300    |ST-L    |2020AJ....160...83S
60  |CD-36 14192                                                                                              |Star                               |20 30 47.4543999504 -35 49 24.226515660|006.5113097707859 -34.7506689121716|   4.926 -9.626   |10.53    |~                  |    ~     ~    |    1| 1096.732   pc  | -28.3866    +28.3866    |paral   |2020yCat.1350....0G
61  |TYC 7467-1491-1                                                                                          |High Proper Motion Star            |20 31 46.2641754816 -37 23 17.177248320|004.6720704802155 -35.2157166722330|-27.492 -45.716   |10.67    |~                  |    ~     ~    |    1|  173.863   pc  |  -1.9460     +1.9460    |ST-L    |2020AJ....160...83S
