C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:42:07

dec >=0&rah >=21.75&rah< 22.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 6448

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
728 |TYC 3604-2873-1                                                                                          |Star                              |21 47 52.6318357008 +46 05 22.134014556|092.8970004383947 -05.8035279209071|  -0.417 -2.343   |10.66    |~               |    ~     ~    |    1| 1439.263   pc  | -31.2793    +31.2793  |paral   |2020yCat.1350....0G
729 |TYC 3604-2880-1                                                                                          |Star                              |21 47 48.6685724664 +46 04 26.712355044|092.8782362319180 -05.8079677880077|   4.835 -4.142   |10.23    |~               |    ~     ~    |    1|  518.376   pc  |  -9.6737     +9.6737  |paral   |2020yCat.1350....0G
730 |TYC 3604-2899-1                                                                                          |Star                              |21 55 56.4226309056 +46 19 38.072831340|094.1357648116702 -06.5003511524832|   1.003 -4.411   |10.63    |~               |    ~     ~    |    1|  836.120   pc  | -16.9182    +16.9182  |paral   |2020yCat.1350....0G
731 |TYC 3604-2902-1                                                                                          |Star                              |21 49 13.5246281736 +46 16 19.964440884|093.1947866479769 -05.8126648857615| -3.445 -20.732   |10.83    |~               |    ~     ~    |    1|  414.456   pc  |  -2.0098     +2.0098  |paral   |2020yCat.1350....0G
732 |TYC 3604-2947-1                                                                                          |Star                              |21 48 11.9883933120 +46 18 10.151971344|093.0776385248409 -05.6757542422053|  20.418 -0.940   |10.83    |~               |    ~     ~    |    1|  315.946   pc  | -23.2784    +23.2784  |paral   |2020yCat.1350....0G
733 |TYC 3605-1722-1                                                                                          |Star                              |21 59 03.0808486704 +46 39 34.770900420|094.7663652929497 -06.5686888602808|  -0.104 -4.180   |10.59    |~               |    ~     ~    |    1| 1636.661   pc  | -31.3403    +31.3403  |paral   |2020yCat.1350....0G
734 |TYC 3605-1903-1                                                                                          |Star                              |21 59 39.2567621280 +46 39 32.885730612|094.8484649953556 -06.6323404356237| -4.623 -14.080   |10.22    |~               |    ~     ~    |    1|  352.435   pc  |  -1.6768     +1.6768  |paral   |2020yCat.1350....0G
735 |TYC 3605-1932-1                                                                                          |Star                              |21 56 39.8533891584 +46 27 02.077066224|094.3112859459053 -06.4809246986796|  -0.687 -2.427   |9.81     |~               |    ~     ~    |    1| 1344.447   pc  | -27.2938    +27.2938  |paral   |2020yCat.1350....0G
736 |TYC 3605-1953-1                                                                                          |Star                              |21 58 22.0580701080 +46 49 47.133679296|094.7781536555822 -06.3624944524667|    6.505 3.705   |9.63     |~               |    ~     ~    |    1|  525.431   pc  |  -3.0645     +3.0645  |paral   |2020yCat.1350....0G
737 |TYC 3605-2012-1                                                                                          |Star                              |21 58 44.8264608600 +46 33 07.443487152|094.6584427500849 -06.6217235511139|   -2.472 2.050   |10.13    |~               |    ~     ~    |    1|  672.766   pc  |  -5.2503     +5.2503  |paral   |2020yCat.1350....0G
738 |TYC 3605-2049-1                                                                                          |Spectroscopic Binary              |21 58 29.9915070840 +46 38 36.872912364|094.6811687365314 -06.5233979408669|  -0.482 -7.187   |10.35    |~               |    ~     ~    |    1|  604.011   pc  |  -8.2451     +8.2451  |paral   |2020yCat.1350....0G
739 |TYC 3605-2083-1                                                                                          |Star                              |21 58 04.5500202216 +46 42 13.165800732|094.6605330240720 -06.4313112779276|    3.717 0.849   |10.73    |~               |    ~     ~    |    1|  961.354   pc  | -20.5173    +20.5173  |paral   |2020yCat.1350....0G
740 |TYC 3605-2088-1                                                                                          |Star                              |21 58 31.1649822600 +46 46 09.434514468|094.7614545091731 -06.4261827179619|  -2.113 -3.138   |10.58    |~               |    ~     ~    |    1| 1427.959   pc  | -40.9853    +40.9853  |paral   |2020yCat.1350....0G
741 |TYC 3605-2114-1                                                                                          |Star                              |21 58 30.8080299360 +46 45 34.597008000|094.7546709313287 -06.4332001300839|   4.833 -9.348   |9.93     |~               |    ~     ~    |    1|  770.535   pc  |  -6.2935     +6.2935  |paral   |2020yCat.1350....0G
742 |TYC 3605-2174-1                                                                                          |Star                              |21 59 20.6043521232 +46 41 24.762787512|094.8250727494044 -06.5751613712513|-20.238 -21.962   |9.73     |~               |    ~     ~    |    1|  378.086   pc  |  -1.5439     +1.5439  |paral   |2020yCat.1350....0G
743 |TYC 3605-2202-1                                                                                          |Star                              |21 56 50.8263447456 +46 43 32.291399856|094.5072851854835 -06.2841911326024| -5.267 -14.739   |10.85    |~               |    ~     ~    |    1|  891.822   pc  |  -9.5442     +9.5442  |paral   |2020yCat.1350....0G
744 |TYC 3605-2299-1                                                                                          |Star                              |21 56 21.4692251928 +46 27 49.609836864|094.2778103718001 -06.4378832203437|   1.513 -7.763   |10.12    |~               |    ~     ~    |    1|  668.628   pc  |  -5.2306     +5.2306  |paral   |2020yCat.1350....0G
745 |TYC 3605-2506-1                                                                                          |Star                              |21 56 22.5070461120 +46 41 37.610938932|094.4235081355236 -06.2591635826645| -8.609 -10.158   |9.27     |~               |    ~     ~    |    1|  668.271   pc  |  -6.3862     +6.3862  |paral   |2020yCat.1350....0G
746 |TYC 3605-2621-1                                                                                          |Star                              |21 57 51.0465271272 +46 23 42.279853092|094.4387591216544 -06.6507951563332|  27.382 23.768   |10.58    |~               |    ~     ~    |    1|  243.944   pc  |  -1.0593     +1.0593  |paral   |2020yCat.1350....0G
747 |TYC 3605-2834-1                                                                                          |Star                              |21 59 05.5269699672 +46 37 29.599572612|094.7505137073280 -06.6004683420044|  -6.476 -7.241   |10.84    |~               |    ~     ~    |    1| 1181.893   pc  | -14.5275    +14.5275  |paral   |2020yCat.1350....0G
748 |TYC 3608-21-1                                                                                            |Star                              |21 50 50.8307028960 +47 58 48.897907608|094.4991806095692 -04.6697412586138|   3.310 -5.535   |10.44    |~               |    ~     ~    |    1|  259.255   pc  |  -0.8738     +0.8738  |paral   |2020yCat.1350....0G
749 |TYC 3608-60-1                                                                                            |Star                              |21 46 32.4180019848 +47 12 18.367944264|093.4417247695689 -04.8019978792403|  -29.688 7.468   |10.96    |~               |    ~     ~    |    1|  282.151   pc  |  -1.4011     +1.4011  |paral   |2020yCat.1350....0G
750 |TYC 3608-157-1                                                                                           |Star                              |21 45 06.6835269528 +48 06 56.918210940|093.8480469423777 -03.9516217335477| -5.176 -13.538   |10.88    |~               |    ~     ~    |    1|  514.483   pc  |  -6.8555     +6.8555  |paral   |2020yCat.1350....0G
751 |TYC 3608-171-1                                                                                           |Spectroscopic Binary              |21 50 28.0022877864 +48 02 18.504223080|094.4867903785213 -04.5843777187799|  -1.637 -4.326   |10.77    |~               |    ~     ~    |    1|  704.821   pc  | -17.4864    +17.4864  |paral   |2020yCat.1350....0G
752 |TYC 3608-206-1                                                                                           |Star                              |21 46 58.9251745080 +48 14 59.398749348|094.1735074190873 -04.0505508532061|   0.770 -0.265   |10.76    |~               |    ~     ~    |    1| 1273.074   pc  | -17.0175    +17.0175  |paral   |2020yCat.1350....0G
753 |TYC 3608-383-1                                                                                           |Star                              |21 49 29.4566835144 +48 34 52.478193180|094.7068208036951 -04.0620900612398|-18.395 -19.007   |10.70    |~               |    ~     ~    |    1|  390.335   pc  | -10.9091    +10.9091  |paral   |2020yCat.1350....0G
754 |TYC 3608-420-1                                                                                           |Star                              |21 51 28.5626251518 +47 03 13.814214401|093.9934432101850 -05.4544306320705|   8.856 -5.965   |10.03    |~               |    ~     ~    |    0|                |                       |        |                   
755 |TYC 3608-429-1                                                                                           |Star                              |21 47 26.1869491440 +48 02 54.094714620|094.1019456991465 -04.2536295010914|  -3.724 -8.562   |10.34    |~               |    ~     ~    |    1|  604.522   pc  |  -3.7276     +3.7276  |paral   |2020yCat.1350....0G
756 |TYC 3608-432-1                                                                                           |Star                              |21 49 22.8593642640 +47 15 50.240620332|093.8510209167107 -05.0660076842710|  -3.362 -3.591   |10.66    |~               |    ~     ~    |    1| 1107.665   pc  | -22.4527    +22.4527  |paral   |2020yCat.1350....0G
757 |TYC 3608-457-1                                                                                           |Star                              |21 52 18.5396801088 +47 40 30.943156980|094.4969613470691 -05.0611607239123|  -1.334 -5.272   |10.41    |~               |    ~     ~    |    1| 1149.425   pc  | -14.1366    +14.1366  |paral   |2020yCat.1350....0G
758 |TYC 3608-529-1                                                                                           |Star                              |21 51 34.3013733096 +46 59 14.426964456|093.9639172476221 -05.5162666605186|   18.843 8.214   |10.12    |~               |    ~     ~    |    1|  384.956   pc  |  -2.5637     +2.5637  |paral   |2020yCat.1350....0G
759 |TYC 3608-580-1                                                                                           |Star                              |21 50 41.6816427792 +47 07 52.222837368|093.9392179541047 -05.3103738455846|   0.904 -2.537   |10.95    |~               |    ~     ~    |    1| 1501.502   pc  | -27.0541    +27.0541  |paral   |2020yCat.1350....0G
760 |TYC 3608-682-1                                                                                           |Star                              |21 49 46.1958607800 +46 55 16.113956484|093.6829622244225 -05.3724274807364|   1.409 -2.072   |10.71    |~               |    ~     ~    |    1| 1628.134   pc  | -38.4369    +38.4369  |paral   |2020yCat.1350....0G
761 |TYC 3608-766-1                                                                                           |Star                              |21 48 49.0178200008 +48 20 52.300199076|094.4713946144757 -04.1707654734710|    5.593 2.041   |10.08    |~               |    ~     ~    |    1|  466.005   pc  |  -5.6679     +5.6679  |paral   |2020yCat.1350....0G
762 |TYC 3608-775-1                                                                                           |Star                              |21 54 12.6073064256 +47 15 31.980172968|094.4861420823088 -05.5869786480378|  31.219 -4.396   |10.28    |~               |    ~     ~    |    1|  184.132   pc  |  -0.4340     +0.4340  |paral   |2020yCat.1350....0G
763 |TYC 3608-804-1                                                                                           |Star                              |21 52 35.1697245744 +46 55 41.328702840|094.0614098124524 -05.6713613477656|  -3.263 -6.603   |10.68    |~               |    ~     ~    |    1| 1482.360   pc  | -29.8845    +29.8845  |paral   |2020yCat.1350....0G
764 |TYC 3608-855-1                                                                                           |Star                              |21 54 07.4740978440 +47 05 39.506367912|094.3714052814266 -05.7063920855209|   2.496 -4.192   |10.51    |~               |    ~     ~    |    1|  611.995   pc  |  -5.3184     +5.3184  |paral   |2020yCat.1350....0G
765 |TYC 3608-1060-1                                                                                          |Red Giant Branch star Candidate   |21 50 45.5879705520 +46 52 43.463725824|093.7870567633963 -05.5126078166315| -10.071 -4.608   |9.92     |~               |    ~     ~    |    1|  538.445   pc  | -11.2200    +11.2200  |paral   |2020yCat.1350....0G
766 |TYC 3608-1067-1                                                                                          |Star                              |21 53 46.8871053600 +47 47 58.214201316|094.7687655779106 -05.1197247277828|  -1.407 -4.316   |10.09    |~               |    ~     ~    |    1| 1238.390   pc  | -16.4096    +16.4096  |paral   |2020yCat.1350....0G
767 |TYC 3608-1104-1                                                                                          |Star                              |21 49 56.3287229496 +48 13 25.071557160|094.5363802586981 -04.3853858780537|   12.147 2.399   |10.40    |~               |    ~     ~    |    1|  259.323   pc  |  -1.0087     +1.0087  |paral   |2020yCat.1350....0G
768 |TYC 3608-1168-1                                                                                          |Star                              |21 47 46.3101622512 +47 38 24.903959460|093.8825794643760 -04.6027493992157|   39.139 9.040   |9.55     |~               |    ~     ~    |    1|  254.550   pc  |  -3.7452     +3.7452  |paral   |2020yCat.1350....0G
769 |TYC 3608-1212-1                                                                                          |Star                              |21 49 08.0632428504 +47 08 32.707735836|093.7408083059251 -05.1329012662481|    8.928 8.053   |9.73     |~               |    ~     ~    |    1|  412.235   pc  |  -3.4327     +3.4327  |paral   |2020yCat.1350....0G
770 |TYC 3608-1247-1                                                                                          |Star                              |21 47 23.0262915096 +47 45 04.720243536|093.9038556383204 -04.4756731661699|   14.442 4.919   |10.34    |~               |    ~     ~    |    1|  735.132   pc  |  -6.1608     +6.1608  |paral   |2020yCat.1350....0G
771 |TYC 3608-1287-1                                                                                          |Spectroscopic Binary              |21 53 13.1184032976 +47 31 37.649990208|094.5233107777331 -05.2727479260759|    9.821 4.766   |10.55    |~               |    ~     ~    |    1|  812.414   pc  | -40.7230    +40.7230  |paral   |2020yCat.1350....0G
772 |TYC 3608-1307-1                                                                                          |Spectroscopic Binary              |21 53 38.9804038656 +47 39 52.561478700|094.6666717830064 -05.2111102122984|  12.977 30.518   |10.85    |~               |    ~     ~    |    1|  275.794   pc  |  -1.1029     +1.1029  |paral   |2020yCat.1350....0G
773 |TYC 3608-1316-1                                                                                          |Star                              |21 45 27.2208766704 +47 35 50.379831672|093.5551946988157 -04.3838394903732|   9.346 -6.008   |10.99    |~               |    ~     ~    |    1|  443.184   pc  | -11.4312    +11.4312  |paral   |2020yCat.1350....0G
774 |TYC 3608-1319-1                                                                                          |Star                              |21 52 38.7906442128 +47 06 43.054454304|094.1856313547020 -05.5349464453606|-26.010 -13.300   |9.76     |~               |    ~     ~    |    1|  302.737   pc  |  -1.1914     +1.1914  |paral   |2020yCat.1350....0G
775 |TYC 3608-1343-1                                                                                          |Star                              |21 51 37.7537725536 +47 43 45.020211312|094.4419355869329 -04.9472243552687|    0.735 0.538   |10.41    |~               |    ~     ~    |    1|  451.896   pc  |  -2.9406     +2.9406  |paral   |2020yCat.1350....0G
776 |TYC 3608-1369-1                                                                                          |Pulsating Variable                |21 51 20.6858814312 +47 36 30.645148788|094.3281711197056 -05.0105285407231|  -2.550 -3.101   |10.49    |~               |    ~     ~    |    1| 2266.546   pc  | -99.6623    +99.6623  |paral   |2020yCat.1350....0G
777 |TYC 3608-1409-1                                                                                          |Star                              |21 53 33.6337774608 +47 29 30.683810616|094.5463073665571 -05.3364141259337|  -8.030 12.192   |10.93    |~               |    ~     ~    |    1|  223.554   pc  |  -0.6597     +0.6597  |paral   |2020yCat.1350....0G
778 |TYC 3608-1505-1                                                                                          |Star                              |21 53 38.0865289152 +47 34 06.967418808|094.6043711730028 -05.2844115783025|   2.365 -2.826   |9.96     |~               |    ~     ~    |    1|  476.417   pc  |  -3.5862     +3.5862  |paral   |2020yCat.1350....0G
779 |TYC 3608-1588-1                                                                                          |Star                              |21 54 43.0210623576 +47 23 55.035962556|094.6411779725313 -05.5313589626211| -12.359 -5.026   |10.93    |~               |    ~     ~    |    1|  751.767   pc  |  -6.7818     +6.7818  |paral   |2020yCat.1350....0G
780 |TYC 3608-1614-1                                                                                          |Star                              |21 50 16.2850272912 +48 05 38.409475776|094.4968168000148 -04.5207532446823|    5.858 8.381   |10.05    |~               |    ~     ~    |    1|  382.409   pc  |  -3.1441     +3.1441  |paral   |2020yCat.1350....0G
781 |TYC 3608-1644-1                                                                                          |Star                              |21 47 46.0547278464 +47 11 48.085108656|093.5964754990080 -04.9425406757859|  10.015 -1.582   |10.33    |~               |    ~     ~    |    1|  376.194   pc  |  -1.9955     +1.9955  |paral   |2020yCat.1350....0G
782 |TYC 3608-1691-1                                                                                          |Star                              |21 51 42.4523592624 +47 01 16.049796888|094.0033951596738 -05.5047063316433| -2.536 -11.461   |10.87    |~               |    ~     ~    |    1|  702.149   pc  |  -5.6203     +5.6203  |paral   |2020yCat.1350....0G
783 |TYC 3608-1728-1                                                                                          |Star                              |21 56 05.0085823392 +46 54 01.518173244|094.5128826006784 -06.0660417521475|   0.576 -1.895   |10.91    |~               |    ~     ~    |    1|  970.591   pc  | -21.4787    +21.4787  |paral   |2020yCat.1350....0G
784 |TYC 3608-1745-1                                                                                          |Star                              |21 49 30.3020716776 +47 16 32.926951488|093.8748868429844 -05.0702795118288|  -0.281 10.470   |9.73     |~               |    ~     ~    |    1|  490.268   pc  |  -2.4998     +2.4998  |paral   |2020yCat.1350....0G
785 |TYC 3608-1746-1                                                                                          |Star                              |21 52 56.3078734152 +47 42 29.251974024|094.6004126617129 -05.1021773175135|  -3.280 -5.122   |10.20    |~               |    ~     ~    |    1| 1805.706   pc  | -40.7572    +40.7572  |paral   |2020yCat.1350....0G
786 |BD+46 3470                                                                                               |Star                              |21 52 23.2069836648 +47 30 06.804362232|094.3976467648003 -05.2041481447106|  -1.418 -2.836   |10.20    |~               |    ~     ~    |    1|  586.373   pc  |  -4.7105     +4.7105  |paral   |2020yCat.1350....0G
787 |TYC 3608-1821-1                                                                                          |Star                              |21 46 02.7634761024 +47 26 48.493271184|093.5340652236533 -04.5633262657773|   8.885 18.217   |10.58    |~               |    ~     ~    |    1|  296.930   pc  |  -1.5517     +1.5517  |paral   |2020yCat.1350....0G
788 |TYC 3608-1822-1                                                                                          |Star                              |21 47 26.3490449616 +47 20 25.055475396|093.6461452978964 -04.7966756248596|-13.403 -15.475   |10.39    |~               |    ~     ~    |    1|  444.761   pc  |  -2.2353     +2.2353  |paral   |2020yCat.1350....0G
789 |TYC 3608-1835-1                                                                                          |Star                              |21 54 50.2790752824 +47 05 14.605997460|094.4624309760187 -05.7875742019514|   2.205 -0.783   |10.62    |~               |    ~     ~    |    1|  629.168   pc  |  -9.4609     +9.4609  |paral   |2020yCat.1350....0G
790 |TYC 3608-1855-1                                                                                          |Star                              |21 55 56.8339389432 +47 02 29.038542036|094.5824382260413 -05.9410221492124|    8.672 3.537   |10.03    |~               |    ~     ~    |    1|  759.532   pc  |  -7.2111     +7.2111  |paral   |2020yCat.1350....0G
791 |TYC 3608-1871-1                                                                                          |Star                              |21 45 59.3409029904 +47 19 39.649121976|093.4494560816815 -04.6480083201288|-20.398 -12.556   |10.39    |~               |    ~     ~    |    1|  685.401   pc  | -17.5696    +17.5696  |paral   |2020yCat.1350....0G
792 |TYC 3608-1973-1                                                                                          |Star                              |21 50 23.5074933912 +47 40 19.082050680|094.2437989347317 -04.8597685447970|  24.360 10.350   |10.56    |~               |    ~     ~    |    1|  293.066   pc  |  -0.9448     +0.9448  |paral   |2020yCat.1350....0G
793 |TYC 3608-1978-1                                                                                          |Star                              |21 51 17.0389252296 +47 42 06.901349544|094.3794667873698 -04.9316762651472|   2.427 -7.780   |9.87     |~               |    ~     ~    |    0|                |                       |        |                   
794 |GSC 03608-01981                                                                                          |Double or Multiple Star           |21 51 24.6752578152 +48 11 09.388703112|094.7028759161694 -04.5699331318697|    7.354 0.420   |10.087   |~               |    ~     ~    |    1|  531.039   pc  |  -3.6942     +3.6942  |paral   |2020yCat.1350....0G
795 |TYC 3608-1982-1                                                                                          |Star                              |21 54 41.7566 +47 30 03.861            |094.7025140 -05.4490103            |      12.7 -1.5   |10.43    |~               |    ~     ~    |    0|                |                       |        |                   
796 |TYC 3608-1983-1                                                                                          |Star                              |21 49 22.7498772456 +47 36 48.300520428|094.0743218988146 -04.7965111915460|   15.662 7.819   |10.68    |~               |    ~     ~    |    1|  418.918   pc  |  -2.6324     +2.6324  |paral   |2020yCat.1350....0G
797 |TYC 3608-2005-1                                                                                          |Star                              |21 46 23.6803599480 +47 58 18.944058612|093.9188860844672 -04.2000448139528|   1.093 -4.811   |10.77    |~               |    ~     ~    |    1| 1156.337   pc  | -16.7139    +16.7139  |paral   |2020yCat.1350....0G
798 |TYC 3608-2051-1                                                                                          |Star                              |21 46 45.9708219096 +46 52 55.081580628|093.2621456156987 -05.0738202378443|  -3.078 -4.886   |10.93    |~               |    ~     ~    |    1| 1369.675   pc  | -57.2183    +57.2183  |paral   |2020yCat.1350....0G
799 |TYC 3608-2096-1                                                                                          |Star                              |21 49 26.2957978680 +47 19 25.944798468|093.8968695754122 -05.0260249532364|      -3.9 -3.9   |10.64    |~               |    ~     ~    |    0|                |                       |        |                   
800 |TYC 3608-2104-1                                                                                          |Star                              |21 55 06.3885996984 +47 03 48.147455376|094.4833500410159 -05.8348325629911|  29.749 12.443   |9.61     |~               |    ~     ~    |    1|  292.912   pc  |  -1.3470     +1.3470  |paral   |2020yCat.1350....0G
801 |TYC 3608-2139-1                                                                                          |Star                              |21 55 12.6742899120 +47 00 50.307120288|094.4664940203652 -05.8846099368753|  -0.026 -2.562   |10.97    |~               |    ~     ~    |    1|  874.738   pc  |  -9.3350     +9.3350  |paral   |2020yCat.1350....0G
802 |TYC 3608-2161-1                                                                                          |Star                              |21 54 05.8525866096 +47 07 21.941114340|094.3856703964243 -05.6813064215596|   3.274 -9.323   |9.45     |~               |    ~     ~    |    1|  621.272   pc  |  -6.6774     +6.6774  |paral   |2020yCat.1350....0G
803 |TYC 3609-131-1                                                                                           |Star                              |21 56 33.1011575640 +47 14 02.760547416|094.7835440949382 -05.8533680010072| 10.211 -14.956   |10.95    |~               |    ~     ~    |    1|  235.477   pc  |  -0.6654     +0.6654  |paral   |2020yCat.1350....0G
804 |TYC 3609-291-1                                                                                           |Star                              |21 57 59.5383368376 +47 00 45.912761100|094.8403480451923 -06.1787225952822| -7.263 -12.092   |10.74    |~               |    ~     ~    |    1|  954.745   pc  | -80.0331    +80.0331  |paral   |2020yCat.1350....0G
805 |TYC 3609-559-1                                                                                           |Star                              |21 57 47.7262318752 +47 03 20.819128356|094.8403523818397 -06.1241627961216|  -0.281 -2.796   |10.26    |~               |    ~     ~    |    1| 1446.550   pc  | -23.4361    +23.4361  |paral   |2020yCat.1350....0G
806 |TYC 3609-791-1                                                                                           |Star                              |21 57 49.4545289904 +46 56 45.659539212|094.7763317806094 -06.2137256732320|  -7.109 -7.328   |10.93    |~               |    ~     ~    |    1|  941.442   pc  | -29.3370    +29.3370  |paral   |2020yCat.1350....0G
807 |TYC 3609-849-1                                                                                           |Star                              |21 56 56.3968454856 +47 09 35.198856360|094.7895148361048 -05.9525573142335|   24.798 2.686   |10.65    |~               |    ~     ~    |    1|  251.288   pc  |  -0.7388     +0.7388  |paral   |2020yCat.1350....0G
808 |TYC 3609-933-1                                                                                           |Star                              |21 56 26.9709592128 +47 13 22.375701624|094.7628682793671 -05.8514552376750|-19.263 -18.495   |10.16    |~               |    ~     ~    |    1|  353.469   pc  |  -2.7737     +2.7737  |paral   |2020yCat.1350....0G
809 |BD+45 3700                                                                                               |Long-Period Variable Candidate    |21 51 04.7024314656 +46 36 02.022515532|093.6523120198454 -05.7623701071288|   1.059 -2.501   |9.81     |M6              |    ~     ~    |    1| 1686.91    pc  | -85.9391    +85.9391  |paral   |2020yCat.1350....0G
810 |BD+46 3442                                                                                               |Star                              |21 47 41.9100684144 +47 19 56.592212736|093.6748544628123 -04.8309513444114|   -0.181 1.658   |10.4     |M2              |    ~     ~    |    1| 1208.021   pc  | -27.2892    +27.2892  |paral   |2020yCat.1350....0G
811 |BD+48 3530                                                                                               |Star                              |21 52 26.3739786024 +48 47 22.420131072|095.2169033437433 -04.2083929785191|  -2.766 -4.241   |10.04    |OB-             |    ~     ~    |    1| 3729.952   pc  |-164.1680   +164.1680  |paral   |2020yCat.1350....0G
812 |BD+48 3538                                                                                               |Star                              |21 53 50.1294504264 +48 56 33.458059572|095.4924810085592 -04.2328542687613|   0.531 -1.040   |9.27     |B8              |    ~     ~    |    1|  982.415   pc  | -14.0910    +14.0910  |paral   |2020yCat.1350....0G
813 |BD+48 3542                                                                                               |High Proper Motion Star           |21 54 35.3463543816 +48 49 02.014394700|095.5112330504578 -04.4081465005553|  53.056 15.371   |9.44     |F0              |    ~     ~    |    1|  216.962   pc  |  -0.5555     +0.5555  |paral   |2020yCat.1350....0G
814 |AG+48 1842                                                                                               |Star                              |21 56 50.4201204984 +48 39 19.553796216|095.7030191993807 -04.7650899027400|-13.136 -11.455   |10.972   |K               |    ~     ~    |    1| 1679.825   pc  | -34.7083    +34.7083  |paral   |2020yCat.1350....0G
815 |BD+48 3556                                                                                               |Star                              |21 57 29.2067082240 +49 02 25.845754848|096.0248887535397 -04.5270199262657|  -4.400 -3.515   |9.25     |K0              |    ~     ~    |    1| 2024.701   pc  |-152.4983   +152.4983  |paral   |2020yCat.1350....0G
816 |BD+48 3557                                                                                               |Star                              |21 57 32.7985398984 +49 06 20.915178552|096.0728852979420 -04.4815186420667|  -4.996 -0.649   |10.87    |A2              |    ~     ~    |    0|                |                       |        |                   
817 |BD+48 3561                                                                                               |Emission-line Star                |21 57 55.3487854032 +49 04 04.300959072|096.0982600423117 -04.5492444924073|  -6.318 -5.699   |9.45     |B8              |    ~     ~    |    1| 1786.352   pc  | -45.6321    +45.6321  |paral   |2020yCat.1350....0G
818 |BD+48 3562                                                                                               |Star                              |21 58 03.1003694544 +48 53 30.834499236|096.0068307835714 -04.7012555287760|  -4.506 -5.542   |9.92     |A2              |    ~     ~    |    1| 1385.617   pc  | -50.1103    +50.1103  |paral   |2020yCat.1350....0G
819 |BD+48 3565                                                                                               |Star                              |21 59 15.3693504984 +48 49 14.579284656|096.1205016721078 -04.8787049250629|  27.989 13.383   |9.30     |F2              |    ~     ~    |    1|  166.539   pc  |  -0.3439     +0.3439  |paral   |2020yCat.1350....0G
820 |HD 209103                                                                                                |Double or Multiple Star           |21 59 41.9062745 +49 07 23.337085      |096.3630913497 -04.6830197524      |    12.66 -8.17   |7.62     |A0              |0.0033  0.0    |    0|                |                       |        |                   
821 |BD+47 3599                                                                                               |Star                              |21 54 04.7337687600 +48 30 01.523958156|095.2470833285147 -04.6033855421719|  19.807 19.781   |9.72     |F2              |    ~     ~    |    1|  281.650   pc  |  -2.1180     +2.1180  |paral   |2020yCat.1350....0G
822 |BD+47 3601                                                                                               |Star                              |21 54 28.0655131848 +48 29 47.235789240|095.2951286872464 -04.6466545898759|  -4.975 -7.669   |9.43     |A2              |    ~     ~    |    1|  758.380   pc  |  -9.6624     +9.6624  |paral   |2020yCat.1350....0G
823 |HD 208441                                                                                                |Star                              |21 54 52.5633162984 +48 33 16.749722052|095.3845573666721 -04.6431805516779|  12.861 -1.621   |7.89     |A0              |    ~     ~    |    1|  262.943   pc  |  -2.1986     +2.1986  |paral   |2020yCat.1350....0G
824 |BD+47 3608                                                                                               |Star                              |21 55 16.2599223552 +48 19 31.137254760|095.2930551175722 -04.8635680850713|-10.850 -17.176   |8.95     |A2              |    ~     ~    |    1|  214.046   pc  |  -0.6506     +0.6506  |paral   |2020yCat.1350....0G
825 |BD+47 3617                                                                                               |Star                              |21 57 02.8435369272 +48 22 49.895648364|095.5600916916601 -05.0027204045210|  -3.656 -7.397   |9.48     |G0              |    ~     ~    |    1| 1031.140   pc  | -11.9084    +11.9084  |paral   |2020yCat.1350....0G
826 |AG+48 1845                                                                                               |Spectroscopic Binary              |21 57 06.7044753312 +48 39 47.260318212|095.7432032493481 -04.7866386427502|    4.257 0.101   |10.45    |A2              |    ~     ~    |    1|  345.650   pc  |  -3.5842     +3.5842  |paral   |2020yCat.1350....0G
827 |HD 208727                                                                                                |Pulsating Variable                |21 57 02.2197670416 +48 40 06.844304856|095.7368070644768 -04.7747527129006|   5.150 -0.030   |6.504    |B8V             |    ~     ~    |    1|  400.513   pc  | -34.4882    +34.4882  |paral   |2020yCat.1350....0G
828 |BD+47 3620                                                                                               |Star                              |21 57 12.2500535136 +48 36 30.326922612|095.7214855108327 -04.8391488776831|  11.311 -4.498   |10.01    |F0              |    ~     ~    |    1|  220.614   pc  |  -0.8371     +0.8371  |paral   |2020yCat.1350....0G
829 |BD+47 3636                                                                                               |Star                              |21 58 35.2490020680 +48 35 18.733650504|095.8904973912669 -04.9951856449546|   3.822 -2.300   |9.12     |G0              |    ~     ~    |    1|  847.458   pc  | -10.9164    +10.9164  |paral   |2020yCat.1350....0G
830 |BD+47 3645                                                                                               |Star                              |21 59 28.1920624728 +48 20 19.862012436|095.8537378359393 -05.2822387139060|   12.332 1.991   |10.26    |A5              |    ~     ~    |    1|  703.631   pc  |  -7.3769     +7.3769  |paral   |2020yCat.1350....0G
