C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:44:53

Vmag< 11&dec< 0&rah >=13.25&rah< 13.5
-------------------------------------

Number of objects : 5452

 #  |                                                                                                    identifier                                                                                                    |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |     spec. type     |   ang. size   
----|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|--------------------|---------------
87  |BD-09 3656                                                                                                                                                                                                        |Star                              |13 17 38.8944368160 -10 25 24.922482924|313.4149804988757 +51.9138672502847|    2.318 2.830     |10.010   |~                   |    ~     ~    
88  |BD-09 3659                                                                                                                                                                                                        |Star                              |13 18 14.5 -10 24 21                   |313.6530 +51.9071                  |            ~ ~     |10.0     |~                   |    ~     ~    
89  |BD-08 3521                                                                                                                                                                                                        |Star                              |13 16 30.9354848592 -08 57 51.802849440|313.3551373603361 +53.3990776548474| -7.998 -34.260     |10.472   |~                   |    ~     ~    
90  |BD-07 3576                                                                                                                                                                                                        |Star                              |13 16 46.2328417872 -08 20 54.983269356|313.6317323093928 +53.9960237987835| 30.908 -27.201     |10.81    |~                   |    ~     ~    
91  |BD-08 3522                                                                                                                                                                                                        |Star                              |13 16 57.5000025984 -08 54 41.054971644|313.5507224846101 +53.4333540474942| -16.743 -3.837     |10.633   |~                   |    ~     ~    
92  |BD-09 3657                                                                                                                                                                                                        |Star                              |13 17 50.2408960776 -09 56 54.596466780|313.6183413563541 +52.3746299896965| -35.128 10.097     |10.84    |~                   |    ~     ~    
93  |BD-08 3529                                                                                                                                                                                                        |Star                              |13 18 29.9615678352 -09 25 13.206005364|314.0315712400737 +52.8672169372085|   7.144 -9.603     |10.746   |~                   |    ~     ~    
94  |BD-09 3653                                                                                                                                                                                                        |Star                              |13 16 59.5189434072 -10 21 35.335204308|313.1734443207143 +52.0030553907480|  -3.782 -4.867     |10.90    |~                   |    ~     ~    
95  |BD-10 3640                                                                                                                                                                                                        |Star                              |13 15 38.5229447184 -10 47 40.653781044|312.5336713015499 +51.6253145679527|  -20.258 8.215     |10.80    |~                   |    ~     ~    
96  |BD-10 3643                                                                                                                                                                                                        |Star                              |13 16 52.0994014032 -10 47 51.852722676|313.0118693432370 +51.5756089574208|   -7.367 1.134     |10.515   |~                   |    ~     ~    
97  |BD-10 3646                                                                                                                                                                                                        |Star                              |13 18 02.1828306888 -10 49 37.161914448|313.4592961397827 +51.5002576046995|-11.637 -13.665     |10.65    |~                   |    ~     ~    
98  |HD 115079                                                                                                                                                                                                         |Star                              |13 15 00.8772976464 -11 20 54.500937540|312.1582812146387 +51.1004271046925|  -0.572 -7.034     |8.05     |K1III               |    ~     ~    
