C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:44:53

Vmag< 11&dec< 0&rah >=13.25&rah< 13.5
-------------------------------------

Number of objects : 5452

 #  |                                                                                                    identifier                                                                                                    |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |     spec. type     |   ang. size   
----|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|--------------------|---------------
3557|TYC 8991-4752-1                                                                                                                                                                                                   |Spectroscopic Binary              |13 29 36.3451791792 -61 40 18.810294600|307.4440522679050 +00.8650226363973|-43.497 -55.024     |10.36    |~                   |    ~     ~    
3558|CPD-60 4699                                                                                                                                                                                                       |Star                              |13 29 09.1229274360 -61 05 41.938401480|307.4749511188690 +01.4436593164310|  -6.302 -0.823     |10.28    |~                   |    ~     ~    
3559|CPD-60 4711                                                                                                                                                                                                       |Spectroscopic Binary              |13 29 43.3334669544 -61 00 57.248964504|307.5548346589176 +01.5117447826139|  -9.140 -2.684     |10.73    |~                   |    ~     ~    
3560|HD 115069                                                                                                                                                                                                         |High Proper Motion Star           |13 15 25.1311589040 -47 31 09.134094324|307.1227806765547 +15.1573116825948|  -87.942 4.601     |8.64     |K1III               |    ~     ~    
3561|CD-46 8516                                                                                                                                                                                                        |Star                              |13 15 53.7017256576 -47 22 27.429021084|307.2204319738364 +15.2937097435234|   -6.252 3.167     |10.50    |G0                  |    ~     ~    
3562|CD-46 8532                                                                                                                                                                                                        |Star                              |13 16 54.3604979328 -47 21 39.925771848|307.3983739237610 +15.2896695484749|  -5.022 -4.705     |9.61     |K5                  |    ~     ~    
3563|HD 115158                                                                                                                                                                                                         |Star                              |13 16 00.0595387896 -47 57 28.842589872|307.1793757905402 +14.7110592038365| -16.771 -8.182     |9.19     |A7(III+F)           |    ~     ~    
3564|CD-47 8181                                                                                                                                                                                                        |Star                              |13 16 04.7836231752 -48 00 59.924062332|307.1869534753928 +14.6514123935335| -5.343 -10.613     |10.61    |B8                  |    ~     ~    
3565|CD-47 8182                                                                                                                                                                                                        |Star                              |13 16 08.3999945592 -48 09 49.540273776|307.1822831350374 +14.5040221738133|  -9.214 -1.355     |10.41    |A0                  |    ~     ~    
3566|CD-47 8190                                                                                                                                                                                                        |Star                              |13 16 44.4348341832 -48 12 59.466171312|307.2796878340389 +14.4415127579334|      -11.2 7.2     |10.48    |F8                  |    ~     ~    
3567|CD-47 8193                                                                                                                                                                                                        |Star                              |13 16 59.3314343616 -47 52 53.314723416|307.3576000444778 +14.7705880494245| -29.610 -4.020     |9.76     |~                   |    ~     ~    
3568|HD 115296                                                                                                                                                                                                         |Star                              |13 17 00.9273817944 -48 06 44.221009032|307.3377458980669 +14.5405383636215|   16.322 3.071     |9.10     |G6III               |    ~     ~    
3569|HD 115432                                                                                                                                                                                                         |Star                              |13 17 48.6923511720 -47 42 17.749817424|307.5187801373202 +14.9317937930160| -11.196 -4.111     |9.40     |A0V                 |    ~     ~    
3570|HD 115549                                                                                                                                                                                                         |Star                              |13 18 31.9804661112 -47 58 07.302130788|307.6140542229605 +14.6565768320573|  -17.806 0.345     |9.41     |A5V                 |    ~     ~    
3571|CD-47 8216                                                                                                                                                                                                        |Star                              |13 18 49.1122986168 -48 13 29.756400816|307.6341551856161 +14.3966695886067| -10.937 -0.007     |10.43    |A0                  |    ~     ~    
3572|CD-47 8171                                                                                                                                                                                                        |Star                              |13 15 10.7409987432 -48 20 51.466879248|306.9994962740216 +14.3365260741085| -22.782 -0.227     |10.39    |F5                  |    ~     ~    
3573|HD 115173                                                                                                                                                                                                         |Star                              |13 16 10.3269865776 -48 27 54.104559732|307.1570157205055 +14.2037029575350| -4.215 -19.223     |8.91     |K0III               |    ~     ~    
3574|HD 115190                                                                                                                                                                                                         |Star                              |13 16 19.2072287304 -48 28 00.498542592|307.1820167572753 +14.1995022943383| -13.683 -2.442     |10.26    |A0V                 |    ~     ~    
3575|HD 115482                                                                                                                                                                                                         |High Proper Motion Star           |13 18 13.4512895040 -48 31 17.159076372|307.4997953470938 +14.1125975905401| 57.054 -35.289     |10.54    |G5                  |    ~     ~    
3576|HD 115528                                                                                                                                                                                                         |Spectroscopic Binary              |13 18 28.8255415608 -48 27 12.910427748|307.5508504273689 +14.1754852496608| -15.364 -5.367     |10.07    |A1mA3/5-A9          |    ~     ~    
3577|HD 115665                                                                                                                                                                                                         |Star                              |13 19 27.1178564232 -48 28 02.627510268|307.7143886364596 +14.1440438853944|  -1.205 -8.180     |8.64     |K3/5III             |    ~     ~    
3578|CD-48 8054                                                                                                                                                                                                        |Star                              |13 15 02.4123707448 -48 50 25.703814732|306.9278638791392 +13.8480645910146|  -16.274 0.172     |9.49     |K7                  |    ~     ~    
3579|CD-48 8061                                                                                                                                                                                                        |Star                              |13 15 57.9165689640 -48 47 21.811545240|307.0890525772543 +13.8842776336832| -18.806 -4.114     |10.17    |G0                  |    ~     ~    
3580|HD 115875                                                                                                                                                                                                         |Star                              |13 20 51.6151062600 -48 43 19.720963992|307.9226949020560 +13.8642824945901|-25.098 -15.877     |9.25     |F0V                 |    ~     ~    
3581|CD-47 8200                                                                                                                                                                                                        |Spectroscopic Binary              |13 17 26.7867750456 -47 45 42.884457624|307.4494121770972 +14.8815741761743|-35.499 -20.323     |10.986   |Gwl                 |    ~     ~    
3582|CD-48 8070                                                                                                                                                                                                        |Star                              |13 16 26.0604611496 -48 44 33.094607316|307.1730632814637 +13.9232718847784|  -5.353 -1.284     |10.16    |~                   |    ~     ~    
3583|IRAS 13135-4819                                                                                                                                                                                                   |Star                              |13 16 34.1603458440 -48 35 39.588465696|307.2112082021761 +14.0684922641876|  -7.171 -1.611     |10.68    |~                   |    ~     ~    
3584|TYC 8251-233-1                                                                                                                                                                                                    |Star                              |13 16 23.4733999560 -48 42 03.935130840|307.1700302263733 +13.9652077308114| -10.504 -5.371     |10.380   |~                   |    ~     ~    
3585|TYC 8251-386-1                                                                                                                                                                                                    |Star                              |13 15 55.0588745280 -48 20 15.367567992|307.1265858736098 +14.3346677616820| -16.883 -3.299     |10.65    |~                   |    ~     ~    
3586|TYC 8251-391-1                                                                                                                                                                                                    |Star                              |13 18 27.3376700040 -48 12 11.151306432|307.5745581372181 +14.4249522551428|  -9.703 -2.412     |10.99    |~                   |    ~     ~    
3587|TYC 8251-396-1                                                                                                                                                                                                    |Star                              |13 16 21.3694742424 -47 59 12.371325936|307.2375805840566 +14.6765500471585|-20.620 -13.315     |10.569   |~                   |    ~     ~    
3588|TYC 8251-416-1                                                                                                                                                                                                    |Star                              |13 15 15.8441150736 -47 46 06.107390184|307.0711583184629 +14.9118030768725| -19.118 -2.706     |10.41    |~                   |    ~     ~    
3589|TYC 8252-452-1                                                                                                                                                                                                    |Star                              |13 20 35.7924986544 -48 44 06.299616084|307.8766528729542 +13.8565135283899| -15.988 -6.859     |10.408   |~                   |    ~     ~    
3590|TYC 8252-598-1                                                                                                                                                                                                    |Star                              |13 18 59.4777508776 -48 44 17.007470304|307.6054339896563 +13.8835015171068| -19.943 -3.158     |10.87    |~                   |    ~     ~    
3591|TYC 8252-732-1                                                                                                                                                                                                    |Star                              |13 19 00.1872542617 -48 05 52.951533009|307.6801527752397 +14.5194079001887|-25.311 -24.627     |10.28    |~                   |    ~     ~    
3592|TYC 8255-213-1                                                                                                                                                                                                    |Star                              |13 17 38.1381196872 -48 55 47.624437668|307.3558580102396 +13.7166900921546| -10.139 -1.146     |10.698   |~                   |    ~     ~    
3593|CD-48 8071                                                                                                                                                                                                        |Star                              |13 16 39.2425057584 -49 14 04.322304240|307.1592635518440 +13.4301280874456|  -5.213 -6.164     |10.45    |F2                  |    ~     ~    
3594|HD 115563                                                                                                                                                                                                         |Star                              |13 18 45.7380283344 -49 10 14.264694336|307.5182743604249 +13.4576390632007|  -3.990 -0.115     |10.31    |B9III               |    ~     ~    
3595|HD 115634                                                                                                                                                                                                         |Star                              |13 19 13.2539275368 -49 05 35.149751124|307.6037071006222 +13.5264676544297|-15.951 -14.161     |10.11    |A3III/IV            |    ~     ~    
3596|HD 115699                                                                                                                                                                                                         |High Proper Motion Star           |13 19 36.4809005712 -49 07 04.483366968|307.6656180102053 +13.4947457201683|  -56.792 0.682     |9.57     |F5V                 |    ~     ~    
3597|HD 115787                                                                                                                                                                                                         |Star                              |13 20 11.2794074736 -48 55 31.679127696|307.7852598783542 +13.6751664360043|-13.253 -11.000     |9.99     |K1(III)             |    ~     ~    
3598|HD 115820                                                                                                                                                                                                         |Star                              |13 20 26.8121687568 -49 13 25.207170420|307.7932919047522 +13.3740667442209|-32.750 -20.552     |7.95     |A7/8V               |    ~     ~    
3599|CD-48 8097                                                                                                                                                                                                        |Star                              |13 18 24.8951549664 -49 03 32.981176620|307.4725567310711 +13.5746020991830|   -8.722 0.692     |10.40    |~                   |    ~     ~    
3600|HD 115094                                                                                                                                                                                                         |Star                              |13 15 38.9694598512 -49 38 14.626409100|306.9515810912654 +13.0452919707508| -13.915 -5.152     |9.92     |B9IV                |    ~     ~    
3601|HD 115610                                                                                                                                                                                                         |Star                              |13 19 01.6508704392 -49 32 33.030550680|307.5206234671800 +13.0832674201755| -41.681 -9.294     |10.22    |F2/3V               |    ~     ~    
3602|HD 115841                                                                                                                                                                                                         |Star                              |13 20 31.9514707824 -49 31 51.865451040|307.7710207460448 +13.0671104001617|   -7.983 0.617     |10.33    |F0V                 |    ~     ~    
3603|HD 115913                                                                                                                                                                                                         |Pulsating Variable                |13 21 04.0049272776 -49 36 35.849471796|307.8498626576444 +12.9786564708319|  -15.030 1.149     |10.45    |A2III               |    ~     ~    
3604|CD-48 8128                                                                                                                                                                                                        |Star                              |13 21 16.7585661504 -49 30 20.693727468|307.8976383216639 +13.0780618966326| -30.919 -8.263     |9.79     |K0                  |    ~     ~    
3605|HD 116002                                                                                                                                                                                                         |Star                              |13 21 43.0210516608 -49 28 56.840774736|307.9729436037434 +13.0926937887136| -19.384 -0.559     |9.52     |A2mA7-A8            |    ~     ~    
3606|CD-49 7764                                                                                                                                                                                                        |High Proper Motion Star           |13 15 53.9602840848 -50 15 38.514587292|306.9307958119400 +12.4210243877318| -61.917 23.252     |10.19    |G0                  |    ~     ~    
3607|HD 115344                                                                                                                                                                                                         |Star                              |13 17 24.1156498344 -49 52 28.078439232|307.2162532471032 +12.7811722488768| -4.404 -12.339     |9.19     |K2III               |    ~     ~    
3608|HD 115416                                                                                                                                                                                                         |Star                              |13 17 50.5199569872 -50 11 49.714375344|307.2538960601875 +12.4528973752679|-29.464 -14.153     |8.28     |F2III               |    ~     ~    
3609|HD 115495                                                                                                                                                                                                         |Pulsating Variable                |13 18 19.7695329360 -49 54 46.462696416|307.3644340792095 +12.7272605839421|  -8.391 -1.943     |9.11     |B9II/III            |    ~     ~    
3610|HD 115564                                                                                                                                                                                                         |Star                              |13 18 43.1593789272 -49 52 41.816663148|307.4322451031438 +12.7549289578409|  -9.987 -4.189     |7.351    |B8III               |    ~     ~    
3611|CD-49 7805                                                                                                                                                                                                        |Pulsating Variable                |13 18 53.7553649904 -50 03 28.116152424|307.4411818036073 +12.5733784607447|  -1.798 -5.833     |10.50    |~                   |    ~     ~    
3612|HD 115714                                                                                                                                                                                                         |Star                              |13 19 45.9211621896 -49 39 48.551421708|307.6287579440572 +12.9497508662082| -12.573 -8.056     |9.57     |A2III/IV            |    ~     ~    
3613|HD 115821                                                                                                                                                                                                         |Star                              |13 20 27.5110463544 -49 47 24.119730744|307.7281334108839 +12.8112659752215| -11.902 -7.518     |9.49     |K5/M0               |    ~     ~    
3614|HD 115935                                                                                                                                                                                                         |Star                              |13 21 11.2788024936 -49 41 58.645958892|307.8590012287934 +12.8873022709224| -6.016 -12.606     |7.97     |K1IIICNII           |    ~     ~    
3615|HD 116053                                                                                                                                                                                                         |Star                              |13 21 59.2754685864 -49 54 45.707012532|307.9642376660743 +12.6603120326992|  -9.210 -2.236     |7.76     |B3III               |    ~     ~    
3616|HD 116269                                                                                                                                                                                                         |Star                              |13 23 23.6274104472 -50 02 44.034817596|308.1771512539967 +12.5004504641331|  -8.547 -2.462     |10.19    |B9III               |    ~     ~    
3617|HD 116338                                                                                                                                                                                                         |High Proper Motion Star           |13 23 52.1144506728 -49 49 22.119065796|308.2839431402281 +12.7116263622632|-80.595 -31.679     |6.464    |G8III               |    ~     ~    
3618|CD-49 7885                                                                                                                                                                                                        |Star                              |13 24 04.6050000048 -50 10 13.739882448|308.2719862727918 +12.3625430520425| -10.324 -4.109     |10.49    |A3                  |    ~     ~    
3619|CD-49 7886                                                                                                                                                                                                        |Star                              |13 24 10.7217215160 -50 05 19.067898840|308.2994302141731 +12.4415903316070|  -9.406 -3.334     |10.82    |A2                  |    ~     ~    
3620|CD-49 7888                                                                                                                                                                                                        |Star                              |13 24 14.8015173960 -50 01 17.773319280|308.3194314275004 +12.5066307741559|  -8.413 -2.345     |10.88    |A0                  |    ~     ~    
3621|HD 116452                                                                                                                                                                                                         |Star                              |13 24 34.8664367736 -49 56 34.236967092|308.3845807439613 +12.5776867023635|  -8.858 -2.840     |9.60     |B7III/IV            |    ~     ~    
3622|HD 115095                                                                                                                                                                                                         |Star                              |13 15 44.0002779223 -50 29 26.566104601|306.8810647142603 +12.1946480141469| -10.569 -5.356     |8.48     |B7IV                |    ~     ~    
3623|CD-49 7767                                                                                                                                                                                                        |Star                              |13 16 11.1809127048 -50 28 56.880100308|306.9552573387196 +12.1958482059473|  14.029 -6.397     |9.57     |~                   |    ~     ~    
3624|HD 115207                                                                                                                                                                                                         |Star                              |13 16 23.7157940736 -50 16 12.009609084|307.0106202690442 +12.4039934850279|  -9.959 -2.588     |9.09     |M0/2                |    ~     ~    
3625|CD-49 7793                                                                                                                                                                                                        |Star                              |13 18 06.9655804584 -50 37 25.767860592|307.2523890607622 +12.0239896093419| -15.484 -4.051     |10.57    |A3                  |    ~     ~    
3626|CD-49 7817                                                                                                                                                                                                        |Star                              |13 19 29.3752702296 -50 22 35.889855276|307.5018921815665 +12.2460355412708| -4.001 -14.558     |10.87    |F5                  |    ~     ~    
3627|CD-49 7833                                                                                                                                                                                                        |High Proper Motion Star           |13 20 34.2534243360 -50 37 36.693570828|307.6476301195845 +11.9779478928499|  53.227 35.102     |10.52    |G                   |    ~     ~    
3628|HD 115854                                                                                                                                                                                                         |Star                              |13 20 41.6514834648 -50 33 51.743464560|307.6748859398894 +12.0377532509684|   -7.229 4.007     |9.49     |K0III               |    ~     ~    
3629|HD 116020                                                                                                                                                                                                         |Star                              |13 21 51.4012088568 -50 27 25.757830584|307.8755200036370 +12.1223825502290|  -8.594 -0.747     |9.75     |G8/K0III            |    ~     ~    
3630|HD 116135                                                                                                                                                                                                         |Double or Multiple Star           |13 22 28.7772459192 -50 27 09.712966176|307.9767341725049 +12.1147404364772| -27.457 -7.853     |8.72     |K1III               |0.0033  0.0    
3631|HD 116134                                                                                                                                                                                                         |Star                              |13 22 31.8116852112 -50 23 49.022879712|307.9919262214799 +12.1690732208430|-30.921 -13.572     |9.60     |A7/9V               |    ~     ~    
3632|HD 116215                                                                                                                                                                                                         |Star                              |13 23 02.3555886144 -50 22 08.030603712|308.0778667949132 +12.1868351243365| -18.858 -8.472     |9.87     |B9/A0V              |    ~     ~    
3633|CD-49 7870                                                                                                                                                                                                        |Star                              |13 23 03.2734470816 -50 29 36.839342472|308.0643805609095 +12.0628413198145|-31.587 -11.067     |10.16    |G0                  |    ~     ~    
3634|CD-49 7876                                                                                                                                                                                                        |Star                              |13 23 28.1244387168 -50 19 21.926658468|308.1533594516785 +12.2239737870848|    7.426 2.805     |9.869    |G5                  |    ~     ~    
3635|HD 116311                                                                                                                                                                                                         |Star                              |13 23 45.2770602600 -50 25 06.621141000|308.1871340546899 +12.1231982471255| -14.088 -2.098     |9.00     |K1III               |    ~     ~    
3636|HD 116453                                                                                                                                                                                                         |Star                              |13 24 39.4238112408 -50 31 54.781686048|308.3176814233194 +11.9921587304614| -16.598 -6.053     |10.22    |A0                  |    ~     ~    
3637|HD 116454                                                                                                                                                                                                         |Star                              |13 24 39.8843505264 -50 34 28.662930840|308.3131744471639 +11.9496244550147|  -30.678 2.483     |8.37     |A2III               |    ~     ~    
3638|HD 115029                                                                                                                                                                                                         |Rotating Variable                 |13 15 16.6683645384 -50 58 07.357960128|306.7611211582167 +11.7257029642421|  2.223 -21.367     |9.117    |G6III               |    ~     ~    
3639|HD 115143                                                                                                                                                                                                         |Star                              |13 16 03.9335325072 -50 53 47.876663292|306.8943759643017 +11.7855401906967| -14.096 -4.842     |8.47     |B8V                 |    ~     ~    
3640|HD 115142                                                                                                                                                                                                         |Star                              |13 16 05.5914198336 -50 48 31.216459752|306.9075797102366 +11.8726560502983| -17.335 -8.594     |8.95     |A0                  |    ~     ~    
3641|HD 115174                                                                                                                                                                                                         |Pulsating Variable                |13 16 14.4989308032 -50 57 18.446178276|306.9167371940670 +11.7246142796410|-36.722 -21.466     |8.57     |A9III/IV            |    ~     ~    
3642|CD-50 7641                                                                                                                                                                                                        |Spectroscopic Binary              |13 17 07.2901966920 -50 45 47.761661520|307.0774690905272 +11.9016326621475|  -18.665 0.425     |10.20    |F8                  |    ~     ~    
3643|CD-50 7644                                                                                                                                                                                                        |Star                              |13 17 19.8580522656 -51 21 13.946386788|307.0493832550104 +11.3107495668064| 10.391 -26.804     |9.89     |G0                  |    ~     ~    
3644|HD 115359                                                                                                                                                                                                         |Star                              |13 17 31.8470327616 -50 48 19.356715080|307.1388159217120 +11.8531131146195| -10.256 -1.714     |9.78     |A0V                 |    ~     ~    
3645|CD-50 7659                                                                                                                                                                                                        |High Proper Motion Star           |13 18 32.1995633208 -50 56 44.221550028|307.2849257288453 +11.6969492587649| -67.075 37.688     |9.72     |G0                  |    ~     ~    
3646|HD 115529                                                                                                                                                                                                         |Star                              |13 18 34.8654803640 -51 17 08.793437280|307.2547728227751 +11.3580041527195|-20.084 -14.082     |6.173    |A0V                 |    ~     ~    
3647|CD-50 7662                                                                                                                                                                                                        |Spectroscopic Binary              |13 18 41.1472092768 -51 17 44.288881224|307.2702903874003 +11.3464424097592|-59.525 -29.335     |9.48     |~                   |    ~     ~    
3648|HD 115550                                                                                                                                                                                                         |Double or Multiple Star           |13 18 43.0149 -50 47 46.683            |307.3302174 +11.8423388            |     -43.2 -1.4     |9.37     |F7IV/V              |    ~     ~    
3649|HD 115688                                                                                                                                                                                                         |Star                              |13 19 36.7432956216 -51 18 00.432578196|307.4166279968310 +11.3261267450442|-35.580 -10.391     |9.53     |F5V                 |    ~     ~    
3650|HD 115743                                                                                                                                                                                                         |Star                              |13 20 00.7666277520 -50 45 23.679552960|307.5427413893283 +11.8591740037673| -19.382 -7.227     |9.26     |F0IV/V              |    ~     ~    
3651|HD 115788                                                                                                                                                                                                         |Star                              |13 20 14.7733518672 -50 59 54.744942624|307.5520602298956 +11.6145953594689| -14.623 -9.267     |9.81     |F3V                 |    ~     ~    
3652|CD-50 7685                                                                                                                                                                                                        |Star                              |13 20 23.6142657864 -51 07 50.728520928|307.5601266310575 +11.4805991887867| -12.789 -4.647     |10.76    |A5                  |    ~     ~    
3653|HD 115804                                                                                                                                                                                                         |Star                              |13 20 25.0165264152 -51 12 50.678182404|307.5541092900831 +11.3974081462039| -12.021 -3.793     |9.84     |B9.5V               |    ~     ~    
3654|HD 115822                                                                                                                                                                                                         |Star                              |13 20 30.1638759096 -50 41 14.987939028|307.6295222297047 +11.9189585863685| 42.469 -17.605     |9.59     |G3V                 |    ~     ~    
3655|CD-50 7689                                                                                                                                                                                                        |Star                              |13 20 41.3539678464 -51 33 19.089319680|307.5571422385420 +11.0535612734728|-45.793 -10.193     |10.15    |G0                  |    ~     ~    
3656|CD-50 7693                                                                                                                                                                                                        |Star                              |13 20 57.6123589824 -51 13 42.321460152|307.6386081093505 +11.3733293772654|   5.612 -0.909     |9.88     |G5                  |    ~     ~    
3657|HD 115914                                                                                                                                                                                                         |Star                              |13 21 05.7370083888 -50 42 02.266425288|307.7232695045876 +11.8950036563721|  -15.139 1.841     |8.91     |K2III               |    ~     ~    
3658|CD-50 7703                                                                                                                                                                                                        |Star                              |13 21 50.5195273512 -51 19 40.462920660|307.7662472862613 +11.2582278553038| -24.750 -4.269     |10.06    |K0                  |    ~     ~    
3659|HD 116038                                                                                                                                                                                                         |Star                              |13 21 57.1295562528 -51 16 56.115101028|307.7892755552482 +11.3014780800053|-29.548 -16.834     |7.08     |A3/4III/IV          |    ~     ~    
3660|CD-50 7710                                                                                                                                                                                                        |Spectroscopic Binary              |13 22 01.4530316544 -50 39 56.532641148|307.8767771078187 +11.9121472978733|  -17.609 1.909     |10.25    |G5                  |    ~     ~    
3661|HD 116100                                                                                                                                                                                                         |Star                              |13 22 22.9124544216 -50 46 19.247880792|307.9209707655100 +11.7997378823212|   7.976 -2.893     |8.96     |K3(III)             |    ~     ~    
3662|CD-50 7717                                                                                                                                                                                                        |Star                              |13 22 49.6395839496 -51 35 16.918331316|307.8891870984373 +10.9813307497717| -8.814 -10.123     |10.13    |A3                  |    ~     ~    
3663|HD 116185                                                                                                                                                                                                         |Star                              |13 22 49.4723597904 -50 47 57.931057608|307.9884461098520 +11.7639117404470|  -5.388 -0.324     |10.25    |A2IV                |    ~     ~    
3664|HD 116339                                                                                                                                                                                                         |Star                              |13 23 57.5618265720 -51 14 12.100963848|308.1128045007718 +11.3076117943746|  -6.219 -1.732     |9.89     |A2V                 |    ~     ~    
3665|CD-50 7737                                                                                                                                                                                                        |Star                              |13 24 02.7109535904 -51 10 21.072545976|308.1348138721739 +11.3695260922730| -13.637 -0.877     |9.91     |K0                  |    ~     ~    
3666|HD 116355                                                                                                                                                                                                         |Star                              |13 24 03.0410867784 -50 41 41.856340524|308.1985061364852 +11.8429940180156|  -25.245 0.678     |9.07     |K0III               |    ~     ~    
3667|CD-50 7742                                                                                                                                                                                                        |Star                              |13 24 20.5776491712 -51 27 50.815010772|308.1434298210938 +11.0743633183349| -16.676 -0.528     |9.40     |K0                  |    ~     ~    
3668|HD 116434                                                                                                                                                                                                         |Double or Multiple Star           |13 24 36.0977360304 -51 30 16.044711840|308.1787572891607 +11.0291200711981|-33.921 -18.917     |6.98     |A2V                 |    ~     ~    
3669|HD 116455                                                                                                                                                                                                         |Star                              |13 24 40.7706906624 -50 52 55.203213864|308.2742872656269 +11.6446093810079|  -4.938 -1.315     |10.34    |B2II                |    ~     ~    
3670|HD 116468                                                                                                                                                                                                         |Star                              |13 24 46.7012999640 -51 07 07.636054692|308.2582477938524 +11.4078333837849| -16.056 -1.492     |10.38    |A2/3(m)A7-A7        |    ~     ~    
