C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:34:18

dec >=0&rah >=8.75&rah< 9.0&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 3764

 #  |                                                                 identifier                                                                 |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
33  |BD+83 231                                                                                                                                   |Star                               |08 59 55.9173219264 +82 58 55.169183964|129.8429947563041 +30.6897786003760|  -9.697 -7.008    |9.99     |K0               |    ~     ~    |    1| 1060.333   pc  | -13.8290    +13.8290  |paral   |2020yCat.1350....0G
34  |BD+82 256                                                                                                                                   |Star                               |08 54 24.0768046968 +82 21 29.019803796|130.5806624544272 +30.8258557594108|   5.328 -8.948    |9.14     |K0               |    ~     ~    |    1|  446.090   pc  |  -2.2089     +2.2089  |paral   |2020yCat.1350....0G
35  |TYC 4547-681-1                                                                                                                              |Star                               |08 57 30.6657685560 +82 20 54.093945588|130.5351778417406 +30.9221486237310|    0.495 2.010    |10.99    |~                |    ~     ~    |    1|  426.457   pc  |  -2.3461     +2.3461  |paral   |2020yCat.1350....0G
36  |TYC 4631-770-1                                                                                                                              |Star                               |08 57 23.3578279488 +83 01 31.891370088|129.8414013474838 +30.6009636789654|   4.940 -1.543    |10.95    |~                |    ~     ~    |    1| 1103.266   pc  | -13.2674    +13.2674  |paral   |2020yCat.1350....0G
37  |TYC 4631-1378-1                                                                                                                             |Star                               |08 53 05.4295251816 +83 14 11.178793824|129.6938229227707 +30.3892318722919|    2.657 1.724    |10.85    |~                |    ~     ~    |    1| 1574.307   pc  | -26.5193    +26.5193  |paral   |2020yCat.1350....0G
38  |TYC 4631-1718-1                                                                                                                             |Star                               |08 55 36.5914252464 +83 39 52.722980496|129.2156252890817 +30.2545901919468|  -1.076 -0.808    |10.81    |~                |    ~     ~    |    1| 1356.484   pc  | -52.8094    +52.8094  |paral   |2020yCat.1350....0G
39  |TYC 4631-2139-1                                                                                                                             |Spectroscopic Binary               |08 45 33.0612793080 +83 47 52.060319016|129.2212030591646 +29.9494943071639|  -1.706 -6.077    |10.97    |~                |    ~     ~    |    0|                |                       |        |                   
40  |TYC 4635-1235-1                                                                                                                             |Star                               |08 50 57.5090048208 +85 02 34.098523152|127.8708967762363 +29.5110496821823|   34.040 9.354    |10.18    |~                |    ~     ~    |    1|  223.444   pc  |  -0.6990     +0.6990  |paral   |2020yCat.1350....0G
41  |TYC 4635-1747-1                                                                                                                             |Star                               |08 49 09.0537684696 +85 22 36.287083596|127.5504322330431 +29.3239205801316|  15.477 -2.305    |10.85    |~                |    ~     ~    |    1| 1093.494   pc  | -12.7943    +12.7943  |paral   |2020yCat.1350....0G
42  |HD 72355                                                                                                                                    |Star                               |08 45 31.3207862712 +82 19 42.981925944|130.7616190802819 +30.5726351618149|-13.460 -34.950    |8.59     |F5               |    ~     ~    |    1|  247.592   pc  |  -0.9808     +0.9808  |paral   |2020yCat.1350....0G
43  |HD 72520                                                                                                                                    |Star                               |08 46 22.7333383368 +82 14 21.424573824|130.8417799699519 +30.6362376678782| -8.169 -19.695    |6.880    |A0               |    ~     ~    |    1|  206.556   pc  |  -1.6597     +1.6597  |paral   |2020yCat.1350....0G
44  |BD+82 255                                                                                                                                   |Spectroscopic Binary               |08 52 08.1933911544 +81 56 00.422663244|131.0633704716613 +30.9469760135028|   2.358 -1.093    |10.19    |K0               |    ~     ~    |    1|  872.372   pc  | -20.8523    +20.8523  |paral   |2020yCat.1350....0G
45  |BD+82 254                                                                                                                                   |High Proper Motion Star            |08 46 41.0482934376 +81 39 23.787433008|131.4521714509866 +30.8902566657314|-66.518 -34.918    |10.41    |K0               |    ~     ~    |    1|  488.806   pc  | -36.4849    +36.4849  |paral   |2020yCat.1350....0G
46  |BD+78 296                                                                                                                                   |Star                               |08 57 56.8753026720 +78 18 58.900272588|134.7632972518005 +32.7549738184915|-22.288 -18.849    |9.83     |K0               |    ~     ~    |    1|  667.468   pc  |  -5.3016     +5.3016  |paral   |2020yCat.1350....0G
47  |HD 74855                                                                                                                                    |Star                               |08 58 11.6438665728 +81 49 45.937102188|131.0583589849938 +31.1847480435459|  5.841 -28.832    |8.84     |K0               |    ~     ~    |    1|  204.323   pc  |  -1.6741     +1.6741  |paral   |2020yCat.1350....0G
48  |BD+81 267                                                                                                                                   |Star                               |08 45 06.0075956280 +80 42 49.108681440|132.4851513235641 +31.2216024916732|  -1.039 -2.611    |10.51    |K0               |    ~     ~    |    1| 1080.264   pc  | -14.7038    +14.7038  |paral   |2020yCat.1350....0G
49  |HD 72940                                                                                                                                    |Star                               |08 46 41.7151144584 +81 01 34.621404672|132.1212612815288 +31.1520372934406| -33.580 10.509    |9.26     |G5               |    ~     ~    |    1|  251.036   pc  |  -2.4766     +2.4766  |paral   |2020yCat.1350....0G
50  |HD 73530                                                                                                                                    |Spectroscopic Binary               |08 49 13.4629265712 +80 29 18.815284932|132.6446363157195 +31.4674803400085|-31.176 -34.886    |8.34     |A5               |    ~     ~    |    1|  212.612   pc  |  -2.3642     +2.3642  |paral   |2020yCat.1350....0G
51  |BD+81 271                                                                                                                                   |High Proper Motion Star            |08 54 57.0740149200 +80 42 08.901539748|132.3000442749691 +31.5866604371999|-95.903 -36.064    |10.14    |F8               |    ~     ~    |    1|  174.362   pc  |  -0.3983     +0.3983  |paral   |2020yCat.1350....0G
52  |HD 74775                                                                                                                                    |Star                               |08 56 18.7168213608 +80 44 21.770353140|132.2325535776902 +31.6193209815046|  -1.184 -2.017    |9.74     |A                |    ~     ~    |    1|  461.617   pc  | -11.8052    +11.8052  |paral   |2020yCat.1350....0G
53  |HD 75089                                                                                                                                    |Double or Multiple Star            |08 58 48.8647086696 +81 17 07.284289848|131.6101101050289 +31.4574519782838|   -9.923 8.878    |7.73     |F0               |0.0017  0.0    |    1|  158.854   pc  |  -2.6774     +2.6774  |paral   |2020yCat.1350....0G
54  |HD 75228                                                                                                                                    |Star                               |08 59 07.9464845256 +80 47 38.535006552|132.1149609083588 +31.6952736979187|  -1.460 -7.481    |8.78     |G5               |    ~     ~    |    1|  426.403   pc  |  -2.4000     +2.4000  |paral   |2020yCat.1350....0G
55  |BD+80 265                                                                                                                                   |High Proper Motion Star            |08 46 54.580800 +79 52 39.41508        |133.345943374 +31.628061943        |    -50.2 -47.0    |10.320   |G5               |    ~     ~    |    0|                |                       |        |                   
56  |TYC 4543-345-1                                                                                                                              |Star                               |08 46 41.5827422184 +79 54 56.752265052|133.3094212317954 +31.6040136524127|  7.470 -14.836    |10.57    |K0               |    ~     ~    |    1|  441.228   pc  |  -2.1220     +2.1220  |paral   |2020yCat.1350....0G
57  |HD 73795                                                                                                                                    |Double or Multiple Star            |08 50 26.4513341136 +80 27 49.899886416|132.6461423500949 +31.5235189304469|-36.171 -32.031    |8.81     |F0               |0.0083  0.0    |    1|  218.684   pc  |  -7.3073     +7.3073  |paral   |2020yCat.1350....0G
58  |HD 74047                                                                                                                                    |Star                               |08 51 21.4334414904 +80 00 31.727905956|133.1113906712603 +31.7508458896836|  -8.121 -5.320    |8.69     |F0               |    ~     ~    |    1|  598.086   pc  |  -5.6875     +5.6875  |paral   |2020yCat.1350....0G
59  |HD 74776                                                                                                                                    |Star                               |08 55 33.2936449752 +80 01 48.933845868|132.9964220953319 +31.9057545420393| -22.963 -6.787    |7.57     |A0               |    ~     ~    |    1|  232.758   pc  |  -1.5007     +1.5007  |paral   |2020yCat.1350....0G
60  |HD 73309                                                                                                                                    |High Proper Motion Star            |08 47 17.4342290784 +79 39 41.285291760|133.5704579173516 +31.7305358683865|-69.224 -76.704    |8.61     |G0               |    ~     ~    |    1|  103.645   pc  |  -0.1719     +0.1719  |paral   |2020yCat.1350....0G
61  |BD+80 271                                                                                                                                   |Star                               |08 55 09.2533990560 +79 48 23.588687232|133.2425342099039 +31.9878510206599|   8.724 -6.122    |9.84     |K0               |    ~     ~    |    1|  704.722   pc  |  -4.9663     +4.9663  |paral   |2020yCat.1350....0G
62  |BD+80 274                                                                                                                                   |Star                               |08 55 37.3665935592 +79 42 47.876994036|133.3307890699475 +32.0472670773448|  -6.035 -1.870    |9.29     |G5               |    ~     ~    |    1|  533.163   pc  |  -3.0132     +3.0132  |paral   |2020yCat.1350....0G
63  |HD 75575                                                                                                                                    |Star                               |08 59 42.7849589568 +79 29 04.586592372|133.4760364555198 +32.3142210032794| -18.210 21.600    |8.88     |G0               |    ~     ~    |    1|   61.401   pc  |  -0.0422     +0.0422  |paral   |2020yCat.1350....0G
64  |BD+79 282                                                                                                                                   |High Proper Motion Star            |08 46 21.2493560256 +79 24 11.373900840|133.8689796876713 +31.7946494607761|-80.908 -74.074    |9.93     |G5               |    ~     ~    |    1|  128.246   pc  |  -0.4457     +0.4457  |paral   |2020yCat.1350....0G
65  |BD+79 283                                                                                                                                   |Star                               |08 48 23.0939168016 +79 09 10.146994920|134.0949163300701 +31.9811656941037| -8.580 -15.336    |9.28     |G5               |    ~     ~    |    1|  739.317   pc  | -61.2727    +61.2727  |paral   |2020yCat.1350....0G
66  |BD+79 284                                                                                                                                   |Star                               |08 50 12.6975477144 +78 51 33.063185484|134.3702560611848 +32.1796039520827|  -8.104 -7.918    |9.82     |G5               |    ~     ~    |    1|  603.173   pc  |  -4.0020     +4.0020  |paral   |2020yCat.1350....0G
67  |BD+79 285                                                                                                                                   |Star                               |08 50 41.2734657720 +78 52 23.327023512|134.3441096115015 +32.1948983270840|   0.892 -2.838    |10.13    |K0               |    ~     ~    |    1|  852.297   pc  | -16.5621    +16.5621  |paral   |2020yCat.1350....0G
68  |BD+79 287                                                                                                                                   |Star                               |08 50 43.0280446392 +78 44 49.587924696|134.4794074932044 +32.2476842698172|    1.584 6.915    |10.09    |F5               |    ~     ~    |    1|  263.623   pc  |  -0.9591     +0.9591  |paral   |2020yCat.1350....0G
69  |BD+79 288                                                                                                                                   |Double or Multiple Star            |08 52 41.2166844144 +78 49 18.680424996|134.3521489124825 +32.3041159020682|   3.154 -2.561    |10.176   |K0               |    ~     ~    |    1|  544.484   pc  |  -6.9965     +6.9965  |paral   |2020yCat.1350....0G
70  |BD+79 289                                                                                                                                   |Star                               |08 53 29.5830562152 +78 58 21.989599320|134.1708174743999 +32.2760985611834|   4.762 14.752    |10.10    |G5               |    ~     ~    |    1|  375.714   pc  |  -1.4963     +1.4963  |paral   |2020yCat.1350....0G
71  |BD+79 290                                                                                                                                   |Star                               |08 56 49.5287037072 +78 52 31.515881988|134.1939332895454 +32.4624070796564|  -2.518 -0.418    |9.59     |K0               |    ~     ~    |    1| 1663.894   pc  | -45.1272    +45.1272  |paral   |2020yCat.1350....0G
72  |BD+79 291                                                                                                                                   |Star                               |08 58 35.5916897232 +78 51 52.568515044|134.1611938355939 +32.5438447145693|   -1.341 8.656    |9.71     |G5               |    ~     ~    |    1|  409.366   pc  |  -2.2623     +2.2623  |paral   |2020yCat.1350....0G
73  |V* RS Cam                                                                                                                                   |Long-Period Variable               |08 50 49.5756494664 +78 57 41.412045888|134.2456621277731 +32.1647608128287|  2.420 -20.510    |8.73     |M4III            |    ~     ~    |    1|  642.178   pc  | -13.0316    +13.0316  |paral   |2020yCat.1350....0G
74  |TYC 4543-332-1                                                                                                                              |Spectroscopic Binary               |08 50 45.5354308416 +79 54 53.159182416|133.2246404457027 +31.7667259933512|  -2.346 -3.461    |10.71    |~                |    ~     ~    |    1|  403.584   pc  |  -3.4531     +3.4531  |paral   |2020yCat.1350....0G
75  |TYC 4543-456-1                                                                                                                              |Star                               |08 51 45.1797711048 +79 50 05.402898528|133.2883647447005 +31.8399717504791|    4.213 1.398    |10.51    |~                |    ~     ~    |    1| 1445.296   pc  | -24.0221    +24.0221  |paral   |2020yCat.1350....0G
76  |TYC 4543-720-1                                                                                                                              |Star                               |08 49 59.3548738968 +79 37 15.854272140|133.5556780271836 +31.8577785924410|-10.064 -12.696    |10.93    |~                |    ~     ~    |    1|  404.875   pc  |  -1.9179     +1.9179  |paral   |2020yCat.1350....0G
77  |TYC 4543-849-1                                                                                                                              |Star                               |08 47 33.4287818160 +79 30 53.209282752|133.7227257526620 +31.8005543697795|    3.641 4.260    |10.82    |~                |    ~     ~    |    1|  411.083   pc  | -10.5280    +10.5280  |paral   |2020yCat.1350....0G
78  |TYC 4544-774-1                                                                                                                              |High Proper Motion Star            |08 57 16.8706956936 +79 33 06.189471396|133.4634524514910 +32.1852867314895|-26.657 -48.224    |10.45    |~                |    ~     ~    |    1|  214.934   pc  |  -0.5497     +0.5497  |paral   |2020yCat.1350....0G
79  |TYC 4544-840-1                                                                                                                              |Star                               |08 54 52.0614316512 +79 26 38.104859040|133.6347350890396 +32.1334205345501|-23.458 -21.492    |10.96    |~                |    ~     ~    |    1|  182.515   pc  |  -0.4131     +0.4131  |paral   |2020yCat.1350....0G
80  |TYC 4544-929-1                                                                                                                              |Star                               |08 58 06.3398485920 +79 25 28.809008472|133.5783940271969 +32.2752980254151|  -0.600 -4.507    |10.68    |~                |    ~     ~    |    1|  964.413   pc  | -12.1842    +12.1842  |paral   |2020yCat.1350....0G
81  |V* V499 Cam                                                                                                                                 |Spectroscopic Binary               |08 54 24.3515219616 +79 40 53.904090648|133.3922928668260 +32.0119962348865|-93.908 -50.336    |10.55    |~                |    ~     ~    |    1|  124.743   pc  |  -0.2023     +0.2023  |paral   |2020yCat.1350....0G
82  |TYC 4546-57-1                                                                                                                               |High Proper Motion Star            |08 49 23.1698367504 +80 01 47.887008780|133.1307735994609 +31.6644205513553| 34.287 -37.103    |10.75    |~                |    ~     ~    |    1|  296.191   pc  |  -0.9475     +0.9475  |paral   |2020yCat.1350....0G
83  |TYC 4546-66-1                                                                                                                               |Star                               |08 45 53.2716714048 +80 20 31.082083116|132.8680828282447 +31.4009293674156|  -1.824 -4.427    |10.95    |~                |    ~     ~    |    1|  473.687   pc  | -16.0655    +16.0655  |paral   |2020yCat.1350....0G
84  |TYC 4546-80-1                                                                                                                               |Star                               |08 52 31.7333061576 +80 21 36.040862484|132.7129376511070 +31.6464281777993| -8.541 -10.412    |10.22    |~                |    ~     ~    |    1|  754.831   pc  |  -6.7803     +6.7803  |paral   |2020yCat.1350....0G
85  |TYC 4546-124-1                                                                                                                              |Star                               |08 49 27.1796566152 +80 10 10.987121244|132.9800272099105 +31.6090479766056| -2.707 -25.539    |10.03    |~                |    ~     ~    |    1|  252.972   pc  |  -0.7551     +0.7551  |paral   |2020yCat.1350....0G
86  |TYC 4546-189-1                                                                                                                              |Star                               |08 52 16.7020086648 +81 42 27.755012412|131.2971162696546 +31.0510905419616|-23.519 -28.915    |10.93    |~                |    ~     ~    |    1|  691.802   pc  |  -5.4559     +5.4559  |paral   |2020yCat.1350....0G
87  |TYC 4547-74-1                                                                                                                               |Star                               |08 57 13.1627920128 +80 13 51.430283112|132.7473066225144 +31.8806735042521|   2.937 -0.874    |10.79    |~                |    ~     ~    |    1|  556.886   pc  |  -4.3417     +4.3417  |paral   |2020yCat.1350....0G
