C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:58:43

dec< 0&rah >=23.75&rah< 24.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 2512

 #  |                              identifier                              |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
67  |CD-44 15391                                                           |Star                               |23 54 05.7420391272 -43 33 24.772005072|334.4056938604537 -69.8992921784554|  22.634 -4.361   |10.16    |~              |    ~     ~    |    1|  915.499   pc  | -15.9246    +15.9246    |paral   |2020yCat.1350....0G
68  |HD 223680                                                             |Star                               |23 51 43.3019478624 -44 44 50.126378784|333.1917907896086 -68.7099980370762|  30.601 -0.429   |10.26    |F2V            |    ~     ~    |    1|  333.885   pc  |  -6.6050     +6.6050    |ST-L    |2020AJ....160...83S
69  |HD 223923                                                             |High Proper Motion Star            |23 53 44.4215875944 -44 56 03.513237180|332.0978076296912 -68.7861772012416| -42.190 88.357   |9.33     |F5/6V          |    ~     ~    |    1|   95.993   pc  |  -0.5064     +0.5064    |ST-L    |2020AJ....160...83S
70  |HD 224286                                                             |High Proper Motion Star            |23 56 38.7607545192 -44 43 08.684220540|331.3139063056758 -69.2689245042721|161.830 -75.330   |9.34     |K0IV/V+A/F     |    ~     ~    |    1|   85.420   pc  |  -0.2386     +0.2386    |paral   |2020yCat.1350....0G
71  |IDS 23520-4524 AB                                                     |Double or Multiple Star            |23 57 10.9 -44 51 35                   |330.8630 -69.2118                  |            ~ ~   |9.7      |K0             |    ~     ~    |    0|                |                         |        |                   
72  |CD-45 15193                                                           |Star                               |23 59 10.0117941816 -44 53 41.581146624|329.9947098177301 -69.3870839183767| 28.221 -33.044   |10.58    |~              |    ~     ~    |    1|  149.885   pc  |  -1.8893     +1.8893    |paral   |2020yCat.1350....0G
73  |TYC 8018-569-1                                                        |Star                               |23 54 14.4952438416 -42 19 30.836692776|336.7501128060472 -70.8469088824826|  -1.948 -2.737   |10.941   |~              |    ~     ~    |    1|  458.580   pc  | -13.6900    +13.6900    |ST-L    |2020AJ....160...83S
74  |TYC 8021-308-1                                                        |Star                               |23 57 43.4835960120 -43 51 15.508121400|332.3657290879697 -70.0761671594731|  3.596 -18.183   |10.675   |~              |    ~     ~    |    1|  573.310   pc  | -21.9100    +21.9100    |ST-L    |2020AJ....160...83S
75  |TYC 8021-443-1                                                        |High Proper Motion Star            |23 59 23.8571162472 -43 02 14.173606788|333.1362763658376 -70.9089721018707|  77.580 39.447   |10.68    |~              |    ~     ~    |    1|  159.307   pc  |  -0.4517     +0.4517    |paral   |2020yCat.1350....0G
76  |GSC 08021-00935                                                       |Long-Period Variable Candidate     |23 53 52.4560903440 -44 44 17.235878892|332.3801971449906 -68.9555633348707|  12.139 -8.869   |10.88    |~              |    ~     ~    |    1| 2263.98    pc  |-159.406    +159.406     |paral   |2020yCat.1350....0G
77  |TYC 8021-994-1                                                        |Star                               |23 56 54.7280596872 -44 55 49.753501644|330.8544037575431 -69.1264829472557|  23.646 14.298   |10.84    |~              |    ~     ~    |    1|  424.196   pc  | -14.4134    +14.4134    |paral   |2020yCat.1350....0G
78  |TYC 8021-1078-1                                                       |High Proper Motion Star            |23 55 10.8820140600 -44 53 16.784779308|331.6136164341838 -68.9780241474673|  49.851 -9.841   |10.940   |~              |    ~     ~    |    1|  237.057   pc  |  -3.7450     +3.7450    |ST-L    |2020AJ....160...83S
79  |HD 223010                                                             |Star                               |23 45 59.4812218560 -39 44 52.983163608|345.8807954795268 -71.4650488341371| -27.098 -2.505   |9.24     |G3/5V          |    ~     ~    |    1|  159.778   pc  |  -0.3880     +0.3880    |paral   |2020yCat.1350....0G
80  |HD 222987                                                             |Pulsating Variable                 |23 45 50.6931053952 -41 04 39.925133004|342.7734922901579 -70.5992817325795|  10.612 15.630   |8.90     |A9IV/V         |    ~     ~    |    1|  263.123   pc  |  -1.3085     +1.3085    |paral   |2020yCat.1350....0G
81  |HD 223064                                                             |Star                               |23 46 32.9779429608 -40 40 28.113615804|343.4404085006101 -70.9628638564741|  29.643 23.153   |9.31     |G8III/IV       |    ~     ~    |    1|  397.772   pc  |  -2.3101     +2.3101    |paral   |2020yCat.1350....0G
82  |HD 223122                                                             |Star                               |23 46 55.8387517632 -40 42 49.072824648|343.2051860947561 -70.9923785306883| 16.876 -13.173   |9.91     |F5V            |    ~     ~    |    1|  375.799   pc  |  -2.6268     +2.6268    |paral   |2020yCat.1350....0G
