C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:58:43

dec< 0&rah >=23.75&rah< 24.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 2512

 #  |                              identifier                              |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
932 |NGC 7754                           NGC 7754                           |Galaxy                             |23 49 11.1 -16 36 07                   |065.8836 -72.1571                  |            ~ ~   |     ~   |~              | 0.68  0.30    |    0|                |                         |        |                   
933 |HD 223809                                                             |Star                               |23 52 50.3949743760 -16 42 54.948619296|067.4435560704731 -72.9053482147101|   45.314 3.641   |9.16     |F0V            |    ~     ~    |    1|  186.289   pc  |  -0.5691     +0.5691    |paral   |2020yCat.1350....0G
934 |BD-17 6845                                                            |Star                               |23 55 46.2425582376 -16 51 53.286041196|068.6273736477114 -73.5359514774334|  12.968 -8.020   |10.636   |~              |    ~     ~    |    1| 1014.540   pc  | -73.7100    +73.7100    |ST-L    |2020AJ....160...83S
935 |BD-17 6857                                                            |Star                               |23 59 35.7646698576 -16 40 00.612306444|071.3568406777440 -74.0824871025382| -9.626 -22.308   |9.87     |~              |    ~     ~    |    1|  204.257   pc  |  -0.8136     +0.8136    |paral   |2020yCat.1350....0G
936 |HD 223349                                                             |Star                               |23 48 55.3734815544 -14 09 34.449679944|071.4707859692834 -70.4907332361053|  0.402 -47.847   |9.43     |F5V            |    ~     ~    |    1|  185.233   pc  |  -0.8132     +0.8132    |paral   |2020yCat.1350....0G
937 |HD 223395                                                             |Star                               |23 49 11.8902180048 -14 55 08.965041492|069.9330080230908 -71.0609105173889|  1.553 -15.541   |8.91     |K0III          |    ~     ~    |    1|  401.075   pc  |  -3.5872     +3.5872    |paral   |2020yCat.1350....0G
938 |HD 223448                                                             |Star                               |23 49 40.4802993312 -14 46 41.387009268|070.4925771328108 -71.0493001882602|  7.458 -28.950   |8.89     |K2III          |    ~     ~    |    1|  577.034   pc  |  -7.3586     +7.3586    |paral   |2020yCat.1350....0G
939 |HD 223489                                                             |Star                               |23 49 56.9224828680 -14 20 10.124904084|071.6108689221048 -70.7920769341801| 19.169 -13.262   |8.10     |F0V            |    ~     ~    |    1|  284.204   pc  |  -4.4667     +4.4667    |paral   |2020yCat.1350....0G
940 |HD 223542                                                             |Star                               |23 50 26.8911969696 -14 34 44.644128600|071.3337632708330 -71.0478634631014|  -8.239 21.838   |6.66     |K3III          |    ~     ~    |    1|  250.664   pc  |  -1.7279     +1.7279    |paral   |2020yCat.1350....0G
941 |HD 223543                                                             |Star                               |23 50 27.6829514592 -14 59 01.354843428|070.4297520105143 -71.3285312112740|  22.941 -7.485   |7.50     |A2mA3/5-F0     |    ~     ~    |    1|  106.04    pc  |  -0.7061     +0.7061    |paral   |2018yCat.1345....0G
942 |HD 223559                                                             |Star                               |23 50 33.2847849240 -14 24 05.389129656|071.7804789598306 -70.9428150716264| 37.330 -21.696   |5.691    |K4.5IIIb       |    ~     ~    |    1|  181.611   pc  |  -6.8290     +6.8290    |ST-L    |2020AJ....160...83S
943 |HD 223560                                                             |Double or Multiple Star            |23 50 36.4192951333 -14 28 19.128899658|071.6526770240650 -71.0010533290353| 20.347 -16.443   |9.897    |A9/F2V         |    ~     ~    |    1|  290.833   pc  | -55.9400    +55.9400    |ST-L    |2020AJ....160...83S
944 |HD 223428                                                             |High Proper Motion Star            |23 49 31.6092924456 -15 51 40.588815204|067.8911376676453 -71.7465097136980| 51.736 -29.975   |6.213    |K2IIIbFe-0.5   |    ~     ~    |    1|  157.178   pc  |  -0.9610     +0.9610    |paral   |2020yCat.1350....0G
945 |HD 223585                                                             |Star                               |23 50 49.7644056768 -16 07 26.278807404|067.9060690907897 -72.1551429482693|  -3.820 -7.230   |9.499    |G8/K0III       |    ~     ~    |    1|  450.120   pc  | -15.0200    +15.0200    |ST-L    |2020AJ....160...83S
946 |HD 223350                                                             |Star                               |23 48 54.1629325176 -16 29 43.643336604|066.0151269922710 -72.0375538235454|  -6.156 17.508   |9.97     |K1(III)        |    ~     ~    |    1|  572.607   pc  |  -5.3444     +5.3444    |paral   |2020yCat.1350....0G
947 |HD 223376                                                             |High Proper Motion Star            |23 49 07.7014942920 -16 15 43.590828456|066.7100117648096 -71.9317440276106| 46.198 -19.412   |8.45     |K0III          |    ~     ~    |    1|  321.172   pc  |  -2.2074     +2.2074    |paral   |2020yCat.1350....0G
948 |NGC 7759                           NGC 7759                           |Galaxy                             |23 48 54.6832270680 -16 32 28.098747744|065.9039800675595 -72.0678552242605|            ~ ~   |     ~   |~              |0.877 0.631    |    0|                |                         |        |                   
949 |NGC 7759A                          MCG-03-60-019                      |Low Surface Brightness Galaxy      |23 48 56.9 -16 32 25                   |065.9242 -72.0742                  |            ~ ~   |     ~   |~              | 0.79  0.20    |    0|                |                         |        |                   
950 |BD-16 6372                                                            |Star                               |23 49 25.6447701960 -15 19 50.409941484|069.1022882165749 -71.3785334709266| 28.699 -18.664   |10.469   |~              |    ~     ~    |    1|  329.460   pc  |  -8.5100     +8.5100    |ST-L    |2020AJ....160...83S
951 |BD-17 6826                                                            |High Proper Motion Star            |23 49 27.1769071200 -16 14 36.733595244|066.9167436923684 -71.9798429479954|-17.189 -57.982   |10.65    |~              |    ~     ~    |    1|  231.074   pc  |  -6.7890     +6.7890    |ST-L    |2020AJ....160...83S
952 |BD-16 6375                                                            |Star                               |23 49 49.3200640800 -15 33 03.707382348|068.7830797353637 -71.5960834346926| -1.372 -16.010   |10.91    |~              |    ~     ~    |    1|  401.058   pc  | -11.8600    +11.8600    |ST-L    |2020AJ....160...83S
953 |BD-17 6828                                                            |Star                               |23 50 45.4712454288 -16 20 31.305669648|067.3253676915215 -72.2832063380804|    6.062 6.161   |10.500   |~              |    ~     ~    |    1|  180.385   pc  |  -2.7740     +2.7740    |ST-L    |2020AJ....160...83S
954 |BD-17 6829                                                            |High Proper Motion Star            |23 50 59.2348173168 -16 12 46.454813424|067.7655673979195 -72.2417525409739| 104.618 -0.221   |10.65    |~              |    ~     ~    |    1|  205.670   pc  |  -4.1690     +4.1690    |ST-L    |2020AJ....160...83S
955 |BD-15 6509                                                            |Star                               |23 51 07.1531513208 -15 01 18.396061716|070.6831529953693 -71.4704840996093|   5.983 -4.189   |10.89    |~              |    ~     ~    |    1|  161.420   pc  |  -2.5840     +2.5840    |ST-L    |2020AJ....160...83S
956 |BD-17 6830                                                            |Star                               |23 51 13.8874359624 -16 29 30.665854896|067.1872385768202 -72.4664997860629|   13.570 0.848   |10.075   |~              |    ~     ~    |    1| 1476.700   pc  |-190.9000   +190.9000    |ST-L    |2020AJ....160...83S
957 |BD-15 6504                                                            |Star                               |23 50 07.0867186776 -14 17 50.097050988|071.7826017551423 -70.7943198134122|   3.869 -9.588   |10.27    |~              |    ~     ~    |    1| 2549.070   pc  |-196.8820   +196.8820    |paral   |2020yCat.1350....0G
958 |BD-16 6371                                                            |High Proper Motion Star            |23 49 01.1513314032 -16 10 56.298215244|066.8538752426764 -71.8606322050283|171.325 -12.584   |9.86     |~              |    ~     ~    |    1|   74.322   pc  |  -0.1232     +0.1232    |paral   |2020yCat.1350....0G
959 |HD 223808                                                             |High Proper Motion Star            |23 52 49.9960921776 -14 05 05.493853320|073.6710090197546 -71.1079544598383|  73.468 33.759   |8.52     |F2V            |    ~     ~    |    1|  120.573   pc  |  -0.4056     +0.4056    |paral   |2020yCat.1350....0G
960 |HD 223774                                                             |High Proper Motion Star            |23 52 29.9906646456 -14 15 04.361833296|073.1327086987782 -71.1705947658294| -95.869 -2.202   |5.848    |K2III          |    ~     ~    |    1|  110.072   pc  |  -0.5355     +0.5355    |paral   |2020yCat.1350....0G
961 |HD 224134                                                             |Star                               |23 55 30.3469658616 -14 50 42.537134904|073.4594702533280 -72.1040085105386|   36.758 1.567   |9.50     |F7/8V          |    ~     ~    |    1|  301.241   pc  |  -1.9329     +1.9329    |paral   |2020yCat.1350....0G
962 |BD-15 6524                                                            |Star                               |23 57 57.7757523792 -14 40 38.517836196|075.2492561274289 -72.3925600320678|  9.096 -27.540   |10.10    |F2             |    ~     ~    |    1|  273.224   pc  |  -2.4560     +2.4560    |paral   |2020yCat.1350....0G
963 |BD-16 6378                                                            |High Proper Motion Star            |23 51 37.6594444488 -15 21 44.146936656|070.1578134947715 -71.7923127911808|-76.260 -40.391   |9.95     |G0             |    ~     ~    |    1|  180.116   pc  |  -2.5820     +2.5820    |ST-L    |2020AJ....160...83S
964 |BD-16 6385                                                            |Star                               |23 54 19.5587588568 -15 38 19.501056636|070.9427137914378 -72.4563733091565| 17.113 -15.351   |9.28     |K0             |    ~     ~    |    1|  471.854   pc  |  -3.5178     +3.5178    |paral   |2020yCat.1350....0G
965 |HD 224512                                                             |Double or Multiple Star            |23 58 34.3868916 -14 07 30.246384      |076.8229947716 -72.0820931207      |   -22.64 11.42   |7.27     |F2V            |0.0033  0.0    |    1|  120.926   pc  | +38.911     +15         |ST-L    |2017AJ....153...75K
966 |BD-16 6382                                                            |Star                               |23 53 27.9782966688 -15 19 06.575301372|071.2387407738881 -72.0857798271407|   15.734 3.229   |10.74    |A7             |    ~     ~    |    1|  444.504   pc  |  -4.5642     +4.5642    |paral   |2020yCat.1350....0G
967 |BD-16 6381                                                            |Star                               |23 53 17.2475569584 -16 00 02.946712248|069.4951741860439 -72.5176669972110|  5.156 -12.059   |9.86     |K5             |    ~     ~    |    1| 1276.813   pc  | -35.3765    +35.3765    |paral   |2020yCat.1350....0G
968 |BD-16 6383                                                            |Star                               |23 53 45.2680437576 -15 51 54.306841896|070.0807782799970 -72.5095982346145|   1.217 -2.237   |10.064   |G0             |    ~     ~    |    1|  166.482   pc  |  -2.4140     +2.4140    |ST-L    |2020AJ....160...83S
969 |G 158-12                                                              |High Proper Motion Star            |23 57 14.3816856359 -16 30 27.366065004|070.3955228608417 -73.5605844921891|397.900 265.256   |10.947   |K7V            |    ~     ~    |    1|   36.6987  pc  |  -0.0251     +0.0251    |paral   |2020yCat.1350....0G
970 |HD 224374                                                             |Eruptive Variable                  |23 57 23.1674944056 -16 05 44.484191844|071.5347957108769 -73.3048788147115|   54.021 2.889   |9.44     |G0V            |    ~     ~    |    1|  123.824   pc  |  -0.2790     +0.2790    |paral   |2020yCat.1350....0G
971 |HD 224374B                                                            |High Proper Motion Star            |23 57 23.3017369152 -16 05 29.918871636|071.5462797762900 -73.3024762061860|   54.571 2.338   |10.76    |K0V            |    ~     ~    |    1|  123.483   pc  |  -0.2836     +0.2836    |paral   |2020yCat.1350....0G
972 |* 1 Cet                                                               |High Proper Motion Star            |23 58 21.2249798328 -15 50 50.941046580|072.7184202061721 -73.2988252340428|  82.986 -7.951   |6.276    |K1IIICNII      |    ~     ~    |    1|  163.116   pc  |  -2.2120     +2.2120    |ST-L    |2020AJ....160...83S
973 |HD 223729                                                             |Star                               |23 52 14.3697911664 -16 23 53.007996444|067.9456654906435 -72.5904707092377|  40.131 24.352   |9.17     |G8III          |    ~     ~    |    1|  487.234   pc  |  -4.7954     +4.7954    |paral   |2020yCat.1350....0G
974 |BD-17 6835                                                            |Red Giant Branch star Candidate    |23 52 30.0184565328 -16 18 34.048009728|068.3064129259463 -72.5800997323901|-20.279 -16.382   |9.65     |K5             |    ~     ~    |    1|  571.853   pc  |  -6.2460     +6.2460    |paral   |2020yCat.1350....0G
975 |V* LV Aqr                                                             |Long-Period Variable               |23 52 41.4007747416 -16 22 29.032589352|068.2407309090357 -72.6572153731753|-26.601 -17.834   |9.07     |M2III          |    ~     ~    |    1|  574.713   pc  | -12.1879    +12.1879    |paral   |2020yCat.1350....0G
976 |BD-17 6838                                                            |High Proper Motion Star            |23 52 57.0369325536 -16 28 49.911496968|068.1081197069176 -72.7736038216501|-63.385 -36.304   |9.57     |G5             |    ~     ~    |    1|  177.749   pc  |  -2.6040     +2.6040    |ST-L    |2020AJ....160...83S
977 |BD-17 6849                                                            |Star                               |23 56 46.0889675424 -16 23 27.440323980|070.4286070184884 -73.3984097310558| 27.342 -12.639   |9.94     |K0             |    ~     ~    |    1|  562.366   pc  |  -4.7122     +4.7122    |paral   |2020yCat.1350....0G
978 |BD-17 6855                                                            |Star                               |23 59 08.2854761160 -16 13 12.922117716|072.2459171703807 -73.6943775682848|  11.425 -0.903   |9.77     |F5             |    ~     ~    |    1|  312.026   pc  | -41.4700    +41.4700    |ST-L    |2020AJ....160...83S
979 |V* Z Aqr                                                              |Mira Variable                      |23 52 14.6208900168 -15 51 16.642020312|069.3010960708874 -72.2332651659783|  9.521 -14.984   |9.50     |M1/2Ib/II      |    ~     ~    |    1| 1058.089   pc  | -40.8637    +40.8637    |paral   |2020yCat.1350....0G
980 |BD-15 6510                                                            |Star                               |23 51 36.3230811216 -14 26 38.662774224|072.2358519908478 -71.1541248768336|  18.066 -4.138   |10.551   |~              |    ~     ~    |    1|  270.373   pc  |  -9.2720     +9.2720    |ST-L    |2020AJ....160...83S
981 |BD-15 6511                                                            |Star                               |23 51 40.5776736960 -14 49 42.302676864|071.4151927832257 -71.4347508892307|  6.048 -25.096   |9.89     |~              |    ~     ~    |    1|  599.341   pc  | -23.2700    +23.2700    |ST-L    |2020AJ....160...83S
982 |BD-17 6831                                                            |Star                               |23 51 41.2432107936 -16 20 51.979785036|067.7866363586330 -72.4571081859942|  7.920 -11.429   |10.71    |~              |    ~     ~    |    1| 1082.430   pc  | -53.9600    +53.9600    |ST-L    |2020AJ....160...83S
983 |BD-15 6514                                                            |Star                               |23 52 19.0564749144 -14 16 43.593956400|072.9753801915258 -71.1592148444170|    7.129 0.890   |10.333   |~              |    ~     ~    |    1|  846.787   pc  | -59.7500    +59.7500    |ST-L    |2020AJ....160...83S
984 |BD-14 6566                                                            |Spectroscopic Binary               |23 52 30.5455388328 -14 05 49.964604720|073.4704307933577 -71.0620877071473| 44.896 -50.896   |10.30    |~              |    ~     ~    |    1|   99.266   pc  |  -0.6947     +0.6947    |paral   |2020yCat.1350....0G
985 |BD-15 6517                                                            |Star                               |23 52 47.7679552632 -14 37 20.547171912|072.4738384135401 -71.4843042767853|  24.354 -8.908   |10.89    |~              |    ~     ~    |    1|  230.771   pc  |  -1.3314     +1.3314    |paral   |2020yCat.1350....0G
986 |BD-17 6839                                                            |Spectroscopic Binary               |23 53 04.6399544064 -16 15 26.483789988|068.7423270131108 -72.6502747383441|-38.335 -54.589   |10.678   |~              |    ~     ~    |    1|  302.229   pc  |  -7.5010     +7.5010    |ST-L    |2020AJ....160...83S
987 |BD-15 6518                                                            |Star                               |23 53 09.2807711592 -14 36 16.997710536|072.7063632926553 -71.5332557238642| 21.955 -11.359   |10.204   |~              |    ~     ~    |    1|  745.931   pc  | -53.4100    +53.4100    |ST-L    |2020AJ....160...83S
988 |BD-16 6384                                                            |Star                               |23 53 51.1741543848 -15 15 44.564634108|071.5803845297328 -72.1143106796915| -3.265 -24.671   |10.99    |~              |    ~     ~    |    1|  325.956   pc  | -13.6700    +13.6700    |ST-L    |2020AJ....160...83S
989 |BD-15 6519                                                            |Star                               |23 53 54.4672309272 -14 14 59.834853672|073.8976531923164 -71.4076081954154|   11.626 0.082   |10.625   |~              |    ~     ~    |    1|  970.967   pc  | -64.8100    +64.8100    |ST-L    |2020AJ....160...83S
990 |BD-17 6841                                                            |Star                               |23 54 11.2658982888 -16 27 14.862953448|068.8362259445386 -72.9802815928667|  5.425 -19.656   |10.309   |~              |    ~     ~    |    1|  780.866   pc  | -76.8200    +76.8200    |ST-L    |2020AJ....160...83S
991 |BD-17 6842                                                            |Star                               |23 54 32.3929492416 -16 19 42.800580264|069.3484351163694 -72.9603324704800|    8.171 6.642   |10.64    |~              |    ~     ~    |    1|  439.026   pc  | -15.2400    +15.2400    |ST-L    |2020AJ....160...83S
992 |BD-16 6387                                                            |Star                               |23 55 16.9288966056 -15 31 37.834509576|071.7395998823269 -72.5461163590563|-17.876 -19.259   |10.62    |~              |    ~     ~    |    1|  253.261   pc  | -19.3962    +19.3962    |paral   |2020yCat.1350....0G
993 |BD-17 6844                                                            |Star                               |23 55 33.4423938720 -16 30 26.780372676|069.4481628087159 -73.2614904628898| 36.558 -26.785   |10.65    |~              |    ~     ~    |    1|  388.078   pc  |  -6.0392     +6.0392    |paral   |2020yCat.1350....0G
994 |BD-17 6846                                                            |Star                               |23 55 56.8581963216 -16 21 32.192782848|070.0481847380535 -73.2315901407859|   28.968 5.771   |10.669   |~              |    ~     ~    |    1|  273.577   pc  | -15.3000    +15.3000    |ST-L    |2020AJ....160...83S
995 |BD-14 6583                                                            |Star                               |23 56 18.2410792872 -14 04 00.010175016|075.6318974194515 -71.6711569461578|-12.067 -11.060   |10.733   |~              |    ~     ~    |    1|  952.701   pc  | -67.1600    +67.1600    |ST-L    |2020AJ....160...83S
996 |BD-15 6523                                                            |Eruptive Variable                  |23 56 33.3768617472 -14 45 10.626014232|074.2642838726798 -72.2143485412393| 17.512 -35.491   |10.596   |~              |    ~     ~    |    1|  294.334   pc  |  -1.2475     +1.2475    |paral   |2020yCat.1350....0G
997 |BD-16 6389                                                            |Star                               |23 56 41.5512636456 -15 27 23.549305212|072.7053938873583 -72.7395883546300| 34.317 -25.112   |10.36    |~              |    ~     ~    |    1|  971.723   pc  | -19.2626    +19.2626    |paral   |2020yCat.1350....0G
998 |BD-16 6391                                                            |Star                               |23 57 28.3290825936 -16 09 16.835346000|071.4354454963248 -73.3605051621900|   25.803 8.052   |10.524   |~              |    ~     ~    |    1|  518.150   pc  | -15.5400    +15.5400    |ST-L    |2020AJ....160...83S
999 |BD-16 6393                                                            |Star                               |23 58 03.4777297128 -15 21 43.051834584|073.7220033527986 -72.9042110069125|  28.053 -4.790   |10.54    |~              |    ~     ~    |    1|  871.840   pc  | -16.3422    +16.3422    |paral   |2020yCat.1350....0G
1000|BD-16 6395                                                            |Double or Multiple Star            |23 58 29.0241369576 -15 30 40.891695732|073.6153101290980 -73.0827440291783|   19.600 4.754   |10.656   |~              |    ~     ~    |    0|                |                         |        |                   
1001|BD-16 6397                                                            |Spectroscopic Binary               |23 59 30.1215830544 -15 55 40.761411456|073.2014422029857 -73.5512708140701|   6.401 -8.689   |10.516   |~              |    ~     ~    |    1|  353.190   pc  | -17.9100    +17.9100    |ST-L    |2020AJ....160...83S
1002|BD-17 6852                                                            |Spectroscopic Binary               |23 58 15.4011180302 -16 31 08.613648138|070.9538252751512 -73.7472995055126| -4.015 -14.612   |10.190   |~              |    ~     ~    |    1| 1509.89    pc  | -61.0978    +61.0978    |paral   |2020yCat.1350....0G
1003|TYC 5837-543-1                                                        |High Proper Motion Star            |23 55 31.6233623736 -14 36 06.170756868|074.0206615566055 -71.9329122873448| 62.838 -29.324   |10.41    |~              |    ~     ~    |    1|  168.999   pc  |  -0.5798     +0.5798    |paral   |2020yCat.1350....0G
1004|TYC 6404-462-1                                                        |Star                               |23 48 54.7397340096 -16 13 04.123588476|066.7134744436506 -71.8635554095657| 11.152 -22.154   |10.426   |~              |    ~     ~    |    1|  276.694   pc  |  -1.9370     +1.9370    |paral   |2020yCat.1350....0G
1005|TYC 6405-240-1                                                        |Star                               |23 56 50.2989031872 -16 31 42.184176852|070.1124762706124 -73.5035841003206|  4.720 -21.167   |10.75    |~              |    ~     ~    |    1|  287.365   pc  |  -2.1140     +2.1140    |paral   |2020yCat.1350....0G
1006|TYC 6405-570-1                                                        |Star                               |23 57 56.9148496440 -15 34 37.960017744|073.1417885494930 -73.0389632504834|  26.899 -0.102   |10.48    |~              |    ~     ~    |    1|  825.219   pc  | -12.9387    +12.9387    |paral   |2020yCat.1350....0G
1007|HD 223253                                                             |High Proper Motion Star            |23 47 56.2395246240 -13 55 00.689600028|071.4934220676613 -70.1501643567586|-52.026 -85.841   |7.47     |K0III          |    ~     ~    |    1|  199.960   pc  |  -0.9756     +0.9756    |paral   |2020yCat.1350....0G
1008|HD 223325                                                             |Star                               |23 48 39.3494514192 -13 53 12.258973212|071.9169973389106 -70.2537358784355|   3.467 -3.903   |8.86     |F2V            |    ~     ~    |    1|  224.674   pc  |  -1.4386     +1.4386    |paral   |2020yCat.1350....0G
1009|BD-12 6562                                                            |Star                               |23 47 37.8700337208 -11 26 11.998581720|076.1651774070220 -68.3014376475007|   45.512 6.642   |10.261   |G0             |    ~     ~    |    1|  267.693   pc  |  -4.8770     +4.8770    |ST-L    |2020AJ....160...83S
1010|HD 223301                                                             |Red Giant Branch star              |23 48 28.2043981488 -11 30 31.408925508|076.4553536520558 -68.4912357419558|   16.861 0.058   |7.63     |K1III          |    ~     ~    |    1|  108.903   pc  |  -0.6902     +0.6902    |paral   |2018yCat.1345....0G
1011|BD-12 6558                                                            |High Proper Motion Star            |23 46 53.6292361560 -11 45 10.130316840|075.2285698264875 -68.4165492113349|-20.375 -45.787   |9.565    |G0             |    ~     ~    |    1|  184.334   pc  |  -8.5700     +8.5700    |ST-L    |2020AJ....160...83S
1012|HD 223170                                                             |Horizontal Branch Star             |23 47 15.9119280096 -11 54 40.061255796|075.1211164816259 -68.5947932723889|-49.452 -94.544   |5.731    |K0III          |    ~     ~    |    1|   98.788   pc  |  -0.4899     +0.4899    |paral   |2020yCat.1350....0G
1013|HD 223324                                                             |High Proper Motion Star            |23 48 40.2687141096 -11 46 37.641979488|076.0702566278334 -68.7251858373636| 78.760 -96.298   |9.03     |F7V            |    ~     ~    |    1|   83.450   pc  |  -0.1699     +0.1699    |paral   |2020yCat.1350....0G
1014|BD-13 6464                                                            |Double or Multiple Star            |23 48 25.6952889480 -12 59 14.854646940|073.6420552077767 -69.5748308212177| 235.082 15.172   |9.852    |K5Vke          |    ~     ~    |    1|   28.570   pc  |  -0.2230     +0.2230    |paral   |2020yCat.1350....0G
1015|HD 222950                                                             |Star                               |23 45 21.9579042312 -13 40 55.160926248|070.7278882254813 -69.5375245472753|   28.440 1.446   |7.90     |F0/2III        |    ~     ~    |    1|  150.971   pc  |  -0.7886     +0.7886    |paral   |2020yCat.1350....0G
1016|HD 223022                                                             |Star                               |23 45 59.2532671416 -13 27 15.338759220|071.4958233631046 -69.4881261235064| -41.217 -9.826   |7.77     |K0III          |    ~     ~    |    1|  282.382   pc  |  -2.3523     +2.3523    |paral   |2020yCat.1350....0G
1017|HD 223050                                                             |Star                               |23 46 18.7529491032 -13 21 51.561522180|071.8369458760254 -69.4815343797086|   39.643 0.374   |7.76     |G8/K0III+F/G   |    ~     ~    |    1|  381.854   pc  | -27.7044    +27.7044    |paral   |2020yCat.1350....0G
1018|BD-14 6545                                                            |High Proper Motion Star            |23 46 59.3270535864 -13 42 13.875154452|071.4703002996544 -69.8365771581777|-55.898 -188.629  |10.91    |~              |    ~     ~    |    1|  162.488   pc  |  -0.6548     +0.6548    |paral   |2020yCat.1350....0G
1019|BD-13 6458                                                            |Star                               |23 45 01.6327173744 -12 40 11.253827748|072.5937785855911 -68.7690163121756|  -5.252 -7.090   |10.99    |~              |    ~     ~    |    1|  223.085   pc  |  -0.8610     +0.8610    |paral   |2020yCat.1350....0G
1020|BD-13 6459                                                            |High Proper Motion Star            |23 45 12.3626067576 -13 02 25.259805816|071.9523563837507 -69.0622250454836| 13.671 -54.731   |10.35    |~              |    ~     ~    |    1|  149.309   pc  |  -1.6943     +1.6943    |paral   |2020yCat.1350....0G
1021|BD-12 6554                                                            |High Proper Motion Star            |23 45 45.3878425416 -11 33 33.610316652|075.0244029815057 -68.0860051738904| 50.264 -32.795   |9.99     |~              |    ~     ~    |    1|  218.751   pc  |  -3.1660     +3.1660    |ST-L    |2020AJ....160...83S
1022|BD-14 6537                                                            |Star                               |23 45 49.9306396080 -13 33 48.449439936|071.1968654542900 -69.5371369421243|   3.624 15.051   |10.83    |~              |    ~     ~    |    1|  344.732   pc  |  -1.8539     +1.8539    |paral   |2020yCat.1350....0G
1023|BD-12 6556                                                            |Star                               |23 46 32.2699185912 -11 33 19.179997668|075.4124145522515 -68.2116512632516|  14.848 -1.781   |10.061   |~              |    ~     ~    |    1|  637.572   pc  | -25.1900    +25.1900    |ST-L    |2020AJ....160...83S
1024|BD-12 6557                                                            |Star                               |23 46 33.6721812000 -11 56 06.766964628|074.7296831068292 -68.4961242962328| 15.032 -12.632   |10.286   |~              |    ~     ~    |    1|  996.117   pc  | -64.9700    +64.9700    |ST-L    |2020AJ....160...83S
1025|BD-14 6543                                                            |Star                               |23 46 45.2012475312 -13 43 32.852124300|071.3091740747569 -69.8108421660104|  34.691 22.043   |10.90    |~              |    ~     ~    |    1|  211.829   pc  |  -1.0769     +1.0769    |paral   |2020yCat.1350....0G
1026|BD-13 6462                                                            |Star                               |23 46 52.1763109296 -12 26 13.678024416|073.9373484321462 -68.9142292985386|    2.503 1.317   |9.63     |~              |    ~     ~    |    1| 1499.700   pc  | -51.7293    +51.7293    |paral   |2020yCat.1350....0G
1027|BD-14 6548                                                            |Star                               |23 47 14.2654478592 -13 28 28.283659680|072.0661738486245 -69.7189774625365|  13.833 12.368   |10.21    |~              |    ~     ~    |    1|  301.105   pc  |  -3.6628     +3.6628    |paral   |2020yCat.1350....0G
1028|BD-12 6561                                                            |Star                               |23 47 37.5307776096 -11 41 20.858521668|075.7068542480287 -68.4892167650398| -10.024 -9.813   |10.675   |~              |    ~     ~    |    1|  352.807   pc  |  -8.8230     +8.8230    |ST-L    |2020AJ....160...83S
1029|BD-13 6463                                                            |Star                               |23 47 49.9650144672 -12 57 06.686922348|073.4139591480886 -69.4485721175564|   4.728 28.130   |10.79    |~              |    ~     ~    |    1|  163.634   pc  |  -0.5382     +0.5382    |paral   |2020yCat.1350....0G
1030|BD-12 6563                                                            |Star                               |23 47 53.6562701808 -11 23 19.938879852|076.3815318713406 -68.3081196653301| 28.557 -26.954   |9.93     |~              |    ~     ~    |    1|  221.182   pc  |  -3.1950     +3.1950    |ST-L    |2020AJ....160...83S
1031|BD-12 6564                                                            |High Proper Motion Star            |23 48 10.2216475872 -11 55 17.662247040|075.5528765660546 -68.7512420888039|-30.140 -56.955   |10.76    |~              |    ~     ~    |    1|  148.666   pc  |  -1.7990     +1.7990    |ST-L    |2020AJ....160...83S
1032|BD-14 6551                                                            |Star                               |23 48 22.6497423960 -13 12 11.907520956|073.1851511732161 -69.7214358461320| 11.054 -38.965   |10.23    |~              |    ~     ~    |    1|  246.840   pc  |  -1.1394     +1.1394    |paral   |2020yCat.1350....0G
1033|BD-14 6541                                                            |High Proper Motion Star            |23 46 34.4573315040 -13 40 28.342348068|071.3280653109526 -69.7439406809030| 12.323 -53.778   |10.75    |~              |    ~     ~    |    1|  268.478   pc  |  -1.0235     +1.0235    |paral   |2020yCat.1350....0G
1034|BD-14 6538                                                            |High Proper Motion Star            |23 45 56.5853099592 -13 29 59.705879388|071.3809092199210 -69.5122495989151|-44.190 -62.192   |10.34    |~              |    ~     ~    |    1|  148.569   pc  |  -0.4591     +0.4591    |paral   |2020yCat.1350....0G
1035|BD-12 6560                                                            |High Proper Motion Star            |23 47 20.1031316640 -11 56 54.344318316|075.0867620264395 -68.6338619481986|-45.143 -77.789   |9.70     |~              |    ~     ~    |    1|  171.975   pc  |  -0.5205     +0.5205    |paral   |2020yCat.1350....0G
1036|TYC 5836-48-1                                                         |Star                               |23 47 46.5193808400 -12 50 17.534321448|073.6093221519606 -69.3569781150421|-12.731 -19.863   |10.772   |~              |    ~     ~    |    1|  578.219   pc  | -21.7800    +21.7800    |ST-L    |2020AJ....160...83S
