C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:37:26

Vmag< 11&dec >=0&rah >=12.25&rah< 12.5
--------------------------------------

Number of objects : 2101

 #  |                                                                                  identifier                                                                                   |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
71  |BD+78 416                                                                                                                                                                      |Star                              |12 18 05.5707066792 +77 32 45.335027976|125.2519272091369 +39.4317312125663| -44.652 -5.326   |9.24     |F5             |    ~     ~    
72  |BD+78 419                                                                                                                                                                      |Star                              |12 26 50.1402088344 +77 21 08.064949068|124.6789787858491 +39.6924392260566|   5.511 -9.085   |8.67     |M0             |    ~     ~    
73  |HD 106710                                                                                                                                                                      |Star                              |12 15 41.6554061496 +76 18 00.617119236|125.7104976611263 +40.6346464831606|    0.157 4.410   |10.12    |K2             |    ~     ~    
74  |HD 106850                                                                                                                                                                      |Spectroscopic Binary              |12 16 37.3542433824 +76 12 30.366161028|125.6607336811668 +40.7348085690311|  5.524 -41.440   |10.43    |G5             |    ~     ~    
75  |BD+77 470                                                                                                                                                                      |Star                              |12 21 32.4043874904 +76 48 22.423478148|125.1594994411478 +40.1924352687401| -16.164 -3.018   |10.03    |K0             |    ~     ~    
76  |BD+77 471                                                                                                                                                                      |Star                              |12 21 44.8147887480 +76 50 16.923648804|125.1379612598742 +40.1627745217917|  -40.170 6.311   |9.87     |K0             |    ~     ~    
77  |HD 108074                                                                                                                                                                      |High Proper Motion Star           |12 24 06.2879835504 +77 06 32.062557060|124.9151955237556 +39.9139060804683| 40.581 -31.616   |8.86     |G5             |    ~     ~    
78  |HD 108448                                                                                                                                                                      |Star                              |12 26 35.0405116872 +76 23 04.290574524|124.8564011537382 +40.6507180659688| -15.514 10.289   |8.44     |A3             |    ~     ~    
79  |HD 107965                                                                                                                                                                      |Star                              |12 23 37.3855015488 +75 51 59.109780996|125.1816163887757 +41.1401034320260|  15.335 -0.274   |9.18     |G5             |    ~     ~    
80  |TYC 4550-31-1                                                                                                                                                                  |Spectroscopic Binary              |12 24 58.2376523328 +76 37 21.788249592|124.9381865702593 +40.4022582093447|  -19.897 9.165   |10.66    |~              |    ~     ~    
81  |TYC 4550-267-1                                                                                                                                                                 |Star                              |12 20 02.3249645472 +76 15 01.318545144|125.3869680096369 +40.7278533626184| -18.748 -6.849   |10.88    |~              |    ~     ~    
82  |TYC 4550-396-1                                                                                                                                                                 |Spectroscopic Binary              |12 16 47.5330768296 +77 21 57.674045196|125.3818881015753 +39.5969614146930|  -28.708 4.737   |10.20    |~              |    ~     ~    
83  |TYC 4550-531-1                                                                                                                                                                 |Star                              |12 16 28.3816906152 +76 08 36.547742796|125.6876210708592 +40.7971266900328| -19.755 18.879   |10.56    |~              |    ~     ~    
