C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:37:26

Vmag< 11&dec >=0&rah >=12.25&rah< 12.5
--------------------------------------

Number of objects : 2101

 #  |                                                                                  identifier                                                                                   |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
1008|TYC 1445-659-1                                                                                                                                                                 |Star                              |12 22 26.5085746440 +17 39 56.459928780|266.1683741216967 +78.4113545418715|  22.502 -0.602   |9.69     |~              |    ~     ~    
1009|TYC 1445-897-1                                                                                                                                                                 |High Proper Motion Star           |12 19 14.0116345776 +18 09 50.597883792|261.6447945355280 +78.3646263062047| 28.009 -73.446   |10.30    |~              |    ~     ~    
1010|TYC 1445-920-1                                                                                                                                                                 |Star                              |12 20 35.5093526112 +18 10 56.422194420|262.8674000069054 +78.5760953701857| 19.555 -36.639   |10.69    |~              |    ~     ~    
1011|TYC 1445-1219-1                                                                                                                                                                |Star                              |12 22 17.0557149432 +17 27 19.506899340|266.5913797199149 +78.2157006714730|  8.985 -24.768   |10.68    |~              |    ~     ~    
1012|TYC 1447-672-1                                                                                                                                                                 |Star                              |12 18 41.3026572048 +18 51 14.322563928|258.9227561755250 +78.8150412027929| 28.860 -23.728   |10.66    |~              |    ~     ~    
1013|TYC 1447-683-1                                                                                                                                                                 |Star                              |12 18 16.2385103448 +18 50 38.000358528|258.5731561613083 +78.7426415198143| -29.492 -3.597   |10.61    |~              |    ~     ~    
1014|TYC 1447-2612-1                                                                                                                                                                |Star                              |12 17 18.6661838184 +18 54 55.516800528|257.4652183959288 +78.6453863875842|  -2.538 16.594   |10.50    |~              |    ~     ~    
1015|BD+17 2463                                                                                                                                                                     |High Proper Motion Star           |12 19 49.1675732808 +16 48 30.687905232|265.9775380718127 +77.3506169046142|15.537 -140.020   |7.92     |K0             |    ~     ~    
1016|HD 107612                                                                                                                                                                      |High Proper Motion Star           |12 22 02.0739290184 +16 44 41.001067356|268.1874815553279 +77.5857760843045|-43.858 -25.239   |6.663    |A2p            |    ~     ~    
1017|BD+17 2458                                                                                                                                                                     |Star                              |12 17 22.0083340896 +16 33 08.078878656|264.4674553580326 +76.8059169153412| -13.567 -7.148   |10.33    |K0             |    ~     ~    
1018|HD 107031                                                                                                                                                                      |Star                              |12 18 28.9775829984 +16 12 13.742053992|266.2888263953483 +76.6698786437651|-29.720 -19.636   |9.81     |K2III          |    ~     ~    
1019|HD 106746                                                                                                                                                                      |Star                              |12 16 28.3556777304 +16 01 42.579024600|265.0019367064933 +76.2537728565289| 14.923 -24.291   |9.75     |F4             |    ~     ~    
1020|BD+16 2353                                                                                                                                                                     |Star                              |12 16 51.6913195464 +15 49 21.903248964|265.8116643110186 +76.1365453486454| -1.811 -19.104   |10.82    |F8             |    ~     ~    
1021|BD+16 2354                                                                                                                                                                     |Star                              |12 16 56.1770298624 +15 49 18.068342052|265.8764521778165 +76.1456923647183| -4.153 -21.721   |10.16    |K0             |    ~     ~    
1022|HD 107496                                                                                                                                                                      |Spectroscopic Binary              |12 21 18.6377682624 +15 49 41.826532980|269.6567442355914 +76.7120650939209| -93.378 30.854   |9.40     |F9V            |    ~     ~    
1023|V* HY Com                                                                                                                                                                      |RR Lyrae Variable                 |12 18 16.0164061440 +16 09 15.886992132|266.2202585699708 +76.6000241674924| -3.426 -28.468   |10.40    |A5             |    ~     ~    
1024|BD+16 2358                                                                                                                                                                     |Star                              |12 18 55.4134649208 +15 53 05.598670812|267.4193333405142 +76.4602693985961| -0.495 -19.517   |9.86     |~              |    ~     ~    
1025|BD+16 2361                                                                                                                                                                     |Star                              |12 20 11.4562273560 +15 54 15.121517904|268.4858286947921 +76.6383043557118| 13.008 -11.615   |9.97     |F4             |    ~     ~    
1026|BD+16 2363                                                                                                                                                                     |Star                              |12 21 06.1847180352 +15 48 54.920113308|269.4987802866705 +76.6754564957487| 17.891 -39.383   |10.28    |G2             |    ~     ~    
1027|BD+16 2355                                                                                                                                                                     |Red Giant Branch star             |12 18 07.5766061040 +15 26 05.817087276|267.7485723054070 +75.9774342399290|  -12.767 8.572   |10.82    |K2             |    ~     ~    
1028|HD 107303                                                                                                                                                                      |High Proper Motion Star           |12 20 06.0935546856 +15 42 53.264380860|268.8311434535397 +76.4654250305548|-68.821 -63.468   |8.05     |F8             |    ~     ~    
1029|HD 107415                                                                                                                                                                      |High Proper Motion Star           |12 20 48.7146642120 +15 32 27.584672892|269.8366583315989 +76.4035281048166| -49.192 -2.759   |6.45     |G7II-III       |    ~     ~    
1030|HD 106495                                                                                                                                                                      |Spectroscopic Binary              |12 15 01.7042237904 +14 15 53.864010576|267.6963578024611 +74.5885232921073|   5.932 -0.587   |9.45     |K0             |    ~     ~    
1031|HD 106543                                                                                                                                                                      |High Proper Motion Star           |12 15 17.9253411216 +14 32 55.177791720|267.3332088833428 +74.8635120039165|-40.404 -30.836   |10.85    |G0V            |    ~     ~    
1032|BD+15 2435                                                                                                                                                                     |Star                              |12 15 57.6525661824 +15 02 33.987765120|266.8207871360503 +75.3659453623603|  -32.815 2.619   |9.57     |K0             |    ~     ~    
1033|* 6 Com                                                                                                                                                                        |High Proper Motion Star           |12 16 00.1865675640 +14 53 56.644424376|267.1610125346058 +75.2505755181043|-80.593 -31.055   |5.090    |A3V            |    ~     ~    
1034|BD+15 2438                                                                                                                                                                     |Star                              |12 16 41.0313888192 +14 48 26.626691484|267.8998687174134 +75.2607772797206| -43.394 15.882   |10.82    |F8             |    ~     ~    
1035|HD 106773                                                                                                                                                                      |Star                              |12 16 42.1579600416 +14 47 17.242406772|267.9549933534138 +75.2468064710085|  1.419 -22.563   |10.49    |K0III          |    ~     ~    
1036|HD 106804                                                                                                                                                                      |Star                              |12 16 56.9155072536 +14 49 13.888585848|268.0866397977900 +75.3056664274875|-23.449 -37.451   |9.53     |K3II-III       |    ~     ~    
1037|HD 106888                                                                                                                                                                      |High Proper Motion Star           |12 17 36.1852420656 +14 26 34.185799248|269.3803137699607 +75.0642004207909|-103.145 -37.547  |8.180    |F8             |    ~     ~    
1038|HD 106926                                                                                                                                                                      |High Proper Motion Star           |12 17 44.2599313032 +15 08 40.909965720|268.0518103866913 +75.6815993922027| 33.933 -42.113   |6.32     |K4III-IV       |    ~     ~    
1039|HD 106949                                                                                                                                                                      |High Proper Motion Star           |12 17 50.8213974408 +15 01 09.207915060|268.4077764242384 +75.5886422073111| -134.272 6.612   |8.370    |F8             |    ~     ~    
1040|HD 107088                                                                                                                                                                      |Red Giant Branch star             |12 18 49.6559430912 +14 47 50.291500056|269.6794631958161 +75.5198623500098| -35.553 -4.517   |9.97     |G7IV           |    ~     ~    
1041|HD 107254                                                                                                                                                                      |Star                              |12 19 50.9026092600 +14 23 00.363479496|271.3415294608892 +75.2815470421667|  -42.645 4.939   |8.970    |F5             |    ~     ~    
1042|HD 107253                                                                                                                                                                      |High Proper Motion Star           |12 19 55.4122924680 +14 58 14.936994228|270.2536840014269 +75.8027056300076| 9.968 -140.415   |9.98     |G5V            |    ~     ~    
1043|HD 107304                                                                                                                                                                      |High Proper Motion Star           |12 20 10.5999972840 +15 02 58.052985648|270.3107195650846 +75.9013283136203|-48.474 -60.842   |10.23    |G6V            |    ~     ~    
1044|HD 107384                                                                                                                                                                      |Star                              |12 20 41.1605252328 +15 08 38.536416060|270.5581186112015 +76.0443803480695| 27.732 -21.270   |9.03     |K1III          |    ~     ~    
1045|HD 107497                                                                                                                                                                      |Star                              |12 21 19.9379824632 +14 45 31.148009460|271.8860191407695 +75.7827498906652| 12.012 -12.424   |9.80     |G0             |    ~     ~    
1046|HD 107598                                                                                                                                                                      |High Proper Motion Star           |12 21 56.4048013968 +14 50 39.677370360|272.2502977860378 +75.9276675078472|30.508 -102.309   |9.57     |G0             |    ~     ~    
1047|HD 107635                                                                                                                                                                      |Star                              |12 22 12.0386261592 +14 22 14.802827736|273.3641923271760 +75.5366432217645|-34.367 -26.313   |10.12    |F6             |    ~     ~    
1048|HD 106761                                                                                                                                                                      |Red Giant Branch star             |12 16 33.4121852688 +14 09 31.530898944|269.0991339343136 +74.6906332354897|  -21.639 7.501   |9.89     |K2             |    ~     ~    
1049|HD 107686                                                                                                                                                                      |Star                              |12 22 28.0192888152 +14 07 25.282511364|274.0344369696187 +75.3447276569958|   -2.726 0.716   |10.40    |G0             |    ~     ~    
1050|FAUST 3058                                                                                                                                                                     |Star                              |12 16 23.0 +14 50 36                   |267.5830 +75.2527                  |            ~ ~   |5.10     |A3             |    ~     ~    
1051|FAUST 3077                                                                                                                                                                     |UV-emission Source                |12 18 12.0 +16 08 36                   |266.1890 +76.5819                  |            ~ ~   |10.3     |~              |    ~     ~    
1052|BD+17 2461                                                                                                                                                                     |Star                              |12 18 43.0 +16 17 30                   |266.2806 +76.7741                  |            ~ ~   |9.5      |~              |    ~     ~    
1053|BD+15 2449                                                                                                                                                                     |Spectroscopic Binary              |12 20 26.5941906480 +15 04 04.965741768|270.5026983084914 +75.9493624715409| 16.138 -43.921   |10.58    |G2             |    ~     ~    
1054|BD+15 2452                                                                                                                                                                     |Star                              |12 21 12.4955681808 +15 01 00.000051960|271.2710342854403 +75.9948588758009|  16.093 -6.532   |10.16    |F5             |    ~     ~    
1055|GEN# +7.00800155                                                                                                                                                               |Star                              |12 15 13.0 +14 33 00                   |267.2662 +74.8540                  |            ~ ~   |10.84    |~              |    ~     ~    
1056|GEN# +7.00800203                                                                                                                                                               |Star                              |12 16 23.0 +14 37 24                   |268.0378 +75.0661                  |            ~ ~   |10.90    |~              |    ~     ~    
1057|BD+15 2455                                                                                                                                                                     |High Proper Motion Star           |12 22 02.3818257432 +14 51 33.081945048|272.3091251499625 +75.9520661171377|-28.337 -58.914   |10.59    |G3             |    ~     ~    
1058|TYC 1442-763-1                                                                                                                                                                 |Double or Multiple Star           |12 15 14.8652 +16 28 23.504            |262.8910920 +76.4435876            |-20.184 -63.269   |10.89    |~              |    ~     ~    
1059|TYC 1445-26-1                                                                                                                                                                  |Star                              |12 20 31.8275738808 +15 36 58.443401448|269.4253856482546 +76.4339860233959| -14.817 -6.557   |10.58    |G2             |    ~     ~    
1060|TYC 1445-1670-1                                                                                                                                                                |High Proper Motion Star           |12 21 56.2666864128 +16 33 58.685270868|268.5311183009244 +77.4219371658652| 95.437 -50.247   |10.26    |~              |    ~     ~    
1061|TYC 1445-1805-1                                                                                                                                                                |High Proper Motion Star           |12 21 33.4855625160 +16 36 57.602102904|268.0559632481748 +77.4161313854099| 42.575 -31.081   |9.95     |~              |    ~     ~    
1062|BD+16 2352                                                                                                                                                                     |Star                              |12 16 32.1376812312 +16 08 09.845067372|264.7951982145409 +76.3507511606412| -5.677 -15.653   |10.90    |G2             |    ~     ~    
1063|BD+17 2457                                                                                                                                                                     |High Proper Motion Star           |12 17 03.1246757064 +16 30 59.326595964|264.2890731293055 +76.7331036171302|  -55.004 3.210   |10.67    |G2             |    ~     ~    
1064|TYC 1445-2144-1                                                                                                                                                                |Star                              |12 16 53.6535745056 +16 44 13.251824736|263.5896696168201 +76.8899578610377| -26.308 -9.906   |10.78    |~              |    ~     ~    
1065|BD+17 2459                                                                                                                                                                     |Star                              |12 17 29.4898150056 +16 28 18.583324140|264.7767223837760 +76.7573484554108|  9.316 -14.275   |10.70    |G5             |    ~     ~    
1066|TYC 1445-2221-1                                                                                                                                                                |High Proper Motion Star           |12 17 11.8783287576 +16 49 41.987827416|263.6115586484080 +77.0065755709991|  -59.111 8.349   |10.91    |~              |    ~     ~    
1067|TYC 1445-2250-1                                                                                                                                                                |High Proper Motion Star           |12 17 45.7831722768 +15 50 19.059730296|266.5319941183532 +76.2698140567961|-47.795 -28.208   |10.87    |G2             |    ~     ~    
1068|BD+15 2440                                                                                                                                                                     |Star                              |12 17 29.8805944344 +15 09 34.525476504|267.8216357601898 +75.6636589622472|  -27.816 8.889   |10.93    |F7             |    ~     ~    
1069|TYC 1445-444-1                                                                                                                                                                 |Star                              |12 18 33.6777330360 +15 54 09.794669724|267.0654504353603 +76.4282569660743|-32.094 -13.109   |10.89    |F6             |    ~     ~    
1070|HD 107170                                                                                                                                                                      |High Proper Motion Star           |12 19 20.2308581688 +14 32 29.891689116|270.6111757113324 +75.3595728969576|-28.811 -49.216   |6.550    |K0II-III       |    ~     ~    
1071|TYC 879-816-1                                                                                                                                                                  |Horizontal Branch Star            |12 16 33.7796375760 +14 37 23.651388984|268.1815935183373 +75.0888098157689|  -0.582 -6.287   |10.92    |G3             |    ~     ~    
1072|M 99                               NGC 4254                           NAME Coma Pinwheel                 NAME Virgo Cluster Pinwheel        M 99                               |HII Galaxy                        |12 18 49.625 +14 24 59.36              |270.431020 +75.189835              |            ~ ~   |9.87     |~              | 5.13  4.47    
1073|HD 107033                                                                                                                                                                      |Horizontal Branch Star            |12 18 27.9719073960 +13 48 55.308982824|271.2629508073509 +74.6223030898974|  4.638 -14.085   |10.60    |K2             |    ~     ~    
1074|HD 107196                                                                                                                                                                      |High Proper Motion Star           |12 19 28.3176137664 +13 55 44.298326892|271.8717066580570 +74.8386204105659|-117.842 -13.511  |10.07    |G5             |    ~     ~    
1075|HD 107288                                                                                                                                                                      |High Proper Motion Star           |12 20 04.8574342320 +13 51 18.189078300|272.5034473017571 +74.8425912010733|-61.365 -11.419   |6.99     |K0             |    ~     ~    
1076|BD+14 2493                                                                                                                                                                     |Red Giant Branch star             |12 21 12.8320628088 +13 52 12.288406080|273.4161275442896 +74.9818821972897|    4.655 5.450   |10.5     |~              |    ~     ~    
1077|HD 107363                                                                                                                                                                      |Red Giant Branch star             |12 20 33.7263672792 +13 45 04.021760124|273.0822881924195 +74.8040647406304|  7.038 -54.103   |9.93     |K0             |    ~     ~    
1078|HD 106774                                                                                                                                                                      |Star                              |12 16 40.6644525048 +13 17 49.464347460|270.7843566846935 +73.9584011957508|  3.037 -19.426   |8.85     |K0             |    ~     ~    
1079|HD 107115                                                                                                                                                                      |Red Giant Branch star             |12 19 00.3405085272 +13 22 01.804750356|272.4841961584785 +74.2891772325615|  -5.329 -8.504   |9.29     |K0             |    ~     ~    
1080|HD 107255                                                                                                                                                                      |High Proper Motion Star           |12 19 53.3372111544 +13 39 15.560698212|272.6993241566508 +74.6430677846090|-111.959 19.310   |10.25    |K0             |    ~     ~    
1081|HD 107401                                                                                                                                                                      |Spectroscopic Binary              |12 20 48.8270651184 +13 18 38.861200728|274.0339175254667 +74.4380815528998|  -11.555 4.477   |9.85     |K2             |    ~     ~    
1082|HD 106606                                                                                                                                                                      |High Proper Motion Star           |12 15 40.3238074728 +12 28 07.021048080|271.4336665420940 +73.1142641995028|  5.124 -61.713   |9.93     |K0             |    ~     ~    
1083|HD 106747                                                                                                                                                                      |Star                              |12 16 31.1999667000 +12 30 36.290649960|271.9964086298768 +73.2485902326762|  -0.516 -2.536   |9.63     |K2             |    ~     ~    
1084|HD 106785                                                                                                                                                                      |Star                              |12 16 48.9657954456 +12 32 20.977039212|272.1711828957224 +73.3080780192507|   -1.729 0.100   |9.01     |K0             |    ~     ~    
1085|HD 106963                                                                                                                                                                      |Star                              |12 17 57.6634608648 +12 31 22.275310764|273.0639869551829 +73.4221873640831|  5.455 -22.576   |10.19    |F8             |    ~     ~    
1086|HD 106987                                                                                                                                                                      |High Proper Motion Star           |12 18 09.3946994280 +12 50 02.803509816|272.7113340802582 +73.7208661884679| 63.990 -67.863   |10.30    |G0             |    ~     ~    
1087|HD 107016                                                                                                                                                                      |Star                              |12 18 22.3665144576 +12 28 06.972943908|273.4640626925138 +73.4191153769388|   4.596 -3.629   |10.10    |G5             |    ~     ~    
1088|HD 107100                                                                                                                                                                      |Red Giant Branch star             |12 18 53.3733023040 +12 59 56.133620088|273.0109400613675 +73.9491359782335|   -2.080 1.892   |10.6     |G5             |    ~     ~    
1089|HD 107116                                                                                                                                                                      |High Proper Motion Star           |12 19 01.9014047832 +12 55 07.884483852|273.2535651637277 +73.8935046518496|-90.814 -115.858  |10.39    |A3             |    ~     ~    
1090|HD 107133                                                                                                                                                                      |Star                              |12 18 59.2784026128 +12 44 32.037702288|273.5046619236612 +73.7309948078782| -9.286 -38.405   |10.71    |G5             |    ~     ~    
1091|HD 107342                                                                                                                                                                      |Star                              |12 20 26.9233898328 +13 02 05.821722456|274.1882446046542 +74.1513031436149| -6.263 -12.694   |10.74    |K0             |    ~     ~    
1092|HD 107343                                                                                                                                                                      |Star                              |12 20 29.4998027640 +12 17 49.324035912|275.3621508428963 +73.4897303080414|  -3.201 -7.454   |10.54    |K5             |    ~     ~    
1093|HD 107514                                                                                                                                                                      |High Proper Motion Star           |12 21 25.1559232728 +12 40 48.034911396|275.5198966971348 +73.9324217152116|-123.865 40.996   |9.59     |G5             |    ~     ~    
1094|HD 107532                                                                                                                                                                      |High Proper Motion Star           |12 21 33.9675218208 +12 28 22.354146372|275.9472670784871 +73.7590709594643| -57.550 -1.666   |9.81     |G5             |    ~     ~    
1095|HD 107636                                                                                                                                                                      |Star                              |12 22 09.1653680952 +12 25 48.519545916|276.4772728773867 +73.7787789156236|  1.264 -40.758   |10.5     |G5             |    ~     ~    
1096|HD 106734                                                                                                                                                                      |Star                              |12 16 26.5095331968 +11 59 13.252107336|272.7672384789298 +72.7760929012412|   -0.227 0.730   |10.39    |F5             |    ~     ~    
1097|HD 106815                                                                                                                                                                      |Star                              |12 17 02.4849451368 +11 46 43.437201312|273.5244292019310 +72.6565497027176|   7.130 -2.944   |9.38     |K0             |    ~     ~    
1098|HD 106950                                                                                                                                                                      |Double or Multiple Star           |12 17 55.6503 +11 46 38.898            |274.1806425 +72.7512399            |     2.90 -5.40   |10.5     |F0             |    ~     ~    
1099|HD 106964                                                                                                                                                                      |Star                              |12 17 57.3559855008 +11 48 14.666180832|274.1624818233055 +72.7782051658228|-23.432 -11.689   |9.01     |K0             |    ~     ~    
1100|HD 107068B                                                                                                                                                                     |Star                              |12 18 42.3428319984 +11 47 41.269309764|274.7356632964532 +72.8494039799489| 16.323 -14.760   |10.05    |~              |    ~     ~    
1101|HD 107364                                                                                                                                                                      |Star                              |12 20 34.8048721272 +12 07 31.261075536|275.6830247194465 +73.3429139168295|-28.707 -27.726   |10.48    |G0             |    ~     ~    
1102|HD 107470                                                                                                                                                                      |Star                              |12 21 12.6413759472 +12 06 49.179606732|276.1903479199417 +73.3959578416357|   -6.937 1.677   |10.37    |A5             |    ~     ~    
1103|HD 107515                                                                                                                                                                      |High Proper Motion Star           |12 21 27.3608027376 +11 49 06.562055856|276.7963714265798 +73.1503852787217| 59.320 -47.803   |10.55    |G0             |    ~     ~    
1104|HD 107613                                                                                                                                                                      |Star                              |12 22 02.8833746064 +11 50 52.563703380|277.2155916907194 +73.2349962409645|  -17.260 0.100   |10.06    |K0             |    ~     ~    
1105|HD 106594                                                                                                                                                                      |Star                              |12 15 37.1373767016 +11 17 30.475991328|273.2166088337608 +72.0651019687843| -44.393 14.265   |10.04    |K0             |    ~     ~    
1106|HD 106748                                                                                                                                                                      |Star                              |12 16 33.9246390840 +11 33 36.444858084|273.5020929840167 +72.4089070741667|-23.187 -14.946   |10.40    |G5             |    ~     ~    
1107|HD 106786                                                                                                                                                                      |High Proper Motion Star           |12 16 48.8066399088 +11 29 55.212222732|273.7723456241945 +72.3808593911302| -61.037 -9.072   |10.33    |G0             |    ~     ~    
1108|V* KM Vir                                                                                                                                                                      |Long-Period Variable              |12 19 51.8606989584 +11 35 54.868058520|275.8864840979404 +72.7909660347415|  -5.725 -7.940   |8.36     |M5             |    ~     ~    
1109|HD 107277                                                                                                                                                                      |Star                              |12 20 02.2290954984 +11 38 16.623532860|275.9619696284721 +72.8442945479496|  8.243 -43.799   |10.26    |G5             |    ~     ~    
1110|HD 107344                                                                                                                                                                      |Star                              |12 20 31.3675889304 +11 22 31.142241660|276.6886732026310 +72.6527604701701|  -7.912 -3.641   |9.47     |K5             |    ~     ~    
1111|NGC 4216                           NGC 4216                                                                                                                                    |Galaxy in Pair of Galaxies        |12 15 54.444 +13 08 57.84              |270.455782 +73.737944              |            ~ ~   |10.01    |~              | 7.94  1.86    
1112|GEN# +7.00800019                                                                                                                                                               |Star                              |12 18 18.0 +13 48 54                   |271.1304 +74.6025                  |            ~ ~   |10.69    |~              |    ~     ~    
1113|TYC 876-165-1                                                                                                                                                                  |Star                              |12 20 34.7148974976 +11 40 34.198738932|276.3197978283106 +72.9334562690474| 13.862 -16.322   |10.96    |~              |    ~     ~    
1114|TYC 879-352-1                                                                                                                                                                  |High Proper Motion Star           |12 18 56.7238308864 +13 54 54.360384876|271.4682000312834 +74.7656197639918|-80.553 -33.542   |10.99    |G3             |    ~     ~    
1115|HD 106511                                                                                                                                                                      |Star                              |12 15 06.8860729200 +12 45 17.527964652|270.5434058490493 +73.2993883963027|   -1.914 0.157   |10.72    |~              |    ~     ~    
1116|HD 106912                                                                                                                                                                      |Star                              |12 17 38.0198371296 +11 12 55.554803244|274.7730736093211 +72.2133927248127|  -35.960 4.542   |9.11     |K0             |    ~     ~    
1117|HD 107215                                                                                                                                                                      |Star                              |12 19 36.8012635176 +10 59 26.870895384|276.5246924542413 +72.2109982427998| -18.671 -2.022   |10.18    |K0             |    ~     ~    
1118|HD 107385                                                                                                                                                                      |Star                              |12 20 38.8737089568 +11 03 52.393681404|277.1936550896072 +72.3798146796574| 15.434 -13.787   |10.55    |K0             |    ~     ~    
1119|HD 107570                                                                                                                                                                      |Star                              |12 21 45.4385031816 +11 10 55.896723192|277.8747014157564 +72.5940606742190| 10.284 -13.192   |9.46     |F5             |    ~     ~    
1120|HD 106607                                                                                                                                                                      |Star                              |12 15 41.9778955944 +10 52 03.526644756|273.8804438740035 +71.6940560744212|  -49.518 4.860   |8.42     |K0             |    ~     ~    
1121|HD 106876                                                                                                                                                                      |Star                              |12 17 28.8363402960 +10 38 34.471637160|275.4448101903266 +71.6787290625459|-12.106 -30.616   |10.66    |G5             |    ~     ~    
1122|HD 106928                                                                                                                                                                      |Star                              |12 17 46.9528013784 +10 15 54.046961244|276.1502882648176 +71.3651611655671| -17.250 45.107   |10.35    |G5             |    ~     ~    
1123|HD 107056                                                                                                                                                                      |Star                              |12 18 33.8916490440 +10 52 06.957624432|275.9218497845313 +71.9945468125518|   6.110 -0.236   |9.71     |F5             |    ~     ~    
1124|HD 107101                                                                                                                                                                      |Spectroscopic Binary              |12 18 51.2794858344 +10 37 35.519263932|276.4486680570720 +71.8025279283631| -24.469 35.878   |9.86     |G5             |    ~     ~    
1125|HD 107134                                                                                                                                                                      |Star                              |12 19 06.7174271208 +10 35 36.361115772|276.6766239939960 +71.7976502574830| -17.637 38.937   |8.777    |K0             |    ~     ~    
1126|HD 107257                                                                                                                                                                      |Star                              |12 19 54.6764483136 +10 29 03.662429388|277.3919448373654 +71.7751321761553| 13.096 -27.686   |8.39     |G0             |    ~     ~    
1127|HD 106512                                                                                                                                                                      |Spectroscopic Binary              |12 15 03.4558236360 +09 59 27.145505544|274.6233093259605 +70.8357168256137| -11.197 -6.406   |9.41     |F5             |    ~     ~    
1128|HD 106513                                                                                                                                                                      |Star                              |12 15 01.8635106360 +09 59 16.154133972|274.6093151343537 +70.8301575903800| -11.693 -6.927   |9.42     |F5             |    ~     ~    
1129|HD 106852                                                                                                                                                                      |Spectroscopic Binary              |12 17 18.5199828888 +09 45 43.334013888|276.4502344631068 +70.8580432547638|  -5.669 -8.135   |10.62    |G5             |    ~     ~    
1130|HD 106859                                                                                                                                                                      |Star                              |12 17 25.4282222064 +10 08 05.503194132|276.0646473418595 +71.2103201827936| -9.428 -18.431   |10.49    |G0             |    ~     ~    
1131|HD 106929                                                                                                                                                                      |Star                              |12 17 49.9634494392 +10 07 11.965090152|276.3691026331545 +71.2376342538013| -11.552 -1.342   |9.79     |B9             |    ~     ~    
1132|HD 106951                                                                                                                                                                      |Star                              |12 17 55.5650178096 +10 03 38.394009612|276.5086942731556 +71.1926125223551| -23.596 -8.415   |10.42    |K0             |    ~     ~    
1133|HD 106988                                                                                                                                                                      |Star                              |12 18 13.1942360112 +09 52 06.345763212|276.9507102619716 +71.0452050857041|-11.962 -17.630   |8.83     |A3             |    ~     ~    
1134|HD 107057                                                                                                                                                                      |Star                              |12 18 36.1205239128 +10 35 05.749192896|276.3209992283181 +71.7393600590599|  4.659 -23.345   |10.94    |G0             |    ~     ~    
1135|HD 107089                                                                                                                                                                      |Star                              |12 18 47.4802967232 +10 06 13.924172808|277.0630244891040 +71.3170755549586|-30.878 -13.657   |9.18     |F0             |    ~     ~    
