C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:47:02

Vmag< 11&dec >=0&rah >=13.75&rah< 14.0
--------------------------------------

Number of objects : 2104

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-----------------|---------------
1058|BD+15 2626                                                                                               |Star                           |13 46 34.7061721032 +15 10 56.164534608|352.7350619540541 +72.4782662966139|  -32.857 2.630    |9.84     |F8III            |    ~     ~    
1059|HD 120008                                                                                                |Double or Multiple Star        |13 46 31.4789362957 +15 45 04.772446291|354.0661353612811 +72.8869682927797| 20.477 -15.701    |8.81     |F8               |0.0033  0.0    
1060|TYC 1460-182-1                                                                                           |Star                           |13 51 46.7868047640 +17 15 43.696213668|000.7602436823201 +72.9251790673755|  -18.033 2.348    |9.85     |~                |    ~     ~    
1061|TYC 1460-418-1                                                                                           |Star                           |13 45 29.8590188640 +16 42 11.890539324|355.9026391294888 +73.7168929605658| -6.889 -20.999    |10.89    |~                |    ~     ~    
1062|TYC 1460-493-1                                                                                           |Star                           |13 49 20.5376251272 +17 25 36.461800632|359.9628269709556 +73.4840767120866| -11.183 -2.625    |10.93    |~                |    ~     ~    
1063|TYC 1460-502-1                                                                                           |High Proper Motion Star        |13 51 12.5960439936 +15 31 50.336073696|356.0845223331220 +71.9129039718842|-54.870 -48.093    |9.87     |~                |    ~     ~    
1064|TYC 1460-806-1                                                                                           |Star                           |13 47 55.5496599192 +15 19 15.669515280|353.8183153139368 +72.3451333151835| -2.380 -11.962    |10.32    |~                |    ~     ~    
1065|TYC 1460-812-1                                                                                           |Star                           |13 45 16.5515250792 +15 20 04.341505236|352.3443247356345 +72.8073549123155|  8.124 -11.198    |9.80     |~                |    ~     ~    
1066|TYC 1460-879-1                                                                                           |Star                           |13 51 29.3596356072 +15 33 50.924779704|356.3099420549563 +71.8856024907054|     -23.0 -4.7    |10.84    |~                |    ~     ~    
1067|TYC 1460-903-1                                                                                           |Spectroscopic Binary           |13 47 48.2692012512 +15 51 01.073908908|355.0263813583317 +72.7319221091861|  5.423 -13.562    |10.82    |~                |    ~     ~    
1068|TYC 1460-937-1                                                                                           |Star                           |13 51 01.9028528232 +16 35 29.406013512|358.6174021440409 +72.6430566178776|   -7.649 2.790    |10.80    |~                |    ~     ~    
1069|TYC 1460-1020-1                                                                                          |Star                           |13 46 00.3150521736 +17 08 40.556573304|357.3781711331023 +73.9178544655078| -1.706 -11.891    |10.41    |~                |    ~     ~    
1070|TYC 1460-1058-1                                                                                          |Star                           |13 51 01.4282575056 +16 14 54.844388664|357.7423342409870 +72.4225555153593| 11.328 -11.602    |10.83    |~                |    ~     ~    
1071|TYC 1460-1062-1                                                                                          |Star                           |13 49 39.1526045592 +15 08 42.287783280|354.3507978020051 +71.9235239703405| 20.591 -18.580    |10.50    |~                |    ~     ~    
1072|TYC 1460-1129-1                                                                                          |Star                           |13 48 36.0165003288 +15 45 20.432190960|355.2324089841058 +72.5274354889916| -22.100 -8.987    |10.54    |~                |    ~     ~    
1073|TYC 1460-1152-1                                                                                          |Star                           |13 45 28.2122395032 +15 23 47.667709716|352.6046312414377 +72.8186157236946| -0.202 -38.692    |9.97     |~                |    ~     ~    
1074|TYC 1467-1033-1                                                                                          |Star                           |13 52 14.8395898056 +16 50 05.014202856|359.8640996066487 +72.5722665135796|  9.258 -23.933    |10.89    |~                |    ~     ~    
1075|* tau Boo                                                                                                |Rotating Variable              |13 47 15.7381720026 +17 27 24.809555600|358.9367359169750 +73.8889879970058|-468.923 63.469    |4.49     |F7IV-V           |    ~     ~    
1076|HD 120137                                                                                                |Star                           |13 47 19.6866306936 +15 06 01.666344636|352.9680737480906 +72.2926606125223| -28.744 -1.254    |9.27     |G0               |    ~     ~    
1077|BD+15 2623                                                                                               |High Proper Motion Star        |13 46 08.2349727912 +15 03 06.174977184|352.1791160537025 +72.4598676024952| 69.947 -28.755    |10.68    |G7V              |    ~     ~    
1078|HD 119850                                                                                                |Eruptive Variable              |13 45 43.7755597223 +14 53 29.471707437|351.5756384640760 +72.4130373583060|1776.006 -1455.156 |8.50     |M2V              |    ~     ~    
1079|BD+15 2622                                                                                               |High Proper Motion Star        |13 46 08.2566106032 +14 18 49.893588612|350.5188665234500 +71.9244266463752|-63.410 -25.588    |9.51     |K0               |    ~     ~    
1080|BD+15 2624                                                                                               |High Proper Motion Star        |13 46 12.9115135368 +14 55 01.842813660|351.9137927581993 +72.3502231738559|25.446 -139.034    |9.85     |G3V              |    ~     ~    
1081|HD 119965                                                                                                |Star                           |13 46 14.5724694504 +14 26 45.116798532|350.8692387436656 +72.0038483433258|  -28.992 4.318    |8.83     |G5               |    ~     ~    
1082|HD 120568                                                                                                |Star                           |13 50 05.8129104144 +14 48 22.281005952|353.8125777376661 +71.6104639796658| -10.826 18.742    |9.20     |F2               |    ~     ~    
1083|BD+15 2633                                                                                               |Star                           |13 50 40.6374564096 +14 17 17.458882260|352.9724207089074 +71.1456051377441| -1.825 -43.384    |10.07    |G5               |    ~     ~    
1084|BD+15 2638                                                                                               |Star                           |13 52 13.6275650880 +14 20 27.929593716|353.9025402014917 +70.9168192359056|  -17.817 8.533    |10.46    |G0               |    ~     ~    
1085|BD+14 2657                                                                                               |Star                           |13 45 18.0784062456 +13 50 46.886158824|349.0330883040334 +71.7128255563541|  -25.522 7.074    |10.887   |K0               |    ~     ~    
1086|TYC 899-813-1                                                                                            |High Proper Motion Star        |13 46 00.8506410144 +14 38 24.465851016|351.1702865317029 +72.1833861697829| 32.334 -43.924    |10.96    |G5V              |    ~     ~    
1087|BD+14 2660                                                                                               |Star                           |13 46 28.5729075864 +14 13 39.174472236|350.5245844519626 +71.8053602616792| -28.472 16.322    |9.62     |M0               |    ~     ~    
1088|BD+14 2666                                                                                               |Star                           |13 49 22.3128257496 +13 48 02.778980328|351.2260681871612 +71.0144933897744| 10.539 -13.283    |9.91     |K0               |    ~     ~    
1089|BD+14 2668                                                                                               |High Proper Motion Star        |13 50 01.2435001896 +14 06 55.902027888|352.2470158254181 +71.1336706181659| 32.418 -33.886    |10.20    |G5               |    ~     ~    
1090|BD+14 2674                                                                                               |Star                           |13 51 47.6590378344 +14 03 23.270663016|353.0617716893497 +70.7904234420416|  -11.331 7.303    |9.72     |K0               |    ~     ~    
1091|HD 120864                                                                                                |High Proper Motion Star        |13 51 52.9652668272 +13 55 36.747161976|352.8319812374668 +70.6831541375094| 30.166 -48.578    |9.05     |G5               |    ~     ~    
1092|HD 120877                                                                                                |High Proper Motion Star        |13 51 57.2275446312 +14 01 25.674954852|353.0753111652708 +70.7399942321797| 18.364 -99.355    |8.13     |F8               |    ~     ~    
1093|BD+14 2663                                                                                               |Star                           |13 48 04.9338850488 +13 38 18.218166000|350.1776218624024 +71.1076574115672| -6.631 -26.334    |8.84     |K0               |    ~     ~    
1094|HD 120247                                                                                                |Star                           |13 48 04.7039064744 +13 20 12.262524288|349.5560863494716 +70.8839742241732| -43.695 -1.194    |7.60     |K0               |    ~     ~    
1095|HD 120569                                                                                                |Star                           |13 50 05.5690185984 +13 29 14.198727912|350.9644254365817 +70.6658072146803|  -14.086 9.821    |8.72     |K2               |    ~     ~    
1096|BD+14 2672                                                                                               |Star                           |13 51 34.5624132288 +13 24 41.765474808|351.5982422355228 +70.3639936438850|   -3.732 3.364    |10.2     |K0               |    ~     ~    
1097|HD 120009                                                                                                |High Proper Motion Star        |13 46 38.3985585264 +12 39 19.026818424|347.4035654531122 +70.5957080534985| -82.711 32.176    |8.52     |G5               |    ~     ~    
1098|HD 120350                                                                                                |Star                           |13 48 42.5815997640 +13 10 56.281636812|349.5927662878205 +70.6664804632646| 19.198 -21.432    |8.58     |A5               |    ~     ~    
1099|BD+13 2712                                                                                               |Star                           |13 49 14.0183849592 +12 53 26.848689468|349.2999728069344 +70.3636202095854|  24.620 -9.953    |9.28     |K0               |    ~     ~    
1100|BD+13 2713                                                                                               |Star                           |13 49 20.4311514912 +13 12 42.556221216|349.9969568348633 +70.5860519904052|  -29.040 4.044    |9.78     |F8               |    ~     ~    
1101|HD 120541                                                                                                |High Proper Motion Star        |13 49 52.3987299480 +13 11 31.014975732|350.2456401022183 +70.4843454236962| -48.296 20.356    |6.653    |A2               |    ~     ~    
1102|BD+14 2665                                                                                               |Star                           |13 49 13.0315421880 +13 39 06.078058092|350.8299708314461 +70.9310570522596|   -2.272 2.450    |10.29    |~                |    ~     ~    
1103|TYC 899-48-1                                                                                             |Star                           |13 46 05.1248606976 +13 20 52.561043016|348.4557557221849 +71.2117826237989|   1.498 -0.361    |10.58    |~                |    ~     ~    
1104|TYC 899-314-1                                                                                            |High Proper Motion Star        |13 45 52.6695889440 +13 48 59.084338932|349.3034092379116 +71.5977406791188|  -66.320 7.122    |10.39    |~                |    ~     ~    
1105|TYC 899-318-1                                                                                            |High Proper Motion Star        |13 46 26.4580430736 +13 21 37.376821800|348.6839045138443 +71.1646422164499| -60.956 13.113    |10.41    |~                |    ~     ~    
1106|TYC 899-381-1                                                                                            |High Proper Motion Star        |13 47 08.8006070184 +12 57 21.911049396|348.2745244568912 +70.7461608425117|-62.221 -50.523    |10.32    |~                |    ~     ~    
1107|TYC 899-428-1                                                                                            |High Proper Motion Star        |13 46 43.3243911216 +13 28 04.554743520|349.0628203031877 +71.2007282678267|-107.119 35.631    |10.17    |~                |    ~     ~    
1108|TYC 899-589-1                                                                                            |Star                           |13 45 40.2545600808 +12 50 47.999707548|347.2223312882808 +70.8938503275755|  -16.470 4.849    |10.86    |~                |    ~     ~    
1109|TYC 899-933-1                                                                                            |High Proper Motion Star        |13 45 31.4398575216 +14 30 37.592174376|350.5978880499018 +72.1696332617948|-66.274 -25.796    |10.08    |~                |    ~     ~    
1110|TYC 906-427-1                                                                                            |Star                           |13 51 46.6872613272 +12 55 06.538052892|350.7136214464319 +69.9696408540635| -15.713 -2.793    |10.78    |~                |    ~     ~    
1111|TYC 906-444-1                                                                                            |Star                           |13 50 16.6132809792 +13 22 24.994425396|350.8306453230370 +70.5520050657259|-13.837 -23.553    |10.55    |~                |    ~     ~    
1112|TYC 906-580-1                                                                                            |Star                           |13 49 35.7196595904 +13 36 45.951932628|350.9547971274186 +70.8400376949733| 14.296 -31.141    |9.84     |~                |    ~     ~    
1113|TYC 906-630-1                                                                                            |High Proper Motion Star        |13 52 28.7354419416 +12 56 06.728335728|351.1120339533922 +69.8660831635658| -51.684 -5.360    |9.93     |~                |    ~     ~    
1114|TYC 906-670-1                                                                                            |Star                           |13 52 21.4595902968 +14 00 07.187780088|353.2389947992436 +70.6554691680312| -41.809 -4.765    |10.40    |~                |    ~     ~    
1115|TYC 906-769-1                                                                                            |Star                           |13 49 29.5165062576 +12 50 52.461761136|349.3560700665094 +70.2898257967845|   -1.666 4.423    |10.97    |~                |    ~     ~    
1116|TYC 906-816-1                                                                                            |Star                           |13 51 07.7882604816 +13 44 30.381313740|352.0458447727792 +70.6778340363398| -42.485 10.406    |10.05    |~                |    ~     ~    
1117|TYC 906-839-1                                                                                            |Star                           |13 51 45.1833278064 +13 23 54.987398376|351.6646473192773 +70.3249670739365|-14.990 -15.756    |10.64    |~                |    ~     ~    
1118|TYC 906-903-1                                                                                            |High Proper Motion Star        |13 51 01.2222670728 +14 37 57.092646504|353.9138148517116 +71.3294216882889| 64.772 -13.467    |9.79     |~                |    ~     ~    
1119|TYC 906-959-1                                                                                            |Star                           |13 50 58.7527642584 +14 54 07.060789008|354.4994785714885 +71.5240937161578| -20.617 -8.992    |10.65    |~                |    ~     ~    
1120|TYC 906-1005-1                                                                                           |Star                           |13 51 53.5273799040 +14 36 27.037793016|354.3155072846169 +71.1608487644580|  -5.539 -0.740    |10.69    |~                |    ~     ~    
1121|TYC 1460-897-1                                                                                           |Star                           |13 47 55.0975784400 +15 00 28.878442704|353.0839878581055 +72.1265516658246|   9.263 -3.210    |9.99     |~                |    ~     ~    
1122|BD+13 2710                                                                                               |Star                           |13 48 07.3574478984 +12 31 51.578885532|347.9931731743902 +70.2681198746372|  -6.006 -3.376    |10.5     |~                |    ~     ~    
1123|BD+12 2620                                                                                               |High Proper Motion Star        |13 45 17.5548311616 +11 55 49.680582204|345.2840617911260 +70.2364528932689|-49.299 -46.743    |9.50     |F8               |    ~     ~    
1124|HD 119865                                                                                                |Star                           |13 45 39.6790913808 +12 15 41.745211128|346.1028823881053 +70.4410860928610| -19.410 20.063    |8.66     |K5               |    ~     ~    
1125|HD 120104                                                                                                |Star                           |13 47 11.1924902280 +11 46 52.949057268|346.0822115385969 +69.8330983942177| -17.741 -5.164    |8.81     |F8               |    ~     ~    
1126|BD+12 2628                                                                                               |Star                           |13 47 55.9933009944 +11 47 37.979907936|346.5178392291842 +69.7287878919882|   7.948 -8.369    |8.81     |K2               |    ~     ~    
1127|BD+12 2629                                                                                               |Star                           |13 49 08.9848037520 +11 53 57.905949192|347.3740550993160 +69.6225120154653| -36.580 -6.193    |9.94     |F5               |    ~     ~    
1128|BD+12 2630                                                                                               |Star                           |13 49 26.3989649928 +12 07 43.757145264|347.9542855148555 +69.7532564232741|-18.630 -17.444    |10.77    |G0               |    ~     ~    
1129|HD 120934                                                                                                |Star                           |13 52 18.4064027184 +12 09 54.497118312|349.5404171910389 +69.3233368972563|  27.155 -8.650    |6.098    |A1V              |    ~     ~    
1130|HD 119824                                                                                                |Star                           |13 45 22.9469037912 +11 28 45.390937440|344.5313830832152 +69.8648149449817|  40.110 -8.608    |8.30     |G0               |    ~     ~    
1131|BD+12 2623                                                                                               |Star                           |13 45 33.7464883416 +11 25 52.450335876|344.5494086680845 +69.7998987890381| 15.570 -27.041    |9.46     |A0               |    ~     ~    
1132|BD+12 2626                                                                                               |Spectroscopic Binary           |13 47 07.9360616544 +11 37 43.757059260|345.7784952187626 +69.7216209070302| -1.062 -17.616    |8.53     |K5               |    ~     ~    
1133|HD 120703                                                                                                |High Proper Motion Star        |13 50 55.8457833912 +11 34 48.017391852|347.7471417331871 +69.0983207373640|  -57.420 5.403    |8.30     |F8               |    ~     ~    
1134|BD+12 2632                                                                                               |Star                           |13 51 08.5162702200 +11 25 21.947206692|347.5775409955864 +68.9443259754228| -16.056 38.369    |10.22    |K0               |    ~     ~    
1135|BD+11 2597                                                                                               |Star                           |13 45 04.7455520040 +10 49 02.892587880|343.2296885839228 +69.3768741249668|    0.406 3.535    |10.22    |K2               |    ~     ~    
1136|HD 119769                                                                                                |High Proper Motion Star        |13 45 05.0453402448 +10 22 30.963883620|342.5088071198954 +69.0163209811439|  10.312 62.680    |9.19     |K0               |    ~     ~    
1137|HD 119784                                                                                                |High Proper Motion Star        |13 45 13.4350696368 +10 19 31.105415784|342.5068674010267 +68.9556732576859|-55.181 -44.400    |6.41     |K2               |    ~     ~    
1138|HD 120010                                                                                                |Star                           |13 46 37.6262656106 +10 50 26.191765585|344.1344014515709 +69.1706975993307|  -12.101 3.855    |8.58     |K2               |    ~     ~    
1139|HD 120119                                                                                                |Star                           |13 47 21.7978413240 +10 56 14.445249144|344.7038037826472 +69.1395489533603| 11.205 -12.787    |8.590    |K5               |    ~     ~    
1140|BD+11 2603                                                                                               |High Proper Motion Star        |13 49 03.2284733760 +10 54 12.256652700|345.5647052731436 +68.8599511845118|-53.766 -38.985    |9.73     |G0               |    ~     ~    
1141|V* DM Boo                                                                                                |Cataclysmic Binary Candidate   |13 49 22.7421084840 +10 35 26.826332172|345.2122522595770 +68.5637440940386| -37.463 -3.060    |9.089    |G5               |    ~     ~    
1142|BD+11 2605                                                                                               |Star                           |13 50 04.1467117704 +10 51 54.908569224|346.0416231789740 +68.6762205010648|-32.988 -24.463    |10.43    |F8               |    ~     ~    
1143|BD+11 2606                                                                                               |Star                           |13 50 09.7218942048 +11 09 16.605791784|346.5888496956321 +68.8884174475856|-16.756 -21.592    |10.09    |G0               |    ~     ~    
1144|BD+11 2607                                                                                               |Star                           |13 52 08.8617145296 +11 16 31.532835396|347.8413134265725 +68.6734186645468| -32.156 11.343    |10.45    |G5               |    ~     ~    
1145|HD 120316                                                                                                |High Proper Motion Star        |13 48 33.2166826104 +10 09 04.270500648|344.0506303926352 +68.3348471541369|  31.124 77.255    |8.91     |G5               |    ~     ~    
1146|HD 120351                                                                                                |High Proper Motion Star        |13 48 45.4258983624 +10 08 42.966145320|344.1500152563439 +68.3002880043721| -55.041 17.846    |8.95     |K0               |    ~     ~    
1147|HD 120382                                                                                                |Star                           |13 48 59.9408120832 +10 04 28.564187844|344.1654470035292 +68.2080592284807|  19.518 -1.489    |8.09     |K5               |    ~     ~    
1148|HD 120848                                                                                                |Double or Multiple Star        |13 51 51.7969042080 +10 08 09.315737016|345.7638852434953 +67.8301447963304|-38.954 -24.106    |6.57     |K5               |    ~     ~    
1149|TYC 896-613-1                                                                                            |High Proper Motion Star        |13 46 19.3010699688 +11 37 21.613567080|345.3147884648761 +69.8388825728385|   50.472 7.934    |10.95    |~                |    ~     ~    
1150|TYC 896-135-1                                                                                            |Star                           |13 46 26.8011521520 +12 08 48.731030592|346.3355140340119 +70.2316537912643|   0.824 -2.562    |10.57    |~                |    ~     ~    
1151|TYC 896-191-1                                                                                            |Star                           |13 45 25.3801622232 +11 45 02.593089360|345.0348701392371 +70.0746770843009| 24.955 -29.553    |10.77    |~                |    ~     ~    
1152|TYC 896-215-1                                                                                            |Star                           |13 45 22.1315921952 +11 44 17.122451172|344.9814568199886 +70.0727328855578|  -20.852 7.892    |10.27    |~                |    ~     ~    
1153|TYC 896-292-1                                                                                            |Star                           |13 45 10.7179692144 +10 38 06.897993972|342.9846191062036 +69.2147156685147|  -8.401 -6.609    |10.65    |~                |    ~     ~    
1154|TYC 896-711-1                                                                                            |Star                           |13 45 40.5021660720 +11 27 27.622918260|344.6593372780345 +69.8043175797987|   -6.736 8.260    |10.27    |~                |    ~     ~    
1155|TYC 896-779-1                                                                                            |Star                           |13 45 06.5433988968 +11 23 43.721597184|344.2297285878755 +69.8381096256801| -40.848 10.702    |10.14    |~                |    ~     ~    
1156|TYC 903-587-1                                                                                            |Star                           |13 51 21.5501622720 +11 45 36.820759752|348.2981684971394 +69.1687472999175|  0.972 -32.159    |9.67     |~                |    ~     ~    
1157|TYC 903-721-1                                                                                            |Star                           |13 50 59.4689064024 +12 28 23.050893828|349.4335442117011 +69.7668249898687| 11.926 -13.977    |10.83    |~                |    ~     ~    
1158|TYC 903-817-1                                                                                            |Star                           |13 51 34.7923807896 +10 50 11.240663784|346.7854920141770 +68.4223994170418| -17.149 -3.865    |10.86    |~                |    ~     ~    
1159|TYC 903-826-1                                                                                            |Star                           |13 48 34.7750612760 +11 47 21.247515240|346.8635638548488 +69.6257085474486| -25.930 -1.489    |10.81    |~                |    ~     ~    
1160|TYC 903-855-1                                                                                            |Star                           |13 48 29.8292715048 +11 04 52.300405164|345.5684874168908 +69.0841602756378|  11.984 22.490    |10.88    |~                |    ~     ~    
1161|TYC 903-890-1                                                                                            |Star                           |13 49 23.8152530616 +11 55 32.246478804|347.5557095115852 +69.6041240120688|   3.978 -6.989    |10.64    |~                |    ~     ~    
1162|TYC 903-998-1                                                                                            |Star                           |13 47 21.5931866568 +11 05 40.628553648|344.9701627010426 +69.2652115830233| -27.047 -3.816    |9.99     |~                |    ~     ~    
1163|TYC 900-625-1                                                                                            |Star                           |13 47 44.4496515720 +09 52 24.888340020|343.1717293068383 +68.2283967440320| -27.054 -2.625    |10.61    |K2               |    ~     ~    
1164|BD+10 2590                                                                                               |Star                           |13 45 55.5263246712 +09 50 49.982759304|342.1410028477665 +68.4650202356751| -11.253 12.841    |9.85     |K2               |    ~     ~    
1165|BD+10 2588                                                                                               |Star                           |13 45 06.3610634328 +09 28 46.889100372|341.1259216750113 +68.2756404336264|  -47.412 9.797    |10.65    |F8               |    ~     ~    
1166|BD+10 2591                                                                                               |Star                           |13 46 25.7153877000 +09 24 50.213723508|341.7519075700607 +68.0380330133464|  4.070 -14.116    |10.11    |K2               |    ~     ~    
1167|BD+10 2592                                                                                               |Star                           |13 47 23.6557348464 +09 40 53.259241368|342.6847543602183 +68.1215170428810|  -1.479 -3.778    |10.18    |K0               |    ~     ~    
1168|HD 120365                                                                                                |High Proper Motion Star        |13 48 51.2052722280 +09 42 47.834033940|343.5156022214758 +67.9379697714052|-49.345 -26.656    |7.30     |K5               |    ~     ~    
1169|BD+10 2597                                                                                               |Star                           |13 49 04.8176042736 +09 36 02.019971052|343.4601089259924 +67.8138859029077|  17.400 -2.483    |10.07    |G5               |    ~     ~    
1170|BD+10 2598                                                                                               |High Proper Motion Star        |13 50 08.1537530328 +09 40 30.275701572|344.1313009118230 +67.7203493646675|-11.809 -53.764    |10.55    |G0               |    ~     ~    
1171|BD+10 2599                                                                                               |Star                           |13 50 12.5256252456 +09 24 02.471150628|343.7428498233886 +67.4885961591648| -13.935 -1.919    |10.91    |F8               |    ~     ~    
1172|HD 119802                                                                                                |High Proper Motion Star        |13 45 14.7172980360 +08 50 09.508228764|340.2539472424341 +67.7198959713423|-66.359 -96.291    |8.459    |K3V              |    ~     ~    
1173|HD 119825                                                                                                |Double or Multiple Star        |13 45 20.85825 +09 03 27.8458          |340.63195288 +67.89144058          |  -22.91 -81.46    |8.86     |G5               |    ~     ~    
1174|HD 119866                                                                                                |Star                           |13 45 41.1226476048 +09 03 58.687925256|340.8290429676268 +67.8525261785297|  -43.111 2.576    |9.17     |K5               |    ~     ~    
1175|BD+09 2806                                                                                               |Star                           |13 46 03.1292692896 +08 40 39.378581940|340.4643687778260 +67.4782406504693|   2.468 -4.447    |10.08    |F8               |    ~     ~    
1176|BD+09 2807                                                                                               |High Proper Motion Star        |13 46 42.6346686720 +09 06 07.993674144|341.4380714798551 +67.7412798303124| -58.656 11.346    |9.58     |K2               |    ~     ~    
1177|BD+09 2808                                                                                               |High Proper Motion Star        |13 47 58.9665917616 +09 06 09.613576836|342.1200294354263 +67.5641007539261| -51.920 25.679    |10.62    |G5               |    ~     ~    
1178|BD+09 2811                                                                                               |Star                           |13 49 10.0706892552 +08 38 54.714305472|342.0743762757221 +67.0240862640101|  -15.480 4.039    |10.75    |G0               |    ~     ~    
1179|HD 120436                                                                                                |Star                           |13 49 17.6144403792 +08 53 20.090802840|342.4928917199734 +67.2036915954927|-12.186 -22.038    |8.97     |K2               |    ~     ~    
1180|V* FQ Boo                                                                                                |delta Sct Variable             |13 49 44.1554383104 +08 24 31.089742272|342.0219293610712 +66.7468642587115| -25.806 10.657    |6.604    |hA5VkA2mA2_lB    |    ~     ~    
1181|HD 120542                                                                                                |High Proper Motion Star        |13 49 57.4731716496 +08 42 31.566865248|342.5724264779495 +66.9619691009175|  -66.141 8.448    |9.18     |F8               |    ~     ~    
1182|HD 120789                                                                                                |Star                           |13 51 29.8631261448 +08 20 38.453146944|342.8285923000316 +66.4445552855891|-19.412 -12.660    |8.13     |A3               |    ~     ~    
1183|BD+09 2817                                                                                               |Star                           |13 51 46.3298328312 +09 09 04.935227400|344.1656782479399 +67.0593263949639| 13.533 -15.912    |10.29    |G5               |    ~     ~    
1184|BD+08 2761                                                                                               |Star                           |13 46 06.8150493480 +08 03 38.176227252|339.6324629130794 +66.9518013360757|-17.871 -11.116    |10.71    |F8               |    ~     ~    
1185|HD 120199                                                                                                |Star                           |13 47 51.5709188160 +08 00 05.736346236|340.4732487628324 +66.6677826603152|    3.690 3.237    |8.60     |K5               |    ~     ~    
1186|V* HX Boo                                                                                                |Long-Period Variable           |13 48 08.5001313456 +07 49 12.953914752|340.3709555261865 +66.4777632441113| -13.326 -5.129    |9.38     |M5               |    ~     ~    
1187|HD 120317                                                                                                |High Proper Motion Star        |13 48 34.6899380016 +07 57 36.401761692|340.7901473907016 +66.5353452882709|  50.666 -8.929    |6.80     |F2               |    ~     ~    
1188|HD 120383                                                                                                |Star                           |13 49 02.2485227976 +07 47 17.503866384|340.7903906087397 +66.3292070038663|   2.144 -3.388    |9.80     |K2               |    ~     ~    
1189|BD+08 2775                                                                                               |High Proper Motion Star        |13 50 37.4046831024 +08 04 37.063326468|342.0039627874160 +66.3491562506648|-50.170 -34.898    |10.67    |G0               |    ~     ~    
1190|BD+08 2763                                                                                               |Star                           |13 47 19.1423047920 +07 40 43.966957368|339.7499567227222 +66.4694393844364|   5.635 -4.343    |9.52     |K2               |    ~     ~    
1191|HD 120464                                                                                                |Star                           |13 49 31.3978469928 +07 36 00.146982384|340.7823069225800 +66.1058718981642|  -31.161 2.175    |8.73     |K2               |    ~     ~    
1192|TYC 893-274-1                                                                                            |Star                           |13 45 31.9601514360 +09 34 52.633912260|341.5153282344925 +68.3008335737761| -1.570 -27.266    |10.45    |~                |    ~     ~    
1193|TYC 893-765-1                                                                                            |Star                           |13 45 23.3512959624 +07 57 21.251779056|339.1022870402113 +66.9589888797025|   -3.385 6.565    |10.90    |~                |    ~     ~    
1194|TYC 896-356-1                                                                                            |Star                           |13 45 14.7546707616 +10 00 38.734773804|342.0200992292541 +68.6947990421703|  -17.635 0.518    |10.25    |~                |    ~     ~    
1195|TYC 900-382-1                                                                                            |Star                           |13 49 07.5635220552 +08 35 16.741343760|341.9646542667285 +66.9800968133664| -13.590 -4.517    |9.76     |~                |    ~     ~    
1196|TYC 900-652-1                                                                                            |Star                           |13 48 43.2560570304 +08 32 00.295877112|341.6744290558677 +66.9916628322580| -22.837 -1.328    |10.49    |~                |    ~     ~    
1197|TYC 900-669-1                                                                                            |Star                           |13 51 30.6720770016 +09 55 11.704309968|345.2334980708507 +67.7122019815541| -26.615 14.010    |10.24    |~                |    ~     ~    
1198|TYC 900-858-1                                                                                            |Star                           |13 49 58.5166654032 +09 38 42.935656956|344.0005918396504 +67.7198687811957|   6.041 -5.195    |10.32    |~                |    ~     ~    
1199|TYC 900-901-1                                                                                            |High Proper Motion Star        |13 51 57.9556778760 +08 47 32.841160368|343.7231248708467 +66.7415770884554|  -51.842 8.001    |10.95    |~                |    ~     ~    
1200|TYC 900-912-1                                                                                            |Star                           |13 48 37.4968946616 +08 39 16.969349520|341.7996441304971 +67.1052060725387| -17.192 -0.999    |10.53    |~                |    ~     ~    
1201|TYC 900-1021-1                                                                                           |Star                           |13 49 56.5511191056 +07 32 42.279545940|340.9210680220517 +66.0027092993512|  -1.940 -8.924    |10.87    |~                |    ~     ~    
1202|TYC 900-1072-1                                                                                           |High Proper Motion Star        |13 49 49.3338230064 +07 50 54.143208204|341.2758560026110 +66.2715518264252| -52.105 -5.294    |10.76    |~                |    ~     ~    
1203|TYC 900-1138-1                                                                                           |Star                           |13 50 08.3789550744 +07 34 57.052209252|341.0720769977546 +66.0068451008051|  -8.973 17.544    |10.32    |~                |    ~     ~    
1204|TYC 900-1191-1                                                                                           |Star                           |13 51 52.7550567072 +08 01 20.431203780|342.5606529090090 +66.1271035658253|  -12.586 9.938    |9.71     |~                |    ~     ~    
1205|TYC 903-1112-1                                                                                           |Star                           |13 48 48.5466512784 +10 00 08.241391008|343.9485378039943 +68.1777006963947|  -1.174 -6.917    |10.54    |~                |    ~     ~    
1206|HD 119826                                                                                                |Star                           |13 45 29.1858342336 +07 25 30.145961496|338.4475875384991 +66.4947835607883|  17.299 -5.310    |8.63     |K2               |    ~     ~    
1207|HD 120422                                                                                                |Star                           |13 49 14.8365279360 +07 29 44.992992732|340.5001586988918 +66.0563439575481|  3.888 -11.642    |9.10     |K5               |    ~     ~    
1208|HD 119877                                                                                                |Star                           |13 45 49.8170295384 +07 16 26.759980704|338.4328203918361 +66.3215297545796| -41.438 14.356    |9.48     |G5               |    ~     ~    
