C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:47:02

Vmag< 11&dec >=0&rah >=13.75&rah< 14.0
--------------------------------------

Number of objects : 2104

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-----------------|---------------
96  |TYC 4409-1895-1                                                                                          |Star                           |13 53 35.0221411512 +74 36 59.105615256|117.4585929270631 +41.8448332305396|  -1.673 -1.015    |10.99    |~                |    ~     ~    
97  |TYC 4409-1992-1                                                                                          |Star                           |13 52 19.3270349952 +74 50 48.054119820|117.6618406086041 +41.6526730613790|   -3.197 6.327    |10.07    |~                |    ~     ~    
98  |TYC 4558-939-1                                                                                           |Star                           |13 55 16.1882740344 +75 51 30.338921268|117.8538568304449 +40.6341418749850|   8.327 -6.152    |9.89     |~                |    ~     ~    
99  |TYC 4558-1447-1                                                                                          |High Proper Motion Star        |13 52 41.8363484184 +75 00 22.060384344|117.6976474344849 +41.4936120346216|-51.478 -11.507    |10.77    |~                |    ~     ~    
100 |TYC 4558-1610-1                                                                                          |Star                           |13 51 23.7296387064 +76 30 33.202921140|118.4084756545602 +40.0878697102015|   5.012 -7.711    |10.80    |~                |    ~     ~    
101 |TYC 4558-2700-1                                                                                          |Star                           |13 51 08.9052802704 +75 29 42.551427300|118.0234288693780 +41.0589659492001|  -4.868 -9.734    |10.07    |~                |    ~     ~    
102 |HD 122727                                                                                                |Star                           |13 59 50.8105163760 +73 23 53.372489748|116.3514191923859 +42.8450402147742| -6.798 -17.549    |7.81     |G5               |    ~     ~    
103 |BD+72 629                                                                                                |Spectroscopic Binary           |13 50 33.9749851752 +71 51 44.713978164|116.5356594464600 +44.5241884728834| 18.089 -60.083    |9.54     |G5               |    ~     ~    
104 |BD+72 630                                                                                                |Spectroscopic Binary           |13 51 16.6405756440 +71 56 50.684060256|116.5004771799183 +44.4259943659823|   -3.860 8.352    |9.88     |G5               |    ~     ~    
105 |HD 121859                                                                                                |Star                           |13 54 53.2945902768 +71 54 11.603936484|116.1101011331081 +44.3749771749734|   -7.147 1.354    |8.35     |K2               |    ~     ~    
106 |BD+71 666                                                                                                |Star                           |13 50 34.1647300896 +71 08 50.092607832|116.2120519833093 +45.2015826819766|    0.093 7.630    |9.37     |G5               |    ~     ~    
107 |BD+71 671                                                                                                |Star                           |13 56 36.0885946680 +70 53 11.714131824|115.4312131984841 +45.2807363310808|   4.636 -7.393    |9.78     |F2               |    ~     ~    
108 |TYC 4406-1433-1                                                                                          |Star                           |13 58 54.6051947712 +71 14 20.491247508|115.3632071378927 +44.8845210401917|   9.102 -9.854    |10.76    |~                |    ~     ~    
109 |TYC 4406-1434-1                                                                                          |Star                           |13 52 16.2703198656 +71 06 05.310146772|116.0062158018245 +45.1998606184270|  -14.628 2.477    |10.63    |~                |    ~     ~    
110 |TYC 4406-1538-1                                                                                          |Star                           |13 55 47.9723162448 +71 40 43.197471912|115.9083908518441 +44.5614523751620|  -8.250 15.330    |10.83    |~                |    ~     ~    
111 |TYC 4406-1793-1                                                                                          |Star                           |13 57 49.3905487320 +71 54 33.801870132|115.8144057970152 +44.2899545240592|-38.846 -15.507    |10.65    |~                |    ~     ~    
112 |TYC 4409-972-1                                                                                           |Star                           |13 58 52.6907705496 +72 55 15.879531612|116.2087373555610 +43.3158557872503| -20.959 -6.419    |10.49    |~                |    ~     ~    
113 |TYC 4409-1088-1                                                                                          |High Proper Motion Star        |13 59 38.3299910448 +73 25 56.246369880|116.3869162973371 +42.8184389517453| -55.750 18.669    |10.68    |~                |    ~     ~    
114 |TYC 4409-1481-1                                                                                          |Spectroscopic Binary           |13 58 55.7449849848 +72 30 16.771975164|115.9994335590645 +43.7036395665031| -12.388 -4.877    |10.99    |~                |    ~     ~    
115 |BD+74 556                                                                                                |Star                           |13 51 30.3881678112 +74 10 25.248369396|117.4487241318462 +42.3090252878122|   0.686 15.440    |9.99     |F0               |    ~     ~    
116 |BD+74 557                                                                                                |Star                           |13 52 14.9851335864 +74 08 14.943518520|117.3682165429492 +42.3274751749188|   0.814 -0.322    |10.28    |K2               |    ~     ~    
117 |BD+74 558                                                                                                |Star                           |13 52 44.5391354400 +74 06 12.746716344|117.3104289663910 +42.3489877769458|   -5.935 0.317    |10.71    |G5               |    ~     ~    
118 |HD 122283                                                                                                |Star                           |13 57 15.4149493968 +73 57 16.833296412|116.8471807199389 +42.3870908964696| -0.837 -34.111    |8.87     |G5               |    ~     ~    
119 |HD 120815                                                                                                |Star                           |13 48 14.3313759696 +73 55 04.799779788|117.6332169325899 +42.6208975312514|  10.307 24.200    |8.58     |G5               |    ~     ~    
120 |HD 121811                                                                                                |Star                           |13 54 21.4291328400 +73 18 48.016427580|116.8159644565330 +43.0597705455583|   3.115 12.673    |7.86     |K0               |    ~     ~    
121 |BD+73 601                                                                                                |High Proper Motion Star        |13 45 12.1311140520 +72 55 20.445523068|117.5198142677014 +43.6364585094085| -52.029 12.293    |9.85     |G0               |    ~     ~    
122 |BD+73 604                                                                                                |Star                           |13 50 55.5254115192 +72 48 01.346655564|116.9135809975278 +43.6259750353700| -19.844 -3.796    |9.36     |G5               |    ~     ~    
123 |BD+73 607                                                                                                |Star                           |13 55 49.9857083160 +73 02 52.041909264|116.5561960751199 +43.2742882554039|  12.160 -3.297    |9.68     |K5               |    ~     ~    
124 |HD 122147                                                                                                |High Proper Motion Star        |13 56 25.8913092720 +73 15 48.471322968|116.6007996270168 +43.0567185761466|-32.881 -61.288    |8.69     |K0               |    ~     ~    
125 |HD 120931                                                                                                |Star                           |13 49 20.9303741640 +72 06 02.363173560|116.7657868674529 +44.3276963431373|  -3.806 32.796    |8.29     |G0               |    ~     ~    
126 |TYC 4408-44-1                                                                                            |Star                           |13 45 33.6908568336 +73 41 33.219023892|117.7873188293954 +42.8908367769517| -36.734 23.961    |9.77     |~                |    ~     ~    
127 |TYC 4408-197-1                                                                                           |Star                           |13 48 06.4471471896 +73 38 12.370572780|117.5313917527908 +42.8921631008015|   -6.413 1.261    |10.94    |~                |    ~     ~    
128 |TYC 4408-213-1                                                                                           |Star                           |13 48 18.1379170656 +73 25 32.827390788|117.4273293309090 +43.0894221320528|   32.187 1.065    |9.74     |~                |    ~     ~    
129 |TYC 4408-247-1                                                                                           |High Proper Motion Star        |13 47 06.7774672272 +73 57 10.738145988|117.7483526020301 +42.6103418003992|-30.328 -41.651    |9.99     |~                |    ~     ~    
130 |TYC 4408-395-1                                                                                           |Star                           |13 46 19.0642013832 +73 11 51.746928144|117.5218894711406 +43.3493620892121| -40.712 -0.051    |10.30    |~                |    ~     ~    
131 |TYC 4408-651-1                                                                                           |Star                           |13 48 26.2298102928 +72 38 19.915304208|117.0875272697857 +43.8367605201814|  -37.662 7.592    |10.60    |~                |    ~     ~    
132 |TYC 4408-870-1                                                                                           |Star                           |13 50 37.8977697240 +73 22 02.518822992|117.1859233325259 +43.0942504461021|  -1.302 -2.631    |10.06    |~                |    ~     ~    
133 |TYC 4408-1179-1                                                                                          |Star                           |13 48 41.5914030408 +72 43 52.916195352|117.1013597510051 +43.7428484294983|   -4.084 5.095    |10.65    |~                |    ~     ~    
134 |TYC 4408-1367-1                                                                                          |High Proper Motion Star        |13 46 09.0945441984 +73 45 48.881841156|117.7609476821625 +42.8109735780000| -10.641 56.739    |9.98     |~                |    ~     ~    
135 |TYC 4409-989-1                                                                                           |Spectroscopic Binary           |13 53 07.1392550472 +72 42 42.152702508|116.6614843275026 +43.6576991370836|    4.375 8.695    |10.42    |~                |    ~     ~    
136 |TYC 4409-1058-1                                                                                          |Star                           |13 53 32.4343937088 +73 21 17.463200652|116.9102850681888 +43.0397636514709| -16.646 15.848    |10.95    |~                |    ~     ~    
137 |TYC 4409-1160-1                                                                                          |Star                           |13 52 47.6467318752 +73 51 41.100286176|117.2011385660798 +42.5773219020765|  -2.413 -5.173    |10.94    |~                |    ~     ~    
138 |TYC 4409-1244-1                                                                                          |Star                           |13 53 38.6515592424 +73 27 57.547642284|116.9502410923874 +42.9322867552551|  -0.762 -2.166    |9.99     |~                |    ~     ~    
139 |TYC 4409-1359-1                                                                                          |Star                           |13 53 34.8862629216 +73 29 59.557239780|116.9710705539926 +42.9016952653658|   4.283 13.473    |10.66    |~                |    ~     ~    
140 |TYC 4409-1433-1                                                                                          |Star                           |13 56 23.0960569920 +73 15 00.145228320|116.5988568477625 +43.0704824674057|    2.141 7.036    |10.59    |~                |    ~     ~    
141 |GSC 04409-01474                                                                                          |Double or Multiple Star        |13 53 06.9373690200 +73 23 49.984090872|116.9684273123978 +43.0095643251163|  -12.952 1.020    |10.656   |~                |    ~     ~    
142 |TYC 4409-1552-1                                                                                          |Star                           |13 56 54.1874717472 +73 19 54.232819572|116.5891596212291 +42.9809812753701| 11.661 -10.840    |10.55    |~                |    ~     ~    
143 |BD+73 605                                                                                                |Long-Period Variable Candidate |13 51 46.4861371512 +72 57 57.994244748|116.9043682718900 +43.4489746338709|  -8.659 -1.618    |10.05    |M5/6             |    ~     ~    
144 |BD+71 667                                                                                                |Star                           |13 51 09.8585545680 +70 38 25.919781540|115.9116223657185 +45.6649223672492| -6.304 -15.341    |9.49     |K2               |    ~     ~    
145 |BD+71 669                                                                                                |Star                           |13 53 35.4711224280 +70 44 02.736065508|115.6860586820491 +45.5096873661783| -44.883 -1.373    |9.98     |G5               |    ~     ~    
146 |BD+71 670                                                                                                |High Proper Motion Star        |13 54 40.1605362456 +70 26 22.803987048|115.4209740373241 +45.7553560332540|-47.837 -17.851    |9.63     |F0               |    ~     ~    
147 |BD+71 672                                                                                                |Star                           |13 58 00.4989357240 +70 31 01.304167908|115.0873273881404 +45.5837985314918|   2.876 -9.873    |9.06     |K5               |    ~     ~    
