C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:38:27

dec< 0&rah >=3.5&rah< 3.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2851

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type     |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-------------------|---------------------|-----|----------------|-----------------------|--------|-------------------
36  |BD-03 572B                                                                                               |Star                               |03 33 29.7720420912 -02 32 59.808314616|187.6363712977833 -44.1246823369607|   27.002 2.611   |10.57    |~                  |    ~     ~          |    1|  314.209   pc  |  -1.4809     +1.4809  |paral   |2020yCat.1350....0G
37  |HD 21887                                                                                                 |Star                               |03 31 40.0575023136 -03 29 51.654940764|188.3341686304527 -45.0518604976420|   12.409 7.740   |7.17     |K0III              |    ~     ~          |    1|  208.030   pc  |  -0.9304     +0.9304  |paral   |2020yCat.1350....0G
38  |HD 21927                                                                                                 |Star                               |03 32 00.4758817056 -03 42 26.819162676|188.6455445357281 -45.1054109198931|    5.364 5.936   |10.45    |F0/3(+A)           |    ~     ~          |    1|  455.581   pc  |  -5.0643     +5.0643  |paral   |2020yCat.1350....0G
39  |HD 22110                                                                                                 |Star                               |03 33 42.8971539648 -03 34 16.621973832|188.8388282568493 -44.6797604085579| 43.635 -14.410   |10.32    |G6                 |    ~     ~          |    1|   97.366   pc  |  -0.1593     +0.1593  |paral   |2020yCat.1350....0G
40  |HD 21849                                                                                                 |Star                               |03 31 13.0926839952 -03 50 30.825773592|188.6378539379061 -45.3438561191044| 42.101 -21.487   |9.64     |F5V                |    ~     ~          |    1|  166.445   pc  |  -0.4654     +0.4654  |paral   |2020yCat.1350....0G
41  |HD 21888                                                                                                 |Star                               |03 31 38.7775136016 -03 51 07.263714060|188.7378846208567 -45.2628986240316| -0.719 -47.081   |9.88     |G2/3V              |    ~     ~          |    1|  187.899   pc  |  -0.5508     +0.5508  |paral   |2020yCat.1350....0G
42  |HD 22095                                                                                                 |Star                               |03 33 35.3708465496 -03 59 36.544591284|189.2987746176206 -44.9495268868151| 24.264 -22.639   |8.30     |K3III              |    ~     ~          |    1|  348.141   pc  |  -2.9210     +2.9210  |paral   |2020yCat.1350....0G
43  |BD-04 617                                                                                                |High Proper Motion Star            |03 32 18.0763696560 -03 58 01.666710408|189.0055818260225 -45.1966029813368|-15.915 -58.459   |10.36    |~                  |    ~     ~          |    1|  261.281   pc  |  -1.7067     +1.7067  |paral   |2020yCat.1350....0G
44  |BD-02 650                                                                                                |Star                               |03 32 24.1064692608 -02 16 47.303959764|187.1070339921809 -44.1835780771422|   -6.160 2.755   |10.57    |~                  |    ~     ~          |    1|  244.648   pc  |  -1.0893     +1.0893  |paral   |2020yCat.1350....0G
45  |BD-04 620                                                                                                |Star                               |03 33 12.7958364984 -03 59 52.582713828|189.2274363015574 -45.0287677124729| -10.833 -4.887   |10.24    |~                  |    ~     ~          |    1|  781.494   pc  | -11.1153    +11.1153  |paral   |2020yCat.1350....0G
