C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:38:27

dec< 0&rah >=3.5&rah< 3.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2851

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type     |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-------------------|---------------------|-----|----------------|-----------------------|--------|-------------------
1342|TYC 6453-1135-1                                                                                          |Star                               |03 36 45.6922671456 -28 33 05.969976408|225.0553743369975 -53.6066701912400|  12.198 14.146   |10.87    |~                  |    ~     ~          |    1| 1041.341   pc  | -12.3621    +12.3621  |paral   |2020yCat.1350....0G
1343|TYC 7028-709-1                                                                                           |Star                               |03 37 51.2798475888 -30 03 28.457237808|227.6223173398600 -53.5508047282728|  22.393 -3.847   |10.69    |~                  |    ~     ~          |    1|  429.535   pc  | -20.6640    +20.6640  |paral   |2020yCat.1350....0G
1344|TYC 7028-715-1                                                                                           |Star                               |03 41 38.5033020000 -30 11 26.217145068|227.9855393608315 -52.7503363631279|  -0.430 -2.238   |10.90    |~                  |    ~     ~          |    1|  290.520   pc  |  -1.1225     +1.1225  |paral   |2020yCat.1350....0G
1345|TYC 7028-807-1                                                                                           |Chemically Peculiar Star           |03 42 58.1280340200 -30 47 21.754488588|229.0146869683642 -52.5262493831797| 23.342 -15.351   |10.953   |~                  |    ~     ~          |    1| 1488.580   pc  | -93.0700    +93.0700  |ST-L    |2020AJ....160...83S
1346|TYC 7028-1030-1                                                                                          |Spectroscopic Binary               |03 44 17.9448676848 -31 30 28.028533032|230.2291725268919 -52.3061564390137|  10.885 -8.271   |10.27    |~                  |    ~     ~          |    1|  304.711   pc  |  -4.8653     +4.8653  |paral   |2020yCat.1350....0G
1347|TYC 7028-1062-1                                                                                          |High Proper Motion Star            |03 44 24.9148909008 -31 29 08.468060064|230.1964710648854 -52.2796690314127|  62.022 45.632   |10.187   |~                  |    ~     ~          |    1|  195.506   pc  |  -1.9300     +1.9300  |ST-L    |2020AJ....160...83S
1348|TYC 7028-1356-1                                                                                          |Star                               |03 36 52.5094119936 -30 53 47.780334636|228.9997945833174 -53.8385598602388|  14.322 16.677   |10.921   |~                  |    ~     ~          |    1|  467.591   pc  | -10.1900    +10.1900  |ST-L    |2020AJ....160...83S
1349|NGC 1425                           NGC 1425                                                              |Emission-line galaxy               |03 42 11.4831633240 -29 53 36.186684252|227.5199510175968 -52.5993345472564|   0.741 -0.033   |     ~   |~                  | 6.03  2.63          |    1|   22.70    Mpc |  -1.94       +1.94    |T-F     |2020ApJ...902..145K
1350|CD-34 1378                                                                                               |Star                               |03 43 00.5581098024 -34 07 17.322282696|234.4960546254521 -52.7088423094066|    0.308 3.870   |9.87     |~                  |    ~     ~          |    0|                |                       |        |                   
1351|HD 23455                                                                                                 |Star                               |03 44 02.7299031576 -34 03 28.890963000|234.3991290466539 -52.4930051199800|  13.078 11.276   |9.50     |K2III              |    ~     ~          |    1|  896.218   pc  |  -9.0762     +9.0762  |paral   |2020yCat.1350....0G
1352|CD-33 1295                                                                                               |Star                               |03 36 15.6626418552 -33 17 53.884203756|233.0658596767606 -54.0945582121524|  5.057 -11.976   |10.42    |~                  |    ~     ~          |    1|  276.855   pc  |  -1.1191     +1.1191  |paral   |2020yCat.1350....0G
1353|CD-34 1347                                                                                               |High Proper Motion Star            |03 38 38.3139224760 -33 43 50.785245480|233.8161838623799 -53.6080167487738|  54.539 48.979   |10.38    |~                  |    ~     ~          |    1|  164.193   pc  |  -0.3747     +0.3747  |paral   |2020yCat.1350....0G
1354|HD 22262                                                                                                 |Double or Multiple Star            |03 33 56.7916902960 -31 04 48.457560504|229.2298612797636 -54.4784704588349| -28.632 71.161   |6.20     |F4V+F6V            |0.0017  0.0          |    1|   42.070   pc  |  -0.9876     +0.9876  |paral   |2020yCat.1350....0G
1355|HD 22477                                                                                                 |Spectroscopic Binary               |03 35 43.3679311152 -31 08 59.586861588|229.3964845623733 -54.1043776163680| 11.424 -11.642   |8.45     |G6/8III            |    ~     ~          |    1|  384.275   pc  |  -6.4826     +6.4826  |paral   |2020yCat.1350....0G
1356|HD 22276                                                                                                 |Star                               |03 33 59.3967682416 -31 46 22.889513352|230.4215599396619 -54.5132891358372|  40.067 18.308   |8.94     |F5V                |    ~     ~          |    1|  121.831   pc  |  -0.2152     +0.2152  |paral   |2020yCat.1350....0G
1357|HD 22322                                                                                                 |Star                               |03 34 33.5895074141 -31 52 29.285955392|230.6077274297592 -54.3979654377956|  16.208 -1.384   |6.43     |K3III              |    ~     ~          |    1|  345.161   pc  |  -2.5018     +2.5018  |paral   |2020yCat.1350....0G
1358|HD 22335                                                                                                 |Spectroscopic Binary               |03 34 34.2603853392 -33 01 23.289776652|232.5799968200917 -54.4414171695559| -13.802 -3.691   |9.25     |F5V                |    ~     ~          |    1|  189.959   pc  |  -0.6098     +0.6098  |paral   |2020yCat.1350....0G
1359|NGC 1366                           NGC 1366                                                              |Galaxy towards a Group of Galaxies |03 33 53.6940996096 -31 11 38.966332632|229.4243386474680 -54.4975349975027|   -0.198 0.409   |     ~   |~                  |1.283 0.539          |    1|   19.23    Mpc |                       |        |2016AJ....152...50T
1360|CD-32 1351                                                                                               |Star                               |03 33 48.2703540816 -32 32 28.809287880|231.7418208220359 -54.5875345118546|  -3.291 -0.855   |10.80    |~                  |    ~     ~          |    1|  191.442   pc  |  -1.7930     +1.7930  |ST-L    |2020AJ....160...83S
1361|CD-33 1284                                                                                               |Star                               |03 35 04.7825267712 -32 59 13.858837620|232.5232057705471 -54.3338359066066|    9.759 1.468   |10.79    |~                  |    ~     ~          |    1|  523.478   pc  |  -3.1787     +3.1787  |paral   |2020yCat.1350....0G
1362|TYC 7021-1050-1                                                                                          |Star                               |03 33 59.8889059080 -31 05 59.041309812|229.2648814897931 -54.4688553009838|  23.475 -2.116   |10.581   |~                  |    ~     ~          |    1|  715.650   pc  | -26.5100    +26.5100  |ST-L    |2020AJ....160...83S
1363|HD 22728                                                                                                 |Star                               |03 38 09.9206874912 -31 17 58.441869600|229.7151495178086 -53.5947309402548|  -1.420 21.941   |7.251    |M2III              |    ~     ~          |    1|  311.954   pc  |  -1.5279     +1.5279  |paral   |2020yCat.1350....0G
1364|CD-31 1489                                                                                               |Star                               |03 39 53.6209457160 -31 20 30.768977184|229.8328671775702 -53.2298823210449|  11.273 -4.772   |9.66     |~                  |    ~     ~          |    1|  636.456   pc  |  -4.3343     +4.3343  |paral   |2020yCat.1350....0G
1365|CD-31 1512                                                                                               |Star                               |03 42 51.6265883280 -31 30 05.223464820|230.1784816014572 -52.6113074810970|   3.853 13.708   |9.58     |K0                 |    ~     ~          |    1|  876.732   pc  | -10.4538    +10.4538  |paral   |2020yCat.1350....0G
1366|HD 22660                                                                                                 |Spectroscopic Binary               |03 37 28.3931336832 -31 38 46.930412040|230.2818326656934 -53.7661884223189|-11.086 -18.867   |9.27     |F2V                |    ~     ~          |    1|  147.571   pc  |  -0.3114     +0.3114  |paral   |2020yCat.1350....0G
1367|CD-32 1427                                                                                               |High Proper Motion Star            |03 42 05.9975779056 -31 36 54.420351948|230.3449438505165 -52.7815656082796|  49.596 -7.423   |10.06    |~                  |    ~     ~          |    1|  212.822   pc  |  -2.4640     +2.4640  |ST-L    |2020AJ....160...83S
1368|HD 23201                                                                                                 |Double or Multiple Star            |03 42 05.6278 -31 36 28.447            |230.3328866 -52.7823337            |-36.457 -38.321   |9.09     |G8/K0(III)+A       |    ~     ~          |    0|                |                       |        |                   
1369|HD 22790                                                                                                 |High Proper Motion Star            |03 38 33.1894981056 -32 22 50.254080276|231.5415055348075 -53.5798796930314|-104.711 -244.930 |9.58     |G5V                |    ~     ~          |    1|   74.813   pc  |  -0.0672     +0.0672  |paral   |2020yCat.1350....0G
1370|HD 22825                                                                                                 |Star                               |03 38 53.4065542896 -32 33 02.049208452|231.8329800542416 -53.5170973359116|   14.272 6.230   |10.022   |A8/9V              |    ~     ~          |    1|  283.462   pc  |  -5.4230     +5.4230  |ST-L    |2020AJ....160...83S
1371|HD 22899                                                                                                 |Star                               |03 39 31.1729744040 -31 54 32.385390444|230.7699431365541 -53.3490069710480|  23.207 23.186   |10.09    |G3/5V              |    ~     ~          |    1|  186.963   pc  |  -2.0050     +2.0050  |ST-L    |2020AJ....160...83S
1372|HD 22907                                                                                                 |Star                               |03 39 34.9386240480 -31 59 52.755362484|230.9201054722766 -53.3412382091067|   37.518 3.079   |9.39     |G6III              |    ~     ~          |    1|  182.702   pc  |  -0.4139     +0.4139  |paral   |2020yCat.1350....0G
1373|HD 23044                                                                                                 |Star                               |03 40 44.1790115280 -32 20 52.604955924|231.5274492767138 -53.1177918580815| 36.682 -33.277   |10.20    |A7II               |    ~     ~          |    1|  489.182   pc  | -12.3800    +12.3800  |ST-L    |2020AJ....160...83S
1374|HD 23069                                                                                                 |High Proper Motion Star            |03 40 55.8580192272 -31 52 14.360910096|230.7384991234935 -53.0475552963945|-31.818 -46.740   |8.18     |F0V                |    ~     ~          |    1|  102.720   pc  |  -0.1857     +0.1857  |paral   |2020yCat.1350....0G
1375|HD 23070                                                                                                 |Star                               |03 40 56.7146970552 -32 06 11.300739372|231.1248118596262 -53.0594130725982|   18.898 2.279   |9.18     |K0III              |    ~     ~          |    1|  501.882   pc  |  -2.7456     +2.7456  |paral   |2020yCat.1350....0G
1376|CD-32 1420                                                                                               |Star                               |03 41 02.7914907384 -32 05 45.742813368|231.1152190724754 -53.0375677893048|  20.184 -6.515   |10.234   |~                  |    ~     ~          |    1|  713.965   pc  | -24.8300    +24.8300  |ST-L    |2020AJ....160...83S
1377|HD 23211                                                                                                 |High Proper Motion Star            |03 42 06.8753696736 -32 28 58.452122460|231.7778533098838 -52.8347906755076| 22.693 -54.579   |8.43     |G8/K0IV            |    ~     ~          |    1|  141.945   pc  |  -0.3385     +0.3385  |paral   |2020yCat.1350....0G
1378|* del For                                                                                                |Star                               |03 42 14.9025400320 -31 56 18.104191008|230.8816685615681 -52.7731395692379|   4.815 13.836   |4.973    |B5III              |    ~     ~          |    1|  259.551   pc  |  -5.4971     +5.4971  |paral   |2020yCat.1350....0G
1379|HD 23236                                                                                                 |Spectroscopic Binary               |03 42 19.8711140688 -32 06 33.097862844|231.1653249710223 -52.7668737956989|  19.519 28.473   |8.78     |G3V                |    ~     ~          |    1|   71.650   pc  |  -0.2654     +0.2654  |paral   |2020yCat.1350....0G
1380|HD 23331                                                                                                 |Star                               |03 43 09.6414287304 -32 31 45.444780336|231.8745477294610 -52.6171531782227|  16.935 26.005   |7.77     |K0III              |    ~     ~          |    1|  238.447   pc  |  -0.8529     +0.8529  |paral   |2020yCat.1350....0G
1381|HD 22645                                                                                                 |Star                               |03 37 17.3547837144 -33 15 53.269760808|233.0178960609792 -53.8789080576165|   0.358 22.795   |9.10     |G1V                |    ~     ~          |    1|  105.402   pc  |  -0.1678     +0.1678  |paral   |2020yCat.1350....0G
1382|HD 22729                                                                                                 |Star                               |03 38 03.3962557128 -32 44 28.357627524|232.1411368810125 -53.7006824797041| -9.067 -13.478   |8.39     |F0V                |    ~     ~          |    1|  171.750   pc  |  -0.5752     +0.5752  |paral   |2020yCat.1350....0G
1383|HD 22801                                                                                                 |Star                               |03 38 40.5500282040 -32 48 20.633760648|232.2587114560802 -53.5732212318974| -10.370 30.763   |8.51     |K0III              |    ~     ~          |    1|  340.983   pc  |  -1.7557     +1.7557  |paral   |2020yCat.1350....0G
1384|HD 22959                                                                                                 |Star                               |03 39 53.1279678168 -33 25 59.565490140|233.3264667976111 -53.3414982045955|   2.223 -4.437   |9.958    |F3V                |    ~     ~          |    1|  208.752   pc  |  -2.1310     +2.1310  |ST-L    |2020AJ....160...83S
1385|HD 23165                                                                                                 |Star                               |03 41 39.7855315944 -33 23 31.981992180|233.2770439026170 -52.9694611020159| 27.275 -14.570   |8.86     |K1III              |    ~     ~          |    1|  370.110   pc  |  -1.8629     +1.8629  |paral   |2020yCat.1350....0G
1386|HD 23212                                                                                                 |Star                               |03 42 06.8435479488 -33 11 40.392660048|232.9550241690470 -52.8682016714320|   -6.174 0.532   |9.655    |F2/3(IV)           |    ~     ~          |    1|  319.311   pc  |  -5.1480     +5.1480  |ST-L    |2020AJ....160...83S
1387|HD 23380                                                                                                 |Star                               |03 43 27.8824084488 -33 30 08.163537192|233.4798964462793 -52.5975818407197|  33.443 -4.033   |8.38     |F2V                |    ~     ~          |    1|  107.095   pc  |  -0.2098     +0.2098  |paral   |2020yCat.1350....0G
1388|HD 23395                                                                                                 |Star                               |03 43 32.9348465688 -33 09 24.796267416|232.9130246026383 -52.5666777657944|    6.073 8.439   |9.02     |F2V                |    ~     ~          |    1|  245.815   pc  |  -0.8882     +0.8882  |paral   |2020yCat.1350....0G
1389|CD-33 1347                                                                                               |Star                               |03 44 18.2098299408 -32 38 41.546377284|232.0862439550035 -52.3832725843220| 15.021 -15.325   |9.65     |G5                 |    ~     ~          |    1|  344.448   pc  |  -1.3169     +1.3169  |paral   |2020yCat.1350....0G
1390|HD 23213                                                                                                 |Spectroscopic Binary               |03 42 08.4254149200 -33 36 13.751946036|233.6329969293550 -52.8765872269076| 13.555 -19.440   |9.30     |G8III              |    ~     ~          |    1|  388.003   pc  | -15.5966    +15.5966  |paral   |2020yCat.1350....0G
1391|HD 23547                                                                                                 |Star                               |03 44 48.8947292976 -33 42 32.047683552|233.8343995780218 -52.3235767820738|   7.359 -0.628   |9.63     |G6III              |    ~     ~          |    1|  563.380   pc  | -11.0772    +11.0772  |paral   |2020yCat.1350....0G
1392|CD-32 1383                                                                                               |Star                               |03 37 04.4445883296 -31 53 28.629585312|230.6870009379657 -53.8660052052896|  20.735 10.639   |10.36    |~                  |    ~     ~          |    1|  293.358   pc  |  -1.0757     +1.0757  |paral   |2020yCat.1350....0G
1393|CPD-33 372                                                                                               |Star                               |03 37 57.6601770264 -32 41 17.083986288|232.0500549377688 -53.7186023120572|  -9.082 -6.934   |10.95    |~                  |    ~     ~          |    1|  379.665   pc  |  -2.0325     +2.0325  |paral   |2020yCat.1350....0G
1394|CD-32 1397                                                                                               |Star                               |03 38 37.7353999872 -32 01 09.171050952|230.9353784985750 -53.5442566157635|    6.606 2.464   |10.90    |~                  |    ~     ~          |    1|  263.220   pc  |  -0.9284     +0.9284  |paral   |2020yCat.1350....0G
1395|CD-32 1408                                                                                               |Star                               |03 39 30.7551547440 -32 25 54.718860468|231.6446301404976 -53.3802121324420| -11.789 18.860   |10.725   |~                  |    ~     ~          |    1|  168.786   pc  |  -1.4110     +1.4110  |ST-L    |2020AJ....160...83S
1396|CD-33 1322                                                                                               |Double or Multiple Star            |03 39 54.6787806360 -32 51 23.805432252|232.3618936916487 -53.3159853466676| 25.521 -18.470   |10.834   |~                  |    ~     ~          |    1|  198.397   pc  |  -1.8900     +1.8900  |ST-L    |2020AJ....160...83S
1397|CD-33 1323                                                                                               |Star                               |03 40 09.3485348592 -33 11 35.135391480|232.9277324321449 -53.2775530187853|  22.103 -2.857   |10.088   |~                  |    ~     ~          |    1|  196.505   pc  |  -1.8300     +1.8300  |ST-L    |2020AJ....160...83S
1398|CD-32 1411                                                                                               |Star                               |03 40 10.3398439584 -31 51 26.249992884|230.6985368783996 -53.2073983022806| 23.533 -16.497   |10.222   |~                  |    ~     ~          |    1|  289.079   pc  |  -5.8970     +5.8970  |ST-L    |2020AJ....160...83S
1399|CD-33 1327                                                                                               |Star                               |03 40 24.2291636976 -33 13 20.663048460|232.9796678744555 -53.2267103693111|  28.051 24.377   |10.886   |~                  |    ~     ~          |    1|  557.475   pc  | -22.1100    +22.1100  |ST-L    |2020AJ....160...83S
1400|CD-32 1424                                                                                               |Star                               |03 41 43.0517851104 -31 52 53.868134892|230.7753422117997 -52.8816872946849| 42.403 -12.433   |10.242   |~                  |    ~     ~          |    1|  921.607   pc  | -35.0800    +35.0800  |ST-L    |2020AJ....160...83S
1401|CD-32 1425                                                                                               |Star                               |03 41 49.5218425680 -32 02 34.762896996|231.0446171522353 -52.8695517146765|   0.418 -0.340   |10.298   |~                  |    ~     ~          |    1|  974.374   pc  | -10.4435    +10.4435  |paral   |2020yCat.1350....0G
1402|CPD-32 411                                                                                               |Star                               |03 42 14.2385036256 -32 13 38.573405688|231.3582824475036 -52.7940911385391|   0.266 -9.434   |10.591   |~                  |    ~     ~          |    1|  149.494   pc  |  -1.1590     +1.1590  |ST-L    |2020AJ....160...83S
1403|CD-32 1435                                                                                               |Star                               |03 42 48.9144488904 -32 17 29.882219820|231.4764945530221 -52.6760524670881|   0.279 -4.298   |10.77    |~                  |    ~     ~          |    1|  358.205   pc  |  -1.4371     +1.4371  |paral   |2020yCat.1350....0G
1404|CD-33 1339                                                                                               |Star                               |03 43 04.5968286984 -33 02 03.427764252|232.7042115115289 -52.6601698761778|  10.848 22.917   |10.33    |~                  |    ~     ~          |    1|  203.948   pc  |  -0.8319     +0.8319  |paral   |2020yCat.1350....0G
1405|CD-34 1383                                                                                               |High Proper Motion Star            |03 43 49.8695342736 -33 49 20.351198208|234.0100850222609 -52.5313951182005|  31.525 78.543   |10.13    |~                  |    ~     ~          |    1|  109.938   pc  |  -0.1257     +0.1257  |paral   |2020yCat.1350....0G
1406|CD-34 1388                                                                                               |Star                               |03 44 09.3133917000 -33 45 19.866539304|233.9036398573216 -52.4621393000363|  10.852 14.328   |10.88    |~                  |    ~     ~          |    1|  170.564   pc  |  -0.3433     +0.3433  |paral   |2020yCat.1350....0G
1407|CD-33 1345                                                                                               |Star                               |03 44 11.1574566432 -32 46 36.935755176|232.3001530052173 -52.4151203418907|   4.657 15.113   |10.78    |~                  |    ~     ~          |    1|  557.072   pc  | -16.1682    +16.1682  |paral   |2020yCat.1350....0G
1408|NGC 1406                           NGC 1406                                                              |Emission-line galaxy               |03 39 23.3038688087 -31 19 17.505737604|229.7850888471755 -53.3359039645585|            ~ ~   |     ~   |~                  |2.407 0.481          |    1|   18.20    Mpc |  -1.64       +1.64    |T-F     |2020ApJ...902..145K
1409|CD-33 1292                                                                                               |Star                               |03 36 05.0796812568 -33 09 31.754100780|232.8264520068313 -54.1280098263647|  21.030 -0.289   |10.47    |~                  |    ~     ~          |    1|  758.553   pc  |  -6.0417     +6.0417  |paral   |2020yCat.1350....0G
1410|CD-32 1418                                                                                               |Spectroscopic Binary               |03 40 57.1759236168 -32 21 21.158832996|231.5448556014888 -53.0725532541953|  39.258 -8.419   |9.92     |~                  |    ~     ~          |    1|   44.738   pc  |  -0.1104     +0.1104  |ST-L    |2020AJ....160...83S
1411|CD-33 1336                                                                                               |Spectroscopic Binary               |03 42 25.5917060568 -32 36 01.670455800|231.9779035477659 -52.7754869936184|   8.037 -0.876   |10.131   |~                  |    ~     ~          |    1| 1319.740   pc  | -83.5400    +83.5400  |ST-L    |2020AJ....160...83S
1412|CD-33 1348                                                                                               |Star                               |03 44 26.0852594232 -33 22 17.295222900|233.2775573167637 -52.3904905454482|   18.022 8.338   |10.52    |~                  |    ~     ~          |    1| 1076.658   pc  | -14.8377    +14.8377  |paral   |2020yCat.1350....0G
1413|CD-32 1375                                                                                               |Long-Period Variable               |03 36 30.5139274560 -32 19 37.786536084|231.4156886019073 -54.0085794625566|   4.056 -1.213   |10.24    |~                  |    ~     ~          |    1| 1990.842   pc  | -66.9823    +66.9823  |paral   |2020yCat.1350....0G
1414|TYC 7021-775-1                                                                                           |Star                               |03 34 46.9781461344 -31 34 05.307199464|230.0869603763396 -54.3328668378066|  -0.649 10.226   |10.83    |~                  |    ~     ~          |    1| 1153.935   pc  | -15.9788    +15.9788  |paral   |2020yCat.1350....0G
1415|TYC 7021-832-1                                                                                           |Star                               |03 33 57.1686764664 -31 32 21.658468128|230.0189437730884 -54.5076248862651| -22.347 -1.597   |10.845   |~                  |    ~     ~          |    1|  188.941   pc  |  -1.7650     +1.7650  |ST-L    |2020AJ....160...83S
1416|GSC 07024-00229                                                                                          |Double or Multiple Star            |03 34 12.6263464752 -32 40 16.361273064|231.9707323297064 -54.5066243337858|  10.557 -5.545   |10.704   |~                  |    ~     ~          |    1|  978.358   pc  | -37.4100    +37.4100  |ST-L    |2020AJ....160...83S
1417|TYC 7028-87-1                                                                                            |Star                               |03 44 01.4749781760 -31 54 57.605412744|230.8881981991183 -52.3956218502422| -3.798 -14.767   |10.95    |~                  |    ~     ~          |    1|  416.129   pc  |  -2.6321     +2.6321  |paral   |2020yCat.1350....0G
1418|TYC 7028-311-1                                                                                           |Star                               |03 36 19.4636226216 -31 53 38.661414864|230.6761175566007 -54.0250281425172|-12.945 -34.480   |10.43    |~                  |    ~     ~          |    1|  435.977   pc  |  -2.5850     +2.5850  |paral   |2020yCat.1350....0G
1419|TYC 7028-1091-1                                                                                          |Star                               |03 39 13.1660906544 -31 22 07.855993488|229.8595662420166 -53.3754596619891|  16.563 -3.791   |10.926   |~                  |    ~     ~          |    1| 1169.090   pc  | -66.9200    +66.9200  |ST-L    |2020AJ....160...83S
1420|TYC 7028-1139-1                                                                                          |Star                               |03 38 45.5575519752 -31 25 48.298788876|229.9498802169867 -53.4779039894305|  20.936 41.960   |10.83    |~                  |    ~     ~          |    1|  122.038   pc  |  -0.8682     +0.8682  |ST-L    |2020AJ....160...83S
1421|TYC 7028-1231-1                                                                                          |Star                               |03 41 15.1948558680 -31 33 57.203584920|230.2413452521270 -52.9577030914930|    1.216 1.309   |10.862   |~                  |    ~     ~          |    1| 1119.900   pc  | -62.8900    +62.8900  |ST-L    |2020AJ....160...83S
1422|TYC 7028-1387-1                                                                                          |Star                               |03 36 59.1669278208 -31 41 21.430830732|230.3431199102873 -53.8723721086282|   29.965 7.888   |10.84    |~                  |    ~     ~          |    1|  173.723   pc  |  -2.6070     +2.6070  |ST-L    |2020AJ....160...83S
1423|TYC 7031-11-1                                                                                            |Star                               |03 44 54.0274716552 -33 18 36.166055868|233.1836150499036 -52.2907956619213|    9.519 6.131   |10.85    |~                  |    ~     ~          |    1|  893.017   pc  |  -9.0115     +9.0115  |paral   |2020yCat.1350....0G
1424|TYC 7031-225-1                                                                                           |Star                               |03 40 34.6140944280 -32 44 35.194780932|232.1826120732434 -53.1712923671885|   9.648 -5.104   |10.936   |~                  |    ~     ~          |    1|  194.925   pc  |  -1.9690     +1.9690  |ST-L    |2020AJ....160...83S
1425|TYC 7031-556-1                                                                                           |Star                               |03 43 56.3774384688 -33 37 35.707791216|233.6897083774015 -52.5028919891694|-10.649 -32.406   |10.65    |~                  |    ~     ~          |    1|  378.946   pc  |  -4.9398     +4.9398  |paral   |2020yCat.1350....0G
1426|TYC 7031-886-1                                                                                           |High Proper Motion Star            |03 44 15.8239653912 -33 50 36.569093892|234.0490222132811 -52.4422006664692| 110.198 19.732   |10.99    |~                  |    ~     ~          |    1|   98.058   pc  |  -0.1788     +0.1788  |paral   |2020yCat.1350....0G
1427|TYC 7031-1039-1                                                                                          |Star                               |03 41 47.3270194536 -33 19 33.732642288|233.1687323523471 -52.9409835497887| -21.374 21.727   |10.764   |~                  |    ~     ~          |    1|  128.486   pc  |  -0.8177     +0.8177  |ST-L    |2020AJ....160...83S
1428|HD 22425                                                                                                 |Star                               |03 35 06.2825817912 -35 56 15.464186772|237.5825727015294 -54.3053087050653|    6.208 3.738   |7.74     |K2III              |    ~     ~          |    1|  518.914   pc  |  -6.8934     +6.8934  |paral   |2020yCat.1350....0G
1429|HD 22607                                                                                                 |Spectroscopic Binary               |03 36 54.8524691904 -36 04 53.619947256|237.8010956457803 -53.9335280827833| 198.513 24.117   |9.37     |G5V                |    ~     ~          |    1|   86.194   pc  |  -0.7283     +0.7283  |ST-L    |2020AJ....160...83S
1430|HD 22621                                                                                                 |Star                               |03 37 04.6197405624 -36 17 32.014132548|238.1559144781549 -53.8913436083189|    3.113 8.038   |7.23     |A2V                |    ~     ~          |    1|  143.972   pc  |  -1.1650     +1.1650  |ST-L    |2020AJ....160...83S
1431|CD-36 1397                                                                                               |Star                               |03 40 43.9979049360 -36 29 15.943949736|238.4300563265744 -53.1476306015294|  2.461 -15.514   |9.91     |K2                 |    ~     ~          |    1|  720.409   pc  |  -6.2279     +6.2279  |paral   |2020yCat.1350....0G
1432|HD 23097                                                                                                 |Star                               |03 41 07.6491608376 -36 39 44.601465060|238.7150429404750 -53.0611166447066| -3.108 -21.486   |10.07    |A3V                |    ~     ~          |    1|  508.422   pc  | -14.7500    +14.7500  |ST-L    |2020AJ....160...83S
1433|HD 23419                                                                                                 |High Proper Motion Star            |03 43 41.2128173568 -36 53 21.484856292|239.0534490542990 -52.5392995299808| 84.058 -21.190   |9.40     |G5V                |    ~     ~          |    1|   86.692   pc  |  -0.0939     +0.0939  |paral   |2020yCat.1350....0G
1434|CD-37 1426                                                                                               |Star                               |03 44 05.2777275216 -36 49 49.440113904|238.9513831644292 -52.4615486872202|   6.709 18.142   |10.62    |F8                 |    ~     ~          |    1|  238.624   pc  |  -0.8256     +0.8256  |paral   |2020yCat.1350....0G
1435|HD 23483                                                                                                 |High Proper Motion Star            |03 44 10.4727249432 -36 53 07.908482004|239.0406304334671 -52.4420286270624|  33.102 94.203   |9.24     |F8V                |    ~     ~          |    1|   89.856   pc  |  -0.1042     +0.1042  |paral   |2020yCat.1350....0G
1436|NGC 1392                           ESO 358-40                                                            |Galaxy                             |03 37 47.0324047560 -36 08 50.640081864|237.9001582474266 -53.7552933785290|            ~ ~   |     ~   |~                  |0.157 0.157          |    0|                |                       |        |                   
1437|CD-36 1362                                                                                               |Star                               |03 36 04.4399118072 -36 11 12.313706964|237.9928339351199 -54.0983116787319|  33.681 17.841   |10.65    |~                  |    ~     ~          |    1|  308.318   pc  |  -1.1787     +1.1787  |paral   |2020yCat.1350....0G
1438|CD-36 1384                                                                                               |Star                               |03 39 18.8938848048 -36 15 14.618716920|238.0586696353561 -53.4423615925302| 19.795 -34.403   |10.552   |~                  |    ~     ~          |    1|  288.326   pc  |  -3.8350     +3.8350  |ST-L    |2020AJ....160...83S
1439|HD 22277                                                                                                 |Star                               |03 33 53.7176487048 -33 26 14.124952464|233.2883902327145 -54.5910066305385|   1.040 -6.646   |8.89     |K0III              |    ~     ~          |    1|  449.135   pc  |  -5.2246     +5.2246  |paral   |2020yCat.1350....0G
1440|HD 22285                                                                                                 |Chemically Peculiar Star           |03 33 58.9718008560 -34 47 46.828660884|235.6334443264374 -54.5696943767853|-10.887 -10.445   |8.78     |G/KpBa             |    ~     ~          |    1|  467.552   pc  |  -3.4321     +3.4321  |paral   |2020yCat.1350....0G
1441|HD 22347                                                                                                 |High Proper Motion Star            |03 34 29.8481697192 -34 49 56.703494388|235.6921833224174 -54.4634149323027|-10.961 -51.282   |7.04     |F3V                |    ~     ~          |    1|   65.839   pc  |  -0.0720     +0.0720  |paral   |2020yCat.1350....0G
1442|HD 22414                                                                                                 |Star                               |03 35 01.6914961440 -35 37 17.053790304|237.0419075912554 -54.3334675528940|   1.665 -3.642   |9.47     |G8III/IV           |    ~     ~          |    1|  635.728   pc  | -17.4189    +17.4189  |paral   |2020yCat.1350....0G
1443|HD 22487                                                                                                 |High Proper Motion Star            |03 35 32.3069164824 -35 52 12.094530888|237.4605673355417 -54.2204160663783|  18.679 51.748   |8.90     |F3V                |    ~     ~          |    1|  174.779   pc  |  -1.6129     +1.6129  |paral   |2020yCat.1350....0G
