C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:15:54

dec >=0&rah >=0.25&rah< 0.5&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4911

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
78  |TYC 3247-963-1                                                                                           |Star                              |00 18 38.6555999856 +46 17 14.713313784|117.0417050781902 -16.2089340303592|  -6.494 -5.258  |10.34    |~                 |    ~     ~    |    1|  551.846   pc  |  -7.0652     +7.0652  |paral   |2020yCat.1350....0G
79  |TYC 3247-1080-1                                                                                          |Star                              |00 16 10.8674266896 +46 34 09.362987112|116.6444083728111 -15.8716085837103|   5.791 -5.067  |10.35    |~                 |    ~     ~    |    1|  965.344   pc  | -14.0715    +14.0715  |paral   |2020yCat.1350....0G
80  |GSC 03247-01125                                                                                          |Double or Multiple Star           |00 19 07.5341042136 +46 25 14.248523676|117.1456085280887 -16.0877737797031|  30.720 14.890  |10.513   |~                 |    ~     ~    |    1|  198.653   pc  |  -0.5919     +0.5919  |paral   |2020yCat.1350....0G
81  |TYC 3247-1135-1                                                                                          |Star                              |00 18 46.6790383512 +46 14 00.260409624|117.0581469460231 -16.2655257764775|  -6.598 -6.538  |10.84    |~                 |    ~     ~    |    1|  572.115   pc  |  -6.3499     +6.3499  |paral   |2020yCat.1350....0G
82  |TYC 3247-1147-1                                                                                          |Star                              |00 21 28.6565544192 +46 12 22.342411404|117.5372111304136 -16.3514796756706|-23.593 -14.482  |10.34    |~                 |    ~     ~    |    1|  243.920   pc  |  -1.5767     +1.5767  |paral   |2020yCat.1350....0G
83  |TYC 3247-1210-1                                                                                          |Star                              |00 18 00.5136711504 +46 29 24.230421168|116.9567577627216 -15.9934811188812|  -6.424 -5.104  |10.39    |~                 |    ~     ~    |    1|  560.852   pc  |  -6.1653     +6.1653  |paral   |2020yCat.1350....0G
84  |TYC 3247-1279-1                                                                                          |Star                              |00 17 30.3899714520 +45 54 58.931904780|116.7859654550668 -16.5500700541586|  -2.418 -2.005  |10.30    |~                 |    ~     ~    |    1| 1976.675   pc  | -66.4232    +66.4232  |paral   |2020yCat.1350....0G
85  |TYC 3247-1292-1                                                                                          |Star                              |00 19 24.2966871024 +46 08 00.660930576|117.1566794116243 -16.3787174311312|   7.149 -5.698  |10.74    |~                 |    ~     ~    |    1|  490.244   pc  | -12.4736    +12.4736  |paral   |2020yCat.1350....0G
86  |TYC 3247-1294-1                                                                                          |Star                              |00 22 25.5306544752 +46 13 25.392923148|117.7090579364776 -16.3536037566800|  16.935 -4.594  |10.35    |~                 |    ~     ~    |    1|  315.876   pc  |  -2.0654     +2.0654  |paral   |2020yCat.1350....0G
87  |TYC 3247-1330-1                                                                                          |Star                              |00 22 24.8574399768 +46 00 29.482632468|117.6807073025227 -16.5674214648841|   21.473 0.617  |10.74    |~                 |    ~     ~    |    1|  348.857   pc  |  -8.1540     +8.1540  |paral   |2020yCat.1350....0G
