C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:56:55

dec< 0&rah >=23.5&rah< 23.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 2513

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1111|BD-11 6102                                                            |Star                              |23 34 27.6039395496 -10 43 37.039638072|071.4031639196645 -65.5669037039033|  5.101 -14.647   |10.812   |~                    |    ~     ~    |    1|  328.738   pc  |  -7.8070     +7.8070  |ST-L    |2020AJ....160...83S
1112|BD-11 6113                                                            |Star                              |23 36 28.7840133648 -10 50 48.097416012|072.0533034169384 -66.0019236583061| 10.515 -10.464   |10.66    |~                    |    ~     ~    |    1|  417.728   pc  |  -3.2282     +3.2282  |paral   |2020yCat.1350....0G
1113|BD-10 6140                                                            |Star                              |23 35 48.4672352640 -10 10 02.842850892|072.9178684045118 -65.4001806370314|   4.252 -8.044   |10.33    |~                    |    ~     ~    |    1|  705.716   pc  |  -8.3670     +8.3670  |paral   |2020yCat.1350....0G
1114|TYC 5829-268-1                                                        |Star                              |23 36 28.5360559008 -08 24 18.879049008|075.9987889303370 -64.2111887753105|  12.718 -9.601   |10.87    |~                    |    ~     ~    |    1|  468.779   pc  | -14.3939    +14.3939  |paral   |2020yCat.1350....0G
1115|TYC 5829-854-1                                                        |Star                              |23 35 07.7487835368 -09 39 48.141919512|073.4571184389840 -64.9198477904252|   -4.616 3.783   |10.55    |~                    |    ~     ~    |    1|  311.740   pc  |  -1.6229     +1.6229  |paral   |2020yCat.1350....0G
1116|TYC 5832-92-1                                                         |Star                              |23 36 56.6456443368 -11 04 38.361173304|071.8518918152832 -66.2459182103074|  18.995 -1.719   |10.792   |~                    |    ~     ~    |    1|  475.698   pc  | -13.7900    +13.7900  |ST-L    |2020AJ....160...83S
1117|TYC 5832-103-1                                                        |Star                              |23 36 50.4647008104 -10 42 57.585246696|072.4339492631524 -65.9709155312659|   -1.964 4.474   |10.83    |~                    |    ~     ~    |    1|  357.743   pc  | -17.2517    +17.2517  |paral   |2020yCat.1350....0G
1118|TYC 5832-209-1                                                        |High Proper Motion Star           |23 35 10.2082625472 -10 59 59.727810336|071.2299767363052 -65.8828720222209|-45.637 -35.554   |10.58    |~                    |    ~     ~    |    1|  197.847   pc  |  -0.7046     +0.7046  |paral   |2020yCat.1350....0G
1119|TYC 5832-285-1                                                        |High Proper Motion Star           |23 32 24.5959861920 -10 13 54.359748552|071.3920530363458 -64.8603708145364| 106.020 22.917   |10.94    |~                    |    ~     ~    |    1|  113.533   pc  |  -0.2823     +0.2823  |paral   |2020yCat.1350....0G
1120|HD 222360                                                             |High Proper Motion Star           |23 39 55.2805988112 -10 55 36.973452684|073.4246414881646 -66.6478035481780| 54.774 -40.466   |9.60     |G3/5V                |    ~     ~    |    1|  149.759   pc  |  -0.4463     +0.4463  |paral   |2020yCat.1350....0G
1121|BD-11 6117                                                            |Star                              |23 38 33.5504668296 -11 09 54.897426036|072.4017290886346 -66.5869552620061|   40.722 1.276   |10.78    |~                    |    ~     ~    |    1|  289.771   pc  |  -1.6206     +1.6206  |paral   |2020yCat.1350....0G
1122|BD-11 6118                                                            |Star                              |23 38 48.7423095048 -10 56 12.700240512|072.9133993942723 -66.4666090414805|-15.222 -15.445   |10.62    |~                    |    ~     ~    |    1|  668.092   pc  |  -6.6952     +6.6952  |paral   |2020yCat.1350....0G
1123|BD-11 6132                                                            |High Proper Motion Star           |23 44 15.6505995024 -10 59 06.372148956|075.3259250115825 -67.4143107550032| -4.481 -50.045   |9.83     |K0                   |    ~     ~    |    1| 1418.037   pc  | -38.2058    +38.2058  |paral   |2020yCat.1350....0G
1124|HD 222157                                                             |Spectroscopic Binary              |23 38 12.4015459896 -08 37 39.145623708|076.4105207058627 -64.6595574098878| 29.004 -15.998   |6.89     |G8III                |    ~     ~    |    1|  152.135   pc  |  -5.0734     +5.0734  |paral   |2020yCat.1350....0G
1125|HD 222244                                                             |Star                              |23 38 56.6148892488 -08 56 25.048432356|076.2530348484471 -65.0151917469719|   -1.879 3.503   |9.596    |G2V                  |    ~     ~    |    1|  214.974   pc  |  -3.3510     +3.3510  |ST-L    |2020AJ....160...83S
1126|BD-09 6226                                                            |Star                              |23 39 27.8 -08 44 37                   |076.7865 -64.9499                  |            ~ ~   |9.7      |~                    |    ~     ~    |    0|                |                       |        |                   
1127|HD 222330                                                             |Star                              |23 39 39.0849332808 -08 52 15.270495564|076.6742432275423 -65.0768307777232|  6.443 -14.008   |9.740    |G8III/IV             |    ~     ~    |    1|  488.499   pc  | -14.4000    +14.4000  |ST-L    |2020AJ....160...83S
1128|HD 222359                                                             |Star                              |23 39 50.7691460400 -08 34 05.393530164|077.2243844491853 -64.8772775006219|-18.191 -23.218   |9.98     |G8/K0(IV)            |    ~     ~    |    1|  227.962   pc  |  -1.2004     +1.2004  |paral   |2020yCat.1350....0G
1129|HD 222113                                                             |Star                              |23 37 53.0850465504 -09 40 32.704371048|074.6218446358637 -65.3909023833839|  16.310 -6.561   |9.81     |G0/1V                |    ~     ~    |    1|  341.775   pc  |  -2.5348     +2.5348  |paral   |2020yCat.1350....0G
1130|HD 222091                                                             |Star                              |23 37 41.7757642584 -09 58 29.777037348|074.0510318301717 -65.5795119835446|-45.655 -17.813   |7.95     |K1IIICNII            |    ~     ~    |    1|  258.766   pc  |  -1.5669     +1.5669  |paral   |2020yCat.1350....0G
1131|HD 222269                                                             |High Proper Motion Star           |23 39 15.2870170680 -09 59 05.439246000|074.7211316646943 -65.8466992799032| 37.199 -41.708   |9.55     |F3V                  |    ~     ~    |    1|  170.828   pc  |  -1.8560     +1.8560  |ST-L    |2020AJ....160...83S
1132|HD 222245                                                             |Star                              |23 38 58.3481153520 -10 29 27.682982700|073.7499798603782 -66.1709388041420|    2.427 1.553   |10.48    |F7/8V                |    ~     ~    |    1|  284.010   pc  |  -1.4842     +1.4842  |paral   |2020yCat.1350....0G
1133|BD-10 6151                                                            |Star                              |23 39 41.2491317592 -09 44 11.500939536|075.3199167701320 -65.7338877518005| -0.841 -22.386   |10.349   |~                    |    ~     ~    |    1|  469.040   pc  | -15.1800    +15.1800  |ST-L    |2020AJ....160...83S
1134|BD-10 6152                                                            |Star                              |23 39 47.0495269272 -09 37 22.678208508|075.5468050796597 -65.6649965596518|   8.449 -9.443   |10.33    |~                    |    ~     ~    |    1|  623.558   pc  | -10.1483    +10.1483  |paral   |2020yCat.1350....0G
1135|TYC 5829-932-1                                                        |Star                              |23 39 27.7723800888 -08 48 39.655127952|076.6827793702897 -65.0010448880219| -8.801 -19.440   |10.061   |~                    |    ~     ~    |    1|  645.839   pc  | -26.8500    +26.8500  |ST-L    |2020AJ....160...83S
1136|HD 222522                                                             |Double or Multiple Star           |23 41 23.826504 -08 37 47.40204        |077.827702966 -65.170348440        |     55.8 -21.2   |9.56     |K1V+(G)              |    ~     ~    |    0|                |                       |        |                   
1137|HD 222545                                                             |High Proper Motion Star           |23 41 35.9083456320 -08 49 30.558682452|077.6209203805780 -65.3523874301438|-52.549 -70.148   |8.59     |F3V                  |    ~     ~    |    1|  113.538   pc  |  -0.2630     +0.2630  |paral   |2020yCat.1350....0G
1138|HD 222604                                                             |High Proper Motion Star           |23 42 03.0419532048 -08 49 19.893008352|077.8317689734940 -65.4215121978777| 20.834 -45.829   |10.15    |F7/8V                |    ~     ~    |    1|  197.383   pc  |  -0.8182     +0.8182  |paral   |2020yCat.1350....0G
1139|HD 222635                                                             |High Proper Motion Star           |23 42 22.2579442824 -08 49 43.609925964|077.9684191336294 -65.4770047963862|-112.796 -69.642  |8.45     |G1/2V                |    ~     ~    |    1|   76.132   pc  |  -0.4893     +0.4893  |ST-L    |2020AJ....160...83S
1140|HD 222709                                                             |Star                              |23 43 01.7706644496 -08 37 09.642060228|078.5906101526888 -65.4178143652684|   -6.062 0.389   |9.53     |K5(III)              |    ~     ~    |    1| 1494.768   pc  | -52.0599    +52.0599  |paral   |2020yCat.1350....0G
1141|HD 222710                                                             |Star                              |23 43 04.7209538496 -08 57 46.575343548|078.0884000252170 -65.6916996982331| -0.758 -10.798   |9.657    |K1(III)              |    ~     ~    |    1|  871.186   pc  | -48.9000    +48.9000  |ST-L    |2020AJ....160...83S
1142|HD 222720                                                             |High Proper Motion Star           |23 43 10.4521475256 -08 32 56.429310372|078.7636083269680 -65.3855499671288|-37.859 -38.070   |10.33    |G8(V)                |    ~     ~    |    1|  109.329   pc  |  -1.2156     +1.2156  |paral   |2020yCat.1350....0G
1143|HD 222756                                                             |Star                              |23 43 24.7512039168 -09 02 29.202425664|078.1219791041385 -65.8046958269330|  32.123 -6.182   |8.78     |G8IV                 |    ~     ~    |    1|  303.739   pc  |  -1.6883     +1.6883  |paral   |2020yCat.1350....0G
1144|BD-09 6246                                                            |Star                              |23 44 13.0 -09 02 39                   |078.4937 -65.9325                  |            ~ ~   |9.8      |~                    |    ~     ~    |    0|                |                       |        |                   
1145|HD 222891                                                             |Spectroscopic Binary              |23 44 38.8565398704 -08 50 55.646783916|078.9967989594170 -65.8472654982957|  49.619 -1.054   |8.08     |F5V                  |    ~     ~    |    1|   96.584   pc  |  -0.2864     +0.2864  |paral   |2020yCat.1350....0G
1146|HD 222903                                                             |Star                              |23 44 42.0058922304 -08 27 45.701308296|079.6043211224721 -65.5527505921611|   9.996 -8.294   |8.24     |A1mA6-F2             |    ~     ~    |    1|  151.105   pc  |  -0.5389     +0.5389  |paral   |2020yCat.1350....0G
1147|BD-09 6249                                                            |Star                              |23 44 53.0234479224 -08 25 30.903160764|079.7464855970584 -65.5512681220543|   12.391 2.458   |10.72    |~                    |    ~     ~    |    1|  877.347   pc  | -13.0086    +13.0086  |paral   |2020yCat.1350....0G
1148|BD-10 6156                                                            |Star                              |23 41 03.3 -09 16 13                   |076.6814 -65.6056                  |            ~ ~   |9.6      |~                    |    ~     ~    |    0|                |                       |        |                   
1149|BD-10 6158                                                            |Star                              |23 43 09.5093755294 -09 18 29.085538906|077.5872303962945 -65.9699214493475|   10.769 0.201   |10.58    |~                    |    ~     ~    |    1|  612.4824  pc  | -29.2605    +29.2605  |paral   |2018yCat.1345....0G
1150|BD-10 6159                                                            |Star                              |23 43 25.2194409480 -09 31 43.534454556|077.3592818991498 -66.1804554382594|   7.701 -7.729   |10.10    |G5                   |    ~     ~    |    1|  326.381   pc  |  -2.0346     +2.0346  |paral   |2020yCat.1350....0G
1151|HD 222775                                                             |Star                              |23 43 36.5187738576 -09 40 26.324049396|077.2146039696958 -66.3213405474616|  2.899 -10.613   |9.29     |F6V                  |    ~     ~    |    1|  197.996   pc  |  -0.7213     +0.7213  |paral   |2020yCat.1350....0G
1152|HD 222904                                                             |Star                              |23 44 43.5440086344 -09 20 55.446643824|078.2584314197754 -66.2478482629855|    4.997 2.873   |9.57     |G5V                  |    ~     ~    |    1|  136.388   pc  |  -0.9320     +0.9320  |paral   |2020yCat.1350....0G
1153|HD 222421                                                             |Star                              |23 40 28.8778696464 -10 13 40.090157400|074.8679557853205 -66.2295821240018|-14.500 -23.463   |9.29     |K0III                |    ~     ~    |    1|  422.887   pc  |  -3.1653     +3.1653  |paral   |2020yCat.1350....0G
1154|HD 222776                                                             |Star                              |23 43 35.9188422840 -10 21 21.051817128|076.0894064396842 -66.8360672910648|   8.186 -3.039   |9.45     |K3/4V                |    ~     ~    |    1|  765.169   pc  |  -9.8947     +9.8947  |paral   |2020yCat.1350....0G
1155|BD-10 6153                                                            |High Proper Motion Star           |23 40 38.6516588544 -09 52 25.846494204|075.5262172161806 -65.9932847190747|-16.419 -58.719   |10.361   |~                    |    ~     ~    |    1|  159.221   pc  |  -1.6180     +1.6180  |ST-L    |2020AJ....160...83S
1156|BD-10 6154                                                            |High Proper Motion Star           |23 40 44.1016125816 -09 38 36.830116968|075.9411717950292 -65.8356327727117|120.021 104.644   |10.93    |~                    |    ~     ~    |    1|   86.965   pc  |  -0.5204     +0.5204  |ST-L    |2020AJ....160...83S
1157|BD-10 6155                                                            |Star                              |23 41 13.2280822560 -09 26 25.461093084|076.4868519761937 -65.7611006888401| -10.556 -9.432   |10.202   |~                    |    ~     ~    |    1|  601.424   pc  | -36.6200    +36.6200  |ST-L    |2020AJ....160...83S
1158|BD-09 6243                                                            |Star                              |23 43 30.6608269896 -08 59 07.699684344|078.2544094254119 -65.7768516057428|  5.214 -14.276   |10.27    |~                    |    ~     ~    |    1|  500.601   pc  |  -7.1421     +7.1421  |paral   |2020yCat.1350....0G
1159|BD-10 6162                                                            |Star                              |23 44 13.3310445384 -09 36 35.753282172|077.6057228053292 -66.3697516633379|  -7.213 -8.999   |10.786   |~                    |    ~     ~    |    1|  345.265   pc  |  -9.4320     +9.4320  |ST-L    |2020AJ....160...83S
1160|TYC 5830-556-1                                                        |Star                              |23 41 13.6152584184 -09 16 14.418770880|076.7587658926012 -65.6334730693393|   25.726 0.493   |10.904   |~                    |    ~     ~    |    1|  369.170   pc  | -11.7300    +11.7300  |ST-L    |2020AJ....160...83S
1161|BD-11 6124                                                            |Star                              |23 40 17.0626582248 -10 14 12.603587172|074.7640549433722 -66.2036402118202| 11.520 -12.569   |10.843   |~                    |    ~     ~    |    1|  276.490   pc  |  -6.2770     +6.2770  |ST-L    |2020AJ....160...83S
1162|TYC 5830-1120-1                                                       |Star                              |23 44 44.4219383952 -08 27 02.609044992|079.6411007866675 -65.5494778790629|   48.270 5.633   |10.48    |~                    |    ~     ~    |    1|  173.620   pc  |  -1.2992     +1.2992  |paral   |2020yCat.1350....0G
1163|TYC 5829-938-1                                                        |Star                              |23 39 33.4892404248 -09 13 56.420814072|076.0687412323872 -65.3350710268415| -2.005 -13.000   |10.979   |~                    |    ~     ~    |    1|  600.009   pc  | -62.0400    +62.0400  |ST-L    |2020AJ....160...83S
1164|TYC 5830-374-1                                                        |Star                              |23 39 38.3674469424 -09 40 54.010704324|075.3873569176341 -65.6851038199549|   17.102 7.413   |10.967   |~                    |    ~     ~    |    1|  478.682   pc  | -20.5600    +20.5600  |ST-L    |2020AJ....160...83S
1165|TYC 5830-572-1                                                        |Star                              |23 43 46.7306202168 -09 00 44.090124696|078.3379658602028 -65.8394462418099| 20.002 -19.968   |10.91    |~                    |    ~     ~    |    1|  214.046   pc  |  -2.1258     +2.1258  |paral   |2020yCat.1350....0G
1166|TYC 5830-610-1                                                        |High Proper Motion Star           |23 40 00.1429089648 -08 42 35.957942532|077.0779999471703 -65.0105503150271| 23.602 -64.036   |10.98    |~                    |    ~     ~    |    1|  131.239   pc  |  -0.3135     +0.3135  |paral   |2020yCat.1350....0G
1167|TYC 5833-288-1                                                        |Star                              |23 44 56.0559379056 -10 47 13.916957172|075.9896622770706 -67.3767128546325| 11.160 -21.406   |10.96    |~                    |    ~     ~    |    1|  586.510   pc  |  -5.5727     +5.5727  |paral   |2020yCat.1350....0G
1168|TYC 5833-391-1                                                        |High Proper Motion Star           |23 44 21.9869215416 -10 25 12.385753140|076.3438529066716 -67.0087777669945|-18.753 -53.313   |10.996   |~                    |    ~     ~    |    1|  334.222   pc  |  -7.6700     +7.6700  |ST-L    |2020AJ....160...83S
1169|HD 221383                                                             |Star                              |23 31 46.3802841240 -08 19 43.106855376|074.1518874572977 -63.3782423041495| 35.495 -16.510   |9.01     |F6V                  |    ~     ~    |    1|  127.118   pc  |  -0.2715     +0.2715  |paral   |2020yCat.1350....0G
1170|BD-09 6208                                                            |Star                              |23 32 00.6764877744 -08 20 02.516409888|074.2407316000587 -63.4220643157595| -14.044 17.164   |10.02    |~                    |    ~     ~    |    1|  149.961   pc  |  -0.4250     +0.4250  |paral   |2020yCat.1350....0G
1171|BD-09 6213                                                            |Double or Multiple Star           |23 33 33.1860 -08 21 21.801            |074.8413010 -63.6948620            |  -3.281 -9.049   |10.41    |~                    |    ~     ~    |    0|                |                       |        |                   
1172|HD 221778                                                             |Spectroscopic Binary              |23 35 02.3596247184 -08 22 15.248840376|075.4402537619618 -63.9508707071713|   46.489 7.990   |9.82     |F7V                  |    ~     ~    |    1|  146.634   pc  |  -0.8321     +0.8321  |paral   |2020yCat.1350....0G
1173|HD 221941                                                             |Star                              |23 36 24.0546349104 -08 20 40.496383788|076.0583016509958 -64.1533150556171| 37.486 -24.356   |9.48     |F6V                  |    ~     ~    |    1|  170.097   pc  |  -0.5931     +0.5931  |paral   |2020yCat.1350....0G
1174|BD-08 6132                                                            |Star                              |23 33 21.3558089136 -08 08 37.786861392|075.0785001203749 -63.5043464123379|  14.240 -0.957   |10.94    |~                    |    ~     ~    |    1|  370.920   pc  |  -2.1325     +2.1325  |paral   |2020yCat.1350....0G
1175|BD-06 6230                                                            |Star                              |23 32 56.0813917560 -05 40 03.383378544|078.3799041331709 -61.5483075066472|   7.302 -6.068   |10.29    |F8                   |    ~     ~    |    1|  277.793   pc  |  -2.7086     +2.7086  |paral   |2020yCat.1350....0G
1176|HD 221867                                                             |High Proper Motion Star           |23 35 49.0560180432 -05 38 24.480843864|079.6045630439586 -61.9718742140058|   97.332 4.832   |9.72     |G5V                  |    ~     ~    |    1|   94.911   pc  |  -0.1558     +0.1558  |paral   |2020yCat.1350....0G
1177|BD-06 6243                                                            |Star                              |23 36 20.1595150320 -05 37 14.559320604|079.8471304373828 -62.0354826631200| -27.220 -8.487   |9.89     |~                    |    ~     ~    |    1|  330.240   pc  |  -1.5923     +1.5923  |paral   |2020yCat.1350....0G
1178|BD-06 6228                                                            |Star                              |23 31 59.6 -05 55 39                   |077.6537 -61.6019                  |            ~ ~   |9.5      |~                    |    ~     ~    |    0|                |                       |        |                   
1179|HD 221482                                                             |Star                              |23 32 37.6166717112 -06 08 20.035513428|077.6264618013463 -61.8652358423438|-15.815 -16.414   |8.69     |K0III                |    ~     ~    |    1|  371.968   pc  |  -2.6565     +2.6565  |paral   |2020yCat.1350....0G
1180|BD-06 6232                                                            |Star                              |23 33 51.5 -05 54 29                   |078.4392 -61.8797                  |            ~ ~   |9.3      |~                    |    ~     ~    |    0|                |                       |        |                   
1181|BD-06 6233                                                            |Star                              |23 34 01.4920514016 -05 53 46.672437840|078.5233355078433 -61.8964586564988|   26.523 5.659   |9.68     |~                    |    ~     ~    |    1|  746.603   pc  | -11.4270    +11.4270  |paral   |2020yCat.1350....0G
1182|BD-06 6235                                                            |Star                              |23 34 31.0668046632 -05 55 52.465619460|078.6802923943776 -62.0003664677267| -1.101 -15.300   |10.992   |~                    |    ~     ~    |    1|  895.470   pc  | -57.4000    +57.4000  |ST-L    |2020AJ....160...83S
1183|HD 221868                                                             |Star                              |23 35 47.0689810344 -05 44 55.016567016|079.4486422576084 -62.0523865268418|   27.360 2.283   |9.01     |F5IV                 |    ~     ~    |    1|  172.628   pc  |  -0.5841     +0.5841  |paral   |2020yCat.1350....0G
1184|HD 221877                                                             |Star                              |23 35 54.5463987504 -06 00 29.470343652|079.1576904556329 -62.2757257375303|-12.049 -17.395   |9.78     |F6V                  |    ~     ~    |    1|  289.226   pc  |  -1.9073     +1.9073  |paral   |2020yCat.1350....0G
1185|BD-07 6033                                                            |High Proper Motion Star           |23 30 48.4945133976 -06 27 53.539601868|076.4487281970902 -61.8243361402982|   75.026 8.098   |10.87    |~                    |    ~     ~    |    1|  193.855   pc  |  -1.0334     +1.0334  |paral   |2020yCat.1350....0G
1186|BD-07 6034                                                            |High Proper Motion Star           |23 30 57.7503613752 -06 34 25.575692448|076.3603088771505 -61.9319940862099|241.365 -29.806   |10.838   |~                    |    ~     ~    |    1|   93.613   pc  |  -0.5612     +0.5612  |ST-L    |2020AJ....160...83S
1187|HD 221308                                                             |Star                              |23 31 01.1420538840 -06 17 17.085714504|076.7751986427425 -61.7235501362980| -9.385 -28.994   |6.391    |K1III                |    ~     ~    |    1|  352.597   pc  |  -3.7297     +3.7297  |paral   |2020yCat.1350....0G
1188|HD 221349                                                             |Star                              |23 31 31.5091421136 -06 37 23.168115732|076.5182408305979 -62.0602875575420|  10.206 -1.068   |9.59     |A4V                  |    ~     ~    |    1|  399.312   pc  | -15.3500    +15.3500  |ST-L    |2020AJ....160...83S
1189|BD-07 6039                                                            |High Proper Motion Star           |23 31 49.8468939768 -06 24 43.189442424|076.9324058835436 -61.9483375311707|-14.918 -86.814   |10.79    |~                    |    ~     ~    |    1|  221.921   pc  |  -0.9013     +0.9013  |paral   |2020yCat.1350....0G
1190|BD-07 6041                                                            |Star                              |23 32 15.5 -06 53 36                   |076.4385 -62.3840                  |            ~ ~   |9.7      |~                    |    ~     ~    |    0|                |                       |        |                   
1191|BD-07 6044                                                            |High Proper Motion Star           |23 32 35.0111432976 -06 38 34.310081832|076.9199734499189 -62.2453582641459| 42.709 -95.808   |9.98     |~                    |    ~     ~    |    1|  148.940   pc  |  -0.4060     +0.4060  |paral   |2020yCat.1350....0G
1192|BD-07 6045                                                            |High Proper Motion Star           |23 32 57.5317147512 -06 31 22.132714044|077.2388542819662 -62.2133256671383|-43.992 -39.024   |10.76    |~                    |    ~     ~    |    1|  219.650   pc  |  -0.8202     +0.8202  |paral   |2020yCat.1350....0G
1193|HD 221561                                                             |High Proper Motion Star           |23 33 12.0520286376 -06 24 02.110075056|077.5054207091662 -62.1578017622387| 125.062 12.240   |8.06     |F8V                  |    ~     ~    |    1|   76.963   pc  |  -0.1475     +0.1475  |paral   |2020yCat.1350....0G
1194|BD-07 6047                                                            |Star                              |23 33 20.7390708984 -06 45 30.632098680|077.0714954580686 -62.4556869006859| -6.077 -15.492   |10.43    |F8                   |    ~     ~    |    1|  370.384   pc  | -23.7329    +23.7329  |paral   |2020yCat.1350....0G
1195|BD-07 6048                                                            |Star                              |23 33 22.7190602784 -06 58 17.480403732|076.7871899168982 -62.6237762902553|  3.360 -11.019   |10.99    |~                    |    ~     ~    |    1|  966.277   pc  | -14.6590    +14.6590  |paral   |2020yCat.1350....0G
1196|HD 221704                                                             |Star                              |23 34 26.8771713168 -06 28 50.414266740|077.9101403890390 -62.4165861804142|   28.460 0.138   |9.36     |G8(III)              |    ~     ~    |    1|  499.451   pc  |  -3.8914     +3.8914  |paral   |2020yCat.1350....0G
1197|HD 221823                                                             |Star                              |23 35 31.0354123974 -07 09 06.341412832|077.4237545387984 -63.1030717562946|   -0.124 1.495   |8.91     |K0III                |    ~     ~    |    1|  386.13    pc  |  -4.2492     +4.2492  |paral   |2020yCat.1350....0G
1198|BD-07 6054                                                            |Spectroscopic Binary              |23 36 07.9691530786 -06 13 55.988211206|078.9519573833006 -62.4859317212320| -5.973 -16.281   |10.131   |~                    |    ~     ~    |    1|  571.07    pc  |  -8.2508     +8.2508  |paral   |2020yCat.1350....0G
1199|HD 221925                                                             |Double or Multiple Star           |23 36 17.49209 -07 07 01.9903          |077.80009261 -63.19896153          |  -18.09 -19.86   |7.84     |F0V                  |0.0083  0.0    |    0|                |                       |        |                   
1200|BD-07 6057                                                            |Star                              |23 36 47.6626347792 -07 08 49.781700672|077.9720200615538 -63.3012738933489|  34.390 -7.919   |9.96     |~                    |    ~     ~    |    1|  295.465   pc  | -21.7637    +21.7637  |paral   |2020yCat.1350....0G
1201|BD-07 6058                                                            |Spectroscopic Binary              |23 36 56.0666754888 -06 42 46.223408628|078.6372974890894 -62.9858045413604|  9.275 -13.742   |9.81     |~                    |    ~     ~    |    1|  270.076   pc  |  -4.3080     +4.3080  |ST-L    |2020AJ....160...83S
1202|BD-07 6059                                                            |Star                              |23 37 06.5 -06 16 58                   |079.2971 -62.6759                  |            ~ ~   |9.5      |~                    |    ~     ~    |    0|                |                       |        |                   
1203|BD-08 6124                                                            |High Proper Motion Star           |23 30 29.6647358832 -07 16 43.423510800|075.1804890846922 -62.3868527803589|-49.805 -90.306   |9.91     |F8                   |    ~     ~    |    1|  161.692   pc  |  -0.4915     +0.4915  |paral   |2020yCat.1350....0G
1204|BD-08 6128                                                            |Star                              |23 31 33.8996439192 -07 43 20.986836852|074.9686865881378 -62.8946607131053|  -0.872 -1.155   |10.889   |~                    |    ~     ~    |    1|  415.035   pc  | -12.5100    +12.5100  |ST-L    |2020AJ....160...83S
1205|HD 221777                                                             |Star                              |23 35 04.2277713816 -07 40 38.697419640|076.4814589558684 -63.4331226756809|  26.051 11.328   |7.38     |K2/3III              |    ~     ~    |    1|  273.112   pc  |  -1.8498     +1.8498  |paral   |2020yCat.1350....0G
1206|HD 221835                                                             |Star                              |23 35 32.0719161072 -07 27 51.947585460|076.9851304110038 -63.3454247621172|  -0.307 17.008   |6.407    |G6/8III              |    ~     ~    |    1|  167.205   pc  |  -0.5647     +0.5647  |paral   |2020yCat.1350....0G
1207|BD-08 6146                                                            |High Proper Motion Star           |23 36 10.4866366152 -07 42 56.219647572|076.8931020410965 -63.6396702136969|-10.214 -50.998   |10.19    |~                    |    ~     ~    |    1|  206.169   pc  |  -0.7864     +0.7864  |paral   |2020yCat.1350....0G
1208|BD-08 6125                                                            |High Proper Motion Star           |23 30 33.7611407688 -07 45 35.340882696|074.5101301240315 -62.7561530007861| 75.727 -58.594   |9.95     |~                    |    ~     ~    |    1|  147.232   pc  |  -0.4140     +0.4140  |paral   |2020yCat.1350....0G
1209|BD-08 6127                                                            |Star                              |23 30 54.9 -08 04 09                   |074.1941 -63.0435                  |            ~ ~   |9.5      |~                    |    ~     ~    |    0|                |                       |        |                   
1210|BD-08 6129                                                            |High Proper Motion Star           |23 32 19.2288628752 -07 45 18.537448536|075.2281430126992 -63.0436171534778|-54.451 -87.549   |10.47    |~                    |    ~     ~    |    1|  108.522   pc  |  -0.3074     +0.3074  |paral   |2020yCat.1350....0G
1211|BD-08 6140                                                            |Star                              |23 34 42.3089065824 -08 03 45.638131752|075.7614251635377 -63.6649602022394|  3.827 -25.282   |10.330   |~                    |    ~     ~    |    1|  272.447   pc  |  -6.0250     +6.0250  |ST-L    |2020AJ....160...83S
1212|BD-08 6145                                                            |Star                              |23 36 05.0185496016 -08 05 16.110666744|076.3068892669668 -63.9078634721858|  5.343 -22.076   |10.68    |~                    |    ~     ~    |    1|  931.706   pc  | -17.5351    +17.5351  |paral   |2020yCat.1350....0G
1213|BD-08 6147                                                            |High Proper Motion Star           |23 36 12.5388047616 -07 48 05.099366520|076.7824592274532 -63.7105642814883| 39.508 -32.655   |10.28    |~                    |    ~     ~    |    1|  192.493   pc  |  -1.1524     +1.1524  |paral   |2020yCat.1350....0G
1214|BD-07 6060                                                            |Star                              |23 37 21.1981491936 -06 18 25.904506968|079.3685910845326 -62.7326531692018|   7.163 -4.614   |10.847   |~                    |    ~     ~    |    1|  353.187   pc  | -10.2700    +10.2700  |ST-L    |2020AJ....160...83S
1215|BD-08 6149                                                            |Star                              |23 37 20.5797489744 -07 27 57.466040616|077.7538748925028 -63.6339086283371|  42.328 -8.600   |10.757   |~                    |    ~     ~    |    1|  320.775   pc  |  -5.7870     +5.7870  |ST-L    |2020AJ....160...83S
1216|TYC 5257-159-1                                                        |Star                              |23 36 37.5524698992 -07 04 09.726483288|078.0096717999463 -63.2146013677966|-30.881 -21.992   |10.75    |~                    |    ~     ~    |    1|  336.621   pc  |  -2.9688     +2.9688  |paral   |2020yCat.1350....0G
1217|TYC 5257-547-1                                                        |High Proper Motion Star           |23 31 54.4949755392 -06 37 32.154126600|076.6695640620741 -62.1238517088196| 25.793 -50.619   |10.90    |~                    |    ~     ~    |    1|  241.891   pc  |  -5.7984     +5.7984  |paral   |2020yCat.1350....0G
