C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:56:55

dec< 0&rah >=23.5&rah< 23.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 2513

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
33  |CD-44 15277                                                           |Star                              |23 33 11.2545916848 -43 46 39.649715580|341.2869712637099 -67.0701625685388| 37.689 -26.681   |10.80    |~                    |    ~     ~    |    1|  204.516   pc  |  -2.9948     +2.9948  |paral   |2020yCat.1350....0G
34  |CD-43 15408                                                           |Star                              |23 33 28.9288330488 -42 56 27.633806376|342.8781641990573 -67.6425926522634|-14.938 -11.830   |10.09    |~                    |    ~     ~    |    1|  504.814   pc  | -15.0800    +15.0800  |ST-L    |2020AJ....160...83S
35  |CD-42 16376                                                           |Star                              |23 33 38.0039041056 -42 10 36.666149196|344.4329124067350 -68.1348234094521|-31.755 -16.925   |10.155   |~                    |    ~     ~    |    1|  333.931   pc  |  -8.0320     +8.0320  |ST-L    |2020AJ....160...83S
36  |CD-44 15283                                                           |Star                              |23 34 44.2364153376 -44 07 28.502021892|340.1454761278457 -67.0549115984128|  36.886 -5.616   |10.93    |~                    |    ~     ~    |    1|  433.598   pc  | -14.5000    +14.5000  |ST-L    |2020AJ....160...83S
37  |CD-43 15421                                                           |Star                              |23 35 19.3166078328 -43 01 52.898679552|342.1319293788548 -67.8462913268104|  12.326 -8.994   |10.01    |~                    |    ~     ~    |    0|                |                       |        |                   
38  |CD-43 15423                                                           |Star                              |23 35 38.2194156648 -42 23 09.956258988|343.3742911789975 -68.2985080521852|   34.301 3.283   |10.71    |~                    |    ~     ~    |    1|  208.607   pc  |  -0.7659     +0.7659  |paral   |2020yCat.1350....0G
39  |CD-43 15427                                                           |Star                              |23 35 44.5319317728 -42 20 24.882073980|343.4385390401406 -68.3422912366817|  18.356 -6.459   |10.78    |~                    |    ~     ~    |    1|  351.964   pc  |  -1.7219     +1.7219  |paral   |2020yCat.1350....0G
40  |CD-43 15400                                                           |Star                              |23 32 01.3465144368 -42 31 53.333457564|344.1615583016595 -67.6832408830017| -6.781 -10.408   |10.654   |~                    |    ~     ~    |    1|  881.896   pc  | -33.9500    +33.9500  |ST-L    |2020AJ....160...83S
41  |CD-43 15409                                                           |Star                              |23 33 31.9706650944 -43 00 59.727455496|342.7081228146211 -67.6024949317281|  10.941 -5.608   |10.63    |~                    |    ~     ~    |    1| 1630.523   pc  | -51.0452    +51.0452  |paral   |2020yCat.1350....0G
42  |CD-43 15425                                                           |Star                              |23 35 41.9504743296 -42 53 25.585665252|342.3034536664329 -67.9893432338747|   8.569 -6.200   |10.16    |~                    |    ~     ~    |    1| 1336.005   pc  | -27.1306    +27.1306  |paral   |2020yCat.1350....0G
