C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:25:33

Vmag< 11&dec< 0&rah >=18.0&rah< 18.25
-------------------------------------

Number of objects : 9145

 #  |                                                                                  identifier                                                                                   |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |       ang. size       
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|-----------------------
4241|HD 165442                                                                                                                                                                      |High Proper Motion Star               |18 06 34.2600880800 -14 58 22.864287792|014.5098781737359 +02.8334794532151| 40.156 -37.663   |7.93     |F0V                  |    ~     ~            
4242|HD 165441                                                                                                                                                                      |Star                                  |18 06 35.8066644672 -14 43 07.919748300|014.7353475391227 +02.9514824052273|   -1.127 8.475   |9.51     |K0/1(III)            |    ~     ~            
4243|LS IV -14 4                                                                                                                                                                    |Star                                  |18 06 53.8659648552 -14 56 45.457999944|014.5719328813961 +02.7776287470692|  -2.101 -3.262   |10.62    |B0V                  |    ~     ~            
4244|HD 165548                                                                                                                                                                      |Star                                  |18 07 02.0175707832 -14 23 14.494362828|015.0769653064017 +03.0199295714160|   1.289 -1.475   |8.96     |K(0)(III)+B/A        |    ~     ~            
4245|HD 165547                                                                                                                                                                      |Star                                  |18 07 02.8749167280 -14 05 51.939494880|015.3323012284269 +03.1573056739782|-10.385 -14.983   |9.88     |A1III                |    ~     ~            
4246|HD 165630                                                                                                                                                                      |Star                                  |18 07 26.1309845688 -14 04 01.263520164|015.4048403574526 +03.0899809496575|    7.565 8.469   |8.65     |G8III                |    ~     ~            
4247|HD 165703                                                                                                                                                                      |Star                                  |18 07 50.7906257160 -14 17 25.357050744|015.2574355366579 +02.8946754212126|  0.615 -15.148   |8.58     |K5/M0(III)           |    ~     ~            
4248|HD 165719                                                                                                                                                                      |Star                                  |18 07 53.9380778352 -14 16 48.653034996|015.2725276147235 +02.8884888399088|    6.321 0.231   |8.21     |A1/2V                |    ~     ~            
4249|HD 165993                                                                                                                                                                      |Star                                  |18 09 12.0 -14 37 00                   |015.1301 +02.4501                  |            ~ ~   |10.0     |B8/A0(V)             |    ~     ~            
4250|HD 166051                                                                                                                                                                      |Star                                  |18 09 28.0781914560 -14 40 18.954314508|015.1129408574097 +02.3666656428384|  -1.593 -5.506   |9.82     |B9IV                 |    ~     ~            
4251|HD 166104                                                                                                                                                                      |Star                                  |18 09 42.4739749416 -14 52 27.270017976|014.9636047766845 +02.2182483828123|   1.833 -8.138   |9.30     |B3III                |    ~     ~            
4252|HD 166125                                                                                                                                                                      |Star                                  |18 09 46.7518275936 -14 11 38.477591484|015.5683545437085 +02.5311439208488|  -0.208 -2.454   |9.10     |B3II                 |    ~     ~            
4253|HD 166238                                                                                                                                                                      |Star                                  |18 10 14.0500904688 -14 10 06.587731992|015.6439187825663 +02.4468038494608|  8.877 -30.937   |9.28     |A9V                  |    ~     ~            
4254|HD 166387                                                                                                                                                                      |Star                                  |18 10 57.6588562416 -14 43 52.529069316|015.2349961441645 +02.0217184129938|-21.449 -35.513   |8.07     |K0III                |    ~     ~            
4255|HD 166462                                                                                                                                                                      |Star                                  |18 11 14.2622983056 -14 25 21.821082348|015.5379089982570 +02.1113662340593|   1.778 -3.857   |9.26     |A0V                  |    ~     ~            
4256|BD-15 4789                                                                                                                                                                     |Star                                  |18 03 10.8190856256 -15 27 27.242154720|013.6866840408941 +03.3111174260025|    1.489 2.999   |10.44    |A2                   |    ~     ~            
4257|BD-15 4800                                                                                                                                                                     |Star                                  |18 04 29.1083816376 -15 38 40.420383648|013.6773278049869 +02.9455480511049|  -0.148 -1.232   |9.70     |B5                   |    ~     ~            
4258|BD-15 4801                                                                                                                                                                     |Star                                  |18 04 29.8991407512 -15 04 48.918665964|014.1720338051601 +03.2183579907888|  -0.060 -0.849   |10.44    |B                    |    ~     ~            
4259|HD 165049                                                                                                                                                                      |Star                                  |18 04 42.8987822520 -15 21 44.366707872|013.9510350368665 +03.0350566564541|    0.794 0.144   |9.14     |B2Ib/II              |    ~     ~            
4260|BD-15 4805                                                                                                                                                                     |Long-Period Variable Candidate        |18 04 46.7438768424 -15 42 25.330320288|013.6573407371529 +02.8532985789108|  -3.869 -5.228   |9.01     |M2/3                 |    ~     ~            
4261|HD 165078                                                                                                                                                                      |High Proper Motion Star               |18 04 46.5963583920 -15 00 44.183634192|014.2643018826703 +03.1928863395536| 23.757 -58.532   |9.14     |K1III/IV             |    ~     ~            
4262|HD 165098                                                                                                                                                                      |Star                                  |18 04 57.4524263808 -15 17 19.335454944|014.0439625583689 +03.0199307477680| 22.776 -38.214   |7.92     |F7V                  |    ~     ~            
4263|BD-15 4813                                                                                                                                                                     |Star                                  |18 06 11.7393223872 -15 02 50.288078220|014.4007702242246 +02.8765819865616| -1.451 -10.849   |10.08    |F2                   |    ~     ~            
4264|HD 165549                                                                                                                                                                      |Star                                  |18 07 06.0149096328 -15 39 38.557862748|013.9701945023262 +02.3878865054202|  15.259 14.030   |9.23     |F0V                  |    ~     ~            
4265|HD 165576                                                                                                                                                                      |Star                                  |18 07 16.2218798256 -15 33 24.027449076|014.0811293697245 +02.4025923024272|   2.070 -4.170   |9.46     |ApSi                 |    ~     ~            
4266|HD 165631                                                                                                                                                                      |Star                                  |18 07 26.0974507296 -14 59 18.971332872|014.5976227293822 +02.6434915816823|   2.586 -4.885   |9.27     |K0/1III              |    ~     ~            
4267|BD-15 4824                                                                                                                                                                     |Star                                  |18 07 43.3771102704 -15 28 16.662173448|014.2087904294069 +02.3486796923133|  -0.864 -1.630   |10.43    |B                    |    ~     ~            
4268|HD 165720                                                                                                                                                                      |Star                                  |18 07 59.8591227048 -15 49 44.920000416|013.9276579222670 +02.1173491257989| -1.294 -12.145   |9.47     |K5                   |    ~     ~            
4269|HD 165721                                                                                                                                                                      |Star                                  |18 08 01.0862235360 -15 57 35.395300296|013.8156639135439 +02.0496930266516|  10.589 21.315   |8.99     |F3III/IV             |    ~     ~            
4270|HD 165831                                                                                                                                                                      |Star                                  |18 08 31.4979040944 -15 46 22.256454504|014.0384306070387 +02.0336543406818|  -1.386 -3.903   |10.48    |B8Ib/II              |    ~     ~            
4271|BD-15 4829                                                                                                                                                                     |Star                                  |18 08 41.7233659320 -15 01 19.051271328|014.7159384836686 +02.3610420168384|   0.483 -5.220   |10.15    |~                    |    ~     ~            
4272|HD 165915                                                                                                                                                                      |Star                                  |18 08 53.6093846832 -15 02 22.930783368|014.7235375670372 +02.3105942103079|   10.139 5.585   |9.05     |K3/5                 |    ~     ~            
4273|HD 165916                                                                                                                                                                      |High Proper Motion Star               |18 08 54.5088515568 -15 08 45.510163404|014.6321839032852 +02.2560543374422| 9.948 -105.409   |9.79     |G5                   |    ~     ~            
4274|HD 165945                                                                                                                                                                      |Star                                  |18 09 02.1213832512 -15 31 42.158436312|014.3120030550010 +02.0444039848170|   -1.826 3.824   |9.41     |ApSrEuCr             |    ~     ~            
4275|HD 165968                                                                                                                                                                      |Star                                  |18 09 12.0 -15 19 00                   |014.5167 +02.1120                  |            ~ ~   |10.0     |A5                   |    ~     ~            
4276|HD 165994                                                                                                                                                                      |Star                                  |18 09 09.2912583480 -15 03 32.641511940|014.7370884040569 +02.2459934753920|   1.126 -2.110   |8.41     |K2III                |    ~     ~            
4277|BD-15 4840                                                                                                                                                                     |Long-Period Variable Candidate        |18 09 43.0477307472 -15 16 56.849456064|014.6069266589529 +02.0192489239209|   0.396 -3.393   |7.86     |M1/2III              |    ~     ~            
4278|HD 166162                                                                                                                                                                      |Star                                  |18 09 58.4557357008 -15 15 04.370434416|014.6642107372814 +01.9800749766197|   3.601 -0.539   |9.69     |F3V                  |    ~     ~            
4279|HD 166186                                                                                                                                                                      |Star                                  |18 10 08.6237277480 -15 18 44.365743432|014.6303666625656 +01.9148020659230|   0.311 -2.345   |10.47    |B7(III)              |    ~     ~            
4280|BD-15 4845                                                                                                                                                                     |Star                                  |18 10 33.5778672648 -15 03 49.996822248|014.8965591239319 +01.9466017070005|  -0.531 -1.272   |10.36    |B                    |    ~     ~            
4281|HD 166321                                                                                                                                                                      |Star                                  |18 10 48.0 -15 32 00                   |014.5129 +01.6697                  |            ~ ~   |10.7     |B9.5V                |    ~     ~            
4282|LS IV -15 9                                                                                                                                                                    |Star                                  |18 10 53.0908358352 -15 32 28.009739076|014.5158894655877 +01.6480588334638|  -0.550 -1.426   |10.68    |B                    |    ~     ~            
4283|LS IV -15 10                                                                                                                                                                   |Star                                  |18 10 55.3562141400 -15 57 33.768559332|014.1535542270387 +01.4386839995611|  -0.194 -1.795   |10.72    |B                    |    ~     ~            
4284|HD 166417                                                                                                                                                                      |Star                                  |18 11 10.6933151688 -15 53 41.691550992|014.2396691707727 +01.4158600448887| -0.429 -13.449   |8.07     |B9II/III             |    ~     ~            
4285|HD 164831                                                                                                                                                                      |Star                                  |18 03 43.1437730304 -16 47 06.463176468|012.5914226611272 +02.5477606151272|   3.815 -0.823   |10.39    |B8/9Ib               |    ~     ~            
4286|HD 165099                                                                                                                                                                      |High Proper Motion Star               |18 04 56.9574454464 -16 00 50.979836736|013.4090168504122 +02.6676112227579|-8.825 -121.569   |8.68     |G3V                  |    ~     ~            
4287|BD-16 4703                                                                                                                                                                     |Star                                  |18 05 23.7595111368 -16 04 41.087422704|013.4056032043378 +02.5427413098938|  5.633 -11.781   |10.07    |A3                   |    ~     ~            
4288|BD-16 4706                                                                                                                                                                     |Star                                  |18 06 17.8453447800 -16 41 16.469515824|012.9781847126396 +02.0566914295041|   0.132 -2.037   |10.01    |OB                   |    ~     ~            
4289|HD 165550                                                                                                                                                                      |Star                                  |18 07 12.5484124608 -16 39 24.747735420|013.1116175681912 +01.8810343195386| -39.783 -8.380   |8.91     |F8V                  |    ~     ~            
4290|HD 165673                                                                                                                                                                      |Star                                  |18 07 43.7095700400 -16 02 29.039684424|013.7105091397053 +02.0709986962498|-19.573 -12.457   |8.89     |G8III                |    ~     ~            
4291|HD 165704                                                                                                                                                                      |Double or Multiple Star               |18 07 58.5570807088 -16 37 05.036885663|013.2347967489715 +01.7393111027359|   -0.112 0.011   |9.58     |B9IV/V               |    ~     ~            
4292|HD 165808                                                                                                                                                                      |Star                                  |18 08 28.7528045616 -16 24 59.989560588|013.4695340622760 +01.7314541597535|  -0.078 -3.648   |7.67     |B3V                  |    ~     ~            
4293|HD 165809                                                                                                                                                                      |Star                                  |18 08 29.5578843504 -16 29 22.128528192|013.4073656078441 +01.6933607238833|   0.075 -3.645   |9.12     |B9                   |    ~     ~            
4294|HD 165868                                                                                                                                                                      |Star                                  |18 08 48.0467425344 -16 36 14.758777692|013.3428290075939 +01.5732384291747|  -0.330 -4.102   |10.01    |B9II/III             |    ~     ~            
4295|HD 165917                                                                                                                                                                      |Star                                  |18 08 55.8921327768 -16 28 11.845440912|013.4754271098049 +01.6107558291785|   0.015 -3.600   |10.75    |B9III/V              |    ~     ~            
4296|HD 165947                                                                                                                                                                      |Star                                  |18 09 04.3705984944 -16 28 39.834321816|013.4850206189017 +01.5773475157544|   0.353 -2.714   |10.44    |A0                   |    ~     ~            
4297|HD 165946                                                                                                                                                                      |Star                                  |18 09 04.6556962488 -16 24 14.795077788|013.5500285385676 +01.6119703697077|-15.270 -39.986   |9.31     |K1(III)              |    ~     ~            
4298|HD 165995                                                                                                                                                                      |Star                                  |18 09 17.5609562736 -16 24 02.201847984|013.5780511518256 +01.5685142436940|   6.586 -4.783   |10.70    |G5/6                 |    ~     ~            
4299|HD 166076                                                                                                                                                                      |Star                                  |18 09 39.4347558768 -16 50 18.855659364|013.2367828209576 +01.2803412987093|   0.153 -4.004   |9.11     |B9II/III             |    ~     ~            
4300|HD 166187                                                                                                                                                                      |Star                                  |18 10 12.1880565120 -16 15 43.071993288|013.8050368709596 +01.4442266102168| -0.233 -13.475   |9.06     |B9.5IV/V             |    ~     ~            
4301|HD 166215                                                                                                                                                                      |Star                                  |18 10 21.3827589360 -16 46 55.600255236|013.3670470020183 +01.1610904617330| 33.378 -23.918   |9.48     |F7/8V                |    ~     ~            
4302|LS 4723                                                                                                                                                                        |Star                                  |18 10 33.3217082232 -16 44 29.159989656|013.4256672904000 +01.1389874200712|   0.514 -0.491   |8.57     |B2V                  |    ~     ~            
4303|ALS 19763                                                                                                                                                                      |Star                                  |18 10 32.3451935424 -16 44 50.586415512|013.4185729369990 +01.1395304460286|  -0.074 -0.854   |9.69     |B2IV:                |    ~     ~            
4304|UCAC2 25601663                                                                                                                                                                 |Star                                  |18 10 31.3572645960 -16 44 41.334209484|013.4189234230124 +01.1442230129791|  -0.062 -0.765   |10.9     |~                    |    ~     ~            
4305|HD 166287                                                                                                                                                                      |Star                                  |18 10 37.8683126712 -16 49 28.288891452|013.3616084773106 +01.0830307746385|   0.114 -0.863   |7.92     |B1Ib                 |    ~     ~            
4306|HD 166304                                                                                                                                                                      |beta Cep Variable                     |18 10 42.8987376648 -16 42 48.657900600|013.4685592351017 +01.1189671949615|  -0.012 -0.738   |9.34     |B2II                 |    ~     ~            
4307|HD 166363                                                                                                                                                                      |Star                                  |18 10 59.6797299480 -16 17 42.297804204|013.8676043634506 +01.2618398723275|   1.359 -2.379   |10.34    |B8Ib/II              |    ~     ~            
4308|HD 166388                                                                                                                                                                      |Star                                  |18 11 04.9849767648 -16 38 14.140847580|013.5778750288683 +01.0784616259723| -0.556 -12.990   |9.96     |F3/6(V)              |    ~     ~            
4309|HD 166389                                                                                                                                                                      |Star                                  |18 11 07.0572176160 -16 44 56.481964872|013.4838963936283 +01.0173880077143|    2.359 0.541   |10.07    |B8                   |    ~     ~            
4310|BD-14 4869                                                                                                                                                                     |Star                                  |18 03 58.8264274872 -14 33 26.843195952|014.5678807337795 +03.5828320436779|   1.412 -3.453   |9.97     |~                    |    ~     ~            
4311|BD-16 4701                                                                                                                                                                     |Star                                  |18 04 40.3640793480 -16 29 56.736337920|012.9530142022671 +02.4885932358615|  -3.968 -3.345   |9.87     |~                    |    ~     ~            
4312|BD-14 4874                                                                                                                                                                     |Star                                  |18 05 07.9163091192 -14 57 15.092806356|014.3569932179202 +03.1462835511978| -3.545 -21.162   |9.60     |~                    |    ~     ~            
4313|BD-15 4812                                                                                                                                                                     |Star                                  |18 06 04.2481294488 -15 20 26.685611484|014.1294037296567 +02.7601565849380|    1.780 3.098   |9.70     |~                    |    ~     ~            
4314|BD-15 4817                                                                                                                                                                     |Star                                  |18 06 33.2149221096 -15 40 36.463741428|013.8921176024204 +02.4950741038625|   27.40 -16.60   |10.21    |~                    |    ~     ~            
4315|BD-15 4820                                                                                                                                                                     |Star                                  |18 07 10.6858735272 -15 03 10.583361360|014.5111847888277 +02.6665198668728|  3.289 -10.218   |9.91     |~                    |    ~     ~            
4316|BD-15 4823                                                                                                                                                                     |Star                                  |18 07 41.2854125496 -15 48 20.266031088|013.9121042580245 +02.1938715808510| -13.205 -3.181   |10.01    |~                    |    ~     ~            
4317|BD-15 4807                                                                                                                                                                     |Star                                  |18 04 54.7646138544 -15 36 30.160307412|013.7592810734715 +02.8733757198416|  10.004 -1.859   |10.70    |~                    |    ~     ~            
4318|V* FZ Ser                                                                                                                                                                      |Long-Period Variable                  |18 08 01.9311235368 -14 44 15.132000192|014.8874802836269 +02.6388954223420|  -3.257 -7.080   |10.53    |~                    |    ~     ~            
4319|V* W Ser                                                                                                                                                                       |Eclipsing Binary                      |18 09 50.6485613712 -15 33 00.263398644|014.3871499769923 +01.8633529124964|    0.590 3.058   |8.42     |F8/G2Iaep(+A)        |    ~     ~            
4320|[SC96] Mis 1026                                                                                                                                                                |Star                                  |18 08 30.0 -16 26 00                   |013.4574 +01.7190                  |            ~ ~   |7.45     |~                    |    ~     ~            
4321|[SC96] Mis 1077                                                                                                                                                                |Star                                  |18 10 36.0 -16 46 00                   |013.4087 +01.1175                  |            ~ ~   |7.13     |~                    |    ~     ~            
4322|BD-15 4787                                                                                                                                                                     |Star                                  |18 03 05.3332967376 -15 49 48.429673860|013.3506175972058 +03.1477241144160|   0.352 -1.854   |10.15    |~                    |    ~     ~            
4323|BD-15 4790                                                                                                                                                                     |Star                                  |18 03 12.4481139216 -15 35 57.086039040|013.5662293173384 +03.2360314543938|  -0.733 -2.632   |10.51    |~                    |    ~     ~            
4324|BD-16 4695                                                                                                                                                                     |Star                                  |18 03 23.6693207472 -16 18 40.590859860|012.9667208728662 +02.8478452233334|  -1.357 -1.335   |10.42    |~                    |    ~     ~            
4325|BD-15 4792                                                                                                                                                                     |Star                                  |18 03 53.2360787256 -15 19 50.055692160|013.8811449699173 +03.2246831749212|  -6.459 -7.854   |10.42    |~                    |    ~     ~            
4326|BD-15 4793                                                                                                                                                                     |High Proper Motion Star               |18 04 00.4514371920 -15 21 39.125095416|013.8688728945532 +03.1845793000119|-34.336 -112.110  |10.03    |~                    |    ~     ~            
4327|BD-15 4796                                                                                                                                                                     |Star                                  |18 04 14.7156231888 -15 49 25.779817056|013.4924786375773 +02.9082885196371|   0.798 -4.892   |10.13    |~                    |    ~     ~            
4328|BD-14 4871                                                                                                                                                                     |Star                                  |18 04 53.0092291296 -14 58 59.114096076|014.3024283973861 +03.1845887715172|    0.190 4.221   |10.09    |~                    |    ~     ~            
4329|BD-14 4878                                                                                                                                                                     |Star                                  |18 05 33.6242041824 -14 28 56.611843068|014.8202546994916 +03.2855422122913|  10.696 -4.428   |10.08    |~                    |    ~     ~            
4330|BD-14 4886                                                                                                                                                                     |Star                                  |18 06 45.6536292864 -14 26 03.344073108|015.0038133673144 +03.0549248783226|   3.665 -2.255   |10.14    |~                    |    ~     ~            
4331|TYC 6251-615-1                                                                                                                                                                 |Star                                  |18 07 19.7174468712 -16 21 08.421944076|013.3918626007297 +02.0039764989357| -3.617 -12.559   |10.75    |~                    |    ~     ~            
4332|BD-16 4712                                                                                                                                                                     |Star                                  |18 07 30.7475338488 -16 07 59.133046080|013.6050850850344 +02.0718722218433|-14.616 -28.759   |10.23    |~                    |    ~     ~            
4333|BD-14 4893                                                                                                                                                                     |Star                                  |18 07 47.6771560728 -14 29 35.245322700|015.0737210202666 +02.8075168022166| 13.524 -28.647   |10.20    |~                    |    ~     ~            
4334|BD-14 4898                                                                                                                                                                     |Star                                  |18 08 00.5834053128 -14 44 10.543305912|014.8859647721044 +02.6442644095662| -11.592 21.420   |10.07    |~                    |    ~     ~            
4335|BD-15 4827                                                                                                                                                                     |Star                                  |18 08 06.7093344720 -15 14 47.820596136|014.4509591814012 +02.3755576567061|   0.145 -1.381   |10.15    |~                    |    ~     ~            
4336|BD-14 4901                                                                                                                                                                     |Star                                  |18 08 43.1484009024 -14 47 46.732366680|014.9164058597200 +02.4651202708143|   6.862 -3.673   |9.66     |~                    |    ~     ~            
4337|TYC 6264-2068-1                                                                                                                                                                |Star                                  |18 10 03.7751366016 -16 27 02.998816452|013.6233306273230 +01.3825371646911| -2.761 -18.947   |10.38    |~                    |    ~     ~            
4338|BD-15 4848                                                                                                                                                                     |Star                                  |18 10 50.1469024080 -15 51 57.098038788|014.2254829239808 +01.5020187900816|    0.962 2.047   |9.61     |~                    |    ~     ~            
4339|BD-14 4915                                                                                                                                                                     |Star                                  |18 10 59.5846963248 -14 13 39.304890624|015.6806474426298 +02.2571312932162|  1.169 -10.968   |10.56    |~                    |    ~     ~            
4340|BD-14 4916                                                                                                                                                                     |Star                                  |18 11 01.4958336024 -14 14 23.788957272|015.6735177371059 +02.2444226220526|  -0.451 -9.607   |10.50    |~                    |    ~     ~            
4341|TYC 6251-98-1                                                                                                                                                                  |Star                                  |18 00 05.4215662968 -15 12 06.713798076|013.5428892264384 +04.0856001799655|    3.524 6.567   |10.28    |~                    |    ~     ~            
4342|TYC 6251-497-1                                                                                                                                                                 |Star                                  |18 00 14.9937113760 -16 03 06.704816580|012.8208851137338 +03.6327809446217|  6.856 -30.046   |10.33    |~                    |    ~     ~            
4343|TYC 5687-214-1                                                                                                                                                                 |Star                                  |18 01 25.4917225056 -14 29 45.091797612|014.3181942251301 +04.1522525170365|  -4.000 -3.440   |10.09    |~                    |    ~     ~            
4344|BD-15 4782                                                                                                                                                                     |Star                                  |18 02 10.4919342744 -15 49 08.179319028|013.2523046671944 +03.3447588036108|    1.436 0.654   |10.71    |~                    |    ~     ~            
4345|IRAS 18006-1427                                                                                                                                                                |Star                                  |18 03 29.0646841584 -14 27 29.698971948|014.5958535673445 +03.7360489547034|   3.063 -1.790   |10.33    |~                    |    ~     ~            
4346|BD-15 4798                                                                                                                                                                     |Star                                  |18 04 14.3464411248 -15 03 36.635655924|014.1589815564227 +03.2827697034535|  -2.682 -6.040   |10.51    |~                    |    ~     ~            
4347|BD-16 4705                                                                                                                                                                     |Star                                  |18 05 35.7973669056 -16 43 32.886809940|012.8632123560591 +02.1847293355698|   -3.971 7.027   |10.01    |~                    |    ~     ~            
4348|TYC 5687-220-1                                                                                                                                                                 |Star                                  |18 06 32.5469529864 -14 59 01.561739640|014.4971170431171 +02.8342839978067|  -1.568 -4.261   |10.69    |~                    |    ~     ~            
4349|BD-14 4889                                                                                                                                                                     |Star                                  |18 07 11.7009342240 -14 28 39.169313544|015.0169543188742 +02.9420258683696| 17.290 -18.691   |10.14    |~                    |    ~     ~            
4350|TYC 6264-3-1                                                                                                                                                                   |Star                                  |18 09 44.3372140152 -16 49 31.221095448|013.2578205891189 +01.2696182033812|   -1.628 1.504   |10.82    |~                    |    ~     ~            
4351|TYC 6264-2091-1                                                                                                                                                                |Star                                  |18 09 58.8425022384 -16 25 20.677828764|013.6387099936114 +01.4135217690900| -0.792 -15.568   |10.87    |~                    |    ~     ~            
4352|BD-14 4911                                                                                                                                                                     |Star                                  |18 10 19.6797250080 -14 17 02.895191664|015.5534331234863 +02.3711954143863|   2.883 -1.512   |10.01    |~                    |    ~     ~            
4353|TYC 6264-1100-1                                                                                                                                                                |Star                                  |18 11 07.7372519856 -16 42 50.649016068|013.5158414496459 +01.0318433471028|  11.819 -4.892   |10.88    |~                    |    ~     ~            
4354|IDS 17583-1644 AB                                                                                                                                                              |Double or Multiple Star               |18 04 04.1450368076 -16 43 22.859206712|012.6867146515851 +02.5051472804105|  17.394 -7.805   |10.32    |A(3)mF2-F3           |    ~     ~            
4355|TYC 5687-116-1                                                                                                                                                                 |Star                                  |18 03 40.9349888832 -14 20 24.151995672|014.7226683906236 +03.7520039474737|  -0.141 -0.831   |10.82    |~                    |    ~     ~            
4356|TYC 5687-185-1                                                                                                                                                                 |Star                                  |18 06 21.8328634848 -14 56 19.770484056|014.5154607604122 +02.8938173250178|   20.734 7.323   |10.47    |~                    |    ~     ~            
4357|TYC 5687-297-1                                                                                                                                                                 |Star                                  |18 03 30.2625355656 -14 07 30.543338208|014.8895026480495 +03.8945742303046|  -5.916 -9.705   |10.97    |~                    |    ~     ~            
4358|TYC 5687-350-1                                                                                                                                                                 |Star                                  |18 01 29.1639840552 -14 46 45.934797936|014.0778378494285 +04.0000997990998|  -0.045 -2.007   |10.68    |~                    |    ~     ~            
4359|TYC 5687-364-1                                                                                                                                                                 |Star                                  |18 02 00.5408658912 -14 26 56.445462528|014.4286766782290 +04.0520240116108|  8.326 -32.222   |10.41    |~                    |    ~     ~            
4360|TYC 5687-367-1                                                                                                                                                                 |Star                                  |18 00 37.9195109784 -14 53 28.866289164|013.8783873474479 +04.1247908224417|   1.760 -1.392   |10.44    |~                    |    ~     ~            
4361|TYC 5687-404-1                                                                                                                                                                 |Star                                  |18 02 31.3918563504 -14 17 08.072984364|014.6326706658086 +04.0235466383616|  -0.341 -1.667   |10.37    |~                    |    ~     ~            
