C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:25:33

Vmag< 11&dec< 0&rah >=18.0&rah< 18.25
-------------------------------------

Number of objects : 9145

 #  |                                                                                  identifier                                                                                   |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |       ang. size       
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|-----------------------
50  |HD 165796                                                                                                                                                                      |Star                                  |18 09 45.1489775736 -42 24 11.354538672|350.6216737697224 -10.8719325681531|  -2.699 -6.486   |7.30     |K3III                |    ~     ~            
51  |HD 165841                                                                                                                                                                      |Star                                  |18 09 58.1121969456 -42 17 30.834051936|350.7410783785888 -10.8570836568206|  -1.771 -8.072   |10.95    |A7IV/V               |    ~     ~            
52  |HD 165902                                                                                                                                                                      |Star                                  |18 10 14.5759344480 -42 24 11.683848096|350.6633438573087 -10.9526986984558| -4.426 -20.261   |7.88     |G8III                |    ~     ~            
53  |HD 166005                                                                                                                                                                      |Star                                  |18 10 41.5239541824 -42 17 37.768299936|350.8009667179346 -10.9772857414698|  -4.431 -7.905   |10.06    |K1/2(III)            |    ~     ~            
54  |HD 166062                                                                                                                                                                      |Star                                  |18 10 54.4407177864 -42 23 29.924090376|350.7303049362382 -11.0569139448811|  -1.631 -3.154   |9.06     |G1/3IV               |    ~     ~            
55  |HD 164626                                                                                                                                                                      |Star                                  |18 04 06.7588905000 -43 21 36.802680192|349.2741170934656 -10.3931674168226|   1.228 -3.710   |10.66    |A1(IV)               |    ~     ~            
56  |HD 164691                                                                                                                                                                      |Double or Multiple Star               |18 04 25.303 -43 05 37.71              |349.540548 -10.319309              |      8.8 -11.0   |9.8      |F3/5V                |    ~     ~            
57  |HD 164778                                                                                                                                                                      |Star                                  |18 04 49.8942619872 -43 50 24.857030760|348.9025985729876 -10.7307565784962|   4.989 -6.562   |8.68     |A1V                  |    ~     ~            
58  |HD 164891                                                                                                                                                                      |Star                                  |18 05 27.4579288560 -43 35 53.817302616|349.1742021287873 -10.7195938712813| -2.127 -18.949   |9.49     |G6/8(III)            |    ~     ~            
59  |HD 164954                                                                                                                                                                      |Star                                  |18 05 44.1689082384 -43 32 00.679230132|349.2563530217763 -10.7345730092909|  -2.237 -4.938   |10.44    |A1V                  |    ~     ~            
60  |HD 165037                                                                                                                                                                      |Star                                  |18 06 10.1689794240 -43 44 54.929095152|349.0985041653604 -10.9029855537625|   -0.859 6.717   |9.05     |K3(III)              |    ~     ~            
61  |V* V712 CrA                                                                                                                                                                    |Long-Period Variable                  |18 06 36.4279304592 -43 37 38.867328012|349.2450674549544 -10.9178292874678|   1.614 -8.558   |8.01     |M4II                 |    ~     ~            
62  |CD-43 12272                                                                                                                                                                    |Double or Multiple Star               |18 06 49.89312 -43 25 30.7964          |349.44714017 -10.86143284          |  10.73 -106.59   |4.95     |A6V+A7V              |    ~     ~            
63  |CD-43 12272A                                                                                                                                                                   |High Proper Motion Star               |18 06 49.8929258688 -43 25 30.800909676|349.4471387665301 -10.8614328945871|10.915 -105.835   |5.62     |A6V                  |    ~     ~            
64  |CD-43 12272B                                                                                                                                                                   |High Proper Motion Star               |18 06 49.9149403848 -43 25 29.097604128|349.4475981617712 -10.8612755747485|-1.187 -101.243   |5.68     |A7V                  |    ~     ~            
65  |CD-43 12271                                                                                                                                                                    |Star                                  |18 06 51.9401339808 -43 52 13.858870188|349.0465841121551 -11.0704465254289| 17.612 -14.194   |9.68     |K0                   |    ~     ~            
66  |HD 165270                                                                                                                                                                      |Star                                  |18 07 19.2428202576 -43 55 30.597860676|349.0350876427134 -11.1683190320491|  1.252 -18.579   |9.03     |K0III                |    ~     ~            
67  |HD 165332                                                                                                                                                                      |Star                                  |18 07 27.4065220608 -43 00 54.654904872|349.8714046018995 -10.7751352818826|    2.447 6.214   |10.11    |A8/F0V               |    ~     ~            
68  |HD 165351                                                                                                                                                                      |Star                                  |18 07 40.3427140848 -43 23 31.384180068|349.5482244276241 -10.9821352918365|  5.215 -18.887   |7.45     |K0III                |    ~     ~            
69  |HD 165391                                                                                                                                                                      |Star                                  |18 07 54.3574317552 -43 51 25.662944844|349.1457237185130 -11.2313122879175|   1.483 -8.135   |10.41    |B9/A0V               |    ~     ~            
70  |CD-43 12288                                                                                                                                                                    |Star                                  |18 08 00.0592956720 -43 23 08.144028132|349.5817742587843 -11.0323479624641| -1.541 -21.005   |9.32     |K5                   |    ~     ~            
71  |HD 165430                                                                                                                                                                      |Star                                  |18 07 52.3309113480 -43 43 16.520720088|349.2663042017422 -11.1641762151928| -8.003 -13.379   |10.7     |~                    |    ~     ~            
72  |HD 165560                                                                                                                                                                      |High Proper Motion Star               |18 08 36.8298676176 -43 08 25.531754424|349.8559275600731 -11.0202815880448|  2.034 -56.792   |10.11    |F8                   |    ~     ~            
73  |HD 165602                                                                                                                                                                      |Star                                  |18 08 50.1816266184 -43 16 46.290289296|349.7483626397153 -11.1195244475898|   7.921 10.636   |10.11    |F0V                  |    ~     ~            
74  |HD 165714                                                                                                                                                                      |Star                                  |18 09 29.0999184048 -43 49 42.793709484|349.3029888166630 -11.4723654141723| -2.609 -17.023   |9.90     |F7/G0                |    ~     ~            
75  |HD 165877                                                                                                                                                                      |Star                                  |18 10 16.1091655320 -43 16 11.659265832|349.8771122365433 -11.3477698122673| -0.837 -12.006   |9.54     |A1V                  |    ~     ~            
76  |CD-44 12293                                                                                                                                                                    |Star                                  |18 03 53.1940216752 -44 27 23.009826492|348.2665360920753 -10.8649413750038|  -2.454 -5.471   |10.34    |A5                   |    ~     ~            
77  |CD-44 12298                                                                                                                                                                    |Star                                  |18 04 13.4019244704 -44 04 51.404287152|348.6338467877296 -10.7448611799963|  5.179 -19.945   |10.25    |A3                   |    ~     ~            
78  |HD 164658                                                                                                                                                                      |Star                                  |18 04 25.0768677648 -44 16 12.973002888|348.4792949156554 -10.8632423305144|  -0.815 -2.096   |10.15    |B9V                  |    ~     ~            
79  |HD 164748                                                                                                                                                                      |Star                                  |18 04 53.7339699336 -44 39 43.892499888|348.1647964127959 -11.1192709870233|   37.334 4.039   |8.50     |G8V                  |    ~     ~            
80  |CD-44 12307                                                                                                                                                                    |Double or Multiple Star               |18 05 00.75780 -44 45 13.0284          |348.09172715 -11.17970249          |   2.52 -218.61   |10.21    |G5                   |    ~     ~            
81  |HD 164802                                                                                                                                                                      |Star                                  |18 05 06.1504929936 -44 54 41.663140596|347.9560413939279 -11.2662483391214|   7.086 -5.653   |8.52     |K3/4(III)            |    ~     ~            
82  |AKARI-IRC-V1 J1805120-445618                                                                                                                                                   |Long-Period Variable Candidate        |18 05 12.0289772736 -44 56 18.715663716|347.9396957595512 -11.2940077980216|  -1.903 -5.426   |9.09     |M2/3                 |    ~     ~            
83  |CD-44 12313                                                                                                                                                                    |Star                                  |18 05 21.9130575720 -44 13 54.063365772|348.5936954883688 -10.9960813071492|  4.899 -18.195   |10.38    |A2                   |    ~     ~            
84  |HD 165001                                                                                                                                                                      |High Proper Motion Star               |18 06 02.7889503840 -44 44 37.218050556|348.1863385409633 -11.3383955828598| 31.076 -90.455   |9.79     |G3/5V                |    ~     ~            
85  |HD 165088                                                                                                                                                                      |Star                                  |18 06 28.0320331872 -44 54 54.327866652|348.0652841411952 -11.4828542575531| 38.554 -14.084   |9.74     |F5V                  |    ~     ~            
86  |HD 165125                                                                                                                                                                      |Star                                  |18 06 37.4320695288 -44 18 54.772225020|348.6230352378680 -11.2346395838382|   4.760 -3.408   |9.60     |B9IV                 |    ~     ~            
87  |HD 165140                                                                                                                                                                      |Star                                  |18 06 48.2565053688 -44 52 27.519621996|348.1300271799251 -11.5175186168132|   0.072 -6.561   |9.82     |K0/2(III)            |    ~     ~            
88  |HD 165162                                                                                                                                                                      |Star                                  |18 06 52.5673587648 -44 46 18.617236680|348.2291098056421 -11.4823639697393|  2.777 -16.007   |10.52    |A1/2V                |    ~     ~            
89  |HD 165295                                                                                                                                                                      |Star                                  |18 07 22.5366407136 -44 09 25.430786568|348.8291030592128 -11.2825658071501|   3.461 43.606   |8.51     |F3V                  |    ~     ~            
