C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:36:48

dec< 0&rah >=3.25&rah< 3.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2736

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |       ang. size       |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|-----------------------|-----|----------------|-----------------------|--------|-------------------
1123|HD 21410                                                                                                                                    |Star                                |03 26 36.9009667032 -18 13 25.210881588|207.2466141970436 -53.2701320681486|   0.899 -2.506   |9.29     |A2III                |    ~     ~            |    1|  318.989   pc  |  -2.3200     +2.3200  |paral   |2020yCat.1350....0G
1124|HD 21605                                                                                                                                    |Star                                |03 28 40.4089175064 -18 22 36.146359200|207.7765233217420 -52.8691718885109|  16.884 19.362   |8.54     |F0V                  |    ~     ~            |    1|  138.912   pc  |  -0.3821     +0.3821  |paral   |2020yCat.1350....0G
1125|BD-18 613                                                                                                                                   |Spectroscopic Binary                |03 28 40.9975223184 -18 13 47.940285000|207.5511575200770 -52.8143693370251| -3.911 -20.046   |9.86     |K7                   |    ~     ~            |    1| 1523.926   pc  | -55.0397    +55.0397  |paral   |2020yCat.1350....0G
1126|BD-19 673                                                                                                                                   |Star                                |03 25 00.3512648256 -18 33 50.185003320|207.5506612316235 -53.7484775112975| 22.422 -16.130   |9.74     |K5                   |    ~     ~            |    1|  519.886   pc  |  -4.1083     +4.1083  |paral   |2020yCat.1350....0G
1127|HD 21370                                                                                                                                    |Star                                |03 26 15.1750746336 -18 53 23.643907260|208.2409646076777 -53.5867251012048|   20.779 7.680   |9.10     |F3/5V                |    ~     ~            |    1|  203.869   pc  |  -0.6941     +0.6941  |paral   |2020yCat.1350....0G
1128|BD-19 677                                                                                                                                   |Star                                |03 26 45.7450695912 -18 38 18.783690828|207.9163652789013 -53.3856805492564|   6.125 -7.077   |10.14    |F5                   |    ~     ~            |    1|  743.494   pc  | -10.1712    +10.1712  |paral   |2020yCat.1350....0G
1129|BD-19 679                                                                                                                                   |Star                                |03 27 04.6032529968 -18 38 17.272356684|207.9597186094951 -53.3158663879820|   22.718 5.994   |9.79     |G0                   |    ~     ~            |    1|  590.563   pc  |  -5.4756     +5.4756  |paral   |2020yCat.1350....0G
1130|HD 21470                                                                                                                                    |Star                                |03 27 11.7655249728 -18 41 41.362692540|208.0651948946463 -53.3093686981539|    6.333 7.843   |8.61     |K5III                |    ~     ~            |    1|  625.195   pc  |  -8.8727     +8.8727  |paral   |2020yCat.1350....0G
1131|HD 21606                                                                                                                                    |Star                                |03 28 39.2940978816 -18 39 05.387146416|208.2000992721779 -52.9706918598679|   -1.737 3.868   |8.90     |K0III                |    ~     ~            |    1|  423.513   pc  |  -3.0312     +3.0312  |paral   |2020yCat.1350....0G
1132|BD-19 687                                                                                                                                   |Star                                |03 29 38.4478328904 -18 43 21.874746180|208.4463142475366 -52.7770302296986|   -5.655 2.352   |10.017   |K0                   |    ~     ~            |    1|  673.026   pc  | -19.5100    +19.5100  |ST-L    |2020AJ....160...83S
1133|HD 21531                                                                                                                                    |Spectroscopic Binary                |03 27 52.40603 -19 48 16.1409          |209.90771259 -53.53619411          |  536.78 303.39   |8.367    |K5V                  |    ~     ~            |    1|   12.49    pc  |  -0.15       +0.15    |ST-L    |2010MNRAS.403.1949K
1134|HD 21562                                                                                                                                    |High Proper Motion Star             |03 28 07.0181329512 -19 45 21.810051288|209.8624755839512 -53.4661704482358|-11.581 -126.531  |9.17     |F3V                  |    ~     ~            |    1|  166.891   pc  |  -1.5760     +1.5760  |ST-L    |2020AJ....160...83S
1135|HD 21689                                                                                                                                    |High Proper Motion Star             |03 29 25.6614124536 -19 33 15.738086592|209.7149724339873 -53.1082200796285|  30.341 44.392   |7.27     |G8/K0III             |    ~     ~            |    1|  367.985   pc  |  -3.4530     +3.4530  |paral   |2020yCat.1350....0G
1136|HD 21758                                                                                                                                    |Star                                |03 29 55.0580845368 -19 32 39.754866696|209.7632163071192 -52.9960507368562|  49.280 -3.087   |9.61     |G3/5                 |    ~     ~            |    1|  101.660   pc  |  -0.1550     +0.1550  |paral   |2020yCat.1350....0G
1137|HD 21759                                                                                                                                    |High Proper Motion Star             |03 29 56.3805000048 -19 37 13.034975340|209.8850756745791 -53.0163661017492| 55.698 199.640   |9.72     |G8/K1                |    ~     ~            |    1|   49.453   pc  |  -0.0298     +0.0298  |paral   |2020yCat.1350....0G
1138|BD-19 685                                                                                                                                   |High Proper Motion Star             |03 29 00.5882307264 -18 55 01.030744632|208.6619343226464 -52.9845897319913| 44.184 -34.976   |10.79    |K4/5                 |    ~     ~            |    1|   65.475   pc  |  -0.2468     +0.2468  |ST-L    |2020AJ....160...83S
1139|BD-20 646                                                                                                                                   |Star                                |03 28 54.1419221544 -19 58 47.171271252|210.3184404604855 -53.3647095827247|  10.378 -8.891   |10.097   |F8                   |    ~     ~            |    1|  218.232   pc  |  -2.7960     +2.7960  |ST-L    |2020AJ....160...83S
1140|BD-20 635                                                                                                                                   |Star                                |03 25 19.7940780888 -19 45 06.595514784|209.4899306388354 -54.0838899420553|  -3.467 -0.405   |10.65    |~                    |    ~     ~            |    1|  578.436   pc  |  -4.9184     +4.9184  |paral   |2020yCat.1350....0G
1141|BD-20 637                                                                                                                                   |Star                                |03 25 44.2118104392 -19 53 28.328501400|209.7677948455915 -54.0392910033799|-19.311 -12.233   |10.371   |~                    |    ~     ~            |    1|  181.003   pc  |  -2.2490     +2.2490  |ST-L    |2020AJ....160...83S
1142|BD-18 609                                                                                                                                   |Star                                |03 26 07.5299120064 -18 19 25.083545628|207.3325923247210 -53.4145697090259|  10.789 11.965   |10.35    |~                    |    ~     ~            |    1|  832.570   pc  | -11.6453    +11.6453  |paral   |2020yCat.1350....0G
1143|BD-19 675                                                                                                                                   |Star                                |03 26 23.9713279200 -18 41 01.150137384|207.9363435717384 -53.4820167506206| -1.243 -15.127   |10.02    |~                    |    ~     ~            |    1|  725.163   pc  |  -7.8879     +7.8879  |paral   |2020yCat.1350....0G
1144|BD-20 640                                                                                                                                   |Star                                |03 26 54.0497876160 -19 33 30.440968884|209.3887582239692 -53.6708215934895|   1.728 -2.579   |10.91    |~                    |    ~     ~            |    1|  292.800   pc  |  -1.2688     +1.2688  |paral   |2020yCat.1350....0G
1145|BD-19 678                                                                                                                                   |Star                                |03 27 01.7299130856 -18 48 47.845662480|208.2278325537781 -53.3879607773255| -25.321 15.786   |10.37    |~                    |    ~     ~            |    1|  260.498   pc  |  -1.2011     +1.2011  |paral   |2020yCat.1350....0G
1146|BD-19 681                                                                                                                                   |Star                                |03 27 33.5250864696 -19 00 15.471603828|208.6009082927638 -53.3367180686951|   16.525 5.280   |10.47    |~                    |    ~     ~            |    1|  291.613   pc  |  -1.3181     +1.3181  |paral   |2020yCat.1350....0G
1147|BD-19 688                                                                                                                                   |Star                                |03 29 47.3057608152 -19 02 12.918117624|208.9539539235999 -52.8531532606033|    1.097 1.685   |9.94     |~                    |    ~     ~            |    1|  713.369   pc  |  -7.7352     +7.7352  |paral   |2020yCat.1350....0G
1148|BD-20 641                                                                                                                                   |Star                                |03 27 04.9604425128 -20 01 24.446991360|210.1548099230980 -53.7832909886013| -2.599 -12.276   |10.687   |~                    |    ~     ~            |    1|  275.410   pc  |  -5.0100     +5.0100  |ST-L    |2020AJ....160...83S
1149|BD-20 634                                                                                                                                   |Star                                |03 25 11.3590278288 -19 48 40.878212580|209.5671994165484 -54.1347311456533|   1.710 -2.010   |10.56    |~                    |    ~     ~            |    1| 2044.990   pc  | -64.4025    +64.4025  |paral   |2020yCat.1350....0G
1150|BD-19 676                                                                                                                                   |Spectroscopic Binary                |03 26 40.6660618464 -19 10 07.688303040|208.7403296220430 -53.5886974538362|   5.505 -0.518   |10.71    |~                    |    ~     ~            |    1| 1311.819   pc  | -36.3104    +36.3104  |paral   |2020yCat.1350....0G
1151|CPD-22 365                                                                                                                                  |High Proper Motion Star             |03 24 26.8739282424 -22 31 41.201540220|213.9569396058753 -55.1119324138323|  63.984 27.430   |10.91    |~                    |    ~     ~            |    1|   98.582   pc  |  -0.1467     +0.1467  |paral   |2020yCat.1350....0G
1152|BD-20 632                                                                                                                                   |Star                                |03 24 41.0901635784 -20 18 19.081059192|210.3018611415647 -54.4067076562754|  7.701 -14.914   |9.79     |K0                   |    ~     ~            |    1|  607.165   pc  |  -4.6081     +4.6081  |paral   |2020yCat.1350....0G
1153|HD 21008                                                                                                                                    |Eclipsing Binary                    |03 22 45.8898365112 -21 05 22.605672264|211.3526147424555 -55.0766935929446| 47.290 -48.114   |9.27     |K1III                |    ~     ~            |    1|  309.301   pc  |  -1.4350     +1.4350  |paral   |2020yCat.1350....0G
1154|HD 21144                                                                                                                                    |Star                                |03 24 07.8225881976 -20 55 52.854333708|211.2582450498324 -54.7250317528230|-25.172 -26.858   |7.120    |K0III                |    ~     ~            |    1|  186.254   pc  |  -0.6799     +0.6799  |paral   |2020yCat.1350....0G
1155|BD-22 598                                                                                                                                   |Star                                |03 23 28.6170398472 -21 32 21.821871012|212.1885841575014 -55.0514919407621| 16.434 -18.759   |10.42    |F2                   |    ~     ~            |    1|  165.011   pc  |  -4.0979     +4.0979  |paral   |2020yCat.1350....0G
1156|HD 21185                                                                                                                                    |Spectroscopic Binary                |03 24 23.2348026696 -21 40 04.411365996|212.5095621282247 -54.8861633642786|-28.226 -84.471   |8.87     |G8/K0IV              |    ~     ~            |    1|   64.042   pc  |  -0.4015     +0.4015  |paral   |2020yCat.1350....0G
1157|NGC 1319                           NGC 1319                                                                                                 |Galaxy                              |03 23 56.4584426376 -21 31 39.880325280|212.2239169224509 -54.9448649089200|            ~ ~   |     ~   |~                    |0.793 0.428            |    0|                |                       |        |                   
1158|NGC 1315                           NGC 1315                                                                                                 |Galaxy in Pair of Galaxies          |03 23 06.5986714536 -21 22 30.696768948|211.8707203791525 -55.0850399866114|            ~ ~   |     ~   |~                    |0.913 0.676            |    1|   12.08    Mpc |                       |        |2016AJ....152...50T
1159|BD-22 596                                                                                                                                   |Star                                |03 22 43.2394865328 -21 47 45.605442516|212.5302227727047 -55.2936774650867| 27.274 -10.254   |10.27    |~                    |    ~     ~            |    1|  233.852   pc  |  -5.1789     +5.1789  |paral   |2020yCat.1350....0G
1160|BD-22 597                                                                                                                                   |Spectroscopic Binary                |03 23 27.7371859848 -21 43 33.194039196|212.4987669994612 -55.1086240407181| 14.249 -29.182   |10.62    |~                    |    ~     ~            |    1|  356.761   pc  |  -8.2731     +8.2731  |paral   |2020yCat.1350....0G
1161|NGC 1325                           NGC 1325                                                                                                 |Galaxy in Pair of Galaxies          |03 24 25.5769895640 -21 32 38.626241964|212.3081718700464 -54.8416412465317|   -0.673 1.192   |11.55    |~                    | 4.47  1.66            |    1|   23.01    Mpc |                       |        |2016AJ....152...50T
1162|HD 21305                                                                                                                                    |Star                                |03 25 35.9322956424 -20 20 03.547222656|210.4658034674971 -54.2127648052912|    2.823 2.599   |10.33    |B3/5III              |    ~     ~            |    1| 1694.054   pc  |-102.7395   +102.7395  |paral   |2020yCat.1350....0G
1163|HD 21272                                                                                                                                    |High Proper Motion Star             |03 25 12.6900393480 -21 04 21.480580236|211.6228897948723 -54.5273739214201|  22.405 49.922   |7.85     |F7V                  |    ~     ~            |    1|   84.106   pc  |  -0.1429     +0.1429  |paral   |2020yCat.1350....0G
1164|HD 21384                                                                                                                                    |Star                                |03 26 15.9892570632 -20 46 30.601437672|211.2653392895876 -54.2021336027124|    8.190 1.152   |9.61     |G8IV                 |    ~     ~            |    1|  444.346   pc  |  -3.3170     +3.3170  |paral   |2020yCat.1350....0G
1165|HD 21395                                                                                                                                    |Star                                |03 26 21.1534146024 -20 52 18.901488612|211.4333406908945 -54.2126592744204|  12.016 18.224   |10.57    |A1V                  |    ~     ~            |    1|  523.095   pc  |  -9.9601     +9.9601  |paral   |2020yCat.1350....0G
1166|HD 21532                                                                                                                                    |Star                                |03 27 46.3619744808 -21 23 50.689903524|212.4584288425550 -54.0542350719983|   10.080 2.664   |9.84     |B7V                  |    ~     ~            |    1|  907.194   pc  | -37.9403    +37.9403  |paral   |2020yCat.1350....0G
1167|BD-21 631                                                                                                                                   |Spectroscopic Binary                |03 28 03.9570356592 -20 56 49.580972628|211.7628281416363 -53.8544428017633|  -23.057 1.885   |9.825    |G5                   |    ~     ~            |    1|  636.610   pc  | -22.7700    +22.7700  |ST-L    |2020AJ....160...83S
1168|HD 21679                                                                                                                                    |Star                                |03 29 17.3772156456 -21 22 16.263841044|212.5921053999556 -53.7090183551715|  19.181 -8.968   |8.23     |K2/3III              |    ~     ~            |    1|  407.315   pc  |  -4.0979     +4.0979  |paral   |2020yCat.1350....0G
1169|HD 21736                                                                                                                                    |Star                                |03 29 38.6810845440 -21 25 14.955876660|212.7132034296995 -53.6446039191390|  -2.829 -0.202   |8.45     |A9V                  |    ~     ~            |    1|  245.537   pc  |  -1.5072     +1.5072  |paral   |2020yCat.1350....0G
1170|HD 21444                                                                                                                                    |High Proper Motion Star             |03 26 46.7817185928 -21 40 03.229215132|212.7854712924670 -54.3537631871298|   91.077 3.411   |9.37     |F6V                  |    ~     ~            |    1|  129.685   pc  |  -0.2876     +0.2876  |paral   |2020yCat.1350....0G
1171|BD-22 604                                                                                                                                   |High Proper Motion Star             |03 25 28.4860771896 -21 58 56.972254008|213.1574866657340 -54.7336696857635|123.203 -50.328   |9.93     |G0                   |    ~     ~            |    1|  152.191   pc  |  -0.3868     +0.3868  |paral   |2020yCat.1350....0G
1172|HD 21349                                                                                                                                    |High Proper Motion Star             |03 25 57.6519614904 -22 03 48.994222896|213.3467805686318 -54.6482221955326|141.691 123.310   |8.40     |G6IV                 |    ~     ~            |    1|   68.483   pc  |  -0.1069     +0.1069  |paral   |2020yCat.1350....0G
1173|HD 21371                                                                                                                                    |Star                                |03 26 07.6458800424 -22 09 39.086287272|213.5267431489301 -54.6381892480109|   6.981 32.654   |9.10     |K2III                |    ~     ~            |    1|  353.857   pc  |  -2.0660     +2.0660  |paral   |2020yCat.1350....0G
1174|BD-22 609                                                                                                                                   |Spectroscopic Binary                |03 26 57.7609911912 -22 04 59.890631052|213.4909241394982 -54.4308197001372| -5.346 -66.021   |10.237   |G0                   |    ~     ~            |    1|  170.594   pc  |  -1.7750     +1.7750  |ST-L    |2020AJ....160...83S
1175|HD 21760                                                                                                                                    |Star                                |03 29 49.0617249048 -22 30 19.704166380|214.4937097665833 -53.9113918409894|   4.379 18.067   |6.78     |K1III                |    ~     ~            |    1|   92.213   pc  |  -0.1548     +0.1548  |paral   |2020yCat.1350....0G
1176|NGC 1325A                          ESO 548-10                                                                                               |Galaxy in Pair of Galaxies          |03 24 48.5 -21 20 10                   |212.0087 -54.6957                  |            ~ ~   |12.83    |~                    | 1.86  1.70            |    1|   18.5     Mpc |                       |redshift|2006ApJS..165..307M
1177|NGC 1331                           NGC 1331                                                                                                 |Galaxy towards a Group of Galaxies  |03 26 28.3322458080 -21 21 19.955101860|212.2376946351729 -54.3312501823433|   1.181 -2.553   |     ~   |~                    |0.530 0.456            |    1|   19.95    Mpc |                       |        |2016AJ....152...50T
1178|BD-20 633                                                                                                                                   |Star                                |03 24 53.5376951664 -20 19 35.986873332|210.3632137350298 -54.3673922186173| -0.626 -46.146   |10.22    |~                    |    ~     ~            |    1|  246.469   pc  |  -2.1565     +2.1565  |paral   |2020yCat.1350....0G
1179|CPD-21 361                                                                                                                                  |Star                                |03 25 45.0255705384 -20 42 24.365685996|211.0902707199351 -54.2957995854558| 33.019 -10.373   |10.92    |~                    |    ~     ~            |    1|  117.994   pc  |  -0.2743     +0.2743  |paral   |2020yCat.1350....0G
1180|BD-22 608                                                                                                                                   |Star                                |03 26 47.3650942704 -21 32 21.436991520|212.5759994825049 -54.3144819285245|   27.421 0.494   |10.61    |~                    |    ~     ~            |    1|  148.949   pc  |  -0.3883     +0.3883  |paral   |2020yCat.1350....0G
1181|BD-21 628                                                                                                                                   |High Proper Motion Star             |03 26 49.0514665920 -20 37 41.325471516|211.0947944164194 -54.0341171940011|-11.444 -91.690   |10.10    |~                    |    ~     ~            |    1|  115.969   pc  |  -0.3080     +0.3080  |paral   |2020yCat.1350....0G
1182|BD-22 611                                                                                                                                   |Star                                |03 27 04.4704297728 -22 20 39.448561128|213.9347355283886 -54.4778902462848|-14.166 -27.325   |10.232   |~                    |    ~     ~            |    1|  432.405   pc  | -12.4200    +12.4200  |ST-L    |2020AJ....160...83S
1183|BD-21 632                                                                                                                                   |Star                                |03 28 19.7513764584 -20 33 46.859459436|211.1766188336973 -53.6776617537920|  6.521 -10.519   |10.696   |~                    |    ~     ~            |    1|  357.598   pc  |  -8.5180     +8.5180  |ST-L    |2020AJ....160...83S
1184|BD-21 633                                                                                                                                   |Star                                |03 28 36.3361461432 -20 50 19.721158368|211.6533041818272 -53.7013882215087|  -3.154 -2.267   |10.30    |~                    |    ~     ~            |    1| 1297.017   pc  | -22.2057    +22.2057  |paral   |2020yCat.1350....0G
1185|BD-21 626                                                                                                                                   |Star                                |03 26 26.8120645992 -20 45 14.561930448|211.2531883909783 -54.1555124527084|   -8.671 8.894   |10.40    |~                    |    ~     ~            |    1|  154.352   pc  |  -1.5557     +1.5557  |paral   |2020yCat.1350....0G
1186|BD-21 627                                                                                                                                   |Spectroscopic Binary                |03 26 39.0044269296 -20 45 55.571711940|211.2966596891341 -54.1138272994561|  11.591 -0.065   |9.5      |~                    |    ~     ~            |    1| 2639.916   pc  |-126.8386   +126.8386  |paral   |2020yCat.1350....0G
1187|TYC 5879-81-1                                                                                                                               |Star                                |03 29 40.7301940488 -22 09 33.708759804|213.9140384990664 -53.8476748845553| -2.729 -23.368   |10.72    |~                    |    ~     ~            |    1|  353.929   pc  |  -8.7360     +8.7360  |ST-L    |2020AJ....160...83S
1188|NGC 1332                           NGC 1332                                                                                                 |Galaxy in Pair of Galaxies          |03 26 17.321 -21 20 07.33              |212.182987 -54.366126              |            ~ ~   |     ~   |~                    | 4.37  3.31            |    1|   24.55    Mpc |                       |        |2016AJ....152...50T
1189|TYC 5879-144-1                                                                                                                              |Star                                |03 27 46.5022672752 -22 26 21.055066908|214.1672642470110 -54.3478364071601|   9.122 -5.593   |10.578   |~                    |    ~     ~            |    1|  606.769   pc  | -24.6300    +24.6300  |ST-L    |2020AJ....160...83S
1190|TYC 5879-428-1                                                                                                                              |Star                                |03 24 22.3074 -20 19 28.200            |210.2929976 -54.4823957            | -49.570 -2.946   |10.93    |~                    |    ~     ~            |    0|                |                       |        |                   
1191|NGC 1347                           NGC 1347                                                                                                 |Interacting Galaxies                |03 29 41.8 -22 16 44                   |214.1108 -53.8767                  |            ~ ~   |     ~   |~                    | 0.98  0.93            |    0|                |                       |        |                   
1192|NGC 1347b                          MCG-04-09-017b                                                                                           |Galaxy in Pair of Galaxies          |03 29 41.2021401240 -22 17 27.352362768|214.1293555143797 -53.8821985970102|            ~ ~   |     ~   |~                    |0.230 0.175            |    0|                |                       |        |                   
1193|CD-25 1417                                                                                                                                  |Star                                |03 27 50.7468999912 -25 02 12.562327536|218.5327503421531 -54.9577541590798|   21.089 6.178   |9.793    |~                    |    ~     ~            |    1|  464.141   pc  | -11.5000    +11.5000  |ST-L    |2020AJ....160...83S
1194|CD-25 1407                                                                                                                                  |High Proper Motion Star             |03 26 11.6261673888 -24 57 20.638533456|218.2559910653638 -55.3065485935691| -1.797 -56.482   |10.88    |~                    |    ~     ~            |    1|  254.168   pc  |  -0.9755     +0.9755  |paral   |2020yCat.1350....0G
1195|CD-25 1432                                                                                                                                  |Star                                |03 29 48.4133252952 -25 10 02.731555956|218.9152814349149 -54.5510139941047|   -9.683 3.057   |10.69    |~                    |    ~     ~            |    1|  486.358   pc  |  -3.4299     +3.4299  |paral   |2020yCat.1350....0G
1196|HD 21009                                                                                                                                    |High Proper Motion Star             |03 22 42.9827346024 -22 57 42.615082548|214.5084277681841 -55.6111685811324|-18.864 -106.280  |9.70     |G8V                  |    ~     ~            |    1|   69.894   pc  |  -0.0703     +0.0703  |paral   |2020yCat.1350....0G
1197|CD-23 1362                                                                                                                                  |Star                                |03 23 08.3096602560 -23 27 22.448813796|215.3991527627149 -55.6418507452168|   -3.005 2.087   |10.10    |~                    |    ~     ~            |    1|  449.741   pc  |  -3.0947     +3.0947  |paral   |2020yCat.1350....0G
1198|CD-23 1366                                                                                                                                  |High Proper Motion Star             |03 23 26.7889734552 -23 28 23.270650752|215.4588936274716 -55.5775435425926| 28.404 -55.005   |10.36    |~                    |    ~     ~            |    1|  622.704   pc  |  -6.0878     +6.0878  |paral   |2020yCat.1350....0G
1199|CD-23 1369                                                                                                                                  |Star                                |03 23 36.7373367672 -22 52 48.969786180|214.4635846393307 -55.3907939972064|   11.347 1.973   |9.98     |~                    |    ~     ~            |    1|  554.877   pc  |  -8.4977     +8.4977  |paral   |2020yCat.1350....0G
1200|HD 21104                                                                                                                                    |Star                                |03 23 37.0669707288 -23 25 34.927969548|215.3958791982404 -55.5279478593008|  23.025 11.853   |9.98     |A9V                  |    ~     ~            |    1|  299.249   pc  |  -1.6298     +1.6298  |paral   |2020yCat.1350....0G
1201|CD-24 1624                                                                                                                                  |Star                                |03 24 02.4792864384 -23 52 21.178952796|216.2023713827450 -55.5416404259830| 11.330 -11.940   |10.33    |~                    |    ~     ~            |    1|  757.748   pc  |  -8.8998     +8.8998  |paral   |2020yCat.1350....0G
1202|HD 21174                                                                                                                                    |Star                                |03 24 16.2226762008 -24 18 02.625338844|216.9604524319952 -55.5897960510837|   43.180 1.805   |7.09     |K2III                |    ~     ~            |    1|  249.364   pc  |  -1.2436     +1.2436  |paral   |2020yCat.1350....0G
1203|CD-25 1394                                                                                                                                  |Star                                |03 24 39.1561322712 -24 36 28.688225004|217.5246328447801 -55.5733576858461|  30.072 15.133   |9.95     |~                    |    ~     ~            |    1|  176.053   pc  |  -0.4401     +0.4401  |paral   |2020yCat.1350....0G
1204|CD-24 1622                                                                                                                                  |Star                                |03 23 31.6087979352 -24 10 28.172954712|216.6741925371038 -55.7261385978988|   15.530 0.802   |10.62    |~                    |    ~     ~            |    1|  360.841   pc  |  -2.8906     +2.8906  |paral   |2020yCat.1350....0G
1205|CD-24 1631                                                                                                                                  |Star                                |03 24 28.3257483720 -24 14 41.486070120|216.8826730188264 -55.5323482212817|  18.183 -3.616   |10.48    |~                    |    ~     ~            |    1|  424.610   pc  | -21.7074    +21.7074  |paral   |2020yCat.1350....0G
1206|CD-24 1626                                                                                                                                  |Star                                |03 24 14.2229625168 -24 02 07.933392888|216.5009136793067 -55.5363791838616| -10.713 -4.843   |10.88    |~                    |    ~     ~            |    1|  410.678   pc  |  -2.8166     +2.8166  |paral   |2020yCat.1350....0G
1207|CD-24 1633                                                                                                                                  |Star                                |03 24 30.5705898720 -24 09 58.853704248|216.7511100083619 -55.5061009935106|    3.293 4.861   |10.857   |~                    |    ~     ~            |    1| 1616.280   pc  |-157.2000   +157.2000  |ST-L    |2020AJ....160...83S
1208|CD-23 1389                                                                                                                                  |Star                                |03 26 10.6735833528 -22 54 02.294024472|214.7663980495304 -54.8254944761393|    8.354 0.100   |9.86     |~                    |    ~     ~            |    1|  667.958   pc  |  -7.0495     +7.0495  |paral   |2020yCat.1350....0G
1209|HD 21737                                                                                                                                    |High Proper Motion Star             |03 29 35.0495789496 -23 28 32.601493092|216.0670063400858 -54.2142427340190|  74.658 36.036   |6.88     |F3IV/V               |    ~     ~            |    1|   98.466   pc  |  -0.1939     +0.1939  |paral   |2020yCat.1350....0G
1210|HD 21792                                                                                                                                    |Star                                |03 29 54.7126816584 -23 44 45.286190664|216.5463915236674 -54.2075525296147|   8.823 -1.332   |8.53     |K1III                |    ~     ~            |    1|  327.600   pc  |  -2.2430     +2.2430  |paral   |2020yCat.1350....0G
1211|HD 21306                                                                                                                                    |Star                                |03 25 23.2107508632 -24 28 58.853023572|217.3745706563813 -55.3829340906566|  6.960 -18.016   |9.50     |F5/6IV/V             |    ~     ~            |    1|  176.769   pc  |  -0.6562     +0.6562  |paral   |2020yCat.1350....0G
1212|CD-24 1644                                                                                                                                  |Star                                |03 25 35.3678758056 -24 15 45.568516392|217.0153257961797 -55.2883997146176| 32.910 -33.403   |9.96     |~                    |    ~     ~            |    1|  198.740   pc  |  -1.7142     +1.7142  |paral   |2020yCat.1350....0G
1213|CD-24 1657                                                                                                                                  |Star                                |03 26 56.9709395472 -24 11 40.364005524|217.0234371444701 -54.9709777481337|  -0.483 -8.707   |10.368   |~                    |    ~     ~            |    1|  855.732   pc  | -51.6300    +51.6300  |ST-L    |2020AJ....160...83S
1214|CD-24 1658                                                                                                                                  |High Proper Motion Star             |03 27 00.7480631928 -24 27 21.162256236|217.4727795688673 -55.0162965899758|-17.478 -80.650   |10.50    |~                    |    ~     ~            |    1|  239.693   pc  |  -0.9250     +0.9250  |paral   |2020yCat.1350....0G
1215|CD-24 1667                                                                                                                                  |Star                                |03 27 52.2509423352 -24 14 19.158116532|217.1818859235216 -54.7766556368905|  3.157 -12.151   |10.19    |~                    |    ~     ~            |    1|  740.247   pc  |  -8.3291     +8.3291  |paral   |2020yCat.1350....0G
1216|CD-24 1670                                                                                                                                  |Double or Multiple Star             |03 28 14.4037978992 -24 13 15.887823132|217.1857359166712 -54.6906969166797| -21.717 40.209   |10.285   |~                    |    ~     ~            |    1|  262.957   pc  |  -1.1755     +1.1755  |paral   |2020yCat.1350....0G
1217|V* AK For                                                                                                                                   |Eclipsing Binary                    |03 29 22.8752567640 -24 06 03.098788272|217.0880340365327 -54.4096266504655| 222.666 98.094   |9.36     |K3VkFe+0.4           |    ~     ~            |    1|   31.087   pc  |  -0.0166     +0.0166  |paral   |2020yCat.1350....0G
1218|HD 21307                                                                                                                                    |Star                                |03 25 23.6371775544 -24 34 40.254677112|217.5380413486352 -55.4023305352942|   4.510 10.266   |9.08     |G8(III)              |    ~     ~            |    1|  464.037   pc  |  -3.3161     +3.3161  |paral   |2020yCat.1350....0G
1219|HD 21667                                                                                                                                    |Star                                |03 29 01.3109731056 -24 53 43.992076416|218.3915007913583 -54.6672767933834| -14.283 -4.023   |8.63     |F5V                  |    ~     ~            |    1|   85.509   pc  |  -0.1265     +0.1265  |paral   |2020yCat.1350....0G
1220|CD-24 1656                                                                                                                                  |High Proper Motion Star             |03 26 54.3810433800 -23 43 55.091405784|216.2371059783544 -54.8716905675368|98.453 -197.999   |10.91    |~                    |    ~     ~            |    1|  234.698   pc  |  -0.8648     +0.8648  |paral   |2020yCat.1350....0G
1221|CD-23 1379                                                                                                                                  |Star                                |03 25 15.4681497024 -23 28 26.187522024|215.6401031560693 -55.1751503534723|  0.104 -20.722   |10.47    |~                    |    ~     ~            |    1|  406.223   pc  |  -2.6568     +2.6568  |paral   |2020yCat.1350....0G
1222|CD-23 1381                                                                                                                                  |Star                                |03 25 28.2425904336 -23 05 56.277238128|215.0269983229868 -55.0338171670561|  -7.826 21.594   |10.94    |~                    |    ~     ~            |    1|  335.920   pc  |  -2.0876     +2.0876  |paral   |2020yCat.1350....0G
1223|CD-24 1649                                                                                                                                  |Star                                |03 26 00.1378711824 -24 19 30.760447620|217.1596693396649 -55.2109881935772| 15.318 -15.781   |10.78    |~                    |    ~     ~            |    1|  490.990   pc  | -15.8866    +15.8866  |paral   |2020yCat.1350....0G
